Time (s),Volume (m^3),H(5),O(6),OH(7),H2(8),Ar(9),He(10),HO2(11),H2O2(12),CO(13),CO2(14),HCO(15),C(T)(16),CH(17),CH2(T)(18),CH3(19),CH2O(20),HCCO(21),C2H(22),C2H2(23),H2CC(24),CH2(S)(25),CH3OH(26),CH3O(27),CH2CO(28),C2H3(29),C2H4(30),C2H6(31),C2H5(32),CH2OH(33),CH3CO(34),CH2CHO(35),CH3CHO(36),N2,Ne,CH3CF3(1),O2(2),H2O(3),CH4(4),CH2CF2(57),HF(38),O2(161),S(164)
8.056971696820266e-15,0.5617327946830564,0.0,3.847711517895757e-24,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.76,0.0,0.5015556553328153,0.9999999967862957,0.0,0.0,7.199584249326391e-13,7.199584249326391e-13,3.213704468718322e-09,2.8509892851090912e-30
1.0786013368052377e-14,0.5617327946830825,0.0,5.151000823665107e-24,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.76,0.0,0.5015556553325714,0.9999999956977715,0.0,0.0,9.638213323782988e-13,9.638213323782988e-13,4.302228593862354e-09,5.016164879874346e-30
1.3515055039284488e-14,0.5617327946831084,0.0,6.4542901280170156e-24,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.76,0.0,0.5015556553323275,0.9999999946092555,0.0,0.0,1.20768423982384e-12,1.20768423982384e-12,5.39074459318661e-09,7.808123963245894e-30
1.8973138381748712e-14,0.5617327946831605,0.0,9.060868732465323e-24,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.76,0.0,0.5015556553318398,0.999999992432248,0.0,0.0,1.6954100547145666e-12,1.6954100547145666e-12,7.567752196161092e-09,1.5274720685665117e-29
2.988930506667716e-14,0.5617327946832645,0.0,1.427402592433953e-23,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.76,0.0,0.5015556553308643,0.9999999880783303,0.0,0.0,2.6708616844945975e-12,2.6708616844945975e-12,1.1921669817310471e-08,3.774471759278844e-29
5.1721638436534056e-14,0.5617327946834729,0.0,2.4700340239998148e-23,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.76,0.0,0.5015556553289134,0.9999999793708855,0.0,0.0,4.621764944048968e-12,4.621764944048968e-12,2.0629114719306704e-08,1.1287992059283495e-28
9.538630517624785e-14,0.5617327946838895,0.0,4.5552968598977506e-23,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.76,0.0,0.5015556553250117,0.9999999619575569,0.0,0.0,8.523571463134943e-12,8.523571463134943e-12,3.8042443284396794e-08,3.8430378640109027e-28
1.8271563865567543e-13,0.5617327946847227,0.0,8.72582242277629e-23,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.76,0.0,0.501555655317208,0.9999999271371438,0.0,0.0,1.6327184501215833e-11,1.6327184501215833e-11,7.286285648038573e-08,1.4147425864897398e-27
2.70044972135103e-13,0.5617327946855558,0.0,1.2896347840455327e-22,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.76,0.0,0.5015556553094044,0.9999998923250544,0.0,0.0,2.413079753917531e-11,2.413079753917531e-11,1.0767494578471028e-07,3.0991868288132234e-27
3.5737430561453054e-13,0.5617327946863889,0.0,1.7066873112967868e-22,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.76,0.0,0.5015556553016007,0.9999998575212871,0.0,0.0,3.193441057701337e-11,3.193441057701337e-11,1.4247871308861236e-07,5.443061838536977e-27
