Time (s),Volume (m^3),H(5),O(6),OH(7),H2(8),Ar(9),He(10),HO2(11),H2O2(12),CO(13),CO2(14),HCO(15),C(T)(16),CH(17),CH2(T)(18),CH3(19),CH2O(20),HCCO(21),C2H(22),C2H2(23),H2CC(24),CH2(S)(25),CH3OH(26),CH3O(27),CH2CO(28),C2H3(29),C2H4(30),C2H6(31),C2H5(32),CH2OH(33),CH3CO(34),CH2CHO(35),CH3CHO(36),N2,Ne,CH3CF3(1),O2(2),H2O(3),CH4(4),CH2CF2(57),HF(38),O2(161),S(164),CF2O(49),S(125),C2HF(58),S(463),C2HF(468),C2H2F3(68),S(165),S(464),C2H2F2(59),S(162),S(130),C2H3F2(65),C2H2F3(67),CF2(43)
2.543536881351281e-07,0.817732363186626,4.870424774625902e-07,7.696278844624544e-08,3.828435067158242e-08,1.376929370881259e-07,0.0,0.0,1.2774723029607206e-06,4.029157982862434e-10,7.22811650251431e-10,1.0616667674832326e-11,1.2878210572702748e-10,9.739626306436478e-22,1.2683546266132008e-15,6.280479839011132e-11,1.487022194389588e-08,1.054847535260167e-06,9.909524283068556e-21,2.995916245243906e-13,1.5274728939832356e-19,5.504043038410015e-21,2.5366054110305712e-12,8.542638426915838e-17,3.9149666062560403e-13,8.781228377780861e-21,5.465281983928158e-23,9.758707906266689e-18,1.8705270203742324e-17,5.934051881088562e-18,7.809417539045883e-14,4.305890082724468e-21,1.4062849789974243e-21,1.817951378276094e-20,3.76,0.0,0.6363591145638404,0.9981579158566388,4.22560758085753e-08,9.980505787332438e-15,0.03142486609344126,0.03144993769245941,0.0018396681769278752,1.480408616442199e-11,1.0536394875917782e-06,2.0246897769127733e-06,1.1271471471881182e-05,4.250776608993631e-11,1.7688024685521142e-10,5.572107582955861e-08,9.182429740912428e-09,2.3111295979155443e-11,1.4020062991255927e-06,2.184174389747262e-11,7.928614399820572e-10,4.5660258710500384e-08,1.419400016157929e-07,1.7005819319288327e-08
2.630535520890611e-07,0.8178895757494027,5.151145184186698e-07,8.39275160342464e-08,4.129522148902633e-08,1.5101560730253188e-07,0.0,0.0,1.3197471786207907e-06,4.287153959992231e-10,8.019392843025808e-10,1.2609856956281807e-11,1.4051576608744126e-10,1.136549082160539e-21,1.392515104020256e-15,7.224152330975367e-11,1.592488904080866e-08,1.127587305428467e-06,1.2460072521017007e-20,3.3686395965793626e-13,1.9370487470427356e-19,7.421214054728043e-21,2.893970035970886e-12,1.0245234702881146e-16,4.2010996253182206e-13,1.062289878898325e-20,6.579779580993971e-23,1.2057730698265969e-17,2.2204939652575467e-17,6.9234528141997805e-18,8.424756743044471e-14,5.039493931195134e-21,1.6868414870336564e-21,2.200770769780135e-20,3.76,0.0,0.635310266066554,0.9981577933069514,4.733139345977422e-08,1.1503301766780474e-14,0.03247265048622198,0.03249945228166534,0.0018396679053584602,1.529533858845845e-11,1.1261865769582974e-06,2.126128767887033e-06,1.2050208835740962e-05,4.464049629094786e-11,1.911005688963836e-10,5.8605508670921745e-08,9.78486014231176e-09,2.616793183205142e-11,1.4986008934327535e-06,2.2668377583406455e-11,8.200282615795739e-10,4.7233788773291546e-08,1.5026815068516997e-07,1.83557723997787e-08
2.717534160429941e-07,0.8180465334756141,5.435940036088399e-07,9.122862197775294e-08,4.4404946700134964e-08,1.6506529359843564e-07,0.0,0.0,1.361935812715156e-06,4.551725384570032e-10,8.86790274993478e-10,1.4896487657741937e-11,1.5284135185602672e-10,1.3209148479269707e-21,1.5267498365814887e-15,8.270346129760947e-11,1.701517754308567e-08,1.2027142858467752e-06,1.5534984940194387e-20,3.771995251647556e-13,2.436650141807807e-19,9.908633696776349e-21,3.289758919082173e-12,1.2206089049837754e-16,4.497179256945366e-13,1.2783280721302618e-20,7.876804818624906e-23,1.4801906189211155e-17,2.620793818885785e-17,8.0335013392761e-18,9.065331499667916e-14,5.8655480173212326e-21,2.0102217625187036e-21,2.6467468952166085e-20,3.76,0.0,0.6342631434429682,0.9981576680523672,5.278713626408273e-08,1.3197006475470753e-14,0.033518675114065845,0.033547263975085916,0.0018396676288987696,1.5785577226647346e-11,1.2010977836062703e-06,2.229938139594877e-06,1.2854581680890755e-05,4.682262777263061e-11,2.0588454047083433e-10,6.155873449937918e-08,1.0404045644866241e-08,2.9531635507003684e-11,1.5983467156315204e-06,2.34970360221024e-11,8.471889487861287e-10,4.8806190134325365e-08,1.5881460839367338e-07,1.9772103924906496e-08
2.804532799969271e-07,0.8182032367846575,5.724586339569293e-07,9.886644179664569e-08,4.76112333769451e-08,1.7984990695067663e-07,0.0,0.0,1.4040387407547897e-06,4.822753963971014e-10,9.77583928905197e-10,1.7507715720543556e-11,1.657645619295323e-10,1.5295820609716121e-21,1.6719697561276511e-15,9.425715152963251e-11,1.8141056408004562e-08,1.2802255945511126e-06,1.921616907043034e-20,4.207239488311663e-13,3.041977663836452e-19,1.3107256561744592e-20,3.726513457456514e-12,1.4452642824109861e-16,4.803195334972973e-13,1.530870388141083e-20,9.380329860792757e-23,1.8060088972018958e-17,3.076635822545309e-17,9.273790455927548e-18,9.731330696118343e-14,6.791821103135134e-21,2.381044813782518e-21,3.1635890870886155e-20,3.76,0.0,0.6332177438355544,0.9981575400916047,5.863431299830688e-08,1.507437825051805e-14,0.034562942865835104,0.03459337558133921,0.0018396673475461836,1.6274804470394324e-11,1.2783683737402217e-06,2.3361295288100595e-06,1.3684554390413088e-05,4.905438490587396e-11,2.2123163468100078e-10,6.458112018523445e-08,1.1039781835262402e-08,3.322471133912633e-11,1.7012374997906304e-06,2.432787764796982e-11,8.743434985449567e-10,5.0377532984688804e-08,1.675806198537411e-07,2.125695915964926e-08
2.891531439508601e-07,0.8183596860952395,6.016871155425916e-07,1.0684092612070997e-07,5.091180846552688e-08,1.9537673654116777e-07,0.0,0.0,1.4460564806274173e-06,5.100122942836954e-10,1.074541491126436e-09,2.047665818495814e-11,1.792908042550626e-10,1.7653553506232857e-21,1.829162804927935e-15,1.069700171577087e-10,1.9302496123381485e-08,1.3601184375386183e-06,2.3594398367303206e-20,4.675625387625012e-13,3.7707972461561853e-19,1.718578488738932e-20,4.206811238534516e-12,1.701403702725832e-16,5.119138163863965e-13,1.8251462439661495e-20,1.111696403942925e-22,2.1909244431531333e-17,3.5935721591785553e-17,1.065428485606144e-17,1.042294363360324e-13,7.826421796871471e-21,2.804225825538534e-21,3.7596339199469765e-20,3.76,0.0,0.6321740643924489,0.9981574094237045,6.488357885205787e-08,1.7148679875849202e-14,0.035605456625552624,0.03563778990436595,0.001839667061298678,1.6763022704129537e-11,1.357993630478556e-06,2.444713664991509e-06,1.4540091378889693e-05,5.133597255998687e-11,2.3714127886474117e-10,6.767300733424467e-08,1.1691866446326464e-08,3.7270542033979585e-11,1.8072669904157896e-06,2.5161059328299666e-11,9.014919078041478e-10,5.1947881154245753e-08,1.765674052976069e-07,2.281256044521088e-08
2.978530079047931e-07,0.8185158818253755,6.312591137014077e-07,1.151516602517001e-07,5.430442442390036e-08,2.116524800011128e-07,0.0,0.0,1.48798953336698e-06,5.383717081926389e-10,1.177886148358664e-09,2.3838415821884936e-11,1.934252199565628e-10,2.0313481431418265e-21,1.9993956621393637e-15,1.2091022656001672e-10,2.049946856700124e-08,1.4423901074386305e-06,2.876984223550347e-20,5.178402420958247e-13,4.643127664858358e-19,2.2344687716640873e-20,4.733260675352855e-12,1.9921139435620335e-16,5.444998476702027e-13,2.167052343061912e-20,1.3116218271853176e-22,2.6435106999396793e-17,4.1775084420539956e-17,1.2185320200967921e-17,1.1140359961947259e-13,8.97779993329562e-21,3.2849818029974667e-21,4.443871710086854e-20,3.76,0.0,0.6311321022674106,0.9981572760480093,7.154524067712417e-08,1.9433681886559125e-14,0.03664621927241225,0.03668050974343894,0.0018396667701548047,1.7250234305336735e-11,1.439968853727874e-06,2.5557004103953483e-06,1.5421157092456546e-05,5.366757698400071e-11,2.53612863085237e-10,7.083471304783017e-08,1.2360099334975211e-08,4.169361570147878e-11,1.9164289424354276e-06,2.5996736028725934e-11,9.286341735167357e-10,5.3517292517464765e-08,1.8577615082596043e-07,2.4441205761080252e-08
3.065528718587261e-07,0.8186718243923935,6.611552092531668e-07,1.2379788294178973e-07,5.7786863807932265e-08,2.2868327222799103e-07,0.0,0.0,1.5298383838895412e-06,5.673422637388352e-10,1.2878430302513163e-09,2.7630091727871425e-11,2.081727055164006e-10,2.3310097432474257e-21,2.183815197984259e-15,1.361465573096032e-10,2.1731946874959827e-08,1.5270379820899867e-06,3.4852598170682496e-20,5.716816088912686e-13,5.681437655427113e-19,2.8820574352040205e-20,5.308495739334842e-12,2.320657011577453e-16,5.780767395861088e-13,2.56323044917581e-20,1.541079194620315e-22,3.1732864916111146e-17,4.8347141752826593e-17,1.3877602382022256e-17,1.1883769616743252e-13,1.0254747907743839e-20,3.828836976195446e-21,5.225973112231991e-20,3.76,0.0,0.630091854619782,0.9981571399641537,7.862926284607182e-08,2.194366579158315e-14,0.03768523368078945,0.037721537893172306,0.0018396664741136396,1.7736441644575098e-11,1.524289360050969e-06,2.6690987976141164e-06,1.6327716008859795e-05,5.6049366631174724e-11,2.706457470689628e-10,7.406653068237301e-08,1.3044282460248914e-08,4.6519552690239955e-11,2.0287171211864704e-06,2.6835060532152542e-11,9.557702926407827e-10,5.508581937418034e-08,1.9520800113883676e-07,2.6145267203603105e-08
3.152527358126591e-07,0.8188275142129323,6.913568568147393e-07,1.3277850440002987e-07,6.135694291174653e-08,2.46474712805344e-07,0.0,0.0,1.5716035016962046e-06,5.969127340457094e-10,1.4046392088659513e-09,3.189080587455951e-11,2.2353793310142809e-10,2.6681530391112526e-21,2.38364965388626e-15,1.52748263161743e-10,2.299990531864812e-08,1.6140595230287082e-06,4.1963225375669075e-20,6.292107607857322e-13,6.910852963747779e-19,3.689092961874328e-20,5.935170803286925e-12,2.690472537231378e-16,6.126436396261793e-13,3.021152554273168e-20,1.803688335605482e-22,3.7907871517814485e-17,5.571833185328524e-17,1.5742206765723895e-17,1.265336275937344e-13,1.166640197755085e-20,4.441627979038644e-21,6.116315814895515e-20,3.76,0.0,0.629053318614448,0.9981570011720478,8.614527362242646e-08,2.4693427217119997e-14,0.03872250272025191,0.038760877143530874,0.001839666173174764,1.822164708550691e-11,1.6109504825288044e-06,2.7849170647165093e-06,1.7259732637512478e-05,5.848149293050711e-11,2.882392657959489e-10,7.73687306039638e-08,1.374421986144057e-08,5.1775132206299525e-11,2.1441253024001244e-06,2.767618320060942e-11,9.82900262139471e-10,5.665350880795241e-08,2.0486405400590187e-07,2.792718938497794e-08
3.239525997665921e-07,0.8189829517029446,7.218463450560744e-07,1.4209212357348127e-07,6.501251463849332e-08,2.650318921204928e-07,0.0,0.0,1.6132853415451417e-06,6.27072037754679e-10,1.52850369622099e-09,3.666170577289673e-11,2.3952536922659114e-10,3.0469826508717795e-21,2.6002095524321195e-15,1.707849443562068e-10,2.4303319189676877e-08,1.7034522738958276e-06,5.0233278798324387e-20,6.905513636748619e-13,8.359373322282335e-19,4.6879209071260763e-20,6.615955607137952e-12,3.105180023018273e-16,6.481997270993933e-13,3.5492137418057544e-20,2.1034524248979388e-22,4.50763819338833e-17,6.395894023927091e-17,1.779057742643112e-17,1.3449329720459931e-13,1.3222243524065193e-20,5.129508827374579e-21,7.126011328648457e-20,3.76,0.0,0.6280164914217982,0.9981568596718647,9.410257189597424e-08,2.7698278978663315e-14,0.03975802925557007,0.03979853027983927,0.0018396658673382649,1.8705852984928746e-11,1.699947570617136e-06,2.903162688316885e-06,1.821717151955147e-05,6.096409101235244e-11,3.0639273406821955e-10,8.074156093404585e-08,1.4459717636336575e-08,5.748831870145401e-11,2.262647272187677e-06,2.852025176438793e-11,1.0100240789811976e-09,5.822040302402365e-08,2.1474535608616308e-07,2.9789487761654024e-08
3.3265246372052513e-07,0.8191381372776986,7.5260675880107e-07,1.5173704473510192e-07,6.875147072910529e-08,2.8435941624694657e-07,0.0,0.0,1.654884344094204e-06,6.578092370732629e-10,1.659667439869887e-09,4.19859733592519e-11,2.561392918976672e-10,3.472123374807452e-21,2.8348883405527644e-15,1.9032642148643558e-10,2.5642164692267986e-08,1.7952138587726544e-06,5.980584277286757e-20,7.558266038895536e-13,1.0058099455396e-18,5.916029246676847e-20,7.353530356733699e-12,3.568580953481281e-16,6.847442099158147e-13,4.156833097579745e-20,2.4447939152906613e-22,5.336631441663748e-17,7.314320342158917e-17,2.0034526367741796e-17,1.4271860946825129e-13,1.493210029209732e-20,5.898955716950436e-21,8.266931865765276e-20,3.76,0.0,0.6269813702176885,0.9981567154640281,1.0251013417622845e-07,3.097405408677089e-14,0.04079181614672781,0.04083450008279113,0.0018396655566046824,1.9189061692792192e-11,1.7912759899982994e-06,3.0238424147986797e-06,1.9199997227894815e-05,6.349728039322767e-11,3.2510545027557804e-10,8.418524828266374e-08,1.519058391957926e-08,6.368828801708334e-11,2.3842768270263085e-06,2.936741113134628e-11,1.0371417401396602e-09,5.978653966726532e-08,2.2485289982638407e-07,3.173474689892371e-08
3.4135232767445813e-07,0.819293071351777,7.836219428789295e-07,1.617112934091148e-07,7.257174344802706e-08,3.0446143065554793e-07,0.0,0.0,1.696400936515531e-06,6.891135358604875e-10,1.7983633164967963e-09,4.7908828228398094e-11,2.7338380635974005e-10,3.948648790247649e-21,3.089162769474281e-15,2.114426131346428e-10,2.7016418842641968e-08,1.8893419804506131e-06,7.083606347040126e-20,8.25159167433968e-13,1.2041470183837482e-18,7.416629184705062e-20,8.150580963806811e-12,4.084660774107093e-16,7.22276321579509e-13,4.854562990256995e-20,2.8325930057668768e-22,6.291803539314302e-17,8.334941235478186e-17,2.2486232732736265e-17,1.512114695173085e-13,1.6806147612675684e-20,6.756771659964159e-21,9.551737308895112e-20,3.76,0.0,0.6259479521834039,0.9981565685491995,1.1137662176471542e-07,3.453710869173738e-14,0.041823866248933146,0.04186878932845809,0.0018396652409749838,1.9671275552228647e-11,1.8849311224286465e-06,3.146962289863015e-06,2.0208174367298917e-05,6.608116562372316e-11,3.443766995060195e-10,8.769999846723402e-08,1.5936628861157837e-08,7.04054532697122e-11,2.509007773744911e-06,3.021780321527639e-11,1.064253242593952e-09,6.135195212078805e-08,2.3518762124430003e-07,3.376561867830376e-08
