Time (s),Volume (m^3),H(5),O(6),OH(7),H2(8),Ar(9),He(10),HO2(11),H2O2(12),CO(13),CO2(14),HCO(15),C(T)(16),CH(17),CH2(T)(18),CH3(19),CH2O(20),HCCO(21),C2H(22),C2H2(23),H2CC(24),CH2(S)(25),CH3OH(26),CH3O(27),CH2CO(28),C2H3(29),C2H4(30),C2H6(31),C2H5(32),CH2OH(33),CH3CO(34),CH2CHO(35),CH3CHO(36),N2,Ne,CH3CF3(1),O2(2),H2O(3),CH4(4),CH2CF2(57),HF(38),O2(161),S(164),CF2O(49),S(125),C2HF(58),S(463),C2HF(468),C2H2F3(68),S(165),S(464),S(130),C2H2F2(59),C2H3F2(65)
1.0887517109083313e-19,0.7720147042096202,1.178661464284694e-22,2.2870220344822385e-24,1.225009610419199e-35,2.304305637788832e-35,0.0,0.0,2.3547159294406305e-19,3.0894084646205776e-35,5.199253452922139e-48,7.420814450817411e-65,2.3122064725461704e-48,4.446645175120232e-92,3.663902660349164e-72,3.590232386596451e-52,3.8869274502651053e-73,3.722304448729393e-32,1.59233762219626e-103,4.367825849007806e-64,1.5808840776109562e-98,6.389003540461479e-115,9.426755100062566e-54,1.8464578653708925e-83,1.8225526469463854e-52,5.659815209346505e-106,6.241871254452302e-104,1.5030708674302488e-98,3.256971101809031e-158,9.427744548118343e-127,2.2251739109332338e-51,1.7620777577190352e-134,6.948228514236819e-113,7.382545437621133e-135,3.76,0.0,0.7411910281279434,0.9999999999996649,1.0667839081202199e-47,5.948795980933442e-104,5.05650214705711e-15,5.05650214705711e-15,3.3509996766680445e-13,7.859005165084306e-37,3.722304448729393e-32,2.355894590904835e-19,2.0307200715983243e-31,2.594151543372228e-34,1.7985279792893715e-48,3.3655992744343354e-32,1.2785624020574763e-34,2.36019998312556e-38,1.3604086212260512e-33,2.900549076813039e-32,2.566742821644988e-32
2.178449339897382e-19,0.7720147042096208,2.3583469611362386e-22,4.5760310562410615e-24,4.903230908884278e-35,9.223227745018851e-35,0.0,0.0,4.711477658992625e-19,1.2365685089297724e-34,4.162564131613784e-47,1.1886182377853253e-63,1.8511710988212828e-47,1.4246203089170379e-90,5.868997669254547e-71,2.875097716028436e-51,6.226053905215604e-72,1.4898918402540504e-31,1.0207515637271912e-101,6.996654288019373e-63,1.0134093538956531e-96,8.196530689147016e-113,7.549044412207537e-53,5.915959960728614e-82,1.459150307790072e-51,3.628656796267627e-104,4.001828250201483e-102,9.639415028864555e-97,1.67213421283443e-155,1.2093832296966494e-124,1.7814921299951746e-50,4.522352553026303e-132,8.911793168823252e-111,1.8947219024265446e-132,3.76,0.0,0.7411910281279382,0.9999999999993295,8.540757768608174e-47,3.8140853043763975e-102,1.0117397432382684e-14,1.0117397432382685e-14,6.704910733218079e-13,3.145650438605529e-36,1.4898918402540508e-31,4.713836005953435e-19,8.128172495633734e-31,1.0383366727242139e-33,1.4399159654380255e-47,1.3471168102500829e-31,5.117581639669785e-34,9.446950791277177e-38,5.445179811862796e-33,1.1609755356323472e-31,1.0273660411381236e-31
4.357844597875483e-19,0.7720147042096223,4.717717954891898e-22,9.15404910059539e-24,1.961931038978044e-34,3.690492479104446e-34,0.0,0.0,9.425001118093321e-19,4.947884740789378e-34,3.3313163944564165e-46,1.9028201083792794e-62,1.4814994881638002e-46,4.561497022431102e-89,9.395802479281887e-70,2.301243464937763e-50,9.967265815752677e-71,5.9615080368240005e-31,6.538113097217691e-100,1.1201157469508605e-61,6.491084379868645e-95,1.0503482893225162e-110,6.042293156369077e-52,1.894275213232692e-80,1.1677637121167037e-50,2.3243824196898816e-102,2.563422122232871e-100,6.17555646891013e-95,8.573039145574969e-153,1.5496983929963737e-122,1.4257351362220219e-49,1.1591880612063462e-129,1.1418668389063753e-108,4.856629338573084e-130,3.76,0.0,0.7411910281279281,0.9999999999986587,6.835201925897749e-46,2.4432107880803696e-100,2.0239188003033693e-14,2.0239188003033702e-14,1.3412732842582825e-12,1.258670120826779e-35,5.961508036824005e-31,9.42971883604691e-19,3.252327741750165e-30,4.154699186822029e-33,1.1523703922056662e-46,5.390221941841285e-31,2.047699253071994e-33,3.7800108389189045e-37,2.1787811920793198e-32,4.645414383212165e-31,4.110802370759004e-31
8.716635113831687e-19,0.772014704209625,9.436459942613496e-22,1.8310085192650768e-23,7.84900168886006e-34,1.476437302119105e-33,0.0,0.0,1.885204803628155e-18,1.9794760832192664e-33,2.665559260517618e-45,3.0453371511566544e-61,1.1854246827718664e-45,1.4601131227020584e-87,1.5037610330810413e-68,1.841461002956443e-49,1.595209039843323e-69,2.3849914062729784e-30,4.186090621471e-98,1.7927062144702133e-60,4.15597947680706e-93,1.3452094237071904e-108,4.835057875238207e-51,6.063550213373407e-79,9.3438839433927e-50,1.4882585666062879e-100,1.6413111705272273e-98,3.954383163065435e-93,4.392402487019693e-150,1.9846980772371208e-120,1.1408047286319945e-48,2.969399158759706e-127,1.4623306931941342e-106,1.244083816639776e-127,3.76,0.0,0.7411910281279079,0.9999999999973171,5.46920004710708e-45,1.5643580569553843e-98,4.0482769144335155e-14,4.048276914433518e-14,2.6828377046371016e-12,5.035501723859581e-35,2.384991406272982e-30,1.886148449621895e-18,1.3011428755642477e-29,1.6621502123139134e-32,9.220713991146886e-46,2.156439766860714e-30,8.192130404577374e-33,1.512250475158305e-36,8.716543503974356e-32,1.8584682445175024e-30,1.6445886276523083e-30
1.7434216145744096e-18,0.7720147042096306,1.887394391889781e-21,3.662215739014841e-23,3.13985620043663e-33,5.906229863893225e-33,0.0,0.0,3.770614187260535e-18,7.918548752563441e-33,2.132649889846146e-44,4.8731995196168273e-60,9.484297935372205e-45,4.6730566368075516e-86,2.4063638196766264e-67,1.4733553180361748e-48,2.5526917310330267e-68,9.540742072188452e-30,2.679642100940545e-96,2.868746826891701e-59,2.660366350263717e-91,1.7223569368497141e-106,3.868535701335083e-50,1.9406352498341405e-77,7.475816935226386e-49,9.526947963496352e-99,1.0506699318372845e-96,2.5314540580949275e-91,2.2496857929117418e-147,2.541115822233238e-118,9.127304407906635e-48,7.604066292828616e-125,1.872257765620764e-104,3.1858619576676585e-125,3.76,0.0,0.7411910281278674,0.9999999999946341,4.3757754847588665e-44,1.0014142252217062e-96,8.096993142693583e-14,8.096993142693595e-14,5.365966539418222e-12,2.0143659357631546e-34,9.540742072188484e-30,3.772501581650341e-18,5.204995090150108e-29,6.649141961886842e-32,7.377271609099081e-45,8.626461097384745e-30,3.277118865649058e-32,6.0494942152745e-36,3.486901168056976e-31,7.434478003705185e-30,6.578889907276277e-30
3.486937820956891e-18,0.7720147042096422,3.774891187483091e-21,7.324630183869125e-23,1.2559935870579605e-32,2.3625880802502315e-32,0.0,0.0,7.541432954504227e-18,3.167548389542494e-32,1.706200911690144e-43,7.7976473363029e-59,7.587798569684401e-44,1.4954892787717338e-84,3.8504590734839425e-66,1.178758866048701e-47,4.084592614592844e-67,3.816452130798041e-29,1.7151457614033848e-94,4.5903284572818325e-58,1.7028071218722423e-89,2.2049298136617014e-104,3.095024335640637e-49,6.210511544195899e-76,5.980937485323358e-48,6.097917096381444e-97,6.725026179552206e-95,1.6203382566163416e-89,1.152043630385475e-144,3.253098815027006e-116,7.302190188640954e-47,1.9469488064025304e-122,2.3967936595635877e-102,8.157096346504368e-123,3.76,0.0,0.7411910281277865,0.9999999999892678,3.5007865757333883e-43,6.409771365197789e-95,1.6194425599212823e-13,1.6194425599212874e-13,1.073222418507439e-11,8.057802138643971e-34,3.8164521307980644e-29,7.545207845683378e-18,2.0820827566550693e-28,2.6597650102758014e-31,5.902097468652254e-44,3.450724849701603e-29,1.310900894016952e-31,2.4198961528645576e-35,1.3948172218393806e-30,2.97391221098516e-29,2.6316630459306643e-29
6.973970233721853e-18,0.7720147042096648,7.549884780015496e-21,1.4649459094996717e-22,5.024076564499127e-32,9.450544595303307e-32,0.0,0.0,1.5083070488907355e-17,1.2670451339719348e-31,1.3649931348058123e-42,1.2476658253421685e-57,6.07038296874128e-43,4.785743562791032e-83,6.160956116377103e-65,9.430369396733e-47,6.535576894725445e-66,1.5266119188359826e-28,1.097750105583159e-92,7.344792369823797e-57,1.0898518134690193e-87,2.82251046473229e-102,2.4760977841999756e-48,1.9874403033747925e-74,4.784863581785733e-47,3.9028821392566614e-95,4.304253151665176e-93,1.0370829440801053e-87,5.899047163792075e-142,4.1643215027519344e-114,5.841890839160139e-46,4.98458304028577e-120,3.0680902964851496e-100,2.0883817794922814e-120,3.76,0.0,0.7411910281276245,0.9999999999785353,2.800695737886238e-42,4.1024842039034315e-93,3.238929051224771e-13,3.2389290512247917e-13,2.146473938076244e-11,3.223194848926114e-33,1.5266119188360019e-28,1.5090620373654036e-17,8.328500470826144e-28,1.0639276489130019e-30,4.721790050361789e-43,1.3803180223380994e-28,5.243710314237648e-31,9.679781551038436e-35,5.5793823930303345e-30,1.1895890867795342e-28,1.052686635256796e-28
1.394803505925178e-17,0.7720147042097103,1.5099871970463453e-20,2.929911700292801e-22,2.009651069779877e-31,3.780256294518984e-31,0.0,0.0,3.016634555737657e-17,5.068232092597352e-31,1.0920074776603294e-41,1.9962991276139387e-56,4.856364053906438e-42,1.531466409668612e-81,9.857707133757915e-64,7.544414926955178e-46,1.0457106088366042e-64,6.106509853564885e-28,7.025793680387248e-91,1.17518812661251e-55,6.975228449770094e-86,3.6129416165165396e-100,1.98090955966341e-47,6.359931590345341e-73,3.82793632846571e-46,2.4979142746220247e-93,2.7547976984256265e-91,6.637543573863918e-86,3.020523236976819e-139,5.330696565181788e-112,4.673568178756944e-45,1.276103719184452e-117,3.9272800509114795e-98,5.346468776301662e-118,3.76,0.0,0.7411910281273005,0.9999999999570702,2.2405831821499721e-41,2.6256636771701834e-91,6.477902033830315e-13,6.477902033830398e-13,4.2929769389641376e-11,1.2892977889269616e-32,6.106509853565042e-28,3.01814454292137e-17,3.331434077472742e-27,4.255753880147715e-30,3.7774768709007356e-42,5.521328253231101e-28,2.097505506123724e-30,3.871952010733833e-34,2.2317756540838507e-29,4.758404752751914e-28,4.210789374371346e-28
2.7896164710311634e-17,0.7720147042098011,3.019984637289195e-20,5.8598433161495e-22,8.038645171620357e-31,1.5121102100772725e-30,0.0,0.0,6.033289569296687e-17,2.027303148379421e-30,8.736111820270078e-41,3.1941056668379516e-55,3.88511436755865e-41,4.900738124493696e-80,1.5772473501322257e-62,6.03557973841162e-45,1.6731516457219593e-63,2.4426164128330393e-27,4.4965840290745385e-89,1.880318080546891e-54,4.464202825071958e-84,4.6246473898207376e-98,1.584740189628598e-46,2.035197755116748e-71,3.0623672881403265e-45,1.5986885172474446e-91,1.7630947864324327e-89,4.248096030109854e-84,1.5466250517742885e-136,6.823878056429699e-110,3.738876796348134e-44,3.266890184821842e-115,5.026998237898778e-96,1.3687231017348603e-115,3.76,0.0,0.7411910281266527,0.9999999999141401,1.7924771834331975e-40,1.6804483841849715e-89,1.295584799903567e-12,1.2955847999036e-12,8.585982787741068e-11,5.157271258902793e-32,2.4426164128331656e-27,6.036309553880641e-17,1.3325804088472894e-26,1.702310204600766e-29,3.021999428823616e-41,2.2085425328892578e-27,8.390065046380351e-30,1.548788684033747e-33,8.92714797456153e-29,1.903371582616193e-27,1.684324315810564e-27
5.579242401243134e-17,0.7720147042099831,6.03997952638793e-20,1.1719706684944682e-21,3.215466250653252e-30,6.048456232530017e-30,0.0,0.0,1.206659959587549e-16,8.109233215865855e-30,6.988910446886082e-40,5.110590770799574e-54,3.1081008281938573e-40,1.5682435382089921e-78,2.5236071948380026e-61,4.82848296179017e-44,2.6770544577140397e-62,9.770490879862408e-27,2.877877975389665e-87,3.0085225908039116e-53,2.857107999801731e-82,8.614420216456295e-96,1.2677971826906208e-45,6.512664422164281e-70,2.4499011847341725e-44,1.3519419594267435e-89,1.490969233555122e-87,3.592426529143916e-82,1.4087607166642295e-133,1.2586476953776336e-107,2.991110418801843e-43,1.8077320153815499e-112,1.1263658860067014e-93,7.573823680835361e-113,3.76,0.0,0.7411910281253571,0.9999999998282799,1.4339860032953585e-39,1.2364178990546228e-87,2.591173992942344e-12,2.5911739929424753e-12,1.717199387329954e-10,2.0629568476984698e-31,9.770490879863419e-27,1.2072639575188532e-16,5.33033519113227e-26,6.809258088356982e-29,2.4176067155061146e-40,8.83419258496932e-27,3.3560348316187666e-29,6.195170508782167e-33,3.570868232914536e-28,7.613505696303402e-27,6.73731439024496e-27
1.1158494261667073e-16,0.7720147042103466,1.2079969339037548e-19,2.343943397086234e-21,1.286188139453538e-29,2.419385577577492e-29,0.0,0.0,2.413321964687607e-16,3.2436974105176254e-29,5.5911370593999965e-39,8.1769627680468975e-53,2.4864845311684093e-39,5.018391317824179e-77,4.0377808732620224e-60,3.862794121469512e-43,4.2832968684509364e-61,3.9082016261851407e-26,1.8418930013036326e-85,4.813647073212961e-52,1.8285549978249502e-80,1.1074356701673419e-93,1.0142397812865909e-44,2.084057781994795e-68,1.9599239919618154e-43,8.68536964669819e-88,9.578489345537551e-86,2.3078970549439613e-80,7.231236991213932e-131,1.6153354285009293e-105,2.3928920563074074e-42,4.637525693398444e-110,1.446582331602061e-91,1.9429761655442704e-110,3.76,0.0,0.7411910281227658,0.9999999996565596,1.1471905075775474e-38,7.929192678774803e-86,5.182352379010723e-12,5.182352379011246e-12,3.4344013596435294e-10,8.252182666886642e-31,3.908201626185949e-26,2.414529961536173e-16,2.132136787601799e-25,2.7237066612030557e-28,1.9340882407198787e-39,3.533681516810114e-26,1.3424158621991414e-28,2.47807136855117e-32,1.4283490789254134e-27,3.0454061539051485e-26,2.69492917737476e-26
2.231699798251495e-16,0.772014704211074,2.4159949102145373e-19,4.6878890736007975e-21,5.144755858515615e-29,9.677548528387367e-29,0.0,0.0,4.826645974024913e-16,1.2974797887994125e-28,4.47291361725392e-38,1.3083155005959168e-51,1.9891893882986496e-38,1.60588730388134e-75,6.460457571725716e-59,3.090238531751069e-42,6.853283664255613e-60,1.5632818881454656e-25,1.1788711867993146e-83,7.701844054230302e-51,1.1702771598342432e-78,1.4176101262379513e-91,8.113926754599711e-44,6.668993873105631e-67,1.5679405752095336e-42,5.559023979891726e-86,6.130606168323393e-84,1.477144229108399e-78,3.7036617356451e-128,2.0687185849099213e-103,1.9143153392664977e-41,1.1872188342616156e-107,1.8516769871008865e-89,4.974070421766565e-108,3.76,0.0,0.7411910281175832,0.9999999993131191,9.1775309174935e-38,5.074852938517623e-84,1.0364709151110776e-11,1.0364709151112874e-11,6.868804325078484e-10,3.301150992080042e-30,1.5632818881461121e-25,4.829061968593774e-16,8.528552572686e-25,1.0894833271461597e-27,1.5472717388329508e-38,1.4134734969969665e-25,5.369668643392594e-28,9.912291888327663e-32,5.713399704339629e-27,1.218163238408649e-25,1.0779723519035761e-25
4.463400542421071e-16,0.7720147042125286,4.831990917959567e-19,9.375781303955e-21,2.0579030213988645e-28,3.871020694125192e-28,0.0,0.0,9.653293989248283e-16,5.189920802444013e-28,3.5783332640563234e-37,2.0933061428824892e-50,1.5913525614523076e-37,5.138843746456504e-74,1.0336740847379165e-57,2.472192333243996e-41,1.0965263637403872e-58,6.25313149050691e-25,7.545521377961545e-82,1.2322957459602962e-49,7.489781127216573e-77,1.8145449193636615e-89,6.491145387425424e-43,2.134079925056173e-65,1.2543532751746e-41,3.5578462183435775e-84,3.9235966565688057e-82,9.4537436141084e-77,1.897504925504349e-125,2.6506429480803318e-101,1.5314532782422866e-40,3.039284932548682e-105,2.3701501571381983e-87,1.2733640482957284e-105,3.76,0.0,0.741191028107218,0.9999999986262385,7.3420275361090544e-37,3.247910832552397e-82,2.0729422695164068e-11,2.0729422695172463e-11,1.3737606339181837e-09,1.3206814777586436e-29,6.25313149051208e-25,9.65812597880083e-16,3.4114221135128705e-24,4.3579344538549196e-27,1.237817847857524e-37,5.653895718197757e-25,2.1478695646684595e-27,3.964918105390312e-31,2.2853604131570753e-26,4.8726545214834135e-25,4.311890743105521e-25
