Time (s),Volume (m^3),H(5),O(6),OH(7),H2(8),Ar(9),He(10),HO2(11),H2O2(12),CO(13),CO2(14),HCO(15),C(T)(16),CH(17),CH2(T)(18),CH3(19),CH2O(20),HCCO(21),C2H(22),C2H2(23),H2CC(24),CH2(S)(25),CH3OH(26),CH3O(27),CH2CO(28),C2H3(29),C2H4(30),C2H6(31),C2H5(32),CH2OH(33),CH3CO(34),CH2CHO(35),CH3CHO(36),N2,Ne,CH3CF3(1),O2(2),H2O(3),CH4(4),CH2CF2(57),HF(38),O2(161),S(164),CF2O(49),S(125),C2HF(58),S(463),C2HF(468),C2H2F3(68),S(165),S(464),S(130),C2H2F2(59),C2H3F2(65),C2H2F3(67)
2.0808407388335066e-19,0.6762121562164597,2.25600271876907e-23,1.4882663744566473e-25,3.082682381386966e-36,4.220855682053815e-36,0.0,0.0,7.252101404627546e-20,6.08714752353263e-36,3.694084493128185e-49,3.535447995218605e-66,3.0857221243777555e-49,1.4275924147440273e-94,6.053735966757567e-74,8.085340407109798e-54,4.644876493535024e-75,8.832283892096017e-33,5.994231965400255e-107,1.0370067439176518e-66,2.2084014378347742e-101,9.275452584009101e-118,2.0689801274044032e-55,4.6195351291689995e-85,5.410071778774528e-54,9.10821047245034e-109,3.3981565380062295e-106,1.1005985804976088e-100,1.142929580757977e-161,5.197308483687949e-130,8.934947390067222e-53,4.98225562460483e-137,6.551168076991066e-115,4.367157947151277e-137,3.76,0.0,0.5398061115712309,0.9999999999996617,2.919728506300501e-48,4.793418635324721e-106,1.156887370483558e-15,1.156887370483558e-15,3.3831956718368663e-13,2.8832801303833904e-37,8.832283892096017e-33,7.254357407345437e-20,6.857760120515338e-33,2.3789558363690737e-34,1.5250077739068823e-50,7.88899944369869e-33,1.083741668496813e-35,1.8352082501892486e-39,4.413913475904294e-35,1.2348574343305426e-33,1.4577345476944063e-33,2.135173979943121e-33
4.1634893323488845e-19,0.6762121562164597,4.5139654746828543e-23,2.9778257694988197e-25,1.233876322774577e-35,1.6894422595678798e-35,0.0,0.0,1.45105035055199e-19,2.436445365839605e-35,2.957513756755301e-48,5.662854540353197e-65,2.4704539512644548e-48,4.573777980940036e-93,9.697226571189078e-73,6.474829825854464e-53,7.440336998440165e-74,3.5352153173872315e-32,3.842540718682748e-105,1.6611417058160947e-65,1.4156728541291753e-99,1.1898476988397232e-115,1.6568610801156982e-54,1.4800762788402631e-83,4.331346979310191e-53,5.83951406588962e-107,2.1786477613016542e-104,7.058300928230928e-99,5.868380046262832e-159,6.667284379861988e-128,7.153390744322458e-52,1.278733992366986e-134,8.402523690241044e-113,1.1208644714889184e-134,3.76,0.0,0.5398061115712298,0.9999999999993231,2.3375581250737988e-47,3.073444447470298e-104,2.3147798559718768e-15,2.3147798559718768e-15,6.769330694513414e-13,1.1540635250284911e-36,3.5352153173872315e-32,1.4515017470991068e-19,2.744891232071909e-32,9.522023082995943e-34,1.2209334891377553e-49,3.157655710045328e-32,4.3377909888178083e-35,7.345615691702593e-39,1.7667156892991385e-34,4.9426478686827536e-33,5.834737156632498e-33,8.546260343760399e-33
8.32878651937964e-19,0.67621215621646,9.029890986601155e-23,5.9569445604162355e-25,4.937112489482779e-35,6.759969638800533e-35,0.0,0.0,2.902730770729461e-19,9.748955080409475e-35,2.3669098553868276e-47,9.065480262977631e-64,1.9771139833746946e-47,1.4644867287972265e-91,1.5524567616544145e-71,5.182488143324139e-52,1.191137133187226e-72,1.414546610824603e-31,2.4612227687128363e-103,2.659372474331652e-64,9.06766048155059e-98,1.5246645687208817e-113,1.3261599832939857e-53,4.73916630248508e-82,3.466393969882198e-52,3.740575415437786e-105,1.39556060897946e-102,4.521948254749619e-97,3.008873095417249e-156,8.543605043347897e-126,5.724886659729678e-51,3.277759731083393e-132,1.076614208564591e-110,2.8730951479005237e-132,3.76,0.0,0.5398061115712275,0.9999999999986459,1.870756931748377e-46,1.968816469332531e-102,4.630564826948505e-15,4.630564826948505e-15,1.3541600732420976e-12,4.6177578847467276e-36,1.4145466108246037e-31,2.9036337598267155e-19,1.098314031468923e-31,3.8100495338895317e-33,9.771178579207834e-49,1.2634735877024006e-31,1.7356814209955644e-34,2.939203087606891e-38,7.069164010052372e-34,1.9777029571808593e-32,2.3346548723507078e-32,3.4196173394698983e-32
1.6659380893441151e-18,0.6762121562164607,1.8061742010800696e-22,1.1915182145583342e-24,1.975166481288985e-34,2.7044280383710135e-34,0.0,0.0,5.806091611080403e-19,3.900216845991514e-34,1.8938875025526375e-46,1.4508699942753145e-62,1.5819915809990499e-46,4.6877624665830155e-90,2.4846514639165467e-70,4.1470404851778593e-51,1.906366163207568e-71,5.6591075467376195e-31,1.5758223753978376e-101,4.256232960104549e-63,5.805657214508985e-96,1.952633398756004e-111,1.0611965001462856e-52,1.5170009434557036e-80,2.7736418450099e-51,2.395020640991551e-103,8.935513189369696e-101,2.8955311380990704e-95,1.541645766916633e-153,1.0941993386711872e-123,4.580779142694791e-50,8.396446137010777e-130,1.3787649730960806e-108,7.359840451310902e-130,3.76,0.0,0.5398061115712228,0.9999999999972914,1.496889778826476e-45,1.2606226982840572e-100,9.262134768901718e-15,9.262134768901718e-15,2.7086140778453967e-12,1.8474042821281452e-35,5.659107546737623e-31,5.807897785275857e-19,4.393971305023002e-31,1.5242679088802907e-32,7.818427446999238e-48,5.054717075249755e-31,6.9438559080645365e-34,1.1758726245925885e-37,2.8281259196187167e-33,7.912099631620857e-32,9.340139725261541e-32,1.368069607900506e-31
3.3320569641564172e-18,0.6762121562164617,3.612544406065153e-22,2.3831657329246684e-24,7.901308942162599e-34,1.081859258226159e-33,0.0,0.0,1.1612813291766292e-18,1.5602137102020795e-33,1.5152538669644512e-45,2.3217065585503354e-61,1.2657134372263448e-45,1.5003088202902967e-88,3.9760189586100203e-69,3.318052429341938e-50,3.0506233374695605e-70,2.2638272561047405e-30,1.008731802150381e-99,6.810962499124594e-62,3.7163742452420807e-94,2.500051125853309e-109,8.490646190763979e-52,4.8551515262703305e-79,2.2191241693521238e-50,1.533150311077903e-101,5.719984860699316e-99,1.8536150277212962e-93,7.89615883005242e-151,1.4009981563245975e-121,3.66497128265011e-49,2.150179288742762e-127,1.7652665310727132e-106,1.884723161655532e-127,3.76,0.0,0.5398061115712136,0.9999999999945824,1.197625528610357e-44,8.069842278821461e-99,1.8525274652807986e-14,1.8525274652807993e-14,5.417522075139137e-12,7.390222055591584e-35,2.2638272561047433e-30,1.1616425836149847e-18,1.757731568025352e-30,6.097567860296569e-32,6.255335854461277e-47,2.0220513866155047e-30,2.7777684338712666e-33,4.703873305562589e-37,1.1313424370925066e-32,3.165097431613029e-31,3.736359958871942e-31,5.472723807567186e-31
6.6642947137810215e-18,0.6762121562164642,7.225284816616019e-22,4.766460774988986e-24,3.1606521850246056e-33,4.327613125232486e-33,0.0,0.0,2.322625665307408e-18,6.2411087934446e-33,1.2122606462256703e-44,3.7149821694895836e-60,1.0126188243119955e-44,4.801347999839568e-87,6.362091683829167e-68,2.6546099729498486e-49,4.881347365910008e-69,9.05567754117518e-30,6.456550046424586e-98,1.0898331873550319e-60,2.3787207085300607e-92,3.200500958163984e-107,6.792946661775558e-51,1.5537682650350285e-77,1.775383622434328e-49,9.81324414053595e-100,3.6611924335036356e-97,1.1864656750199317e-91,4.0436950420037554e-148,1.7936186106727453e-119,2.932116229527003e-48,5.505341201230201e-125,2.2598275286549603e-104,4.825664600684149e-125,3.76,0.0,0.5398061115711951,0.9999999999891647,9.581459075878907e-44,5.165293391829645e-97,3.7051554420619885e-14,3.705155442061991e-14,1.08353380220752e-11,2.9562119141681568e-34,9.055677541175201e-30,2.3233481937800666e-18,7.031212374320318e-30,2.439126391638516e-31,5.004506254948787e-46,8.088534670484094e-30,1.1111525970720605e-32,1.8816258870550642e-36,4.52555388996798e-32,1.2660904903062777e-30,1.4946047994212016e-30,2.1891786014104493e-30
1.332877021303023e-17,0.6762121562164689,1.4450765640040544e-21,9.533050880444217e-24,1.2642865962429735e-32,1.7310804694275968e-32,0.0,0.0,4.645314337543368e-18,2.4964943087959587e-32,9.69831544435477e-44,5.944172830921065e-59,8.101142945637487e-44,1.5364889353398673e-85,1.017971585111766e-66,2.1237551965863143e-48,7.810435870213911e-68,3.622344744186981e-29,4.132416706054973e-96,1.7437964522747586e-59,1.5224584407844159e-90,4.096920002416914e-105,5.43452922969842e-50,4.972250128116718e-76,1.420340621810618e-48,6.280826774623713e-98,2.3432918684181867e-95,7.5938669883904755e-90,2.070705983946638e-145,2.2962297893036707e-117,2.3457486801914023e-47,1.4094802966175372e-122,2.8927625543769165e-102,1.2354691433992865e-122,3.76,0.0,0.539806111571158,0.999999999978329,7.66534920517064e-43,3.305977984076179e-95,7.41041139562411e-14,7.410411395624119e-14,2.1670969725341653e-11,1.182511066268045e-33,3.6223447441869987e-29,4.64675941407136e-18,2.812542171190505e-29,9.756704057375938e-31,4.003700034963209e-45,3.235479693587771e-29,4.4447008992223246e-32,7.526656685930498e-36,1.8102583822035324e-31,5.064464998652243e-30,5.978540831223831e-30,8.756892565731773e-30
2.6657721211528648e-17,0.6762121562164783,2.8901727296180785e-21,1.906623117666108e-23,5.057197831042533e-32,6.924392318943014e-32,0.0,0.0,9.290691681912902e-18,9.986078818817553e-32,7.758744558990373e-43,9.510837658288774e-58,6.480991374606464e-43,4.916856772620039e-84,1.6287840891461465e-65,1.6990310519853945e-47,1.2496921633056902e-66,1.448952661792327e-28,2.644833156025413e-94,2.7901250064160136e-58,9.743981044432542e-89,5.24423608652302e-103,4.347692163107284e-49,1.5911507288021426e-74,1.1362860002647619e-47,4.019846702805751e-96,1.4997480149731708e-93,4.860230676567296e-88,1.0604032272993755e-142,2.939888951661284e-115,1.8766212450307587e-46,3.6084142099456886e-120,3.7028534677559316e-100,3.162927804360283e-120,3.76,0.0,0.5398061115710838,0.9999999999566578,6.132352144192105e-42,2.1158867979189596e-93,1.4820923302747322e-13,1.4820923302747365e-13,4.3342232369451876e-11,4.730110320990418e-33,1.4489526617923408e-28,9.293581854498474e-18,1.1250283128704856e-28,3.902721315266794e-30,3.2029980407431316e-44,1.2942050421654134e-28,1.777898511858452e-31,3.0106933064461464e-35,7.241107159831222e-31,2.0258066073463214e-29,2.391440659116925e-29,3.502792658748814e-29
5.331562320852548e-17,0.6762121562164972,5.780365064562602e-21,3.813259211032041e-23,2.0228894225941035e-31,2.769771017435587e-31,0.0,0.0,1.8581446370242428e-17,3.994451844258812e-31,6.2070326767726e-42,1.5217469279567844e-56,5.184824029709808e-42,1.5734089528707012e-82,2.6060782491983197e-64,1.359235610781747e-46,1.999525455034892e-65,5.795840323079205e-28,1.6927614501241823e-92,4.4642405560485704e-57,6.236226964160809e-87,9.34939928331256e-101,3.4781812715365754e-48,5.0917315502648805e-73,9.090342223198511e-47,3.399447763015147e-94,1.2682791081424707e-91,4.1101202959787946e-86,1.043947718348299e-139,5.423870653652394e-113,1.5013059515589002e-45,1.996739771982206e-117,8.29678648408888e-98,1.7502270418210147e-117,3.76,0.0,0.5398061115709356,0.9999999999133152,4.905910829645262e-41,1.5842396159742032e-91,2.964194711698964e-13,2.96419471169898e-13,8.668475460798182e-11,1.8920681030515692e-32,5.795840323079317e-28,1.85872267347308e-17,4.500136140371901e-28,1.561096459644272e-29,2.562413637586409e-43,5.176846494513793e-28,7.111630750507592e-31,1.2042834524279432e-34,2.8964575725444804e-30,8.103267647072106e-29,9.565811287563446e-29,1.4011241901192192e-28
1.0663142720251916e-16,0.6762121562165351,1.1560749749317549e-20,7.626531534254177e-23,8.091578278113765e-31,1.1079112261915063e-30,0.0,0.0,3.716295574526332e-17,1.5977848009906265e-30,4.965641189990205e-41,2.4348054459554864e-55,4.147871791947796e-41,5.034932539998375e-81,4.1697443673907853e-63,1.0873928142789339e-45,3.199255295911452e-64,2.318342182461668e-27,1.0834202590295665e-90,7.142817323740302e-56,3.9912106033301367e-85,1.202642734009306e-98,2.7825560802540036e-47,1.6293620459685543e-71,7.272295802191328e-46,2.1839454446896384e-92,8.147875575279568e-90,2.640489843455773e-84,5.358928149965765e-137,6.964543217112379e-111,1.2010483996707476e-44,5.122422338017184e-115,1.0655525744378684e-95,4.490020319593454e-115,3.76,0.0,0.5398061115706392,0.9999999998266301,3.9247403127917096e-40,1.0162204886006916e-89,5.928399474545778e-13,5.928399474545846e-13,1.7336978688628146e-10,7.568406468962787e-32,2.318342182461759e-27,3.7174516492707845e-17,1.800059033936558e-27,6.244401665999005e-29,2.0499369917363856e-42,2.0707438600071387e-27,2.8446599596928486e-30,4.817146096697474e-34,1.1585859566211535e-29,3.241315303770583e-28,3.826334243365717e-28,5.604511014522027e-28
2.132630351905065e-16,0.6762121562166108,2.312151917829105e-20,1.525307672665976e-22,3.2366354346674594e-30,4.431650553121446e-30,0.0,0.0,7.432597448875241e-17,6.391147329999365e-30,3.972519350136066e-40,3.8956971275646564e-54,3.3183027746447694e-40,1.611182385014805e-79,6.6716069740437735e-62,8.699160104234625e-45,5.118820681141659e-63,9.273381780598578e-27,6.93449988551961e-89,1.1428533656565443e-54,2.5543829474192478e-83,1.539512903130099e-96,2.2260493639215038e-46,5.2139717465519454e-70,5.817845987425642e-45,1.3978369155480469e-90,5.214964746093622e-88,1.6900193334954055e-82,2.7460295020398413e-134,8.928466764201597e-109,9.608402650252263e-44,1.3113560883908093e-112,1.36394729609608e-93,1.1494592143238567e-112,3.76,0.0,0.5398061115700463,0.99999999965326,3.139796915183345e-39,6.504062779177834e-88,1.1856809000232828e-12,1.1856809000233095e-12,3.4673980264785314e-10,3.0274582848173676e-31,9.273381780599308e-27,7.434909599871154e-17,7.200245291328982e-27,2.497763800136695e-28,1.6399520255003854e-41,8.282985940599321e-27,1.1378657708637988e-29,1.9268609178864355e-33,4.634349568693153e-29,1.2965277716072444e-27,1.5305356414961506e-27,2.2418072572402513e-27
4.2652625116648116e-16,0.6762121562167619,4.624305827409248e-20,3.0506169295317946e-22,1.2946550032477566e-29,1.7726613588519752e-29,0.0,0.0,1.4865201194951996e-16,2.5564605567709136e-29,3.1780186452963785e-39,6.2331225354608495e-53,2.6546448582419167e-39,5.155790945560662e-78,1.0674586031490883e-60,6.959335579165797e-44,8.190124626812533e-62,3.709356077813719e-26,4.4388399138809415e-87,1.828567457344236e-53,1.6348077625940913e-81,1.9705831014537377e-94,1.7808414102263154e-45,1.6684733777569697e-68,4.654281386140174e-44,8.946500230958704e-89,3.337586924874371e-86,1.0816155445967265e-80,1.4082308054650233e-131,1.146341122994684e-106,7.686729740029e-43,3.357079696411678e-110,1.7458563775167984e-91,2.942622770539758e-110,3.76,0.0,0.5398061115688606,0.9999999993065202,2.5118394066274285e-38,4.162609926415851e-86,2.3713628051580597e-12,2.371362805158165e-12,6.934796389909967e-10,1.2110575620021472e-30,3.709356077814302e-26,1.486982549709174e-16,2.880099947646733e-26,9.991061214017928e-28,1.3119625923501323e-40,3.3131964572796954e-26,4.55146869812558e-29,7.707448804423994e-33,1.8537408855158411e-28,5.1861143954994604e-27,6.12214644212354e-27,8.967234736780972e-27
