Time (s),Volume (m^3),H(5),O(6),OH(7),H2(8),Ar(9),He(10),HO2(11),H2O2(12),CO(13),CO2(14),HCO(15),C(T)(16),CH(17),CH2(T)(18),CH3(19),CH2O(20),HCCO(21),C2H(22),C2H2(23),H2CC(24),CH2(S)(25),CH3OH(26),CH3O(27),CH2CO(28),C2H3(29),C2H4(30),C2H6(31),C2H5(32),CH2OH(33),CH3CO(34),CH2CHO(35),CH3CHO(36),N2,Ne,CH3CF3(1),O2(2),H2O(3),CH4(4),CH2CF2(57),HF(38),O2(161),S(164),CF2O(49),S(125),C2HF(58),S(463),C2HF(468),C2H2F3(68),S(165),S(464),S(130),C2H2F2(59),C2H3F2(65),C2H2F3(67),CF2(43),CHFCF2(55),CF2CH(73),C2HF2(72),S(179),C2H3F2(64)
5.0296614911013466e-20,0.9028635697791375,6.825774489330883e-22,9.32684207822649e-23,6.959123311838888e-35,1.187152847812609e-34,0.0,0.0,9.095338815328837e-19,1.8549918644222315e-34,1.4364060689545472e-46,1.2876382700783665e-60,3.4237911412223615e-47,6.41900633418051e-73,5.368350582683268e-54,1.5164125032388825e-47,1.586266022792612e-43,2.027737812346123e-31,5.569945368047554e-96,8.599926737867378e-61,4.201773456855178e-95,3.7730688509785566e-106,6.656171586065694e-36,1.5198082925358949e-81,1.2907583859443434e-50,2.558976957449546e-96,5.828534729551058e-101,7.691169157038445e-91,3.66053981448867e-100,2.3283493588132823e-95,1.0381623683072745e-49,6.986594349961815e-104,2.0956271367021298e-105,9.659090051573634e-105,3.76,0.0,0.8158698350759035,0.9999999999996453,4.636688336882926e-47,6.458338352820485e-57,2.5746480852195645e-14,2.5746480852195673e-14,3.5476067062962443e-13,2.1795490418733922e-36,2.027737812346124e-31,9.102164589821823e-19,1.4577590714902126e-29,2.601612143824679e-34,8.383385364717185e-46,2.129478049114279e-31,2.8070933612550936e-33,4.923130931622729e-37,1.0089270216079448e-31,1.3521533234641002e-30,6.6965773937856375e-31,9.387494840053964e-32,6.656171744785563e-36,8.629312489571811e-40,1.1598279706077497e-33,4.686255745950422e-36,1.1913503394301438e-45,3.251212135372224e-33
1.0063692801048134e-19,0.9028635697791415,1.3657479278113128e-21,1.8661787408175883e-22,2.7854629246791007e-34,4.751705200911717e-34,0.0,0.0,1.819857974951928e-18,7.424801706002733e-34,1.1499982516314251e-45,2.0619010129614648e-59,2.7411147248007216e-46,1.0278773688092223e-71,4.297944740162307e-53,1.214053212216871e-46,1.2699773358765389e-42,8.116235687268961e-31,3.5710384791347757e-94,1.3775895918756007e-59,2.6935033282553506e-93,4.8389869394894107e-104,2.664203282797927e-35,4.869390836191089e-80,1.0333915472265439e-49,1.6406276341239332e-94,3.736831913424856e-99,4.9310113696779456e-89,4.695006003030845e-98,1.4927932685258414e-93,8.311611418699216e-49,8.961001403612772e-102,2.6878500129425944e-103,1.2388742665722643e-102,3.76,0.0,0.8158698350758777,0.9999999999992902,3.71216997525483e-46,1.0341755962284684e-55,5.1515330497485044e-14,5.1515330497485164e-14,7.098295607249094e-13,8.723877538358086e-36,8.116235687268968e-31,1.8212237228812015e-18,5.83483531574158e-29,1.0413228571995484e-33,6.711805748968512e-45,8.523461776327106e-31,1.1235688943232204e-32,1.970535377604195e-36,4.038337426030075e-31,5.412137107124649e-30,2.6803761359295622e-30,3.757444387779015e-31,2.66420340987033e-35,3.458879218467498e-39,4.642334481354029e-33,1.8757235719855332e-35,9.540283244982694e-45,1.3013321444571526e-32
2.013175542094171e-19,0.9028635697791499,2.7320888856144856e-21,3.7331678069782193e-22,1.1145479932737033e-33,1.9013010186710964e-33,0.0,0.0,3.6405061617885494e-18,2.97088780760815e-33,9.203481093853869e-45,3.300386116396058e-58,2.193724860938552e-45,1.645273256588709e-70,3.4396621645913395e-52,9.716120116466562e-46,1.0163678407258245e-41,3.247551464071884e-30,2.287474122231261e-92,2.2054252378016104e-58,1.7252413664910177e-91,6.1999640554343415e-102,1.066028341662534e-34,1.5591664633878553e-78,8.270273099525107e-49,1.0509249932178729e-92,2.3936812430868944e-97,3.1586222244145323e-87,6.015704843541338e-96,9.56262483998472e-92,6.651815204302563e-48,1.1481718983491917e-99,3.4439385878491186e-101,1.5873679229070338e-100,3.76,0.0,0.8158698350758262,0.9999999999985801,2.970864184838968e-45,1.655354457656641e-54,1.0305302978806047e-13,1.0305302978806099e-13,1.4199673407442817e-12,3.490688395061279e-35,3.247551464071889e-30,3.643238250680015e-18,2.334694148792162e-28,4.1666478144548955e-33,5.371484453951056e-44,3.4104949427706e-30,4.4957390949808183e-32,7.884708251661821e-36,1.6158609881385035e-30,2.1655598063617334e-29,1.0724995895158724e-29,1.5034671849057627e-30,1.0660284433590761e-34,1.387927792426001e-38,1.857538484609577e-32,7.505337531933388e-35,7.636020647017056e-44,5.207023641226015e-32
4.026788066072886e-19,0.9028635697791666,5.464770801407726e-21,7.46714593998249e-22,4.4589177235969905e-33,7.606442127890378e-33,0.0,0.0,7.281802535455925e-18,1.1885485756382839e-32,7.364183207803223e-44,5.28169365112167e-57,1.7553131928562282e-44,2.632973072092103e-69,2.7522525595628947e-51,7.774374176660828e-45,8.132486943691004e-41,1.2992320538876112e-29,1.4646267962309148e-90,3.529706229134983e-57,1.104602450909989e-89,7.939835170108591e-100,4.2648075225812356e-34,4.990871487898898e-77,6.617475077411312e-48,6.728876383536892e-91,1.5326368253389705e-95,2.0224066477762677e-85,7.704006794027455e-94,6.123214154655289e-90,5.322462808269249e-47,1.4704052704697758e-97,4.410476739949889e-99,2.0328612497449075e-98,3.76,0.0,0.8158698350757232,0.9999999999971598,2.377142726333253e-44,2.6491060695033547e-53,2.0612842836919797e-13,2.0612842836919994e-13,2.840242900098235e-12,1.396503491775029e-34,1.2992320538876162e-29,7.28726730628074e-18,9.340296856698709e-28,1.6669304414518692e-32,4.298003679438906e-43,1.364420055145937e-29,1.7985883840851518e-31,3.1543967220750634e-35,6.464496137380407e-30,8.663649353369127e-29,4.290696727730194e-29,6.014847738642184e-30,4.264808336308084e-34,5.584024567869759e-38,7.43136349485343e-32,3.002623731719737e-34,6.110334504764014e-43,2.083148517333957e-31
8.054013114030315e-19,0.9028635697792,1.0930134633741789e-20,1.4935102208723073e-21,1.7837122501367957e-32,3.042824479631882e-32,0.0,0.0,1.456439528276721e-17,4.754581235290259e-32,5.8919059616745304e-43,8.45157064095115e-56,1.4043838908890929e-43,4.2131861534265835e-68,2.2020114687232785e-50,6.220090637844997e-44,6.5066073078288844e-40,5.197351184632221e-29,9.37567075609084e-89,5.6483507799550385e-56,7.070889570073696e-88,1.0165473703943366e-97,1.706061850083422e-33,1.5973251341003675e-75,5.294482819734563e-47,4.30742765949211e-89,9.811127497749489e-94,1.2946246210580782e-83,9.863628408249657e-92,3.920287227630472e-88,4.258374549567682e-46,1.882595848052928e-95,5.646841293723466e-97,2.6027220018156908e-96,3.76,0.0,0.815869835075517,0.9999999999943193,1.9018947519995952e-43,4.2390009145791044e-52,4.1227922553141916e-13,4.122792255314272e-13,5.680794016066978e-12,5.586475270427197e-34,5.197351184632263e-29,1.4575325417494593e-17,3.7364228166390905e-27,6.66826443494056e-32,3.438729424918523e-42,5.458124407954241e-29,7.19493907708694e-31,1.2618613804504993e-34,2.586008906508094e-29,3.4657417870541116e-28,1.716418374897374e-28,2.4061349091943016e-29,1.7060625011267134e-33,2.2589213676489213e-37,2.972787326448982e-31,1.2011472438680466e-33,4.888874870229204e-42,8.333272238274847e-31
1.6108463209945175e-18,0.9028635697792669,2.1860862301400234e-20,2.9871014757132377e-21,7.13513933436281e-32,1.2171793194715245e-31,0.0,0.0,2.9129580777295896e-17,1.9019098834130063e-31,4.7137485436040555e-42,1.3523201707431693e-54,1.1235604513513353e-42,6.741442842673142e-67,1.761693376008926e-49,4.976309041382849e-43,5.205532960182573e-39,2.0790250726360997e-28,6.001088333871256e-87,9.038017952335917e-55,4.5258282339494185e-86,1.3013396775066213e-95,6.824525092142421e-33,5.1118345030626444e-74,4.2357874736364554e-46,2.7570573252418287e-87,6.279935226196498e-92,8.286507663274628e-82,1.2627044423633567e-89,2.509988064717566e-86,3.4068613724050596e-45,2.410028079128048e-93,7.228872885461389e-95,3.3319063754413604e-94,3.76,0.0,0.8158698350751047,0.9999999999886382,1.521588034245103e-42,6.78274644698031e-51,8.245808198556468e-13,8.245808198556788e-13,1.1361896237047808e-11,2.2346863748341958e-33,2.079025072636133e-28,2.9151441639971887e-17,1.494629943612673e-26,2.667414310985917e-31,2.751114139425476e-41,2.1833386035495875e-28,2.878092748644467e-30,5.047650912559546e-34,1.034445654096134e-28,1.3863531260008816e-27,6.865952876544813e-28,9.62493127810982e-29,6.824530300736011e-33,9.237099348904536e-37,1.1891633180009065e-30,4.804784488231865e-33,3.9113428141963223e-41,3.333444533093217e-30
3.2217363401774896e-18,0.9028635697794003,4.3722317648678414e-20,5.9742839897663536e-21,2.8541138032078677e-31,4.868816336168646e-31,0.0,0.0,5.825995176597779e-17,7.607794314953479e-31,3.7710883536039705e-41,2.163767369344873e-53,8.988696989464275e-42,1.0786589627733725e-65,1.4093890671278376e-48,3.981141847850808e-42,4.1645252156669956e-38,8.316269506761278e-28,3.8409074491204266e-85,1.4461354108647574e-53,2.8966769421653873e-84,1.6658165826849167e-93,2.729865576063137e-32,1.6358501116903848e-72,3.388710634576106e-45,1.764614644525296e-85,4.019537909537686e-90,5.303656154595388e-80,1.6163640976122656e-87,1.6074133085301924e-84,2.7255537974435943e-44,3.085031411534292e-91,9.253543611349005e-93,4.265110404312381e-92,3.76,0.0,0.81586983507428,0.999999999977276,1.2172993218888673e-41,1.0852670308957175e-49,1.649184008503242e-12,1.6491840085033712e-12,2.2724100635182837e-11,8.938970057983406e-33,8.31626950676154e-28,5.830367408512481e-17,5.97864141052792e-26,1.0669874316376135e-30,2.2009435526813393e-40,8.733532095942184e-28,1.1512605278292518e-29,2.0191014440695422e-33,4.137866798333201e-28,5.545525328605882e-27,2.7464370265216744e-27,3.850050840835548e-28,2.729869743036915e-32,3.855755144051386e-36,4.756750048544707e-30,1.9219529012914178e-32,3.129171416265878e-40,1.3334049406097144e-29
6.443516378543433e-18,0.9028635697796673,8.744522839107996e-20,1.1948649035357617e-20,1.1416571366117815e-30,1.9475463473255716e-30,0.0,0.0,1.165206937418396e-16,3.0431486824789815e-30,3.0169065014490617e-40,3.4620718681964644e-52,7.191042973605958e-41,1.725878450546363e-64,1.1275260964336265e-47,3.18495132432158e-41,3.3316597109715638e-37,3.326541658759814e-27,2.4582482706306242e-83,2.3138586889960394e-52,1.8539202596152362e-82,2.13231037787531e-91,1.091957338249919e-31,5.23482137515208e-71,2.7110010365645143e-44,1.129385731910705e-83,2.5727779685349253e-88,3.3944331466245814e-78,2.069011589659657e-85,1.0299666904046006e-82,2.180468925614821e-43,3.948965320843277e-89,1.1844911115842453e-90,5.459514296791373e-90,3.76,0.0,0.8158698350726308,0.9999999999545515,9.73851016523401e-41,1.7364493287256873e-48,3.2983903857949956e-12,3.2983903857955122e-12,4.544850925614641e-11,3.5756585529119295e-32,3.3265416587600235e-27,1.166081389762241e-16,2.3914808916413667e-25,4.2679931370622634e-30,1.76077573879993e-39,3.4934483733178556e-27,4.605089003617344e-29,8.076487936404269e-33,1.655163553844232e-27,2.2182326967519628e-26,1.0985859855032591e-26,1.540036002336512e-27,1.0919606718685032e-31,1.6709912405924763e-35,1.902719374878878e-29,7.687889839864145e-32,2.503375991180115e-39,5.333674012329289e-29
1.2887076455275321e-17,0.9028635697802013,1.7489105006726376e-19,2.389737919648027e-20,4.566651787869472e-30,7.79022502339694e-30,0.0,0.0,2.330421776875553e-16,1.2172656642880679e-29,2.4135395456404862e-39,5.53935025001031e-51,5.752868579020288e-40,2.761430004011957e-63,9.020285679142365e-47,2.5479761973946867e-40,2.6653435825006906e-36,1.3306234447536822e-26,1.5733005050044612e-81,3.702207527897037e-51,1.186524032193762e-80,2.729398983126716e-89,4.367851567824337e-31,1.6751590685376267e-69,2.1688142668306166e-43,7.228185194800138e-82,1.646860439895491e-86,2.172467046856457e-76,2.6483767813691262e-83,6.607159776517885e-81,1.7443855076355224e-42,5.054755706454129e-87,1.51617265110878e-88,6.988289051245712e-88,3.76,0.0,0.8158698350693322,0.9999999999091025,7.790854385519145e-40,2.778336587758323e-47,6.596803140364752e-12,6.596803140366816e-12,9.089732579684757e-11,1.430298021272508e-31,1.33062344475385e-26,2.332170687615964e-16,9.565972221628091e-25,1.7072059334770034e-29,1.4086289496288384e-38,1.397386454967687e-26,1.8420450080610471e-28,3.230611607702741e-32,6.620687868319491e-27,8.872975919334213e-26,4.3943662888166214e-26,6.1601753410462715e-27,4.367878236931243e-31,7.713392142534091e-35,7.610916210453728e-29,3.0751716005589797e-31,2.0027163229128812e-38,2.133480450688198e-28
2.5774196608739094e-17,0.9028635697812695,3.497826941851545e-19,4.7794839798486074e-20,1.8266653719719579e-29,3.116097942757009e-29,0.0,0.0,4.66085145554955e-16,4.8690750395279994e-29,1.9308374014588424e-38,8.86298860508448e-50,4.602308618666112e-39,4.418324216708348e-62,7.216287364679566e-46,2.0383870121828054e-39,2.1322811886993136e-35,5.322507421612967e-26,1.3302230221837919e-79,5.923558944748875e-50,7.593802590103988e-79,5.68110643698547e-87,1.7471450693657234e-30,5.360535647456784e-68,1.7350574700038955e-42,6.1125822704109006e-80,1.3933943711586834e-84,1.83715663694671e-74,5.9341941287664945e-81,5.630013734077027e-79,1.3955125721966435e-41,1.1326146090108686e-84,3.397274569931613e-86,1.5658597112662926e-85,3.76,0.0,0.8158698350627351,0.9999999998182046,6.232702036968348e-39,4.4453526642280954e-46,1.3193628649449255e-11,1.3193628649457519e-11,1.8179495607334607e-10,5.721425238379222e-31,5.32250742161431e-26,4.66434928345036e-16,3.826398619673967e-24,6.828841063339584e-29,1.1269065029436284e-37,5.589560020149205e-26,7.368199070412854e-28,1.292247930550764e-31,2.64828186494793e-26,3.549199395424074e-25,1.7577509824292586e-25,2.464076402417453e-26,1.747166404714512e-30,3.908881341971991e-34,3.0443742262615208e-28,1.2300717872364296e-30,1.602179248875862e-37,8.533943460154871e-28
