Time (s),Volume (m^3),H(5),O(6),OH(7),H2(8),Ar(9),He(10),HO2(11),H2O2(12),CO(13),CO2(14),HCO(15),C(T)(16),CH(17),CH2(T)(18),CH3(19),CH2O(20),HCCO(21),C2H(22),C2H2(23),H2CC(24),CH2(S)(25),CH3OH(26),CH3O(27),CH2CO(28),C2H3(29),C2H4(30),C2H6(31),C2H5(32),CH2OH(33),CH3CO(34),CH2CHO(35),CH3CHO(36),N2,Ne,CH3CF3(1),O2(2),H2O(3),CH4(4),CH2CF2(57),HF(38),O2(161),S(164),CF2O(49)
1.0625333227696075e-15,0.4600677262521325,2.886888571856767e-52,2.314830915968038e-30,1.6932444355314707e-62,2.414345895044243e-49,0.0,0.0,1.6605573355562032e-47,2.555274163647665e-89,2.41434665635118e-49,2.1364164564756567e-68,1.6605861892157848e-47,2.4978179094490728e-116,2.8276979838291825e-101,3.836280054031533e-82,8.218031209953833e-103,9.265773676713863e-32,4.3118660445080636e-151,8.988343703230605e-137,3.0470507935649566e-116,3.3020058650998434e-120,1.5784667892560145e-91,2.506760834443689e-136,3.504486816007261e-83,2.3541032708633022e-111,8.2189840372229e-106,6.134627971101573e-125,7.413066345726945e-200,1.0231450091074827e-158,3.531119104320668e-80,2.2668008141633638e-159,9.362309816704346e-115,3.06802490366401e-157,3.76,0.0,0.7226833206611593,0.9999999999613229,1.4442779908388506e-91,3.72088484430958e-144,1.1015726553280984e-16,1.1015726553280994e-16,3.867700805295307e-11,1.488395270019523e-35,9.265773676713864e-32
2.1250738513533466e-15,0.4600677262521325,2.3095458042565346e-51,4.629677530375014e-30,2.7092324345047485e-61,1.931489513459708e-48,0.0,0.0,1.3284546762016998e-46,1.6354928367223005e-87,1.931490731559362e-48,3.4182913943967546e-67,1.328477747297752e-46,7.993101798031882e-115,1.019479102855669e-99,6.138108198531048e-81,5.259919398803955e-101,3.706331068890733e-31,1.7380661514441396e-148,1.150553690327687e-134,3.9006750832501e-114,4.226734022755237e-118,5.051144268198345e-90,1.2836888107274279e-133,1.1215984211448791e-81,2.26953699622053e-109,5.260527231266709e-104,7.852593580861881e-123,3.0367561471619616e-196,5.238999125344299e-156,1.1301219769351124e-78,2.3214283932752548e-156,1.1985139433661464e-112,3.141961233177334e-154,3.76,0.0,0.7226833206611591,0.9999999999226458,4.621736181527383e-90,1.905273668287926e-141,2.2031527812245399e-16,2.2031527812245438e-16,7.735412670087146e-11,5.953625304986169e-35,3.7063310688907333e-31
4.2501549085208256e-15,0.46006772625213255,1.8476761128807342e-50,9.259370758830839e-30,4.33486283705222e-60,1.5451983329906836e-47,0.0,0.0,1.0627683737772088e-45,1.0467252283977356e-85,1.5452002819589177e-47,5.469294277173981e-66,1.0627868115589776e-45,2.557809678788108e-113,3.9958170155274357e-98,9.821031676663709e-80,3.3663824500763113e-99,1.482538395301552e-30,7.696416936290876e-146,1.4727227675006283e-132,4.99291490399742e-112,5.41026766748451e-116,1.6163757578844284e-88,6.572603500142205e-131,3.5891591883348434e-80,2.4289447069986604e-107,3.3667688923963543e-102,1.0051422090051263e-120,1.2438797501773336e-192,2.682407118165735e-153,3.6164348233944654e-77,2.377178945527053e-153,1.5341134553174068e-110,3.217417537349479e-151,3.76,0.0,0.7226833206611589,0.999999999845292,1.4789645895549175e-88,9.755145073869817e-139,4.4063130330174166e-16,4.4063130330174314e-16,1.5470790889204135e-10,2.3814673328462383e-34,1.4825383953015531e-30
6.375235965688304e-15,0.4600677262521325,5.283259262467614e-50,1.3889063986928546e-29,1.5955322953097707e-59,4.418308799699851e-47,0.0,0.0,3.0388583661774886e-45,5.19437258923552e-85,4.418315973207382e-47,2.0130669494013773e-65,3.038911055299979e-45,1.1966023726119208e-112,1.9110370710040348e-97,3.7442749999733106e-79,1.6705685998799656e-98,3.1504001545103314e-30,5.249423128521599e-145,7.59870860196145e-132,2.9576677486664927e-111,2.791499243498402e-115,7.586243658854891e-88,3.988799879895235e-130,1.5867334092146492e-79,1.2438608970630716e-106,1.6707586124875376e-101,5.622479694668717e-120,1.1077995948072629e-191,1.8440470393957656e-152,1.5987916952452188e-76,1.5903302440543425e-152,9.08767318634509e-110,2.1524490173655408e-150,3.76,0.0,0.7226833206611587,0.9999999997679386,6.941323132860319e-88,6.706270003397938e-138,6.609473284810287e-16,6.609473284810319e-16,2.320612359812219e-10,5.060642105469742e-34,3.1504001545103342e-30
8.500317022855782e-15,0.46006772625213255,1.1144036937792663e-49,1.851875721466813e-29,4.046648760863236e-59,9.319504793066857e-47,0.0,0.0,6.4098406250855e-45,2.197418945959911e-84,9.319522986654917e-47,5.105580571520502e-65,6.409951701583158e-45,3.860331945662929e-112,6.896261147644892e-97,1.0074263427018342e-78,7.067139419146939e-98,5.374220307120487e-30,3.379778888251273e-144,4.1453718956266726e-131,1.3357542653243494e-110,1.5228638727105752e-114,2.3648637075658067e-87,3.2531472414396915e-129,5.422318228402377e-79,6.496299031764437e-106,7.067950037240107e-101,2.942703045630632e-119,1.0549527016517771e-190,1.2611654981946387e-151,5.463524782068791e-76,1.4671246226630368e-151,4.104212931228307e-109,1.9856950826186388e-149,3.76,0.0,0.7226833206611585,0.9999999996905857,2.1638224142085135e-87,4.586497073693858e-137,8.812633536603151e-16,8.812633536603206e-16,3.0941410797109065e-10,8.632898023056165e-34,5.374220307120493e-30
1.2750479137190738e-14,0.46006772625213255,3.0438330831697455e-49,2.777814366930682e-29,1.4151521575701995e-58,2.545450844256904e-46,0.0,0.0,1.7507297562135129e-44,1.9793091068384326e-83,2.545457206653385e-46,1.785450045129834e-64,1.750760067296429e-44,2.1249135191614385e-111,4.874827679311721e-96,4.0747194838658654e-78,6.365665672524419e-97,1.1126668456417153e-29,1.0127161096097896e-142,5.757229299757335e-130,1.3834242216021543e-109,2.1150020437600984e-113,1.1651973178057767e-86,1.4025426700475164e-127,3.3340694016123377e-78,8.53443873812984e-105,6.366404355668462e-100,4.369696485583942e-118,1.465594702586931e-188,5.084192204364408e-150,3.359406410033918e-75,1.0417024531420542e-149,4.2506827242481055e-108,1.409903026479705e-147,3.76,0.0,0.722683320661158,0.9999999995358811,1.0661419101454138e-86,1.8489748332857663e-135,1.3218954040188865e-15,1.3218954040188975e-15,4.641187838689123e-10,1.7873463877634948e-33,1.112666845641717e-29
1.7000641251525695e-14,0.4600677262521327,6.3688112164608985e-49,3.7037530122628586e-29,3.5361199152779535e-58,5.325943689647063e-46,0.0,0.0,3.6631185320724407e-44,7.80737389801064e-83,5.325959587564538e-46,4.461361093374352e-64,3.663181902226291e-44,6.819424856107187e-111,1.7684184014976784e-95,1.1037315298978319e-77,2.5109336291941883e-96,1.892359300643419e-29,5.916623422040484e-142,2.6465234211951424e-129,6.193727818083911e-109,9.722386314051707e-113,3.6560903671490646e-86,8.811265853510894e-127,1.1192615402924693e-77,3.864438511946293e-104,2.5112246667532303e-99,2.080688697007498e-117,1.6038390157061155e-187,3.1257020230931744e-149,1.1277672727270234e-74,7.320558321880633e-149,1.9030729275369696e-107,9.908085997439852e-147,3.76,0.0,0.7226833206611576,0.999999999381178,3.3452801475281915e-86,1.1367281458311938e-134,1.7625274543774556e-15,1.7625274543774747e-15,6.188217862264926e-10,3.0398325566417467e-33,1.892359300643423e-29
2.125080336586065e-14,0.4600677262521327,1.15943514361225e-48,4.6296916574539396e-29,7.502349605111636e-58,9.69569332891905e-46,0.0,0.0,6.668578608208323e-44,2.4616243858189636e-82,9.695727058127889e-46,9.465279809206281e-64,6.668693877138583e-44,1.781896791240249e-110,5.2116929450830424e-95,2.4795032800587543e-77,7.916844265758841e-96,2.891104116882796e-29,2.803145361069544e-141,9.771040069407823e-129,2.1611200729197197e-108,3.589531375669263e-112,9.398810674255185e-86,4.6092961123425184e-126,3.024802804969932e-77,1.4076180438442975e-103,7.917760654470011e-99,7.910348107325033e-117,1.2456507076442931e-186,1.5715941856277004e-148,3.047789505317899e-74,4.3583639313237255e-148,6.640216077626627e-107,5.898873142913656e-146,3.76,0.0,0.7226833206611571,0.9999999992264768,8.599803096094365e-86,5.71543714499603e-134,2.203159504736022e-15,2.2031595047360513e-15,7.735229955231391e-10,4.644215300448871e-33,2.891104116882802e-29
2.975112759453057e-14,0.4600677262521327,3.0613754380813974e-48,6.481568947403955e-29,2.7487297491921807e-57,2.5599601740084512e-45,0.0,0.0,1.7607091514101502e-43,2.0286535714046223e-81,2.5599725313924906e-45,3.467802744892476e-63,1.7607395180168778e-43,9.968012603385358e-110,3.8287804511970373e-94,9.615244085632662e-77,6.52437829462466e-95,5.559519160494509e-29,1.053200860249385e-139,1.1978667811342023e-127,2.8438436128796105e-107,4.400527929157772e-111,5.302474609685676e-85,1.5649278679743755e-124,1.696068287011562e-76,1.680657194413828e-102,6.525119112299594e-98,1.0804074169405464e-115,3.328944123221439e-184,5.914913833425264e-147,1.7089573152595728e-73,2.475532572696272e-146,8.73793932764998e-106,3.350535782920273e-144,3.76,0.0,0.7226833206611563,0.9999999989170798,4.851704625364352e-85,2.151084456794817e-132,3.084423605453148e-15,3.0844236054532036e-15,1.0829199224252496e-09,8.930825405067146e-33,5.559519160494526e-29
3.825145182320048e-14,0.4600677262521328,6.347230799655068e-48,8.333446236780923e-29,7.137735278534434e-57,5.307458796889747e-45,0.0,0.0,3.650405005231296e-43,8.34214524000976e-81,5.307490884925353e-45,9.004744964015037e-63,3.6504678357786524e-43,3.295067962537852e-109,1.4949987616956303e-93,2.5585356302639748e-76,2.6829308542828116e-94,9.117641380904154e-29,7.306542629334278e-139,5.971593643379468e-127,1.4248136762062557e-106,2.1937449462871775e-110,1.7634865831687392e-84,1.0981938353471372e-123,5.668987964902905e-76,8.297833921909163e-102,2.683232360167249e-97,5.481439374152599e-115,3.4540046221328917e-183,4.163026968203775e-146,5.712068444492867e-73,1.9826250387405917e-145,4.377855166977153e-105,2.6834049593529775e-143,3.76,0.0,0.7226833206611554,0.9999999986076902,1.6135707933368101e-84,1.5139734674880395e-131,3.965687706170264e-15,3.965687706170355e-15,1.3923095670266983e-09,1.4646787039515944e-32,9.117641380904191e-29
5.525210028054031e-14,0.46006772625213294,1.9073238273271228e-47,1.2037200813816026e-28,3.164095071598868e-56,1.5947518853798366e-44,0.0,0.0,1.0968508130668097e-42,8.33542082877223e-80,1.5947661087079406e-44,3.991449877570931e-62,1.0968696018385526e-42,2.206507810637631e-108,1.3865238471321448e-92,1.1468067996792196e-75,2.6807786439611557e-93,1.8902695769768332e-28,2.9106154939692267e-137,9.094032884733624e-126,2.2932336825583532e-105,3.3408041744997903e-109,1.2071796592582705e-83,4.3007467232434857e-122,3.760446323065467e-75,1.2437881848310463e-100,2.6810691052077176e-96,8.647233182974476e-114,6.329644261881667e-181,1.650052514566388e-144,3.7890228098770667e-72,1.264174301032762e-143,7.046145815639545e-104,1.711010510305572e-141,3.76,0.0,0.7226833206611536,0.9999999979889328,1.1045569357642658e-83,6.0007675869173965e-130,5.728215907604465e-15,5.7282159076046544e-15,2.01106701328161e-09,3.0366531338566657e-32,1.8902695769768444e-28
8.925339719521996e-14,0.46006772625213327,8.2017667161532e-47,1.9444709961011397e-28,2.3341069803532583e-55,6.856482428277204e-44,0.0,0.0,4.7158050490429556e-42,1.7223839300297378e-78,6.85658733435878e-44,2.9439661858795292e-61,4.71588496858872e-42,2.7457145379749216e-107,2.6861300433332774e-91,8.323984815533952e-75,5.539454402504796e-92,4.914836876070098e-28,3.179108907286e-135,3.182971440466789e-124,8.982336940648689e-104,1.1692957899786627e-107,1.5702363840854214e-82,4.383530138600044e-120,4.558378189226423e-74,4.2989580737826325e-99,5.540006973997298e-95,3.097392187390545e-112,3.4412518752208095e-178,1.7338467646510637e-142,4.59301730679873e-71,2.2148292818545874e-141,2.7598956128534703e-102,2.9976862913948616e-139,3.76,0.0,0.72268332066115,0.9999999967515052,1.43675280961603e-82,6.305503247712061e-128,9.253272310472748e-15,9.25327231047324e-15,3.2484945403609024e-09,7.895953970261372e-32,4.914836876070144e-28
1.5725599102457926e-13,0.4600677262521339,4.6203671903893754e-46,3.425972822790665e-28,2.4680157266182257e-54,3.861120378991244e-43,0.0,0.0,2.6556320336516657e-41,5.859541334019208e-77,3.861231264931209e-43,3.1118189954919964e-60,2.655676019605017e-41,5.234793587756058e-106,8.735173007701897e-90,8.539210439251537e-74,1.8845501734819086e-90,1.5234491550082395e-27,6.925254719572063e-133,1.9859051735925305e-122,6.027307451805703e-102,7.295317742154591e-106,3.1028923943109842e-81,9.051768592983481e-118,8.409789581712961e-73,2.659925716518642e-97,1.8847063685926703e-93,1.9392995006075522e-110,4.4668184039430436e-175,3.6350813269162986e-140,8.473691609105007e-70,8.453900793719787e-139,1.8519389192252006e-100,1.1442040618210877e-136,3.76,0.0,0.7226833206611429,0.9999999942769996,2.8391322831747953e-81,1.32197479524859e-125,1.6303385116208836e-14,1.630338511621036e-14,5.723000181581516e-09,2.447782190311332e-31,1.523449155008266e-27
2.932611786832979e-13,0.46006772625213505,3.070592049866263e-45,6.388976465174411e-28,3.1959846977207383e-53,2.5641308578441455e-42,0.0,0.0,1.7635789500358122e-40,2.6786523384608403e-75,2.5642743496135922e-42,4.026951166138459e-59,1.763606786121242e-40,1.2761966282290986e-104,3.885533309778414e-88,1.0771675720709623e-72,8.615378227477358e-89,5.2958493648863816e-27,2.2575483328542536e-130,1.7413482969452787e-120,5.483273597395789e-100,6.396749083022299e-104,7.716260356885128e-80,2.851085862226795e-115,1.998499219899325e-71,2.3211187008656918e-95,8.615805369842665e-92,1.6910174508495445e-108,9.846924895998191e-172,1.1530479976166787e-137,2.0136829765394736e-68,5.126946190698543e-136,1.6847801157064864e-98,6.939144377288683e-134,3.76,0.0,0.7226833206611288,0.9999999893293856,7.060417357206398e-80,4.193304818706017e-123,3.0403610727679096e-14,3.040361072768439e-14,1.0670614179520907e-08,8.510986022362734e-31,5.295849364886561e-27
4.292663663420165e-13,0.4600677262521362,9.231823763720513e-45,9.351980092901512e-28,1.284262956145364e-52,7.705223249277312e-42,0.0,0.0,5.299563023602679e-40,1.927784002939663e-74,7.705799620962628e-42,1.617553104807027e-58,5.299643814407895e-40,6.81077159367324e-104,2.773689266424168e-87,4.4443934793923467e-72,6.20042944049431e-88,1.1346550750916839e-26,2.5952411152677777e-129,1.5272655631171398e-119,4.621884675658257e-99,5.610281134426649e-103,4.041857617497331e-79,3.288629463003533e-114,1.132613668069821e-70,2.033825055789479e-94,6.200656767654848e-91,1.4759780533322613e-107,1.702179374697518e-170,1.4035171776641458e-136,1.1412183403623897e-67,6.568204131896313e-135,1.4201114083023462e-97,8.889840649595713e-133,3.76,0.0,0.7226833206611147,0.9999999843836342,3.69834441213595e-79,5.104189390164846e-122,4.4503836339146806e-14,4.450383633915816e-14,1.5616365609851393e-08,1.8238619904022168e-30,1.1346550750917376e-26
5.652715540007351e-13,0.4600677262521374,2.0467960464379582e-44,1.2314983705977224e-27,3.526628779397684e-52,1.7075113045286093e-41,0.0,0.0,1.1744067265273453e-39,8.579189805337882e-74,1.7076695187196563e-41,4.4402506370549694e-58,1.1744240302043415e-39,2.3640653908429275e-103,1.2282278688993387e-86,1.2500985039629358e-71,2.759411711887001e-87,1.96760317991462e-26,1.9960563189695752e-128,8.628740908352083e-119,2.3303758461507375e-98,3.1696458166193885e-102,1.3635889020205152e-78,3.021391359681001e-113,4.056543122128435e-70,1.1480006664860937e-93,2.7594679682455956e-90,8.12736075194194e-107,2.0852541148216822e-169,1.1316496608329283e-135,4.087359874524573e-67,7.234797895876116e-134,7.160268058365659e-97,9.792053618778752e-132,3.76,0.0,0.7226833206611006,0.9999999794397446,1.247709061474918e-78,4.115485219237948e-121,5.860406195061197e-14,5.860406195063163e-14,2.0560255140228067e-08,3.1633462722676384e-30,1.9676031799147388e-26
7.012767416594537e-13,0.46006772625213865,3.8355893986782413e-44,1.527798730440697e-27,7.873583900820713e-52,3.1982602621260945e-41,0.0,0.0,2.199727333902713e-39,2.8756320590139087e-73,3.198613361196258e-41,9.909795972074354e-58,2.1997586278160836e-39,6.450034149898201e-103,4.1039629417279654e-86,2.8427351414701426e-71,9.249349811279972e-87,3.0284787226887226e-26,1.149057620648065e-127,3.569417270766057e-118,8.759886525284291e-98,1.3111523835839969e-101,3.617189901535468e-78,1.9407462446388223e-112,1.1221583019502637e-69,4.745746905915284e-93,9.249369670794566e-90,3.3181328363092247e-106,2.0539326325807447e-168,6.786782227614908e-135,1.1306826775635371e-66,5.683018413424005e-133,2.691545902937418e-96,7.69177435950157e-131,3.76,0.0,0.7226833206610865,0.9999999744977164,3.3098287131460396e-78,2.4681580305863464e-120,7.270428756207455e-14,7.270428756210483e-14,2.5502283460414516e-08,4.8698385014876334e-30,3.0284787226889464e-26
9.73287116976891e-13,0.4600677262521409,9.995254304941332e-44,2.12039944573487e-27,2.7097583943481036e-51,8.326488486991829e-41,0.0,0.0,5.72686767756821e-39,1.9424219835450835e-72,8.327702779787842e-41,3.4080350172289e-57,5.726943344258049e-39,3.1018200263257472e-102,2.7623982513281793e-85,1.0043317826925265e-70,6.247982073415913e-86,5.83419545209659e-26,2.3019048256359304e-126,3.441105936902612e-117,7.45083482707177e-97,1.2639695591528022e-100,1.6557482430687106e-77,4.061074697590718e-111,5.440866671971958e-69,4.571197508401687e-92,6.247723313804071e-89,3.201822999588338e-105,1.446155409785588e-166,1.421276982790639e-133,5.482193086508379e-66,1.802210849710786e-131,2.2893291866619e-95,2.4392340378540027e-129,3.76,0.0,0.7226833206610583,0.9999999646192406,1.5150979867267387e-77,5.168776742933727e-119,1.0090473878499209e-13,1.0090473878505044e-13,3.538075902613502e-08,9.384909568001097e-30,5.834195452097173e-26
