Time (s),Volume (m^3),H(5),O(6),OH(7),H2(8),Ar(9),He(10),HO2(11),H2O2(12),CO(13),CO2(14),HCO(15),C(T)(16),CH(17),CH2(T)(18),CH3(19),CH2O(20),HCCO(21),C2H(22),C2H2(23),H2CC(24),CH2(S)(25),CH3OH(26),CH3O(27),CH2CO(28),C2H3(29),C2H4(30),C2H6(31),C2H5(32),CH2OH(33),CH3CO(34),CH2CHO(35),CH3CHO(36),N2,Ne,CH3CF3(1),O2(2),H2O(3),CH4(4),CH2CF2(57),HF(38),O2(161),S(164),CF2O(49),S(125),C2HF(58),S(463),C2HF(468),C2H2F3(68),S(165),S(464),S(130),C2H2F2(59)
2.114074605162644e-18,0.5127804198391197,8.233022814874377e-26,8.340089856865015e-30,2.918389058255197e-38,4.0414728234279824e-38,0.0,0.0,2.8811877289726207e-21,1.646048727679801e-37,4.287891764553839e-53,1.2170559589512535e-70,4.838894180160767e-52,5.452681454435821e-103,8.355252079856315e-80,2.3160372170299534e-59,1.7929768448881196e-81,9.969919694910575e-35,1.1321793118936988e-118,2.0021520116077628e-75,5.20392678623007e-111,5.7376627436626375e-127,5.153938359806954e-61,1.1777297189285614e-89,1.0388213671505793e-58,2.5570254068331656e-118,9.32841809199735e-114,1.1480869975624535e-107,5.222482566802516e-173,6.037694469777639e-141,4.779742843546446e-57,2.0619949775304194e-145,3.5640622472406967e-121,1.4583475781213874e-144,3.76,0.0,0.5544245942292276,0.999999999999668,1.2279675704352442e-49,1.1722592553381987e-112,1.3419060393607286e-17,1.3419060393607286e-17,3.3199915961003654e-13,1.0198815062889825e-38,9.969919694910575e-35,2.8812700592003386e-21,9.108042391477466e-38,3.5568641822059353e-34,1.1619330684174123e-57,7.58065604969089e-35,3.447805244265577e-39,1.1112233330391516e-51,4.783400101966186e-40,2.2962759547248652e-38
4.229985938913613e-18,0.5127804198391197,1.6473198560203308e-25,1.6687425730263057e-29,1.1681161774426432e-37,1.6176423675956936e-37,0.0,0.0,5.764878661878778e-21,6.588484637504361e-37,3.432920639707564e-52,1.9494040106775156e-69,3.874057605634389e-51,1.7469563003251485e-101,1.338396084033337e-78,1.854708169215078e-58,2.8720991905244023e-80,3.990566121442149e-34,7.257826066372138e-117,3.207171242888552e-74,3.335923333306005e-109,7.359457872045763e-125,4.1273291843175475e-60,3.77338795709313e-88,8.316887430156582e-58,1.639434641741022e-116,5.980694831685702e-112,7.36285117945729e-106,2.6872737040024155e-170,7.772056204466818e-139,3.8267005696328874e-56,5.292363103903318e-143,4.5712638782247806e-119,3.743027989820235e-142,3.76,0.0,0.5544245942292276,0.9999999999993358,9.831207132049398e-49,7.516924022298895e-111,2.6849779397460975e-17,2.6849779397460975e-17,6.64286760733665e-13,4.082184025681946e-38,3.990566121442149e-34,5.765043393862655e-21,3.645590580941327e-37,1.4236726183569817e-33,9.302529597821867e-57,3.034237995831579e-34,1.38002062807141e-38,8.898799082097987e-51,1.9146066303428384e-39,9.1910880867928e-38
8.461808606415552e-18,0.5127804198391197,3.2953550051221865e-25,3.3382097673076414e-29,4.673986251570762e-37,6.472676547223721e-37,0.0,0.0,1.1532260527687255e-20,2.6362520448664982e-36,2.747379856519993e-51,3.1207389791580566e-68,3.100423500405286e-50,5.593619708513775e-100,2.1426791570217177e-77,1.4845182689245458e-57,4.598029457694789e-79,1.596746249823188e-33,4.648917274102802e-115,5.1344583628695376e-73,2.1367238968875727e-107,9.429877163261639e-123,3.303535580445834e-59,1.2082291541008634e-86,6.656037638909724e-57,1.0502353659040843e-114,3.83101036889904e-110,4.7170604759987785e-104,1.3835971328223272e-167,1.0027464174139355e-136,3.0625234785698577e-55,1.356595740351851e-140,5.8571542127787564e-117,9.594534101614665e-140,3.76,0.0,0.5544245942292276,0.9999999999986712,7.867953610224063e-48,4.815465206280171e-109,5.371121740516835e-17,5.371121740516835e-17,1.328861955216998e-12,1.6334054294860845e-37,1.596746249823188e-33,1.1532590063180864e-20,1.4587110925399012e-36,5.696544892224654e-33,7.4448509069004795e-56,1.2140904261127312e-33,5.521880123509176e-38,7.122645994594616e-50,7.660920408099442e-39,3.677632429419916e-37
1.6925453941419432e-17,0.5127804198391197,6.591425303470172e-25,6.677144234277221e-29,1.8698988523498593e-36,2.5894920943393912e-36,0.0,0.0,2.3067024259288856e-20,1.054672480369786e-35,2.198321324420566e-50,4.994536854930918e-67,2.4808098801848818e-49,1.790496031868195e-98,3.4292833340318715e-76,1.187915394988995e-56,7.358984476008323e-78,6.388024785520352e-33,2.976691231862434e-113,8.217521661544862e-72,1.3680581148997101e-105,1.207650005301602e-120,2.6434975491901186e-58,3.867525763468659e-85,5.3258414326229855e-56,6.725415605862227e-113,2.452924208852702e-108,3.020467055658186e-102,7.147681557025576e-165,1.3016891112535098e-134,2.4504841039552933e-54,3.4751279347244004e-138,7.500959130620915e-115,2.4577869807851657e-137,3.76,0.0,0.5544245942292276,0.999999999997342,6.295558305472801e-47,3.08338139777947e-107,1.0743409342058309e-16,1.074340934205831e-16,2.658012313127968e-12,6.534686048764249e-37,6.388024785520352e-33,2.3067683401791586e-20,5.835794225779648e-36,2.2789888930849196e-32,5.957011858655236e-55,4.8571522724878906e-33,2.2091116535405604e-37,5.699559839608152e-49,3.064867009300335e-38,1.4712924448413397e-36
3.385274461142719e-17,0.5127804198391197,1.3183565900743242e-24,1.3355013481844017e-28,7.48020415628095e-36,1.0358811388679234e-35,0.0,0.0,4.613655172243065e-20,4.2190332707714607e-35,1.758824072435703e-49,7.992342881799472e-66,1.9848363767815683e-48,5.730447869825347e-97,5.48765086982107e-75,9.504526633961939e-56,1.1776085449704585e-76,2.555417914774517e-32,1.905695447338576e-111,1.3149945593883177e-70,8.757347797770309e-104,1.546192632164748e-118,2.1150657512122597e-57,1.2377990870982956e-83,4.261077761912365e-55,4.306434658066019e-111,1.5702164303432682e-106,1.9335945830770542e-100,3.720879824401536e-162,1.7113354506390027e-132,1.9605734515398493e-53,8.899199651542869e-136,9.603661711219212e-113,6.293965997316561e-135,3.76,0.0,0.5544245942292275,0.9999999999946837,5.036924862435731e-46,1.973839031513259e-105,2.1487984545141252e-16,2.148798454514126e-16,5.3163129047271345e-12,2.614087733537126e-36,2.555417914774517e-32,4.6137870078910246e-20,2.334507674965198e-35,9.116697494373198e-32,4.7660619884967346e-54,1.9430190337603938e-32,8.837166119071113e-37,4.560225159719098e-48,1.2260465781664634e-37,5.885648759808127e-36
6.77073259514427e-17,0.5127804198391197,2.6367847097597776e-24,2.6710753231488186e-28,2.9922034162940326e-35,4.1436931640503345e-35,0.0,0.0,9.227560664846861e-20,1.6876819806082087e-34,1.4071260976827642e-48,1.2788616344395706e-64,1.5879445273992586e-47,1.833881057521014e-95,8.780879659548106e-74,7.604103058588707e-55,1.8843105488129677e-75,1.0222087903130533e-31,1.2200589156332106e-109,2.1041441816323368e-69,5.605270935414272e-102,1.9793831174844804e-116,1.6921597646572954e-56,3.9612625349748534e-82,3.409024134898279e-54,2.757986556599189e-109,1.0050489445009065e-104,1.2376592392249655e-98,1.9668223302600405e-159,2.3052881139354876e-130,1.5685332646414948e-52,2.278562894633385e-133,1.2294245415188451e-110,1.6115154128617056e-132,3.76,0.0,0.5544245942292273,0.9999999999893671,4.029731187476891e-45,1.2634090240116983e-103,4.297713495130713e-16,4.297713495130714e-16,1.063291359103441e-11,1.045678103910305e-35,1.0222087903130533e-31,9.22782434327364e-20,9.3384106826968e-35,3.646827384886478e-31,3.8130306010633263e-53,7.772392395011244e-32,3.535010550068037e-36,3.6484110570562303e-47,4.904385853694521e-37,2.354355303571974e-35
1.3541648863147373e-16,0.5127804198391198,5.27364095005404e-24,5.342223774881894e-28,1.1969057177636857e-34,1.6575109881849888e-34,0.0,0.0,1.845537164995619e-19,6.7508652694457735e-34,1.1257276643644211e-47,2.046248209263412e-63,1.2703858457453746e-46,5.868640008356792e-94,1.404991868977935e-72,6.083475685187845e-54,3.0150065204314168e-74,4.088918594011731e-31,7.812487069864891e-108,3.3667530025355116e-68,3.587555278971348e-100,2.5337748773157613e-114,1.3537707943623169e-55,1.2676529374705153e-80,2.7272841924339317e-53,1.7672124677794296e-107,6.432667096170084e-103,7.92152792231761e-97,1.0699690159737285e-156,3.244048617144408e-128,1.2548564652044372e-51,5.833592210660267e-131,1.5737632646931599e-108,4.125812724727647e-130,3.76,0.0,0.5544245942292269,0.9999999999787339,3.223861471177597e-44,8.086304880235894e-102,8.595543576363884e-16,8.595543576363887e-16,2.1266112976085116e-11,4.1828012075396106e-35,4.088918594011732e-31,1.8455899013874413e-19,3.7354402709988527e-34,1.458760629868004e-30,3.0504968868415653e-52,3.109020210467428e-31,1.4140331980963314e-35,2.918821220132328e-46,1.9617942384185743e-36,9.417612818190047e-35
2.7083481399153577e-16,0.5127804198391198,1.054735343433599e-23,1.068452268556512e-27,4.787671574430291e-34,6.630111400460367e-34,0.0,0.0,3.6910993619781823e-19,2.7003735774002924e-33,9.00592925499108e-47,3.274053364767365e-62,1.0163208504975426e-45,1.8780002520002537e-92,2.248028082024924e-71,4.866858695649887e-53,4.8240985853000934e-73,1.6355842702822855e-30,5.0090644240619e-106,5.3869026480050144e-67,2.2960935824195043e-98,4.291301423725389e-112,1.0830340141732234e-54,4.0565680103240017e-79,2.181853488321826e-52,1.4998262588749576e-105,5.439948090850981e-101,6.699076380004781e-95,1.1746954889643353e-153,6.882921468478985e-126,1.0038971958503296e-50,3.228139657654295e-128,3.5263690601046e-106,2.2831043521561026e-127,3.76,0.0,0.554424594229226,0.9999999999574675,2.5791197860553887e-43,6.352269558907231e-100,1.7191203738830206e-15,1.719120373883022e-15,4.253250379593411e-11,1.6731404570591905e-34,1.6355842702822865e-30,3.6912048354418104e-19,1.4941913081188591e-33,5.8351018554881994e-30,2.4404264721779555e-51,1.2436207342665192e-30,5.656192005587609e-35,2.3350939263939758e-45,7.847256652462325e-36,3.7670834493525493e-34
5.416714647116598e-16,0.51278041983912,2.1094778417673595e-23,2.1369128535800783e-27,1.915078370850494e-33,2.652058051380557e-33,0.0,0.0,7.382223755786097e-19,1.0801549248888733e-32,7.204787850348957e-46,5.238532139596006e-61,8.13061684726334e-45,6.009658476398322e-91,3.5968784188704164e-70,3.893519577351275e-52,7.718629656168765e-72,6.542371914452222e-30,3.214651956867231e-104,8.619122488466763e-66,1.4695185169277212e-96,5.523855962725049e-110,8.664344594520736e-54,1.2981145501359983e-77,1.745493532832775e-51,9.691478834127235e-104,3.4948366785582666e-99,4.303759922451702e-93,6.903575349801444e-151,1.1384874265577548e-123,8.031226975966186e-50,8.281512470884196e-126,4.5289280105867903e-104,5.857106375070074e-125,3.76,0.0,0.5544245942292243,0.9999999999149347,2.06330807293329e-42,4.077276147831942e-98,3.4382524063762773e-15,3.438252406376284e-15,8.506525363464621e-11,6.692619500542771e-34,6.542371914452232e-30,7.382434703287413e-19,5.976795632049357e-33,2.3340525963801614e-29,1.9523527627762122e-50,4.974508233132634e-30,2.26248965016742e-34,1.8680899212301542e-44,3.1389185241703554e-35,1.5068410449544391e-33
1.083344766151908e-15,0.5127804198391203,4.2189628443443615e-23,4.273837235175605e-27,7.660332968481423e-33,1.0608259200713443e-32,0.0,0.0,1.4764472542773082e-18,4.3206306872767264e-32,5.76385009094039e-45,8.381694497459874e-60,6.504515650954388e-44,1.9231005480720816e-89,5.755034225415701e-69,3.1148308888154243e-51,1.2349869456552925e-70,2.616956666714637e-29,2.0686408725160745e-102,1.3790658505430691e-64,9.404978092721122e-95,7.071310430328583e-108,6.93150941358193e-53,4.153988357205853e-76,1.3963995845195144e-50,6.274681170124306e-102,2.236842321484688e-97,2.7545913027591626e-91,4.430182623156744e-148,2.109582676751424e-121,6.425003447055863e-49,2.120102423624901e-123,5.797218808350498e-102,1.499444181526332e-122,3.76,0.0,0.5544245942292209,0.9999999998298693,1.6506513565776424e-41,2.6095935866721437e-96,6.876516471362759e-15,6.8765164713627854e-15,1.7013062610831705e-10,2.6770735139004388e-33,2.616956666714644e-29,1.4764894437926068e-18,2.3907243327480468e-32,9.336233989373736e-29,1.561886844049378e-49,1.9898083491135104e-29,9.049992338498197e-34,1.494477848871806e-43,1.2555705209977529e-34,6.0273795163907316e-33
2.1666913690324044e-15,0.5127804198391211,8.437932873136288e-23,8.54769884456592e-27,3.0641370867162654e-32,4.243309089520307e-32,0.0,0.0,2.9528970114231668e-18,1.7282544723287987e-31,4.61109124831754e-44,1.3410763796647126e-58,5.2036248392486924e-43,6.153941384486518e-88,9.208084052857117e-68,2.4918742875247286e-50,1.9759855042030653e-69,1.0467849942751113e-28,1.3383348794394656e-100,2.2065103379080728e-63,6.019205029242821e-93,9.051348056223767e-106,5.545228618726195e-52,1.3292806179388575e-74,1.1171223091082853e-49,4.1076328906623835e-100,1.4315870165805712e-95,1.7629508113518357e-89,3.1851799854087118e-145,4.3700345672542093e-119,5.1400148682458873e-48,5.427492606203085e-121,7.420476760122539e-100,3.838598771726631e-120,3.76,0.0,0.554424594229214,0.9999999996597391,1.3205230454843002e-40,1.6701492232081277e-94,1.3753044601335597e-14,1.3753044601335703e-14,3.40260862242167e-10,1.0708458915882912e-32,1.046784994275117e-28,2.9529813902993175e-18,9.562909490862257e-32,3.7344982328697906e-28,1.2495113284530013e-48,7.959243481273291e-29,3.620010116479189e-33,1.1955846435676514e-42,5.022287816140803e-34,2.4109548787639214e-32
3.2500379719129007e-15,0.5127804198391217,1.265690292556614e-22,1.2821573300163068e-26,6.511293748844229e-32,9.017035207468497e-32,0.0,0.0,4.4293467683174896e-18,3.6725421269409947e-31,1.318485202237482e-43,5.073401497192157e-58,1.487912894568107e-42,2.8882672212850115e-87,3.510583889671799e-67,7.397763793396609e-50,7.532853793286055e-69,2.2244206263513675e-28,7.634018737648134e-100,8.412325051395118e-63,3.4348870607114304e-92,5.4129036484959625e-105,1.646152791425155e-51,6.2186759153655934e-74,3.194274639872423e-49,2.0431152738767654e-99,7.10424576985167e-95,8.867271003712475e-89,2.5028904985254435e-144,2.9135658742606124e-118,1.4697243918350552e-47,2.9507765228773823e-120,3.828718773050136e-99,2.0869392410087693e-119,3.76,0.0,0.5544245942292071,0.9999999994896094,3.775872024879755e-40,8.668659220773208e-94,2.0629572731308312e-14,2.0629572731308536e-14,5.10390589564047e-10,2.2755743218252096e-32,2.2244206263513836e-28,4.42947333638501e-18,2.0321190268004396e-31,7.935811548818136e-28,3.572822815361174e-48,1.6913398670443553e-28,7.692538849813928e-33,3.5493939052892514e-42,1.0672364640063611e-33,5.123281043004777e-32
4.333384574793397e-15,0.5127804198391224,1.6875873001633916e-22,1.7095460601974614e-26,1.1107503285149936e-31,1.5382004282832756e-31,0.0,0.0,5.905796524960276e-18,6.264926032451776e-31,2.781069339516067e-43,1.3205643770892218e-57,3.1384416012519684e-42,9.003593202737928e-87,9.445474745938564e-67,1.6119361044507275e-49,2.0265137475950833e-68,3.794603434817864e-28,3.007929827919848e-99,2.263398889624173e-62,1.343822660215902e-91,2.511937854763751e-104,3.586722213194204e-51,2.0061914123160665e-73,6.737655435504619e-49,8.757701570386128e-99,3.005365090897538e-94,3.859974235371844e-88,1.758568122019341e-143,1.5650745328892528e-117,3.1000767345834683e-47,2.065261443167431e-119,2.0886829810784996e-98,1.46065793703228e-118,3.76,0.0,0.5544245942292002,0.9999999993194802,7.964409344166574e-40,3.6735747835821713e-93,2.75061008612809e-14,2.7506100861281283e-14,6.805198080754787e-10,3.8819063045772653e-32,3.794603434817899e-28,5.905965282049686e-18,3.466556666417441e-31,1.3537563273464644e-27,7.53611965723257e-48,2.88522738930755e-28,1.312259293955129e-32,7.733944885219822e-42,1.8205800563564417e-33,8.739716448640057e-32
