Time (s),Volume (m^3),H(5),O(6),OH(7),H2(8),Ar(9),He(10),HO2(11),H2O2(12),CO(13),CO2(14),HCO(15),C(T)(16),CH(17),CH2(T)(18),CH3(19),CH2O(20),HCCO(21),C2H(22),C2H2(23),H2CC(24),CH2(S)(25),CH3OH(26),CH3O(27),CH2CO(28),C2H3(29),C2H4(30),C2H6(31),C2H5(32),CH2OH(33),CH3CO(34),CH2CHO(35),CH3CHO(36),N2,Ne,CH3CF3(1),O2(2),H2O(3),CH4(4),CH2CF2(57),HF(38),O2(161),S(164),CF2O(49),S(125),C2HF(58),S(463),C2HF(468),C2H2F3(68)
6.991065645505737e-05,0.7773686736926912,7.940774737269983e-07,3.4960392385996357e-06,6.18300813142661e-07,5.2182664931806525e-05,0.0,0.0,3.822656291847246e-05,1.264484534130849e-07,6.452599524114894e-05,1.2602975470000177e-09,1.4832808455301692e-07,2.213292961296844e-21,1.382781433638373e-15,7.656341207219741e-16,4.0595556116216237e-13,0.0020458365759196593,1.8193237831570887e-15,1.4809420702260773e-10,1.0115893549570056e-11,1.334237703781565e-17,6.348556470758491e-17,1.194588162768671e-13,9.450728368992806e-13,4.195510055507552e-15,4.2147956957628218e-19,1.8898331153520847e-18,1.598708608911913e-24,1.916203830745304e-25,3.7665228076976746e-10,1.8958641982049067e-22,6.3773249161679936e-18,3.4485530203303747e-18,3.76,0.0,0.15856096501959993,0.9970448237567431,3.873218372188608e-05,5.148620091886931e-15,0.48046613119193776,0.48726019990438185,0.0007849323105146779,4.3239494071047715e-11,0.0021104110448938902,9.123155262063265e-05,0.0023417434457607047,5.195014931969214e-09,9.009485982719652e-09,1.4854807677501684e-06
7.079282308792736e-05,0.777741939697832,8.149708741296972e-07,3.625228715079704e-06,6.45243731768066e-07,5.380723878756401e-05,0.0,0.0,3.9012842708404074e-05,1.3064273078642376e-07,6.681498030966209e-05,1.3376355493946022e-09,1.5242299900508173e-07,2.4113384993353737e-21,1.4678076599240139e-15,8.113362246114976e-16,4.360190004264733e-13,0.002085951734074806,1.962967403829418e-15,1.5203209945023975e-10,1.0800405722057841e-11,1.4252128034792655e-17,6.737184140091402e-17,1.279113388305115e-13,9.839088033749695e-13,4.590599523216655e-15,4.60837627452319e-19,2.08620169069969e-18,1.860093770941443e-24,2.1600684683797486e-25,3.918209016792941e-10,2.0943444817372399e-22,6.821107543767545e-18,3.8320973369834126e-18,3.76,0.0,0.15578137922297866,0.9970009264288875,4.004616739037438e-05,5.6946136717223695e-15,0.48315237643996156,0.49008643259304147,0.000784897717062244,4.34584605876679e-11,0.0021528151799589607,9.334286634636402e-05,0.00239053175674236,5.312457105517791e-09,9.197502588144587e-09,1.5198614632441377e-06
7.167498972079735e-05,0.7781088238917139,8.362787660932273e-07,3.758123433046106e-06,6.732484329500035e-07,5.5461788033110096e-05,0.0,0.0,3.981282187030225e-05,1.349716520116949e-07,6.915635275484775e-05,1.419138727840655e-09,1.5660722813192319e-07,2.6250022575782972e-21,1.5570666107092574e-15,8.593473582075254e-16,4.680142360830054e-13,0.002126226597951697,2.1167816193462755e-15,1.560070157990643e-10,1.152090749680982e-11,1.5210152950120275e-17,7.145696624109302e-17,1.3688761678984698e-13,1.0240447642773578e-12,5.017788844364068e-15,5.033614826799693e-19,2.300640706464551e-18,2.1612446289875717e-24,2.432668243056574e-25,4.0745270394707743e-10,2.311738914797615e-22,7.292039495348566e-18,4.254371575757142e-18,3.76,0.0,0.15305044953324204,0.9969567841399521,4.13937485545929e-05,6.292114388117756e-15,0.485789432567209,0.49286425429300795,0.000784862931441249,4.3673121070308996e-11,0.0021954313936828136,9.549150583746203e-05,0.0024396030119455555,5.431942525638521e-09,9.38661247336129e-09,1.5548500061741208e-06
7.255715635366733e-05,0.7784694381639226,8.580074836016644e-07,3.8947900844644735e-06,7.02353051326315e-07,5.714648903631407e-05,0.0,0.0,4.062668360218789e-05,1.3943870362771316e-07,7.155080882316165e-05,1.505015527670722e-09,1.6088319087592593e-07,2.8553498587159877e-21,1.6507158984811975e-15,9.097680956661176e-16,5.020479807656081e-13,0.0021666562982516455,2.2814100770417603e-15,1.6001825236452023e-10,1.2278742207648536e-11,1.6218274813600156e-17,7.574954211400795e-17,1.4641598456452448e-13,1.0655137792004659e-12,5.479271626436035e-15,5.492664301032548e-19,2.53461072906244e-18,2.5077817778071324e-24,2.737132738162906e-25,4.2355782534335653e-10,2.5496954143340435e-22,7.79161260602813e-18,4.7189414211485055e-18,3.76,0.0,0.15036732304032407,0.9969124004815402,4.2775601692231266e-05,6.9454128710465065e-15,0.48837816115048843,0.4955945123336249,0.0007848279564661079,4.388355856822942e-11,0.0022382555147044568,9.76780052709532e-05,0.002488952172627162,5.553500464909839e-09,9.57679617167131e-09,1.5904550975894243e-06
7.343932298653732e-05,0.7788238924447508,8.80163493022569e-07,4.035295328887489e-06,7.325969916571038e-07,5.8861517816370645e-05,0.0,0.0,4.145461436159685e-05,1.4404744635091556e-07,7.399905814683195e-05,1.5954847616312025e-09,1.6525337582770695e-07,3.1035082263425814e-21,1.7489166360266603e-15,9.627030378937906e-16,5.382319544102738e-13,0.0022072360325781724,2.4575322700067648e-15,1.6406511034037726e-10,1.3075281950620395e-11,1.727835635457943e-17,8.025850765360915e-17,1.5652610357474479e-13,1.1083495067915522e-12,5.977362295712019e-15,5.98779883730491e-19,2.7896749796585584e-18,2.9060627486559046e-24,3.076906004492999e-25,4.4014656195324314e-10,2.8099941211380363e-22,8.321394823275419e-18,5.229674136316633e-18,3.76,0.0,0.14773116177485424,0.9968677789551936,4.419241287350742e-05,7.659112620651452e-15,0.4909194086615993,0.49827803918666097,0.000784792794880608,4.4089854395651466e-11,0.0022812834520501294,9.990289921571866e-05,0.0025385742835812085,5.6771602013600304e-09,9.76803453906996e-09,1.6266854449147818e-06
7.432148961940731e-05,0.779172294738792,9.027533991160276e-07,4.179705770759557e-06,7.640209631153585e-07,6.060705015845119e-05,0.0,0.0,4.2296804101245525e-05,1.4880151742084232e-07,7.650182424737916e-05,1.6907761287300449e-09,1.697203422522395e-07,3.370668470066154e-21,1.8518334327714034e-15,1.0182609754758605e-15,5.766830836345019e-13,0.0022479610632533584,2.645865217657612e-15,1.6814689609878222e-10,1.3911927674738712e-11,1.8392300137043015e-17,8.49931506807914e-17,1.6724901607170932e-13,1.1525862205941829e-12,6.51450102683012e-15,6.521419341366453e-19,3.067505521235576e-18,3.363271241738929e-24,3.4557757121283724e-25,4.5722937259419486e-10,3.0945572763657165e-22,8.883033930943666e-18,5.790762202001508e-18,3.76,0.0,0.1451411424462333,0.9968229229736942,4.5644880026929135e-05,8.438149757602199e-15,0.4934140067321884,0.5009156527269145,0.0007847574493589273,4.4292088172554e-11,0.002324511193454559,0.00010216672266469552,0.0025884644718526056,5.802951020892996e-09,9.960308749279416e-09,1.6635497624752413e-06
7.52036562522773e-05,0.7795147511590291,9.257839508960288e-07,4.3280879379171096e-06,7.966670228921347e-07,6.238326172833286e-05,0.0,0.0,4.315344650129247e-05,1.5370463303429216e-07,7.905984504476998e-05,1.7911307586214542e-09,1.7428672122106414e-07,3.658088881495949e-21,1.9596343893792113e-15,1.0765550588184613e-15,6.17523708418331e-13,0.002288826715168575,2.847165187423657e-15,1.7226292145044043e-10,1.4790109268096568e-11,1.9562048688157984e-17,8.996312223503224e-17,1.786172010048691e-13,1.1982588253203092e-12,7.093258793793579e-15,7.096059276896542e-19,3.3698897634357816e-18,3.887516370589318e-24,3.877904805533053e-25,4.748168834262251e-10,3.405459795984338e-22,9.478261453644983e-18,6.406748705555744e-18,3.76,0.0,0.14259645618537214,0.9967778358623214,4.713371320646197e-05,9.28781385393561e-15,0.49586277241389,0.5035081564881759,0.0007847219225066189,4.449033786433809e-11,0.0023679348037223442,0.00010447001106441804,0.002638617945466718,5.930902219535188e-09,1.0153600288842928e-08,1.7010567719768872e-06
7.608582288514728e-05,0.7798513659600824,9.492620476941297e-07,4.480508261218981e-06,8.30578623763056e-07,6.419032818687982e-05,0.0,0.0,4.402473919850179e-05,1.5876059087298873e-07,8.167387337282987e-05,1.8968017832966758e-09,1.7895521681022692e-07,3.967098048898393e-21,2.0724910908554156e-15,1.1377029753032212e-15,6.60881796497609e-13,0.002329828373668394,3.0622295041106585e-15,1.7641250388684863e-10,1.571128563950823e-11,2.0789584620434527e-17,9.517845124630385e-17,1.9066463205322059e-13,1.2454028741446766e-12,7.716342544928538e-15,7.714390681746027e-19,3.6987373040366794e-18,4.487943084088411e-24,4.34786582169991e-25,4.92919892761339e-10,3.744940592516453e-22,1.0108896746708475e-17,7.08255462899766e-18,3.76,0.0,0.14009630829207068,0.9967325208600668,4.865963486552344e-05,1.021376991306751e-14,0.49826650843376863,0.50605633991456,0.0007846862168615592,4.468467982039752e-11,0.0024115504231288745,0.00010681330034651179,0.0026890299921750495,6.061043105746695e-09,1.0347890952281136e-08,1.7392152030158717e-06
7.696798951801727e-05,0.7801822415708669,9.731947453995456e-07,4.6370330554229794e-06,8.658006554627403e-07,6.602842530436124e-05,0.0,0.0,4.491088401264662e-05,1.6397327272637577e-07,8.43446775011799e-05,2.008054936945817e-09,1.83728607252866e-07,4.2990980898505855e-21,2.1905785981459915e-15,1.2018271337823932e-15,7.068911656865534e-13,0.002370961482465376,3.2918984321332838e-15,1.8059496680473088e-10,1.66769447960458e-11,2.207693074804145e-17,1.0064955985460941e-16,2.0342683788274621e-13,1.2940545867080753e-12,8.38660049995828e-15,8.379230420460874e-19,4.056087117362959e-18,5.1748548247662535e-24,4.870678127227977e-25,5.1154937606853e-10,4.1154146882521206e-22,1.0776851275000344e-17,7.823508148532567e-18,3.76,0.0,0.13763991798683364,0.9966869811208113,5.0223380147806697e-05,1.1222081539801252e-14,0.5006260034452594,0.5085609786074112,0.0007846503348948703,4.48751888116387e-11,0.0024553542658586162,0.00010919712697069679,0.0027396959782167215,6.193403003344278e-09,1.0543162837309357e-08,1.7780337937761092e-06
7.785015615088726e-05,0.7805074786266312,9.975892626056264e-07,4.797728501497965e-06,9.023794846076837e-07,6.789772907468294e-05,0.0,0.0,4.58120871702096e-05,1.693466472111479e-07,8.707304166361182e-05,2.1251691848330613e-09,1.8860974611160675e-07,4.6555680055612986e-21,2.3140754383408527e-15,1.2690548567042986e-15,7.556917143433107e-13,0.002412221541584012,3.5370571004679563e-15,1.8480963971334493e-10,1.7688603916777163e-11,2.342615019770195e-17,1.0638727938964068e-16,2.1694096469479333e-13,1.3442508674628358e-12,9.107027567593069e-15,9.093546679727671e-19,4.4441151001743584e-18,5.95984956612811e-24,5.451848304641581e-25,5.307164911645197e-10,4.519486179070622e-22,1.1484133090976082e-17,8.635376063898557e-18,3.76,0.0,0.13522651816696774,0.9966412197144584,5.182569719011298e-05,1.2319235342329652e-14,0.5029420322747691,0.5110228345679305,0.0007846142790118062,4.506193806699011e-11,0.0024993426184790504,0.00011162202797451921,0.0027906113470954823,6.328011254782717e-09,1.0739398340114695e-08,1.8175212918412835e-06
7.961448941662722e-05,0.781141430832009,1.047793480200972e-06,5.1318953122414525e-06,9.798006889613825e-07,7.173066235236769e-05,0.0,0.0,4.766051677419781e-05,1.8059179991034722e-07,9.270567008433696e-05,2.378167051521519e-09,1.987070680748074e-07,5.448238942675729e-21,2.578028491203154e-15,1.4133560667402045e-15,8.622578111509329e-13,0.002495104780372965,4.077620642027747e-15,1.9333296522993123e-10,1.985613703492809e-11,2.6318663749847672e-17,1.1870802364108143e-16,2.4638205225645403e-13,1.449428290965441e-12,1.0711135798013634e-14,1.068327896889535e-18,5.321642684559705e-18,7.877913635756444e-24,6.813993093341087e-25,5.707091921688061e-10,5.439867539864182e-22,1.3025222337355673e-17,1.0497326163022514e-17,3.76,0.0,0.13052568853371804,0.9965490437666379,5.5149105923810654e-05,1.4808289931173297e-14,0.5074467229969256,0.5158211797114606,0.0007845416547932701,4.5424442787167155e-11,0.0025878583527546993,0.00011659720444197676,0.00289317238651274,6.604090300720223e-09,1.113469124839963e-08,1.8985380518041985e-06
8.106351714563756e-05,0.781646057724504,1.0904724518356665e-06,5.419387454982567e-06,1.0478714943531667e-06,7.497349092940661e-05,0.0,0.0,4.9225520670692336e-05,1.9034384160227426e-07,9.751093471390143e-05,2.606138746192451e-09,2.0734816592079898e-07,6.186637068429078e-21,2.81259113769605e-15,1.5423421022457808e-15,9.594476209478988e-13,0.002563517801660805,4.57638350299667e-15,2.004237721358387e-10,2.1787504822700008e-11,2.889783597715893e-17,1.297254460111853e-16,2.7316123956626514e-13,1.5407605932888645e-12,1.220717376351227e-14,1.2165325613350765e-18,6.155485987816703e-18,9.87372085347268e-24,8.164528469809492e-25,6.05262626516196e-10,6.32241619125915e-22,1.4427673491222532e-17,1.2297001357893692e-17,3.76,0.0,0.1267871775016167,0.9964727025575559,5.800065877591403e-05,1.7182309619092876e-14,0.5110227882188597,0.519640358011053,0.0007844815086366507,4.571152177456782e-11,0.002661076549908749,0.00012081078113256491,0.002978112741246039,6.8378105175445915e-09,1.1462077096408516e-08,1.9671529216661272e-06
8.25125448746479e-05,0.7821366704250865,1.1344941720714489e-06,5.718955306640541e-06,1.1202404955767584e-06,7.830273868648857e-05,0.0,0.0,5.083391114824678e-05,2.005824893427449e-07,0.00010248193713437329,2.8539466259166417e-09,2.1631851810793968e-07,7.012619315738621e-21,3.0641075981781676e-15,1.6814888458292086e-15,1.0661577030525524e-12,0.0026322188269107703,5.129794251710418e-15,2.0759331768957423e-10,2.3863035000003144e-11,3.1671237152439605e-17,1.4161389205334938e-16,3.0249765300758845e-13,1.6367485568978965e-12,1.3881780258526737e-14,1.3824010781003355e-18,7.104915498612102e-18,1.2339163499892793e-23,9.762702418007076e-25,6.414133481693678e-10,7.336176639412357e-22,1.5965230069062812e-17,1.4378821900118236e-17,3.76,0.0,0.12315551842362307,0.9963957988156449,6.096614127247251e-05,1.9894568393422776e-14,0.5144908096168923,0.5233531836247112,0.0007844209210845835,4.5989321723884446e-11,0.002734748520452963,0.00012514193065969923,0.0030636715362471023,7.077965402556416e-09,1.1791852632912294e-08,2.0376825186510053e-06
8.396157260365823e-05,0.7826136703200243,1.1798955135394019e-06,6.03088738746987e-06,1.1971567917734705e-06,8.171920210105825e-05,0.0,0.0,5.2486738869211486e-05,2.113279050443105e-07,0.00010762262579671613,3.1232433311481463e-09,2.2563288945239753e-07,7.935118795067535e-21,3.3334595257142832e-15,1.831510443186922e-15,1.1831924328850133e-12,0.002701189217021393,5.7431583199708275e-15,2.1483880740571128e-10,2.6090228415816608e-11,3.464908519486595e-17,1.5443385764452499e-16,3.346051154777287e-13,1.7375757240071047e-12,1.5752639405541196e-14,1.5677159968556186e-18,8.183993444646615e-18,1.5376706800529709e-23,1.1650500023490598e-24,6.792161554705881e-10,8.4991431414346e-22,1.7649818298364947e-17,1.67834846596649e-17,3.76,0.0,0.11962765151661771,0.9963183440226469,6.404924235197086e-05,2.2987605974824767e-14,0.5178538774717195,0.5269626956382913,0.0007843599011308986,4.625812957153408e-11,0.0028088595869723613,0.00012959305316037655,0.0031498305104387695,7.324685795931127e-09,1.2123947306291884e-08,2.1101659372019324e-06
