Time (s),Volume (m^3),H(5),O(6),OH(7),H2(8),Ar(9),He(10),HO2(11),H2O2(12),CO(13),CO2(14),HCO(15),C(T)(16),CH(17),CH2(T)(18),CH3(19),CH2O(20),HCCO(21),C2H(22),C2H2(23),H2CC(24),CH2(S)(25),CH3OH(26),CH3O(27),CH2CO(28),C2H3(29),C2H4(30),C2H6(31),C2H5(32),CH2OH(33),CH3CO(34),CH2CHO(35),CH3CHO(36),N2,Ne,CH3CF3(1),O2(2),H2O(3),CH4(4),CH2CF2(57),HF(38)
3.5824872826883793e-13,0.8066799697319629,0.0,5.21424387273695e-17,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.76,0.0,0.6579546302440132,1.0,0.0,0.0,4.051619333535491e-08,4.051619333535491e-08
5.970812148358799e-13,0.8066799737536032,0.0,8.690406469909394e-17,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.76,0.0,0.6579546032332193,1.0,0.0,0.0,6.752698728661362e-08,6.752698728661362e-08
8.359137014029219e-13,0.8066799777752439,0.0,1.2166569067081835e-16,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.76,0.0,0.6579545762224265,1.0,0.0,0.0,9.453778012900715e-08,9.453778012900715e-08
1e-12,0.806679981796884,0.0,1.455481474542476e-16,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.76,0.0,0.6579545576650648,1.0,0.0,0.0,1.1309514182396696e-07,1.1309514182396696e-07
1.0747461879699639e-12,0.806679981796884,0.0,1.564273166425428e-16,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.76,0.0,0.6579545492116348,1.0,0.0,0.0,1.2154857186253553e-07,1.2154857186253553e-07
1.5524111611040478e-12,0.8066799898401641,0.0,2.2595056858599163e-16,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.76,0.0,0.6579544951900539,1.0,0.0,0.0,1.755701527271538e-07,1.755701527271538e-07
2.030076134238132e-12,0.8066799978834437,0.0,2.9547382052944054e-16,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.76,0.0,0.657954441168477,1.0,0.0,0.0,2.2959172951407979e-07,2.2959172951407979e-07
2.9854060805063e-12,0.8066800139700006,0.0,4.3452032441633823e-16,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.76,0.0,0.6579543331253369,0.9999999999999999,0.0,0.0,3.3763486969821764e-07,3.3763486969821764e-07
3.940736026774468e-12,0.8066800300565546,0.0,5.735668283032361e-16,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.76,0.0,0.6579542250822144,0.9999999999999998,0.0,0.0,4.456779922319966e-07,4.456779922319966e-07
5.8513959193108036e-12,0.8066800622296556,0.0,8.516598360770315e-16,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.76,0.0,0.6579540089960224,0.9999999999999997,0.0,0.0,6.617641841045528e-07,6.617641841045528e-07
