Time (s),Volume (m^3),H(5),O(6),OH(7),H2(8),Ar(9),He(10),HO2(11),H2O2(12),CO(13),CO2(14),HCO(15),C(T)(16),CH(17),CH2(T)(18),CH3(19),CH2O(20),HCCO(21),C2H(22),C2H2(23),H2CC(24),CH2(S)(25),CH3OH(26),CH3O(27),CH2CO(28),C2H3(29),C2H4(30),C2H6(31),C2H5(32),CH2OH(33),CH3CO(34),CH2CHO(35),CH3CHO(36),N2,Ne,CH3CF3(1),O2(2),H2O(3),CH4(4),CH2CF2(57),HF(38),O2(161),S(164),CF2O(49),S(125),C2HF(58),S(463),C2HF(468),C2H2F3(68),S(165),S(464),S(130),C2H2F2(59),C2H3F2(65),C2H2F3(67),CF2(43),CHFCF2(55),CF2CH(73),C2HF2(72),S(179)
3.6263281423698376e-19,0.6801904995220034,1.3296656799005313e-23,1.784649104205798e-26,2.1676572764680674e-36,5.173179640219407e-36,0.0,0.0,6.066351892146174e-20,7.769435056761096e-36,9.940247130659343e-50,5.010444771448697e-64,1.3004531302040005e-49,4.968368426645144e-83,7.163086690874115e-62,6.799438208068613e-52,2.2508985097368645e-47,6.0668845694571906e-33,2.0902709664356165e-104,4.4794039132925235e-68,1.240003656695579e-102,7.32375604815335e-114,3.203245296827896e-41,2.2960621769536715e-85,1.5346710212764566e-54,1.0258487016279272e-104,2.287571347993496e-107,2.3554159781965937e-96,3.34376777863136e-106,4.917257811676666e-103,3.200301033120669e-53,1.8658953867879696e-109,3.0162777123479223e-111,2.781531665666573e-109,3.76,0.0,0.9527182967580498,0.9999999999996464,4.757782688322486e-48,1.1980257371368584e-60,8.23244559912046e-16,8.23244559912046e-16,3.536380335515835e-13,2.6872761876741253e-37,6.0668845694571906e-33,6.067681557825466e-20,1.128866733890258e-33,4.385989877204944e-34,8.598474666345811e-52,5.245405817546945e-33,3.332948494705254e-36,1.1266124094690852e-39,6.990941453658205e-36,2.3252925515162347e-34,7.305643251059044e-34,1.1544288247895641e-33,3.2032475515674736e-41,2.8173721756546487e-42,2.032978966917205e-36,1.3131206221277961e-40,3.1671303438886506e-48
7.255806873916365e-19,0.6801904995220034,2.6604865862981644e-23,3.5708487300184074e-26,8.676278183797357e-36,2.070620025620984e-35,0.0,0.0,1.2137974289843014e-19,3.1097987959147755e-35,7.958241803521385e-49,8.02324268697875e-63,1.0411532357552197e-48,7.955864134675633e-82,5.734825816241389e-61,5.443686766352185e-51,1.8020874504427005e-46,2.4283349045692112e-32,1.3401278290936262e-102,7.175386950179234e-67,7.9489149287293e-101,9.391598407484716e-112,1.2821329085204987e-40,7.356470011656133e-84,1.2286699651775145e-53,6.576987577902745e-103,1.4666232184316617e-105,1.5101192945667051e-94,4.288714394364512e-104,3.1527725861790316e-101,2.562186747539042e-52,2.393196219226636e-107,3.868675848023099e-109,3.567590719972411e-107,3.76,0.0,0.952718296758049,0.9999999999992925,3.809119086310482e-47,1.9184020924908813e-59,1.6472043627084628e-15,1.6472043627084628e-15,7.075833108077988e-13,1.0756108530996327e-36,2.4283349045692112e-32,1.2140634776426876e-19,4.5184088471735186e-33,1.7555389727614698e-33,6.884007973775162e-51,2.0995293192067843e-32,1.334047990616834e-35,4.5093856748121324e-39,2.798198473129961e-35,9.307230093368666e-34,2.924161205995953e-33,4.620723827505491e-33,1.2821347136831393e-40,1.1297159513689183e-41,8.137213963746964e-36,5.255904589305964e-40,2.5358106066380406e-47
1.451476433700942e-18,0.6801904995220035,5.322128399141055e-23,7.14324798494279e-26,3.471641411111265e-35,8.285177210052131e-35,0.0,0.0,2.428121908522802e-19,1.2443245884168365e-34,6.369012120069797e-48,1.2842415748554558e-61,8.332390169922566e-48,1.2734568146086299e-80,4.589605184523832e-60,4.356604600565938e-50,1.4422176515138338e-45,9.716502679269698e-32,8.584359705996234e-101,1.1487296045313449e-65,5.091434900262113e-99,1.2032259740222542e-109,5.130201689316243e-40,2.3555228414781394e-82,9.833093939887157e-53,4.212974617275974e-101,9.394653692849866e-104,9.673261739357418e-93,5.495123954794215e-102,2.019790747119936e-99,2.0505281005017343e-51,3.066399081497855e-105,4.956929136509983e-107,4.571149168776463e-105,3.76,0.0,0.9527182967580473,0.9999999999985846,3.0484529381525593e-46,3.07069270150469e-58,3.2951239683012936e-15,3.2951239683012936e-15,1.415473863939473e-12,4.30384488970741e-36,9.716502679269698e-32,2.428654121361742e-19,1.807952088876793e-32,7.024442585889615e-33,5.5092985695682895e-50,8.400852040251949e-32,5.337929650763004e-35,1.8043416448195188e-38,1.1196438712768215e-34,3.724104360228588e-33,1.1700453720293101e-32,1.8488914081555736e-32,5.130216136103629e-40,4.5366034468393773e-41,3.255945506690498e-35,2.1030464567544852e-39,2.029491395312895e-46
2.9032679263195525e-18,0.6801904995220039,1.0645412025017332e-22,1.428804650798824e-25,1.3888826241760803e-34,3.3146103824293156e-34,0.0,0.0,4.856770867596333e-19,4.978108609175177e-34,5.096177379847187e-47,2.0552048198944682e-60,6.667178127975174e-47,2.037946881184657e-79,3.6723840310265673e-59,3.4859458967529294e-49,1.1539932444884155e-44,3.8872337790086895e-31,5.496404727440566e-99,1.8385016962517943e-64,3.2598403766434047e-97,1.54083450581285e-107,2.052414734224753e-39,7.539997864464133e-81,7.867969206072694e-52,2.6974904595308307e-99,6.015235677825589e-102,6.193608309970586e-91,7.037325364884488e-100,1.2935441549333333e-97,1.6407340298926979e-50,3.9269811263985144e-103,6.348086681282806e-105,5.854037924968875e-103,3.76,0.0,0.952718296758044,0.9999999999971688,2.4392255171518743e-45,4.9141080544205836e-57,6.590963179486943e-15,6.590963179486944e-15,2.8312549646797943e-12,1.721818548921238e-35,3.887233779008691e-31,4.857835408794938e-19,7.232985623206824e-32,2.8102344381377136e-32,4.4082759107158645e-49,3.3608878466081322e-31,2.135519453665728e-34,7.218541497677283e-38,4.479304551771744e-34,1.4898842432203303e-32,4.680943375870911e-32,7.396769558426835e-32,2.0524262938496343e-39,1.8279533979055666e-40,1.30259021710651e-34,8.413555310686096e-39,1.6239303549973606e-45
5.806850911556774e-18,0.6801904995220048,2.1291979277531866e-22,2.857764360686584e-25,5.5559826484796124e-34,1.3259520603786215e-33,0.0,0.0,9.714068785729513e-19,1.9914055063099297e-33,4.07732902854955e-46,3.2886623932349447e-59,5.334248966066702e-46,3.261051135904361e-78,2.938190282860932e-58,2.789021631867663e-48,9.232822542549937e-44,1.5550200660620415e-30,3.5184718699576584e-97,2.9420302471616024e-63,2.0867209982510048e-95,1.972719656387644e-105,8.210327100433729e-39,2.4131713592028206e-79,6.294973126454817e-51,1.7267753913724118e-97,3.8506156860861403e-100,3.964780196903052e-89,9.010059862021765e-98,8.284469932967147e-96,1.3127118601199373e-49,5.027810036550522e-101,8.127610731338494e-103,7.495068018078759e-101,3.76,0.0,0.9527182967580374,0.9999999999943373,1.9515657002034477e-44,7.8633727722848915e-56,1.3182641601858198e-14,1.31826416018582e-14,5.662817144068332e-12,6.887837482950815e-35,1.5550200660620422e-30,9.716197983641676e-19,2.893429719591141e-31,1.1241852622564869e-31,3.526955586348813e-48,1.3444645524609715e-30,8.54277310043554e-34,2.887651600493636e-37,1.7918676434416965e-33,5.960022005776852e-32,1.872529738728563e-31,2.9589486256925015e-31,8.210419586213609e-39,7.416550064707553e-40,5.210784927433505e-34,3.365696077753116e-38,1.299279193273054e-44
1.1614016882031216e-17,0.6801904995220063,4.258511378560885e-22,5.715683801576792e-25,2.2224834930573422e-33,5.304024064339235e-33,0.0,0.0,1.942866462194035e-18,7.965946162039298e-33,3.262018096663181e-45,5.262127589647654e-58,4.2676017895822514e-45,5.217961302527751e-77,2.3506703752683376e-57,2.231323276363784e-47,7.386608687254211e-43,6.220333414069133e-30,2.2520693475478677e-95,4.707590449796477e-62,1.3356368661848965e-93,2.525370158652555e-103,3.284264476803693e-38,7.722743740869318e-78,5.0362177403111735e-50,1.1052604666089183e-95,2.46468913183081e-98,2.537738051393096e-87,1.1534338221494945e-95,5.307723395887098e-94,1.0502193501940008e-48,6.436412477406046e-99,1.0404660238472172e-100,9.59490295130624e-99,3.76,0.0,0.9527182967580242,0.9999999999886742,1.5613266787734724e-43,1.2582036383419553e-54,2.6365998446600522e-14,2.636599844660053e-14,1.1325941414476988e-11,2.755249303642631e-34,6.220333414069138e-30,1.943292313325655e-18,1.1574189835749823e-30,4.496924027383507e-31,2.8216984193132037e-47,5.378077044667646e-30,3.417248341914045e-33,1.1551076429618031e-36,7.167762221741914e-33,2.384105812421675e-31,7.490423742346377e-31,1.1836276124663067e-30,3.2843384689401163e-38,3.050057239040151e-39,2.08439878575348e-33,1.3463332535392078e-37,1.0394773192070718e-43
2.3228348822980103e-17,0.6801904995220095,8.517138281395454e-22,1.1431522767815943e-24,8.890114843504613e-33,2.1216527913303452e-32,0.0,0.0,3.88578562941399e-18,3.18644329331287e-32,2.609676453608975e-44,8.419618354201024e-57,3.4141625132161127e-44,8.348995495481151e-76,1.8805914326846815e-56,1.7851010096467715e-46,5.909427214561473e-42,2.4881840220065726e-29,1.4414035522545222e-93,7.532418373711248e-61,8.548509342236608e-92,3.232658792390204e-101,1.3137325178553937e-37,2.47137330798201e-76,4.029070085245398e-49,7.074091662969084e-94,1.5775189116621617e-96,1.6242415629401105e-85,1.4764888417447395e-93,3.403632619586894e-92,8.401954334517977e-48,8.239130066186304e-97,1.3318809114230474e-98,1.2282254100743961e-96,3.76,0.0,0.9527182967579978,0.9999999999773479,1.249090991349754e-42,2.0131770186731634e-53,5.273271213608442e-14,5.2732712136084455e-14,2.2652189601820623e-11,1.1021239031624954e-33,2.4881840220065776e-29,3.886637343217186e-18,4.629770127453785e-30,1.7988062055481712e-30,2.2574123169263945e-46,2.1512745851283014e-29,1.3669271893162283e-32,4.620524585499837e-36,2.8671632130299235e-32,9.536617273984827e-31,2.9962304553659544e-30,4.734606776039721e-30,1.3137917129695762e-37,1.2867022701325192e-38,8.33776477526386e-33,5.385442899316744e-37,8.316034383740771e-43
4.645701270487788e-17,0.6801904995220157,1.7034392091941274e-21,2.286320103812924e-24,3.556082112558366e-32,8.486697499369236e-32,0.0,0.0,7.771623963765058e-18,1.2745902831265032e-31,2.087765993881237e-43,1.347156072428173e-55,2.7313624959374105e-43,1.335870693818845e-74,1.5045077940720663e-55,1.4280977618871777e-45,4.727597877864445e-41,9.952837605793591e-29,9.225236247870474e-92,1.2052088323607661e-59,5.4711846768237895e-90,4.137921697339586e-99,5.2549835208216855e-37,7.908547367448474e-75,3.223294737559698e-48,4.527589330729591e-92,1.0096798151295501e-94,1.0395431642517633e-83,1.8899655910747643e-91,2.186708880705729e-90,6.721643408663184e-47,1.0546420769542054e-94,1.7048616114721022e-96,1.572178363698918e-94,3.76,0.0,0.9527182967579451,0.9999999999546954,9.992846527224974e-42,3.2211241880876244e-52,1.0546613951504927e-13,1.0546613951504939e-13,4.530468456261329e-11,4.408554530168967e-33,9.952837605793633e-29,7.773327402874478e-18,1.8519268897799323e-29,7.195297998207734e-30,1.8059512863397686e-45,8.60518587195345e-29,5.467764716521682e-32,1.848228642258152e-35,1.1468769451421895e-31,3.8146857152967286e-30,1.1985043738250075e-29,1.893861975887118e-29,5.2554570873553944e-37,5.680103281354182e-38,3.3351398365934746e-32,2.154199327620493e-36,6.652913785328322e-42
9.291434046867343e-17,0.6801904995220283,3.406889973253964e-21,4.572655893009598e-24,1.4224400805504342e-31,3.3946962683061997e-31,0.0,0.0,1.554330063211182e-17,5.098387064116255e-31,1.670222791811752e-42,2.1554634202056754e-54,2.1851030746808364e-42,2.1374528702087697e-73,1.2036402459917043e-54,1.1424849888565572e-44,3.7821007442281365e-40,3.981155509247611e-28,7.801374062772042e-90,1.9283516453566726e-58,3.50160259519997e-88,7.5166623748404e-97,2.1020040939814454e-36,2.5307598511481248e-73,2.578651756541716e-47,3.8289003727871912e-90,8.53958702503956e-93,8.791015909868493e-82,4.234870748273534e-89,1.872440562147645e-88,5.37734690643879e-46,2.3631504930588703e-92,3.82010605720122e-94,3.522800944367739e-92,3.76,0.0,0.9527182967578396,0.9999999999093904,7.994324663098817e-41,5.153831466841367e-51,2.1093299427296702e-13,2.1093299427296763e-13,9.060966882862089e-11,1.7634420385759844e-32,3.9811555092476433e-28,1.5546707521685977e-17,7.407745236883956e-29,2.878133823490458e-29,1.4447696021239599e-44,3.4420918520582236e-28,2.1871172814378777e-31,7.392952226599135e-35,4.587531060210988e-31,1.5258820476920047e-29,4.794041877842798e-29,7.575486435181211e-29,2.102382949456514e-36,2.6986485132632555e-37,1.3340627197539393e-31,8.616843171798678e-36,5.322365451987092e-41
1.858289959962645e-16,0.6801904995220535,6.813791509176328e-21,9.145328011939141e-24,5.689774796996793e-31,1.3578819623795374e-30,0.0,0.0,3.108665396738386e-17,2.0393600118937895e-30,1.336182334934074e-41,3.448752421777032e-53,1.7480878248519738e-41,3.420083211203959e-72,9.629580435230453e-54,9.139906990468233e-44,3.02568957106815e-39,1.5924664277233317e-27,5.011879317917124e-88,3.085376641415125e-57,2.2410398828986794e-86,9.669508756478063e-95,8.408037713080252e-36,8.09847230062998e-72,2.0629285896856723e-46,2.459931002274182e-88,5.487282884288144e-91,5.6476608185330485e-80,5.438823722865435e-87,1.2268661781510263e-86,4.301890721597971e-45,3.0349828447876634e-90,4.906143965356453e-92,4.524316429577561e-90,3.76,0.0,0.9527182967576286,0.9999999998187804,6.395478710960126e-40,8.246156556817259e-50,4.2186670378875505e-13,4.2186670378875753e-13,1.8121961473833086e-10,7.053876151038821e-32,1.5924664277233576e-27,3.109346775729665e-17,2.9631056303229597e-28,1.1512564453955341e-28,1.1558191107321938e-43,1.3768402390151515e-27,8.748493538885726e-31,2.9571884551958884e-34,1.8350170477655844e-30,6.103543717134889e-29,1.9176216269181237e-28,3.0302022808312194e-28,8.411068565873024e-36,1.4207395329317575e-36,5.336264447589179e-31,3.446747661269565e-35,4.257905990565111e-40
