Time (s),Volume (m^3),H(5),O(6),OH(7),H2(8),Ar(9),He(10),HO2(11),H2O2(12),CO(13),CO2(14),HCO(15),C(T)(16),CH(17),CH2(T)(18),CH3(19),CH2O(20),HCCO(21),C2H(22),C2H2(23),H2CC(24),CH2(S)(25),CH3OH(26),CH3O(27),CH2CO(28),C2H3(29),C2H4(30),C2H6(31),C2H5(32),CH2OH(33),CH3CO(34),CH2CHO(35),CH3CHO(36),N2,Ne,CH3CF3(1),O2(2),H2O(3),CH4(4),CH2CF2(57),HF(38),O2(161),S(164),CF2O(49),S(125),C2HF(58),S(463),C2HF(468),C2H2F3(68),S(165),S(464),S(130)
6.172158871178658e-20,0.8222057726671047,2.6866308298435553e-22,2.4647248266543915e-23,2.5501387082095415e-35,3.5171626500729795e-35,0.0,0.0,4.1602332481797913e-19,5.256541372845158e-35,3.033044196100933e-47,4.3085143821001416e-66,8.991455095910988e-48,1.4552606166339745e-97,4.1171791667750376e-71,7.033085392968281e-65,7.322327365162179e-72,7.864113194070145e-32,3.9327431521846814e-109,2.9437345518448956e-62,9.231642913645012e-97,4.984810771133596e-114,2.4726184054016544e-53,1.161227080246684e-82,1.5064312237480887e-51,5.807721973426031e-104,2.5104253288889676e-102,4.683635727951365e-111,5.498146598922515e-156,1.6743465644130831e-124,1.4014969027302124e-50,8.307367999086348e-133,1.0998206861347946e-111,1.7106576511005272e-133,3.76,0.0,0.5862318977355087,0.9999999999996715,1.3430915928830965e-47,6.9453566907527e-103,1.0441302000964638e-14,1.0441302000964643e-14,3.2845961700471775e-13,1.079732493064207e-36,7.864113194070149e-32,4.162919879008904e-19,2.2404427396819793e-30,1.8526278557387852e-34,6.433138819645809e-47,7.31175829638874e-32,6.724262580099429e-34,4.358324125738459e-49,3.7141467331296496e-33
1.234968017404383e-19,0.8222057726671064,5.375595830745452e-22,4.9315910303597393e-23,1.0207200686184374e-34,1.4077816590815357e-34,0.0,0.0,8.324080947485466e-19,2.103986443354584e-34,2.4282795778097632e-46,6.899236594551902e-65,7.198631266978408e-47,4.6625857243936185e-96,6.595056473788036e-70,1.1265104491051635e-63,1.172814545357632e-70,3.147694724966148e-31,5.0451254416488534e-107,4.715456542216203e-61,5.9178490146913416e-95,6.391005274572196e-112,1.9800910915369252e-52,3.7205143104110596e-81,1.2060609537728125e-50,3.723483699353898e-102,1.6094998744249562e-100,6.007866055579691e-109,2.822328051298665e-153,2.1476942430417233e-122,1.1220496923957776e-49,2.131917004723458e-130,1.410629245957897e-109,4.3900548730929493e-131,3.76,0.0,0.5862318977354982,0.9999999999993427,1.0752899316597958e-46,4.4519713652373017e-101,2.0891675506708313e-14,2.0891675506708332e-14,6.57204602854341e-13,4.321744324106375e-36,3.1476947249661506e-31,8.329456543313287e-19,8.967609721014922e-30,7.4153395103219785e-34,5.150422679522234e-46,2.92660881774604e-31,2.6914574259581092e-33,3.4901940569896244e-48,1.4866266278247422e-32
2.4704722779774176e-19,0.8222057726671094,1.07535258327013e-21,9.865323438185028e-23,4.084209823990889e-34,5.632960356955021e-34,0.0,0.0,1.6651776346090852e-18,8.418686342668665e-34,1.9433616663213814e-45,1.1043271660028556e-63,5.761092825574804e-46,1.4929495716534385e-94,1.055815008740343e-68,1.8033907017677022e-62,1.877497622401469e-69,1.2594878964452728e-30,6.464947098261017e-105,7.549118349390963e-60,3.790497606745013e-93,8.187179827702597e-110,1.584871809781264e-51,1.1912991441312327e-79,9.6521530972156e-50,2.385124971777658e-100,1.0309856708225092e-98,7.698278505222757e-107,1.4468978752280562e-150,2.751951871047522e-120,8.979807678773623e-49,5.464413302432771e-128,1.807437310000108e-107,1.1252349035007783e-128,3.76,0.0,0.5862318977354773,0.9999999999986853,8.605587479646936e-46,2.851485578697751e-99,4.1792422518194907e-14,4.1792422518194976e-14,1.314694574354061e-12,1.7292610532478757e-35,1.259487896445275e-30,1.6662529871911846e-18,3.588211973664688e-29,2.9671016966977105e-33,4.121903462207028e-45,1.1710247355386587e-30,1.076933549360502e-32,2.79356983914777e-47,5.948442932151071e-32
4.941480799123487e-19,0.8222057726671159,2.150938583722118e-21,1.9732788255493976e-22,1.6339498774149948e-33,2.2535509392129982e-33,0.0,0.0,3.3307167143277775e-18,3.3680227289968376e-33,1.5549845981807605e-44,1.7672830043872969e-62,4.6097495734759614e-45,4.77892216486711e-93,1.6897889481017066e-67,2.886204531274949e-61,3.0047919230336472e-68,5.038771716918768e-30,8.279734690320771e-103,1.2082100814658405e-58,2.4269027087169092e-91,1.0483875891726853e-107,1.2682171004687192e-50,3.813332998063245e-78,7.723188979831215e-49,1.5271508464961987e-98,6.601208138359423e-97,9.859054082943008e-105,7.412897708809979e-148,3.5243576323559777e-118,7.185210492218214e-48,1.399748807523963e-125,2.314692882641417e-105,2.882370215004244e-126,3.76,0.0,0.5862318977354355,0.9999999999973703,6.885777473773196e-45,1.8256627594931222e-97,8.359391654116507e-14,8.359391654116535e-14,2.629674516555395e-12,6.918173363381099e-35,5.0387717169187865e-30,3.332867652906816e-18,1.435518439797716e-28,1.187033884633296e-32,3.298149031006015e-44,4.6848614675764764e-30,4.30843545775726e-32,2.235421846943257e-46,2.379764512199403e-31
9.883497841415625e-19,0.822205772667129,4.302110584869373e-21,3.946771789674534e-22,6.536331443455844e-33,9.014937402441555e-33,0.0,0.0,6.661794873755618e-18,1.3473187377906032e-32,1.244105797859784e-43,2.8279404753476007e-61,3.688149823298597e-44,1.5294973467006926e-91,2.7040503277613496e-66,4.618550866153548e-60,4.808303759936223e-67,2.015672725800131e-29,1.0601006910643522e-100,1.9334170928053988e-57,1.5535327689970357e-89,1.3422104691567808e-105,1.0147015571760521e-49,1.2204547124701869e-76,6.179137850394564e-48,9.7759127482169e-97,4.225701392924058e-95,1.2622955125949288e-102,3.796627953448951e-145,4.512368057497408e-116,5.748714194695621e-47,3.584456897265508e-123,2.963557924774815e-103,7.381132774257045e-124,3.76,0.0,0.5862318977353519,0.9999999999947403,5.509145031133163e-44,1.168652057480804e-95,1.6719690458709322e-13,1.6719690458709435e-13,5.259634397765638e-12,2.767497065703071e-34,2.015672725800147e-29,6.666096984321751e-18,5.742541093134363e-28,4.748521977329012e-32,2.638769756049535e-43,1.87409710292047e-29,1.723514447135745e-31,1.788563895441646e-45,9.519832782627478e-31
1.97675319259999e-18,0.8222057726671546,8.604454588136988e-21,7.893757720578201e-22,2.6146389681520694e-32,3.606121695705188e-32,0.0,0.0,1.3323951192573131e-17,5.389494251336651e-32,9.953318895741028e-43,4.524934914199071e-60,2.95065993497654e-43,4.894810157861792e-90,4.326790962261003e-65,7.3901803163955975e-59,7.693795410528241e-66,8.063019001935531e-29,1.357117492058541e-98,3.0936921368466106e-56,9.94361797274731e-88,1.7182050120476154e-103,8.118123998318872e-49,3.90575615643674e-75,4.943544964320272e-47,6.257271430208896e-95,2.7047459521018843e-93,1.6159537083788834e-100,1.944187006342616e-142,5.776593027489495e-114,4.599189692485606e-46,9.177617879270934e-121,3.793834886644198e-101,1.8898599724678226e-121,3.76,0.0,0.5862318977351847,0.9999999999894804,4.407525257276298e-43,7.480102515149006e-94,3.344028806789009e-13,3.344028806789055e-13,1.0519554147416426e-11,1.107045871342473e-33,8.063019001935661e-29,1.3332555647086318e-17,2.2971099073702047e-27,1.8994860809370941e-31,2.1111160226675912e-42,7.496693453878163e-29,6.894338342448188e-31,1.4309416890290645e-44,3.808088065318845e-30
3.9535600095168455e-18,0.8222057726672061,1.7209142598564652e-20,1.5787729592999104e-21,1.04587686597159e-31,1.4424780260591698e-31,0.0,0.0,2.6648263830055485e-17,2.155841561336164e-31,7.962844143371411e-42,7.240080006216768e-59,2.3605839848916337e-42,1.5664260817961294e-88,6.92311391373414e-64,1.1824687671867557e-57,1.231048021623132e-64,3.225273228879928e-28,1.737231108721828e-96,4.950087256947852e-55,6.3642381806338274e-86,2.199414819945096e-101,6.494703825310348e-48,1.2498901470271274e-73,3.954929855339167e-46,4.004873707418657e-93,1.731132480777875e-91,2.0685586509629787e-98,9.955040134198665e-140,7.394526764913501e-112,3.679439098532179e-45,2.3496504543813957e-118,4.856416370231949e-99,4.8384127592722853e-119,3.76,0.0,0.5862318977348503,0.9999999999789606,3.526103901562488e-42,4.7874990248804816e-92,6.688148328623219e-13,6.688148328623407e-13,2.1039393595639205e-11,4.428289572194148e-33,3.2252732288800314e-28,2.6665472972354243e-17,9.188626573039713e-27,7.598098902466344e-31,1.688932906299864e-41,2.9987383907209835e-28,2.7577914614400588e-30,1.1447895813872912e-43,1.5232662171206484e-29
7.907173643350556e-18,0.8222057726673089,3.441851863498971e-20,3.1575673380295175e-21,4.18355002311078e-31,5.769970802784777e-31,0.0,0.0,5.329688910440951e-17,8.623453967615165e-31,6.370350952956192e-41,1.1584275374552488e-57,1.8884896107833063e-41,5.012829400474855e-87,1.1077181009717823e-62,1.8919819635592723e-56,1.969709448908178e-63,1.2901224230423755e-27,2.2237330828735867e-94,7.920283484275943e-54,4.0732157186522525e-84,2.8153229263666145e-99,5.195844918648293e-47,3.9997255714608987e-72,3.163981450764803e-45,2.563189638466697e-91,1.107955219354359e-89,2.64784334614486e-96,5.097186077189811e-137,9.465306461129287e-110,2.9435862291414953e-44,6.015335967394999e-116,6.216409940496262e-97,1.2386811945993316e-116,3.76,0.0,0.5862318977341815,0.9999999999579209,2.8209166008872945e-41,3.064074084015336e-90,1.337638737228387e-12,1.3376387372284618e-12,4.207907228776958e-11,1.7713466424809996e-32,1.2901224230424578e-27,5.3331307621845244e-17,3.6754880182588366e-26,3.0392704737693606e-30,1.3511623604628776e-40,1.1995075579464299e-27,1.1031278197127852e-29,9.158461573774741e-43,6.09312685092317e-29
1.5814400911017977e-17,0.8222057726675147,6.883727077011875e-20,6.315156112470442e-21,1.673428522266349e-30,2.3080000628529425e-30,0.0,0.0,1.0659413965067474e-16,3.449399131487594e-30,5.096311060331587e-40,1.8534958643926444e-56,1.5108006703250443e-40,1.604229242660832e-85,1.772364875764461e-61,3.02719669794518e-55,3.1515612385276953e-62,5.1605160012866866e-27,2.846427797018254e-92,1.2672568673969136e-52,2.606891140320669e-82,3.60365943902606e-97,4.156708688913736e-46,1.27992452944047e-70,2.531200207211799e-44,1.6404640025670546e-89,7.091010887221182e-88,3.389296006506042e-94,2.6098119257588453e-134,1.2115792258606925e-107,2.3548829827837324e-43,1.5399555708169543e-113,7.957130903127198e-95,3.1710847394170255e-114,3.76,0.0,0.5862318977328438,0.9999999999158414,2.256746674084126e-40,1.9610313373669317e-88,2.6752865459574076e-12,2.675286545957707e-12,8.415842885476964e-11,7.085524965912375e-32,5.1605160012873474e-27,1.0666297691664784e-16,1.4702026851441011e-25,1.2157143695030564e-29,1.0809363024904273e-39,4.798054632934262e-27,4.412533830382313e-29,7.326827228226842e-42,2.4372631368346704e-28
3.1628855446352814e-17,0.8222057726679262,1.3767477528949246e-19,1.2630333729279133e-20,6.693731124261535e-30,9.232023750759415e-30,0.0,0.0,2.1318864073343415e-16,1.3797631614186265e-29,4.077061035430096e-39,2.965602875289184e-55,1.2086441489362468e-39,5.134251940501994e-84,2.8357965796775403e-60,4.843535184763266e-54,5.042518971658484e-61,2.064211699165441e-26,5.249574290815423e-90,2.0276201956257616e-51,1.6684209973787603e-80,4.6134181828172635e-95,3.325380069396069e-45,4.0957783144847536e-69,2.0249662162731523e-43,1.3872660996356773e-87,5.99654584076071e-86,6.25075543128081e-92,2.0719279430005574e-131,2.2344713533638863e-105,1.883912016835375e-42,8.521330916331715e-111,1.782878850033916e-92,1.754717763877138e-111,3.76,0.0,0.5862318977301684,0.9999999998316826,1.8054026989228533e-39,1.2876575634886627e-86,5.350582163403009e-12,5.350582163404208e-12,1.683171387197271e-10,2.8342990804701003e-31,2.06421169916597e-26,2.1332631548953548e-16,5.880825696280387e-25,4.862869817320197e-29,8.647516075019336e-39,1.919226731593361e-26,1.7650181073953568e-28,5.861484969863481e-41,9.749077339701579e-28
6.32577645170225e-17,0.8222057726687488,2.7534978532470246e-19,2.526068923460393e-20,2.677495864038975e-29,3.692814212832391e-29,0.0,0.0,4.2637764285986835e-16,5.519059662749295e-29,3.261653811918554e-38,4.744972349975237e-54,9.669167961976853e-39,1.6434085007788251e-82,4.537284897334206e-59,7.749672743570027e-53,8.06804744132831e-60,8.256857688500144e-26,6.735540254598394e-88,3.24419967865921e-50,1.0677929145729253e-78,5.905201687727504e-93,2.6603093294203346e-44,1.3106522739564678e-67,1.619975444173899e-42,8.912267085559332e-86,3.852383122003677e-84,8.020118903811941e-90,1.0637576968610381e-128,2.866969607059355e-103,1.5071319149978144e-41,2.1860476892697123e-108,2.289736539407414e-90,4.501523020806678e-109,3.76,0.0,0.5862318977248175,0.9999999996633651,1.4443243066648074e-38,8.24429247152201e-85,1.0701173398244462e-11,1.0701173398249254e-11,3.3663454537347234e-10,1.1337865829148446e-30,8.256857688504373e-26,4.266529925684404e-16,2.3523332696479357e-24,1.9451503782242875e-28,6.918023119718603e-38,7.676916668656313e-26,7.060082099485913e-28,4.689197250038451e-40,3.8996358938602695e-27
1.2651558265836184e-16,0.8222057726703946,5.506998093809732e-19,5.0521401332083565e-20,1.0709990343159188e-28,1.4771266377623025e-28,0.0,0.0,8.527556469563986e-16,2.207625268051297e-28,2.609325216886969e-37,7.591962457781297e-53,7.735340789393869e-38,5.261754641191397e-81,7.259664603778613e-58,1.2399489783195086e-51,1.2908890520646868e-58,3.302745489388989e-25,8.62166758564658e-86,5.1907253764879714e-49,6.833886665197258e-77,7.558671602823832e-91,2.128249615639622e-43,4.194092687164019e-66,1.295981425321864e-41,5.704200102162616e-84,2.4656749233780047e-82,1.0265962163471081e-87,5.4465687939340915e-126,3.669796339469521e-101,1.205706531462671e-40,5.596338823374281e-106,2.93094412988492e-88,1.1524015904426166e-106,3.76,0.0,0.5862318977141159,0.9999999993267298,1.155460310200337e-37,5.2763881574612775e-83,2.1402355867728358e-11,2.1402355867747525e-11,6.732693063762923e-10,4.5356732882042766e-30,3.3027454893923727e-25,8.533063464587688e-16,9.409339060799876e-24,7.78060628294722e-28,5.534422595895784e-37,3.070768604266342e-25,2.8240351893038955e-27,3.751361508440841e-39,1.5598553487418192e-26
2.530312189410406e-16,0.8222057726736861,1.1013998734369164e-18,1.0104282987436587e-19,4.283997561329335e-28,5.908508537293205e-28,0.0,0.0,1.7055116545241071e-15,8.83050387439586e-28,2.0874613187238122e-36,1.2147146884964707e-51,6.18827601802131e-37,1.6855808075292237e-79,1.1615471891531895e-56,1.9839195120255168e-50,2.065423954942512e-57,1.3210988670495075e-24,1.1035746113892115e-83,8.305165308807975e-48,4.3736924469344555e-75,9.675110710019868e-89,1.7026006214174263e-42,1.34211069784942e-64,1.0367856986823703e-40,3.650698886001877e-82,1.5780350864289082e-80,1.3140447829680772e-85,2.7886476924543773e-123,4.6973457460914695e-99,9.645657511190008e-40,1.4326645581673578e-103,3.751613364471388e-86,2.950151886988835e-104,3.76,0.0,0.5862318976927127,0.9999999986534598,9.243686034792753e-37,3.3768918874137957e-81,4.280472080590012e-11,4.2804720805976795e-11,1.3465386191633153e-09,1.8146891504327204e-29,1.3210988670522148e-24,1.7066130531695001e-15,3.7637368207085106e-23,3.1122433611531085e-27,4.4275397107436345e-36,1.228307819744334e-24,1.12961487804556e-26,3.001090688113372e-38,6.239423374173112e-26
3.7954685522371928e-16,0.8222057726769777,1.6520999534362616e-18,1.5156426276397506e-19,9.103495759923697e-28,1.2555581974213701e-27,0.0,0.0,2.5582676614664637e-15,1.8764822480219305e-27,5.968835962233138e-36,4.47095751495365e-51,1.7694605441679592e-36,7.88925091211032e-79,4.4219800369484475e-56,7.501919727145669e-50,7.793819549832279e-57,2.8073357790803708e-24,6.173074392984561e-83,3.166344690978186e-47,2.495866691764773e-74,6.445001989391344e-88,5.0512535538490445e-42,6.278693873275454e-64,2.9645597129540946e-40,1.8116575884984132e-81,7.83099051954964e-80,7.325015415934875e-85,2.025465247407541e-122,2.6161913664306126e-98,2.7580557687580743e-39,7.770001418558658e-103,1.935727444629964e-85,1.6000033057683513e-103,3.76,0.0,0.5862318976713095,0.9999999979801897,2.6431168067318896e-36,1.8915100170166142e-80,6.420708574327585e-11,6.420708574343877e-11,2.0198077227317864e-09,3.856922398863804e-29,2.8073357790881114e-24,2.559919758810306e-15,7.997941491690414e-23,6.613517552748519e-27,1.2659997553106067e-35,2.6101543427419e-24,2.4004325882356537e-26,8.909489227972481e-38,1.3258775903532808e-25
