Time (s),Volume (m^3),N2,Ne,C2H6(1),O2(2),H2O(3),C(4),CH(5),CH3(18),C2H5(31),CH4(30),H(6),C2H4(29),HO2(12),H2(9),C2H5O2(40),CH3O2(36)
1.2739302152210665e-08,0.5399219735314136,3.76,0.0,0.8189361210266352,0.999995009502505,0.0,8.326921567860812e-15,3.541766570476365e-10,0.0038698311039108784,7.711465226419998e-05,8.537849044168032e-05,4.037457249232843e-05,3.400896761891493e-05,4.870557897171446e-06,7.257406826708757e-06,5.138604273059862e-09,1.1480099326212295e-07
1.3114254270583572e-08,0.5399278850498956,3.76,0.0,0.8188717898141405,0.9999948562163565,0.0,9.465276999714434e-15,3.6953610631353445e-10,0.003981000418644359,8.071368388640378e-05,9.043217273276761e-05,4.2779567983141725e-05,3.6626830377376714e-05,5.0185066384782255e-06,7.871630713663159e-06,5.425039948261549e-09,1.198519646574603e-07
1.348920638895648e-08,0.539933807633286,3.76,0.0,0.818807285450692,0.9999947025058763,0.0,1.0721908842612378e-14,3.8499227867539593e-10,0.004092015221394672,8.437141355519247e-05,9.562845288550832e-05,4.526886191689509e-05,3.9365079319420105e-05,5.16683830362596e-06,8.521953322128514e-06,5.71753953064511e-09,1.2493828029515905e-07
1.3864158507329386e-08,0.5399397414640396,3.76,0.0,0.818742606953643,0.999994548363817,0.0,1.2105358227897105e-14,4.0053766826957833e-10,0.004202875649680131,8.808693471233716e-05,0.00010096710870751289,4.784313804881823e-05,4.2225647392655004e-05,5.3155628326122645e-06,9.209618506289343e-06,6.015992222354849e-09,1.3005735778223295e-07
1.4239110625702293e-08,0.5399456867217439,3.76,0.0,0.8186777533307618,0.9999943937827873,0.0,1.3624510525974711e-14,4.16165249349074e-10,0.004313581841569755,9.18593793373493e-05,0.00010644791822634911,5.0503040728741696e-05,4.521043812531467e-05,5.464690151857476e-06,9.935879571938574e-06,6.3202914746350135e-09,1.3520676906273908e-07
1.46140627440752e-08,0.5399516435832409,3.76,0.0,0.8186127235808057,0.9999942387552598,0.0,1.5288596700062737e-14,4.3186844564032794e-10,0.004424133935705331,9.568791611854136e-05,0.00011207065968931702,5.324917671562751e-05,4.832132687404571e-05,5.6142301738241195e-06,1.0701998702745667e-05,6.63033487020208e-09,1.4038423121915907e-07
1.4989014862448107e-08,0.539957612222742,3.76,0.0,0.8185475166940707,0.9999940832735813,0.0,1.7107194427779926e-14,4.476411016612531e-10,0.004534532071322731,9.957174870991633e-05,0.00011783511156321652,5.608211690660481e-05,5.156016201243142e-05,5.764192796654558e-06,1.1509246412913675e-05,6.946023999227451e-09,1.4558759782260358e-07
1.5363966980821014e-08,0.5399635928119392,3.76,0.0,0.8184821316529137,0.9999939273299808,0.0,1.909022900581424e-14,4.634774558737557e-10,0.004644776388272506,0.00010351011406982488,0.0001237410525341099,5.900239798456184e-05,5.492876606304957e-05,5.914587903825212e-06,1.2358901024970237e-05,7.267264330988658e-09,1.508148507988353e-07
1.573891909919392e-08,0.539969585520109,3.76,0.0,0.8184165674322532,0.9999937709165782,0.0,2.1247974052214712e-14,4.793721155521908e-10,0.004754867027039842,0.00010750228087751656,0.00012978826150707973,6.201052398815748e-05,5.8428936775735186e-05,6.0654253638158445e-06,1.3252248171495874e-05,7.593965082884115e-09,1.560640927790665e-07
1.6113871217566828e-08,0.5399755905142135,3.76,0.0,0.8183508230000436,0.9999936140253911,0.0,2.3591052020070827e-14,4.953200332578326e-10,0.004864804128763851,0.00011154754802392457,0.0001359765176059853,6.510696780790337e-05,6.206244815457338e-05,6.216715029792661e-06,1.4190580319658853e-05,7.926039088150987e-09,1.6133353990660809e-07
