Time (s),Volume (m^3),N2,Ne,C2H6(1),O2(2),H2O(3),C(4),CH(5),CH3(18),C2H5(31),CH4(30),H(6),C2H4(29),HO2(12),H2(9),C2H5O2(40),CH3O2(36),C2H3(28),H2O2(13),C2H2(22),OH(8),CH2O(19),HCO(16),CO(14),O(7),CH2CHO(34),C2H5O(43),C2H(21),HCCO(20),C2H5O(101),C3H6(221),C3H6(74),CH3O(26),CH2CO(27),C3H6(55),C3H7(218),C3H7(49),C2H2O(140),CO2(15),C#CC(416),C3H5(219),C2H4(47),C3H4(2022),C3H4(2032),S(1627),CH2(S)(24)
3.032614284632811e-18,0.30223191144419853,3.76,0.0,0.6060788746181108,0.9999999999999994,2.7224524502539475e-36,1.84321458786014e-47,5.51634899065361e-30,3.0884072890557975e-13,1.42686171830956e-15,2.505006922593917e-20,8.189444305612288e-16,2.525685957997709e-25,6.079172860995459e-16,6.893190294017263e-26,3.3641461140159916e-28,1.7370388427595747e-26,5.235024315496644e-41,3.2459227512261413e-28,2.5694583296529763e-51,3.406829935352852e-26,2.674780631837195e-26,4.534429194865279e-40,1.0071699180274324e-39,1.4579298351979173e-21,4.896455152490238e-52,3.382440358842018e-29,1.643091769380299e-70,2.30433826218445e-71,1.4951757985005887e-37,1.3247645453565354e-55,4.122620913001803e-46,5.923681716322675e-27,1.0333242984482318e-55,2.2509263175727125e-55,4.914318040819127e-50,6.578048109480137e-49,9.33116278670653e-67,2.8210171375649417e-40,1.2025345224433067e-68,1.8283110577112402e-56,4.166764618151679e-41,1.2517814522060495e-67,2.3698250708319394e-81,6.308897019118014e-73,2.5048060755629875e-20
6.067863334065477e-18,0.3022319114442073,3.76,0.0,0.6060788746179548,0.9999999999999989,2.1796173288221182e-35,1.4756926335322812e-46,2.2079771970188644e-29,6.17949781637433e-13,2.8549631116165286e-15,5.0125922617558863e-20,1.6386003683622289e-15,1.0109325970648687e-24,1.2163627366548614e-15,2.7590725353464776e-25,1.3465351678365284e-27,6.952682222451958e-26,4.191202579953271e-40,1.2992150123685013e-27,4.114481094386391e-50,1.3636198196676636e-25,1.0706093208181353e-25,3.630300482600377e-39,8.063483496319126e-39,2.9171529120371358e-21,7.840707901610931e-51,1.353857620294646e-28,5.262318473869596e-69,7.382729887925029e-70,1.1970497544688008e-36,2.1220899531461005e-54,3.301620279945082e-45,2.3710164412060903e-26,1.6546655700114157e-54,3.6056733140298154e-54,3.970931718128556e-49,5.359823056900103e-48,2.9884846164659768e-65,2.2585290080206112e-39,3.852738404686291e-67,2.9287020894609938e-55,3.335945230532566e-40,4.010517701209806e-66,1.5185416134185028e-79,2.020547016589837e-71,5.011788350209706e-20
1.2138361432930808e-17,0.3022319114442248,3.76,0.0,0.6060788746176429,0.9999999999999977,1.7443562936907939e-34,1.1810029358549282e-45,8.834784801324953e-29,1.236167887088454e-12,5.7111659091918885e-15,1.002896959040558e-19,3.277912245013552e-15,4.0450471978216664e-24,2.433253637771988e-15,1.1039884003824613e-24,5.3878946182304724e-27,2.7819785158132437e-25,3.354235869844496e-39,5.1985523553637994e-27,6.585849320655048e-49,5.456255475915597e-25,4.283831817557406e-25,2.9053437079243995e-38,6.453237508801555e-38,5.835678834383619e-21,1.2550238952724728e-49,5.417193861244149e-28,1.6846505408862226e-67,2.3638907014066677e-68,9.580035870606346e-36,3.397319432663665e-53,2.6429224644597745e-44,9.487154146105187e-26,2.648543691326669e-53,5.772432376175544e-53,3.235170142661259e-48,4.437384690458198e-47,9.567172877413424e-64,1.807509617534873e-38,1.2336174771519638e-65,4.6886489115334e-54,2.6697699898478288e-39,1.2841370064749907e-64,9.724603469493776e-78,6.468477730356321e-70,1.0025752897077622e-19
2.4279357630661468e-17,0.3022319114442598,3.76,0.0,0.6060788746170189,0.9999999999999952,1.3957500638973973e-33,9.449823218831282e-45,3.534489198978321e-28,2.472604097939755e-12,1.1423571548188301e-14,2.006655084900778e-19,6.556536002513487e-15,1.6182822838850888e-23,4.867035440032225e-15,4.41667247883216e-24,2.1555086888048384e-26,1.1129725563144889e-24,2.6838983437534874e-38,2.0797594515197985e-26,1.0539503166504774e-47,2.182857480526993e-24,1.7138116742512574e-24,2.3247163886951735e-37,5.163570506644827e-37,1.1673049753748653e-20,2.008446851099827e-48,2.1672302100449543e-27,5.392017638093521e-66,7.566721822534634e-67,7.665483848856509e-35,5.437294800341229e-52,2.1153344658483488e-43,3.7954794162959757e-25,4.238535985814462e-52,9.238576455733794e-52,2.679719106783801e-47,3.786632680417904e-46,3.0621389756187072e-62,1.4462823148081848e-37,3.94876351293747e-64,7.504020277070411e-53,2.1362215329694133e-38,4.1104734630341306e-63,6.225648614176818e-76,2.0703531119946245e-68,2.0053681981111364e-19
4.8561350026122794e-17,0.30223191144432976,3.76,0.0,0.606078874615771,0.9999999999999903,1.1167060741218572e-32,7.560584996501374e-44,1.4139107385608208e-27,4.94547651943939e-12,2.2848383001563897e-14,4.0161019771421793e-19,1.3113783534302516e-14,6.473656025184563e-23,9.734599044656634e-15,1.766812779169681e-23,8.622736505527395e-26,4.4522525416008536e-24,2.147322582545424e-37,8.319714872887665e-26,1.6864920885295419e-46,8.732140553881854e-24,6.85580463630884e-24,1.859949697640458e-36,4.131248655698834e-36,2.3349067891166034e-20,3.213841935804127e-47,8.669625735842196e-27,1.7256285640976157e-64,2.421716638315953e-65,6.132968734111327e-34,8.700947764726974e-51,1.6932195843211945e-42,1.5183153217729909e-24,6.782359619146147e-51,1.4783869493360612e-50,2.2895492029226145e-46,3.4070589074912554e-45,9.799874362635628e-61,1.1571357081407295e-36,1.2637951837712535e-62,1.2008181062612795e-51,1.7091393517478755e-37,1.3155494451442598e-61,3.9850263172194124e-74,6.62585848169331e-67,4.0109540110370484e-19
9.712533481704545e-17,0.3022319114444698,3.76,0.0,0.6060788746132754,0.9999999999999806,8.934072709247023e-32,6.048768904247048e-43,5.655873041061938e-27,9.891221361626799e-12,4.56980066098462e-14,8.042718323707512e-19,2.622827866503723e-14,2.589567825845708e-22,1.9469726254321195e-14,7.067538717687883e-23,3.4492349711184094e-25,1.7809734749388248e-23,1.7179396759901334e-36,3.3280213672136286e-25,2.698524680451091e-45,3.4929983536452414e-23,2.7424334504497384e-23,1.48803039476414e-35,3.3051558469176456e-35,4.6706209360742393e-20,5.142408815600069e-46,3.4679908899531203e-26,5.522311459704736e-63,7.750092020472322e-64,4.906606912742364e-33,1.3922565888052394e-49,1.3558418978533614e-41,6.073508365477361e-24,1.085236615324001e-49,2.365590614708481e-49,2.0645740388195224e-45,3.329648611340218e-44,3.1361243289755123e-59,9.257525053715067e-36,4.044455190519127e-61,1.9214497409545987e-50,1.3673761615768025e-36,4.2100768428131715e-60,2.5506154256856915e-72,2.120406676705218e-65,8.022125621365531e-19
1.9425330439889075e-16,0.30223191144474987,3.76,0.0,0.6060788746082839,0.9999999999999611,7.147427821004762e-31,4.8391520062993424e-42,2.262395203156345e-26,1.9782711042754154e-11,9.139725663253516e-14,1.6126841265157761e-18,5.2457269195133256e-14,1.0358482411408874e-21,3.8939980675313276e-14,2.8270730206978736e-22,1.379722073807493e-24,7.124038758529783e-23,1.3743844537744892e-35,1.3312356308795517e-24,4.317749570355273e-44,1.397227768924356e-22,1.0969957030362543e-22,1.1904525683550582e-34,2.644187470273976e-34,9.344091307880038e-20,8.228063879026557e-45,1.3872241647746222e-25,1.767192389943522e-61,2.480134008642899e-62,3.9253771044682184e-32,2.2277036271478686e-48,1.0865966844775295e-40,2.4294527300095425e-23,1.7364351572198354e-48,3.78508125317487e-48,2.0242332682714374e-44,3.6299599850619785e-43,1.003585970252411e-57,7.406195707007699e-35,1.294278687745335e-59,3.074434990724512e-49,1.0939265245267476e-35,1.347276781391391e-58,1.6324612357206954e-70,6.785611016358351e-64,1.6044468779929153e-18
3.8850924356258136e-16,0.3022319114453099,3.76,0.0,0.606078874598301,0.9999999999999222,5.718010123261533e-30,3.8714027860374425e-41,9.049672535295387e-26,3.9565690392019057e-11,1.827957679024103e-13,3.2418648141252303e-18,1.0491525132983192e-13,4.1434354047283655e-21,7.788048952394931e-14,1.130840725023653e-21,5.5189445550812944e-24,2.8496444271026583e-22,1.099520757394322e-34,5.3249966911904024e-24,6.908488042186027e-43,5.588967935469613e-22,4.388027484445447e-22,9.523733512580379e-34,2.115375129042979e-33,1.8699200363004861e-19,1.3165071285572044e-43,5.548949790531895e-25,5.65513016594732e-60,7.936652152344644e-61,3.1403363963520906e-31,3.564429471479858e-47,8.723132916106825e-40,9.717909426648109e-23,2.7783713032845908e-47,6.056236038710683e-47,2.215456494686212e-43,4.4498889237300956e-42,3.2115160979981872e-56,5.925026678408365e-34,4.141797946184976e-58,4.919197219557707e-48,8.751510138676116e-35,4.311376956375429e-57,1.0448016294886122e-68,2.171508112866745e-62,3.208915484868321e-18
7.770211218899626e-16,0.30223191144643,3.76,0.0,0.6060788745783352,0.9999999999998443,4.574435251947629e-29,3.0971969849036325e-40,3.6198871574440754e-25,7.913164903858957e-11,3.655928353401482e-13,6.5496505865543364e-18,2.0983121989725725e-13,1.6573828245093706e-20,1.5576150724782877e-13,4.523386013026571e-21,2.2075891449578114e-23,1.1398635169472751e-21,8.796220581121976e-34,2.1300095094202863e-23,1.105365397315379e-41,2.2355985496597765e-21,1.755219949230306e-21,7.619031923151429e-33,1.6923102210591815e-32,3.744209171891622e-19,2.1064253344520136e-42,2.2195885532294106e-24,1.8096792787344123e-58,2.5398002750115037e-59,2.5122799344115963e-30,5.703263525006193e-46,7.026916964702308e-39,3.8871832625435014e-22,4.445549464571164e-46,9.69005293989775e-46,2.7260575727317298e-42,6.033357737632895e-41,1.0276911320987438e-54,4.740049142033912e-33,1.3254059587388908e-56,7.870825046537012e-47,7.001240184243618e-34,1.3796601855060117e-55,6.686877521663391e-67,6.949409575872349e-61,6.417852599270003e-18
1.554044878544725e-15,0.30223191144867034,3.76,0.0,0.6060788745384036,0.9999999999996886,3.659559073448283e-28,2.477855144039484e-39,1.4479583306190302e-24,1.5826356612389354e-10,7.311871498075621e-13,1.3362919719713963e-17,4.1966317422423143e-13,6.629550019691315e-20,3.1152354280201734e-13,1.8093590912797455e-20,8.830379792971968e-23,4.55946525076546e-21,7.037001064343738e-33,8.520059698509374e-23,1.7685911630311003e-40,8.942416977368719e-21,7.020897875483626e-21,6.095243466199355e-32,1.35385231459586e-31,7.505856741025653e-19,3.3702929656147585e-41,8.878355572508564e-24,5.791157430002066e-57,8.127704883796963e-58,2.009823365894933e-29,9.125661730423933e-45,5.698924850047107e-38,1.554877035782514e-21,7.113308527786485e-45,1.5504114367221315e-44,3.7067460920652364e-41,8.784186881858655e-40,3.2886174913022122e-53,3.792050039785368e-32,4.241435302201855e-55,1.2593498893824438e-45,5.600993610493356e-33,4.414975622655705e-54,4.279728669034993e-65,2.2241626645945076e-59,1.283572643067801e-17
3.10809239185425e-15,0.30223191145315087,3.76,0.0,0.6060788744585405,0.999999999999377,2.927651624351717e-27,1.9824313834782133e-38,5.791838969511912e-24,3.165273994631532e-10,1.4623764971100465e-12,2.778024833492389e-17,8.393271516467676e-13,2.651824869315117e-19,6.230476143361139e-13,7.237446245047989e-20,3.5321570136135826e-22,1.823788089494614e-20,5.629615156202455e-32,3.4080282074876314e-22,2.8297532550425564e-39,3.57697136888665e-20,2.8083629000045334e-20,4.876201755855764e-31,1.0830836517470943e-30,1.5081429068597302e-18,5.392482809198474e-40,3.55132976944383e-23,1.8532788395055518e-55,2.6010674609285555e-56,1.6078506064010392e-28,1.4602367617930623e-43,4.6829398145942005e-37,6.2195142637054086e-21,1.1382613412729265e-43,2.4806508929528565e-43,5.406833830457007e-40,1.335933512469184e-38,1.0523561678015603e-51,3.0336436925358717e-31,1.3573369335637033e-53,2.015003320210482e-44,4.480777287782807e-32,1.4128225937396899e-52,2.7391693868020217e-63,7.119535688466089e-58,2.5671472503921926e-17
6.2161874184732996e-15,0.3022319114621121,3.76,0.0,0.6060788742988142,0.999999999998754,2.342123072647836e-26,1.5861772071730306e-37,2.3167356866095662e-23,6.330550628162794e-10,2.9247580651848775e-12,5.977806692638642e-17,1.6786553815669422e-12,1.060731813697177e-18,1.2460957591071871e-12,2.8949808802314856e-19,1.4128641877634576e-21,7.29515435708367e-20,4.503704990725873e-31,1.3632121453430456e-21,4.527618074834071e-38,1.4307894808936393e-19,1.1233460172399634e-19,3.900963896746655e-30,8.664678733757367e-30,3.0441682460927554e-18,8.627997152657574e-39,1.4205192308579413e-22,5.931171836236144e-54,8.324680260052301e-55,1.2862646849643731e-27,2.3367895920437687e-42,3.944421885819975e-36,2.4878058568281735e-20,1.8216365515136635e-42,3.969004204806924e-42,8.231764974905732e-39,2.0818607046551154e-37,3.3675223796078205e-50,2.4269154106929956e-30,4.3439595985677165e-52,3.2241333850379063e-43,3.5845856931882623e-31,4.521210726245296e-51,1.753245153853213e-61,2.2796639947397446e-56,5.134295829219579e-17
1.2432377471711399e-14,0.3022319114800343,3.76,0.0,0.6060788739793618,0.9999999999975079,1.8736992104700578e-25,1.2693117141876755e-36,9.266934699239104e-23,1.2661103762209595e-09,5.8495326952078474e-12,1.3642634927732215e-16,3.357312941713696e-12,4.2429381361920735e-18,2.4921920554608805e-12,1.1579931535171798e-18,5.651462419938755e-21,2.9180605592372273e-19,3.6029805689957124e-30,5.452850279914594e-21,7.2442214574955565e-37,5.723159932259742e-19,4.493386641638191e-19,3.120771632465789e-29,6.931750506110817e-29,6.19986240341185e-18,1.3804857557855443e-37,5.68197009237669e-22,1.8984075650522923e-52,2.664701755637172e-53,1.0289853236444133e-26,3.740171595705631e-41,3.472447486895899e-35,9.951215147862084e-20,2.9159532856572e-41,6.350276812288697e-41,1.283548824714492e-37,3.286459092041823e-36,1.077594700372551e-48,1.9415308990310365e-29,1.3903727872877882e-50,5.159014689779318e-42,2.867607546732861e-30,1.4468991388092668e-49,1.1223011672511627e-59,7.303954452727037e-55,1.0268590443648328e-16
2.4864757578187595e-14,0.3022319115158787,3.76,0.0,0.6060788733404567,0.9999999999950157,1.4989597382541824e-24,1.0160407219633583e-35,3.706765674433525e-22,2.532220949824033e-09,1.1699127930697958e-11,3.4033349244195666e-16,6.714632463280815e-12,1.6971831503204288e-17,4.984384675414664e-12,4.631976816800677e-18,2.2605884251318112e-20,1.167222720244581e-18,2.882409373670466e-29,2.1811404307512267e-20,1.1590851543091963e-35,2.2892644882488947e-18,1.7973558577480495e-18,2.4966167411935907e-28,5.545409350443097e-28,1.2845824505291036e-17,2.2087957655060123e-36,2.272701493524668e-21,6.077669003437419e-51,8.53218404831721e-52,8.23145524746397e-26,5.98845578302714e-40,3.2850191004732835e-34,3.9804775375656e-19,4.669793836663595e-40,1.0160018550221753e-39,2.0268512755968396e-36,5.222682850601087e-35,3.448221162808326e-47,1.553221567922114e-28,4.4511456687428275e-49,8.255700668187828e-41,2.2939871554370953e-29,4.630788161067372e-48,7.185591671806636e-58,2.343042473964627e-53,2.0537169500078276e-16
4.972951779113999e-14,0.3022319115875676,3.76,0.0,0.6060788720626464,0.9999999999900313,1.199168048859192e-23,8.137785052688583e-35,1.4826993521035975e-21,5.064441884205057e-09,2.339850230306234e-11,9.505900749480406e-16,1.342928911189341e-11,6.788794149380935e-17,9.968770024309478e-12,1.8527936472151842e-17,9.042379201563232e-20,4.668877740276148e-18,2.3059667261259025e-28,8.724562193192252e-20,1.85456680101451e-34,9.157059892589499e-18,7.189431325566376e-18,1.9972919337669756e-27,4.436340559254179e-27,2.74760428326883e-17,3.5341315497981575e-35,9.090111542444883e-21,1.946623002210126e-49,2.7335861685815963e-50,6.584478706594099e-25,9.594904546711649e-39,3.439334240341404e-33,1.5921838182000142e-18,7.485327687754686e-39,1.625466503683228e-38,3.221500663047212e-35,8.327652024081356e-34,1.1033780354890428e-45,1.2425718666577803e-27,1.4256158316683086e-47,1.3213202983854331e-39,1.8350310245956484e-28,1.4823066137199215e-46,4.602442668928845e-56,7.534700858790325e-52,4.1074286927040204e-16
7.459427800409238e-14,0.30223191165925656,3.76,0.0,0.6060788707848359,0.9999999999850467,3.4288716879346025e-23,2.3287024585222235e-34,3.1507258634166716e-21,7.596662605760974e-09,3.509806057641829e-11,1.7632889357374129e-15,2.0143963366368495e-11,1.4426277510983482e-16,1.4953155482193186e-11,3.9371906650642475e-17,1.9215092650792187e-19,9.92134558445923e-18,6.593691137720551e-28,1.8539694770979923e-19,6.826093763062763e-34,1.9458754511697228e-17,1.5277552679476048e-17,5.711004461517777e-27,1.268521706477822e-26,4.34445542582838e-17,1.3008062738165873e-34,1.9315466572061922e-20,8.891160834895114e-49,1.276645619563e-49,1.882636738410561e-24,3.6603368086549117e-38,1.1579650459871223e-32,3.383379941960793e-18,2.757514516060383e-38,6.196849823747609e-38,1.2263862649822253e-34,3.172486019224034e-33,5.037535520532984e-45,3.552969976795993e-27,6.693136468528403e-47,5.038238795014373e-39,5.246781032368223e-28,6.957824288988386e-46,2.587214210805431e-55,3.446939978679631e-51,6.161136367316032e-16
