Time (s),Volume (m^3),N2,Ne,C2H6(1),O2(2),H2O(3),C(4),CH(5),CH3(18),C2H5(31),CH4(30),H(6),C2H4(29),HO2(12),H2(9),C2H5O2(40),CH3O2(36),C2H3(28),H2O2(13),C2H2(22),OH(8),CH2O(19),HCO(16),CO(14),O(7),CH2CHO(34),C2H5O(43),C2H(21),HCCO(20),C2H5O(101),C3H6(221),C3H6(74),CH3O(26),CH2CO(27),C3H6(55),C3H7(218),C3H7(49),C2H2O(140),CO2(15),C#CC(416),C3H5(219),C2H4(47),C3H4(2022),C3H4(2032),S(1627),CH2(S)(24),CH2(T)(17),S(3168),CH2O2(165),CHO2(212),C2H2O(189)
3.5940009233025294e-13,0.11998669034156957,3.76,0.0,0.6341757979161188,0.9999999999999643,5.55231204803116e-27,1.1086915872324275e-44,2.520838376141194e-31,3.215544568161885e-13,3.6103666326507246e-14,2.3586955285044673e-20,2.8159735879751054e-16,1.6637742205254264e-20,3.5822091424566764e-14,1.0311673192394632e-21,1.391990783476312e-20,3.144374043782412e-20,1.0430528785778652e-35,1.5502744583237099e-22,1.5892830609323344e-42,6.159167741261338e-22,5.430555860165415e-22,1.9470482302456963e-33,6.166732414487831e-31,1.086110531271145e-22,1.885856097348828e-41,3.1173069995094062e-24,1.028487212308316e-62,7.347064731642894e-60,1.0222389093424482e-26,1.3394181546214664e-46,2.7900507583785043e-40,2.4672948004424652e-23,1.4869246397932527e-45,8.006790012008846e-49,2.794020003374595e-42,1.5972799276007077e-40,1.0454922238914226e-53,7.384011810428807e-31,1.6931644405042807e-58,7.354950772748278e-48,6.90258433960263e-36,4.117043044504808e-56,3.0833699316550104e-69,3.1585491805290664e-62,1.2903787863899883e-21,1.755339600418844e-25,1.4423218523061045e-35,5.691574325649404e-34,1.707836394873316e-29,2.484737443580243e-57
7.191124349579257e-13,0.11998669034157315,3.76,0.0,0.6341757979159217,0.9999999999999284,4.445207188016142e-26,8.874295050060238e-44,1.0088369154372016e-30,6.433881745638622e-13,7.223868570129628e-14,9.18257831740965e-20,5.634594564657309e-16,6.659437239893543e-20,7.167531613036121e-14,4.1274826847294736e-21,5.571566963412489e-20,1.2585652841666812e-19,8.350732942278206e-35,6.20513874697221e-22,2.5449140574050085e-41,2.46526124488817e-21,2.1736406623612873e-21,1.5588141839626465e-32,4.9358815684093295e-30,4.18833081264364e-22,3.0198149034641564e-40,1.2434029632319153e-23,3.3062815930435965e-61,2.3710128603258273e-58,8.156716434917822e-26,2.1401917266325304e-45,2.4750713409818046e-39,9.875511692266794e-23,2.3896332030889755e-44,1.2782049019600458e-47,4.442259619991542e-41,2.555449800045171e-39,3.344187171099119e-52,6.078048252749438e-30,5.42444648569711e-57,1.1780302067059761e-46,5.512237525002069e-35,1.3188932654567935e-54,1.9738552100305653e-67,1.1930628118141674e-60,2.5813837120789014e-21,7.024020537025158e-25,1.1761370861819913e-34,4.553201822008024e-33,1.365281686201334e-28,7.973329413176566e-56
1e-12,0.11998669034158034,3.76,0.0,0.6341757979157678,0.9999999999999004,1.6599273835046036e-25,3.3126224693810945e-43,2.1905161515464027e-30,8.946974369703978e-13,1.0045532002335462e-13,1.9741068720073838e-19,7.835798542952389e-16,1.4463041883130756e-19,9.967193538197717e-14,8.964499477593209e-21,1.2100306817329197e-19,2.7333520303686526e-19,3.118328666573003e-34,1.3476380751238297e-21,1.745556492967461e-40,5.354043106408712e-21,4.72074265840814e-21,5.82090598650034e-32,1.8423844130604877e-29,8.972296117209602e-22,2.0712901707750124e-39,2.6870300945992183e-23,4.364982534668871e-60,3.1512970939280015e-57,3.028930820030426e-25,1.4615325777159904e-44,1.0748282832955936e-38,2.144742404434473e-22,1.6498300881413626e-43,8.7145356187199e-47,3.0370236735303705e-40,1.7520705837224826e-38,4.3733254965927914e-51,2.3731849527639413e-29,7.111472854175897e-56,8.079801795881877e-46,2.0496901240590162e-34,1.7288314636737462e-53,5.046000486983234e-66,2.0114716246508527e-59,3.588907487150279e-21,1.5248861599076862e-24,4.525383699659585e-34,1.6980717293128196e-32,5.085650553060389e-28,1.0490557155630513e-54
1.4385371202132714e-12,0.11998669034158034,3.76,0.0,0.6341757979155276,0.9999999999998567,3.557487136806705e-25,7.09896715288185e-43,4.0354187877365264e-30,1.2870552837913326e-12,1.4450868192940018e-13,3.622556483612741e-19,1.1272439298120482e-15,2.664645878524799e-19,1.4338179765541756e-13,1.6516316214115383e-20,2.2293334670767226e-19,5.035870237293323e-19,6.683072572376571e-34,2.482864381224987e-21,4.073489341490376e-40,9.864168281532757e-21,8.697418429258114e-21,1.2475118197316792e-31,3.9481993353706474e-29,1.6441285951452748e-21,4.833632225209772e-39,4.9409001965267744e-23,1.0663638544688943e-59,7.701099920338689e-57,6.484392813940578e-25,3.4092191404776154e-44,2.366487578381235e-38,3.9514130263541377e-22,3.8525529081322635e-43,2.032454426040853e-46,7.085042109448468e-40,4.088528691013915e-38,1.0679088970383347e-50,5.129393534211105e-29,1.736740109882703e-55,1.8855227317597678e-45,4.38917826487934e-34,4.222065387569482e-53,1.2615924929474724e-65,4.965624260664299e-59,5.1619090360085304e-21,2.8089935973528933e-24,9.754411779056794e-34,3.638323817472925e-32,1.089409511257336e-27,2.5624152093838529e-54
2.877386490723963e-12,0.11998669034159466,3.76,0.0,0.6341757979147393,0.9999999999997132,2.846482838157088e-24,5.6751908595364986e-42,1.6134366241611128e-29,2.574388197191308e-12,2.890485043136529e-13,1.4389236732010067e-18,2.2550539801966905e-15,1.066034703608982e-18,2.8679488916396774e-13,6.608409416651388e-20,8.91863311422574e-19,2.0146518022949667e-18,5.3473904969276445e-33,9.933079275530438e-21,6.518811304897403e-39,3.946239330710609e-20,3.479553109502735e-20,9.98177690955514e-31,3.155952680751805e-28,6.514399036816787e-21,7.735262569832157e-38,1.9497412430556145e-22,3.463700670596312e-58,2.5345542231439736e-55,5.120248395360272e-24,5.402417727470644e-43,2.5105207071665395e-37,1.5807601079433704e-21,6.253621995988304e-42,3.209355035060251e-45,1.1318001535631506e-38,6.541395437658462e-37,3.4009913379195893e-49,4.524891236668491e-28,5.558420073191039e-54,3.0163568769089236e-44,3.4768618296939344e-33,1.3508689918560398e-51,8.045484185032162e-64,2.3034403414125676e-57,1.0317028430109645e-20,1.1225579407096204e-23,8.349250705131792e-33,2.9022478942747447e-31,8.665605074891158e-27,8.264244173363705e-53
5.755085231745345e-12,0.11998669034162335,3.76,0.0,0.6341757979131629,0.9999999999994263,2.2773266673319592e-23,4.5325008825747266e-41,6.446335485906252e-29,5.149048803903705e-12,5.78127468905863e-13,5.7354885554847755e-18,4.5116384289591694e-15,4.264508589418565e-18,5.736215860513562e-13,2.644224883084944e-19,3.567621661585805e-18,8.059069400594244e-18,4.2781853781080665e-32,3.973559087949962e-20,1.0430844899436415e-37,1.5785679489843333e-19,1.3919497434963002e-19,7.985837338061723e-30,2.5198822550826375e-27,2.5935845853460255e-20,1.2377291018008946e-36,7.592161527408486e-22,1.1408913629075874e-56,8.544873830166665e-54,3.991353099614892e-23,8.473788643013125e-42,2.9957930779826248e-36,6.3230558378823575e-21,1.0289333576465524e-40,4.999691483600721e-44,1.8094362375279477e-37,1.046571860739635e-35,1.0776878608087585e-47,4.281770132621315e-27,1.777729475659595e-52,4.820545099238567e-43,2.7271166091439316e-32,4.317880178324158e-50,5.1083437535243785e-62,1.170348555688674e-55,2.060359692467498e-20,4.480839830698805e-23,7.542491937803895e-32,2.3077769744852928e-30,6.852196440576297e-26,2.684482171607699e-51
1e-11,0.11998669034168075,3.76,0.0,0.6341757979108376,0.9999999999990032,1.4034624589666907e-22,2.783950093334864e-40,2.0663996798789065e-28,8.946934371796752e-12,1.0045479888197318e-12,1.8396343172231185e-17,7.843187535242542e-15,1.3701067023016579e-17,9.967232914113513e-13,8.499127231768416e-19,1.1461268337483754e-17,2.5890883745957967e-17,2.636554164704058e-31,1.2766199500553498e-19,1.258292646693263e-36,5.071261359023849e-19,4.472116557613647e-19,4.921388852594269e-29,1.547027950859954e-26,8.315822572219343e-20,1.493091904732325e-35,2.3255808611766762e-21,2.875594825446708e-55,2.2390027772722922e-52,2.3443800548771847e-22,9.843274690314588e-41,3.011429585822316e-35,2.0311649768303328e-20,1.307971856868704e-39,5.735754581881041e-43,2.181931564594507e-36,1.2624079656185521e-34,2.522685285337471e-46,3.3933287093655884e-26,4.238275746954855e-51,5.802649160782368e-42,1.6198331990021712e-31,1.028216970011376e-48,2.3873149373222183e-60,4.6330794854754175e-54,3.570787938529107e-20,1.4338649256296406e-22,5.646860670254858e-31,1.4057484170515056e-29,4.130293481782003e-25,6.588792109899086e-50
1.151048271378811e-11,0.11998669034168075,3.76,0.0,0.6341757979100101,0.9999999999988527,1.8218264601795045e-22,3.613291142776653e-40,2.572311643158051e-28,1.029834913803633e-11,1.1562826782771758e-12,2.290149889017341e-17,9.028664184340573e-15,1.7058910270706053e-17,1.147277035599556e-12,1.0582497398524437e-18,1.4270091954358684e-17,3.223603996100849e-17,3.4224962073335604e-31,1.5894915170209476e-19,1.6689188377405603e-36,6.314078543453558e-19,5.568142975647241e-19,6.388420867186882e-29,2.0078464185101108e-26,1.0351986319956412e-19,1.9803414218252883e-35,2.882945836623019e-21,3.85823095248787e-55,3.0053093644858604e-52,3.036563225021357e-22,1.3044315437198324e-40,3.976396656061283e-35,2.528925956158307e-20,1.736779117852515e-39,7.598822233929263e-43,2.8939500290742056e-36,1.6743744325202742e-34,3.3819933813793094e-46,4.448428899884911e-26,5.68313851160512e-51,7.695894770163506e-42,2.099184118335205e-31,1.3787265106639113e-48,3.218624277671217e-60,6.240039276325158e-54,4.108248848970758e-20,1.7846387702433666e-22,7.387815545430027e-31,1.8238423148230246e-29,5.356166028981792e-25,8.837781952185778e-50
2.3021277677873642e-11,0.11998669034179547,3.76,0.0,0.6341757979037044,0.9999999999977052,1.4573014810432351e-21,2.870253912105513e-39,1.023918109372416e-27,2.059686629759117e-11,2.3125822249020004e-12,9.152476378583092e-17,1.807813885490765e-14,6.823848323117851e-17,2.294596160127244e-12,4.237218226863323e-18,5.707372749449653e-17,1.2893438947223692e-16,2.737714625884072e-30,6.358121071172582e-19,2.6700103636762023e-35,2.5253224579586712e-18,2.227390515915867e-18,5.109962298690475e-28,1.5933831422917777e-25,4.1379229276711127e-19,3.1682195776265255e-34,1.0461922017229014e-20,1.367112724636254e-53,1.125431881154752e-50,2.2106187629537254e-21,1.938585341388925e-39,5.709042929557096e-34,1.0112716580920821e-19,3.068152455291869e-38,1.104257367388856e-41,4.629424772364605e-35,2.678568251500686e-33,1.0418870634482434e-44,5.088606549876117e-25,1.814711914462879e-49,1.225688928809047e-40,1.5607814643490544e-30,4.392001338167122e-47,1.9974079937201483e-58,3.2982535515344887e-52,8.166674389319188e-20,7.077110906433659e-22,7.994187948762058e-30,1.4241570627527085e-28,4.0946857252307865e-24,2.978102445955024e-48
4.6042867606044704e-11,0.11998669034202494,3.76,0.0,0.6341757978910928,0.99999999999541,1.1655439903625939e-20,2.2640287125383806e-38,4.0560390097997304e-27,4.1193566649449483e-11,4.625137886725984e-12,3.659340464987628e-16,3.6238746682997726e-14,2.729683342002859e-16,4.5892673295993164e-12,1.6982096165380837e-17,2.28234844000083e-16,5.156436790016055e-16,2.189631940121326e-29,2.5432948272833178e-18,4.271003600661029e-34,1.0098508095546883e-17,8.910285542381085e-18,4.086556557972108e-27,1.2543954522882264e-24,1.6558723363086806e-18,5.06789044203987e-33,3.522027197910265e-20,5.2204853536348825e-52,4.5411202434021934e-49,1.4952322000240115e-20,2.7087482765587916e-38,8.613075466294074e-33,4.0425755450769643e-19,5.834293967822327e-37,1.4891749663359667e-40,7.406436854661507e-34,4.2843461469749745e-32,3.1023169823710777e-43,6.217074053998989e-24,5.780322444723462e-48,1.9423771635137498e-39,1.0932681368815043e-29,1.3922434283601562e-45,1.20433992690717e-56,1.619950888576036e-50,1.6136827236325348e-19,2.7825002792620546e-21,9.4840083906424e-29,1.0864193826853542e-27,3.00243519392193e-23,1.0397102965423308e-46
6.906445753421577e-11,0.11998669034225441,3.76,0.0,0.6341757978784811,0.9999999999931144,3.3322265021240243e-20,6.421517335706276e-38,8.561486805635355e-27,6.178993310158465e-11,6.937650174138346e-12,7.775038586181288e-16,5.446097886629183e-14,5.800765126509819e-16,6.883971438170341e-12,3.6135588086323166e-17,4.849088924554517e-16,1.095600537439553e-15,6.260154704496681e-29,5.404547856224706e-18,1.571844144780479e-33,2.1455156290573808e-17,1.8935276094407247e-17,1.1682605447310819e-26,3.553865363330544e-24,3.5206035755885235e-18,1.8651075032138278e-32,6.690735302304662e-20,2.554313615940898e-51,2.2629021958235887e-48,3.9019081258341725e-20,9.740174815703234e-38,3.239893327252458e-32,8.586753348423726e-19,2.311142322089227e-36,5.277344244307369e-40,2.8236628041480858e-33,1.6331696259281932e-31,1.3765162460738307e-42,2.0960734466917705e-23,2.711050515113213e-47,7.384037266587415e-39,2.906354190460755e-29,6.517958345065559e-45,6.640280956720234e-56,8.182551728181825e-50,2.396294532861955e-19,5.842853508889037e-21,3.189858883522749e-28,3.023167564918836e-27,8.171572759954696e-23,4.897052577564514e-46
9.208604746238683e-11,0.11998669034248388,3.76,0.0,0.6341757978658691,0.9999999999908185,7.02766484479359e-20,1.3446049867529005e-37,1.4515272133005336e-26,8.238596572147465e-11,9.250119144121675e-12,1.326231977078147e-15,7.27448012933672e-14,9.895706373229641e-16,9.178708504513375e-12,6.171935500404708e-17,8.270549802920088e-16,1.8687399646371663e-15,1.320316279602896e-28,9.219584701138158e-18,3.986199589187533e-33,3.659337330551971e-17,3.230268645148031e-17,2.4637364432333066e-26,7.433809369578589e-24,6.009100430060284e-18,4.7299180804921427e-32,1.0360720071106021e-19,8.36081173597276e-51,7.392846499603289e-48,7.608262004391547e-20,2.4876850553467505e-37,8.638336208624162e-32,1.4642135048330494e-18,6.237041691690171e-36,1.3330846924938237e-39,7.597211265315307e-33,4.393626257732486e-31,4.000148157315829e-42,4.9834303934645913e-23,8.4300264788491175e-47,1.9736207473165484e-38,5.755283686752655e-29,2.021807891548119e-44,2.327154550274563e-55,2.6150963934783046e-49,3.164764364527141e-19,9.85874465329788e-21,7.6008848776746485e-28,6.2225173868309494e-27,1.6493911368366939e-22,1.4985395713962736e-45
9.999999999999999e-11,0.11998669034294279,3.76,0.0,0.6341757978615336,0.9999999999900294,8.665391677812277e-20,1.6537360852584568e-37,1.6817816026500394e-26,8.946604302457407e-11,1.004505076500484e-11,1.5396463946069188e-15,7.904120894589876e-14,1.1488410458440237e-15,9.967558340012406e-12,7.168113490067568e-17,9.601059484396508e-16,2.1694064750775952e-15,1.6280433030799926e-28,1.0703391399306025e-17,5.2106301901454916e-33,4.2480154961213113e-17,3.750190596980134e-17,3.0378295940226846e-26,9.13950828733649e-24,6.977524683320165e-18,6.182814202477403e-32,1.1682521092886033e-19,1.2431338158276628e-50,1.0763373849662234e-47,9.142375908603298e-20,3.2943275139376544e-37,1.1658283555767225e-31,1.6996405768438142e-18,8.35182358749511e-36,1.7584386115123262e-39,1.0283986655422188e-32,5.947153162911114e-31,5.482271655871941e-42,6.372908351941925e-23,1.2041942079985551e-46,2.660471744885588e-38,6.94925287498207e-29,2.8826004681311137e-44,3.498635132988254e-55,3.71496763267817e-49,3.4264409745467556e-19,1.1404947531921598e-20,9.738290088315484e-28,7.607392729267643e-27,2.0032424210183942e-22,2.1008754102933894e-45
