Time (s),Volume (m^3),N2,Ne,C2H6(1),O2(2),H2O(3),C(4),CH(5),CH3(18),C2H5(31),CH4(30),H(6),C2H4(29),HO2(12),H2(9),C2H5O2(40),CH3O2(36),C2H3(28),H2O2(13),C2H2(22)
1.229832494565372e-10,0.07398452599092487,3.76,0.0,0.844215206785378,0.9999999999907602,0.0,2.9705938499092624e-42,1.3623595117586035e-27,3.0754119987526346e-11,9.259329856728368e-12,8.933169890361652e-16,2.816728940326048e-14,1.1768981230861266e-15,9.234930157985839e-12,5.233698041223758e-17,2.444956672839512e-15,2.3154071348421178e-15,9.845681237931908e-29,1.6585654208674202e-17,3.6523617267770935e-33
1.6555459634951028e-10,0.07398452599099523,3.76,0.0,0.8442152067768478,0.9999999999875597,0.0,7.868389511617196e-42,2.3075620887121454e-27,4.1398624339890357e-11,1.2463498461279457e-11,1.5390612479350796e-15,3.8095052135441754e-14,2.0277506948009323e-15,1.2431893152084379e-11,9.044648881001373e-17,4.21134713944507e-15,3.988482325354071e-15,2.102329904707992e-28,2.857568156416786e-17,9.446214305366986e-33
2.0812594324248337e-10,0.07398452599106559,3.76,0.0,0.8442152067683175,0.9999999999843582,0.0,1.6989800877985925e-41,3.474186065725627e-27,5.204251570143302e-11,1.5667159589341653e-11,2.355646542625692e-15,4.81126667538659e-14,3.1037983800194915e-15,1.562897802459337e-11,1.3884795155937372e-16,6.444324745087472e-15,6.103707188181936e-15,3.8235452820763814e-28,4.3738526902830794e-17,2.000745782020665e-32
2.5069729013545646e-10,0.07398452599113592,3.76,0.0,0.8442152067597868,0.9999999999811557,0.0,3.26164923757236e-41,4.8656548602623016e-27,6.268575274564367e-11,1.887027922948784e-11,3.3546508276784463e-15,5.822605392329387e-14,4.420342544382653e-15,1.8826193150591653e-11,1.9833166111585759e-16,9.175183120694177e-15,8.690830268466162e-15,6.326060735742723e-28,6.228951622521814e-17,3.785703251222049e-32
3.358399839214026e-10,0.07398452599127657,3.76,0.0,0.8442152067427251,0.9999999999747472,0.0,9.861477798124805e-41,8.267830615020136e-27,8.397022862312335e-11,2.5274866157634237e-11,5.910132640729039e-15,7.874443068053463e-14,7.788644496130461e-15,2.522102219639926e-11,3.5176019473115027e-16,1.6156328730540086e-14,1.5305813727368825e-14,1.4598605174011106e-27,1.097476235371886e-16,1.1478345271047263e-31
4.2098267770734876e-10,0.07398452599141717,3.76,0.0,0.8442152067256624,0.9999999999683344,0.0,2.2929428110599314e-40,1.2434828183422195e-26,1.0525205006192008e-10,3.167725931790199e-11,9.206534949186863e-15,9.96493407964441e-14,1.2134339722633076e-14,3.1616381970081583e-11,5.515546966961063e-16,2.5154901074349213e-14,2.3834314821942977e-14,2.805550029950099e-27,1.7097160051499416e-16,2.700623597768786e-31
5.91268065279241e-10,0.07398452599169823,3.76,0.0,0.8442152066915348,0.999999999955495,0.0,8.532310088212973e-40,2.265995790176124e-26,1.4780773653976274e-10,4.4475479797247575e-11,1.8023102484182842e-14,1.4261115631618893e-13,2.3761165878362965e-14,4.4408699994527985e-11,1.0947753873092693e-15,4.919117622546413e-14,4.662395203024691e-14,7.723711517963318e-27,3.347505634297474e-16,1.0612471678526518e-30
9.318388404230257e-10,0.07398452599225983,3.76,0.0,0.8442152066232702,0.999999999929763,0.0,4.988233010243965e-39,4.8794585689763835e-26,2.328873609049392e-10,7.004578299568947e-11,4.454856224716972e-14,2.330897796118938e-13,5.876534417296614e-14,6.999976349209469e-11,2.7839306160672966e-15,1.2131136509315207e-13,1.1505948400303072e-13,3.079249444019951e-26,8.276769714273276e-16,7.066438565921239e-30
9.999999999999999e-10,0.07398452599282067,3.76,0.0,0.8442152066096063,0.9999999999246044,0.0,6.574299433779898e-39,5.470898179235653e-26,2.499099565779831e-10,7.51592072175777e-11,5.1280788259246547e-14,2.519190484213478e-13,6.765398111246808e-14,7.512254268335549e-11,3.2229301918499716e-15,1.3957883541058242e-13,1.3240419348007254e-13,3.821838204438069e-26,9.528173968352504e-16,9.502255738152046e-30
1.2724096155668104e-09,0.07398452599282067,3.76,0.0,0.8442152065549926,0.9999999999039597,0.0,1.5438944095709683e-38,8.062349125765739e-26,3.179247556691861e-10,9.558140117424485e-11,8.292675424426587e-14,3.2957237334374196e-13,1.0944831582341275e-13,9.55994408087679e-11,5.3135374474875565e-15,2.2535150881607481e-13,2.1387187233221196e-13,7.725033779716395e-26,1.541151728631484e-15,2.3346274327910827e-29
