Time (s),Volume (m^3),N2,Ne,C2H6(1),O2(2),H2O(3),C(4),CH(5),CH3(18),C2H5(31),CH4(30),H(6),C2H4(29),HO2(12),H2(9)
1e-12,0.18138240816916687,3.76,0.0,0.9756803565501477,0.9999999999999971,0.0,6.53234676902486e-57,1.0662758156300273e-35,5.192257212998588e-15,2.9468800134424327e-15,2.486087100045293e-22,1.8429072193838452e-18,9.9548522049459e-22,2.945038830400507e-15,9.092136550746223e-24
1.023e-12,0.18138240816916687,3.76,0.0,0.9756803565501476,0.999999999999997,0.0,6.819624317507501e-57,1.1034790099488558e-35,5.3117425263157625e-15,3.0146942280433797e-15,2.5728343778041937e-22,1.885319366245569e-18,1.0302207815762305e-21,3.0128106930164692e-15,9.409395359882201e-24
2.047e-12,0.18138240816916698,3.76,0.0,0.975680356550142,0.999999999999994,0.0,1.0930371734306016e-55,4.4171673381729007e-35,1.063143608894915e-14,6.033899851981952e-15,1.0302894875239815e-21,3.773945669673542e-18,4.125510230076972e-21,6.030133051675252e-15,3.7683998985211164e-23
4.095e-12,0.1813824081691672,3.76,0.0,0.9756803565501306,0.999999999999988,0.0,1.7496785334230328e-54,1.7664942702458366e-34,2.1270821667047694e-14,1.2072306508444924e-14,4.123469692739005e-21,7.552653300962599e-18,1.6511291854344847e-20,1.2064782452550442e-14,1.5085376723083211e-22
8.191e-12,0.1813824081691675,3.76,0.0,0.9756803565501079,0.9999999999999759,0.0,2.797905843895897e-53,7.057067370288555e-34,4.2549586634573664e-14,2.4149101455924468e-14,1.6498500726213204e-20,1.5115888380315264e-17,6.60636283273197e-20,2.413409998860017e-14,6.03849957221199e-22
1e-11,0.18138240816916815,3.76,0.0,0.9756803565500979,0.9999999999999706,0.0,1.204711800346915e-52,1.1713916080993651e-33,5.194735602804422e-14,2.9482806440135164e-14,2.743039243273063e-20,1.8461334259909806e-17,1.0983724686392112e-19,2.946453534111659e-14,1.0044299829765432e-21
1.6383e-11,0.18138240816916815,3.76,0.0,0.9756803565500625,0.9999999999999518,0.0,4.468267423042107e-52,2.8145461310640194e-33,8.510709181495552e-14,4.830261789078019e-14,6.600323088640709e-20,3.0265635558667084e-17,2.6429109270091753e-19,4.8272809998447867e-14,2.4178640926483843e-21
3.2767e-11,0.18138240816916953,3.76,0.0,0.9756803565499717,0.9999999999999035,0.0,7.119971405726157e-51,1.1190150906758262e-32,1.7022200315715407e-13,9.660935693353355e-14,2.640312483884616e-19,6.065822001772586e-17,1.057234775508277e-18,9.655052977354175e-14,9.689138362025992e-21
6.5535e-11,0.1813824081691722,3.76,0.0,0.9756803565497899,0.9999999999998069,0.0,1.1309733883143269e-49,4.422089695614383e-32,3.404514297682118e-13,1.9322165981881517e-13,1.056160590590862e-18,1.2181560558952296e-16,4.229057865926648e-18,1.9310716838055047e-13,3.8893908243950316e-20
9.999999999999999e-11,0.18138240816917758,3.76,0.0,0.9756803565495987,0.9999999999997055,0.0,9.90833002169146e-49,1.1178731820494013e-31,5.194959209468564e-13,2.9483488086417856e-13,2.7224796763719088e-18,1.8692261194970344e-16,1.0901200605525949e-17,2.9466683651497076e-13,1.0082939642190992e-19
1.31071e-10,0.18138240816917758,3.76,0.0,0.9756803565494264,0.9999999999996139,0.0,1.782132140296699e-48,1.727000202104922e-31,6.809086987043399e-13,3.8644156564875677e-13,4.224705131596135e-18,2.4561809416694324e-16,1.6916292642725714e-17,3.862252421033814e-13,1.566656811506894e-19
2.62143e-10,0.18138240816918838,3.76,0.0,0.9756803565486994,0.9999999999992276,0.0,2.768603223892937e-47,6.594450237593428e-31,1.3618168994916086e-12,7.728625844191272e-13,1.68988786630161e-17,4.991647614297428e-16,6.766388260544688e-17,7.724805778319681e-13,6.353561385920582e-19
5.24287e-10,0.18138240816920992,3.76,0.0,0.9756803565472456,0.999999999998455,0.0,4.19402794198671e-46,2.4164771028472426e-30,2.72360795319788e-12,1.5456295052379947e-12,6.75950917163387e-17,1.0299516398218525e-15,2.706416795708596e-16,1.5450680203293877e-12,2.6107681055730133e-18
7.864310000000001e-10,0.1813824081692315,3.76,0.0,0.9756803565457918,0.9999999999976823,0.0,1.5564469271042875e-45,4.84145002257878e-30,4.085373659507515e-12,2.3183213640239823e-12,1.4363869896461423e-16,1.5843590653072636e-15,5.750922361649758e-16,2.3177322517029905e-12,5.649514524931614e-18
9.999999999999999e-10,0.18138240816925297,3.76,0.0,0.9756803565446072,0.9999999999970528,0.0,3.627604261871994e-45,7.280962757291362e-30,5.194785001416595e-12,2.947773147449498e-12,2.262416730102022e-16,2.0552197870014793e-15,9.057903754115434e-16,2.9472852101818063e-12,9.028279251787648e-18
1.0485750000000002e-09,0.18138240816925297,3.76,0.0,0.9756803565443377,0.9999999999969096,0.0,4.09867669062496e-45,7.83581543295433e-30,5.447114018892137e-12,3.0909382153193417e-12,2.45029228621103e-16,2.162314260245708e-15,9.810057021392152e-16,3.09047328971633e-12,9.79675921192715e-18
1.5728630000000002e-09,0.18138240816929616,3.76,0.0,0.9756803565414297,0.9999999999953639,0.0,1.5906413762667817e-44,1.4910386578439522e-29,8.170535251443042e-12,4.635996048541224e-12,5.072964995157775e-16,3.3732649196506543e-15,2.0309293425007015e-15,4.636135681044683e-12,2.083238118874951e-17
2.0971510000000003e-09,0.18138240816933923,3.76,0.0,0.9756803565385218,0.9999999999938181,0.0,4.1885531836085005e-44,2.3454496325327603e-29,1.0893863278227921e-11,6.180778503438453e-12,8.627695252304569e-16,4.6702077168603386e-15,3.4538865645804124e-15,6.182080664300084e-12,3.6317512719617134e-17
2.621439e-09,0.1813824081693823,3.76,0.0,0.9756803565356137,0.9999999999922716,0.0,9.144046343296089e-44,3.318520425678159e-29,1.3617091444844229e-11,7.725266271433065e-12,1.3181027063820296e-15,6.058803368340216e-15,5.276456943153104e-15,7.72832854174328e-12,5.686875068415112e-17
3.670015e-09,0.18138240816946855,3.76,0.0,0.975680356529797,0.9999999999891783,0.0,3.256730758041496e-43,5.465553970251965e-29,1.906324194629695e-11,1.0813341663588824e-11,2.5346008009144685e-15,9.113478260183914e-15,1.0145094458694045e-14,1.08217527885553e-11,1.154924449075095e-16
4.718591e-09,0.18138240816955484,3.76,0.0,0.9756803565239799,0.9999999999860837,0.0,8.152942206175351e-43,7.801147232449777e-29,2.4508986910257975e-11,1.3900225560121498e-11,4.15663631726469e-15,1.2533238791943337e-14,1.663578471529573e-14,1.391640898270245e-11,1.9913587021712445e-16
6.8157430000000004e-09,0.18138240816972737,3.76,0.0,0.9756803565123445,0.9999999999798908,0.0,3.231877955667442e-42,1.267541673102178e-28,3.53992605523466e-11,2.0070436650743435e-11,8.616992919972632e-15,2.044491820555326e-14,3.447942280006368e-14,2.01094222004343e-11,4.556923918680279e-16
9.999999999999999e-09,0.18138240817007253,3.76,0.0,0.9756803564946742,0.9999999999704778,0.0,1.424729696740209e-41,2.0239318504401417e-28,5.193164784869135e-11,2.943011453144331e-11,1.8489388101178146e-14,3.510036459507308e-14,7.395449781375144e-14,2.9522176007332e-11,1.128883521283304e-15
1.1010047e-08,0.18138240817007253,3.76,0.0,0.9756803564890684,0.9999999999674898,0.0,1.9591950001738398e-41,2.267963760684782e-28,5.71749437311669e-11,3.239673961657376e-11,2.2401810084815236e-14,4.041476317961132e-14,8.95950844689081e-14,3.251028546811459e-11,1.4138720662787582e-15
1.5204351e-08,0.1813824081704179,3.76,0.0,0.975680356465785,0.9999999999550692,0.0,6.134698627220096e-41,3.2773397945465113e-28,7.89441427956841e-11,4.4704355187409424e-11,4.267073923795513e-14,6.573128281831018e-14,1.705882163157206e-13,4.493097356662289e-11,3.0780156808573643e-15
1.9398655e-08,0.1813824081707635,3.76,0.0,0.9756803564424943,0.9999999999426283,0.0,1.446098307534723e-40,4.284550417908762e-28,1.0070685960095165e-10,5.6993470384554795e-11,6.942192470124352e-14,9.614906758643805e-14,2.7742159483532953e-13,5.737154302830746e-11,5.599776815163407e-15
2.3592959000000002e-08,0.1813824081711093,3.76,0.0,0.9756803564191961,0.999999999930168,0.0,2.891929252421999e-40,5.28950368505359e-28,1.2246309605149932e-10,6.926427130885194e-11,1.0265346130373418e-13,1.3142516124407092e-13,4.1005715784711183e-13,6.983204880317902e-11,9.129099409670344e-15
3.1981567000000006e-08,0.1813824081718013,3.76,0.0,0.9756803563725769,0.9999999999051868,0.0,8.544605219867928e-40,7.297019047799884e-28,1.6595613492843852e-10,9.375158121967319e-11,1.885505455709023e-13,2.157097527155271e-13,7.525957549522151e-13,9.481305389103915e-11,1.972927012603937e-14
4.037017500000001e-08,0.1813824081724941,3.76,0.0,0.9756803563259261,0.9999999998801257,0.0,1.9729945368385454e-39,9.302797875945326e-28,2.094232746522055e-10,1.1816765576536074e-10,3.0034676127067504e-13,3.1681788022615704e-13,1.1979050314101722e-12,1.1987436992913487e-10,3.596562877468792e-14
4.8758783000000014e-08,0.1813824081731875,3.76,0.0,0.9756803562792424,0.9999999998549838,0.0,3.9125930008532653e-39,1.1308264030672777e-27,2.52864531239108e-10,1.4251383378308337e-10,4.3802608682030065e-13,4.330446789921541e-13,1.7456755356649977e-12,1.4501634692152168e-10,5.888358353965465e-14
5.714739100000002e-08,0.18138240817388165,3.76,0.0,0.9756803562325257,0.9999999998297607,0.0,6.987116101488665e-39,1.3312332273929662e-27,2.962799205548391e-10,1.6679131599080347e-10,6.015726513640875e-13,5.628886601843012e-13,2.3956069328743628e-12,1.7023926976617874e-10,8.939938941254457e-14
6.553599900000002e-08,0.18138240817457651,3.76,0.0,0.9756803561857746,0.9999999998044566,0.0,1.1545272189785415e-38,1.5315329387039426e-27,3.39669458040475e-10,1.9100115649902212e-10,7.909710088594341e-13,7.050592178357238e-13,3.1474126963783437e-12,1.9554335951048597e-10,1.2829607729886836e-13
7.700356206348528e-08,0.1813824081755273,3.76,0.0,0.9756803561218071,0.9999999997697333,0.0,2.0864423033351335e-38,1.8051294112269525e-27,3.989428947878972e-10,2.2398925954074372e-10,1.0916846380899483e-12,9.172926710704348e-13,4.339481981827693e-12,2.3026669979497018e-10,1.9627320013427027e-13
8.847112512697055e-08,0.18138240817647924,3.76,0.0,0.9756803560577731,0.9999999997348575,0.0,3.4677146297423105e-38,2.0784649651665456e-27,4.581680872348008e-10,2.568550231522186e-10,1.4406424769659408e-12,1.147723089970221e-12,5.72070879710459e-12,2.651424267139212e-10,2.828242327852158e-13
9.993868819045581e-08,0.18138240817743237,3.76,0.0,0.9756803559936709,0.9999999996998291,0.0,5.407650695793052e-38,2.351628756815888e-27,5.173450743762095e-10,2.8960050761042287e-10,1.837805518219269e-12,1.3939864363209895e-12,7.290401479901916e-12,3.001708050158487e-10,3.893567999188557e-13
9.999999999999998e-08,0.18138240817838663,3.76,0.0,0.975680355993328,0.9999999996996415,0.0,5.419726484052446e-38,2.3530887991779474e-27,5.176613371494455e-10,2.897752629765475e-10,1.8400584510755267e-12,1.3953416926127284e-12,7.299299181376315e-12,3.0035849635007053e-10,3.8998242277067364e-13
1.1140625125394107e-07,0.18138240817838663,3.76,0.0,0.9756803559294992,0.9999999996646479,0.0,8.020020551032594e-38,2.624607764522612e-27,5.764738956337573e-10,3.222276317620765e-10,2.283134327889118e-12,1.6539364218693571e-12,9.047869750394132e-12,3.3535202270276425e-10,5.171389051710301e-13
1.2287381431742632e-07,0.18138240817934198,3.76,0.0,0.9756803558652571,0.9999999996293137,0.0,1.1424495331820989e-37,2.89729434810577e-27,6.355545901048221e-10,3.547380929743959e-10,2.7765897964747572e-12,1.9257496707993476e-12,1.0992440499273272e-11,3.706861666681575e-10,6.672339187554567e-13
1.3434137738091158e-07,0.1813824081802983,3.76,0.0,0.9756803558009438,0.9999999995938267,0.0,1.5743098678816205e-37,3.1697235157995717e-27,6.945871971557265e-10,3.8713346482099074e-10,3.3181325454790278e-12,2.2077910079198666e-12,1.3123443782922506e-11,4.061732591294513e-10,8.405848519927291e-13
1.4580894044439684e-07,0.18138240818125578,3.76,0.0,0.9756803557365581,0.9999999995581867,0.0,2.1101934866960785e-37,3.442018737657534e-27,7.535717557665989e-10,4.1941514619309416e-10,3.907723582796897e-12,2.4986768818326434e-12,1.5440225694344742e-11,4.418132457490381e-10,1.0379756840580162e-12
1.572765035078821e-07,0.1813824081822142,3.76,0.0,0.9756803556720999,0.999999999522394,0.0,2.762795454837524e-37,3.714118462653378e-27,8.125083051821313e-10,4.5158444808329454e-10,4.545323651692028e-12,2.7971580531016618e-12,1.794213396561526e-11,4.776060255113331e-10,1.2601043991991023e-12
1.6874406657136736e-07,0.18138240818317364,3.76,0.0,0.9756803556075683,0.9999999994864485,0.0,3.5449946547524464e-37,3.985888075425245e-27,8.713968842978683e-10,4.836425500620899e-10,5.230893844743018e-12,3.1021728279552824e-12,2.0628529811615747e-11,5.135514416265064e-10,1.507550693058363e-12
1.8021162963485263e-07,0.18138240818413404,3.76,0.0,0.975680355542963,0.9999999994503506,0.0,4.469703857250503e-37,4.25742473233735e-27,9.302375322924514e-10,5.155905677717913e-10,5.964394971346636e-12,3.412758226159733e-12,2.349877474457388e-11,5.496493022361762e-10,1.7808309136281943e-12
1.916791926983379e-07,0.18138240818509546,3.76,0.0,0.9756803554782836,0.9999999994141004,0.0,5.550026314798772e-37,4.5288713586011844e-27,9.890302880116273e-10,5.474295132525063e-10,6.745788173944762e-12,3.728097457793668e-12,2.655224223929042e-11,5.858993732269259e-10,2.0803694362113342e-12
2.0314675576182315e-07,0.18138240818605786,3.76,0.0,0.9756803554135296,0.9999999993776983,0.0,6.798992586981949e-37,4.800088031059322e-27,1.0477751905758742e-09,5.791603493948745e-10,7.57503432016088e-12,4.047450104236798e-12,2.97883055657716e-11,6.22301392988676e-10,2.406541556671997e-12
2.146143188253084e-07,0.18138240818702117,3.76,0.0,0.9756803553487007,0.9999999993411447,0.0,8.229585150987983e-37,5.070930247905472e-27,1.1064722787738965e-09,6.107839565214258e-10,8.452094609532957e-12,4.370190468798028e-12,3.320634897365333e-11,6.588550680894834e-10,2.759650650458957e-12
2.2608188188879367e-07,0.18138240818798548,3.76,0.0,0.9756803552837973,0.9999999993044398,0.0,9.854821965792876e-37,5.341589696364229e-27,1.1651215916588655e-09,6.423011779229096e-10,9.376929977045697e-12,4.695750847731198e-12,3.680575614522585e-11,6.955600838716792e-10,3.1399627584524694e-12
2.3754944495227894e-07,0.18138240818895074,3.76,0.0,0.9756803552188182,0.9999999992675839,0.0,1.1687751348087212e-36,5.612144912307914e-27,1.22372316802325e-09,6.737127886080039e-10,1.0349501618495416e-11,5.023657943447123e-12,4.058592018301067e-11,7.324160998143668e-10,3.547684798857821e-12
2.4901700801576417e-07,0.18138240818991685,3.76,0.0,0.9756803551537641,0.9999999992305773,0.0,1.3741335984344472e-36,5.882463202035617e-27,1.2822770466969774e-09,7.050195313965619e-10,1.1369770692212455e-11,5.353484930859365e-12,4.454623693455093e-11,7.694227610755231e-10,3.982994283534426e-12
2.6048457107924943e-07,0.18138240819088403,3.76,0.0,0.9756803550886345,0.9999999991934203,0.0,1.602837098288022e-36,6.1524925560133154e-27,1.3407832664907378e-09,7.3622211784152e-10,1.2437698375780314e-11,5.684849394496822e-12,4.868610553951124e-11,8.065796996896989e-10,4.446040730283143e-12
2.719521341427347e-07,0.18138240819185203,3.76,0.0,0.9756803550234294,0.9999999991561134,0.0,1.8561671243025906e-36,6.4223097992491025e-27,1.3992418661910559e-09,7.673212234052718e-10,1.3553245870963874e-11,6.017419778782252e-12,5.300492924637089e-11,8.438865329463022e-10,4.936941650982666e-12
