Time (s),Volume (m^3),N2,Ne,C2H6(1),O2(2),H2O(3),C(4),CH(5),CH3(18)
9.999999999999998e-08,0.48795196846220096,3.76,0.0,0.5303998265760389,1.0,0.0,0.0,0.0,1.0371658645565298e-08
1.207959544e-07,0.48795196846220096,3.76,0.0,0.5303998254975962,1.0,0.0,0.0,0.0,1.2528543963633007e-08
1.7515413424e-07,0.4879519687222,3.76,0.0,0.5303998226786741,1.0,0.0,0.0,0.0,1.8166388160608958e-08
2.2951231408e-07,0.48795196898219895,3.76,0.0,0.5303998198597524,1.0,0.0,0.0,0.0,2.380423173081519e-08
2.8387049392e-07,0.48795196924219786,3.76,0.0,0.530399817040831,1.0,0.0,0.0,0.0,2.9442074548964776e-08
3.9258685360000004e-07,0.48795196976219557,3.76,0.0,0.5303998114029892,1.0,0.0,0.0,0.0,4.071775789127414e-08
4.925277156944968e-07,0.4879519702402193,3.76,0.0,0.5303998062202316,1.0,0.0,0.0,0.0,5.1083273273966844e-08
5.924685777889936e-07,0.48795197071824287,3.76,0.0,0.5303998010374763,1.0,0.0,0.0,0.0,6.1448783944289e-08
6.924094398834904e-07,0.48795197119626615,3.76,0.0,0.5303997958547237,1.0,0.0,0.0,0.0,7.181428893897026e-08
7.923503019779872e-07,0.48795197167428916,3.76,0.0,0.5303997906719747,1.0,0.0,0.0,0.0,8.217978730885882e-08
9.922320261669808e-07,0.48795197263033396,3.76,0.0,0.530399780306488,1.0,0.0,0.0,0.0,1.0291076072445521e-07
9.999999999999997e-07,0.48795197358637704,3.76,0.0,0.5303997799036559,1.0,0.0,0.0,0.0,1.0371642476659865e-07
1.1921137503559744e-06,0.48795197358637704,3.76,0.0,0.5303997699410199,1.0,0.0,0.0,0.0,1.2364169672682587e-07
1.391995474544968e-06,0.4879519745424182,3.76,0.0,0.5303997595755744,1.0,0.0,0.0,0.0,1.4437258747560643e-07
