Time (s),Volume (m^3),N2,Ne,C2H6(1),O2(2),H2O(3),C(4),CH(5),CH3(18),C2H5(31),CH4(30),C2H4(29),H(6),H2(9),C2H3(28),C2H2(22),HO2(12),CH3O2(36),C2H5O2(40),OH(8),O(7),CH2O(19),H2O2(13),HCO(16)
3.850980427310154e-14,0.8386864485516057,3.76,0.0,0.8512191286684092,0.9999999999958787,8.959620709057203e-25,7.32680076205732e-36,3.836601239206708e-22,3.620707196280658e-09,1.0674837451738431e-11,1.5438787956052147e-16,1.185380779768091e-17,6.553439709379694e-12,3.5906643601126154e-18,3.048777689398919e-30,8.905853062456393e-37,4.121259586047984e-12,3.7300094999313597e-19,5.215913584480874e-21,1.7326559023551334e-18,8.526220013402025e-18,1.4609068486491711e-18,1.4475228338533673e-20,1.2970329817113423e-28
5.77647074298138e-14,0.8386864486873886,3.76,0.0,0.8512191277578949,0.9999999999938181,2.561891575441081e-24,2.0956446734249002e-35,8.152769983243653e-22,5.4310607894706835e-09,1.6012347783730717e-11,3.28074247131647e-16,2.5189444301836538e-17,9.83016470747706e-12,7.63016467932937e-18,8.717705465128305e-30,3.2779775233738175e-36,6.181889494288821e-12,7.926265309080647e-19,1.108384389704766e-20,3.681893588369568e-18,1.2959161513768706e-17,3.104427084692172e-18,3.0759860697427993e-20,3.7087036183862638e-28
9.62745137432383e-14,0.8386864489589546,3.76,0.0,0.8512191259368659,0.9999999999896968,1.1773500145574913e-23,9.640056597612591e-35,2.2539955737895135e-21,9.051767733771636e-09,2.668758762326946e-11,9.070287883895252e-16,6.964213455318447e-17,1.6383626631639434e-11,2.1095181147924988e-17,4.0064865662302515e-29,2.522195102097827e-35,1.030314932526942e-11,2.1913756716199996e-18,3.0643763515121145e-20,1.0179351020135332e-17,2.223263960424956e-17,8.582827719664564e-18,8.504196798406182e-20,1.704382280431333e-27
1.347843200566628e-13,0.8386864492305204,3.76,0.0,0.8512191241158367,0.9999999999855755,2.921675712157819e-23,2.3938356810587143e-34,4.268196173247245e-21,1.2672474435993505e-08,3.736304663799439e-11,1.7175651191543592e-15,1.318766071534286e-16,2.2937100484124126e-11,3.994622322253045e-17,9.942636547973778e-29,7.967887976158919e-35,1.4424409170749835e-11,4.149620981228709e-18,5.802783960206224e-20,1.927578947419387e-17,3.1913712808119376e-17,1.6252588369873008e-17,1.6103691698371385e-19,4.229543049807182e-27
1.7329412637008728e-13,0.8386864495020862,3.76,0.0,0.851219122294807,0.9999999999814543,5.724356038602688e-23,4.69337205964608e-34,6.857875994045861e-21,1.6293180896136298e-08,4.8038724827537505e-11,2.7596832228174784e-15,2.1189322720781592e-16,2.949058626528579e-11,6.418330067928482e-17,1.9480837303664722e-28,1.8637759765407954e-34,1.854566903073097e-11,6.6673606497546245e-18,9.323616963274184e-20,3.097120791312414e-17,4.20023811490416e-17,2.6113708887667187e-17,2.5874470684056783e-19,8.286824344705504e-27
2.503137389969363e-13,0.8386864500452178,3.76,0.0,0.8512191186527475,0.9999999999732118,1.4543178478825671e-22,1.1941203513668545e-33,1.3387841440311546e-20,2.3534593248277157e-08,6.939059559536153e-11,5.387427620221877e-15,4.1366121126028865e-16,4.2597585824584676e-11,1.25298181182961e-16,4.949524513946805e-28,6.007698631825193e-34,2.6788188784728307e-11,1.3015933377520897e-17,1.8201617702679767e-19,6.046168847505076e-17,6.313631873602014e-17,5.097893690839916e-17,5.051189920657777e-19,2.1053342640881533e-26
3.273333516237853e-13,0.8386864505883496,3.76,0.0,0.851219115010687,0.9999999999649692,2.92076913596936e-22,2.4014316178529913e-33,2.2034025949397082e-20,3.077600471020701e-08,9.074327234410516e-11,8.866780652021401e-15,6.808235265884082e-16,5.5704629252831123e-11,2.0621951592619524e-16,9.940831870147324e-28,1.4347447991046896e-33,3.503070859205739e-11,2.142195137439106e-17,2.9956956645578043e-19,9.950953676566232e-17,8.576912921004313e-17,8.3902575497082e-17,8.313391301130979e-19,4.228235659826641e-26
4.0435296425063435e-13,0.8386864511314813,3.76,0.0,0.8512191113686256,0.9999999999567265,5.170748794447798e-22,4.2572265796896944e-33,3.2947569292612915e-20,3.8017415218339443e-08,1.1209681264137437e-10,1.3258571395177734e-14,1.0180536372632362e-15,6.881171968589218e-11,3.0836211698761326e-16,1.7599520981918793e-27,2.9484537229291824e-33,4.3273228456533626e-11,3.203236291860282e-17,4.479522310066145e-19,1.4879741497441714e-16,1.1000787507880348e-16,1.2546022442140297e-16,1.2431083904706972e-18,7.485410846752252e-26
5.583921895043324e-13,0.8386864522177445,3.76,0.0,0.8512191040845001,0.9999999999402414,1.3135886146642668e-21,1.08518226429691e-32,6.171902783388639e-20,5.250023331330059e-08,1.5480653810792028e-10,2.4836779297378912e-14,1.9071350349594436e-15,9.502604453509308e-11,5.776445576158246e-16,4.471583964241372e-27,1.0262045619119619e-32,5.975826836055786e-11,6.000475185258766e-17,8.391463165377377e-19,2.7873643332771016e-16,1.6340404960744163e-16,2.35019884940262e-16,2.3286679380424897e-18,1.9016129909165736e-25
7.124314147580304e-13,0.8386864533040082,3.76,0.0,0.8512190968003709,0.999999999923756,2.665651280434459e-21,2.2088259110812008e-32,9.969914957700397e-20,6.698304753438611e-08,1.9751977086560358e-10,4.012087868772594e-14,3.0808357278139897e-15,1.212405603315467e-10,9.331187953416755e-16,9.07516436652196e-27,2.5954760106410017e-32,7.624330849677753e-11,9.69301687441787e-17,1.3555642635361735e-18,4.502655360293544e-16,2.233227813722977e-16,3.796468228089247e-16,3.761687728488503e-18,3.858927240078295e-25
