Time (s),Volume (m^3),N2,Ne,C2H6(1),O2(2),H2O(3),C(4),CH(5),CH3(18),C2H5(31),CH4(30),H(6),C2H4(29),HO2(12),H2(9),C2H5O2(40),CH3O2(36),C2H3(28),H2O2(13),C2H2(22),OH(8),CH2O(19),HCO(16),CO(14),O(7),CH2CHO(34),C2H5O(43),C2H(21),HCCO(20),C2H5O(101)
1.6668462140981974e-09,0.0958470603752369,3.76,0.0,0.5530148043683063,0.9999956575508654,3.4198555979931366e-08,7.696738655187828e-16,1.735140007499162e-10,0.0013234342646280515,2.3303930843560306e-05,1.7185953343952154e-05,1.146838235459038e-05,6.030340057451565e-06,3.784074411446582e-06,1.3519478098346794e-06,5.80113245609859e-09,1.4677536084003119e-07,7.737198663000711e-12,4.343884523012865e-09,3.5977387545692955e-13,3.9286782060742514e-07,2.4111543540766043e-07,1.713907472319373e-11,4.9983366744658357e-11,1.3448487329346295e-07,5.598197066603101e-14,8.057563433471509e-11,2.5991017796170308e-20,2.0519483447666257e-21,9.425211250745879e-11
1.6970036676732895e-09,0.09584728593650813,3.76,0.0,0.5530018012663271,0.9999955674462664,3.6146349429430934e-08,8.25876330020269e-16,1.7853864699480653e-10,0.001347040619229464,2.392035479965581e-05,1.781020301298615e-05,1.1791730900661007e-05,6.2949798343746395e-06,3.853777692657418e-06,1.4108822291844314e-06,6.000181899429558e-09,1.5105757546050288e-07,8.343971767458903e-12,4.502738685367255e-09,3.9425208313830834e-13,4.0818639091506307e-07,2.498869913532945e-07,1.808332933646401e-11,5.303441078711531e-11,1.3996033273900753e-07,6.138132419489398e-14,8.277519358308656e-11,2.9787684145827986e-20,2.3771626716098834e-21,9.707223628131938e-11
1.7271611212483815e-09,0.09584751161495739,3.76,0.0,0.5529887857039042,0.9999954768919675,3.816941778840543e-08,8.850930440487906e-16,1.8359872045451742e-10,0.0013706350491358569,2.4542652420963215e-05,1.8445471684960015e-05,1.2120124871122883e-05,6.566562688505434e-06,3.923542284560842e-06,1.4714664396865091e-06,6.202101616735185e-09,1.5537121826398456e-07,8.98795885285572e-12,4.664468300754644e-09,4.314130572057007e-13,4.2384228697821876e-07,2.588140827206394e-07,1.9062363755455323e-11,5.622052848945228e-11,1.4556986372393506e-07,6.720358506875599e-14,8.499617710021399e-11,3.406813299370518e-20,2.7475304677291504e-21,9.992313584634271e-11
1.7573185748234735e-09,0.09584773741174388,3.76,0.0,0.5529757576597009,0.9999953858849432,4.026940528935147e-08,9.474292453556706e-16,1.88693167909029e-10,0.0013942175583754118,2.517078092214534e-05,1.9091753287399608e-05,1.245360053376703e-05,6.8451542619170336e-06,3.993369159611518e-06,1.533726010253874e-06,6.406869112888592e-09,1.5971539112302477e-07,9.670853482591653e-12,4.829075311971911e-09,4.714201760015752e-13,4.398383439844468e-07,2.678966486908555e-07,2.007689960546212e-11,5.954578144577812e-11,1.5131498647432668e-07,7.347466978408081e-14,8.723887039030062e-11,3.8885483347162894e-20,3.168476400526284e-21,1.0280483242816699e-10
1.7874760283985655e-09,0.0958479633280171,3.76,0.0,0.5529627171121623,0.9999952944221163,4.244796970652869e-08,1.0129919508718658e-15,1.9382096732721756e-10,0.001417788150954858,2.5804698221209666e-05,1.9749041750708356e-05,1.2792193452377529e-05,7.130819708357817e-06,4.063259294030713e-06,1.5976866958643138e-06,6.614462074207719e-09,1.6408922125028007e-07,1.0394401712544812e-11,4.996561714144212e-09,5.144441937025786e-13,4.5617742256229125e-07,2.771346290092959e-07,2.1127666577097614e-11,6.30143133900312e-11,1.5719722645426838e-07,8.022166992228924e-14,8.950332316994592e-11,4.4297850552090975e-20,3.6459859297577544e-21,1.0571702275530699e-10
1.8176334819736575e-09,0.09584818936491828,3.76,0.0,0.5529496640395188,0.9999952025003598,4.470678248744714e-08,1.0818899439259976e-15,1.9898112646680235e-10,0.0014413468308608502,2.6444362926276674e-05,2.041733100815292e-05,1.3135938500752849e-05,7.423623702499274e-06,4.133213667689791e-06,1.6633744333216503e-06,6.82485841415021e-09,1.6849186014927462e-07,1.1160403041534072e-11,5.166929554858366e-09,5.60663452079946e-13,4.72862408367017e-07,2.8652796427840537e-07,2.2215402696973518e-11,6.663035155658018e-11,1.6321811370645236e-07,8.747288598899147e-14,9.178895334751199e-11,5.036872321669193e-20,4.186652090137926e-21,1.086591288243189e-10
1.8477909355487496e-09,0.09584841552358075,3.76,0.0,0.5529365984198011,0.9999951101165029,4.7047529314447215e-08,1.1542336617101025e-15,2.0417267706872218e-10,0.0014648936020632002,2.7089734285525952e-05,2.1096614995842706e-05,1.3484869916284235e-05,7.723630474477056e-06,4.203233263683693e-06,1.7308153248537386e-06,7.038036392426705e-09,1.7292247926415697e-07,1.1970712112405301e-11,5.340180934408282e-09,6.102641501747698e-13,4.8989621016947e-07,2.9607659478947676e-07,2.334085502928543e-11,7.039820842241607e-11,1.693791799729318e-07,9.525787002233372e-14,9.4095421569361e-11,5.716731136394545e-20,4.797719385817122e-21,1.1163098273678547e-10
1.8779483891238414e-09,0.09584864180512784,3.76,0.0,0.5529235202308425,0.9999950172673316,4.9471910151410136e-08,1.2301352000849883e-15,2.0939467536193883e-10,0.0014884284685145093,2.774077218364299e-05,2.17868876527349e-05,1.383902130348463e-05,8.030903812355335e-06,4.273319068335239e-06,1.800035637137907e-06,7.25397455587517e-09,1.773802702965158e-07,1.282723966567138e-11,5.51631800577061e-09,6.634405950473134e-13,5.072817594976987e-07,3.0578046044453983e-07,2.4504779798104554e-11,7.432228270983825e-11,1.7568195877774293e-07,1.0360746512689784e-13,9.642284155314756e-11,6.47689970767358e-20,5.4871399317092955e-21,1.1463269404474688e-10
1.908105842698933e-09,0.09584886821067465,3.76,0.0,0.5529104294502706,0.9999949239495859,5.198163900700736e-08,1.3097083841248803e-15,2.14646205430907e-10,0.0015119514341485406,2.8397437162430163e-05,2.2488142920642974e-05,1.4198425611560096e-05,8.345507047974612e-06,4.343472071401429e-06,1.8710618083076808e-06,7.472651634392514e-09,1.8186444766965866e-07,1.373195301282466e-11,5.695342974513235e-09,7.203954213484222e-13,5.250220112490546e-07,3.1563950157193346e-07,2.5707942233062592e-11,7.840706016344684e-11,1.8212798696246967e-07,1.1255384031922389e-13,9.877122898812212e-11,7.325585078192084e-20,6.263637964144776e-21,1.176641096732382e-10
1.938263296274025e-09,0.09584909474132777,3.76,0.0,0.5528973260555102,0.9999948301599579,5.457844394999767e-08,1.3930687797839487e-15,2.1992637933773804e-10,0.0015354625028804962,2.905969041827149e-05,2.3200374744230183e-05,1.456311513690514e-05,8.66750305877097e-06,4.4136932660598875e-06,1.943920447272273e-06,7.694046537470168e-09,1.8637424860045623e-07,1.4686876872863933e-11,5.877258098855579e-09,7.81339820377403e-13,5.431199435617351e-07,3.256536592462897e-07,2.6951116711571604e-11,8.265711472175451e-11,1.887188047272624e-07,1.2213052694988312e-13,1.0114022043007584e-10,8.271713197027342e-20,7.1367732335423e-21,1.207246841833276e-10
1.968420749849117e-09,0.09584932139818678,3.76,0.0,0.5528842100237965,0.9999947358950992,5.726406762422785e-08,1.4803335857512327e-15,2.2523433136338807e-10,0.0015589616786105202,2.972749375495957e-05,2.392357707098294e-05,1.4933121573615582e-05,8.996954300367403e-06,4.483983648491008e-06,2.0186383182441648e-06,7.918138501769691e-09,1.90908928809328e-07,1.569409499885225e-11,6.062065689953595e-09,8.464938091961341e-13,5.615785561298398e-07,3.3582287444895133e-07,2.8235087450225462e-11,8.707711028200444e-11,1.9545595286852478e-07,1.3237246131387995e-13,1.0352956809250286e-10,9.324976596465205e-20,8.117002845183397e-21,1.2381413529583293e-10
1.9985782034242086e-09,0.0958495481823423,3.76,0.0,0.5528710813321811,0.9999946411516245,6.004026747200677e-08,1.5716215921578008e-15,2.3056921612935913e-10,0.0015824489652249004,3.0400809563539897e-05,2.465774385120394e-05,1.5308476034895215e-05,9.333922820524452e-06,4.55434421772151e-06,2.095242334248912e-06,8.14490711099767e-09,1.954677610846262e-07,1.6755751412475837e-11,6.249768111990626e-09,9.160864993057416e-13,5.804008693609295e-07,3.4614708779871605e-07,2.956064884608991e-11,9.167180196247428e-11,2.023409717818353e-07,1.4331602699177722e-13,1.0593933206337239e-10,1.0495887498819466e-19,9.215749411706301e-21,1.26932617271369e-10
2.0287356569993004e-09,0.09584977509487605,3.76,0.0,0.5528579399575223,0.9999945459261035,6.290881537492808e-08,1.6670532779034682e-15,2.3593021393465435e-10,0.001605924366593081,3.107960085495707e-05,2.540286903803514e-05,1.5689209017625428e-05,9.678470236654677e-06,4.624775975959686e-06,2.1737595681578862e-06,8.374332107970136e-09,2.0005003917954995e-07,1.787405079125021e-11,6.4403677819574975e-09,9.903563465651333e-13,5.995899252697999e-07,3.566262404497983e-07,3.092860515903771e-11,9.6446036573477e-11,2.0937540383840688e-07,1.5499909411856183e-13,1.083694084503522e-10,1.1795842996392406e-19,1.0445483847996233e-20,1.3007996220289052e-10
2.0588931105743923e-09,0.09585000213686325,3.76,0.0,0.552844785876488,0.9999944502150642,6.587149771582417e-08,1.7667508097898814e-15,2.4131653031552996e-10,0.0016293878865680925,3.176383125328501e-05,2.6158946587449435e-05,1.6075350409411073e-05,1.0030657740521059e-05,4.695279928543343e-06,2.254217250607739e-06,8.60639340599516e-09,2.0465507746762176e-07,1.9051259421225262e-11,6.6338671697355615e-09,1.0695514032354344e-12,6.191487871614968e-07,3.67260274146214e-07,3.2339770715063885e-11,1.0140475385061264e-10,2.1656079316383816e-07,1.6746105930470674e-13,1.1081949756219806e-10,1.323718768232278e-19,1.1819806611643104e-20,1.3325564340263584e-10
2.089050564149484e-09,0.09585022930937087,3.76,0.0,0.552831619065564,0.9999943540149961,6.893011573515885e-08,1.8708379686182094e-15,2.467273919532506e-10,0.0016528395289891395,3.245346496220723e-05,2.692597045822755e-05,1.6466929524417768e-05,1.0390546121400571e-05,4.7658570836388905e-06,2.3366427590438246e-06,8.841071205065142e-09,2.0928220789903123e-07,2.0289706595931438e-11,6.83026879833467e-09,1.153929586402704e-12,6.39080538440901e-07,3.780491307186739e-07,3.379497044475934e-11,1.065529880586934e-10,2.2389868370989614e-07,1.8074288813274725e-13,1.1328936332746641e-10,1.4833275169778412e-19,1.3353528615236447e-20,1.3645921522336837e-10
2.119208017724576e-09,0.09585045661345941,3.76,0.0,0.5528184395010669,0.9999942573223544,7.208648590905745e-08,1.9794400646281744e-15,2.521620426531344e-10,0.0016762792976841691,3.3148466730192806e-05,2.770393461193996e-05,1.6863975140577862e-05,1.0758195790170402e-05,4.836508451941266e-06,2.421063606353661e-06,9.078346084981143e-09,2.139307769919227e-07,2.1591786106864016e-11,7.029575244090728e-09,1.2437589668257115e-12,6.593882813392588e-07,3.88992751602432e-07,3.5295040422520487e-11,1.1189586946539303e-10,2.3139061729631076e-07,1.948871606156045e-13,1.1577905763182474e-10,1.659853454805336e-19,1.506275908982466e-20,1.3969076389103055e-10
2.1493654712996677e-09,0.09585068405018032,3.76,0.0,0.552805247159137,0.9999941601335582,7.534243978034577e-08,2.0926839832448925e-15,2.576197465028987e-10,0.0016997071964682164,3.384880186610006e-05,2.8492833012964035e-05,1.7266515482476474e-05,1.11336667686067e-05,4.907235046858244e-06,2.507507446261564e-06,9.31819886790606e-09,2.186001481089922e-07,2.2959956987037038e-11,7.2317891365148836e-09,1.339318057425163e-12,6.800751372351694e-07,4.0009107843827255e-07,3.684082775849283e-11,1.17438624952228e-10,2.390381349352116e-07,2.099381162504175e-13,1.1828857946664645e-10,1.854855035216219e-19,1.69650102116082e-20,1.4295043171717451e-10
2.1795229248747595e-09,0.0958509116205784,3.76,0.0,0.5527920420157351,0.9999940624449865,7.869982376119355e-08,2.2106982447999904e-15,2.6309979089917226e-10,0.0017231232291417156,3.455443625640076e-05,2.929265962849374e-05,1.7674578202540965e-05,1.1517018677517012e-05,4.978037884691477e-06,2.5960020792300895e-06,9.560610514494651e-09,2.232897036619436e-07,2.439674414510167e-11,7.436913158201051e-09,1.440896081104486e-12,7.011442470690294e-07,4.11344053574001e-07,3.843319049565011e-11,1.231865788099617e-10,2.4684277818539224e-07,2.2594169611372965e-13,1.2081766288286345e-10,2.070014180356277e-19,1.907930088981503e-20,1.4623793374711878e-10
2.2096803784498513e-09,0.09585113932569135,3.76,0.0,0.5527788240466475,0.9999939642529819,8.216049932641509e-08,2.3336129736523837e-15,2.6860148402263754e-10,0.0017465273994920038,3.5265336345501915e-05,3.0103408428517084e-05,1.8088190402019218e-05,1.1908310750284718e-05,5.04891798444786e-06,2.686575446070641e-06,9.805562221802907e-09,2.2799884324965464e-07,2.5904739499116957e-11,7.64495004504369e-09,1.5487932320490768e-12,7.225987706199369e-07,4.227516196616816e-07,4.00729980047167e-11,1.2914515430758726e-10,2.548060880438346e-07,2.429455843429036e-13,1.2336607722975623e-10,2.3071439923186963e-19,2.1426259720075186e-20,1.4955279898634323e-10
2.239837832024943e-09,0.09585136716654961,3.76,0.0,0.5527655932274944,0.999993865553853,8.572634333489406e-08,2.461559824557192e-15,2.7412415134247837e-10,0.0017699197112955617,3.5981469105609216e-05,3.092507338579834e-05,1.8507378663151623e-05,1.2307601853699949e-05,5.119876367577608e-06,2.779255618124343e-06,1.005303551003386e-08,2.3272698104617595e-07,2.748660340374397e-11,7.855902586427463e-09,1.6633209745458926e-12,7.444418853947304e-07,4.3431371924539536e-07,4.1761131478472815e-11,1.3531987511798265e-10,2.6292960326577345e-07,2.6099925508464804e-13,1.2593379552746878e-10,2.568197063349896e-19,2.402823673757952e-20,1.5289478460721072e-10
2.269995285600035e-09,0.09585159514417729,3.76,0.0,0.5527523495337373,0.9999937663438779,8.939924823218681e-08,2.5946719266225438e-15,2.7966713438470934e-10,0.001793300168319091,3.6702802018875915e-05,3.1757648475880905e-05,1.8932169068036495e-05,1.2714950500392235e-05,5.190914057856927e-06,2.8740707915731548e-06,1.0303012195368558e-08,2.3747354482021484e-07,2.914506603009743e-11,8.06977362523192e-09,1.7848023788039756e-12,7.666767858546767e-07,4.4603029482571264e-07,4.349848423387744e-11,1.4171636622218178e-10,2.712148595938033e-07,2.801540246622329e-13,1.285208120304437e-10,2.8552749820983473e-19,2.6909431413894592e-20,1.5626400552428593e-10
2.3001527391751268e-09,0.09585182325959085,3.76,0.0,0.5527390929406741,0.999993666619301,9.318112192539197e-08,2.7330839148951784e-15,2.852297933125688e-10,0.0018166687743181983,3.742930308879427e-05,3.2601127677102474e-05,1.9362587186040668e-05,1.3130414841041806e-05,5.262032081532692e-06,2.971049291441307e-06,1.055547427035081e-08,2.422379777854778e-07,3.0882928227131244e-11,8.286566057701199e-09,1.9135724378194013e-12,7.893066836065034e-07,4.5790128937785246e-07,4.5285961664945505e-11,1.48340354536581e-10,2.796633908189202e-07,3.00463100817706e-13,1.3112688036759157e-10,3.170638604972793e-19,3.009603055407455e-20,1.5966048642357156e-10
2.3303101927502186e-09,0.09585205151379966,3.76,0.0,0.5527258234234345,0.9999935663763302,9.707388757450478e-08,2.876932002755365e-15,2.9081150929113864e-10,0.0018400255330358513,3.8160940856753035e-05,3.345550497059169e-05,1.9798658055775204e-05,1.35540526528756e-05,5.333231467467234e-06,3.070219577230003e-06,1.0810403868306418e-08,2.4701974035751673e-07,3.2703062076424164e-11,8.506282833461874e-09,2.04997832812826e-12,8.123348078411665e-07,4.699266465384188e-07,4.712448119752933e-11,1.551976700307544e-10,2.8827672997913814e-07,3.2198162390871293e-13,1.337516656946057e-10,3.516718012568853e-19,3.3616342353763483e-20,1.6308370636055224e-10
2.3604676463253104e-09,0.09585227990780741,3.76,0.0,0.5527125409569882,0.9999934656111421,1.0107948386817259e-07,3.026353934790069e-15,2.9641168029001345e-10,0.0018633704482047258,3.88976843735246e-05,3.432077434022987e-05,2.0240406215645227e-05,1.3985921359223348e-05,5.404513246844413e-06,3.1716102335560187e-06,1.1067783446021109e-08,2.5181830708895184e-07,3.4608412100912854e-11,8.728926955880626e-09,2.194379668449362e-12,8.357644043508069e-07,4.821063098407816e-07,4.901497283318113e-11,1.6229424765062477e-10,2.9705640759100795e-07,3.4476670818380425e-13,1.3639521203983099e-10,3.896121996477632e-19,3.750092645155105e-20,1.6653317481746838e-10
2.3906250999004022e-09,0.09585250844261127,3.76,0.0,0.5526992455161562,0.9999933643198852,1.0519986540971194e-07,3.1814888743170635e-15,3.0202971773861314e-10,0.0018867035235497192,3.963950316494521e-05,3.519692977264807e-05,2.068785574042266e-05,1.4426078053360249e-05,5.4758784529074126e-06,3.275249959009259e-06,1.1327595802780922e-08,2.566331641171427e-07,3.6601996985011e-11,8.95450148213503e-09,2.347148887592997e-12,8.595987342275698e-07,4.944402226365202e-07,5.095837964998396e-11,1.6963612828896382e-10,3.0600394985550015e-07,3.688774987162267e-13,1.390576422628224e-10,4.311649297942598e-19,4.178274815863641e-20,1.7000891518144002e-10
2.420782553475494e-09,0.09585273711920195,3.76,0.0,0.552685937075612,0.9999932624986798,1.0943700279125339e-07,3.342477369350476e-15,3.0766504727377995e-10,0.0019100247627879575,4.038636722630801e-05,3.6083965257244434e-05,2.1141030246882293e-05,1.4874579502545805e-05,5.54732812097114e-06,3.3811675645579834e-06,1.1589823971134647e-08,2.614638096250653e-07,3.868691087243421e-11,9.183009523083046e-09,2.50867159795405e-12,8.838410734741333e-07,5.069283285432967e-07,5.295565793753911e-11,1.7722945928383118e-10,3.151208787381649e-07,3.943752289108071e-13,1.4173878884698912e-10,4.766301037768825e-19,4.649734853643065e-20,1.7351125070782224e-10
2.450940007050586e-09,0.09585296593856295,3.76,0.0,0.5526726156098736,0.9999931601436148,1.1379288229870882e-07,3.509461435361733e-15,3.133171128858169e-10,0.0019333341696262723,4.1138247047994365e-05,3.698187478619915e-05,2.1599952865924772e-05,1.5331482130329583e-05,5.618863288678681e-06,3.4893919822485143e-06,1.1854451087058713e-08,2.663097568769684e-07,4.086632394772922e-11,9.414454243118785e-09,2.679346912689736e-12,9.084947136791089e-07,5.195705719417479e-07,5.5007777009597494e-11,1.850804950615811e-10,3.244087138680842e-07,4.2132326974230915e-13,1.44438251881733e-10,5.263293910061034e-19,5.1683025243410463e-20,1.7704000259392913e-10
2.4810974606256777e-09,0.0958531949016715,3.76,0.0,0.552659281093301,0.9999930572507449,1.1826950575302004e-07,3.682584626205364e-15,3.1898537784600917e-10,0.0019566317477602096,4.1895113625821396e-05,3.789065235445449e-05,2.2064646231310754e-05,1.5796842009205306e-05,5.690484996057976e-06,3.599952268730884e-06,1.2121460444879221e-08,2.7117053495559064e-07,4.314348299985702e-11,9.64883886033804e-09,2.859587704077594e-12,9.335629622701091e-07,5.323668976922274e-07,5.711571928751077e-11,1.9319559867012137e-10,3.338689732217615e-07,4.497871707518465e-13,1.4715590330308596e-10,5.806072911930424e-19,5.738100897709213e-20,1.8059430677706857e-10
2.5112549142007695e-09,0.09585342400950066,3.76,0.0,0.5526459335001123,0.9999929538161002,1.2286889107777418e-07,3.861991896113448e-15,3.246693172360491e-10,0.0019799175008786475,4.265693840657345e-05,3.881029195966838e-05,2.25351325381161e-05,1.62707148981337e-05,5.762194285003244e-06,3.712877587304902e-06,1.2390835744424031e-08,2.7604568325764275e-07,4.552171317222716e-11,9.88616664699175e-09,3.0498209117482065e-12,9.590491406660798e-07,5.453172501866252e-07,5.928048115102978e-11,2.0158124378403215e-10,3.435031697511567e-07,4.798347086652033e-13,1.498919616329186e-10,6.398323531080109e-19,6.363563513544731e-20,1.8417393464990607e-10
2.5414123677758613e-09,0.09585365326301602,3.76,0.0,0.5526325728043909,0.9999928498356868,1.27593072582393e-07,4.047829495334025e-15,3.303684165862197e-10,0.0020031914326653828,4.3423693264188956e-05,3.974078760223054e-05,2.3011433567914075e-05,1.67531562592579e-05,5.833992199139134e-06,3.828197200314948e-06,1.2662561006894107e-08,2.809347503680327e-07,4.800441968258015e-11,1.0126440929383653e-08,3.2504879601030316e-12,9.849565833124735e-07,5.584215737863246e-07,6.150307327445955e-11,2.1024401511925826e-10,3.5331281037813283e-07,5.11535951299953e-13,1.5264641086972116e-10,7.043986148423613e-19,7.049454405893052e-20,1.8777934960865883e-10
