Time (s),Volume (m^3),N2,Ne,C2H6(1),O2(2),H2O(3),C(4),CH(5),CH3(18),C2H5(31),CH4(30),H(6),C2H4(29),HO2(12),H2(9),C2H5O2(40),CH3O2(36),C2H3(28),H2O2(13),C2H2(22),OH(8),CH2O(19),HCO(16),CO(14),O(7)
1.0093589744662602e-06,0.08720694866274867,3.76,0.0,0.7999195039883068,0.9975611793543327,0.0016746901047371286,4.5706780737054544e-17,8.921105187377407e-14,0.0008606956210759308,0.0008199170491991421,0.00202103201593724,0.0002513757167064418,0.013690038952318568,0.0013371129211148317,0.010456854481833007,5.111499163195365e-06,2.2889185027147258e-06,1.6523705351325488e-06,0.00021020581493112037,5.035141034366379e-06,2.7659263995549177e-05,3.956220432644366e-05,1.0172207294697847e-06,1.629331535009816e-05,8.980874772641853e-06
1.0236859342273841e-06,0.08721261083252813,3.76,0.0,0.7994778166045667,0.9974918590117032,0.0017294209918780148,4.749276473990387e-17,9.17024821766373e-14,0.0008709556862561814,0.0008289488772675905,0.0020702193501249354,0.000254072002794698,0.014091248837312073,0.0013677628991133534,0.010759735699887437,5.167507642466948e-06,2.3160145303124e-06,1.7243693443775924e-06,0.00021988464618759315,5.352051699949551e-06,2.811920351560068e-05,4.103831617574067e-05,1.0618621120994634e-06,1.7299572168018627e-05,9.079895797029759e-06
1.0380128939885081e-06,0.08721833193754262,3.76,0.0,0.7990314929410582,0.9974218625136175,0.001785047557092242,4.932262697440623e-17,9.423702365885212e-14,0.000881228203730202,0.0008378746784609161,0.0021199884355657837,0.0002567346676083303,0.014496845543039814,0.001398352336223926,0.011065682020793017,5.222826824030694e-06,2.343135606305888e-06,1.7980888056976817e-06,0.000229809673015238,5.682912879926823e-06,2.858017429384736e-05,4.255671469562894e-05,1.107584582016564e-06,1.8349240714405016e-05,9.177758048701864e-06
1.0523398537496321e-06,0.08722411129715317,3.76,0.0,0.7985805821699841,0.9973511994644726,0.0018415713995777305,5.1196728158740606e-17,9.681461556126421e-14,0.0008915112578544772,0.0008466973949040198,0.0021703394208200818,0.0002593647245046354,0.014906776576254105,0.0014288705242353798,0.01137464886972554,5.277475377621742e-06,2.3702764019429233e-06,1.8735351747749522e-06,0.0002399802512302549,6.028070413705256e-06,2.9042221232354465e-05,4.411813928253872e-05,1.1543929445155518e-06,1.944336550838252e-05,9.274498019581772e-06
1.066666813510756e-06,0.08722994824963164,3.76,0.0,0.7981251322276682,0.9972798791300566,0.0018989941929805987,5.311543091671404e-17,9.943520567441916e-14,0.0009018030482927407,0.0008554198905255171,0.0022212723329031302,0.000261963159062567,0.015320990757758671,0.0014593072001018018,0.011686592879269583,5.331471483723662e-06,2.397431899955267e-06,1.9507146670506417e-06,0.0002503955934143627,6.387871909697982e-06,2.9505385986316124e-05,4.572332783342243e-05,1.2022920292385928e-06,2.0582996041816707e-05,9.370151216266112e-06
1.08099377327188e-06,0.08723584215161652,3.76,0.0,0.7976651898499827,0.9972079104453018,0.0019573176789914205,5.507910002937889e-17,1.0209875030011308e-13,0.0009121018891095473,0.0008640449493334489,0.0022727870839048684,0.00026453092865147507,0.015739438185847606,0.001489652536836333,0.01200147185531083,5.384832821592697e-06,2.424597392809683e-06,2.029633460275194e-06,0.0002610547734551113,6.762666725783616e-06,2.9969706978418286e-05,4.7373016790454886e-05,1.251286692166466e-06,2.1769186790814632e-05,9.464752142315918e-06
1.095320733033004e-06,0.08724179237756013,3.76,0.0,0.7972008006082557,0.9971353020222138,0.0020165436609860593,5.708810230160534e-17,1.0480521418741528e-13,0.0009224062071950034,0.0008725752742644773,0.0023248834775489425,0.00026706896218220254,0.016162070199056577,0.0015198971341997146,0.012319244742524403,5.43757656103794e-06,2.4517684790520337e-06,2.110297695932043e-06,0.0002719567310810178,7.152805949998777e-06,3.0435219427084032e-05,4.906794118495508e-05,1.3013818168146323e-06,2.3002997228690444e-05,9.558334287354863e-06
1.1239746525552522e-06,0.08725385938484594,3.76,0.0,0.7962588582124858,0.9969881988430475,0.0021377105974685322,6.124358726665313e-17,1.1034680059727462e-13,0.0009430255322789993,0.000889362126501037,0.002430819904145671,0.0002720593943562846,0.017019699309470313,0.0015800485863603161,0.012963313514882073,5.541277356955505e-06,2.506111319681476e-06,2.2768868805352655e-06,0.00029448409428016855,7.980530510143483e-06,3.13699438305951e-05,5.259642960282824e-05,1.404893124547454e-06,2.5617740133602273e-05,9.74257111151637e-06
1.1526285720775004e-06,0.08726614460215132,3.76,0.0,0.7952996476935833,0.996838632337662,0.0022625104269827587,6.55848747008156e-17,1.160598472768069e-13,0.0009636506020636656,0.0009058004351842809,0.0025390781169032373,0.000276941317588809,0.017893512168377045,0.0016396945274259641,0.013618492213126266,5.642700922996463e-06,2.5604310976188047e-06,2.450530625173292e-06,0.0003179666888328528,8.873888162414143e-06,3.230977863798647e-05,5.63146466529015e-05,1.512865576334663e-06,2.8435801005106385e-05,9.923109262784055e-06
1.1812824915997486e-06,0.08727864360960884,3.76,0.0,0.7943234953805716,0.9966866606047736,0.002390959169561209,7.011499965909945e-17,1.2194436072209723e-13,0.0009842726204344102,0.0009219088889101031,0.002649653284642774,0.00028172114508225423,0.018783160283388292,0.0016987741420352808,0.014284489865516168,5.741966102982548e-06,2.614702925001288e-06,2.6312766994219185e-06,0.00034239166060113846,9.83574791008123e-06,3.325489549049221e-05,6.022842573134112e-05,1.6253392107293081e-06,3.146583689422403e-05,1.0100180236605556e-05
