Time (s),Volume (m^3),N2,Ne,C2H6(1),O2(2),H2O(3),C(4),CH(5),CH3(18),C2H5(31),CH4(30),H(6),C2H4(29),HO2(12),H2(9),C2H5O2(40)
1e-11,0.08543667695690925,3.76,0.0,0.8213535366708008,0.9999999999999465,0.0,5.0767223818827165e-52,1.8585235349989534e-33,4.824538039004828e-14,5.3581311722111554e-14,4.584138185703431e-20,2.3096690945825675e-17,3.834351130204344e-19,5.356040848884236e-14,2.2537408108716316e-21,1.4769363140638916e-18
1.6383e-11,0.08543667695690925,3.76,0.0,0.8213535366707512,0.9999999999999123,0.0,1.8825818816687923e-51,4.460501233193822e-33,7.904200560112571e-14,8.778268630902999e-14,1.1030388797791084e-19,3.788629340962483e-17,9.226223958794068e-19,8.775007785048236e-14,5.427138202579029e-21,3.553748234607404e-18
3.2767e-11,0.08543667695690986,3.76,0.0,0.8213535366706238,0.9999999999998245,0.0,2.9919914837643504e-50,1.7650015066962796e-32,1.5809117545993585e-13,1.75564853328734e-13,4.412459417046739e-19,7.606557416745305e-17,3.690707209763796e-18,1.755098991828593e-13,2.1781198128456634e-20,1.4214822211176022e-17
6.5535e-11,0.08543667695691104,3.76,0.0,0.8213535366703691,0.999999999999649,0.0,4.723508910151897e-49,6.910257470105491e-32,3.1618885326617504e-13,3.511030313671655e-13,1.7650413802201925e-18,1.5329141399391647e-16,1.4763018246165248e-17,3.5103417750359006e-13,8.769635089032193e-20,5.685194800812489e-17
9.999999999999999e-11,0.08543667695691345,3.76,0.0,0.8213535366701014,0.9999999999994642,0.0,4.096646703208338e-48,1.7217848182414412e-31,4.824727534255534e-13,5.356770455682625e-13,4.549763542292769e-18,2.363369776225205e-16,3.805353891450792e-17,5.356583181341314e-13,2.2844415584241866e-19,1.4650911751637402e-16
1.31071e-10,0.08543667695691345,3.76,0.0,0.8213535366698599,0.9999999999992977,0.0,7.364033767785541e-48,2.6510381216569374e-31,6.32381561255295e-13,7.020748170826188e-13,7.060255412240747e-18,3.112044869074286e-16,5.905048560494967e-17,7.021012797918002e-13,3.5533157924780383e-19,2.273371434496632e-16
1.96607e-10,0.08543667695691591,3.76,0.0,0.8213535366693506,0.9999999999989463,0.0,2.7704575238761495e-47,5.475196917650131e-31,9.485716216432203e-13,1.0529420860453936e-12,1.500307043033737e-17,4.725712483629017e-16,1.2547907848273803e-16,1.0531869307415434e-12,7.617418955901888e-19,4.829843417685977e-16
2.62143e-10,0.08543667695691831,3.76,0.0,0.8213535366688414,0.9999999999985948,0.0,7.376568732273675e-47,9.101482042758422e-31,1.2647590344521147e-12,1.4037048918304866e-12,2.5593464265782432e-17,6.373840088763339e-16,2.1404707769319014e-16,1.404291133359563e-12,1.3098908521280043e-18,8.237446285365269e-16
3.93215e-10,0.08543667695692317,3.76,0.0,0.8213535366678227,0.9999999999978917,0.0,2.923639487531166e-46,1.806138318937655e-30,1.897127646432762e-12,2.1049855007781307e-12,5.2987888557277667e-17,9.75073285175343e-16,4.431375765901281e-16,2.1065430875208372e-12,2.748007885747591e-18,1.7048687790304967e-15
5.24287e-10,0.08543667695692796,3.76,0.0,0.8213535366668041,0.9999999999971881,0.0,7.809162962906431e-46,2.9517812873749116e-30,2.52948652250514e-12,2.8058824059281e-12,9.01182202835662e-17,1.3253710719600658e-15,7.536282957075846e-16,2.808863287644037e-12,4.731871392894952e-18,2.89857815955111e-15
