Time (s),Volume (m^3),N2,Ne,C2H6(1),O2(2),H2O(3),C(4),CH(5),CH3(18),C2H5(31),CH4(30),C2H4(29),H(6),H2(9),C2H3(28),C2H2(22),HO2(12),CH3O2(36),C2H5O2(40),OH(8),O(7)
7.76776987694446e-14,0.766584004882589,3.76,0.0,0.9762994657686458,0.9999999999984551,6.097793206749644e-26,2.2250040007045388e-38,7.287331337932659e-24,8.440809283148756e-10,2.638588779293975e-12,4.3605462661380935e-17,2.6478978592317745e-18,1.0935825301344645e-12,9.550465847699592e-19,1.0692333977397744e-31,2.6963249283912747e-38,1.5449659734525645e-12,2.7790901214218453e-19,4.271130888215385e-21,6.023241736876521e-20,4.621677225541656e-19
1.5535541400094298e-13,0.7665840049391355,3.76,0.0,0.9762994653439665,0.9999999999969101,4.878243611341972e-25,1.7837445553546271e-37,2.914913603615624e-23,1.6881619472575336e-09,5.277261932631244e-12,1.7442187047978302e-16,1.0591737343111586e-17,2.1871685184292753e-12,3.820191774871693e-18,8.554328837934787e-31,4.314345301464593e-37,3.089932311634483e-12,1.1116338538890816e-18,1.7084673646796312e-20,2.409301387007041e-19,1.0447972072495296e-18
2.3303312923244137e-13,0.7665840049956824,3.76,0.0,0.9762994649192871,0.9999999999953652,1.394874325999221e-24,5.107529033169517e-37,6.194163211183752e-23,2.532242900007951e-09,7.915997946991367e-12,3.706464804932966e-16,2.250765473328603e-17,3.2807569266410557e-12,8.117914992908698e-18,2.446088412357585e-30,1.5880097955302042e-36,4.63489867779834e-12,2.3622185669889054e-18,3.630514965688272e-20,5.119772016189642e-19,1.7177728943316008e-18
3.883885596954381e-13,0.7665840051087751,3.76,0.0,0.9762994640699283,0.9999999999922752,6.4103433454463844e-24,2.3575840717310397e-36,1.712483715820489e-22,4.220404540739869e-09,1.319372141903274e-11,1.0247284678816776e-15,6.22285583041547e-17,5.467943423458833e-12,2.2443698894057755e-17,1.1242535024231125e-29,1.2219545374217847e-35,7.724831522058173e-12,6.53081502906329e-18,1.0037460839059953e-19,1.4154709563755923e-18,3.4251087339056532e-18
5.271772698671019e-13,0.7665840052098084,3.76,0.0,0.9762994633111427,0.9999999999895147,1.43350357201705e-23,5.287467462958264e-36,3.0368168024819027e-22,5.728544573283348e-09,1.7908841503839423e-11,1.817206559302043e-15,1.1035503716272417e-16,7.421901443619374e-12,3.9800689135613804e-17,2.514265924606706e-29,3.334248813478464e-35,1.0485261630800252e-11,1.1581420198008201e-17,1.7800153820952064e-19,2.5101367781909097e-18,5.2378830114917955e-18
6.659659800387657e-13,0.7665840053108415,3.76,0.0,0.9762994625523569,0.9999999999867543,2.7025289145129994e-23,9.995093396884523e-36,4.730897510171813e-22,7.2366843819062794e-09,2.2624174238297106e-11,2.830952901264272e-15,1.7192045155354858e-16,9.375867651859846e-12,6.200398667299304e-17,4.7403532892176016e-29,7.490064216067262e-35,1.3245691834212679e-11,1.804218336534267e-17,2.77304276977439e-19,3.910449480702574e-18,7.356287156159346e-18
8.047546902104295e-13,0.7665840054118745,3.76,0.0,0.9762994617935709,0.9999999999839938,4.508703588493122e-23,1.6722191840597053e-35,6.7727247417850565e-22,8.744823979928357e-09,2.733970697264294e-11,4.052805569187389e-15,2.4612592722239577e-16,1.1329841561626037e-11,8.876533191871587e-17,7.908986753237493e-29,1.4364118906991904e-34,1.6006122126667116e-11,2.5829214204952744e-17,3.9699400064601986e-19,5.598229570984745e-18,9.76214087652371e-18
1e-12,0.7665840056139408,3.76,0.0,0.976299460726125,0.9999999999801105,7.884245243966416e-23,2.936268389165578e-35,1.0091898891031522e-21,1.0866445724984712e-08,3.3973685422279846e-11,6.039057942625785e-15,3.667574821665029e-16,1.4078664677497186e-11,1.3226885490831174e-16,1.383153695889319e-28,2.9057929382218678e-34,1.988944291561555e-11,3.8487825025046994e-17,5.915651340684949e-19,8.341904832752423e-18,1.3515962595524558e-17
1.0823321105537572e-12,0.7665840056139408,3.76,0.0,0.9762994602759983,0.9999999999784729,9.600135437975927e-23,3.580624100104668e-35,1.1648101289114422e-21,1.176110269648072e-08,3.677122779560577e-11,6.970323211283751e-15,4.233170357404073e-16,1.5237806917294102e-11,1.5266574648649665e-16,1.684233955868722e-28,3.701441056864825e-34,2.152698291431382e-11,4.4422871135718636e-17,6.827916814476762e-19,9.628294371955463e-18,1.5228307169923427e-17
1.3599095308970848e-12,0.7665840058160069,3.76,0.0,0.976299458758425,0.999999999972952,1.743097556926789e-22,6.537006675005094e-35,1.780972572074137e-21,1.477738063402484e-08,4.620348840978583e-11,1.0657621909520372e-14,6.472679372608659e-16,1.9145800765027604e-11,2.3342644094212443e-16,3.0584490125996563e-28,7.825154133808164e-34,2.7047844031350826e-11,6.792229354651975e-17,1.0440049736686206e-18,1.4721708815227823e-17,2.1757741901018486e-17
1.6374869512404124e-12,0.7665840060180733,3.76,0.0,0.976299457240851,0.999999999967431,2.8804346472979005e-22,1.0863286241973433e-34,2.534421821321255e-21,1.779365774007017e-08,5.563653865972627e-11,1.5166570487835647e-14,9.211330352206918e-16,2.3053825028174452e-11,3.321836092222331e-16,5.054682346930666e-28,1.4787023009127595e-33,3.256870549999402e-11,9.665797928705638e-17,1.4857192330748583e-18,2.0950133957382794e-17,2.9422088064115277e-17
2.192641791927068e-12,0.7665840064222057,3.76,0.0,0.9762994542057001,0.9999999999563892,6.633358452113997e-22,2.5347424913553116e-34,4.46085760101514e-21,2.3826209410979322e-08,7.450505237916294e-11,2.6695549581621083e-14,1.6214317665451317e-15,3.0869966530898714e-11,5.846986077453143e-16,1.1644012265628571e-27,4.471418391965694e-33,4.3610429511975453e-11,1.7013175925302945e-16,2.6151944769382536e-18,3.687581426747123e-17,4.8219226518372564e-17
2.747796632613723e-12,0.7665840068263383,3.76,0.0,0.9762994511705458,0.9999999999453474,1.2730711541434244e-21,4.923151949085083e-34,6.944989775982849e-21,2.985875770368144e-08,9.337677417350955e-11,4.1562721940408107e-14,2.524575232983799e-15,3.868623165660286e-11,9.103314090763625e-16,2.2353480950010883e-27,1.0504847204408836e-32,5.465215495276939e-11,2.6487853130174483e-16,4.071783437409961e-18,5.741297199953779e-17,7.162725485073069e-17
3.8581063139870336e-12,0.7665840076346037,3.76,0.0,0.9762994451002271,0.9999999999232636,3.4978664100345706e-21,1.3881749157115953e-33,1.358732063669874e-20,4.1923844147104035e-08,1.3112984880582452e-10,8.131892080063284e-14,4.940017224058409e-15,5.431913321771015e-11,1.7811159424489942e-15,6.145681429366699e-27,4.12039004282917e-32,7.673561012493895e-11,5.182345401318966e-16,7.96719835872977e-18,1.1233231530255327e-16,1.3228596182798146e-16
6.0787256767336545e-12,0.766584009251134,3.76,0.0,0.9762994329595488,0.9999999998790957,1.390596861978971e-20,5.8147459484922565e-33,3.3566979844937197e-20,6.605397646445456e-08,2.0667452263573324e-10,2.0092029094937855e-13,1.2208764872217582e-14,8.558642273727274e-11,4.400834607096548e-15,2.446518275326247e-26,2.738524623989494e-31,1.2090253763889174e-10,1.2803879064248895e-15,1.9688304289059764e-17,2.7755677603581944e-16,3.089756973972807e-16
1e-11,0.7665840124841963,3.76,0.0,0.9762994115208339,0.9999999998011009,6.44355002866883e-20,2.9552754258949885e-32,9.063800407043601e-20,1.0866396920523405e-07,3.4020030321605404e-10,5.426545601899417e-13,3.29899217582693e-14,1.4080452333128677e-10,1.1886524428857267e-14,1.1365365135906785e-25,2.291039381189975e-30,1.988946356764235e-10,3.4578736200965886e-15,5.319136776840062e-17,7.496865858133845e-16,8.012816875061353e-16
