Time (s),Volume (m^3),N2,Ne,C2H6(1),O2(2),H2O(3),C(4),CH(5),CH3(18),C2H5(31),CH4(30),C2H4(29),H(6),H2(9),C2H3(28),C2H2(22),HO2(12),CH3O2(36)
9.999999999999999e-11,0.4810242852893328,3.76,0.0,0.9787204114042992,0.9999999999998946,0.0,1.5271394643950454e-49,3.6382321162943206e-32,4.139429177522762e-13,1.055352533774099e-13,8.024504189788026e-19,1.7253677635115436e-18,1.0134330888745525e-16,2.0451198715755168e-20,1.69620946025717e-33,9.026359983137953e-39,1.0543651745123302e-13,1.4878694621364721e-18
1.31071e-10,0.4810242852893328,3.76,0.0,0.9787204114042021,0.9999999999998619,0.0,2.668271216273399e-49,5.636133159342098e-32,5.425592520616541e-13,1.3832606840454166e-13,1.2452310810141364e-18,2.677400259736725e-18,1.329753708192422e-16,3.175330020335848e-20,2.8987353602522185e-33,1.6248354689945357e-38,1.3819713909656044e-13,2.3088402228664994e-18
2.62143e-10,0.48102428528935554,3.76,0.0,0.9787204114037925,0.9999999999997237,0.0,3.043142664864027e-48,2.213663499148727e-31,1.0851177324883484e-12,2.766509521078259e-13,4.9809399842843985e-18,1.0709601925830843e-17,2.6779918947716693e-16,1.2777114336236139e-19,2.3191054120208226e-32,2.5998665724858546e-37,2.763993356399294e-13,9.234766934089954e-18
5.24287e-10,0.4810242852894011,3.76,0.0,0.9787204114029732,0.9999999999994472,0.0,3.842899776562924e-47,8.544257470800876e-31,2.1702133748636253e-12,5.53292324262912e-13,1.9923623500365573e-17,4.28378523079944e-17,5.429817209279599e-16,5.17137024716566e-19,1.8554433729142355e-31,4.160133809189175e-36,5.528140603490503e-13,3.693383179972026e-17
9.999999999999999e-10,0.4810242852894921,3.76,0.0,0.9787204114014865,0.9999999999989454,0.0,4.751687671519223e-46,2.9757385930733465e-30,4.139260262766571e-12,1.0552832826578725e-12,7.415529021871922e-17,1.5943964920970618e-16,1.0624072005190245e-15,1.9686676591966214e-18,1.364241421583203e-30,6.07902263675262e-35,1.0544616621302356e-12,1.37430756714398e-16
1.0485750000000002e-09,0.4810242852894921,3.76,0.0,0.9787204114013347,0.9999999999988942,0.0,5.197642150331854e-46,3.1923456050619265e-30,4.340319415196473e-12,1.106541521982918e-12,7.969287950226633e-17,1.7134584535002752e-16,1.1154456768085859e-15,2.1168832862025456e-18,1.4845980459963967e-30,6.657271863917158e-35,1.1056848413507347e-12,1.4769248621880616e-16
1.5728630000000002e-09,0.48102428528958296,3.76,0.0,0.9787204113996962,0.9999999999983411,0.0,1.8753310030069457e-45,6.477925292093068e-30,6.510340240591765e-12,1.6597572074666906e-12,1.6934485101386706e-16,3.6410143873885525e-16,1.709967915729744e-15,4.5692795232706965e-18,4.245505455288242e-30,2.4505400535964113e-34,1.6585969590183783e-12,3.1378335836171776e-16
2.0971510000000003e-09,0.48102428528967406,3.76,0.0,0.9787204113980575,0.9999999999977879,0.0,4.8550852679523263e-45,1.0601396692841428e-29,8.68027588051513e-12,2.2129394150064503e-12,2.888783649808967e-16,6.211007445260855e-16,2.3265079012418426e-15,7.905903076292332e-18,8.95618154044713e-30,6.2157237836098205e-34,2.2115504184231274e-12,5.351781553783485e-16
3.1457270000000003e-09,0.4810242852898559,3.76,0.0,0.9787204113947803,0.9999999999966812,0.0,1.8559351596251038e-44,2.052291220343743e-29,1.3019947326621172e-11,3.3192253655356163e-12,5.980719063103383e-16,1.2858633708128006e-15,3.6111367170959036e-15,1.6752104453278992e-17,2.4469714405851393e-29,2.1741745617445318e-33,3.317554379444929e-12,1.107674964829853e-15
4.194303e-09,0.48102428529003793,3.76,0.0,0.9787204113915029,0.9999999999955744,0.0,4.861953152128589e-44,3.278669367107348e-29,1.735930575992793e-11,4.425388489701134e-12,1.0171407979288763e-15,2.186840800580494e-15,4.976396962132136e-15,2.911140061015505e-17,5.121332320638313e-29,5.4337968626136057e-33,4.4237104107410135e-12,1.8833092036303205e-15
5.2428790000000005e-09,0.4810242852902199,3.76,0.0,0.9787204113882254,0.9999999999944672,0.0,1.0607659965852281e-43,4.7072745218986426e-29,2.1698329019006172e-11,5.531420242028489e-12,1.5539254473468596e-15,3.3408796210237435e-15,6.427778712421276e-15,4.544449718930089e-17,9.325911019566902e-29,1.1530888497489814e-32,5.53002940811639e-12,2.8764018902102224e-15
7.340031000000001e-09,0.4810242852905838,3.76,0.0,0.9787204113816701,0.9999999999922513,0.0,3.807428102210202e-43,7.957086317244928e-29,3.0375350291205975e-11,7.743082914248071e-12,2.9879832225088123e-15,6.423862341744079e-15,9.5925019232733e-15,9.169487685913713e-17,2.4640655797296384e-28,4.227364799011864e-32,7.743166764032059e-12,5.527344660965765e-15
9.999999999999999e-09,0.4810242852913114,3.76,0.0,0.9787204113733549,0.9999999999894386,0.0,1.3178926120076074e-42,1.2519104218377648e-28,4.137909076446038e-11,1.0547534069552165e-11,5.493978839936492e-15,1.1811005652252488e-14,1.4101033753618512e-14,1.800731860030521e-16,6.331834667896007e-28,1.60249660497399e-31,1.0551200921891112e-11,1.0153512015251228e-14
1.1534335e-08,0.4810242852913114,3.76,0.0,0.978720411368558,0.9999999999878151,0.0,2.1579005890739073e-42,1.5374386760610718e-28,4.7725324498045603e-11,1.2164823389301988e-11,7.288931795284703e-15,1.5669499200809027e-14,1.695315026197105e-14,2.461647219406893e-16,9.542022132998161e-28,2.6847015607691063e-31,1.2171427976202471e-11,1.3464734339973109e-14
