Time (s),Volume (m^3),N2,Ne,C2H6(1),O2(2),H2O(3),C(4),CH(5),CH3(18),C2H5(31),CH4(30),C2H4(29),H(6),H2(9),C2H3(28),C2H2(22),HO2(12),CH3O2(36),C2H5O2(40),OH(8),O(7),CH2O(19),H2O2(13),HCO(16),CO(14),C2H5O(43),CH2CHO(34),C2H(21),CH3O(26),HCCO(20),C3H6(255),C3H6(60),C3H6(51),C3H5(214)
4.3726824794128386e-14,0.7327072086010672,3.76,0.0,0.8163006175937657,0.9999999999994391,3.7143415982057945e-26,8.581759654775493e-40,7.532685823317178e-25,2.7105997674529493e-10,8.94304551765579e-13,6.124497171821334e-18,4.415093354406121e-19,3.333566116173496e-13,1.3335713371647352e-19,7.096919263670262e-33,8.75598417665366e-40,5.609424210828808e-13,5.564116373846785e-20,9.075892651885413e-22,7.747906570625944e-20,1.3969114879979715e-19,6.751436679273063e-20,9.301865590237814e-22,8.2213396563198e-31,1.3774661468782863e-30,4.3470227598486545e-23,3.4835392452735876e-40,5.298647444240923e-57,1.0673084571290767e-20,7.576483558454567e-63,1.6348871927291544e-47,3.0421537195001816e-38,1.0216155231824215e-43,8.000504675515742e-49
8.745368665597685e-14,0.7327072086189191,3.76,0.0,0.8163006174573413,0.9999999999988781,2.971474901645894e-25,6.872339297671645e-39,3.0130646638526935e-24,5.421201706941096e-10,1.7886214940723518e-12,2.449800377169952e-17,1.7660483135971458e-18,6.667140945463492e-13,5.334292776639807e-19,5.677666716445652e-32,1.4009889321820993e-38,1.1218853232698087e-12,2.225645540299776e-19,3.630370418571825e-21,3.0991639499709805e-19,3.2074464248796735e-19,2.7005771750795054e-19,3.720748592146288e-21,6.577075683026195e-30,1.101976628860173e-29,1.7387816004415273e-22,5.573797398518004e-39,1.6985929653345198e-55,4.269228391885714e-20,4.871777215896673e-61,5.231428530879396e-46,4.867477635936132e-37,1.6344880445504073e-42,2.5602861260334324e-47
1.749074103796738e-13,0.7327072086546232,3.76,0.0,0.8163006171844924,0.9999999999977562,2.377179873357422e-24,5.508955700842007e-38,1.2052169838591598e-23,1.0842405208605338e-09,3.577290275929842e-12,9.799204230964132e-17,7.064274292109399e-18,1.333430826626212e-12,2.133721018244954e-18,4.542338410932777e-31,2.2416803050990998e-37,2.2437711444046717e-12,8.902565597163347e-19,1.452157468733282e-20,1.239665455132582e-18,8.069381963726396e-19,1.0802318425356034e-18,1.4882999023467638e-20,5.261661024990386e-29,8.815862604004621e-29,6.954899754666319e-22,8.918495821500517e-38,5.454857091392828e-54,1.7076853788968185e-19,3.123885603384388e-59,1.6739194833004912e-44,7.788052347269213e-36,2.614866743501285e-41,8.19369856779722e-46
3.498148578270677e-13,0.7327072087260312,3.76,0.0,0.8163006166387945,0.9999999999955125,1.9017427640210778e-23,4.424896456848739e-37,4.820794584764153e-23,2.1684810702685905e-09,7.154767428211691e-12,3.919682001163142e-16,2.8257731994993796e-17,2.6668713560694966e-12,8.534911265113529e-18,3.634196775498405e-30,3.587000001283993e-36,4.4875428537213375e-12,3.56101128969267e-18,5.808701514326951e-20,4.9586584572942544e-18,2.275670411768346e-18,4.3209330897229254e-18,5.953200494590314e-20,4.209327244158056e-28,7.052765476931364e-28,2.781777279998092e-21,1.4270928776128235e-36,1.75794496238416e-52,6.830690436104797e-19,2.0066666619446903e-57,5.355656957967471e-43,1.2461155160235113e-34,4.182778414343739e-40,2.622482232175055e-44
5.247223052744616e-13,0.7327072087974393,3.76,0.0,0.8163006160930965,0.9999999999932687,5.437793590804927e-23,1.2686262781805583e-36,1.0244080114059733e-22,3.2527214687518825e-09,1.0732384168651526e-11,8.329324179781214e-16,6.004860910004442e-17,4.000318951192522e-12,1.813672523238565e-17,1.0392133217660144e-29,1.3203154563561507e-35,6.73131463008784e-12,7.567126556472571e-18,1.2343595157626089e-19,1.0537143620129395e-17,4.2407465764358744e-18,9.181990636644343e-18,1.2650551555367045e-19,1.2036043373259005e-27,2.016666159441758e-27,5.911008148130842e-21,5.2529092148763646e-36,8.051213479478863e-52,1.4515141269101284e-18,9.97278663175669e-57,2.5122065784082724e-42,4.750862155962461e-34,1.5945063145317707e-39,1.2288670953224374e-43
6.996297527218555e-13,0.7327072088688472,3.76,0.0,0.8163006155473983,0.999999999991025,1.1469877302724345e-22,2.6837710498413336e-36,1.7475024935481204e-22,4.336961716310439e-09,1.431014049684046e-11,1.4208846752194117e-15,1.0243731926235612e-16,5.333773612391464e-12,3.0939179875709125e-17,2.1921368873537879e-29,3.348765895823884e-35,8.975086473507085e-12,1.2908592178332234e-17,2.105688480342359e-19,1.7975118222491802e-17,6.7021655320972576e-18,1.5663407785841636e-17,2.1580353047234777e-19,2.538750232261618e-27,4.253770398146314e-27,1.0083062488181712e-20,1.3323238679788184e-35,2.410718270293942e-51,2.476100367633686e-18,4.2229255312859165e-56,7.872316422391597e-42,1.278267971529756e-33,4.2897419573561344e-39,3.900018997955976e-43
1e-12,0.7327072090116633,3.76,0.0,0.8163006146102652,0.9999999999871716,2.7890355286101674e-22,6.563759583809996e-36,3.3192229792686335e-22,6.198937680379002e-09,2.0454510753825955e-11,2.6988804478221228e-15,1.9457726096553136e-16,7.623741068078064e-12,5.876718287859268e-17,5.331063336715512e-29,1.0181447193388363e-34,1.2828337633980752e-11,2.4518955507191644e-17,3.999667596580265e-19,3.414257453789706e-17,1.1835164097277707e-17,2.975168557147586e-17,4.0990516512742127e-19,6.173276614326532e-27,1.0343731479528392e-26,1.915096519191289e-20,4.050812159109729e-35,9.118825196378908e-51,4.7031627201430236e-18,3.1128763538840873e-55,3.3333535372992864e-41,4.4352373965620505e-33,1.4881990367501521e-38,1.716524495835476e-42
1.0494446476166431e-12,0.7327072090116633,3.76,0.0,0.8163006144560014,0.9999999999865373,3.1327772366393103e-22,7.378102434673765e-36,3.6179229396868945e-22,6.5054418572165135e-09,2.1465980755850974e-11,2.9417610545458564e-15,2.1208848809717573e-16,8.00069951966611e-12,6.405584946832102e-17,5.988191800750034e-29,1.171197471267605e-34,1.3462630317723234e-11,2.6725477365238136e-17,4.359617008670858e-19,3.7215166864580964e-17,1.2789885992744055e-17,3.242913710920743e-17,4.467938040446765e-19,6.934118659958703e-27,1.1618597522927292e-26,2.087424155316007e-20,4.659759934623223e-35,1.0701734604078124e-50,5.12640986421083e-18,3.814651387490165e-55,3.9494346056440157e-41,5.170291515360419e-33,1.7348156273335948e-38,2.04002804210659e-42
1.399259542511431e-12,0.7327072091544794,3.76,0.0,0.8163006133646041,0.9999999999820497,6.554814130352708e-22,1.552837223165583e-35,6.1530437781528975e-22,8.673921443118722e-09,2.8622334325403386e-11,5.0031647068718216e-15,3.607151051316119e-16,1.066765141471362e-11,1.0894255721553349e-16,1.253078804592426e-28,2.926760681408256e-34,1.7950174408540295e-11,4.54528374898872e-17,7.414657988400669e-19,6.329319879163421e-17,2.070282629900892e-17,5.5153534035779117e-17,7.598792392175311e-19,1.4508504406793865e-26,2.4310427601168337e-26,3.5499257108032833e-20,1.164466953733842e-34,3.146746938395357e-50,8.718613360319767e-18,1.5070016272028614e-54,1.2439899065882468e-40,1.4005120993160317e-32,4.698534086321239e-38,6.482352819471648e-42
1.7490744374062187e-12,0.7327072092972955,3.76,0.0,0.8163006122732063,0.9999999999775621,1.1932781579280843e-21,2.843900803881807e-35,9.400311102051117e-22,1.0842400434374115e-08,3.5779237867803424e-11,7.64370458488942e-15,5.511038958610962e-16,1.3334631156451605e-11,1.6644013348311314e-16,2.281460208204586e-28,6.210006954877432e-34,2.2437718763592014e-11,6.944135270751635e-17,1.1328064752784233e-18,9.669762319626692e-17,3.0571351556592566e-17,8.426223975338037e-17,1.1609237736214022e-18,2.641219450820137e-26,4.425700573185672e-26,5.42311523166626e-20,2.470807415731638e-34,7.716020323029176e-50,1.3319966141069168e-17,4.760876292846912e-54,3.206915157146871e-40,3.1462594028621476e-32,1.0553676447144923e-37,1.6819009771312306e-41
