Time (s),Volume (m^3),N2,Ne,C2H6(1),O2(2),H2O(3),C(4),CH(5),CH3(18),C2H5(31),CH4(30),H(6),C2H4(29),HO2(12),H2(9),C2H5O2(40),CH3O2(36),C2H3(28),H2O2(13),C2H2(22),OH(8),CH2O(19),HCO(16),CO(14),O(7),CH2CHO(34),C2H5O(43),C2H(21),HCCO(20),C2H5O(101),C3H6(221),C3H6(74),CH3O(26),CH2CO(27),C3H6(55),C3H7(218),C3H7(49)
4.181278971092138e-15,0.0962900721009675,3.76,0.0,0.6580756437505346,0.999999999999991,3.572004633958427e-30,2.2353405668281155e-48,5.962194704583356e-31,2.759286659039241e-13,9.482104506905034e-15,8.883185091692695e-22,4.3740269627474635e-16,2.3494983289437624e-22,9.044701339560345e-15,4.4882246257856357e-23,4.444742289577368e-23,3.5607301189183934e-22,4.584244850589135e-38,1.902040415011796e-24,3.5031081033554523e-46,1.9490033577676512e-23,1.5907482215748352e-23,7.319420213042222e-36,1.01936176595582e-36,5.1188741325925614e-23,1.3644734370169334e-45,5.260798938526134e-26,2.4782474628798773e-66,1.2592859690541181e-65,2.2202769602464752e-30,5.035314559460621e-56,1.1975473265396366e-44,1.2996797449242695e-24,1.4386928064839133e-49,1.7605398544179172e-52,1.0409618000135855e-45,4.605503267318825e-44
8.366190678041e-15,0.09629007210096996,3.76,0.0,0.6580756437503871,0.9999999999999819,2.859775410894395e-29,1.7901531121532822e-47,2.3864263220753285e-30,5.520970587922846e-13,1.8972448470914576e-14,3.555589047583696e-21,8.751857248104216e-16,9.404116939788375e-22,1.809726086059674e-14,1.7964600653024827e-22,1.779055002412906e-22,1.4252197976481624e-21,3.6701841940702406e-37,7.613118538844359e-24,5.60953850657689e-45,7.801092013905508e-23,6.367138772869558e-23,5.859986226610289e-35,8.161102910098689e-36,1.1230018278284275e-22,2.184935832445168e-44,2.1055892988348828e-25,7.938542527675853e-65,4.0333610145480555e-64,1.7774866749159064e-29,1.6131979518923578e-54,1.918306084261958e-43,5.20210415323882e-24,2.303930037153009e-48,2.82000949319254e-51,1.6674771612132424e-44,7.37737888296868e-43
1.6736014091938726e-14,0.09629007210097487,3.76,0.0,0.658075643750092,0.9999999999999638,2.288689107850426e-28,1.4335012246172897e-46,9.548770918532553e-30,1.1044338369893026e-12,3.795314033796874e-14,1.422698744798442e-20,1.7507527199153962e-15,3.7628722427696144e-21,3.62023800735676e-14,7.188184659392203e-22,7.118535361956371e-22,5.702734001067877e-21,2.937264234062745e-36,3.0462390848905625e-23,8.978919050472025e-44,3.121452411477034e-22,2.5476850890930183e-22,4.689769206975985e-34,6.531379644339038e-35,2.641706220089302e-22,3.4973220398554944e-43,8.424289456020336e-25,2.542348156445203e-63,1.291381727182479e-62,1.4223936539921384e-28,5.165005283586322e-53,3.07107643895738e-42,2.0815177545500787e-23,3.6882592948055307e-47,4.514215386741477e-50,2.66951510245484e-43,1.1810665232692776e-41
3.347566091973418e-14,0.09629007210098474,3.76,0.0,0.6580756437495017,0.9999999999999276,1.831298434059883e-27,1.148354481182208e-45,3.8200958736835075e-29,2.2091073630645348e-12,7.591453982821808e-14,5.691721295720341e-20,3.5018904622590216e-15,1.5053943398193934e-20,7.241261918310278e-14,2.8757454512725488e-21,2.8478760963939014e-21,2.2814636405296503e-20,2.350259956667664e-35,1.2186940049275853e-22,1.4369207353733225e-42,1.2487837945950467e-21,1.0192401083137675e-21,3.75252671521762e-33,5.226123242975114e-34,6.865017687121233e-22,5.5968595755180677e-42,3.369616092919162e-24,8.143281024143362e-62,4.1343361127797776e-61,1.1379136099748607e-27,1.6530751281710024e-51,4.915156118638908e-41,8.327414321694523e-23,5.903922560414868e-46,7.223487882802238e-49,4.272465896189106e-42,1.8902539303417256e-40
6.695495457532508e-14,0.09629007210100442,3.76,0.0,0.6580756437483211,0.9999999999998552,1.4651769201411252e-26,9.209080641799433e-45,1.5281352935136283e-28,4.418454293939859e-12,1.5183740183328695e-13,2.276873741223552e-19,7.004180955474408e-15,6.022070795124798e-20,1.4483310013655614e-13,1.1503946176461724e-20,1.1392418875862609e-20,9.126586896153148e-20,1.880390168236414e-34,4.875172860685759e-22,2.2993114171122305e-41,4.9955383063037614e-21,4.077293666517016e-21,3.002304513746206e-32,4.1813390701557816e-33,2.0055254791371658e-21,8.955904520711515e-41,1.3474377780674054e-23,2.610000315187797e-60,1.3237959501906703e-59,9.100695966220236e-27,5.289189079985836e-50,7.865409782323839e-40,3.3312271478583444e-22,9.452059663686287e-45,1.155492144814607e-47,6.836939014175925e-41,3.024839848067578e-39
1.3391354188650688e-13,0.09629007210104382,3.76,0.0,0.6580756437459598,0.9999999999997103,1.172195686518292e-25,7.401809371923821e-44,6.112570552055698e-28,8.837147670590526e-12,3.036833779417539e-13,9.107864995439077e-19,1.400882197596519e-14,2.4089290211271754e-19,2.8967407298106836e-13,4.6017882552488535e-20,4.557142871877312e-20,3.650774991330145e-19,1.5043894292701847e-33,1.9501485719185488e-21,3.679099308344283e-40,1.9982939021759762e-20,1.6309849667491603e-20,2.40195458738269e-31,3.345299650777298e-32,6.541021320155161e-21,1.4330234276706795e-39,5.385827913382275e-23,8.377250587608667e-59,4.240653640504662e-58,7.275344358039582e-26,1.6917400386195375e-48,1.25856245276363e-38,1.3325373363054465e-21,1.513949779233289e-43,1.8475348267322205e-46,1.0939897453464305e-39,4.840076211176657e-38
2.6783071650887055e-13,0.09629007210112257,3.76,0.0,0.6580756437412375,0.9999999999994207,9.377764152187424e-25,5.976293858925153e-43,2.4449024975604225e-27,1.767453248349665e-11,6.07376338552393e-13,3.643219662787883e-18,2.801834415276655e-14,9.635933593472634e-19,5.793560624211037e-13,1.8407707826553245e-19,1.8228861472793336e-19,1.460333052289415e-18,1.2035495176020609e-32,7.800753598784952e-21,5.886753128941381e-39,7.993316380359574e-20,6.524081673928196e-20,1.9216044023922877e-30,2.676414593789761e-31,2.3201828699235063e-20,2.292915105132076e-38,2.151068108796653e-22,2.696669974029488e-57,1.3597868465137372e-56,5.811539291077274e-25,5.40783967859537e-47,2.013790417883766e-37,5.330195833515267e-21,2.4273200305684955e-42,2.9517349239958684e-45,1.7504471624540254e-38,7.744341463811631e-37
5.356650657535979e-13,0.09629007210128014,3.76,0.0,0.6580756437317927,0.9999999999988414,7.502262071101756e-24,4.8685968814114706e-42,9.778305992974967e-27,3.534929434776558e-11,1.2147662933515962e-12,1.4573023239177946e-17,5.603834904628641e-14,3.854429818949607e-18,1.1587202163099249e-12,7.363302275696192e-19,7.291554056347299e-19,5.8413383910215965e-18,9.628660928264845e-32,3.1203336644263757e-20,9.41906727108747e-38,3.1973415944134123e-19,2.60966646708721e-19,1.537293956622658e-29,2.1413352471959042e-30,8.68828823705648e-20,3.668771573627825e-37,8.578019146547024e-22,8.731087046328036e-56,4.368925872144341e-55,4.63514717811792e-24,1.7267567508523202e-45,3.2221787797701144e-36,2.1320504582892344e-20,3.899566107302348e-41,4.708756998552092e-44,2.800766359267387e-37,1.2390974023100078e-35
1e-12,0.09629007210159525,3.76,0.0,0.6580756437154186,0.999999999997837,5.302446179914404e-23,3.562354145128982e-41,3.51972042861431e-26,6.599137667726358e-11,2.2677907518909175e-12,5.2470356997011566e-17,1.0461897055634402e-13,1.3878049768029975e-17,2.1631439565560892e-12,2.651267732855002e-18,2.6252897836880205e-18,2.103145473295502e-17,6.805618537336762e-31,1.123481014157067e-19,1.3189512789800979e-36,1.1511953725925512e-18,9.396192273957824e-19,1.086528126274784e-28,1.5137144397919188e-29,3.0255186312990185e-19,5.1373925441398234e-36,3.0704190651261196e-21,2.4899098572020325e-54,1.2274451228347813e-53,3.2566139715821746e-23,4.791969617272568e-44,4.512045650204063e-35,7.676135028663173e-20,5.5042382498676514e-40,6.554724598815091e-43,3.921804137786964e-36,1.7350050894440423e-34
1.0713337642430523e-12,0.09629007210159525,3.76,0.0,0.6580756437129032,0.9999999999976826,6.001784012097007e-23,4.034829034147704e-41,3.9102199504962417e-26,7.069878703043053e-11,2.4295623372865383e-12,5.829236019414128e-17,1.1208220096609917e-13,1.541793507403244e-17,2.3174492241602355e-12,2.9454512854319847e-18,2.9165846932918376e-18,2.3365046496233834e-17,7.703215281987562e-31,1.2481402007237278e-19,1.5071059447141752e-36,1.2789291565096079e-18,1.0438776831422552e-18,1.2298299539602752e-28,1.7133634254125996e-29,3.356841542701202e-19,5.870266155018356e-36,3.410333851912561e-21,2.8590107304085084e-54,1.4093004076822098e-53,3.6857057089920776e-23,5.501611732777266e-44,5.155710738656006e-35,8.527848721772326e-20,6.2899231807481806e-40,7.489359947226033e-43,4.4812669563163236e-36,1.9825106879628376e-34
2.142671161221961e-12,0.09629007210222548,3.76,0.0,0.6580756436751238,0.9999999999953652,4.801343442171376e-22,3.4515016501716463e-40,1.563194802752482e-25,1.413976482146716e-10,4.859218962701219e-12,2.3316979973637135e-16,2.2418527312166183e-13,6.167299616174185e-17,4.634910040452828e-12,1.1782758251629684e-17,1.1665954358753254e-17,9.345701654212689e-17,6.1629758444119434e-30,4.992576592629501e-19,2.4115230985748903e-35,5.115617747985184e-18,4.175567432264665e-18,9.83846825797458e-28,1.371150918664668e-28,1.3190546259988832e-18,9.393077518069515e-35,1.3477087733182573e-20,9.565164241818561e-53,4.581710302669054e-52,2.9132726809931874e-22,1.7453259325939158e-42,8.249743777520828e-34,3.4108310132187204e-19,1.0225774130926297e-38,1.184253101877551e-41,7.170059925818217e-35,3.1718294081708534e-33
3.2140085582008705e-12,0.0962900721028557,3.76,0.0,0.6580756436373446,0.9999999999930475,1.3728690906796067e-21,1.0295814089142478e-39,3.3204746142904698e-25,2.120963852202257e-10,7.288940125859325e-12,4.95485851340149e-16,3.363037133780218e-13,1.3105682905443797e-16,6.952373657638669e-12,2.5039735873161276e-17,2.4789563405569665e-17,1.9859130468771556e-16,1.7623026844190065e-29,1.060923774895193e-18,8.876315518284489e-35,1.0870531523439658e-17,8.873154856221907e-18,2.813156382606925e-27,3.9214562897562794e-28,2.788204293828048e-18,3.457403779283804e-34,2.840093165864343e-20,4.451316003260904e-52,2.1052251317727364e-51,8.272900004120766e-22,8.155861856984734e-42,3.145318479234544e-33,7.247555659821404e-19,3.7924368737526557e-38,4.490546004762572e-41,2.733588343382625e-34,1.209225669601793e-32
4.28534595517978e-12,0.0962900721034859,3.76,0.0,0.6580756435995652,0.9999999999907299,2.8957489450288814e-21,2.271018929674463e-39,5.662274085202757e-25,2.8279499804949437e-10,9.718725826959454e-12,8.452403614376905e-16,4.484375215200487e-13,2.2357015497095303e-16,9.269840076019031e-12,4.271698994640721e-17,4.2287140149400687e-17,3.387656753371233e-16,3.717388813520553e-29,1.80981257110095e-18,2.2513102941750724e-34,1.8543597071825838e-17,1.5136669785388588e-17,5.933701908292742e-27,8.273260260029164e-28,4.743144424396947e-18,8.769106562501353e-34,4.807949408250181e-20,1.3635120431893956e-51,6.311536617283742e-51,1.7341518061930574e-21,2.56081709871662e-41,8.46295728935279e-33,1.2362750862776242e-18,9.684256529981966e-38,1.2027287448149586e-40,7.354936768962427e-34,3.2534368259425726e-32
6.428020749137598e-12,0.09629007210474637,3.76,0.0,0.658075643524006,0.9999999999860945,7.909051796759876e-21,6.807467749068282e-39,1.1715885219939497e-24,4.241919322813391e-10,1.457844869637427e-11,1.7499616139895594e-15,6.727412046235842e-13,4.628825480630607e-16,1.3904779487946264e-11,8.844749546739977e-17,8.754688534783975e-17,7.013444105991855e-16,1.0154479576022967e-28,3.746990969109783e-18,7.87360621381617e-34,3.839128526043152e-17,3.133892751736276e-17,1.6206509638551682e-26,2.260665913023647e-27,9.793180102887222e-18,3.0669177573997585e-33,9.828659911940753e-20,6.474371068962572e-51,2.7905129134922394e-50,4.687833130044499e-21,1.2997680877104447e-40,3.423160027499473e-32,2.5592988784198082e-18,3.425552812797837e-37,4.829829906603172e-40,2.9748519796770972e-33,1.315865709937221e-31
8.570695543095417e-12,0.0962900721060068,3.76,0.0,0.6580756434484466,0.9999999999814589,1.6548126115942712e-20,1.5390462506995614e-38,1.9914113016503586e-24,5.655884098926354e-10,1.9438408896469133e-11,2.9762239883153948e-15,8.971013991368462e-13,7.872563274209986e-16,1.8539729203367275e-11,1.5043796630763115e-16,1.4888901322101524e-16,1.1927594572376753e-15,2.1248729385095974e-28,6.37265564110377e-18,1.9675469194164584e-33,6.529209190912293e-17,5.329990462609033e-17,3.390893279036462e-26,4.7319203925739514e-27,1.6629734144256204e-17,7.664083578395341e-33,1.651593380842007e-19,1.9835478160255943e-50,8.192754010610829e-50,9.719273468310357e-21,4.092519218972982e-40,9.272779949900627e-32,4.352289260569194e-18,8.639866715258247e-37,1.2999671137281895e-39,8.05808109909505e-33,3.564204459058568e-31
1e-11,0.0962900721085277,3.76,0.0,0.6580756433980433,0.9999999999783666,2.5725899612333e-20,2.5817413333330516e-38,2.668358257245521e-24,6.599088456438113e-10,2.268046517133982e-11,3.989907765925757e-15,1.046798737785263e-12,1.055408170235582e-15,2.1631550577912256e-11,2.0169001696250506e-16,1.9959377028709985e-16,1.598957194304985e-15,3.3037650790463085e-28,8.543155358067901e-18,3.6418083830602394e-33,8.752860638476012e-17,7.145425319539513e-17,5.271522279219704e-26,7.359576948355251e-27,2.2277512189387315e-17,1.4186015074099146e-32,2.192039319145159e-19,4.99217339744495e-50,1.91390221447691e-49,1.4953099328177155e-20,9.9069923764596e-40,1.7907832923912416e-31,5.8341901881708224e-18,1.6239947518544598e-36,2.4797967667688626e-39,1.5560808608163363e-32,6.882291289028692e-31
1.2856045131011052e-11,0.0962900721085277,3.76,0.0,0.6580756432973266,0.9999999999721874,5.2251542429182045e-20,5.792346926150708e-38,4.332854804281531e-24,8.483798658323051e-10,2.915910861586965e-11,6.4845710325238644e-15,1.346007342976568e-12,1.7153455988552236e-15,2.780966247975055e-11,3.278360254338349e-16,3.243709510021964e-16,2.598550450839994e-15,6.711437617437857e-28,1.3884741709859815e-17,9.113709770205581e-33,1.4225064258004032e-16,1.1613268291865927e-16,1.0706926656476358e-25,1.4957510409533987e-26,3.616961012931048e-17,3.5501529495455633e-32,3.4981708447479134e-19,1.6079900970818077e-49,5.861419325297402e-49,2.991230585274221e-20,3.099839710403416e-39,4.6508682959109725e-31,9.480615936611202e-18,4.130754040115275e-36,6.359243616483467e-39,4.04101097716327e-32,1.7871470463330978e-30
1.714139471892669e-11,0.09629007211104858,3.76,0.0,0.6580756431462051,0.9999999999629151,1.1884344651154319e-19,1.499776423755221e-37,7.596969373405972e-24,1.1311693455133473e-09,3.888083564446933e-11,1.1384699710817117e-14,1.7951578767059655e-12,3.0116941665875213e-15,3.707964038405033e-11,5.756740741499786e-16,5.694395708359901e-16,4.56179610242954e-15,1.5268826293889276e-27,2.4376972538382167e-17,2.6432251706077745e-32,2.4973166058801994e-16,2.038949622087001e-16,2.4352370558893543e-25,3.4051924568125585e-26,6.344354857205987e-17,1.0296742760134702e-31,5.980009301294275e-19,6.3979005937548495e-49,2.177414570601442e-48,6.65557078460026e-20,1.1574162264189309e-38,1.3954995327186504e-30,1.664119717472502e-17,1.226686907896719e-35,1.8735836418807992e-38,1.2123754536038606e-31,5.3612062970869876e-30
2.571209389475796e-11,0.09629007211609031,3.76,0.0,0.6580756428439577,0.9999999999443683,3.9675638624479206e-19,6.381403478121691e-37,1.6886959356377643e-23,1.6967423495726944e-09,5.832738589237091e-11,2.537948697934433e-14,2.694196023718024e-12,6.714495281988258e-15,5.561973079195634e-11,1.2838423116059719e-15,1.2692095965176321e-15,1.0167623198811213e-14,5.100517656370005e-27,5.4343123146075865e-17,1.3437716893230875e-31,5.566588755465385e-16,4.545617181562437e-16,8.129992503505079e-25,1.1392845785819068e-25,1.413041910944658e-16,5.235057563975805e-31,1.2605407404007604e-18,6.28247054959062e-48,1.8289087589565344e-47,2.1108547680927018e-19,9.039347434427209e-38,7.22206494125283e-30,3.708040530726903e-17,6.633491009222695e-35,9.237500527213346e-38,6.2724082092404105e-31,2.772907599533383e-29
4.28534922464205e-11,0.09629007212617371,3.76,0.0,0.6580756422394454,0.9999999999072662,1.8652576393368106e-18,4.3283718768675536e-36,4.6395453756873085e-23,2.827864535488189e-09,9.723287472552673e-11,7.015113025202884e-14,4.495220931550724e-12,1.8563173171938427e-14,9.270045078035931e-11,3.551647650634923e-15,3.5069198114550585e-15,2.809360031133701e-14,2.4008882050617128e-26,1.5021176711246873e-16,1.1132116052425955e-30,1.538312281162226e-15,1.2565969904420204e-15,3.822116091180119e-24,5.380789850141914e-25,3.9032409634526985e-16,4.337403517218324e-30,3.1225173560137943e-18,1.3026687059464339e-46,3.1465123549675394e-46,8.925020057554223e-19,1.2343649160436847e-36,5.906392450536116e-29,1.0239333874196609e-16,6.2527093025217325e-34,6.824326438838299e-37,5.126118069446478e-30,2.2646780469171737e-28
7.71362889497456e-11,0.09629007214634029,3.76,0.0,0.6580756410303498,0.9999999998330281,1.1149415340251018e-17,4.1439704938468993e-35,1.4817778820740937e-22,5.090013633860577e-09,1.7509342244340366e-10,2.2683810908148353e-13,8.109064693327481e-12,6.00499668836722e-14,1.668640531849517e-10,1.150442726006107e-14,1.1331284775265973e-14,9.077185703104001e-14,1.438723186293476e-25,4.857365910647584e-16,1.2685948641184696e-29,4.971954890322844e-15,4.064227228513049e-15,2.2846002394649368e-23,3.2464735606009283e-24,1.2618506174523836e-15,4.9440121869752605e-29,8.291188753782346e-18,4.4182331604455496e-45,8.767644806682212e-45,4.3880681427487064e-18,2.2775175180134167e-35,6.554437775570243e-28,3.304297903787521e-16,8.929546115411523e-33,6.319967937364993e-36,5.68022577407931e-29,2.5060882917477895e-27
9.999999999999999e-11,0.09629007218667239,3.76,0.0,0.6580756402239334,0.9999999997834923,2.602311986317631e-17,1.3514580881457823e-34,2.4639315173495827e-22,6.59860422771326e-09,2.2705653265103972e-10,3.8109457416549397e-13,1.052792691025047e-11,1.0092100795993293e-13,2.163264817001533e-10,1.9356216170383402e-14,1.9024708376386722e-14,1.5239887550600777e-13,3.367398984300893e-25,8.16076287848022e-16,4.5552908622667737e-29,8.349788841386474e-15,6.829283658346851e-15,5.33217451047379e-23,7.656148039887273e-24,2.120175860215607e-15,1.775885600180206e-28,1.2280929271043816e-17,4.1893723700208995e-44,7.153874548252418e-44,8.664019759589116e-18,1.111333779236586e-34,2.3164515822214808e-27,5.54187166666934e-16,4.124119557210998e-32,1.8514854091433068e-35,2.0033804683693064e-28,8.822161155782921e-27
1.457018823563958e-10,0.09629007218667239,3.76,0.0,0.6580756386118756,0.9999999996844159,7.657587961866866e-17,4.878306692203253e-34,5.154671426756929e-22,9.613931051497443e-09,3.310128306346607e-10,8.087736802631485e-13,1.5383900070316868e-11,2.1428192318540552e-13,3.1519994905423415e-10,4.1161803643456696e-14,4.0339328824254635e-14,3.2313269095446264e-13,9.930971447536677e-25,1.7319813280031958e-15,1.7156484490507023e-28,1.7710763493353e-14,1.4497046143353375e-14,1.5690121348453851e-22,2.2714324465279147e-23,4.50041585660224e-15,6.689408112891294e-28,2.1557454837297803e-17,1.9982194858638362e-43,3.3403464222936515e-43,2.187513965923119e-17,4.652070127672508e-34,8.666322545193111e-27,1.1733537572033667e-15,1.7003911473308654e-31,6.312099360407367e-35,7.488373807493621e-28,3.2948932880322473e-26
