Time (s),Volume (m^3),N2,Ne,C2H6(1),O2(2),H2O(3),C(4),CH(5),CH3(18),C2H5(31),CH4(30),H(6),C2H4(29),HO2(12),H2(9),C2H5O2(40),CH3O2(36),C2H3(28),H2O2(13),C2H2(22),OH(8),CH2O(19),HCO(16),CO(14),O(7),CH2CHO(34)
9.208e-13,0.4458392506851991,3.76,0.0,0.7127169558398998,0.9999999999999915,6.5939447642453495e-28,6.192229041698408e-51,9.050514527013467e-33,1.2162942262088667e-13,8.661662550031936e-15,4.085025926013755e-21,4.639724104116766e-17,2.7193899159581767e-21,8.615267666200386e-15,1.0230846826036807e-22,1.2497956707885953e-21,3.218866183816828e-21,3.2387431910028476e-37,1.787630927559983e-23,2.861257385216089e-44,1.0615949877173346e-22,1.0019041074310805e-22,1.0077186173539819e-34,4.895898747657722e-36,6.430950095217473e-24,3.843610303514419e-43
1e-12,0.44583925068520397,3.76,0.0,0.7127169558398939,0.9999999999999907,1.0564042354060613e-27,9.954502281722159e-51,1.1385528107403823e-32,1.3209103111216395e-13,9.40667092465288e-15,5.139111479942118e-21,5.038827227465017e-17,3.421092024266697e-21,9.356285617830772e-15,1.2870893320107445e-22,1.5722872285586678e-21,4.049449288375037e-21,5.188735823138477e-37,2.2489049332950358e-23,6.552790116420865e-44,1.3355236573949415e-22,1.2604318784313198e-22,1.6144478441013582e-34,7.843958367379229e-36,8.011083516418306e-24,8.802553494598485e-43
1.8424000000000003e-12,0.44583925068520397,3.76,0.0,0.7127169558398303,0.9999999999999828,5.279144399118674e-27,4.997140856197496e-50,3.6221581644283187e-32,2.4336450324665927e-13,1.733085090925748e-14,1.635074873536202e-20,9.283833175805532e-17,1.0884650812639163e-20,1.7238022012444915e-14,4.0951387847949784e-22,5.0024247066585424e-21,1.288383321867602e-20,2.5929566546762977e-36,7.155182994295168e-23,4.581727462105369e-43,4.24912859851132e-22,4.0102272608884266e-22,8.067840528596211e-34,3.9200592504417227e-35,2.4817957178281806e-23,6.154767652703836e-42
3.6856e-12,0.44583925068521396,3.76,0.0,0.7127169558396912,0.9999999999999656,4.224886646213152e-26,4.0625787595549486e-49,1.4490100470752085e-31,4.868346200159532e-13,3.4669229045939793e-14,6.542428594775989e-20,1.8573113560849472e-16,4.3552814888916955e-20,3.4483535662114443e-14,1.6386960196186106e-21,2.001609444436892e-20,5.155195380118359e-20,2.075141863830176e-35,2.8630056703435094e-22,7.333708402586881e-42,1.7001905506316367e-21,1.6046130955565608e-21,6.456667150059556e-33,3.137820342324048e-34,9.746312862848791e-23,9.85158308962969e-41
7.372e-12,0.4458392506852337,3.76,0.0,0.7127169558394131,0.999999999999931,3.380497916210228e-25,3.3519762747407104e-48,5.7943847221223685e-31,9.737746756264175e-13,6.934599099332549e-14,2.6173969087738447e-19,3.7155923228912393e-16,1.7423988928066422e-19,6.8974582790444e-14,6.556707975006677e-21,8.00764485986662e-20,2.062400952748909e-19,1.6604103550860157e-34,1.1453890694399496e-21,1.1736195081411787e-40,6.80175437843222e-21,6.419495922601379e-21,5.166223091996153e-32,2.511663676265095e-33,3.862673569844598e-22,1.5765569345897675e-39
1e-11,0.44583925068527347,3.76,0.0,0.7127169558392148,0.9999999999999065,1.1815847639318679e-24,1.2293316719185237e-47,1.1983798392316655e-30,1.320909422524031e-12,9.406673758401188e-14,5.416575652879153e-19,5.040949183063151e-16,3.60581853109562e-19,9.35629552072319e-14,1.3571235764824235e-20,1.6571161915666506e-19,4.2680029860644933e-19,5.80367327500247e-34,2.3703287412693188e-21,7.449124286022274e-40,1.4075576346831546e-20,1.3284834771019238e-20,1.8057431381773122e-31,8.784547009134325e-33,7.968560098966632e-22,1.0006621538451129e-38
1.47448e-11,0.44583925068527347,3.76,0.0,0.7127169558388567,0.9999999999998621,2.7045698235287095e-24,2.843672316545632e-47,2.3158657594119495e-30,1.947654075141914e-12,1.3869953759294982e-13,1.0470435357989834e-18,7.4338537607434e-16,6.97018439858175e-19,1.3795675636521337e-13,2.6235821555207178e-20,3.203241599723398e-19,8.2501721366260575e-19,1.3284249341372182e-33,4.581932148763989e-21,1.8779419213758283e-39,2.7208312448681284e-20,2.5680062993231218e-20,4.133224306112388e-31,2.0110108971766722e-32,1.5381653859765048e-21,2.522692996021726e-38
2.9490400000000004e-11,0.44583925068535285,3.76,0.0,0.7127169558377442,0.9999999999997241,2.1636221150831812e-23,2.5332764029638316e-46,9.247266779640674e-30,3.895410027407646e-12,2.7740672168175437e-13,4.188341070281393e-18,1.4877174213834933e-15,2.7882044825196725e-18,2.7592142080437945e-13,1.0500239688189496e-19,1.281287153450116e-18,3.3001206681673674e-18,1.0627432425570008e-32,1.8328498299292587e-20,3.0047308804779014e-38,1.0883032417579345e-19,1.0272434731455422e-19,3.3065018770974886e-30,1.6112677894393579e-31,6.1409916552476486e-21,4.036340173851233e-37
5.89816e-11,0.4458392506855116,3.76,0.0,0.712716955835519,0.9999999999994482,1.7307204975088755e-22,2.4373622253790563e-45,3.6857893153616326e-29,7.790910545329792e-12,5.548214539786376e-13,1.6753677153650153e-17,2.9791001913516633e-15,1.1153183002631528e-17,5.518520189786907e-13,4.2045681887797094e-19,5.124759949854078e-18,1.3200091493018102e-17,8.501393454427544e-32,7.331567613219912e-20,4.8072789055342145e-37,4.352713356430892e-19,4.1090507280596973e-19,2.6448890979661916e-29,1.2928569574820327e-30,2.4557735273671876e-20,6.457750402962718e-36
9.999999999999999e-11,0.4458392506858292,3.76,0.0,0.712716955832424,0.9999999999990644,1.0153627400310062e-21,1.8818479900450492e-44,1.130289994630496e-28,1.3209010330942138e-11,9.406700602899252e-13,5.170725438410765e-17,5.060979161812758e-15,3.442319429143279e-17,9.35638904547359e-13,1.3001094777518602e-18,1.5813968990820214e-17,4.0736194852433884e-17,4.987870739235147e-31,2.2627758259894903e-19,5.494599811025082e-36,1.3430648133479153e-18,1.2681857158978277e-18,1.551632208315464e-28,7.62903601258392e-30,7.58790896707645e-20,7.381039426302484e-35
1.17964e-10,0.4458392506858292,3.76,0.0,0.7127169558310685,0.9999999999988963,1.3842437778138568e-21,2.599258707954533e-44,1.4638812009531853e-28,1.5581866038350042e-11,1.1096523795363118e-12,6.701516647643547e-17,5.9727376366767985e-15,4.4614291038064213e-17,1.1037182936106957e-12,1.685353182138442e-18,2.0495305932580883e-17,5.2795625760234913e-17,6.799989367901468e-31,2.932672186590757e-19,7.690424006492312e-36,1.7406327836609826e-18,1.6436316004886981e-18,2.115336356078238e-28,1.0403964350740708e-29,9.83552664692104e-20,1.0330747104569207e-34
2.359288e-10,0.4458392506864644,3.76,0.0,0.7127169558221677,0.9999999999977923,1.1068437435182603e-20,3.0941100279174537e-43,5.773596221060805e-28,3.1163594881990517e-11,2.2193201103762525e-12,2.6806023872007714e-16,1.200347766606095e-14,1.7846691163451766e-16,2.2074711647992797e-12,6.769505934164329e-18,8.195011970239353e-17,2.1114136991081776e-16,5.4380964432816375e-30,1.17308709252931e-18,1.2300537758003635e-34,6.958808801668872e-18,6.574516561517884e-18,1.6913199562398768e-27,8.420770077458517e-29,3.9476262736000692e-19,1.6523596623086282e-33
3.538936e-10,0.4458392506870996,3.76,0.0,0.7127169558132667,0.9999999999966882,3.163970644822148e-20,1.0757084100388861e-42,1.2150477835094099e-27,4.674514161211667e-11,3.328993756784233e-12,5.696262297305361e-16,1.8077660364616867e-14,3.7925573580707664e-16,3.3112443666987777e-12,1.442641914298957e-17,1.740979905379936e-16,4.486141043331528e-16,1.55468152386501e-29,2.4928318055803516e-18,4.526759340683134e-34,1.4781976994995304e-17,1.3970805031495837e-17,4.8345516876345066e-27,2.423946123972941e-28,8.409370963381231e-19,6.0808899416940535e-33
4.718584e-10,0.44583925068773483,3.76,0.0,0.7127169558043656,0.999999999995584,6.671985625254785e-20,2.7117886562409525e-42,2.0543854791981087e-27,6.232650625760451e-11,4.438673354578209e-12,9.717119648628599e-16,2.4195263276030362e-14,6.469865611048306e-16,4.415037908090842e-12,2.4674483728387253e-17,2.9691826870670363e-16,7.651861531891934e-16,3.2788662819907994e-29,4.25250941167628e-18,1.1479602466061693e-33,2.5207680042849334e-17,2.3832468618130205e-17,1.0194471148538144e-26,5.143990315818026e-28,1.4378321712809292e-18,1.5420826898530922e-32
7.07788e-10,0.44583925068900515,3.76,0.0,0.7127169557865631,0.9999999999933752,1.821532232069758e-19,1.0075045291319828e-41,4.191085518088781e-27,9.348880829661627e-11,6.658046628713683e-12,2.0117934772723845e-15,3.6532304071533464e-14,1.3395749682345454e-15,6.622672753641407e-12,5.1308898678766745e-17,6.144810895857941e-16,1.5838856847163514e-15,8.954769940259427e-29,8.804385204228955e-18,4.014059083449912e-33,5.2159467574398683e-17,4.934179219212035e-17,2.7830635499264785e-26,1.4194521784038351e-27,2.9883070116207156e-18,5.392253811170021e-32
9.437176e-10,0.44583925069027536,3.76,0.0,0.7127169557687603,0.9999999999911658,3.8097814048033636e-19,2.6072937304688206e-41,7.029005399547408e-27,1.246504409852016e-10,8.87744208539212e-12,3.4215121847514116e-15,4.9028830120994965e-14,2.2783811279334325e-15,8.830382467642439e-12,8.76245387472212e-17,1.044665969755978e-15,2.6932318386675597e-15,1.8735002871713226e-28,1.497411814030393e-17,1.0029378659451569e-32,8.866134321372232e-17,8.391694356982705e-17,5.820571285638269e-26,2.9968670738234376e-27,5.100937088944759e-18,1.3473024681506113e-31
9.999999999999999e-10,0.44583925069154573,3.76,0.0,0.7127169557645131,0.9999999999906387,4.451737363293409e-19,3.204132091283178e-41,7.812395420033416e-27,1.320841266528496e-10,9.406895530664557e-12,3.816315675679908e-15,5.203517219142328e-14,2.5413171144276133e-15,9.357056522703388e-12,9.783836832629439e-17,1.1650951254735645e-15,3.003850542597509e-15,2.189377395480952e-28,1.6702034430621574e-17,1.2237372737328496e-32,9.887829986597338e-17,9.360000429332601e-17,6.80126143916663e-26,3.51074450411993e-27,5.694835280491965e-18,1.643920055453198e-31
1.1796472e-09,0.44583925069154573,3.76,0.0,0.712716955750957,0.9999999999889561,6.932834822187583e-19,5.663765240083539e-41,1.0587061521396792e-26,1.5581135670540997e-10,1.1096861547923512e-11,5.2272628967546064e-15,6.169608342320018e-14,3.4810307406820763e-15,1.1038172456433489e-11,1.344356349616413e-16,1.59537965168543e-15,4.1138003112533515e-15,3.4103980392333705e-28,2.2877323359890557e-17,2.1277158927920283e-32,1.3537911196178247e-16,1.2820529220052136e-16,1.059144767547235e-25,5.5055318071334616e-27,7.822220351105673e-18,2.8583127880039214e-31
1.6515064000000001e-09,0.4458392506940862,3.76,0.0,0.7127169557153492,0.9999999999845348,1.8285112908286812e-18,2.055796842457912e-40,1.9713678332854263e-26,2.1813099351006136e-10,1.5535775613369423e-11,1.0051683608970553e-14,8.755248258562318e-14,6.6946956119743316e-15,1.545399869718282e-11,2.610337096074547e-16,3.0650334030330568e-15,7.906902546104854e-15,9.001765977394296e-28,4.399340317940234e-17,7.79335655405203e-32,2.599937944885175e-16,2.465304230085276e-16,2.7930844265919358e-25,1.4892815799570945e-26,1.5171780529724586e-17,1.046962539750693e-30
2.1233656e-09,0.44583925069662655,3.76,0.0,0.7127169556797398,0.9999999999801115,3.787293955120332e-18,5.24761102636655e-40,3.1346835640348066e-26,2.8044772123183765e-10,1.9974790772512216e-11,1.6484481826681706e-14,1.14100040585729e-13,1.0980552353560362e-14,1.987015185865044e-11,4.3210728277846344e-16,5.022147209607825e-15,1.2961258800190213e-14,1.865759561502813e-27,7.215084829417828e-17,2.0232163142280325e-31,4.2585565222836795e-16,4.0430313487408962e-16,5.784458521202017e-25,3.1543688697864e-26,2.5088537496170225e-17,2.7180526596441792e-30
3.067084e-09,0.4458392507017072,3.76,0.0,0.7127169556085159,0.9999999999712584,1.1353873797715555e-17,2.1649517482008724e-39,6.098041679933459e-26,4.050724601384352e-10,2.885313602703981e-11,3.417414582931803e-14,1.6926099400659587e-13,2.2770296134686716e-14,2.8703441681803834e-11,9.136864671587949e-16,1.0391807098417523e-14,2.684411168136322e-14,5.6016595532843466e-27,1.4958954301885782e-16,8.961808327669247e-31,8.805103233814734e-16,8.381653195760524e-16,1.7336131004714255e-24,9.948249457067068e-26,5.2930777418971936e-17,1.2040075579947379e-29
4.9545208e-09,0.4458392507118674,3.76,0.0,0.7127169554660482,0.999999999953527,4.856984853690837e-17,1.354079289893491e-38,1.401290475283911e-25,6.542871327662148e-10,4.6611160773997234e-11,8.88471124463378e-14,2.877993190928711e-13,5.923401605074001e-14,4.637397365495653e-11,2.473028817726145e-15,2.690987677505846e-14,6.964810577110616e-14,2.4035474961671048e-26,3.8897878039771747e-16,6.597449083468022e-30,2.276534566246266e-15,2.1790930649426316e-15,7.411227686583435e-24,4.723122204331997e-25,1.4259678169068448e-16,8.864236506659215e-29
6.8419576e-09,0.44583925072202635,3.76,0.0,0.7127169553235537,0.9999999999357617,1.2502790267543405e-16,4.274706187715471e-38,2.3997766784128297e-25,9.034554786831673e-10,6.437106222425175e-11,1.692415060741201e-13,4.1723124662835497e-13,1.1289270917455713e-13,6.404979949235298e-11,4.87783432477997e-15,5.1076592181466404e-14,1.3242644717183356e-13,6.202973711252251e-26,7.410727789598325e-16,2.2528187832651575e-29,4.314995566795938e-15,4.1508758100096305e-15,1.9068054872560766e-23,1.309948211563504e-24,2.801065237478924e-16,3.0271217222654287e-28
8.7293944e-09,0.445839250732184,3.76,0.0,0.7127169551810324,0.9999999999179628,2.542299872679082e-16,1.0024206474465702e-37,3.5413018515519623e-25,1.152577608822947e-09,8.21329753348189e-11,2.7535271263382674e-13,5.574716324912927e-13,1.8376866663667473e-13,8.173095255987274e-11,8.198058191784825e-15,8.281418579965252e-14,2.150729166973897e-13,1.2644828116743511e-25,1.2059033227648752e-15,5.643938421738847e-29,6.986967966647954e-15,6.753401989068417e-15,3.8753695011880615e-23,2.8445265005214078e-24,4.689362208808097e-16,7.584581674155008e-28
9.999999999999999e-09,0.44583925074234043,3.76,0.0,0.7127169550850733,0.9999999999059621,3.7866794833713857e-16,1.6120074906010293e-37,4.363801478619112e-25,1.3202584383112004e-09,9.40913473278511e-11,3.612665935562298e-13,6.579182866013609e-13,2.411912392702874e-13,9.363676643375771e-11,1.0989168797087193e-14,1.0839870197384462e-13,2.8183779560999394e-13,1.8867867974398905e-25,1.582333758887862e-15,9.511646182989904e-29,9.137416347603478e-15,8.860562775858279e-15,5.770252240902492e-23,4.4251074265045595e-24,6.269404076664582e-16,1.278328461550448e-27
1.0616831200000001e-08,0.44583925074234043,3.76,0.0,0.7127169550384843,0.9999999999001308,4.499466790390527e-16,1.972505805706105e-37,4.778771916812607e-25,1.4016536371810747e-09,9.98970381531409e-11,4.071760217621045e-13,7.084332547993666e-13,2.718848704285306e-13,9.941746708437076e-11,1.2505456696794212e-14,1.2204314415733627e-13,3.174783315305046e-13,2.2436254666654755e-25,1.7835036558512827e-15,1.1849099710870722e-28,1.0283421034456741e-14,9.986557719931393e-15,6.855429449507479e-23,5.3512773121379155e-24,7.126067269468813e-16,1.5925252846571107e-27
1.4391704800000001e-08,0.4458392507626496,3.76,0.0,0.7127169547533071,0.9999999998643666,1.090954862675918e-15,5.526200276399977e-37,7.439958169716393e-25,1.8996678078821516e-09,1.3543211666374996e-10,7.479416158079853e-13,1.0422011076260529e-12,4.999227902040621e-13,1.3480670592110527e-10,2.4344763325520708e-14,2.2268513736589284e-13,5.811643755559035e-13,5.468061296593284e-25,3.2771383604312112e-15,3.770687716673243e-28,1.871736306853719e-14,1.8344338802266655e-14,1.6605443552978607e-22,1.450592270374909e-23,1.3771190035921994e-15,5.069265904925178e-27
1.81665784e-08,0.4458392507829537,3.76,0.0,0.7127169544680215,0.9999999998284708,2.155268172791215e-15,1.2022210523254875e-36,1.0204019993793944e-24,2.397498894645432e-09,1.7097737936096358e-10,1.1915008570502157e-12,1.417848808598545e-12,7.97189364657158e-13,1.7021778579844944e-10,4.0961561160148286e-14,3.5237999032285603e-13,9.226189639812268e-13,1.085777821222141e-24,5.2222476875911955e-15,9.191357195679355e-28,2.9547777271216255e-14,2.9223314054004304e-14,3.2772963748192536e-22,3.1627969188815264e-23,2.3006017069180428e-15,1.2360397914788333e-26
2.1941452000000003e-08,0.44583925080325304,3.76,0.0,0.7127169541826266,0.9999999997924439,3.752901685799741e-15,2.2352453855140924e-36,1.2987815690588982e-24,2.8951478398601272e-09,2.0653394193268407e-10,1.7378145324996407e-12,1.8346663109011606e-12,1.1638758007069103e-12,2.0565098649358598e-10,6.294278618571517e-14,5.104858486777312e-13,1.3409397715922491e-12,1.9003207089147592e-24,7.61912004128815e-15,1.9080900892119856e-27,4.2704966613600586e-14,4.262253532085181e-14,5.700837405457925e-22,6.030994662964364e-23,3.510289339375677e-15,2.5667946635600808e-26
2.9491199200000003e-08,0.4458392508438381,3.76,0.0,0.7127169536115071,0.9999999997200031,8.950981613369506e-15,5.799538425255021e-36,1.864677961946368e-24,3.889902887992832e-09,2.7768509831019164e-10,3.1385542975035542e-12,2.789159233741056e-12,2.1062401197383104e-12,2.765848001134175e-10,1.2520232674336295e-13,9.095569802541314e-13,2.4047518560312324e-12,4.5830883062360046e-24,1.3769306728685087e-14,6.2028072302021415e-27,7.575472512274611e-14,7.697806678735128e-14,1.3564583879364005e-21,1.717713482254038e-22,6.883928650792011e-15,8.351378022988092e-26
3.616641379418157e-08,0.44583925087970716,3.76,0.0,0.7127169531061739,0.9999999996555292,1.6296614958938737e-14,1.1024209942666858e-35,2.3648961688854556e-24,4.768831292114114e-09,3.4064201881622594e-10,4.719031220199805e-12,3.763847414492338e-12,3.172513156710017e-12,3.393781656344184e-10,2.0345438191234951e-13,1.3513283633237345e-12,3.59313820205881e-12,8.424330509181932e-24,2.0715079759134782e-14,1.3948450123779435e-26,1.1213922127652902e-13,1.157421446469292e-13,2.4642884009888845e-21,3.573863261571376e-22,1.1050255126403934e-14,1.879451234209126e-25
4.284162838836313e-08,0.44583925091556287,3.76,0.0,0.7127169526004906,0.9999999995906638,2.6762203260977732e-14,1.8594615530472097e-35,2.8638099976291292e-24,5.647203261197759e-09,4.036492205382431e-10,6.620263490750192e-12,4.857644120861309e-12,4.4585507356308495e-12,4.022445242245667e-10,3.065052138681462e-13,1.873359710697401e-12,5.009333495809509e-12,1.3965944570967455e-23,2.9077830097456993e-14,2.7319265575844645e-26,1.5493294043265886e-13,1.6237354075546075e-13,4.037732516546007e-21,6.606866909111633e-22,1.6448895448907258e-14,3.6841877198849643e-25
4.9516842982544695e-08,0.44583925095140603,3.76,0.0,0.7127169520944541,0.9999999995254124,4.084177145910169e-14,2.891053013771833e-35,3.362592587911787e-24,6.525023474900741e-09,4.66711841784994e-10,8.842049058425693e-12,6.067200172741249e-12,5.965322859318267e-12,4.651852153375624e-10,4.3716868958708164e-13,2.4727076539459986e-12,6.648864507554014e-12,2.1515115427282023e-23,3.885920598473568e-14,4.852263012420256e-26,2.0385863736514517e-13,2.1686736684568219e-13,6.1475940257043705e-21,1.121826011271901e-21,2.318658809966568e-14,6.549615959282235e-25
5.619205757672626e-08,0.4458392509872369,3.76,0.0,0.7127169515880606,0.9999999994597807,5.90078963519245e-14,4.234960159336021e-35,3.86167791669766e-24,7.402296524846932e-09,5.298348170666885e-10,1.138418752053243e-11,7.389277307816362e-12,7.693787882112934e-12,5.282015403199085e-10,5.981788435956576e-13,3.146549428376774e-12,8.507344354621747e-12,3.1378819444415454e-23,5.0060886927032274e-14,8.014399594067244e-26,2.586606542117327e-13,2.792187737407278e-13,8.860484974849372e-21,1.7866604689096902e-21,3.1360655031543064e-14,1.0828617002223885e-24
6.286727217090782e-08,0.44583925102305627,3.76,0.0,0.712716951081308,0.9999999993937746,8.171378567236433e-14,5.926343436396909e-35,4.360846928288964e-24,8.279026918394794e-09,5.930228891694599e-10,1.4246480029331417e-11,8.820742277364975e-12,9.644893368606143e-12,5.912947646524484e-10,7.921941509977669e-13,3.892175718400589e-12,1.0580468828886602e-11,4.386445133557309e-23,6.268458273280266e-14,1.2514254349610405e-25,3.191026089938807e-13,3.4942294912783056e-13,1.2239148300053708e-20,2.706540770834825e-21,4.1059730513698777e-14,1.692656514134865e-24
7.621770135927095e-08,0.4458392510946624,3.76,0.0,0.7127169500667122,0.9999999992606605,1.4247686339810814e-13,1.0487190610738672e-34,5.358803945321055e-24,1.003087737634694e-08,7.196124478700404e-10,2.093073922305166e-11,1.1999772432026551e-11,1.4218767201886624e-11,7.17716813580686e-10,1.2895349962909889e-12,5.5884451806460345e-12,1.5353816610987e-11,7.793571355641753e-23,9.220498970431252e-14,2.6884271750374845e-25,4.560391116557042e-13,5.133705324101189e-13,2.1228234955267506e-20,5.5413286796455556e-21,6.535056212064389e-14,3.644811949642628e-24
8.956813054763407e-08,0.44583925116622847,3.76,0.0,0.7127169490506446,0.9999999991261116,2.2642266318203463e-13,1.6831280410479262e-34,6.355013474378721e-24,1.1780609274537208e-08,8.4651492754543e-10,2.8893266997380208e-11,1.558118663498069e-11,1.9694321720994977e-11,8.444608197293222e-10,1.9490422360431964e-12,7.541928354317659e-12,2.0936075420077183e-11,1.262095879111123e-22,1.2743465618893245e-13,5.10630169251425e-25,6.130993244536538e-13,7.086723572981503e-13,3.3548242761237176e-20,1.0139562370318104e-20,9.661532595254078e-14,6.94061458978318e-24
9.999999999999998e-08,0.4458392512377582,3.76,0.0,0.7127169482556633,0.9999999990200038,3.1012487294519337e-13,2.3181290080228135e-34,7.13233178304119e-24,1.314637626920842e-08,9.45913332403302e-10,3.600374940650245e-11,1.8645759500876956e-11,2.4605068506036037e-11,9.43726961777376e-10,2.5893556806013207e-12,9.235735229362768e-12,2.5840588562047514e-11,1.7543269032593265e-22,1.5894567554465976e-13,7.916484682477052e-25,7.489584342767539e-13,8.830767943950112e-13,4.574108838508224e-20,1.534144938522221e-20,1.2618755971999818e-13,1.0783524940338427e-23
