Time (s),Volume (m^3),N2,Ne,C2H6(1),O2(2),H2O(3),C(4),CH(5),CH3(18),C2H5(31),CH4(30),H(6),C2H4(29),HO2(12),H2(9),C2H5O2(40),CH3O2(36),C2H3(28),H2O2(13),C2H2(22),OH(8),CH2O(19),HCO(16),CO(14),O(7),CH2CHO(34),C2H5O(43),C2H(21),HCCO(20),C2H5O(101),C3H6(221),C3H6(74),CH3O(26),CH2CO(27),C3H6(55),C3H7(218),C3H7(49),C2H2O(140),CO2(15),C#CC(416),C3H5(219),C2H4(47),C3H4(2022),C3H4(2032),S(1627),CH2(S)(24),CH2(T)(17),S(3168),CH2O2(165),CHO2(212),C2H2O(189),CH3CO(33),C3H3(2030),C4H7(59),C4H7(2027),H2CC(23)
5.287629475612043e-18,0.37378458747827054,3.76,0.0,0.7172488172316648,0.9999999999999994,5.5989706393414915e-36,2.7464579734664943e-46,4.300872501751864e-30,3.414372823489141e-13,1.4290848328454596e-15,4.196098214536918e-20,7.728295646674697e-16,3.1266444455133927e-25,6.562552654642092e-16,9.753978775065383e-26,4.37572812396358e-28,2.4083183090967226e-26,4.999969842889827e-41,4.8219577885016745e-28,5.957212544217433e-50,4.460285354893714e-26,3.5922114082508634e-26,5.49603935333475e-40,1.7773943005991085e-39,9.006368804916273e-22,6.423503279138927e-52,3.8676939830072696e-29,2.6328160042772085e-69,7.535836353872966e-71,2.530971976436575e-37,3.7560579470718144e-55,9.93757275611618e-46,7.46443257325417e-27,1.2823756619057248e-55,2.344500966923192e-55,9.44063558402034e-50,1.2419595598092829e-48,1.216948153896192e-66,9.767187218442343e-40,3.4717415199562297e-68,4.835721654389554e-56,4.2270053497242847e-41,3.6651921610068206e-67,1.1445876020928039e-71,5.734883535698074e-73,4.1957847245272895e-20,3.051588325073153e-29,7.593078557756079e-45,1.5197087143315665e-43,1.639448080184656e-38,2.482276237785613e-68,8.905373255851818e-64,2.2731694132735876e-69,1.0255385142739984e-69,4.5928117677746815e-79,1.996370943039077e-39
1.0579852895164669e-17,0.3737845874782822,3.76,0.0,0.7172488172314925,0.9999999999999988,4.482580926663103e-35,2.198836361911266e-45,1.7214698388537788e-29,6.831712087246266e-13,2.859411274343732e-15,8.396469556796739e-20,1.5463305715899678e-15,1.2514726074571054e-24,1.3130806918915694e-15,3.9041334711410713e-25,1.7514315986087522e-27,9.639549490738164e-26,4.003016082996139e-40,1.93003975386076e-27,9.539301764381543e-49,1.7852765258615435e-25,1.4378207208241094e-25,4.400173312033136e-39,1.4229961847827926e-38,1.802088637918549e-21,1.0285974520209007e-50,1.5480855230036981e-28,8.432198706680034e-68,2.4144209351980775e-69,2.026316483968676e-36,6.016686169555749e-54,7.958420985089763e-45,2.9877183144195856e-26,2.053472438942543e-54,3.755566971849123e-54,7.616240481397574e-49,1.0094448339090797e-47,3.897510855823184e-65,7.819690104268944e-39,1.1122941357930776e-66,7.746158899660528e-55,3.3841744294823383e-40,1.1742719077457164e-65,3.6672022015004325e-70,1.836708479911853e-71,8.395214779779695e-20,1.2214305965549908e-28,6.079079827805674e-44,1.2166910156260195e-42,1.3125553037723666e-37,7.949972358843666e-67,2.853232011796015e-62,7.283122726203784e-68,3.2868689543899596e-68,2.9443769425055274e-77,1.598310635864131e-38
2.116429973426992e-17,0.3737845874783056,3.76,0.0,0.7172488172311479,0.9999999999999974,3.5874270897053936e-34,1.75973739137899e-44,6.888121661167116e-29,1.3666390614564842e-12,5.720064174880147e-15,1.6799095609151057e-19,3.0933325866627863e-15,5.007520565939999e-24,2.626731544754433e-15,1.5621619260988626e-24,7.008007750651118e-27,3.8570754023243462e-25,3.203629485460081e-39,7.722673008591617e-27,1.526909531180402e-47,7.143431533761083e-25,5.753155733220384e-25,3.5214759555633633e-38,1.1388294309364031e-37,3.6050893795263634e-21,1.6464258069846134e-49,6.194358404009959e-28,2.69945498373286e-66,7.730876431796552e-68,1.6216689677065417e-35,9.632297505231825e-53,6.370447509094995e-44,1.1954764923781008e-25,3.2868950348889933e-53,6.012401656192265e-53,6.185845260239649e-48,8.317689148095851e-47,1.2477280210371998e-63,6.258130986234964e-38,3.561485924390989e-65,1.2401062853953743e-53,2.7083679824332235e-39,3.759928520571998e-64,1.1742287170695402e-68,5.879949150435871e-70,1.6794074866660217e-19,4.887313370501424e-28,4.865111522381172e-43,9.737225836605313e-42,1.0504431313702889e-36,2.5450620487666066e-65,9.135966641150598e-61,2.3320372291242197e-66,1.0526220943230871e-66,1.8859955097921941e-75,1.279134271817255e-37
4.233319341248043e-17,0.3737845874783525,3.76,0.0,0.7172488172304586,0.9999999999999948,2.8704867275493216e-33,1.408057327694494e-43,2.755697181969804e-28,2.733574766841929e-12,1.144137004611245e-14,3.361188118519795e-19,6.187336621719713e-15,2.003334310576679e-23,5.25403325051273e-15,6.2496649288184204e-24,2.803659443051574e-26,1.543081315845977e-24,2.563390364911709e-38,3.089572073662509e-26,2.4435523843292165e-46,2.8578377657929364e-24,2.30163691765638e-24,2.817715805275215e-37,9.11236575811717e-37,7.211479769757584e-21,2.6348173567257436e-48,2.4781465837555493e-27,8.640103638834594e-65,2.4746378907952457e-66,1.297581468899737e-34,1.541616103596139e-51,5.098425064307832e-43,4.782684403275629e-25,5.260107986186856e-52,9.622638757684559e-52,5.093591389708813e-47,7.036795560552634e-46,3.9935690693058235e-62,5.007459361578596e-37,1.1400214732298592e-63,1.9847470917373554e-52,2.167105752354803e-38,1.2035387055428195e-62,3.758690614628454e-67,1.8819857537311952e-68,3.359179494592409e-19,1.9552435887370848e-27,3.89282856435719e-42,7.791259997065173e-41,8.405140657280532e-36,8.145913581851034e-64,2.924409502931882e-59,7.464820728755401e-65,3.3697099061080174e-65,1.2075475254712568e-73,1.023501768905422e-36
8.467098076890144e-17,0.37378458747844623,3.76,0.0,0.7172488172290803,0.9999999999999896,2.2966074276022293e-32,1.1265528981748201e-42,1.1023685766501411e-27,5.467446177299741e-12,2.288398206921496e-14,6.726758622264125e-19,1.2375344711478722e-14,8.013989541426891e-23,1.0508636662159605e-14,2.5000694343006934e-23,1.121555057518414e-25,6.1728275924831296e-24,2.050907063212487e-37,1.2359294106484369e-25,3.910081608559702e-45,1.1432281433773005e-23,9.207296980911782e-24,2.254386690019891e-36,7.290584818237853e-36,1.4425816178280064e-20,4.216136756397999e-47,9.913392055183404e-27,2.7651320062354e-63,7.920056215232287e-65,1.0381635913443516e-33,2.4669458597353795e-50,4.0804988629351105e-42,1.913229450881974e-24,8.417047572986992e-51,1.5398457955396496e-50,4.3052772196307775e-46,6.239760867350636e-45,1.2780763618850603e-60,4.00635385220929e-36,3.648639698501224e-62,3.1760575528837865e-51,1.733849010743717e-37,3.8519031613787e-61,1.202966345232647e-65,6.023028441819559e-67,6.718723472646319e-19,7.821610868159387e-27,3.114558820785339e-41,6.23359967523859e-40,6.724750375583172e-35,2.606967514945873e-62,9.359550795832791e-58,2.3891109681599021e-63,1.0785184218930628e-63,7.729937745241897e-72,8.188791714907986e-36
1.6934655548174346e-16,0.3737845874786336,3.76,0.0,0.7172488172263235,0.999999999999979,1.8373731648955973e-31,9.012852292440572e-42,4.4096536724976076e-27,1.0935188996963055e-11,4.5769207237971593e-14,1.3469953183889752e-18,2.4751360969577383e-14,3.205726348459033e-22,2.1017843485974487e-14,1.0000684704437535e-22,4.486402839086928e-25,2.469231493184828e-23,1.6408036270276636e-36,4.943918811928042e-25,6.256448945261079e-44,4.573098654070864e-23,3.683068666310041e-23,1.8035949854778402e-35,5.832744775757802e-35,2.8860711507546515e-20,6.7461622753113776e-46,3.96551734657607e-26,8.848920895136711e-62,2.5346142255531296e-63,8.305700621538095e-33,3.9474054201025206e-49,3.2665937087202163e-41,7.653229127608893e-24,1.3468020616618575e-49,2.4639317439002162e-49,3.8122841949807204e-45,5.967565053881763e-44,4.090058787595144e-59,3.2052448243143726e-35,1.16766715613309e-60,5.082063487521725e-50,1.3871447271948124e-36,1.2327021408657847e-59,3.849788372986602e-64,1.9274966037282456e-65,1.3437811277558687e-18,3.1287716438860037e-26,2.4917657692746656e-40,4.9871162370737285e-39,5.38005471645651e-34,8.342741006243363e-61,2.995286633659688e-56,7.645744564825285e-62,3.4515978556301232e-62,4.9476828629993444e-70,6.551344533693401e-35
3.3869770490742755e-16,0.37378458747900845,3.76,0.0,0.71724881722081,0.999999999999958,1.46993342186208e-30,7.210454985521797e-41,1.7638973042444968e-26,2.1870674631280435e-11,9.153966206569132e-14,2.7004556523666255e-18,4.9503393800097306e-14,1.28231670016158e-21,4.2036257135688766e-14,4.0003552984302795e-22,1.7945976916217096e-24,9.877126783054657e-23,1.3126741950921575e-35,1.977607759198152e-24,1.0010573391460402e-42,1.829276678256008e-22,1.473257447088367e-22,1.4429102595923601e-34,4.666306626721071e-34,5.775539221481612e-20,1.0794135237700902e-44,1.5862385438861105e-25,2.831747434674971e-60,8.11109119210521e-62,6.6447143854807e-32,6.316094943930431e-48,2.61653854713293e-40,3.0613538640482906e-23,2.1549571391033202e-48,3.9424322319057686e-48,3.638493558215727e-44,6.334956939646667e-43,1.30885286570402e-57,2.5642720608754336e-34,3.7367697896748623e-59,8.131603859378956e-49,1.1097415923618226e-35,3.944798632167983e-58,1.2319793217614271e-62,6.168318906097054e-64,2.687598628260167e-18,1.2515341088898466e-25,1.9934606115160375e-39,3.989787292067402e-38,4.3041443622034945e-33,2.669751299510467e-59,9.585285185410175e-55,2.4467326287869347e-60,1.104566096691255e-60,3.1666841778413896e-68,5.241200286489076e-34
6.774000037587957e-16,0.37378458747975807,3.76,0.0,0.717248817209783,0.999999999999916,1.17596069347566e-29,5.768435656650637e-40,7.055660579525242e-26,4.374164587987823e-11,1.8308058968195607e-13,5.426662006913913e-18,9.900746071842792e-14,5.129319554153659e-21,8.407308444345536e-14,1.6001584202556039e-21,7.178464147385064e-24,3.9508907911265257e-22,1.0501520369160043e-34,7.910511505113222e-24,1.6017122689091806e-41,7.317181145764199e-22,5.893089791949266e-22,1.154341943398048e-33,3.7330896799185225e-33,1.15644313823108e-19,1.7270839474594566e-43,6.345013384881554e-25,9.061823323914545e-59,2.5956087634525886e-60,5.315828468894996e-31,1.010598933704654e-46,2.098353440051874e-39,1.2245539459949422e-22,3.448036187618813e-47,6.308000435444282e-47,3.852567329298133e-43,7.565290714424619e-42,4.188382017341794e-56,2.0514665340199265e-33,1.1958493298234493e-57,1.3010824467098064e-47,8.878029622138999e-35,1.2623616194502507e-56,3.9424069827968356e-61,1.973995303684312e-62,5.375233387356114e-18,5.00618727114524e-25,1.5947885035424894e-38,3.1918670769255037e-37,3.4433538377887407e-32,8.543341927962545e-58,3.0673497079196243e-53,7.82969571828039e-59,3.5347027175561034e-59,2.0267311952379983e-66,4.193010400078213e-33
1.3548046014615319e-15,0.37378458748125737,3.76,0.0,0.7172488171877289,0.9999999999998319,9.407741369264622e-29,4.614781043501932e-39,2.822278257517465e-25,8.74835882969259e-11,3.6616251675778383e-13,1.0956217462231548e-17,1.9801559958425516e-13,2.0517387175989327e-20,1.6814673909234073e-13,6.40066642219476e-21,2.8714005498181013e-23,1.5803642644544054e-21,8.401269631634462e-34,3.1642206947814206e-23,2.5627564342334817e-40,2.9268873439778122e-21,2.357247951099015e-21,9.234790923362444e-33,2.9864895842765315e-32,2.3182039780514935e-19,2.7633529998022198e-42,2.5380139944884656e-24,2.899873714703148e-57,8.306091206248247e-59,4.252678206501744e-30,1.6169902179911522e-45,1.6868392689490617e-38,4.898240246152351e-22,5.517087927053631e-46,1.0092874057109742e-45,4.588852554565983e-42,1.0047901984286829e-40,1.3402896517472758e-54,1.641222228415644e-32,3.8271413024142266e-56,2.081757846722061e-46,7.102452274388811e-34,4.039610212463028e-55,1.2615805846386808e-59,6.31751330833569e-61,1.0750501937897801e-17,2.0024850215899956e-24,1.2758401136368322e-37,2.553507793834659e-36,2.754695388541895e-31,2.7339036737211566e-56,9.81560985778217e-52,2.5055270399622834e-57,1.131121737201927e-57,1.2971248146556003e-64,3.354428878804281e-32
2.7096137968670046e-15,0.37378458748425597,3.76,0.0,0.7172488171436208,0.9999999999996637,7.5262154194983075e-28,3.6918440032362387e-38,1.1289139106621477e-24,1.7496747281042956e-10,7.323266582826086e-13,2.2323899356599957e-17,3.9603189743259704e-13,8.206979423833362e-20,3.362940485235204e-13,2.5602732285353642e-20,1.1485633698020011e-22,6.321472412957797e-21,6.721041220059669e-33,1.2656914956672636e-22,4.100424963067835e-39,1.1707579139784626e-20,9.429016141462216e-21,7.387855581899974e-32,2.3891989456724557e-31,4.657655287546379e-19,4.4213824226321306e-41,1.015204764813057e-23,9.280080805066772e-56,2.658002704290535e-57,3.402136973088046e-29,2.587251263271902e-44,1.3625059968447358e-37,1.9593007199549896e-21,8.827992592073306e-45,1.6148613237815398e-44,6.081945343293565e-41,1.4431366618990216e-39,4.288932019380439e-53,1.3130444982026008e-31,1.2249389852385806e-54,3.3308501594891024e-45,5.681956967312724e-33,1.2926910094454753e-53,4.0370657625854226e-58,2.02205047313588e-59,2.1501035168383485e-17,8.009959880425279e-24,1.0206779032700218e-36,2.042810663822592e-35,2.2037564045895745e-30,8.748624732913862e-55,3.141007936483316e-50,8.0177268697164625e-56,3.6196311015900105e-56,8.301650001719797e-63,2.683552110973064e-31
5.41923218767795e-15,0.3737845874902532,3.76,0.0,0.7172488170554046,0.9999999999993274,6.0209812579337334e-27,2.953492727761561e-37,4.515659278024895e-24,3.4993524055507027e-10,1.464656090824743e-12,4.62935470709965e-17,7.920645735962161e-13,3.2827988894381693e-19,6.725886679195165e-13,1.0241107124740796e-19,4.594261152525995e-22,2.5285916034923408e-20,5.376849870209032e-32,5.062772411788068e-22,6.560695595756072e-38,4.683037602665596e-20,3.771611538702581e-20,5.910294711085796e-31,1.9113622951889324e-30,9.400276419838456e-19,7.074234537135307e-40,4.060796904787054e-23,2.969921375237735e-54,8.505890202913582e-56,2.7216885183582783e-28,4.13978795278081e-43,1.1108538332382023e-36,7.837209955207992e-21,1.4126806917456181e-43,2.5837652364658517e-43,8.722932692247519e-40,2.1773936727386834e-38,1.3724547693002018e-51,1.0505376679681737e-30,3.9214012926794677e-53,5.329444288692361e-44,4.5455375806747687e-32,4.1366828592699965e-52,1.291856759080009e-56,6.473385377785917e-58,4.300208614698929e-17,3.203987565194196e-23,8.165479883983215e-36,1.6342483438768642e-34,1.7629974275098645e-29,2.7996312166982815e-53,1.0051234680784345e-48,2.5656798756992728e-54,1.1582979140760675e-54,5.313068885012113e-61,2.146846547005501e-30
