Time (s),Volume (m^3),N2,Ne,C2H6(1),O2(2),H2O(3),C(4),CH(5),CH3(18),C2H5(31),CH4(30),H(6),C2H4(29),HO2(12),H2(9),C2H5O2(40),CH3O2(36),C2H3(28),H2O2(13),C2H2(22),OH(8),CH2O(19)
1e-11,0.20262373985444002,3.76,0.0,0.6584162824987334,0.9999999999999403,5.610306456479602e-25,1.7066799107074505e-49,4.4561817007828737e-32,2.332507846135195e-13,5.990719469916979e-14,1.2109964119184375e-19,1.065100655388381e-16,2.631274155869219e-19,5.980148558142571e-14,4.518275510592749e-21,4.086419106744605e-19,3.439124701711983e-19,2.6274810318448484e-34,1.906096905093374e-21,4.613975462133154e-40,3.651753783156563e-21,3.6523147826137e-21
1.6383e-11,0.20262373985444002,3.76,0.0,0.6584162824986207,0.9999999999999021,1.7630533586603437e-24,5.4952310313645366e-49,1.0713192184535659e-31,3.821423009484625e-13,9.81475682833346e-14,2.91390803281851e-19,1.745799526916781e-16,6.331402610946027e-19,9.797491555948399e-14,1.0875085347873395e-20,9.83263995683228e-19,8.275188732976433e-19,8.257193595382665e-34,4.586469833683395e-21,1.7119575794908548e-39,8.786462485710583e-21,8.78822544105563e-21
3.2767e-11,0.20262373985444715,3.76,0.0,0.6584162824983315,0.999999999999804,1.410290653799662e-23,5.083734570824668e-48,4.269766039896763e-31,7.643180499107262e-13,1.96301687413691e-13,1.1656419400576822e-18,3.4968323826605144e-16,2.5327531703292847e-18,1.9595971331545099e-13,4.355754686660842e-20,3.93309926932834e-18,3.310201478428763e-18,6.606434876601541e-33,1.834722321821028e-20,2.7394282199128653e-38,3.514117532161547e-20,3.515527744397726e-20
6.5535e-11,0.20262373985446144,3.76,0.0,0.658416282497753,0.9999999999996081,1.1278511073952642e-22,5.159493042927896e-47,1.6954466720067344e-30,1.5286627816798585e-12,3.9260206975564336e-13,4.662707526451269e-18,7.014103784646992e-16,1.013148488119302e-17,3.919314944938174e-13,1.746694515533515e-19,1.5731089958649988e-17,1.3240422136924662e-17,5.285587893601211e-32,7.339193067030001e-20,4.383456853773111e-37,1.4051255669581532e-19,1.4062533553283753e-19
9.999999999999999e-11,0.2026237398544901,3.76,0.0,0.6584162824971446,0.9999999999994019,5.276266753804442e-22,3.3229026873946104e-46,4.318779838138075e-30,2.332577419991614e-12,5.990520016568176e-13,1.2019052163833195e-17,1.0745494249528214e-15,2.611661770087682e-17,5.98056925894486e-13,4.520702742953102e-19,4.054251911373171e-17,3.4126526556263964e-17,2.474554616800357e-31,1.8918576295288305e-19,3.896580589839618e-36,3.6196210186770776e-19,3.6248969917322137e-19
1.31071e-10,0.2026237398544901,3.76,0.0,0.658416282496596,0.9999999999992161,9.016160052791228e-22,5.853436520743129e-46,6.683775770384321e-30,3.057325185173234e-12,7.851714223474136e-13,1.865096814317728e-17,1.4109429637148248e-15,4.0527587143511254e-17,7.838838018280468e-13,7.021535751342889e-19,6.291060021854949e-17,5.2955836012619446e-17,4.228915166761059e-31,2.935765989561368e-19,7.014259879453672e-36,5.616040231802241e-19,5.625055889939198e-19
2.62143e-10,0.20262373985454726,3.76,0.0,0.658416282494282,0.9999999999984318,7.202092257800963e-21,7.376613669039697e-45,2.5981303830162605e-29,6.1145417885779574e-12,1.5701845717374168e-12,7.46030170278476e-17,2.8542896219598955e-15,1.621192642603593e-16,1.5678234148802983e-12,2.8363184541026958e-18,2.5152578587999725e-16,2.1177097576115158e-16,3.3837404753622015e-30,1.1743465646232473e-18,1.1224780639702952e-34,2.2427955318551563e-18,2.2499972225630816e-18
3.93215e-10,0.2026237398546045,3.76,0.0,0.6584162824919679,0.9999999999976473,2.0575646859907196e-20,2.6145103299160057e-44,5.413895661329363e-29,9.17165022498212e-12,2.3550722578207133e-12,1.5852960377690655e-16,4.32188607534371e-15,3.445153262723591e-16,2.3517980447698305e-12,6.067811643156876e-18,5.343192493585955e-16,4.499348648984291e-16,9.676480754352343e-30,2.4955367920063695e-18,4.131841210329544e-34,4.760616071574549e-18,4.781190570191197e-18
5.24287e-10,0.2026237398546617,3.76,0.0,0.6584162824896539,0.9999999999968626,4.336587781868518e-20,6.688849002182897e-44,9.071874728516841e-29,1.2228650530951224e-11,3.1398345729960727e-12,2.7042973893812823e-16,5.813700670273347e-15,5.877206805501214e-16,3.1358077099298432e-12,1.0414741153046113e-17,9.112131663361707e-16,7.674119564385068e-16,2.04129709243246e-29,4.2571669240726755e-18,1.0480227987462671e-33,8.11269277346123e-18,8.156056229184757e-18
7.864310000000001e-10,0.20262373985477608,3.76,0.0,0.6584162824850255,0.9999999999952927,1.1829060842831312e-19,2.5326303081399453e-43,1.8236981588602093e-28,1.8342397480743445e-11,4.709065251781751e-12,5.598791467165803e-16,8.854070317504622e-15,1.2168622786141493e-15,4.703909322985779e-12,2.1782540114102245e-17,1.8856078358226406e-15,1.5883991626282618e-15,5.576870324619595e-29,8.814173674398778e-18,3.665717729826079e-33,1.676745964660585e-17,1.6885743638932838e-17
9.999999999999999e-10,0.20262373985489043,3.76,0.0,0.6584162824812547,0.9999999999940133,2.19250279784757e-19,5.697195580039165e-43,2.774686304025941e-28,2.332298001100254e-11,5.9871789425513534e-12,8.717303756432916e-16,1.1396702750789652e-14,1.8947570765309828e-15,5.981538753129505e-12,3.41870148064115e-17,2.9347711896532127e-15,2.472643125276471e-15,1.0348959108624642e-28,1.3724172981504536e-17,7.925694016694408e-33,2.6071827505960906e-17,2.6291065509974022e-17
1.0485750000000002e-09,0.20262373985489043,3.76,0.0,0.6584162824803971,0.9999999999937221,2.472160982978597e-19,6.623278485662138e-43,3.016589417537636e-28,2.4455747099881696e-11,6.277835663315414e-12,9.52189054360362e-16,1.198323632385237e-14,2.069662027010078e-15,6.272139926059491e-12,3.740227878371814e-17,3.205397852597455e-15,2.700754235798049e-15,1.1671431166007925e-28,1.4990998409486492e-17,9.161228381977825e-33,2.8470468677377513e-17,2.871767093154474e-17
1.3107190000000003e-09,0.20262373985500473,3.76,0.0,0.6584162824757686,0.9999999999921507,4.495160691867554e-19,1.4492455468407097e-42,4.48088593000842e-28,3.056867125165707e-11,7.846113547004089e-12,1.4547000342687543e-15,1.5207330580731596e-14,3.1621281991630772e-15,7.840508855480466e-12,5.769817499655834e-17,4.89473553220949e-15,4.1250519145132696e-15,2.125254288944763e-28,2.2903473946638615e-17,1.9440058631691645e-32,4.3423739494435757e-17,4.387323035933184e-17
1.8350070000000003e-09,0.20262373985523338,3.76,0.0,0.6584162824665112,0.9999999999890051,1.1830419068971344e-18,5.316466930207616e-42,8.097975893561518e-28,4.279321807934047e-11,1.0981164952465904e-11,2.7972026806750848e-15,2.1944844417076634e-14,6.081335094352185e-15,1.0977671211186445e-11,1.1342540394807747e-16,9.40176013355286e-15,7.927463936487029e-15,5.61468761459035e-28,4.40452938048516e-17,7.12623027038132e-32,8.317971257027466e-17,8.436268792231256e-17
2.3592950000000004e-09,0.2026237398554619,3.76,0.0,0.6584162824572534,0.9999999999858563,2.44562747433293e-18,1.3659218166750873e-41,1.252258704923051e-27,5.5016040535009127e-11,1.4114225192357996e-11,4.5871907270523315e-15,2.906475025666771e-14,9.974445477461518e-15,1.4115397226815022e-11,1.899527238539144e-16,1.5401912703182863e-14,1.2993266251020722e-14,1.1646912917210264e-27,7.223850209363246e-17,1.8512739888695101e-31,1.3590272902626804e-16,1.3834821850279773e-16
3.4078710000000005e-09,0.20262373985591867,3.76,0.0,0.6584162824387363,0.9999999999795485,7.298499835076112e-18,5.705708849443865e-41,2.3108882922297247e-27,7.945652504976151e-11,2.0374403079912457e-11,9.509109365603878e-15,4.4441321569145574e-14,2.068356151863021e-14,2.0392545984308997e-11,4.112587532733401e-16,3.185559401384902e-14,2.6902851188901038e-14,3.503782024164961e-27,1.4978264936630442e-16,8.215128529554549e-31,2.794940658466271e-16,2.86792150959121e-16
4.4564470000000005e-09,0.2026237398563751,3.76,0.0,0.6584162824202173,0.9999999999732274,1.6005591936005895e-17,1.547968618475692e-40,3.5507735675985206e-27,1.0389014139518138e-10,2.6626688384394363e-11,1.6219949545382902e-14,6.132306246791626e-14,3.529150879289361e-14,2.667196318183884e-11,7.295688856774772e-16,5.422102392507013e-14,4.583772879007235e-14,7.737068940721548e-27,2.555438874230307e-16,2.3169536785184114e-30,4.731852740260124e-16,4.891899509924128e-16
6.553599000000001e-09,0.20262373985728693,3.76,0.0,0.6584162823831736,0.9999999999605458,5.064406461680197e-17,6.783101295923816e-40,6.317128313036998e-27,1.5273686542102842e-10,3.910781897898233e-11,3.500571755858782e-14,9.952141173278498e-14,7.621629536538446e-14,3.923764991087703e-11,1.703175301347669e-15,1.1648600654959615e-13,9.869027464617873e-14,2.487977654292302e-26,5.517692454586853e-16,1.1280952735974224e-29,1.0051264347507632e-15,1.0557675632181701e-15
8.4410358e-09,0.20262373985810642,3.76,0.0,0.6584162823498274,0.9999999999490873,1.0571480392144104e-16,1.6943106896947444e-39,9.026058719317958e-27,1.9667561132105205e-10,5.0314297952997256e-11,5.802595370487727e-14,1.3889376914119949e-13,1.2640643515882305e-13,5.055461589468991e-11,2.998877319636545e-15,1.9235821977888743e-13,1.632658665874506e-13,5.255572464157907e-26,9.149749611719663e-16,2.9763759927255937e-29,1.6443504146981632e-15,1.7500590261730832e-15
9.999999999999999e-09,0.20262373985892485,3.76,0.0,0.6584162823222798,0.999999999939591,1.7315114031089324e-16,3.147058799235428e-39,1.1332525104473706e-26,2.3295108842431617e-10,5.955175572702145e-11,8.140478967194107e-14,1.7490978662166254e-13,1.774161435318876e-13,5.990772727228859e-11,4.409742750777181e-15,2.6901455034954705e-13,2.28669714945174e-13,8.694911679301477e-26,1.284034490051142e-15,5.75450175792658e-29,2.282027349394487e-15,2.455168258812393e-15
1.03284726e-08,0.20262373985892485,3.76,0.0,0.658416282316475,0.9999999999375865,1.8989270088459105e-16,3.5239510395154645e-39,1.1826454793022783e-26,2.405923933296894e-10,6.14959181228563e-11,8.6834353112838e-14,1.8290170177884068e-13,1.8926631531255474e-13,6.187907271769785e-11,4.746319452333667e-15,2.8678009045385633e-13,2.438426054194944e-13,9.552668224426797e-26,1.3697642515315782e-15,6.484262237488402e-29,2.4290434743288678e-15,2.6189249377789257e-15
1.22159094e-08,0.20262373985974202,3.76,0.0,0.6584162822831162,0.9999999999260436,3.086600844774722e-16,6.457377687948961e-39,1.4665512074535926e-26,2.844873123481584e-10,7.265292562628259e-11,1.214281646811353e-13,2.314625300534373e-13,2.6480893788532935e-13,7.321106895632487e-11,6.992548827000436e-15,3.9954231498785803e-13,3.4032242183867215e-13,1.570731265741373e-25,1.916194897905015e-15,1.23852126444299e-28,3.353641899011832e-15,3.662283535616036e-15
1.4103346199999998e-08,0.20262373986055823,3.76,0.0,0.6584162822497508,0.9999999999144589,4.675154626116627e-16,1.0836391218354658e-38,1.7517611030792424e-26,3.283604729118157e-10,8.378557373948233e-11,1.618045354265015e-13,2.844915098658678e-13,3.530476678051037e-13,8.455065448811857e-11,9.785735972112823e-15,5.304291289790159e-13,4.5260371727681333e-13,2.4063810883531755e-25,2.554327518869999e-15,2.158777305347183e-28,4.4125627821379136e-15,4.880050027960185e-15
1.7878219799999997e-08,0.20262373986218746,3.76,0.0,0.6584162821830005,0.9999999998911654,9.241163681465094e-16,2.53561226039319e-38,2.323551577741045e-26,4.1604189044782554e-10,1.0597868344963987e-10,2.5989478968115507e-13,4.0365735323047775e-13,5.676604079471325e-13,1.0725276843714124e-10,1.7181286016070395e-14,8.45814896248249e-13,7.242094354313931e-13,4.8632680856181905e-25,4.1059182441880095e-15,5.394161041741644e-28,6.914445060663077e-15,7.838504586448077e-15
2.1653093399999995e-08,0.2026237398638124,3.76,0.0,0.658416282116224,0.9999999998677077,1.6000902834284493e-15,5.045251480575943e-38,2.893579285964821e-26,5.036374705673037e-10,1.2807721567623032e-10,3.8108254724679036e-13,5.397463547987262e-13,8.332080857786568e-13,1.2998580028268958e-10,2.730318500017286e-14,1.2312539525477957e-12,1.0578583618709356e-12,8.605869045450306e-25,6.025027528612618e-15,1.1338970637774014e-27,9.893627812683572e-15,1.1493617834127986e-14
2.5427966999999994e-08,0.2026237398654333,3.76,0.0,0.6584162820494206,0.999999999844088,2.5349504829031914e-15,9.016641363285306e-38,3.461911711506686e-26,5.911480738028266e-10,1.500831974209608e-10,5.253441935088463e-13,6.920915531139576e-13,1.149796990620674e-12,1.5275014538994193e-10,4.0528791230971646e-14,1.685006788766883e-12,1.4527142722996604e-12,1.3933885476727057e-24,8.312179829407299e-15,2.127750299567209e-27,1.3309899194173916e-14,1.5844687872186888e-14
3.0336131007382316e-08,0.2026237398675347,3.76,0.0,0.658416281962521,0.9999999998131387,4.192794325883984e-15,1.7157548048868944e-37,4.20051665956704e-26,7.048053366749515e-10,1.785605099587043e-10,7.473833416785715e-13,9.134754467970026e-13,1.6379207031212852e-12,1.8239621585052626e-10,6.293408455949945e-14,2.3744589221566993e-12,2.0563304740170035e-12,2.3723958762040703e-24,1.1837205195867361e-14,4.291974420738123e-27,1.8349137397154556e-14,2.254165745070207e-14
3.524429501476464e-08,0.2026237398696296,3.76,0.0,0.6584162818755745,0.9999999997819237,6.412357986801309e-15,2.9717733925675794e-37,4.9388564624930523e-26,8.18322073532614e-10,2.0688851964066666e-10,1.0083439899246045e-12,1.1600295081846985e-12,2.212705217749108e-12,2.1209660452516443e-10,9.188754274661888e-14,3.1732087093085385e-12,2.7603770759184067e-12,3.735328176252928e-24,1.598644442314796e-14,7.831340117373895e-27,2.4000690576676422e-14,3.041261867878392e-14
4.015245902214696e-08,0.20262373987171783,3.76,0.0,0.6584162817885809,0.9999999997504467,9.255504920061182e-15,4.79385279671799e-37,5.67628738011509e-26,9.317000173743814e-10,2.3507110606172804e-10,1.3081780648098591e-12,1.43051748834789e-12,2.8743505983924117e-12,2.418520535619272e-10,1.2808217377981662e-13,4.077884441132245e-12,3.563170564986007e-12,5.548955335748015e-24,2.076104819574804e-14,1.3225315301120232e-26,3.02012731983367e-14,3.945614241264244e-14
4.506062302952928e-08,0.20262373987379984,3.76,0.0,0.6584162817015391,0.9999999997187128,1.2777073980880112e-14,7.3183816280677474e-37,6.412616947148597e-26,1.0449408564863862e-09,2.631119768689556e-10,1.646838529528531e-12,1.7237728247771027e-12,3.623046412673979e-12,2.7166326646938496e-10,1.721694360675681e-13,5.08524932145377e-12,4.463071073549194e-12,7.881000513366781e-24,2.616217360778222e-14,2.1034935980088312e-26,3.689465500500675e-14,4.967083022689117e-14
4.99687870369116e-08,0.20262373987587565,3.76,0.0,0.6584162816144488,0.9999999996867255,1.702668263723521e-14,1.0693212596526689e-36,7.148027115207917e-26,1.1580462645606759e-09,2.910147446879153e-10,2.0242785755964537e-12,2.038672159032821e-12,4.458975911928049e-12,3.0153092358954697e-10,2.2477441248646136e-13,6.192136544953697e-12,5.458453092977819e-12,1.0800913090743618e-23,3.219099942015571e-14,3.1898807273813814e-26,4.402983389188372e-14,6.105529039805569e-14
5.4876951044293924e-08,0.20262373987794546,3.76,0.0,0.658416281527309,0.9999999996544889,2.2049723331209954e-14,1.5074405861185755e-36,7.882636887696425e-26,1.2710178888713397e-09,3.187829153296384e-10,2.44045198384927e-12,2.3741359690982734e-12,5.382315604720208e-12,3.314556808990658e-10,2.864959645507465e-13,7.395463014057351e-12,6.54771692595866e-12,1.4379062903154837e-23,3.8848711916211396e-14,4.651766401823175e-26,5.156005022237527e-14,7.36081486524731e-14
6.469327905905857e-08,0.2026237398820677,3.76,0.0,0.6584162813528799,0.9999999995892838,3.456705809348133e-14,2.7548308462051342e-36,9.349338745009899e-26,1.4965662062231111e-09,3.739287214607052e-10,3.3888174658985405e-12,3.1027623460095395e-12,7.491880843295187e-12,3.914789404204671e-10,4.3948953389100045e-13,1.0079697161329378e-11,9.001656761085692e-12,2.3801825373311147e-23,5.40556426601036e-14,9.040027202880142e-26,6.764927148016115e-14,1.0221366444767344e-13
7.352797427234674e-08,0.20262373988575869,3.76,0.0,0.6584162811957198,0.9999999995297849,4.8828831308357903e-14,4.401372340692385e-36,1.0666444254747758e-25,1.6991180604124385e-09,4.2313208111478565e-10,4.3743636142358474e-12,3.8191621728932006e-12,9.691023453895347e-12,4.457011044960333e-10,6.136877358261477e-13,1.2796520289744203e-11,1.1515833498419366e-11,3.5274769347188394e-23,6.990490463532749e-14,1.518044943556047e-25,8.31162271466661e-14,1.3194114142157866e-13
8.23626694856349e-08,0.20262373988943233,3.76,0.0,0.6584162810383927,0.999999999469537,6.609413077363531e-14,6.663481116713637e-36,1.1980842399582357e-25,1.90126077187582e-09,4.719482303370846e-10,5.484714130039128e-12,4.5877481946517364e-12,1.2175744384849923e-11,5.001171615189754e-10,8.253280861779888e-13,1.5782282322374788e-11,1.4310582686756401e-11,5.004954507713451e-23,8.781088556196201e-14,2.4063498149465466e-25,9.934503658935173e-14,1.654336559723214e-13
9.119736469892307e-08,0.20262373989308968,3.76,0.0,0.6584162808808958,0.9999999994085602,8.649335278610442e-14,9.663303557833949e-36,1.329264071604463e-25,2.103002995403499e-09,5.20393629349514e-10,6.719619335708906e-12,5.403863353178916e-12,1.4946803205506325e-11,5.547300105813654e-10,1.076920698252623e-12,1.902216169067798e-11,1.7377506546457566e-11,6.859206959724858e-23,1.0778097083540713e-13,3.642975552139363e-25,1.16197918350573e-13,2.0268378093997886e-13
9.999999999999998e-08,0.20262373989673135,3.76,0.0,0.6584162807237993,0.999999999347099,1.1004161416636144e-13,1.3513309006999508e-35,1.4597144914744935e-25,2.303623162152411e-09,5.683098972409846e-10,8.07367794472905e-12,6.260035845917452e-12,1.7993274708380426e-11,6.093430605261144e-10,1.36960566809684e-12,2.24890683186933e-11,2.0695896815678462e-11,9.129289363640825e-23,1.29738911756235e-13,5.305010881627243e-25,1.3349695960968468e-13,2.4352868769433526e-13
1.0003205991221124e-07,0.20262373989673135,3.76,0.0,0.6584162807232268,0.9999999993468739,1.1013336680074624e-13,1.3529062538282604e-35,1.4601891415435973e-25,2.304353135595555e-09,5.684837854755814e-10,8.078834798232393e-12,6.263227741874445e-12,1.800489177501979e-11,6.095423306487346e-10,1.3707508435897948e-12,2.250211441710156e-11,2.0708452089101333e-11,9.138387746018947e-23,1.298226522722398e-13,5.311959127223896e-25,1.3356077308668243e-13,2.4368424425452277e-13
1.0886675512549941e-07,0.2026237399003581,3.76,0.0,0.6584162805653841,0.999999999284497,1.3710151646167835e-13,1.839413124563675e-35,1.5908625244887325e-25,2.505319353509451e-09,6.162333139573038e-10,9.562121205704194e-12,7.161908444808606e-12,2.1350637502456848e-11,6.645565954709635e-10,1.7088974721284828e-12,2.6208832425708483e-11,2.4295504597024734e-11,1.1892198643784448e-22,1.5394351801962702e-13,7.507570208023925e-25,1.5133917888476773e-13,2.8842792529462047e-13
1.1770145033878758e-07,0.20262373990397062,3.76,0.0,0.6584162804073661,0.9999999992214474,1.6746889806132229e-13,2.439629659319478e-35,1.7212895437186015e-25,2.7059095735223503e-09,6.636559925593274e-10,1.1169244222656605e-11,8.096292832814608e-12,2.4984606227638896e-11,7.197750868308064e-10,2.0932495555397852e-12,3.0129705527260446e-11,2.813098090991236e-11,1.5171894171661533e-22,1.8015124546459277e-13,1.0334655795166796e-24,1.6945510852547266e-13,3.3690785060907887e-13
1.3537084076536391e-07,0.20262373991115556,3.76,0.0,0.6584162800907971,0.9999999990933991,2.3861944276283156e-13,4.038137842047185e-35,1.9814249766315205e-25,3.1059925759385025e-09,7.575720208370198e-10,1.4754086733494796e-11,1.0059181629340876e-11,3.311918475718974e-11,8.308329884078934e-10,3.0072626953831655e-12,3.856675269298424e-11,3.651758902781735e-11,2.3521708710233134e-22,2.388584037634324e-13,1.8357360344791076e-24,2.0645444027632513e-13,4.4504924972718497e-13
1.5304023119194025e-07,0.20262373991829122,3.76,0.0,0.6584162797735095,0.9999999989628591,3.239240092306861e-13,6.265074839247068e-35,2.2406422561651576e-25,3.5046610705310737e-09,8.503272452341648e-10,1.8831581536982017e-11,1.2128488539261964e-11,4.241202898475031e-11,9.42730911600669e-10,4.124657994533863e-12,4.772496831863707e-11,4.581118183548092e-11,3.4628853985272265e-22,3.060070884238314e-13,3.0442579221449986e-24,2.4416709268472375e-13,5.680554306204847e-13
1.7070962161851659e-07,0.20262373992538218,3.76,0.0,0.6584162794554951,0.9999999988299483,4.236048706356898e-13,9.240349342443543e-35,2.498963848685531e-25,3.901970634924887e-09,9.420067254330935e-10,2.3400018265724646e-11,1.4284463206820422e-11,5.286573135646095e-11,1.0554814106407143e-09,5.4551597344184955e-12,5.752500049505053e-11,5.595794228674393e-11,4.895898960259351e-22,3.816612867319391e-13,4.784331406502793e-24,2.823202107654087e-13,7.058754650423673e-13
