Time (s),Volume (m^3),N2,Ne,C2H6(1),O2(2),H2O(3),C(4),CH(5),CH3(18),C2H5(31),CH4(30),H(6),C2H4(29),HO2(12),H2(9),C2H5O2(40),CH3O2(36),C2H3(28),H2O2(13),C2H2(22),OH(8),CH2O(19),HCO(16),CO(14),O(7),CH2CHO(34),C2H5O(43),C2H(21),HCCO(20),C2H5O(101),C3H6(221),C3H6(74),CH3O(26),CH2CO(27),C3H6(55),C3H7(218)
2.351550337894061e-12,0.08995120697371575,3.76,0.0,0.8221141273382192,0.9999999999986742,4.983507846016527e-23,2.7201656957144748e-43,1.1001684319134692e-27,1.734423799761939e-11,1.3473431839764952e-12,2.1866469334513038e-17,2.1507370891914988e-14,8.402747010189472e-18,1.3258329238309574e-12,1.1537662049559178e-18,4.756733292845846e-18,1.6980405647920645e-17,1.6635070184656551e-31,1.0591541242221346e-19,3.432035934561597e-37,4.3222173738964375e-19,3.6477552347871545e-19,2.843339868617965e-29,1.6923234982234653e-30,9.167304392304948e-20,2.7627228869818656e-36,1.8450789686876962e-21,1.2518847723623227e-55,2.9557914357982177e-54,5.2435477537240263e-23,3.6402514791582943e-45,9.62686129574347e-36,2.1341506956187567e-20,2.5167154845018267e-40,1.939391518584576e-44,9.668251255862139e-37
4.703132571163464e-12,0.08995120697385588,3.76,0.0,0.8221141273281996,0.9999999999973482,3.986609645615308e-22,2.4580348101032833e-42,4.3935728938746326e-27,3.468863278049445e-11,2.6947245740699314e-12,8.746659752015182e-17,4.3025318815568035e-14,3.361180535107483e-17,2.651687696144842e-12,4.6160576828226235e-18,1.9026200516976375e-17,6.79194052855473e-17,1.330830691494267e-30,4.236664695276899e-19,5.4913643963330434e-36,1.7287911923065352e-18,1.4591403548251521e-18,2.274590609369006e-28,1.355548845362347e-29,3.6483797046614093e-19,4.4204517809089194e-35,7.165604103591865e-21,4.2393707705849755e-54,9.730950952375342e-53,4.0763040227284997e-22,1.1409972616030073e-43,1.5403502061245924e-34,8.535601883811061e-20,4.144280109561716e-39,3.0165935167607486e-43,1.5468980647940402e-35
9.40629703770227e-12,0.08995120697413603,3.76,0.0,0.8221141273081601,0.9999999999946962,3.1889163418633046e-21,2.414703196592883e-41,1.7517474739960904e-26,6.9377186970557e-11,5.3895471574940404e-12,3.498668130552944e-16,8.609206403114924e-14,1.3445170810493015e-16,5.3034088409734114e-12,1.8471890843830878e-17,7.609778069301121e-17,2.7165573958846457e-16,1.0646857344701938e-29,1.6946785792821216e-18,8.78635762595175e-35,6.9142932229311895e-18,5.836772038843667e-18,1.8195082978994764e-27,1.0871237308557834e-28,1.4557841728916352e-18,7.072892547743679e-34,2.707877589378236e-20,1.5058432731319416e-52,3.288247422919167e-51,3.085723006483895e-21,3.5072699591278175e-42,2.4646608481830072e-33,3.4133882310586773e-19,7.006851792760197e-38,4.572624471035712e-42,2.474898641068941e-34
1e-11,0.08995120697441622,3.76,0.0,0.8221141273056303,0.9999999999943615,3.937332620758764e-21,3.089181133747694e-41,1.9994699336824315e-26,7.375605949210795e-11,5.729735061178202e-12,3.9955273470689164e-16,9.153247893253382e-14,1.535465100905612e-16,5.638149758298447e-12,2.1096570504576656e-17,8.690339832090447e-17,3.102304906352906e-16,1.314594361469284e-29,1.935348329278202e-18,1.1759665306405323e-34,7.896055267462086e-18,6.66571115552807e-18,2.246543820169898e-27,1.3428692828824384e-28,1.6622645945110904e-18,9.466366153765664e-34,3.064962164067714e-20,2.2217303492040888e-52,4.8092128259647853e-51,3.775763524197264e-21,5.1070106014853445e-42,3.339722910398769e-33,3.8979777744478904e-19,9.461955098287097e-38,6.142997734198513e-42,3.3535423739563843e-34
1.4109461504241077e-11,0.08995120697441622,3.76,0.0,0.8221141272881204,0.9999999999920441,9.1176805094828e-21,7.75774655149553e-41,3.714142044929914e-26,1.040655058011676e-10,8.084429551817244e-12,7.434660976110576e-16,1.2918965267782477e-13,2.857158922128393e-16,7.955141589226432e-12,3.9263938214947543e-17,1.6169714619024365e-16,5.77235145368881e-16,3.04439856904117e-29,3.601203370689036e-18,3.2340147852424494e-34,1.4691563433213022e-17,1.240341772884625e-17,5.202375525846553e-27,3.11307520684645e-28,3.0914697659670187e-18,2.603338412399424e-33,5.536611131028441e-20,7.176919336499199e-52,1.5336950044772994e-50,8.552049182155011e-21,1.618001007094293e-41,9.396680828513644e-33,7.252183834341332e-19,2.645555823604328e-37,1.7012723644410062e-41,9.435291709127986e-34
1.8812625970779885e-11,0.08995120697469641,3.76,0.0,0.8221141272680806,0.9999999999893919,1.9230618592706018e-20,1.8346696750140946e-40,6.322857068926794e-26,1.387535892885554e-10,1.0779371764699384e-11,1.2682635611055885e-15,1.7231807881983007e-13,4.874068527132569e-16,1.0606885944127035e-11,6.699716284569197e-17,2.758194376190596e-16,9.846423613079712e-16,6.421735504294597e-29,6.143243530630716e-18,8.20235936897778e-34,2.506000695104949e-17,2.1159185196076453e-17,1.0972771780338704e-26,6.5756639883448275e-28,5.27201769756375e-18,6.602833350410999e-33,9.121757786918384e-20,2.2709385803360277e-51,4.6594545655146935e-50,1.754355735774604e-20,5.06200378185701e-41,2.5282852858028626e-32,1.2369377005194607e-18,6.862429075498423e-37,4.486417102512762e-41,2.5385781875617674e-33
2.82189549038575e-11,0.08995120697525676,3.76,0.0,0.8221141272280008,0.999999999984087,5.251925024103109e-20,6.214819020670481e-40,1.3045815555183567e-25,2.081292039775133e-10,1.6169396604712307e-11,2.6257698207249278e-15,2.5864728640994217e-13,1.0091450694027194e-15,1.5910401904015596e-11,1.3876952200533338e-16,5.709905112951375e-16,2.0383930967795702e-15,1.7541598273164216e-28,1.2718847870304631e-17,2.868618728451762e-33,5.1876374199464444e-17,4.380877458581952e-17,2.996754513911614e-26,1.800695934942196e-27,1.0912253133743368e-17,2.3092709530852963e-32,1.7846474546091797e-19,1.1757747639651748e-50,2.106126896109897e-49,4.579665404249176e-20,2.5830628941665217e-40,1.0226383292890385e-31,2.5602317894253163e-18,2.490055775829272e-36,1.7594218758573473e-40,1.026739839880251e-32
3.7625283836935115e-11,0.0899512069758171,3.76,0.0,0.8221141271879204,0.9999999999787815,1.0987754160284376e-19,1.527954690070502e-39,2.2115223440326433e-25,2.7750395336023077e-10,2.155964148250278e-11,4.465731184004315e-15,3.4508984518037134e-13,1.7163412512815296e-15,2.1213960572453938e-11,2.361082802448654e-16,9.71010203849871e-16,3.4664742629217216e-15,3.6706455594517497e-28,2.1631491254531475e-17,7.168396252154564e-33,8.821646966097168e-17,7.45093883353109e-17,6.269745327019125e-26,3.776416275919664e-27,1.8557161703663568e-17,5.770751457812276e-32,2.878885329765931e-19,3.77464729164913e-50,6.2861644082257005e-49,9.209941741056737e-20,8.058377035915885e-40,2.7701046833320144e-31,4.353165300488915e-18,6.408178792127745e-36,4.637192352064436e-40,2.781066868825606e-32
4.703161277001273e-11,0.08995120697637744,3.76,0.0,0.8221141271478395,0.9999999999734756,2.000087682135745e-19,3.2053702818652474e-39,3.367452435485295e-25,3.4687777573747025e-10,2.6950122166209162e-11,6.822602781709248e-15,4.316538120001244e-13,2.622259068255106e-15,2.651756502158496e-11,3.608727613420043e-16,1.4833352441925835e-15,5.295521788543868e-15,6.682942389974784e-28,3.304812302497835e-17,1.5209656325293767e-32,1.3475658558761383e-16,1.1383674411548841e-16,1.141295966685631e-25,6.891107878625696e-27,2.835075405656326e-17,1.2244435839119453e-31,4.1723122508972704e-19,1.0085444057708826e-49,1.5632415740473476e-48,1.6117251893709753e-19,2.05277130695352e-39,6.223090416199084e-31,6.648903495735584e-18,1.399641857935253e-35,1.0127221345538353e-39,6.247366406928415e-32
6.584427063616796e-11,0.08995120697749812,3.76,0.0,0.822114127067676,0.9999999999628618,5.279442401512468e-19,1.1179566538237739e-38,6.425844957358139e-25,4.856225819800399e-10,3.773180610970387e-11,1.311950567601513e-14,6.051533274759135e-13,5.042855108010278e-15,3.71249142834503e-11,6.946261512051193e-16,2.8517359170296184e-15,1.0181011642978852e-14,1.7648941370934513e-27,6.355075966879123e-17,5.57355173435994e-32,2.5905067151120473e-16,2.1891758494445407e-16,3.012718339121597e-25,1.8307608634091978e-26,5.452449945618307e-17,4.487163770208748e-31,7.179669456403217e-19,6.7669426903194985e-49,8.837884666660665e-48,3.8559320575393103e-19,1.0726100566279989e-38,2.413409764658799e-30,1.2777802720839575e-17,5.607450137594534e-35,3.5799051462393294e-39,2.4223339996167975e-31
8.465692850232319e-11,0.08995120697861878,3.76,0.0,0.8221141269875102,0.9999999999522458,1.0943021129828488e-18,2.811419186574527e-38,1.046002704187267e-24,6.243636247955449e-10,4.851444855724947e-11,2.1515765247047028e-14,7.791453476132318e-13,8.270816637736711e-15,4.7732449809772394e-11,1.1402699436890008e-15,4.6757786374285926e-15,1.6693500313151804e-14,3.6597911609022994e-27,1.0422369209748134e-16,1.4475063978118545e-31,4.247125203966894e-16,3.5904487227990556e-16,6.244908501621684e-25,3.816677701971137e-26,8.943751749302649e-17,1.1654064354039995e-30,1.063063351105235e-18,2.5167153698711567e-48,3.0241403622457186e-47,7.3392740802572865e-19,3.3827167179323456e-38,6.422220173446051e-30,2.094312753329436e-17,1.5585296347191351e-34,8.880667515310952e-39,6.444925475403239e-31
9.999999999999999e-11,0.08995120698086,3.76,0.0,0.8221141269221276,0.9999999999435859,1.8176088000385275e-18,5.537221056799409e-38,1.4445014212629838e-24,7.375141093797493e-10,5.7309176833325327e-11,2.991751520549386e-14,9.214124163590128e-13,1.150131454905482e-14,5.638379381706395e-11,1.586955672793026e-15,6.5003153478144206e-15,2.3208063853549495e-14,6.081702189615928e-27,1.4492427239658503e-16,2.9609601468747293e-31,5.903962583840769e-16,4.992784979779473e-16,1.037310599663132e-24,6.380470535038598e-26,1.243908265189865e-16,2.384018144945755e-30,1.3620737869472734e-18,8.103603752226137e-48,8.82657416896032e-47,1.1216466321661277e-18,8.244264989702343e-38,1.323317318890639e-29,2.9105407484580975e-17,3.494434844655265e-34,1.6792545869650198e-38,1.3276791933604568e-30
1.2228224423463365e-10,0.08995120698086,3.76,0.0,0.822114126827172,0.9999999999310066,3.2862308986468506e-18,1.164699211067117e-37,2.1343852130363965e-24,9.018344270688899e-10,7.008261107932691e-11,4.460517581416224e-14,1.1286047415240133e-12,1.714931877106208e-14,6.89480806388576e-11,2.3688154536005455e-15,9.68899879181089e-15,3.459376044845767e-14,1.1001160181710116e-26,2.1607704794359028e-16,6.418689712686717e-31,8.799263671523095e-16,7.444494486782635e-16,1.8755424460633543e-24,1.1614202503428572e-25,1.855178093599411e-16,5.168195040519262e-30,1.8244085694469748e-18,2.275435639958816e-47,2.374332918136143e-46,1.8505013177837577e-18,2.006789589283877e-37,2.8790127355041825e-29,4.336350243206908e-17,8.101076880717767e-34,3.4023921651195916e-38,2.8879594380944678e-30
1.9753287569925457e-10,0.08995120698534216,3.76,0.0,0.8221141265064691,0.9999999998885005,1.4111116505247956e-17,7.703349714681353e-37,5.370431800156383e-24,1.456730932753123e-09,1.1323046267255188e-10,1.1596948136042292e-13,1.8334123886778985e-12,4.4601847876243844e-14,1.1138158819234451e-10,6.185400270914821e-15,2.516568623241442e-14,8.986301520925876e-14,4.733531842396284e-26,5.618185161271462e-16,4.737834271151719e-30,2.284658350107493e-15,1.9360043953153774e-15,8.055080669361353e-24,5.130208490750478e-25,4.829499594253857e-16,3.815361681591018e-29,3.4824679958576405e-18,4.4974397200837846e-46,4.2259359355451383e-45,5.8391114158714424e-18,1.9807275566894646e-36,2.090338034410038e-28,1.1244351346248179e-16,8.015503130184972e-33,1.8802147710580508e-37,2.094784674942449e-29
2.727835071638755e-10,0.08995120698982395,3.76,0.0,0.8221141261857304,0.9999999998459573,3.643034607899366e-17,2.5358797468931683e-36,9.935538401744234e-24,2.011567352123161e-09,1.5639370416928934e-10,2.2091174687854815e-13,2.5460553100837193e-12,8.498864900412628e-14,1.5381809923734799e-10,1.1828447022539019e-14,4.789581049623597e-14,1.7104787687591507e-13,1.2240766284318725e-25,1.070279657536635e-15,1.6204908002736053e-29,4.3468093152297394e-15,3.6887394154166726e-15,2.079841668310363e-23,1.3537023856531941e-24,9.210781408864478e-16,1.305157874187202e-28,5.230516372669801e-18,2.398514555837036e-45,2.1232621878619413e-44,1.2169886273173285e-17,7.759800250244058e-36,7.2094776400619635e-28,2.1368520812256422e-16,3.194310244160247e-32,5.595068024171628e-37,7.220329702994408e-29
4.2328477009311734e-10,0.0899512069987864,3.76,0.0,0.8221141255441465,0.9999999997607604,1.3727981791705495e-16,1.383237695691335e-35,2.249491079556609e-23,3.1210602706606656e-09,2.4276651554300366e-10,5.315111349417558e-13,3.994723623741503e-12,2.0461733123489597e-13,2.3870019901683347e-10,2.869726294972303e-14,1.1501520021264737e-13,4.1084545996748156e-13,4.630721962358332e-25,2.575416835837539e-15,9.782311292451749e-29,1.0431058639682532e-14,8.879097326666776e-15,7.839812653917839e-23,5.368529504135535e-24,2.2218951734132246e-15,7.881192896111291e-28,8.797417511603664e-18,3.7070521381750347e-44,2.9521540374816585e-43,3.145271392082332e-17,5.590212851511717e-35,4.327971723429159e-27,5.114837884919747e-16,2.698471659107374e-31,2.5157824486024656e-36,4.326781610266572e-28
5.58735906729435e-10,0.08995120700685133,3.76,0.0,0.822114124966599,0.9999999996839571,3.0909890419755987e-16,3.7702076359211084e-35,3.7327396915773115e-23,4.119399052993172e-09,3.20554984095446e-10,9.258508770658713e-13,5.3250848509386696e-12,3.566190675459736e-13,3.1510449000842263e-10,5.032431775426915e-14,2.0003505995488072e-13,7.146815615243401e-13,1.0456648364827452e-24,4.486650857938817e-15,2.786158032239412e-28,1.813164073985696e-14,1.5472208593109517e-14,1.7655754747044486e-22,1.252053638317959e-23,3.878535296961025e-15,2.2452604465182423e-27,1.2082183410913993e-17,1.6058888726856448e-43,1.1839236595503382e-42,5.593046204417221e-17,1.743405263744765e-34,1.2447210369274591e-26,8.872531822854921e-16,8.980271700578305e-31,6.310547636542835e-36,1.243105236363876e-27
