Time (s),Volume (m^3),N2,Ne,C2H6(1),O2(2),H2O(3),C(4),CH(5),CH3(18),C2H5(31),CH4(30),H(6),C2H4(29),HO2(12),H2(9),C2H5O2(40),CH3O2(36),C2H3(28),H2O2(13),C2H2(22),OH(8),CH2O(19),HCO(16),CO(14),O(7),CH2CHO(34),C2H5O(43),C2H(21),HCCO(20),C2H5O(101),C3H6(221),C3H6(74),CH3O(26),CH2CO(27),C3H6(55),C3H7(218),C3H7(49),C2H2O(140),CO2(15),C#CC(416),C3H5(219),C2H4(47),C3H4(2022),C3H4(2032),S(1627),CH2(S)(24),CH2(T)(17),S(3168),CH2O2(165),CHO2(212),C2H2O(189),CH3CO(33),C3H3(2030)
5.339704911903742e-14,0.09012718913341247,3.76,0.0,0.9519880566032543,0.999999999999972,5.141844559647438e-28,5.636756242688043e-45,3.281436949990065e-31,3.2959407171137565e-13,2.8402439963296527e-14,1.2619792799730666e-20,3.966572059710646e-16,3.644729828831219e-21,2.8005781194928238e-14,5.326735197982008e-22,2.3487588598807783e-21,7.580523277960993e-21,1.3075420861010261e-36,5.368211158308542e-23,5.601993811210645e-44,1.7375802743303027e-22,1.4718378699353818e-22,2.20075532174522e-34,5.004396770011216e-32,4.9775667667004705e-23,4.877657488601184e-43,8.094509863947439e-25,3.152699221042147e-64,3.24387864433395e-61,5.377885183482719e-28,1.2979054452097609e-47,7.624460537808741e-41,8.227879724160576e-24,4.219709183824241e-47,6.885514164891297e-50,1.9047067862614914e-43,9.594156062394636e-42,1.1772185029248978e-55,5.856025694393418e-32,4.976491551458415e-60,4.8632378310760855e-49,1.2507718199447487e-36,7.135459158733294e-58,4.653143151125468e-71,6.279738731675198e-64,2.6175828347700442e-21,7.075561195333037e-26,1.6774322543078076e-36,6.430418978521442e-35,1.385669830705482e-30,3.518234166782605e-59,2.0541709666098916e-53,4.6191877248125005e-70
1.0684049011393846e-13,0.09012718913341508,3.76,0.0,0.9519880566030609,0.999999999999944,4.116595101983471e-27,4.512579510031053e-44,1.3133725899273974e-30,6.594744624525722e-13,5.682956543918806e-14,4.527211718279784e-20,7.936632968078037e-16,1.458842243438233e-20,5.6035895888698947e-14,2.1320920877896147e-21,9.401147058779681e-21,3.0341821153856254e-20,1.0468290823589706e-35,2.148683516907941e-22,8.970492045202051e-43,6.954836684240376e-22,5.8911893388212885e-22,1.761940510621096e-33,4.006340065712621e-31,1.708816566030045e-22,7.810609988343661e-42,3.2375982100591363e-24,1.011183452250605e-62,1.039703508600186e-59,4.302602092023518e-27,2.077964470205553e-46,6.240532405549637e-40,3.293287122104639e-23,6.761649094654146e-46,1.10221422490272e-48,2.901314192315236e-42,1.522114830936574e-40,3.769181980568265e-54,4.716114218375278e-31,1.5943978842681885e-58,7.790079210379203e-48,1.0008156333232416e-35,2.2860474683825124e-56,2.981038660385344e-69,2.0938901967796046e-62,5.237212675983725e-21,2.8319015646687057e-25,1.3475528271184632e-35,5.147434502198897e-34,1.1090374999685546e-29,1.1299354060983615e-57,6.5806551601253155e-52,2.95985556273692e-68
2.1372737210374057e-13,0.09012718913342029,3.76,0.0,0.9519880566026742,0.999999999999888,3.2945159828563764e-26,3.611030375209959e-43,5.254742155609184e-30,1.3192351373683244e-12,1.1368384399218346e-13,1.7066754162387238e-19,1.5876882796443096e-15,5.837272948180942e-20,1.120961306895028e-13,8.531224125725588e-21,3.7616758388063226e-20,1.2140658762256836e-19,8.377820132629151e-35,8.597533316724457e-22,1.4358639142120324e-41,2.7828304374700122e-21,2.3572448084753603e-21,1.4100848558001283e-32,3.205937190063446e-30,6.270488008336583e-22,1.2502071843318108e-40,1.2936119530713616e-23,3.246564953130566e-61,3.331595715588817e-58,3.438635154944676e-26,3.323156838217143e-45,5.210713667586771e-39,1.317736605141307e-22,1.0837820948678182e-44,1.7621713179732263e-47,4.524950590071107e-41,2.4250019854441614e-39,1.2059501301432152e-52,3.8186743713646616e-30,5.105174858048194e-57,1.2470873393691876e-46,8.000580471481012e-35,7.319458096777962e-55,1.9082415335340703e-67,7.231098256549327e-61,1.0475790639257725e-20,1.1329959852494338e-24,1.0857902344205248e-34,4.1182149482564594e-33,8.870218055184583e-29,3.6374750890351723e-56,2.1067967200277972e-50,1.8953914797588711e-66
4.2750113608334475e-13,0.09012718913343072,3.76,0.0,0.9519880566019007,0.9999999999997758,2.6360953894640857e-25,2.8887254720773847e-42,2.1018718995204403e-29,2.6387560609345002e-12,2.273925115036583e-13,6.618214155598089e-19,3.1757894494794867e-15,2.335292275661188e-19,2.2421662194441655e-13,3.413108056810263e-20,1.504909247549129e-19,4.857036530747864e-19,6.7035384856606995e-34,3.4395735318644716e-21,2.297852890555241e-40,1.1133052642052058e-20,9.430527835152549e-21,1.1282772543169098e-31,2.564672923701287e-29,2.395211208742463e-21,2.0007414746684573e-39,5.160554888060211e-23,1.0451472021321748e-59,1.0680404279075025e-56,2.743852107305613e-25,5.307362628230503e-44,4.5149298815312596e-38,5.271746756883481e-22,1.7391344147106308e-43,2.8126509320439703e-46,7.1461317956185245e-40,3.871676097132563e-38,3.8554079896599887e-51,3.1263651504195276e-29,1.6341691447561926e-55,1.9957587313226177e-45,6.387345938469796e-34,2.3427441470772143e-53,1.2206375648290519e-65,2.650332609467468e-59,2.095022040173511e-20,4.531653697723935e-24,8.805290929160118e-34,3.293123465725413e-32,7.088809574808337e-28,1.1771078190188794e-54,6.742158081923843e-49,1.213319236375532e-64
8.550486640425531e-13,0.09012718913345158,3.76,0.0,0.9519880566003537,0.9999999999995516,2.1090478315576055e-24,2.310164301217429e-41,8.405236011220735e-29,5.277796203015415e-12,4.548102881536215e-13,2.605580642482646e-18,6.352196601879042e-15,9.341953328285668e-19,4.484576910695193e-13,1.3654046492519595e-19,6.020078642361085e-19,1.942958711328266e-18,5.363355127039266e-33,1.3759416822520894e-20,3.676948694196446e-39,4.4535185466789036e-20,3.772529028670625e-20,9.026997047681262e-31,2.0510312361001595e-28,9.35490812945161e-21,3.201521421474027e-38,2.052695150784187e-22,3.383403854962161e-58,3.428478869277652e-55,2.1832574503860846e-24,8.457269706316016e-43,4.164963907194304e-37,2.108824144662296e-21,2.7980364055070223e-42,4.476625507952406e-45,1.1358765685821835e-38,6.187969730867965e-37,1.2310256245253642e-49,2.6142865079246146e-28,5.230266889494414e-54,3.1931604534617386e-44,5.087573915059799e-33,7.49671147794832e-52,7.800367456127035e-64,1.0606726517001775e-57,4.188818096776486e-20,1.8119549664134617e-23,7.232254295315037e-33,2.6314346986799017e-31,5.657686643948046e-27,3.8490829914358914e-53,2.1568068000977255e-47,7.765097538060282e-63
1e-12,0.09012718913349334,3.76,0.0,0.9519880565998292,0.9999999999994755,4.611710645125834e-24,5.04875786964235e-41,1.2675928009678709e-28,6.1725081939200085e-12,5.319119819349603e-13,3.91649335420066e-18,7.429232027550037e-15,1.4093043891723725e-18,5.244821457366966e-13,2.0598797700457527e-19,9.0816580118448e-19,2.9310745440875616e-18,1.1727920625173193e-32,2.0757078135994817e-20,1.3026972730775546e-38,6.718366336235442e-20,5.691147184669488e-20,1.9738838328046035e-30,4.482481548160305e-28,1.4035783405583554e-20,1.1342601509747297e-37,3.0810300972110746e-22,2.1582581796138263e-57,2.1550621036888924e-54,4.741924517320656e-24,2.9767605023744035e-42,1.0606301615818441e-36,3.1812509226052034e-21,9.995176258740811e-42,1.57285842889091e-44,4.0139247120452394e-38,2.1912897566772497e-36,7.669827522353446e-49,6.020768135075098e-28,3.2713679156174553e-53,1.1308700250355333e-43,1.106382236954759e-32,4.687442074161561e-51,9.081603393633441e-63,8.886573697178525e-57,4.897939029676929e-20,2.732307894094176e-23,1.6320678884443825e-32,5.745112051155047e-31,1.2334010863249156e-26,2.4956517613840106e-52,1.348076829834714e-46,9.065060905531305e-62
1.71014371996097e-12,0.09012718913349334,3.76,0.0,0.9519880565972598,0.999999999999103,1.687272409833798e-23,1.8465640241208705e-40,3.359884729538182e-28,1.055586966705054e-11,9.096476080022168e-13,1.0338900043276276e-17,1.2705830126240786e-14,3.736952564544729e-18,8.969401757972316e-13,5.462243345677989e-19,2.4080908263937613e-18,7.77203891735844e-18,4.290911801756517e-32,5.503993040053817e-20,5.883449017932134e-38,1.7814279483895057e-19,1.5090816566714195e-19,7.221815329415905e-30,1.6394611630311128e-27,3.6968267327232406e-20,5.122727632284305e-37,8.119035434642655e-22,1.1074376018757111e-56,1.1033438675773106e-53,1.7277313287990297e-23,1.3417092560008336e-41,4.2163620433977356e-36,8.43527039364829e-21,4.525531121848498e-41,7.085403596395854e-44,1.8114021143206261e-37,9.895226167987953e-36,3.9214722928889904e-48,2.2709759089898126e-27,1.6736005889020348e-52,5.106824839656357e-43,4.0342581898379146e-32,2.397931872733814e-50,4.975253189518273e-62,4.7227127399380695e-56,8.372055179527034e-20,7.241289114743451e-23,6.084657168617273e-32,2.0999600071148544e-30,4.504257257082711e-26,1.2836578971594402e-51,6.895897475946192e-46,4.967222405510678e-61
3.4203338317978034e-12,0.09012718913357681,3.76,0.0,0.9519880565910721,0.9999999999982061,1.349776440367807e-22,1.4746435137957312e-39,1.3421076688633462e-27,2.1111989315246115e-11,1.8193293142189723e-12,4.118870287952944e-17,2.541637380240606e-14,1.494826778702938e-17,1.7939065312939268e-12,2.185263781696894e-18,9.63225034737687e-18,3.108789075745597e-17,3.4328486972362987e-31,2.201643890403922e-19,9.41385814416395e-37,7.125441100863063e-19,6.036517539889558e-19,5.777388310241049e-29,1.3092977744416905e-26,1.4697466136261245e-19,8.196671744695718e-36,3.1763048390411213e-21,3.701894302737795e-55,3.570633653365147e-52,1.3527984033123322e-22,2.1110512875861248e-40,4.788006010290962e-35,3.373881288160869e-20,7.396063870195911e-40,1.109770269894609e-42,2.8934575715036764e-36,1.5827451296313571e-34,1.2435281738339889e-46,2.099867910775695e-26,5.355186442244816e-51,8.16421153273509e-42,3.171346579225883e-31,7.667178371051643e-49,3.162771390909548e-60,2.3228076338693778e-54,1.6721145571941756e-19,2.891124982604432e-22,5.341766857960648e-31,1.6715960898673074e-29,3.568540322412269e-25,4.432877278864906e-50,2.2026889722487443e-44,3.1761605387963344e-59
6.84071405547147e-12,0.09012718913374378,3.76,0.0,0.9519880565786963,0.999999999996412,1.079716331468881e-21,1.1755179797402561e-38,5.353554905616746e-27,4.222411949719402e-11,3.6387209953293415e-12,1.6442064668042706e-16,5.0850565658425624e-14,5.979490659801926e-17,3.5878447875022123e-12,8.74371968150758e-18,3.85269221149879e-17,1.2434564917215411e-16,2.7463700785287214e-30,8.806680204246738e-19,1.506267555847431e-35,2.8498729209068873e-18,2.414684529504026e-18,4.62164121336139e-28,1.0437813578490561e-25,5.861366452356641e-19,1.3115149487126235e-34,1.2168496468082665e-20,1.2857079738351524e-53,1.167330700777012e-50,1.0379081562274448e-21,3.268413014312983e-39,6.09444227026261e-34,1.3493298847951174e-19,1.2329964286459165e-38,1.7035349134317176e-41,4.625750695239626e-35,2.5318423913497556e-33,3.908467278356492e-45,2.120090306948576e-25,1.7133162101923132e-49,1.3040240422700146e-40,2.451683519104244e-30,2.4493420073172373e-47,1.9971827852117895e-58,1.2171360528676735e-52,3.3350080840496847e-19,1.1521196598202566e-21,5.019720065439228e-30,1.3239876785588977e-28,2.8002554333996187e-24,1.617943862621034e-48,7.022748251951066e-43,2.0289413693094137e-57
1e-11,0.09012718913391075,3.76,0.0,0.9519880565672654,0.999999999994755,2.9338944177478723e-21,3.188055336861362e-38,1.0896399705134905e-26,6.172455718931864e-11,5.319255762482201e-12,3.350806774807368e-16,7.43553441103935e-14,1.2193120148055318e-16,5.244848123329969e-12,1.7833067473645233e-17,7.855801748391441e-17,2.535470987147776e-16,7.463261015534043e-30,1.7957978714674676e-18,5.235933536009662e-35,5.810807869828787e-18,4.92392382329688e-18,1.2558575252389155e-27,2.8308712572055005e-25,1.1942238733469719e-18,4.558957490256854e-34,2.4120684246205055e-20,5.708973517896737e-53,5.168487696992685e-50,2.7561836234516256e-21,1.1591464968527089e-38,2.0706166329872413e-33,2.751137378812251e-19,4.367083334836726e-38,6.018854540197322e-41,1.6639679024844757e-34,9.108482044925952e-33,1.666164961823178e-44,6.414584315642449e-25,7.559494214759583e-49,4.689647803624781e-40,6.537597801944495e-30,1.080103381112426e-46,1.0472396649942993e-57,5.987229325219462e-52,4.864595519166941e-19,2.3434497951228935e-21,1.4759151834543297e-29,3.577859113259968e-28,7.528190008152266e-24,7.278603024198304e-48,3.0717808833368875e-42,1.0669069678340538e-56
1.0261094279145137e-11,0.09012718913391075,3.76,0.0,0.9519880565663207,0.999999999994618,3.0871300853461626e-21,3.354378360397813e-38,1.1354479503150636e-26,6.333614056975234e-11,5.4581409477146496e-12,3.491846106172302e-16,7.629786001244761e-14,1.270663590465221e-16,5.381788589975067e-12,1.858424250222967e-17,8.186632517503729e-17,2.642247518063759e-16,7.853081139646749e-30,1.87142735641359e-18,5.544165987152327e-35,6.0555097390670836e-18,5.131296006796171e-18,1.3214510836545883e-27,2.97856252581261e-25,1.2444782976911983e-18,4.827337334416949e-34,2.5108454238199845e-20,6.074527427537112e-53,5.499157101413866e-50,2.898187830213804e-21,1.2279310667975912e-38,2.1913729566438144e-33,2.866987581540664e-19,4.626095078603472e-38,6.375487427189567e-41,1.7632551468807e-34,9.651998212723818e-33,1.7715616561490902e-44,6.769496101780367e-25,8.042642514298655e-49,4.969447420040791e-40,6.875271840653961e-30,1.149124640645259e-46,1.1172817534113102e-57,6.3814462736905896e-52,4.99100589662994e-19,2.4419054235029136e-21,1.556405204354194e-29,3.764126816741589e-28,7.918922816551043e-24,7.746419407149643e-48,3.267605030642076e-42,1.1383119660576201e-56
1.710185472649247e-11,0.09012718913424465,3.76,0.0,0.951988056541569,0.9999999999910295,1.4184670110387655e-20,1.5320768286629132e-37,3.1237139676246514e-26,1.0555974631771829e-10,9.097093958361514e-12,9.648380753056766e-16,1.2724484267322712e-13,3.5131495974465847e-16,8.969698388374606e-12,5.1407071010831613e-17,2.2631108864392826e-16,7.304306572362663e-16,3.609233894919587e-29,5.173976756802781e-18,4.26600946261395e-34,1.6738270432826432e-17,1.418708276310068e-17,6.072168970378091e-27,1.360553617839071e-24,3.4381237320026875e-18,3.714486155351519e-33,6.460593005305817e-20,9.371622782730306e-52,8.159811828308464e-49,1.2442446264663734e-20,9.555683504232739e-38,1.6376048722417319e-32,7.923927116946471e-19,3.800666946417353e-37,4.898230522653243e-40,1.4496211238907994e-33,7.935721641423353e-32,2.2383004277280994e-43,4.046767535072658e-24,1.12005789517472e-47,4.068273663195805e-39,2.9869907393745256e-29,1.595357092102999e-45,2.619114042513729e-56,1.2224895339299986e-50,8.275647440658723e-19,6.7061843032917754e-21,8.788269494413453e-29,1.7003651163889087e-27,3.521753788731885e-23,1.1928521039072243e-46,4.657381758449257e-41,2.754548700135599e-55
