Time (s),Volume (m^3),N2,Ne,C2H6(1),O2(2),H2O(3),C(4),CH(5),CH3(18),C2H5(31),CH4(30),H(6),C2H4(29),HO2(12),H2(9),C2H5O2(40),CH3O2(36),C2H3(28),H2O2(13),C2H2(22),OH(8),CH2O(19),HCO(16)
8.037673181041915e-18,0.45824703801537825,3.76,0.0,0.6662077036028529,0.9999999999999997,3.112759257847477e-36,1.939347772439341e-48,1.2457821568269867e-30,2.159443437621615e-13,8.307600704974861e-16,1.835270034969844e-24,4.020971227612378e-16,1.8097886312000625e-25,4.2866294616081307e-16,5.092596313346684e-26,2.9175641193600778e-28,1.6765555187388233e-26,3.8191775367746053e-42,2.826557344126146e-28,2.1997590171684006e-52,2.3250890955290498e-26,2.3250890958400332e-26,1.795734900817141e-40
1.6082329570755455e-17,0.4582470380153873,3.76,0.0,0.666207703602744,0.9999999999999992,2.4921000968374304e-35,1.5526578324596e-47,4.986375225387573e-30,4.320763020676655e-13,1.662241916841255e-15,7.34586299156776e-24,8.045435916731173e-16,7.243870982844489e-25,8.576983188622907e-16,2.0383656947995307e-25,1.1677859877685288e-27,6.710591301673524e-26,3.057664273171027e-41,1.1313595597506803e-27,3.52248052594335e-51,9.306415737858195e-26,9.306415740347956e-26,1.4376798046057237e-39
3.217164235018253e-17,0.45824703801540556,3.76,0.0,0.6662077036025261,0.9999999999999983,1.9944374770381547e-34,1.2425988034879187e-46,1.9951995924701784e-29,8.643402186672659e-13,3.325205619772789e-15,2.9393020395467854e-23,1.609436530270351e-15,2.8984919612349278e-24,1.7157690642708368e-15,8.1561178779458745e-25,4.6726650697383175e-27,2.6851106132158094e-25,2.4470607376341393e-40,4.526911903051529e-27,5.638262918723044e-50,3.723778510877235e-25,3.7237785128698003e-25,1.1505807843358814e-38
6.43502679090367e-17,0.4582470380154423,3.76,0.0,0.6662077036020906,0.9999999999999967,1.5958530055730034e-33,9.942688821653425e-46,7.982097540742063e-29,1.7288680518208357e-12,6.651133066611842e-15,1.1759122116371047e-22,3.219222410558715e-15,1.1595855311224281e-23,3.4319105551102923e-15,3.2629782492611932e-24,1.869370299152377e-26,1.0742190872297709e-24,1.9580204362065777e-39,1.811059536003981e-26,9.023056563365292e-49,1.489753881403656e-24,1.4897538829980117e-24,9.206394415725531e-38
1.28707519026745e-16,0.4582470380155156,3.76,0.0,0.6662077036012194,0.9999999999999932,1.2768036259732824e-32,7.95492303993743e-45,3.193098853917662e-28,3.457923717945453e-12,1.3302988124193887e-14,4.7040316652296835e-22,6.438794183511033e-15,4.638719693637271e-23,6.864193536878654e-15,1.3052975290349289e-23,7.478089815949328e-26,4.297226045951284e-24,1.5665651657235332e-38,7.244827735466447e-26,1.4438359956026382e-47,5.9595005092054396e-24,5.959500521961496e-24,7.365814871554458e-37
2.5742202126216165e-16,0.45824703801566213,3.76,0.0,0.666207703599477,0.9999999999999863,1.021491390355988e-31,6.364267312228298e-44,1.2772914988964587e-27,6.916035049464593e-12,2.660669889497373e-14,1.8816892323805968e-21,1.2877937778918025e-14,1.8555634331787782e-22,1.3728759500773186e-14,5.221402599558927e-23,2.9913576813714767e-25,1.7189603508703942e-23,1.2533117623483394e-37,2.8980490165932047e-25,2.3102553348557713e-46,2.3838971998123237e-23,2.3838972100176527e-23,5.892931660340519e-36
5.148510257329949e-16,0.4582470380159553,3.76,0.0,0.6662077035959922,0.9999999999999726,8.172125060441578e-31,5.0915775188749645e-43,5.1092698157328096e-27,1.3832257709582501e-11,5.32141230589964e-14,7.52691006343649e-21,2.5756225167741477e-14,7.422405160499547e-22,2.745789142999348e-14,2.0886035510187875e-22,1.196567445412283e-24,6.875981195696065e-23,1.002673422243723e-36,1.1592431914727727e-24,3.6965033024461406e-45,9.535782762629227e-23,9.535782844273797e-23,4.7144572566056873e-35
1.0297090346746616e-15,0.45824703801654154,3.76,0.0,0.6662077035890228,0.9999999999999452,6.537777582993828e-30,4.0733788653856225e-42,2.0437286134177128e-26,2.7664703018136825e-11,1.0642898187689349e-13,3.0107946513184296e-20,5.151280073742645e-14,2.9689926009442433e-21,5.491615529415902e-14,8.354499337261324e-22,4.7863186992655594e-24,2.7504203767658263e-22,8.021485985828905e-36,4.637019935456349e-24,5.914482923178939e-44,3.81435187220576e-22,3.8143519375221905e-22,3.7716106093855948e-34
2.059425052557995e-15,0.45824703801771405,3.76,0.0,0.666207703575084,0.9999999999998902,5.230253014165911e-29,3.2588320437480224e-41,8.17495521138632e-26,5.532959358851952e-11,2.1285874147209287e-13,1.204323984854117e-19,1.0302595504495034e-13,1.1876033484884216e-20,1.0983268304538982e-13,3.3418168496488745e-21,1.9145374004373335e-23,1.1001736822650899e-21,6.41723232350666e-35,1.8548174077171066e-23,9.46324062817527e-43,1.5257484816538218e-21,1.5257485339072754e-21,3.017306460740586e-33
4.118857088324661e-15,0.45824703802005906,3.76,0.0,0.6662077035472063,0.9999999999997804,4.1842146844144055e-28,2.6072487534848473e-40,3.2699897427412782e-25,1.1065937454238107e-10,4.257184285000987e-13,4.817308180982958e-19,2.060522763326272e-13,4.75042761608155e-20,2.1966573863945056e-13,1.3367302332412224e-20,7.65817054057012e-23,4.400705406893854e-21,5.133809819097419e-34,7.419288494615782e-23,1.5141258051615514e-41,6.103009226642205e-21,6.10300964467106e-21,2.413852440264683e-32
8.237721159857994e-15,0.45824703802474914,3.76,0.0,0.6662077034914508,0.9999999999995607,3.3473764870635386e-27,2.0860827107102316e-39,1.3079970340360896e-24,2.213189357024888e-10,8.514384739064267e-13,1.9269257150177974e-18,4.121049695986044e-13,1.9001751755643068e-19,4.393318501939688e-13,5.346928483138828e-20,3.0632732818476544e-22,1.7602839900797042e-20,4.1070679135023954e-33,2.967719167908975e-22,2.4226131113476194e-40,2.4412066182252087e-20,2.4412069526487657e-20,1.931084992654162e-31
1.647544930292466e-14,0.45824703803412914,3.76,0.0,0.6662077033799397,0.9999999999991214,2.6779028139310444e-26,1.669316388354425e-38,5.231987252432498e-24,4.4263805503224294e-10,1.7028812501194582e-12,7.707707699791868e-18,8.242105588939085e-13,7.600719238147522e-19,8.786640747685977e-13,2.1387733540152737e-19,1.2253110281426056e-21,7.041137148991271e-20,3.2856791126863845e-32,1.187088419023743e-21,3.8762095706200315e-39,9.764831268517101e-20,9.764833943907181e-20,1.5448694211312783e-30
3.295090558905799e-14,0.4582470380528893,3.76,0.0,0.6662077031569177,0.9999999999982427,2.1423224664026413e-25,1.336171976270242e-37,2.0927921981630972e-23,8.852762817299061e-10,3.405777544139897e-12,3.083084011436133e-17,1.648422548544765e-12,3.0402996245316403e-18,1.757328529780263e-12,8.555100943403353e-19,4.9012531615842026e-21,2.81645312455472e-19,2.628580016767759e-31,4.748355162593404e-21,6.2020194159921e-38,3.9059326189117454e-19,3.905934759224023e-19,1.235896445036497e-29
6.590181816132465e-14,0.45824703809040956,3.76,0.0,0.6662077027108736,0.9999999999964854,1.7138573640985284e-24,1.0700871687547056e-36,8.371143178596294e-23,1.7705526872778556e-09,6.811613098501277e-12,1.233233761738342e-16,3.2968497721422492e-12,1.2161288133345226e-17,3.514657463253523e-12,3.422044767532967e-18,1.9605075689578784e-20,1.1265793245970686e-18,2.1029216066177185e-30,1.8993423485594217e-20,9.92349428255288e-37,1.5623723917713682e-18,1.5623741040205807e-18,9.887180590070086e-29
1.3180364330585797e-13,0.45824703816545026,3.76,0.0,0.6662077018187852,0.9999999999929707,1.3710845354685006e-23,8.579088276125054e-36,3.348435982046523e-22,3.541105306984275e-09,1.3623456072050036e-11,4.93293512816108e-16,6.593717196958574e-12,4.864585801590296e-17,7.029315424002177e-12,1.3688210928827764e-17,7.842078839953421e-20,4.506300822282556e-18,1.6824289678580695e-29,7.597369851063137e-20,1.5878428426991218e-35,6.24948283075384e-18,6.249496528733983e-18,7.909756719577243e-28
1.977054684503913e-13,0.45824703824049096,3.76,0.0,0.6662077009266966,0.9999999999894561,3.920442500615835e-23,2.456590069269296e-35,7.115394968581909e-22,5.3116577353012395e-09,2.043547090996879e-11,1.0482486934500264e-15,9.89059759983467e-12,1.033734811984355e-16,1.0543973478555378e-11,2.9087494095530657e-17,1.6664488336397605e-19,9.575864745860437e-18,4.810864251342902e-29,1.6144411099132315e-19,5.844480526644924e-35,1.32801407022106e-17,1.3280179869759419e-17,2.261698322458694e-27
2.636072935949246e-13,0.4582470383155316,3.76,0.0,0.6662077000346079,0.9999999999859415,8.269344108528245e-23,5.189817616438956e-35,1.2137977131871915e-21,7.082209972228774e-09,2.724765761180153e-11,1.78818889754391e-15,1.3187490981208954e-11,1.7634461811476789e-16,1.4058631626915539e-11,4.961991445882266e-17,2.8427767517688334e-19,1.633526004789187e-17,1.0147884113673635e-28,2.754046600043201e-19,1.4823296764726785e-34,2.265434125940301e-17,2.2654423874891904e-17,4.770582013054311e-27
3.9541094388399126e-13,0.4582470384656129,3.76,0.0,0.66620769825043,0.9999999999789121,2.2586122500210456e-22,1.4224617332079394e-34,2.51299682992526e-21,1.0623313996904648e-08,4.0872434368136395e-11,3.702217766051936e-15,1.978130820505864e-11,3.651047300133652e-16,2.1087948143802528e-11,1.0273197653612051e-16,5.885646456232883e-19,3.3819947168331885e-17,2.7719213526449326e-28,5.701903614473285e-19,5.184093433381206e-34,4.690287885011604e-17,4.690310449752004e-17,1.302997079141781e-26
5.272145941730579e-13,0.45824703861569416,3.76,0.0,0.6662076964662514,0.9999999999718827,4.725768419014951e-22,2.985684390276297e-34,4.27392162066739e-21,1.4164417317773533e-08,5.44978431255915e-11,6.2965023705867524e-15,2.637517315911795e-11,6.209565734421506e-16,2.811726500567119e-11,1.7472058256928982e-16,1.0010004964485787e-18,5.751865518544169e-17,5.800201961395903e-28,9.697444487220436e-19,1.295432438776257e-33,7.976941930489702e-17,7.976989143289757e-17,2.726311755480114e-26
6.590182444621245e-13,0.45824703876577544,3.76,0.0,0.666207694682072,0.9999999999648533,8.603073562232502e-22,5.4529570359447556e-34,6.529543035901101e-21,1.7705519884563672e-08,6.812392902405609e-11,9.61963226924939e-15,3.296908925561808e-11,9.486954925253278e-16,3.51465822371792e-11,2.669341921003249e-16,1.5293122503278195e-18,8.787516889335027e-17,1.0559822307381244e-27,1.4815503718165468e-18,2.7485519814631324e-33,1.2186950252906774e-16,1.2187036201745017e-16,4.9631576232636824e-26
9.226255450402577e-13,0.45824703906593817,3.76,0.0,0.6662076911137109,0.9999999999507946,2.2714598876631816e-21,1.4512468748004231e-33,1.2555885633824781e-20,2.4787722708542025e-08,9.537817475742101e-11,1.8498208844454635e-14,4.615707810827079e-11,1.8243709426563115e-15,4.9205217832441154e-11,5.133077536722838e-16,2.9408563667951677e-18,1.6897931762910923e-16,2.7886183505184515e-27,2.848968691628958e-18,1.0071561954650944e-32,2.34350079762266e-16,2.3435234905376235e-16,1.3104273033820765e-25
1e-12,0.45824703936610073,3.76,0.0,0.6662076900663191,0.9999999999466679,2.8805674783718303e-21,1.8448835759513687e-33,1.4706148615593284e-20,2.6866502123798483e-08,1.033784085562449e-10,2.1666227600019022e-14,5.002807805469226e-11,2.136836864571128e-15,5.333173230839384e-11,6.012182857680537e-16,3.444525442994711e-18,1.9791832596237762e-16,3.536608358438574e-27,3.3368855682610248e-18,1.3884283098834245e-32,2.7448485141365974e-16,2.744877292298934e-16,1.6618314387983976e-25
1.186232845618391e-12,0.45824703936610073,3.76,0.0,0.6662076875453469,0.9999999999367356,4.709295249864838e-21,3.029983187043451e-33,2.0591310704839605e-20,3.186992246980949e-08,1.226351706733188e-10,3.033701039639831e-14,5.934527472171917e-11,2.9920643681369803e-15,6.326385492924786e-11,8.418278122314627e-16,4.82306568172133e-18,2.7712322942632464e-16,5.782452743705234e-27,4.672301120314057e-18,2.615602236180177e-32,3.843324892668522e-16,3.8433719406045533e-16,2.7168573854383263e-25
1.7134474467746577e-12,0.4582470399664262,3.76,0.0,0.6662076804086096,0.9999999999086175,1.415000080443476e-20,9.245939029666641e-33,4.2688094310034454e-20,4.6034312805511313e-08,1.7715741174276657e-10,6.289403371395378e-14,8.572229128816731e-11,6.203534063234872e-15,9.138113362765921e-11,1.7452794603119978e-15,9.999385331321944e-18,5.745152957237905e-16,1.7381001988547664e-26,9.686515800614856e-18,1.1597801927146523e-31,7.967854282334199e-16,7.967995646914635e-16,8.163460863543185e-25
2.767876649087191e-12,0.458247041167077,3.76,0.0,0.6662076661350987,0.9999999998523809,6.083474514455744e-20,4.1023137922633317e-32,1.1098220724818396e-19,7.436305672992367e-08,2.862348896073829e-10,1.6352544032871604e-13,1.3847881868974367e-10,1.6131754163507404e-14,1.4761570904865148e-10,4.537864058330413e-15,2.6000251609953273e-17,1.493690434194125e-15,7.478459462762148e-26,2.5185099784891125e-17,8.560403967992481e-31,2.0716302035849887e-15,2.071690980061304e-15,3.509815424476589e-24
4.876735053712257e-12,0.45824704356837986,3.76,0.0,0.666207637587932,0.999999999739904,3.4255989309775227e-19,2.454392263145433e-31,3.439475764885125e-19,1.3102039759243263e-07,5.045218193333491e-10,5.068561704784219e-13,2.4400185800217234e-10,5.001709662247462e-14,2.600849320280992e-10,1.4066072803439798e-14,8.060009534440739e-17,4.629404647283317e-15,4.21785117009309e-25,7.806269010194283e-17,9.061817664643091e-30,6.420979116441384e-15,6.421321348108276e-15,1.976510793743544e-23
9.09445186296239e-12,0.4582470483709897,3.76,0.0,0.6662075804930182,0.9999999995149376,2.2746176477039175e-18,1.820879282319112e-30,1.1951932774769045e-18,2.4433449137620476e-07,9.416235119589875e-10,1.7617859836965133e-12,4.5508793456570953e-10,1.7396629802036267e-13,4.850236668666348e-10,4.8897404612850695e-14,2.802350905761064e-16,1.608877414817377e-14,2.8096358674074533e-24,2.713393561503035e-16,1.1761070484184806e-28,2.231765888265309e-14,2.231993132052612e-14,1.3125970560453889e-22
1e-11,0.45824705317360476,3.76,0.0,0.6662075682345805,0.9999999994666349,3.03211544938061e-18,2.488710052013789e-30,1.4449164945125017e-18,2.686630416378913e-07,1.0355614560345317e-09,2.130022193308459e-12,5.004152967580156e-10,2.1035651340180035e-13,5.333182948772674e-10,5.911890488690894e-14,3.3882776717149163e-16,1.9450856817537983e-14,3.7481241026998975e-24,3.28052955080803e-16,1.7314072730045245e-28,2.6982058865562786e-14,2.6985088075276703e-14,1.7497772268232708e-22
1.3312168672212522e-11,0.45824705317360476,3.76,0.0,0.6662075233973302,0.999999999289954,6.8346372153370256e-18,5.923813606434073e-30,2.5599398673727217e-18,3.576478012431452e-07,1.3794289005245367e-09,3.7744030075903e-12,6.662274199385779e-10,3.7290235395168276e-13,7.099627873088615e-10,1.0476557056352418e-13,6.005064734691964e-16,3.4463424991577194e-14,8.462963663376261e-24,5.813111318125296e-16,4.732820322019528e-28,4.7810797187707624e-14,4.78176252749303e-14,3.944429330814571e-22
1.7529885481462655e-11,0.45824705797622495,3.76,0.0,0.6662074663008685,0.9999999990649533,1.5144601552026345e-17,1.4120116312130475e-29,4.437835040045593e-18,4.70960327199772e-07,1.8179378712167585e-09,6.5447019769282575e-12,8.774204234033092e-10,6.46940066913027e-13,9.349022939568685e-10,1.8167563436144928e-13,1.0414924172785092e-15,5.975060286880658e-14,1.879798043008152e-23,1.0079777659575575e-15,1.3014885608427631e-27,8.289920839193695e-14,8.291433847910493e-14,8.741204266527386e-22
2.174760229071279e-11,0.4582470627788507,3.76,0.0,0.6662074092036327,0.9999999988399353,2.836431627248745e-17,2.8323398505543163e-29,6.828514871094153e-18,5.84272069252719e-07,2.2571503064931696e-09,1.0072677548589061e-11,1.0886670579184273e-09,9.961981151421874e-13,1.1598421874332466e-09,2.7963284386505345e-13,1.6032736596267288e-15,9.19474622536861e-14,3.529207262262831e-23,1.5513390148137557e-15,2.9098816033508635e-27,1.2758166814912341e-13,1.2761000528057505e-13,1.63730901563804e-21
3.018303590921305e-11,0.4582470723841178,3.76,0.0,0.6662072950068395,0.9999999983898481,7.383275155988767e-17,8.36216950636312e-29,1.3146880529412328e-17,8.108932016720111e-07,3.1376851352544748e-09,1.9401638836289488e-11,1.51132163879537e-09,1.9208151844861448e-12,1.609723137180219e-09,5.387082212692963e-13,3.089520881167973e-15,1.7705968181596605e-13,9.231521546412636e-23,2.988144478246301e-15,1.0044558235093474e-26,2.4572419614630476e-13,2.457979581313367e-13,4.262829670893076e-21
3.861846952771332e-11,0.4582470819894063,3.76,0.0,0.6662071808069505,0.9999999979396924,1.525398691020717e-16,1.927479065301658e-28,2.1512122421740657e-17,1.0375111985538808e-06,4.021032444852364e-09,3.176124433471513e-11,1.9341920680757366e-09,3.14770514023776e-12,2.0596056415450407e-09,8.820339882219394e-13,5.059893988324718e-15,2.8977728286706226e-13,1.9163292451317893e-22,4.89172562385452e-15,2.57421275812932e-26,4.0222856763699373e-13,4.023809612933478e-13,8.80888013286554e-21
4.705390314621359e-11,0.4582470915947161,3.76,0.0,0.6662070666039656,0.9999999974894682,2.7427443313474264e-16,3.8250024394750495e-28,3.192117618247379e-17,1.2641260599539197e-06,4.907191244098072e-09,4.7151449300941706e-11,2.3572792986106754e-09,4.677869511833251e-12,2.5094897057881774e-09,1.3096548350289362e-12,7.515071316130303e-15,4.300762786057631e-13,3.4620230208385155e-22,7.262080466183109e-15,5.537767148225261e-26,5.970844536116196e-13,5.973584651329711e-13,1.584204426319691e-20
5.548933676471386e-11,0.45824710120004747,3.76,0.0,0.666206952397885,0.9999999970391755,4.487398088750567e-16,6.855872157733069e-28,4.437100839705005e-17,1.4907377859271912e-06,5.796160550801858e-09,6.557220940614293e-11,2.780584274609454e-09,6.512301002260427e-12,2.95937533512763e-09,1.8216152990082304e-12,1.0455723375729024e-14,5.979329076496213e-13,5.691529457956605e-22,1.0099207051318493e-14,1.0600561145331776e-25,8.30281615476792e-13,8.307299251131236e-13,2.5924526716348137e-20
7.23602040017144e-11,0.4582471204107752,3.76,0.0,0.6662067239764362,0.9999999961383851,9.930732922718186e-16,1.801255107224475e-27,7.538140502852253e-17,1.9439518318045176e-06,7.582526922347736e-09,1.1150522497704181e-10,3.627851081515191e-09,1.1097771495207608e-11,3.859151309129266e-09,3.0987275231252475e-12,1.779600960638307e-14,1.0162280568758895e-12,1.2725990365805313e-21,1.717376802172641e-14,3.0985566658773324e-25,1.4116605032959714e-12,1.4126526244937361e-12,5.739740020928243e-20
8.923107123871493e-11,0.4582471396215898,3.76,0.0,0.6662064955426041,0.9999999952373209,1.8609379242372983e-15,3.899547123323408e-27,1.1451981185051286e-16,2.39715333661365e-06,9.380123932904242e-09,1.695599463455017e-10,4.475999819987442e-09,1.6911828623846927e-11,4.758933604152141e-09,4.713720675254997e-12,2.708593085724737e-14,1.544478362667102e-12,2.4089294954154652e-21,2.611539349171746e-14,7.226091882212723e-25,2.1462856714427385e-12,2.1481448250135783e-12,1.0760561225464428e-19
9.999999999999999e-11,0.4582471588324921,3.76,0.0,0.6662063497233722,0.999999994662015,2.6186641000751957e-15,5.954805952276059e-27,1.4374166960615334e-16,2.6864321285188177e-06,1.0533425976814413e-08,2.1295519629127713e-10,5.017850445322082e-09,2.126897017257637e-11,5.333281524432453e-09,5.921428463896855e-12,3.4037618135444223e-14,1.93907742804339e-12,3.411423893070785e-21,3.2799212706314254e-14,1.1454735405742491e-24,2.695300994556871e-12,2.697917147575891e-12,1.5146235943696182e-19
1.0610193847571547e-10,0.4582471588324921,3.76,0.0,0.6662062670963889,0.9999999943359831,3.1275486717872645e-15,7.419946084102334e-27,1.617628384882837e-16,2.8503423007812885e-06,1.1188943978385447e-08,2.3973602945878455e-10,5.32503779923708e-09,2.3962164535049193e-11,5.6587222607435e-09,6.6669469297808105e-12,3.8330628563985546e-14,2.1825001047707703e-12,4.088640514446486e-21,3.6924068561849054e-14,1.453360327536176e-24,3.0340777506701357e-12,3.0372023001610184e-12,1.809240289742401e-19
1.22972805712716e-10,0.4582471780434827,3.76,0.0,0.6662060386377903,0.9999999934343718,4.868096808543871e-15,1.2886870878179711e-26,2.1708715800586683e-16,3.3035187247339133e-06,1.30089794613722e-08,3.220331301983121e-10,6.174972321712489e-09,3.2256467713442086e-11,6.558517319483665e-09,8.958761528102505e-12,5.153521705534007e-14,2.930109833185288e-12,6.426232418108735e-21,4.959977845446014e-14,2.6373023804347227e-24,4.074957394567478e-12,4.079820822555865e-12,2.8173392201436245e-19
1.5671454018671708e-10,0.4582472164657313,3.76,0.0,0.6662055816834426,0.99999999163033,1.007171723697493e-14,3.2324002744481054e-26,3.5188675660996953e-16,4.209833953699156e-06,1.6682666384015086e-08,5.229890071979176e-10,7.877560171289729e-09,5.260771615259859e-11,8.358126806008283e-09,1.455959764443794e-11,8.384435121111916e-14,4.75336099125026e-12,1.3560166580297745e-20,8.05522443939271e-14,7.089626778448646e-24,6.615662032772152e-12,6.625724088324609e-12,5.834020721890497e-19
1.9045627466071815e-10,0.458247254888341,3.76,0.0,0.6662051246795611,0.9999999898251962,1.807296374531852e-14,6.803665163396129e-26,5.187331776558799e-16,5.116099026917483e-06,2.0401124040493722e-08,7.724248228048253e-10,9.583821667183036e-09,7.802702072371826e-11,1.0157762389051508e-08,2.15191303096847e-11,1.240537369861159e-13,7.012769201323609e-12,2.4805093759978262e-20,1.1897267543098152e-13,1.5704185717216975e-23,9.76776516007954e-12,9.785820782621454e-12,1.0477888926936865e-18
2.2419800913471923e-10,0.458247293311317,3.76,0.0,0.6662046676261452,0.9999999880189719,2.947247105962578e-14,1.2714034618536157e-25,7.174420023448204e-16,6.0223139477926905e-06,2.4164291889011454e-08,1.0703378222937516e-09,1.1293814988558233e-08,1.085757552924694e-10,1.1957424394350557e-08,2.9840306754387703e-11,1.7220335872324931e-13,9.706876344136683e-12,4.121808808527922e-20,1.6486095759223122e-13,3.0561752208531355e-23,1.3530632877170488e-11,1.3560077062575093e-11,1.7101615288770767e-18
2.579397436087203e-10,0.4582473317346647,3.76,0.0,0.6662042105231942,0.999999986211658,4.4870253342464734e-14,2.1809120357644337e-25,9.478298819815104e-16,6.928478719723725e-06,2.7972109518049075e-08,1.4167252510530363e-09,1.30075981837772e-08,1.4431521083176804e-10,1.3757113148033108e-08,3.9526121695223386e-11,2.2833276211442703e-13,1.2834229162416583e-11,6.392229983608941e-20,2.1821697890419109e-13,5.424566316651382e-23,1.7903631905715524e-11,1.7948459085780554e-11,2.6058752592750254e-18
2.916814780827214e-10,0.45824737015838884,3.76,0.0,0.666203753370708,0.9999999844032555,6.486568628755917e-14,3.5067518305916284e-25,1.2097145331507859e-15,7.834593346104596e-06,3.1824516647610554e-08,1.8115843546803097e-09,1.4725229169235543e-08,1.853065938037795e-10,1.5556828976601797e-08,5.05796168920758e-11,2.924810585187557e-13,1.6393379273212234e-11,9.410747392822044e-20,2.7904062938779905e-13,8.987012657115193e-23,2.288612960744461e-11,2.2950933011480076e-11,3.770371866633158e-18
