Time (s),Volume (m^3),N2,Ne,C2H6(1),O2(2),H2O(3),C(4),CH(5),CH3(18),C2H5(31),CH4(30),H(6),C2H4(29),HO2(12),H2(9),C2H5O2(40),CH3O2(36),C2H3(28),H2O2(13),C2H2(22),OH(8),CH2O(19),HCO(16),CO(14),O(7),CH2CHO(34),C2H5O(43),C2H(21),HCCO(20),C2H5O(101),C3H6(221),C3H6(74),CH3O(26),CH2CO(27),C3H6(55),C3H7(218),C3H7(49),C2H2O(140),CO2(15),C#CC(416),C3H5(219),C2H4(47),C3H4(2022),C3H4(2032),S(1627),CH2(S)(24),CH2(T)(17),S(3168)
1.744381892788975e-17,0.3460329277696009,3.76,0.0,0.711960277312271,0.9999999999999992,3.953430171800182e-35,5.301785200310766e-48,2.3091155765578642e-30,3.15629378420537e-13,1.4391725764465161e-15,2.31434188115729e-20,6.103918870296562e-16,6.663414644904592e-25,8.287806834171196e-16,2.1241749563317713e-25,1.9450173552640336e-27,9.752605828976976e-26,7.007783501583066e-41,1.370854292991798e-27,8.667461224127366e-51,1.0222656771935164e-25,8.364822787084285e-26,1.613057614786399e-39,6.434840886382846e-39,3.980764076544415e-22,3.022626708544391e-51,8.356289092585175e-29,1.4913807287406968e-70,3.516010765645311e-70,2.3301099804845533e-36,1.6167043649387305e-54,2.0620139015939294e-45,1.482152045297833e-26,5.298725204674918e-55,3.7795061345876336e-55,1.9885499623173465e-49,2.5675098808602365e-48,8.928865762014495e-66,4.942895429467864e-39,1.94467262954856e-67,1.923583285699725e-55,8.416262902459278e-41,2.1527966577290673e-66,5.4181760373569645e-80,2.461775665889313e-72,2.3136530453353648e-20,5.678429429864518e-29,5.839324401107453e-46
3.490279321540408e-17,0.3460329277696109,3.76,0.0,0.7119602773121115,0.9999999999999984,3.165147992458978e-34,4.2446551628441386e-47,9.242480006007009e-30,6.315329787020559e-13,2.879595532909715e-15,4.632073337961305e-20,1.221314089327311e-15,2.6671024041665145e-24,1.658281419567807e-15,8.502235590138885e-25,7.785138294696295e-27,3.903583929751716e-25,5.610487882521387e-40,5.486989721342354e-27,1.3879230949507641e-49,4.0917268096576957e-25,3.348109051682295e-25,1.2914268995727368e-38,5.151785384435986e-38,7.96565691833881e-22,4.840140978535137e-50,3.344693186113801e-28,4.776438496448666e-69,1.1265052653772514e-68,1.865504675235817e-35,2.5897373171895566e-53,1.6514361631188203e-44,5.932470769722983e-26,8.484869255816109e-54,6.054246971946416e-54,1.628431634791758e-48,2.1584559999213808e-47,2.859641166772864e-64,3.9573218285353005e-38,6.230436239438117e-66,3.0813150739462965e-54,6.738127403428886e-40,6.897233651458179e-65,3.471870228943604e-78,7.884331878935173e-71,4.6293161995156964e-20,2.2728516093347865e-28,4.675010072373357e-45
6.982074179043274e-17,0.346032927769631,3.76,0.0,0.7119602773117928,0.9999999999999968,2.5330803468375573e-33,3.3970194339844637e-46,3.6981958678951e-29,1.2633401792222494e-12,5.760441484487352e-15,9.271674606674755e-20,2.4431584964948152e-15,1.0671883760306165e-23,3.3172828919028674e-15,3.402001707618243e-24,3.115069388803959e-26,1.5619420338375641e-24,4.4900955260541087e-39,2.1955106020323546e-26,2.221580870079949e-48,1.6372236956752704e-24,1.339679732966604e-24,1.0335340101089007e-37,4.122994045813433e-37,1.5937454191183808e-21,7.747377833543046e-49,1.338312810700343e-27,1.529106020730248e-67,3.6070299831283573e-67,1.4929705198346678e-34,4.145990058752941e-52,1.3220626697921838e-43,2.3737610390498616e-25,1.358133318742228e-52,9.692427829849282e-53,1.3610006947375089e-47,1.8915078212397865e-46,9.154699954116675e-63,3.1670601624040494e-37,1.9949380972830564e-64,4.932971713587741e-53,5.392549190290672e-39,2.208441311545421e-63,2.2233540911774195e-76,2.5240608710415146e-69,9.260642461553616e-20,9.094366931417266e-28,3.741428876518431e-44
1.3965663894049006e-16,0.34603292776967115,3.76,0.0,0.7119602773111552,0.9999999999999934,2.0268491403560828e-32,2.7181401009743367e-45,1.479519140584698e-28,2.5269545800912608e-12,1.1522133542247582e-14,1.856743056452107e-19,4.886847321118602e-15,4.2694484809740646e-23,6.635285836707735e-15,1.361022211368651e-23,1.246230604421937e-25,6.24878518358681e-24,3.5927587485399986e-38,8.783472038670703e-26,3.555252796910501e-47,6.54996087645862e-24,5.359591286072318e-24,8.269842371620362e-37,3.2990216640120884e-36,3.188909509388272e-21,1.2398327296705546e-47,5.3541216579363616e-27,4.894186309146567e-66,1.1546042096874515e-65,1.1946029537393945e-33,6.635514626601793e-51,1.0583091300110312e-42,9.496589785015645e-25,2.173460803965e-51,1.551238977283104e-51,1.1812522330832686e-46,1.7758449711803067e-45,2.930119588072522e-61,2.5341292989854252e-36,6.385721771056328e-63,7.895050412863129e-52,4.314857729735599e-38,7.069136157859342e-62,1.4233812409464566e-74,8.078779628130343e-68,1.8523294800338488e-19,3.638338936380278e-27,2.9937115352626317e-43
2.7932843324060474e-16,0.3460329277697513,3.76,0.0,0.7119602773098801,0.9999999999999868,1.6216332730923253e-31,2.1747320395858288e-44,5.918558071716152e-28,5.054183381143782e-12,2.3045518276187873e-14,3.722515616187323e-19,9.774225011521295e-15,1.707918436972706e-22,1.3271291726856464e-14,5.444531953316398e-23,4.985328190967915e-25,2.4997174811648016e-23,2.8744801093285954e-37,3.513674761875648e-25,5.688983558834883e-46,2.6201975831464198e-23,2.1440110019876076e-23,6.61650207017277e-36,2.6394679260531553e-35,6.382456232718892e-21,1.9839343160444393e-46,2.141822133413654e-26,1.5663159005707714e-64,3.6953034158937963e-64,9.557726319066816e-33,1.0618373265420336e-49,8.473804077232923e-42,3.798945018851401e-24,3.477908104815233e-50,2.482342083478515e-50,1.0926216086095869e-45,1.8405177443259157e-44,9.377366004777493e-60,2.027495905642514e-35,2.043739212987012e-61,1.2633920196833087e-50,3.4522124424756816e-37,2.2624639419395035e-60,9.111033274682249e-73,2.585536637713063e-66,3.7048598736744404e-19,1.4554540002687454e-26,2.395196602342725e-42
5.58672021840834e-16,0.34603292776991174,3.76,0.0,0.7119602773073298,0.9999999999999735,1.2973682048162933e-30,1.7398898039776658e-43,2.367519444571017e-27,1.010864098050682e-11,4.6092290217747736e-14,7.480546208307061e-19,1.9548980556947174e-14,6.831952161472959e-22,2.6543303509309876e-14,2.177901421767041e-22,1.9942124712024984e-24,9.999276623374015e-23,2.299693577915654e-36,1.4055270960168927e-24,9.102837911059428e-45,1.0481216801908281e-22,8.576393029830463e-23,5.29345292186465e-35,2.111674579540425e-34,1.2782423850441608e-20,3.17445680219465e-45,8.567630484948017e-26,5.012548840039888e-63,1.1825898650080641e-62,7.646536455476905e-32,1.699065380517925e-48,6.789487591688845e-41,1.5196397963637148e-23,5.56499053356038e-49,3.9720327047137625e-49,1.1101678451243404e-44,2.1440088705086672e-43,3.0009133289566046e-58,1.6220736804343468e-34,6.540465213605132e-60,2.0215752699981665e-49,2.7618986607381565e-36,7.240432315801306e-59,5.831510131492159e-71,8.274506613628239e-65,7.409920364490126e-19,5.82205273709571e-26,1.9162481983396113e-41
1.1173591990412926e-15,0.34603292777023265,3.76,0.0,0.7119602773022292,0.9999999999999469,1.0379191970160537e-29,1.3919794079827638e-42,9.470269498115827e-27,2.021755616826487e-11,9.218584399558436e-14,1.5102549283027733e-18,3.9098492306281133e-14,2.7328367999097747e-21,5.3087327082840523e-14,8.71178309683901e-22,7.977012575490727e-24,3.9997918855555503e-22,1.839799044357177e-35,5.622222768227997e-24,1.4564914990138311e-43,4.192572007355655e-22,3.4306270450205893e-22,4.2348628195142686e-34,1.6893797528327807e-33,2.563385576931804e-20,5.079261453091928e-44,3.427116584212197e-25,1.6041054731484756e-61,3.784446073298228e-61,6.11736221665555e-31,2.718610447831452e-47,5.447786837314475e-40,6.078682490522797e-23,8.90438577251209e-48,6.355472863231889e-48,1.2657987179130736e-43,2.789697515933292e-42,9.603165330437148e-57,1.2976896718998625e-33,2.0930329857081526e-58,3.234641631061493e-48,2.2095675267514896e-35,2.317027935287524e-57,3.732313867039628e-69,2.6481385892870276e-63,1.4820040160259776e-18,2.3288683438080085e-25,1.533034865355878e-40
2.2347335534422096e-15,0.34603292777087435,3.76,0.0,0.7119602772920282,0.9999999999998939,8.303452077587135e-29,1.1136519844565544e-41,3.7881455712619735e-26,4.0435386499908875e-11,1.8437299113012355e-13,3.077032299346561e-18,7.819751843887951e-14,1.0931461084184907e-20,1.0617537426439718e-13,3.484748821593025e-21,3.190837807149989e-23,1.5999329176197307e-21,1.4718575240120424e-34,2.2489119839996012e-23,2.3304172886348805e-42,1.6770458533800445e-21,1.3722648067260535e-21,3.3879304058337486e-33,1.3515198264013876e-32,5.1542706334275663e-20,8.126926136897304e-43,1.3708563108596724e-24,5.13351019189348e-60,1.2110545454863572e-59,4.893928416384308e-30,4.349878376564376e-46,4.383938633864783e-39,2.431497437618914e-22,1.4247756723321745e-46,1.0168908147478142e-46,1.6168827478784883e-42,3.950917634541818e-41,3.0730470868581027e-55,1.0381639396841758e-32,6.697866748232106e-57,5.175532413938874e-47,1.767668843466566e-34,7.414645279005714e-56,2.3887328371859023e-67,8.47560692924808e-62,2.9640275008354367e-18,9.315567081392238e-25,1.2264423177549078e-39
4.469482262244044e-15,0.3460329277721578,3.76,0.0,0.7119602772716259,0.9999999999997877,6.642801010901824e-28,8.910152619288191e-41,1.5152653251075474e-25,8.087104698770849e-11,3.6874744371465197e-13,6.380094065090145e-18,1.5639558123981152e-13,4.372608821013833e-20,2.12351468765492e-13,1.3939067257105202e-20,1.2763418691024044e-22,6.399763325510591e-21,1.1774943194378449e-33,8.995693687000332e-23,3.7286953922625793e-41,6.7082174582873705e-21,5.489087380271027e-21,2.71036031586572e-32,1.0812222520034798e-31,1.0418435432085584e-19,1.3003178804181076e-41,5.483418990227102e-24,1.6429294027152246e-58,3.875466649208086e-58,3.915134864952316e-29,6.959941089967048e-45,3.548203351267597e-38,9.72603687492446e-22,2.2798342348917514e-45,1.627029472024781e-45,2.260288655724181e-41,5.911377484604119e-40,9.83377562134128e-54,8.305358902122547e-32,2.1433601769544313e-55,8.280964804445572e-46,1.414133615781694e-33,2.3727194519972928e-54,1.5288117862505974e-65,2.7131413713782785e-60,5.928072573078216e-18,3.726244939775978e-24,9.811594685945922e-39
8.938979679847714e-15,0.3460329277747247,3.76,0.0,0.7119602772308214,0.9999999999995753,5.314256465083944e-27,7.129557448712065e-40,6.061071830997431e-25,1.617423672613542e-10,7.37496982145398e-13,1.3664245685260488e-17,3.127917489847235e-13,1.749049694148577e-19,4.2470365831960835e-13,5.575641940783959e-20,5.10538249550348e-22,2.5599111236987207e-20,9.420003512778457e-33,3.5982866229260792e-22,5.9659444699050805e-40,2.683293747275521e-20,2.1956407234395062e-20,2.1682945387976058e-31,8.649803278615248e-31,2.1276343730344544e-19,2.080519802673334e-40,2.193345859764115e-23,5.258641600217482e-57,1.240190444869475e-56,3.1320674247278973e-28,1.1136188240406862e-43,2.9042138530658276e-37,3.8904227680098984e-21,3.6483181049780816e-44,2.6032250282003034e-44,3.3550803146392812e-40,9.130120190225777e-39,3.146793152119144e-52,6.6443037966898316e-31,6.858930043360816e-54,1.3249724595797356e-44,1.1312944887390796e-32,7.592806320024617e-53,9.784546919598748e-64,8.688028506511971e-59,1.1856155128073125e-17,1.4905010900861986e-23,7.849295713023271e-38
1.787797451505505e-14,0.3460329277798586,3.76,0.0,0.7119602771492126,0.9999999999991507,4.251411301466599e-26,5.705917144031748e-39,2.4244279083854556e-24,3.234850050008314e-10,1.4749985920527636e-12,3.0944661232807093e-17,6.255842530475957e-13,6.996221414208324e-19,8.494080396355546e-13,2.230260298918521e-19,2.0421572232838708e-21,1.023965178159152e-19,7.536047602968644e-32,1.4393164771218271e-21,9.545567530578956e-39,1.0733188156975995e-19,8.782575561591411e-20,1.734637968851531e-30,6.919852246314965e-30,4.431047479685183e-19,3.328851842951772e-39,8.773176088063271e-23,1.6835682378251792e-55,3.96884132615415e-55,2.505578043615764e-27,1.7818675786863716e-42,2.4284003382717372e-36,1.5561695853186148e-20,5.839148680883848e-43,4.165060839619648e-43,5.159023812970238e-39,1.4345700294244043e-37,1.0069592795933931e-50,5.315446061085674e-30,2.1949547951358814e-52,2.11999843221772e-43,9.050117179083319e-32,2.4297464697861416e-51,6.262256448624368e-62,2.783980345669775e-57,2.3712289880211732e-17,5.962006530515765e-23,6.279440566763968e-37
3.575596418546973e-14,0.3460329277901264,3.76,0.0,0.711960276985995,0.9999999999983012,3.4011312798877187e-25,4.568357440544965e-38,9.697686544597708e-24,6.4697026924853e-10,2.95001194404392e-12,7.635394117650975e-17,1.2511699354723856e-12,2.7985013380961837e-18,1.6988168110983538e-12,8.921052361033454e-19,8.168647113337022e-21,4.095858729838112e-19,6.028896334496852e-31,5.757269550985662e-21,1.527305204585924e-37,4.29327760831994e-19,3.5130336583255955e-19,1.3877110275968954e-29,5.535884875865763e-29,9.565199213960008e-19,5.326214440821778e-38,3.50909787390099e-22,5.392543895986342e-54,1.2701739150941126e-53,2.0043365503013428e-26,2.851227482463307e-41,2.110763557173498e-35,6.224670293569572e-20,9.348501473933631e-42,6.663757262287327e-42,8.087159576432915e-38,2.2743051381261958e-36,3.2221685960604396e-49,4.252352224379916e-29,7.024455373850471e-51,3.3921233652738616e-42,7.239695696868148e-31,7.77547448372362e-50,4.0080187439785966e-60,8.933103130274238e-56,4.742443795397497e-17,2.3847997997260204e-22,5.0235476690179096e-36
7.151194352629908e-14,0.34603292781066186,3.76,0.0,0.7119602766595596,0.9999999999966024,2.7209055785277396e-24,3.6604797856906894e-37,3.8790508475104263e-23,1.2939407528189091e-09,5.900079176675388e-12,2.1056629341663903e-16,2.5023439975729587e-12,1.1194096856238139e-17,3.3976343893480015e-12,3.5684264736651725e-18,3.2674703053178036e-20,1.6383403432581686e-18,4.823204902281068e-30,2.3029085381692366e-20,2.4437314920918633e-36,1.7173112820017157e-18,1.4052148701556112e-18,1.1101686309134863e-28,4.428707899478973e-28,2.1942802630280043e-18,8.522097685347658e-37,1.4034997828784192e-21,1.728892358556521e-52,4.065475265188247e-52,1.6032660725048008e-25,4.56272220946149e-40,1.957483573982347e-34,2.4898593047830056e-19,1.4976348364698293e-40,1.066090539888067e-40,1.28056506060431e-36,3.622058710363388e-35,1.0310279800183644e-47,3.4018705955155274e-28,2.248205887748095e-49,5.427791114834508e-41,5.791113349743252e-30,2.4883304652949325e-48,2.565351024681114e-58,2.8741801992208946e-54,9.484824838657257e-17,9.53916760239683e-22,4.01882600898125e-35
1.4302390220795777e-13,0.34603292785173284,3.76,0.0,0.7119602760066884,0.9999999999932048,2.1767241393027907e-23,2.9376521221165768e-36,1.5516005832202981e-22,2.587881540259633e-09,1.1800375756082546e-11,6.525661429740886e-16,5.004702911216573e-12,4.477709810350143e-17,6.795269687146866e-12,1.427374332360184e-17,1.3069966667423722e-19,6.553333058896796e-18,3.8587023028035135e-29,9.211635502432254e-20,3.9101061763649907e-35,6.869243761977303e-18,5.620868054821737e-18,8.881341048130603e-28,3.5429643472074035e-27,5.513519216591079e-18,1.3635842795318471e-35,5.612881858452447e-21,5.553434514694467e-51,1.301538826172733e-50,1.2822871779209914e-24,7.302775332187936e-39,1.99620022457062e-33,9.95936196973087e-19,2.4022133387297983e-39,1.705389544208726e-39,2.038205567835384e-35,5.781753654430813e-34,3.2988653940716835e-46,2.721477068690535e-27,7.196685853830103e-48,8.68571855568852e-40,4.631859325281829e-29,7.963793933096697e-47,1.642103536985486e-56,9.297084055193392e-53,1.8969392644906759e-16,3.815639945339443e-21,3.215039617429909e-34
2.1453586088961647e-13,0.34603292789280393,3.76,0.0,0.7119602753538173,0.9999999999898072,6.224069832573161e-23,8.417529715525995e-36,3.29712201532941e-22,3.881822148000362e-09,1.7700834449181553e-11,1.2681411131992735e-15,7.507072614741249e-12,9.51523712730677e-17,1.019290512624867e-11,3.033175762175639e-17,2.7773802912343663e-19,1.3925790284959386e-17,1.1033718553346047e-28,1.9574726195490845e-19,1.4392041144399504e-34,1.4597140071458352e-17,1.1944356455698619e-17,2.5395072586487772e-27,1.0130671097642418e-26,9.676474731683471e-18,5.018986744103994e-35,1.1925732610266564e-20,2.5397415566035415e-50,6.087426049696075e-50,3.666004857296236e-24,2.784591631690465e-38,6.652225726766279e-33,2.1163532376221802e-18,8.852361507865417e-39,6.501169902423393e-39,7.761638207188359e-35,2.20314150873166e-33,1.5060667851942718e-45,7.781693504582282e-27,3.3780980750535755e-47,3.311652810738955e-39,1.3242528347408882e-28,3.737906932275796e-46,9.229054437269502e-56,4.263231944065845e-52,2.845376617714192e-16,8.10819876961568e-21,9.192971651018622e-34
