Time (s),Volume (m^3),N2,Ne,C2H6(1),O2(2),H2O(3),C(4),CH(5),CH3(18),C2H5(31),CH4(30)
1.5748970558094448e-09,0.1311491986260748,3.76,0.0,0.847435275714412,1.0,0.0,0.0,0.0,0.0002027048845738729,1.4388626446527633e-06,1.4388626446527633e-06
1.790743318748796e-09,0.13114952577632982,3.76,0.0,0.8474208673195072,1.0,0.0,0.0,0.0,0.00023026108776787405,1.8590581832210919e-06,1.8590581832210919e-06
2.222435844627498e-09,0.13115018005444876,3.76,0.0,0.8473918913219681,1.0,0.0,0.0,0.0,0.00028521141423651353,2.8596143864284725e-06,2.8596143864284725e-06
3.0858208963849017e-09,0.1311514885146412,3.76,0.0,0.847333305761954,1.0,0.0,0.0,0.0,0.00039446618218770736,5.4983984120246354e-06,5.4983984120246354e-06
3.949205948142306e-09,0.13115279683462136,3.76,0.0,0.8472738816372631,1.0,0.0,0.0,0.0,0.0005028643998075634,8.981742332524304e-06,8.981742332524304e-06
4.81259099989971e-09,0.1311541050000928,3.76,0.0,0.847213626324972,1.0,0.0,0.0,0.0,0.0006104116104053628,1.3302880327360588e-05,1.3302880327360588e-05
5.6759760516571146e-09,0.13115541299708222,3.76,0.0,0.8471525471461941,1.0,0.0,0.0,0.0,0.0007171133429019182,1.8455088680431168e-05,1.8455088680431168e-05
6.539361103414519e-09,0.13115672081193655,3.76,0.0,0.8470906513663874,1.0,0.0,0.0,0.0,0.0008229751114306428,2.4431685708818513e-05,2.4431685708818513e-05
7.402746155171923e-09,0.13115802843131608,3.76,0.0,0.8470279461956491,1.0,0.0,0.0,0.0,0.0009280024149618641,3.1226031690562794e-05,3.1226031690562794e-05
9.129516258686732e-09,0.13116064303182723,3.76,0.0,0.8469001362466695,1.0,0.0,0.0,0.0,0.0011355755450434047,4.724162098305546e-05,4.724162098305546e-05
9.999999999999999e-09,0.13116325669799073,3.76,0.0,0.8468345071969727,1.0,0.0,0.0,0.0,0.0012389721291070756,5.6528792759655717e-05,5.6528792759655717e-05
1.085628636220154e-08,0.13116325669799073,3.76,0.0,0.8467691738840157,1.0,0.0,0.0,0.0,0.0013398764081655494,6.644957504487232e-05,6.644957504487232e-05
1.2583056465716349e-08,0.13116586933381774,3.76,0.0,0.8466351148256795,1.0,0.0,0.0,0.0,0.0015409484144168265,8.879827851853395e-05,8.879827851853395e-05
1.4309826569231157e-08,0.13116848084795213,3.76,0.0,0.8464980139324709,1.0,0.0,0.0,0.0,0.0017388346986239329,0.00011423677925537223,0.00011423677925537223
