Time (s),Volume (m^3),N2,Ne,C2H6(1),O2(2),H2O(3),C(4),CH(5),CH3(18),C2H5(31),CH4(30),H(6),C2H4(29),HO2(12),H2(9),C2H5O2(40),CH3O2(36),C2H3(28),H2O2(13),C2H2(22),OH(8),CH2O(19),HCO(16),CO(14),O(7),CH2CHO(34),C2H5O(43),C2H(21),HCCO(20),C2H5O(101),C3H6(221),C3H6(74),CH3O(26),CH2CO(27),C3H6(55),C3H7(218),C3H7(49),C2H2O(140),CO2(15),C#CC(416),C3H5(219),C2H4(47),C3H4(2022),C3H4(2032),S(1627),CH2(S)(24),CH2(T)(17),S(3168),CH2O2(165),CHO2(212)
1.810998915234004e-18,0.6371063623872063,3.76,0.0,0.5053514339651441,0.9999999999999997,2.9057573154890044e-37,2.9702291641525342e-46,8.337357370045858e-30,3.2227692077594784e-13,1.1282572995262048e-15,6.558312908430271e-20,7.581490782537829e-16,1.0318173305705595e-25,3.7010822072790157e-16,1.9079927764938537e-26,3.509162125668346e-29,2.211967765078814e-27,3.7725339500151015e-41,7.120949823924763e-29,9.413157186909235e-52,1.3446989265446905e-26,1.0985438715387077e-26,1.5734808636121862e-40,5.0544561789377305e-40,2.6007731858149766e-21,1.0599448083908507e-52,1.1974396717814901e-29,1.4899156763552908e-70,1.2244497842329003e-71,9.97615670065392e-39,3.054942250472259e-56,2.3290647235941268e-46,2.772010727968095e-27,2.532675592873457e-56,1.0306389654810987e-55,1.3843649568789923e-50,1.905717186762863e-49,1.2214298736837974e-67,1.9438048895964966e-40,3.764901497880719e-69,6.972801552749891e-57,1.5372675021343937e-41,3.811696271783064e-68,4.789328098518447e-82,1.2801788421205086e-73,6.55824188874645e-20,1.3130017329485253e-29,4.489991900135599e-46,7.319413637220783e-45,1.4592302288347642e-39
3.623571243947795e-18,0.637106362387226,3.76,0.0,0.5053514339649817,0.9999999999999993,2.3263726787743594e-36,2.377989365643243e-45,3.3371157255533845e-29,6.44833838875044e-13,2.257494841225729e-15,1.3122465903412924e-19,1.5169568439667887e-15,4.1299583178153265e-25,7.4053799507944e-16,7.636943479354884e-26,1.4045793644777313e-28,8.853635613423403e-27,3.020321024263587e-40,2.850235702644765e-28,1.5073315953699533e-50,5.382300092785073e-26,4.3970383743396117e-26,1.2597414345809795e-39,4.046638335349213e-39,5.203816448289802e-21,1.6972927076931556e-51,4.7928792928962816e-29,4.771742047453683e-69,3.9229773291515444e-70,7.986991259424014e-38,4.8935946999036476e-55,1.8651708670659862e-45,1.1095266977975152e-26,4.055581200382522e-55,1.650941398427445e-54,1.111266489058083e-49,1.5325067943153867e-48,3.911864458421947e-66,1.5562258563285635e-39,1.206217340533979e-67,1.1169465854940703e-55,1.2307487226890353e-40,1.2212095748814488e-66,3.06891581969007e-80,4.1000201443504703e-72,1.312218163959501e-19,5.255428715616582e-29,3.594723633109993e-45,5.859981425031785e-44,1.1682714552480467e-38
7.248715901375376e-18,0.6371063623872651,3.76,0.0,0.5053514339646569,0.9999999999999986,1.8618051758158196e-35,1.903114224563918e-44,1.3352809692721495e-28,1.2899476750684587e-12,4.515969928384789e-15,2.625119856003085e-19,3.0345723758812277e-15,1.6525212806813675e-24,1.4813975437827202e-15,3.055772150256826e-25,5.62014700859737e-28,3.542607483810038e-26,2.417174759997844e-39,1.1404655414451003e-27,2.4127122009662082e-49,2.1536211142204958e-25,1.7593880906928723e-25,1.0081760087466462e-38,3.2385405515016814e-38,1.0409934485744859e-20,2.7167736976139795e-50,1.917776008933277e-28,1.5275997484123028e-67,1.2561114390472523e-68,6.3920203668791515e-37,7.834305360282782e-54,1.4929408951364895e-44,4.4395520147664514e-26,6.491572441957437e-54,2.6430424759671907e-53,8.937085496355553e-49,1.2368516507793016e-47,1.2523231236418637e-64,1.2454536987877474e-38,3.862215657827455e-66,1.78815396888901e-54,9.84973022257005e-40,3.9102192930555566e-65,1.9653058369393767e-78,1.3125587862185627e-70,2.625006113448842e-19,2.102856039580926e-28,2.8768714255184523e-44,4.689766105471245e-43,9.349722221106665e-38
1.4499005216230535e-17,0.6371063623873436,3.76,0.0,0.5053514339640073,0.9999999999999971,1.489727014264327e-34,1.5227805493015253e-43,5.341993356623106e-28,2.5801753474361805e-12,9.03292011774295e-15,5.251037053987714e-19,6.069803441663816e-15,6.611161192542519e-24,2.963116641190095e-15,1.2225078404840364e-24,2.248424766506524e-27,1.417273673467255e-25,1.9341070667483296e-38,4.562604792297094e-27,3.861125043882663e-48,8.615886811160282e-25,7.038698008981559e-25,8.066939840906673e-38,2.591324500655509e-37,2.0822296610676588e-20,4.347722437339533e-49,7.672352739151953e-28,4.889347450614282e-66,4.020771337704524e-67,5.114587384300067e-36,1.2538536619444741e-52,1.1947323856743752e-43,1.7761098906731987e-25,1.0388633659788418e-52,4.230097320401144e-52,7.219415548640845e-48,1.0060961810852263e-46,4.0082766003783157e-63,9.965522588737991e-38,1.2362805994566452e-64,2.861878429587161e-53,7.881280607538745e-39,1.2516462033023683e-63,1.2581800063752984e-76,4.201074586881103e-69,5.250582009706044e-19,8.412793472293113e-28,2.3019342523857185e-43,3.7525254197560395e-42,7.4811982684521365e-37
2.899958384594086e-17,0.6371063623875005,3.76,0.0,0.505351433962708,0.9999999999999941,1.191894773026701e-33,1.2183401437346161e-42,2.1369712490107375e-27,5.160630692095185e-12,1.806682055661945e-14,1.0503554116601127e-18,1.2140265581043827e-14,2.6446797138574396e-23,5.9265548360081034e-15,4.890429353732554e-24,8.994431050721307e-27,5.669556081796202e-25,1.5474325790634331e-37,1.8251904527724702e-26,6.178428591419521e-47,3.4466352155504395e-24,2.815708350044994e-24,6.454164645456257e-37,2.0732564469750596e-36,4.1647525060626503e-20,6.957063631784422e-48,3.0691908077303776e-27,1.5647559267454268e-64,1.286841465017698e-65,4.0920582885410857e-35,2.006458959235156e-51,9.560304553247736e-43,7.105017764403412e-25,1.6623518536400137e-51,6.769139250034327e-51,5.884975835116544e-47,8.311650030191401e-46,1.2827833369878279e-61,7.973176213969122e-37,3.9566940480774375e-63,4.579672095874943e-52,6.305623015052938e-38,4.005870327021253e-62,8.053584791178814e-75,1.3444873163002047e-67,1.050173379133452e-18,3.365391281026025e-27,1.8417222829182818e-42,3.0023053755295083e-41,5.985526802315721e-36
5.800074110536151e-17,0.6371063623878142,3.76,0.0,0.5053514339601095,0.9999999999999882,9.535610856167504e-33,9.747184376991435e-42,8.548232805710951e-27,1.0321541381107448e-11,3.6134621675013157e-14,2.1011318908404383e-18,2.4281189891063205e-14,1.0579149404838566e-22,1.1853431225657154e-14,1.9562513448400564e-23,3.597918827587385e-26,2.2679147097364656e-24,1.238004847008407e-36,7.301058893155955e-26,9.885988674599052e-46,1.3787101866398115e-23,1.1263291716541116e-23,5.1635768367873515e-36,1.6586839029917315e-35,8.329999876087191e-20,1.113186811789622e-46,1.2277262301637723e-26,5.007483849151573e-63,4.118205699793797e-64,3.273801836822291e-34,3.2105727026729933e-50,7.650704486329344e-42,2.8421227430220623e-24,2.6599026344301244e-50,1.0831409339873955e-49,4.882229160550781e-46,7.068745888880915e-45,4.1051223492268854e-60,6.37884562492331e-36,1.2662384337668168e-61,7.328011359211167e-51,5.044737665684389e-37,1.2819753724737512e-60,5.154692444431389e-73,4.302599148181412e-66,2.1004037311047773e-18,1.3462113006315085e-26,1.4734478105421934e-41,2.4019583146009293e-40,4.788648617369942e-35
1.160030556242028e-16,0.6371063623884416,3.76,0.0,0.5053514339549124,0.9999999999999764,7.628669760657076e-32,7.797933413746305e-41,3.4193626731048163e-26,2.064336275790898e-11,7.227022487436337e-14,4.203777115831518e-18,4.856303863613937e-14,4.2317459216707217e-22,2.3707184005007386e-14,7.825164606117037e-23,1.439196817133761e-25,9.071843365442202e-24,9.904274083022353e-36,2.920482974558289e-25,1.581798449065173e-44,5.514952951035314e-23,4.5054083572311465e-23,4.130959517398409e-35,1.3269786256005562e-34,1.6661301336274312e-19,1.7811442323988982e-45,4.911004439609027e-26,1.6024380323720646e-61,1.3178769092798889e-62,2.6191033059115342e-33,5.137119406103616e-49,6.123920135871666e-41,1.1368722193134893e-23,4.255966467640208e-49,1.73308830668988e-48,4.1842365142099675e-45,6.325604761629116e-44,1.3136736197152932e-58,5.103200573286042e-35,4.052123211466547e-60,1.1725255558059451e-49,4.035885563351047e-36,4.102479151356184e-59,3.299135274864152e-71,1.376876616517138e-64,4.20086441762995e-18,5.384954843710397e-26,1.1787862877725995e-40,1.921612246085726e-39,3.831009587898589e-34
2.3200768466188536e-16,0.6371063623896963,3.76,0.0,0.5053514339445183,0.9999999999999526,6.103008243151901e-31,6.238422083030445e-40,1.3677589696485643e-25,4.128700550662007e-11,1.4454143512331487e-13,8.413436632334217e-18,9.71267366264414e-14,1.6927156394252892e-21,4.741468956391637e-14,3.130097701864443e-22,5.756845874196105e-25,3.6287742271444446e-23,7.923513655490308e-35,1.168205073248215e-24,2.5309098098605603e-43,2.2060036228205636e-22,1.8021816817471113e-22,3.304806829119811e-34,1.0615955086537539e-33,3.3327131137199177e-19,2.8498671274263486e-44,1.9644214422379332e-25,5.127876060096222e-60,4.217294255799225e-61,2.0953069834794381e-32,8.219593133876343e-48,4.904274254475355e-40,4.5475350758011575e-23,6.809677797361642e-48,2.772991178532081e-47,3.7927765394693834e-44,6.133267116381332e-43,4.203810473370796e-57,4.082613622395754e-34,1.2967089521599244e-58,1.8760786202483007e-48,3.2287461863758494e-35,1.3128204995488365e-57,2.1114948524663622e-69,4.40611878918597e-63,8.40178572101039e-18,2.1540039161495073e-25,9.430403179569108e-40,1.5373080148998905e-38,3.0648436625936e-33
4.640169427372505e-16,0.6371063623922061,3.76,0.0,0.5053514339237302,0.9999999999999052,4.882435573957341e-30,4.9907693853291687e-39,5.4710636004810255e-25,8.257429098447436e-11,2.8908387102222226e-13,1.6850231931412414e-17,1.9425413460764441e-13,6.770897408621815e-21,9.482970068256849e-14,1.2520454636839225e-21,2.3027500972165268e-24,1.4515170473559273e-22,6.338849104328062e-34,4.6728440588279696e-24,4.049481791307301e-42,8.824059386786697e-22,7.208763441409188e-22,2.6438611422650255e-33,8.492814609815218e-33,6.667169826123921e-19,4.559816770803142e-43,7.857723201324751e-25,1.6409355863471198e-58,1.349552366332609e-59,1.6762546884892304e-31,1.315163745259582e-46,3.9315475048739514e-39,1.819023233211967e-22,1.0895697302033192e-46,4.436824634564139e-46,3.746785837155085e-43,6.622990405403006e-42,1.3452279679941952e-55,3.266117817600058e-33,4.149540771083148e-57,3.0017647441553876e-47,2.5830113440606753e-34,4.201081213990782e-56,1.3513798346087572e-67,1.410002938609409e-61,1.6803628049091696e-17,8.616060023991276e-25,7.544368844571192e-39,1.2298536672223135e-37,2.4518888697829886e-32
9.280354588879807e-16,0.6371063623972253,3.76,0.0,0.5053514338821538,0.9999999999998104,3.905960059605951e-29,3.9926307204946483e-38,2.1884309213418733e-24,1.6514886186191134e-10,5.781688044240522e-13,3.379372759378514e-17,3.885089385724485e-13,2.7083661810508843e-20,1.8965972292320913e-13,5.0081947088505734e-21,9.211024094824319e-24,5.806082744627113e-22,5.0710952339760354e-33,1.869142375812413e-23,6.479192581779587e-41,3.5296327422290036e-21,2.8835127487027424e-21,2.115095173875057e-32,6.794272076242352e-32,1.3341246259798261e-18,7.295731230030977e-42,3.143095246549389e-24,5.251039711683087e-57,4.318622945656573e-58,1.3410063773110738e-30,2.104325633885295e-45,3.158205797175406e-38,7.276111043799186e-22,1.7433630477065536e-45,7.098946696963951e-45,4.137509956302633e-42,8.044562037963861e-41,4.304742221645382e-54,2.6129140684473975e-32,1.3278805127799968e-55,4.802882805687467e-46,2.0664137141820507e-33,1.3443626573724678e-54,8.649003263553932e-66,4.51225246834258e-60,3.360731159053656e-17,3.446433202988689e-24,6.035515435541584e-38,9.838857847744284e-37,1.9615159400515685e-31
1.856072491189441e-15,0.6371063624072638,3.76,0.0,0.5053514337990009,0.9999999999996207,3.124772701671843e-28,3.194114700703412e-37,8.75373414175664e-24,3.302980033036991e-10,1.1563389176437555e-12,6.796033917479696e-17,7.770185785116655e-13,1.0833481138644655e-19,3.7931976741783624e-13,2.0032805249342734e-20,3.684414547790422e-23,2.3224358826342257e-21,4.056883652978322e-32,7.476579000651692e-23,1.0366728188815449e-39,1.4118549011112387e-20,1.1534065973014181e-20,1.6920786246565236e-31,5.435426091705517e-31,2.671005116253403e-18,1.1673192375461428e-40,1.2572380754501487e-23,1.680353762958229e-55,1.3819849998705971e-56,1.0728045297825858e-29,3.3671017396466034e-44,2.547298253215383e-37,2.9104478038158024e-21,2.789532310335494e-44,1.1358324644143776e-43,5.134129080510629e-41,1.0829500300455818e-39,1.3775188668343415e-52,2.0903536548346704e-31,4.249363513997799e-54,7.684749632712477e-45,1.6531310364146635e-32,4.302036904504577e-53,5.535543067125087e-64,1.4440692371035946e-58,6.72146742145593e-17,1.3785753770711e-23,4.828423435531853e-37,7.871096864055822e-36,1.5692135190536759e-30
3.712146555792362e-15,0.6371063624273409,3.76,0.0,0.5053514336326954,0.9999999999992414,2.4998200450191863e-27,2.5553022733374352e-36,3.501495343244103e-23,6.605962849349297e-10,2.312680129747199e-12,1.3741204335709466e-16,1.5540379864286702e-12,4.3333973217245906e-19,7.58639856460474e-13,8.01312794707445e-20,1.4737669360197496e-22,9.289748090022493e-21,3.245511645633447e-31,2.990633494005354e-22,1.6586789741719295e-38,5.647423266604486e-20,4.613629571974862e-20,1.3536638643919833e-30,4.3483446861991654e-30,5.3530269108928096e-18,1.867713497460648e-39,5.0289425245094934e-23,5.377253547887979e-54,4.42250055521016e-55,8.582407987318403e-29,5.387922762398837e-43,2.0710064900256913e-36,1.1641796100674224e-20,4.463725645711107e-43,1.8173289305621506e-42,7.025893119675806e-40,1.5693728447858167e-38,4.408058191685063e-51,1.672315042741113e-30,1.3598848979545052e-52,1.2295996397896363e-43,1.3225019903627626e-31,1.3766958613966186e-51,3.5429665451392868e-62,4.621960234774598e-57,1.344293816271687e-16,5.514307757599793e-23,3.862747892277138e-36,6.296880416562069e-35,1.2553692489660723e-29
7.424294684998205e-15,0.6371063624674949,3.76,0.0,0.5053514333000844,0.9999999999984828,1.9998568248249605e-26,2.0442563646569165e-35,1.4005981508161177e-22,1.3211928431880113e-09,4.625366496609141e-12,2.8078937576445413e-16,3.1080773144180415e-12,1.7333611686445855e-18,1.5172800347592865e-12,3.2052527999355694e-19,5.895071057331647e-22,3.715899339839257e-20,2.5964139848905483e-30,1.1962537717617548e-21,2.6538910796730425e-37,2.258970082048619e-19,1.8454526150453335e-19,1.0829314300898505e-29,3.478677978969718e-29,1.0750113756039934e-17,2.988346764121967e-38,2.0115672696605842e-22,1.7207967801045984e-52,1.4152926630208264e-53,6.865873549655307e-28,8.622452874782153e-42,1.7098715943626094e-35,4.6567179076050755e-20,7.14347150223687e-42,2.907711693201282e-41,1.0290455552716645e-38,2.380309626434259e-37,1.410575505393863e-49,1.3379019356401693e-29,4.352190499594516e-51,1.9674829267955072e-42,1.0579958731586723e-30,4.405700544786867e-50,2.267774630361605e-60,1.4796266711195857e-55,2.6885872511089997e-16,2.2057259989534076e-22,3.0902095057702093e-35,5.037503408934772e-34,1.0042917757551817e-28
1.484859094340989e-14,0.6371063625478031,3.76,0.0,0.505351432634862,0.9999999999969655,1.5998858319227358e-25,1.6354274555079745e-34,5.602390039984619e-22,2.6423859396566552e-09,9.250755000944517e-12,5.854397364435739e-16,6.216158019026854e-12,6.933459288092759e-18,3.0345603922110757e-12,1.2821018055072618e-18,2.358029949135372e-21,1.4863591102486395e-19,2.0771375017842354e-29,4.785015798650964e-21,4.246238303697255e-36,9.03588222280778e-19,7.381813230301056e-19,8.66345203837608e-29,2.7829444029818624e-28,2.1676460465802025e-17,4.781368458416247e-37,8.046187322118895e-22,5.507030433980328e-51,4.529524693359039e-52,5.492611241425965e-27,1.3801598692015924e-40,1.452803084870514e-34,1.8626858487130577e-19,1.1434377602189166e-40,4.652288048457835e-40,1.5703945435435879e-37,3.703917092127946e-36,4.5138188425634935e-48,1.0704007945309699e-28,1.3930575009523612e-49,3.1483654960695395e-41,8.463870772412726e-30,1.4099982766719315e-48,1.4517279121608077e-58,4.73863714176898e-54,5.377171267144631e-16,8.822922956049929e-22,2.4721841364206625e-34,4.029999006334294e-33,8.034271762660807e-28
