Time (s),Volume (m^3),N2,Ne,C2H6(1),O2(2),H2O(3),C(4),CH(5),CH3(18),C2H5(31),CH4(30),H(6),C2H4(29),HO2(12),H2(9),C2H5O2(40),CH3O2(36),C2H3(28),H2O2(13),C2H2(22),OH(8),CH2O(19),HCO(16),CO(14),O(7),CH2CHO(34),C2H5O(43),C2H(21),HCCO(20),C2H5O(101),C3H6(221),C3H6(74),CH3O(26),CH2CO(27),C3H6(55),C3H7(218),C3H7(49),C2H2O(140),CO2(15),C#CC(416),C3H5(219),C2H4(47),C3H4(2022),C3H4(2032)
2.272157135974574e-18,0.2646853646055171,3.76,0.0,0.6614378430265339,0.9999999999999994,2.256158705270529e-36,1.7634417810260982e-47,5.474191903497168e-30,3.0189894446819326e-13,1.4849042083948073e-15,1.8991665391386553e-24,8.622791344376265e-16,2.278972734357146e-25,6.226250723681212e-16,6.932804746545861e-26,3.2955248688222395e-28,1.634324128777498e-26,4.4476457832474387e-41,3.234051637740531e-28,1.9132617919527297e-51,2.984964849130401e-26,2.3092519415353103e-26,3.7290836355786094e-40,8.190438159890265e-40,1.5392158915603279e-21,3.579003892956467e-52,3.1467338321914076e-29,1.2295455468327243e-70,2.1769462255133433e-73,1.2245174448849237e-37,1.7202018483360266e-62,1.739046475906489e-50,5.1823788346947956e-27,7.641179936954095e-56,1.9341831862548e-55,3.75671805211046e-52,9.731056093755759e-51,6.275702363191173e-67,2.4191838739611695e-40,7.243188466100325e-76,4.109052525950417e-64,3.668734651368514e-41,2.4371136146053276e-75,1.3111877109154492e-88
4.546288344178492e-18,0.26468536460552455,3.76,0.0,0.6614378430263813,0.9999999999999988,1.8062988061937544e-35,1.4118258605672488e-46,2.1911033758221242e-29,6.040601816730353e-13,2.971098519498632e-15,7.601615527350532e-24,1.7253074256784822e-15,9.121830120951678e-25,1.2457910874597686e-15,2.774928640091971e-25,1.3190687865536508e-27,6.54155568467105e-26,3.5608209923942877e-40,1.2944634732732432e-27,3.0637116700690245e-50,1.1947638439592965e-25,9.243025851407e-26,2.9855343506520776e-39,6.557330777348711e-39,3.0797930305488135e-21,5.731069362977098e-51,1.259513585265275e-28,3.937856842546332e-69,6.972092560417783e-72,9.8035850431403e-37,5.511299732851149e-61,2.7857124865444948e-49,2.0743020997539878e-26,1.2235846026308021e-54,3.0982945362392193e-54,6.017743925356413e-51,1.5587809032386515e-49,2.009914570001774e-65,1.936818065575218e-39,4.641488477161223e-74,1.3165034986264435e-62,2.93721844209754e-40,1.5616897504208792e-73,1.6804542506745463e-86
9.094550760586328e-18,0.2646853646055394,3.76,0.0,0.6614378430260762,0.9999999999999976,1.4455880164241603e-34,1.1298900715075053e-45,8.767267538326936e-29,1.2083826560707628e-12,5.943487152161777e-15,3.041636367179905e-23,3.4513640090626145e-15,3.649920229116776e-24,2.492123117649351e-15,1.1103329075617449e-24,5.277993316538448e-27,2.6174743493234385e-25,2.8497390109167223e-39,5.179540009820052e-27,4.903933923025187e-49,4.780611627948377e-25,3.698414301252858e-25,2.389334844869314e-38,5.247857575950347e-38,6.16101922479557e-21,9.173443374799469e-50,5.03969485253284e-28,1.2606444348707095e-67,2.232009876638836e-70,7.845847374111871e-36,1.7646812726120469e-59,4.459732189806655e-48,8.299910294413744e-26,1.9585329881996947e-53,4.96015423081572e-53,9.633989983362758e-50,2.4954999311306783e-48,6.434431746418354e-64,1.550043089479202e-38,2.972425397381466e-72,4.21538383541103e-61,2.350667391545902e-39,1.0001017732859547e-71,2.152348244444658e-84
1.8191075593402e-17,0.264685364605569,3.76,0.0,0.6614378430254659,0.9999999999999951,1.1566900487019628e-33,9.040842076683696e-45,3.507477898086206e-28,2.417027604818391e-12,1.1888264459310045e-14,1.216852606309208e-22,6.90347717944057e-15,1.4602057660518184e-23,4.984787178053661e-15,4.442054638266571e-24,2.1115410118313505e-26,1.0471601781178046e-24,2.2802242010231542e-38,2.072153275295562e-26,7.847890918813463e-48,1.91255594602285e-24,1.4796065474329488e-24,1.9118308986133576e-37,4.199083416646613e-37,1.2323759278368102e-20,1.468049614024834e-48,2.016206041465943e-27,4.034912008762865e-66,7.143945465586045e-69,6.277869685720989e-35,5.6486852008244264e-58,7.1376459943211085e-47,3.320504568898471e-25,3.13429288379207e-52,7.938553690799266e-52,1.541886520639364e-48,3.9939606368913073e-47,2.0594510779745446e-62,1.2402699748741214e-37,1.9029517980660104e-70,1.3493346478999265e-59,1.8808909933415615e-38,6.402637387028178e-70,2.75588082465967e-82
3.6384125259033346e-17,0.2646853646056284,3.76,0.0,0.6614378430242454,0.9999999999999901,9.254399026450867e-33,7.23336810552002e-44,1.403105339463185e-27,4.834317502122339e-12,2.3777819240894495e-14,4.867806572150677e-22,1.3807703534635232e-14,5.841298482113288e-23,9.970115298962863e-15,1.7769664687990692e-23,8.446851484298682e-26,4.188981605690652e-24,1.8243525969976947e-37,8.289287691818038e-26,1.2557903081207755e-46,7.65084641877221e-24,5.918907881830029e-24,1.529609942549639e-36,3.359585715962848e-36,2.465039004582821e-20,2.3491183773206964e-47,8.065480024840101e-27,1.2913085985281618e-64,2.286310589146575e-67,5.0227721875052406e-34,1.8078521020786808e-56,1.1421893589922376e-45,1.3283099215424031e-24,5.015386662255703e-51,1.2703531064831474e-50,2.4673769913332836e-47,6.391265698760965e-46,6.590936109544672e-61,9.92310188339769e-37,1.2180810758845684e-68,4.318530222026635e-58,1.5048555598105588e-37,4.098323874281486e-68,3.528087550511979e-80
7.277022459029602e-17,0.2646853646057471,3.76,0.0,0.6614378430218043,0.9999999999999801,7.403870695827729e-32,5.786981507097177e-43,5.612649690810494e-27,9.668897295965005e-12,4.755692947321508e-14,1.9472018609270145e-21,2.7616156302779568e-14,2.336614508006426e-22,1.9940771541183615e-14,7.108155125202126e-23,3.37887810008038e-25,1.67566081708053e-23,1.4595514089872368e-36,3.3158499995473124e-25,2.009366752513093e-45,3.060463099402468e-23,2.367659497727782e-23,1.223746045099376e-35,2.68779618259005e-35,4.9308254222000433e-20,3.758780694262399e-46,3.2263228754682575e-26,4.1324112467944956e-63,7.31662783387332e-66,4.0184078132272124e-33,5.785563106953735e-55,1.8276358282757147e-44,5.313455850300697e-24,8.025052011488397e-50,2.032712377637087e-49,3.9480900593004976e-46,1.02267678985215e-44,2.1092103220889395e-59,7.93885831356957e-36,7.79633354444546e-67,1.3820353791597162e-56,1.2039414254887057e-36,2.6231311800531405e-66,4.516310406456374e-78
1.455424232528214e-16,0.26468536460598446,3.76,0.0,0.6614378430169222,0.9999999999999601,5.9232371521413115e-31,4.629714786227705e-42,2.24510551522397e-26,1.9338056880589416e-11,9.511515261446292e-14,7.78896590956583e-21,5.523306207008831e-14,9.346648491290461e-22,3.9882084027234495e-14,2.8433199112900746e-22,1.351578753050649e-24,6.702779570220025e-23,1.1676689136325267e-35,1.3263669847745348e-24,3.2150687558262026e-44,1.224210147001879e-22,9.47083070950009e-23,9.790200707133524e-35,2.150288007277627e-34,9.86423931392876e-20,6.014202412766239e-45,1.2905550750114531e-25,1.3224105381967445e-61,2.3414140582613023e-64,3.2148014418504723e-32,1.851449890888664e-53,2.924323750599083e-43,2.125425548489909e-23,1.2840490351329039e-48,3.2524570385654904e-48,6.31717361250026e-45,1.6363422169151195e-43,6.749649841649893e-58,6.351237302360105e-35,4.9898507312713975e-65,4.422683651779004e-55,9.631757217102669e-36,1.6788696910748627e-64,5.781106276236006e-76
2.910868205778721e-16,0.26468536460645925,3.76,0.0,0.6614378430071579,0.9999999999999203,4.73864596362832e-30,3.703847291456311e-41,8.980513111469156e-26,3.8676376037594555e-11,1.9023160960338506e-13,3.115618056402562e-20,1.104668745287862e-13,3.738697669153485e-21,7.976470900577373e-14,1.1373395450034466e-21,5.406370128783424e-24,2.6811390485997213e-22,9.341463306663183e-35,5.3055219087793115e-24,5.144176025039666e-43,4.89689040628294e-22,3.7883708479946066e-22,7.832253466914522e-34,1.7202508560404657e-33,1.9738431323311015e-19,9.622847351063107e-44,5.162270160165685e-25,4.231796128457718e-60,7.492825823423109e-63,2.571869892703675e-31,5.9247503533972706e-52,4.6790035842566925e-42,8.501788409657581e-23,2.0545303684658932e-47,5.204022822949333e-47,1.0107661428858807e-43,2.6181948010465302e-42,2.159915969341243e-56,5.081049982876213e-34,3.193568313748711e-63,1.4152868699729634e-53,7.705492734627276e-35,1.0744982585813404e-62,7.399961560450995e-74
5.821756152279736e-16,0.26468536460740877,3.76,0.0,0.6614378429876293,0.9999999999998406,3.7909392725753496e-29,2.963145825734533e-40,3.5922232723521147e-25,7.735301430263007e-11,3.804645664069342e-13,1.2462535604025366e-19,2.2093450314250494e-13,1.495486866579363e-20,1.5952995898860213e-13,4.549381406232342e-21,2.162559146921918e-23,1.0724610314779985e-21,7.47321680523017e-34,2.1222195569276446e-23,8.230735903459515e-42,1.9587661288927976e-21,1.51535606817806e-21,6.265839872552884e-33,1.3762089057158956e-32,3.951627224535669e-19,1.5396657265928797e-42,2.0649164441433222e-24,1.354200811811217e-58,2.3978495457287196e-61,2.0575052696312882e-30,1.89593730436112e-50,7.486475614214626e-41,3.40073244563072e-22,3.2873520114088953e-46,8.326502636368482e-46,1.6172405305976957e-42,4.1891487508097176e-41,6.911774204918995e-55,4.064863850187225e-33,2.043905073433272e-61,4.528968262737477e-52,6.1644235874509026e-34,6.876866096164663e-61,9.472041353884641e-72
1.1643532045281767e-15,0.2646853646093078,3.76,0.0,0.6614378429485722,0.999999999999681,3.0327604263696564e-28,2.3706043495621926e-39,1.436892768556686e-24,1.5470629063680212e-10,7.609306513168418e-13,4.985026911705823e-19,4.418697751552438e-13,5.981964219040429e-20,3.1906045905725866e-13,1.8197572598595705e-20,8.650259354900921e-23,4.289854693304456e-21,5.978594085101385e-33,8.488899810043637e-23,1.3169225497737396e-40,7.835084469816382e-21,6.061439859562943e-21,5.01268663896444e-32,1.1009704781236865e-31,7.918978169922762e-19,2.4634741504225013e-41,8.259669800873003e-24,4.3335666191142267e-57,7.673972754321613e-60,1.6460045334383468e-29,6.0670235436318084e-49,1.1978421405165046e-39,1.3602962654544465e-21,5.260044010040633e-45,1.3322434297938306e-44,2.58759664234862e-41,6.7026653065541535e-40,2.211773535292117e-53,3.2519003174645174e-32,1.3081072597276602e-59,1.4492812910215725e-50,4.9315420141495636e-33,4.401229182477363e-59,1.2124264280022654e-69
2.3287083831285823e-15,0.2646853646131059,3.76,0.0,0.661437842870458,0.999999999999362,2.4262119566019365e-27,1.8966153422683824e-38,5.7475768259056125e-24,3.094128425215502e-10,1.5218635063478138e-12,1.9940132942118385e-18,8.837403783220047e-13,2.3927899620466033e-19,6.381214596065709e-13,7.279038851083362e-20,3.4601087564852706e-22,1.7159437854363268e-20,4.782887007491744e-32,3.3955642368514127e-22,2.1070814090416255e-39,3.134037795933355e-20,2.4245791642834502e-20,4.010155049572814e-31,8.807778282201827e-31,1.5900811101932735e-18,3.941568606999669e-40,3.3038585365700654e-23,1.3868138593106376e-55,2.456205888864186e-58,1.316798274738387e-28,1.9414492657600836e-47,1.916553704588468e-38,5.441190602957604e-21,8.416928824060165e-44,2.1315845929192778e-43,4.140164164088466e-40,1.0724278814116665e-38,7.077677493038111e-52,2.601523455669011e-31,8.371927205094276e-58,4.637740221057333e-49,3.945221083909382e-32,2.816810848098649e-57,1.5519074220451535e-67
4.657418740329394e-15,0.2646853646207022,3.76,0.0,0.6614378427142296,0.9999999999987238,1.9409710309676583e-26,1.5174998779510568e-37,2.2990309466508948e-23,6.188259431566625e-10,3.0437319572537503e-12,7.976058199969617e-18,1.767481821221279e-12,9.571175788108668e-19,1.2762434623531956e-12,2.9116178362854145e-19,1.384044874360826e-21,6.863777315046659e-20,3.8263198745943995e-31,1.3582265543978734e-21,3.3713392706851924e-38,1.2536159336978794e-19,9.698323922730254e-20,3.2081260822570394e-30,7.046230077429775e-30,3.205300110948761e-18,6.306526783851309e-39,1.3215333870811027e-22,4.438257682941585e-54,7.863412237162877e-57,1.053427712551897e-27,6.2126267426023544e-46,3.0664955727503052e-37,2.1764765227946947e-20,1.3469804002306679e-42,3.410508063570514e-42,6.624270604912903e-39,1.7158833465031454e-37,2.2648526688913293e-50,2.0812192560402187e-30,5.3580657598522585e-56,1.4840972169244735e-47,3.156149800395892e-31,1.8027833248763634e-55,1.9864381817368853e-65
9.314839454731018e-15,0.2646853646358946,3.76,0.0,0.6614378424017727,0.9999999999974476,1.5527774422210071e-25,1.2143307180216031e-36,9.196116746811278e-23,1.2376521318893516e-09,6.087479822436497e-12,3.190424255860921e-17,3.5349656532877983e-12,3.828479416072097e-18,2.552487474438465e-12,1.1646478605036103e-18,5.536185191857018e-21,2.745510046336392e-19,3.0610689235980006e-30,5.432907913626938e-21,5.3941652546004404e-37,5.014465475224042e-19,3.87933168195111e-19,2.5665012784246755e-29,5.636989712659753e-29,6.511147752747262e-18,1.0090485031133632e-37,5.286048288873477e-22,1.4205308444615947e-52,2.5185164203875448e-55,8.427237812977294e-27,1.9880300638831867e-44,4.9064154343405695e-36,8.705900041477077e-20,2.1560353389251631e-41,5.456716308557532e-41,1.0598840351417579e-37,2.7454046396283105e-36,7.24749302685038e-49,1.6649743387562e-29,3.4291971741609e-54,4.749232829128792e-46,2.5248737256203445e-30,1.1538104428484853e-53,2.542627655286794e-63
1.8629680883534267e-14,0.26468536466627957,3.76,0.0,0.661437841776859,0.9999999999948951,1.2422222506321267e-24,9.71993337418714e-36,3.6784393128907375e-22,2.4753044592045913e-09,1.217501940624471e-11,1.276169874517684e-16,7.069937102532409e-12,1.5313983168655686e-17,5.104975524977257e-12,4.658595028565767e-18,2.2144775763131015e-20,1.0982027911260516e-18,2.448874614647271e-29,2.1731634860342744e-20,8.630731011281592e-36,2.0057866260043724e-18,1.5517336231408767e-18,2.0532005407174176e-28,4.509598302494846e-28,1.3424481460484804e-17,1.614490136840643e-36,2.114350103332927e-21,4.547541597656658e-51,8.073482550931355e-54,6.741492296131952e-26,6.361623421136668e-43,7.850330068396305e-35,3.4823535163273105e-19,3.452427907296347e-40,8.730429582013482e-40,1.6958153751467403e-36,4.392615796775627e-35,2.3191736071603726e-47,1.3319770242962888e-28,2.1947290778566208e-52,1.5198310561935453e-44,2.0198240777374012e-29,7.384752791921078e-52,3.2545265357841314e-61
3.725936374114076e-14,0.26468536472704934,3.76,0.0,0.6614378405270311,0.9999999999897901,9.937779990535018e-24,7.784404685566391e-35,1.4713694657227292e-21,4.950608913234531e-09,2.4350273987305904e-11,5.10467965840679e-16,1.4139895141785411e-11,6.125644210437908e-17,1.0209951731529211e-11,1.8634404364279158e-17,8.857936189631887e-20,4.3928002979450735e-18,1.9591303073985936e-28,8.692654436316373e-20,1.3809378631014793e-34,8.023148078501553e-18,6.206940615546769e-18,1.6425592044637853e-27,3.607688090284721e-27,2.8457701476478396e-17,2.5832235500195647e-35,8.456844756837423e-21,1.4563923473868596e-49,2.5926245097476582e-52,5.392715662117636e-25,2.0356720163481708e-41,1.2560731954663951e-33,1.3929358742474133e-18,5.532751564967188e-39,1.3967668674123543e-38,2.7133063854963167e-35,7.028081080862994e-34,7.421198631764099e-46,1.0655774083301531e-27,1.4046808548438443e-50,4.863947118593677e-43,1.6157389826396635e-28,4.726708053278208e-50,4.165697663687998e-59
5.5889046598747254e-14,0.2646853647878191,3.76,0.0,0.6614378392772033,0.999999999984685,2.841584415760364e-23,2.22746668078229e-34,3.126650822396065e-21,7.425913166663953e-09,3.652570398148572e-11,1.084744416535887e-15,2.120986832211987e-11,1.301706835894076e-16,1.5314928043556903e-11,3.959814363487335e-17,1.8823151825931316e-19,9.334684378167212e-18,5.601940957905681e-28,1.8471890821675752e-19,5.082806956155754e-34,1.704919144579512e-17,1.3189757384624249e-17,4.696690871486591e-27,1.0315778315774263e-26,4.4697472996840076e-17,9.508054160260813e-35,1.7969978490231307e-20,6.6517504672320296e-49,1.1853182551807102e-51,1.5419010518747422e-24,9.548055903863396e-41,4.788814545800052e-33,2.9599805184323944e-18,2.0379889959960038e-38,5.324993757205104e-38,1.0344482825060166e-34,2.6794373195696553e-33,3.388227463876198e-45,3.046878395046221e-27,7.847125785050824e-50,2.278467567043344e-42,4.6198059670449065e-28,2.652093973569554e-49,2.725470041666334e-58
7.451872945635375e-14,0.264685364848589,3.76,0.0,0.6614378380273752,0.99999999997958,5.993725309638914e-23,4.7021270219683365e-34,5.3336838167884366e-21,9.901217219492872e-09,4.870130938845799e-11,1.850446323241098e-15,2.8279856643853477e-11,2.2205703874187483e-16,2.0419904461061677e-11,6.75498277759539e-17,3.211014100888315e-19,1.5923847671393685e-17,1.1816224476014167e-27,3.1510872516252477e-19,1.2891192769354426e-33,2.908391734717528e-17,2.2500187624487094e-17,9.906678560239041e-27,2.1759060960603203e-26,6.214379492545218e-17,2.4114685384399145e-34,3.0653386326167756e-20,1.9837298583999755e-48,3.538572320693597e-51,3.2521655098753823e-24,2.996552281612861e-40,1.2884749926526588e-32,5.049365585605225e-18,5.172397875339031e-38,1.4326891483964413e-37,2.7832621759478213e-34,7.20918733501587e-33,1.0099283060498843e-44,6.4267355037726564e-27,2.9247597980603447e-49,7.252455964026059e-42,9.744130472430023e-28,9.593470287197257e-49,1.1330997822842483e-57
