Time (s),Volume (m^3),N2,Ne,C2H6(1),O2(2),H2O(3),C(4),CH(5),CH3(18),C2H5(31)
1.8127025056951322e-11,0.5729208538078515,3.76,0.0,0.6368792381418495,1.0,0.0,0.0,0.0,2.8311539995802853e-10,0.0
3.625405779714067e-11,0.5729208538228789,3.76,0.0,0.6368792380002918,1.0,0.0,0.0,0.0,5.662309198320344e-10,0.0
7.250812327751937e-11,0.5729208538529339,3.76,0.0,0.6368792377171762,1.0,0.0,0.0,0.0,1.1324619593275004e-09,0.0
9.999999999999999e-11,0.5729208539130437,3.76,0.0,0.6368792375024864,1.0,0.0,0.0,0.0,1.5618414982579559e-09,0.0
1.4501625423827677e-10,0.5729208539130437,3.76,0.0,0.6368792371509452,1.0,0.0,0.0,0.0,2.2649240373049073e-09,0.0
2.9003251615979156e-10,0.5729208540332634,3.76,0.0,0.6368792360184831,1.0,0.0,0.0,0.0,4.5298481891788764e-09,0.0
5.800650400028212e-10,0.5729208542737028,3.76,0.0,0.6368792337535589,1.0,0.0,0.0,0.0,9.059696476389492e-09,0.0
9.999999999999999e-10,0.5729208547545815,3.76,0.0,0.6368792304741997,1.0,0.0,0.0,0.0,1.5618414856759917e-08,0.0
1.1601300876888803e-09,0.5729208547545815,3.76,0.0,0.6368792292237107,1.0,0.0,0.0,0.0,1.811939298294985e-08,0.0
2.3202601830609984e-09,0.5729208557163389,3.76,0.0,0.6368792201640142,1.0,0.0,0.0,0.0,3.623878571093457e-08,0.0
3.4803902784331167e-09,0.5729208566780966,3.76,0.0,0.6368792111043181,1.0,0.0,0.0,0.0,5.435817813552655e-08,0.0
5.800650469177353e-09,0.5729208586016113,3.76,0.0,0.6368791929849263,1.0,0.0,0.0,0.0,9.059696166159924e-08,0.0
8.12091065992159e-09,0.5729208605251261,3.76,0.0,0.6368791748655354,1.0,0.0,0.0,0.0,1.2683574371850685e-07,0.0
9.999999999999999e-09,0.5729208624486409,3.76,0.0,0.6368791601913393,1.0,0.0,0.0,0.0,1.5618413589325565e-07,0.0
1.0441170850665827e-08,0.5729208624486409,3.76,0.0,0.6368791567461451,1.0,0.0,0.0,0.0,1.6307452416019563e-07,0.0
1.50816912321543e-08,0.5729208662956701,3.76,0.0,0.636879120507367,1.0,0.0,0.0,0.0,2.3555208068046131e-07,0.0
2.4362731995131246e-08,0.5729208739897269,3.76,0.0,0.6368790480298235,1.0,0.0,0.0,0.0,3.8050716745512854e-07,0.0
3.195990535664532e-08,0.5729208802878427,3.76,0.0,0.6368789887019594,1.0,0.0,0.0,0.0,4.991628955188798e-07,0.0
3.95570787181594e-08,0.5729208865859571,3.76,0.0,0.6368789293741118,1.0,0.0,0.0,0.0,6.178185905007483e-07,0.0
4.7154252079673475e-08,0.572920892884069,3.76,0.0,0.6368788700462832,1.0,0.0,0.0,0.0,7.364742477397963e-07,0.0
5.475142544118755e-08,0.5729208991821788,3.76,0.0,0.636878810718476,1.0,0.0,0.0,0.0,8.551298620585944e-07,0.0
6.994577216421571e-08,0.5729209117783903,3.76,0.0,0.636878692062935,1.0,0.0,0.0,0.0,1.0924409441331267e-06,0.0
8.514011888724386e-08,0.5729209243745903,3.76,0.0,0.6368785734075092,1.0,0.0,0.0,0.0,1.329751795759281e-06,0.0
9.999999999999998e-08,0.572920936970775,3.76,0.0,0.6368784573641185,1.0,0.0,0.0,0.0,1.5618385771262487e-06,0.0
1.0033446561027201e-07,0.572920936970775,3.76,0.0,0.6368784547522202,1.0,0.0,0.0,0.0,1.5670623738027301e-06,0.0
1.3072315905632832e-07,0.5729209621630927,3.76,0.0,0.6368782174421348,1.0,0.0,0.0,0.0,2.0416825444856676e-06,0.0
1.6111185250238462e-07,0.5729209873553262,3.76,0.0,0.6368779801328441,1.0,0.0,0.0,0.0,2.5163011257465046e-06,0.0
2.2188923939449726e-07,0.5729210377394702,3.76,0.0,0.6368775055173016,1.0,0.0,0.0,0.0,3.4655322109580204e-06,0.0
2.8266662628660987e-07,0.5729210881230686,3.76,0.0,0.636877030906905,1.0,0.0,0.0,0.0,4.414753003914085e-06,0.0
4.0422140007083514e-07,0.5729211888880682,3.76,0.0,0.6368760817067972,1.0,0.0,0.0,0.0,6.313153219585691e-06,0.0
5.257761738550604e-07,0.5729212896492121,3.76,0.0,0.6368751325430183,1.0,0.0,0.0,0.0,8.21148077727972e-06,0.0
7.688857214235109e-07,0.5729214911554722,3.76,0.0,0.6368732343664254,1.0,0.0,0.0,0.0,1.2007833963360396e-05,0.0
9.999999999999997e-07,0.5729216926329377,3.76,0.0,0.6368714300979805,1.0,0.0,0.0,0.0,1.5616370852919667e-05,0.0
