Time (s),Volume (m^3),N2,Ne,C2H6(1),O2(2),H2O(3),C(4),CH(5),CH3(18),C2H5(31),CH4(30),C2H4(29),H(6),H2(9),C2H3(28),C2H2(22),HO2(12),CH3O2(36),C2H5O2(40),OH(8),O(7),CH2O(19),H2O2(13),HCO(16),CO(14),C2H5O(43),CH2CHO(34),C2H(21),CH3O(26),HCCO(20),C3H6(255),C3H6(60),C3H6(51),C3H5(214),CH2CO(27),CH2(S)(24),CH2(T)(17),C1OO1(799)
5.465742154517245e-07,0.8211483353473951,3.76,0.0,0.45970116815361506,0.995816560844129,0.004786132664240437,5.958308419899355e-08,3.896267306643228e-06,0.0374236016673639,0.0034918538653785267,0.013101479482910452,0.04054296558389905,0.00925204760248045,0.026777798585467413,0.0001287574063692263,0.00022534906201875836,0.0002634138777057108,1.5029987187650923e-06,2.568080193118591e-07,0.00172272730726401,0.0004851420642616897,0.0005324963808038685,8.138934212496484e-06,5.3656946110234755e-05,0.00021681365495606017,1.5419574482475792e-08,8.189652987730715e-06,2.3165238866954367e-07,2.0187535411972214e-06,1.6268394995437437e-07,1.8682830011064795e-07,1.6743152494116183e-05,4.2998611703807464e-10,6.714999959864762e-06,1.2897535120965589e-05,2.3507891388937544e-05,0.0001405704779705584,5.809648772012869e-12
5.523250294628488e-07,0.8213410120559961,3.76,0.0,0.45832912312284707,0.9956972015658908,0.004941003571124217,6.317928276535715e-08,4.062283844623277e-06,0.037756332588115823,0.0035294404075128815,0.01333861256334929,0.04155326112985443,0.009388718338837584,0.027514094569480972,0.0001344081123125565,0.00023858790139675217,0.00026938570838860913,1.5160497150618374e-06,2.595375816162161e-07,0.0017549937739901387,0.0004935337151788843,0.0005487159292842741,8.454124634747634e-06,5.6312279106032386e-05,0.00022730046546738476,1.5589270265168652e-08,8.569915464487764e-06,2.4935526298883386e-07,2.0563034260640277e-06,1.7703910191753038e-07,1.9696492128948213e-07,1.781844301282978e-05,4.53323440584849e-10,7.148476607381339e-06,1.3687434079307664e-05,2.4095527251240737e-05,0.00014411671097984687,6.042672676095135e-12
5.580758434739731e-07,0.8215352956703672,3.76,0.0,0.4569455059358756,0.9955759790320652,0.0050986049967347066,6.691792197012049e-08,4.232106151818868e-06,0.038089246377336225,0.003566393754181496,0.01357714935236819,0.04257365070851794,0.009524602924157539,0.02825955673302388,0.00014020696115345704,0.0002524063641175182,0.0002754233414265953,1.5290928631196182e-06,2.622178597105154e-07,0.0017872423746892387,0.000501918031826873,0.0005652827062061417,8.778059413742124e-06,5.905645508213154e-05,0.00023817470396687385,1.5756346740851782e-08,8.961061871560202e-06,2.680868913638601e-07,2.09440827087149e-06,1.9242869673683837e-07,2.0749012344540035e-07,1.8948312032089964e-05,4.775568622442061e-10,7.603157121497515e-06,1.4513576488872391e-05,2.468794664626501e-05,0.00014768390122985026,6.28143423215658e-12
5.638266574850974e-07,0.821731158889083,3.76,0.0,0.455550519724768,0.9954528966269063,0.0052589278884822965,7.080062209016644e-08,4.405703655696048e-06,0.0384223389146928,0.003602704733451986,0.013817072580523386,0.043603924847256836,0.009659669628651838,0.02901406243947158,0.000146153871283151,0.00026681964213088325,0.00028152642877343667,1.5421281047979543e-06,2.648481648009701e-07,0.0018194632160974907,0.0005102930309555124,0.0005821996667122419,9.110854717988247e-06,6.189055663675986e-05,0.0002494458645843351,1.5920765728505607e-08,9.363118323681358e-06,2.878848812640304e-07,2.133071901833255e-06,2.089087293286918e-07,2.184110042064049e-07,2.0134685407327395e-05,5.027028814325862e-10,8.079691448021947e-06,1.5376970424609763e-05,2.5284994156783657e-05,0.00015127088866378997,6.5259617335314584e-12
5.695774714962217e-07,0.8219285740366066,3.76,0.0,0.45414437096769406,0.9953279581006376,0.005421962257036726,7.482886152343492e-08,4.583042992281984e-06,0.03875560349270129,0.0036383648970822148,0.014058364910918254,0.04464387146448579,0.009793888257358156,0.02977748672725004,0.00015224863602726304,0.0002818429218264883,0.0002876946256967402,1.5551552759632885e-06,2.6742786484285574e-07,0.001851646646451747,0.0005186567908830188,0.0005994696546051457,9.452624980099339e-06,6.481561543768211e-05,0.00026112350992942604,1.6082492121591318e-08,9.77610139910365e-06,3.087870451118262e-07,2.1722979625730745e-06,2.265369992447458e-07,2.2973449107035614e-07,2.1379516902667367e-05,5.287776133649108e-10,8.578731910063533e-06,1.6278624340638565e-05,2.5886513685886148e-05,0.00015487652892408796,6.776281499743092e-12
5.75328285507346e-07,0.8221275130939134,3.76,0.0,0.4527272692634822,0.9952011675566896,0.0055876972038201795,7.900397542822854e-08,4.764088129523447e-06,0.039089030877201635,0.0036733665104806885,0.014301008929674069,0.04569327609819336,0.009927230139271614,0.030549702475872912,0.00015849092526519292,0.00029749137130681303,0.00029392759096505834,1.568174108753413e-06,2.699563837689452e-07,0.0018837832618971769,0.0005270074520632618,0.0006170953997169376,9.803482864702643e-06,6.783261119383243e-05,0.0002732172664210474,1.6241493842066533e-08,1.0200018180633931e-05,3.3083135535889913e-07,2.2120899120293906e-06,2.4537310408521063e-07,2.4146733165137004e-07,2.2684787045475672e-05,5.557967666505779e-10,9.100932542725055e-06,1.7219546108799396e-05,2.649234855839068e-05,0.00015849969404490457,7.0324179059666004e-12
5.810790995184703e-07,0.8223279477286523,3.76,0.0,0.4512994271079517,0.9950725294390352,0.005756120949048617,8.3327154822008e-08,4.9488004917708535e-06,0.03942260937193977,0.0037077025415138192,0.014544987136910595,0.04675192213113443,0.010059668113490803,0.03133058056980518,0.0001648802873053695,0.00031378012781317573,0.0003002249869779829,1.5811842340313535e-06,2.7243320062492876e-07,0.0019158639122067273,0.0005353432174991457,0.0006350795154241583,1.0163539239586203e-05,7.094247074297669e-05,0.0002857368195391304,1.6397741789625586e-08,1.0634866318494172e-05,3.540558998737396e-07,2.252451022423595e-06,2.654784298886395e-07,2.536160842273399e-07,2.4052501934803474e-05,5.837756215566191e-10,9.646948421944638e-06,1.8200742063320766e-05,2.7102341619493472e-05,0.00016213927306027676,7.294393413593462e-12
5.868299135295946e-07,0.8225298493247953,3.76,0.0,0.4498610596724189,0.994942048519645,0.005927220860247218,8.779944612478126e-08,5.137139084837492e-06,0.03975632488692526,0.0037413666482454034,0.014790281938254699,0.047819591012329334,0.010191176512552984,0.03211999005986847,0.00017141615100285107,0.00033072428533027136,0.0003065864798412914,1.5941851840151688e-06,2.7485784861852314e-07,0.0019478797058170643,0.0005436623530065206,0.0006534244963109152,1.0532903149948136e-05,7.414606725508173e-05,0.0002986919090082525,1.6551209786527687e-08,1.1080634114268836e-05,3.784988377863485e-07,2.2933843772935345e-06,2.869161385168965e-07,2.6618710863984675e-07,2.5484692005852477e-05,6.127290090190763e-10,1.0217434988933878e-05,1.922321605380622e-05,2.7716335330814803e-05,0.0001657941725325003,7.562228601757161e-12
5.925807275407189e-07,0.8227331890117383,3.76,0.0,0.4484123845847637,0.9948097298860828,0.00610098348116673,9.242175113030423e-08,5.329060621120788e-06,0.040090161010232106,0.0037743531656939193,0.01503687563689274,0.048896062474536234,0.010321731143136692,0.03291779832192333,0.00017809782810513047,0.0003483388823934966,0.0003130117393894063,1.6071763950698807e-06,2.772299140890094e-07,0.001979822014188236,0.0005519631873335205,0.0006721327159826826,1.0911681795605818e-05,7.744421955062284e-05,0.00031209232392258356,1.6701874518384997e-08,1.1537300625128852e-05,4.0419835592626155e-07,2.3348928695938105e-06,3.0975115206414774e-07,2.7918655757641106e-07,2.6983410752692803e-05,6.426712905697976e-10,1.0813047371659904e-05,2.028796850867184e-05,2.833417186399249e-05,0.00016946331700547044,7.83594219968702e-12
5.983315415518431e-07,0.8229379376928055,3.76,0.0,0.4469536217134073,0.9946755789292695,0.006277394561028743,9.719482738667116e-08,5.524519644309915e-06,0.04042409908291071,0.003806657091692952,0.01528475042617994,0.04998111474739175,0.010451309264312373,0.03372387121258428,0.00018492451581150198,0.00036663889012193755,0.0003195004391576002,1.6201572106476583e-06,2.7954903540393787e-07,0.0020116824754966996,0.0005602441121406285,0.0006912064250328869,1.1299980511016643e-05,8.083769153263081e-05,0.00032594789782168195,1.6849715471286307e-08,1.2004835787457245e-05,4.3119262598070187e-07,2.3769791998644157e-06,3.3405013432852307e-07,2.9262036822026853e-07,2.855073341158347e-05,6.736163391102886e-10,1.1434439704815194e-05,2.139599551107669e-05,2.8955693191963353e-05,0.00017314564938772066,8.115551119765404e-12
