Time (s),Volume (m^3),N2,Ne,C2H6(1),O2(2),H2O(3),C(4),CH(5),CH3(18),C2H5(31),CH4(30),H(6),C2H4(29),HO2(12),H2(9),C2H5O2(40),CH3O2(36),C2H3(28),H2O2(13),C2H2(22),OH(8),CH2O(19),HCO(16),CO(14),O(7),CH2CHO(34),C2H5O(43),C2H(21),HCCO(20),C2H5O(101),C3H6(221),C3H6(74),CH3O(26),CH2CO(27),C3H6(55)
3.20517199455685e-15,0.06529501707625777,3.76,0.0,0.7142778819528134,0.9999999999999883,5.0933306229857984e-30,2.895081717930066e-48,6.701609336309158e-31,2.679206763249192e-13,1.2237814447117763e-14,1.0819978185851467e-21,5.047018621613255e-16,2.9431047797817807e-22,1.1733112032088358e-14,6.43417104740412e-23,8.005693877655473e-23,5.287588368515095e-22,6.891232002587478e-38,3.0990710574889635e-24,5.426499638978892e-46,2.2509275281300232e-23,1.776426660597894e-23,9.643932090918648e-36,1.0834322238741144e-36,6.654878762549268e-23,2.3247998068892676e-45,7.84192140421535e-26,4.6794157298988404e-66,2.557387427980569e-65,3.80394794111161e-30,5.5942590681805345e-56,8.349708587222516e-45,1.4674844209951105e-24,2.457152576496455e-49,2.8459917375511576e-52
6.413128673731039e-15,0.06529501707625937,3.76,0.0,0.7142778819526671,0.9999999999999766,4.077761058578885e-29,2.3185898545195813e-47,2.6823829145881584e-30,5.360741214775957e-13,2.448626277783737e-14,4.330811019441708e-21,1.0098425684914506e-15,1.178008987669888e-21,2.347641799643273e-14,2.5753459867578027e-22,3.204363454934464e-22,2.1164130085904475e-21,5.51717697043444e-37,1.2404360679277166e-23,8.689471468594466e-45,9.009575245108015e-23,7.110336514778443e-23,7.721008910748724e-35,8.674060667439216e-36,1.4574810452356964e-22,3.7227095414649936e-44,3.1386410085899214e-25,1.4989355152428173e-64,8.191070113180515e-64,3.0453081689490753e-29,1.7922706758593133e-54,1.3375081786333122e-43,5.873759731076691e-24,3.934909576544075e-48,4.5586393890453264e-51
1.2829042032079416e-14,0.06529501707626259,3.76,0.0,0.7142778819523744,0.999999999999953,3.263447516779224e-28,1.85679963586627e-46,1.0732967127441206e-29,1.0723810019900553e-12,4.8983164095282124e-14,1.7328885039551406e-20,2.0201250444525862e-15,4.7135710227810386e-21,4.696303019629398e-14,1.0304744687970102e-21,1.2821624173964933e-21,8.468406196218007e-21,4.415420286652772e-36,4.9633600441694355e-23,1.3908819218097536e-43,3.6050028862391604e-22,2.8450610669341165e-22,6.179152603484774e-34,6.941908972468877e-35,3.419412797971933e-22,5.958762416500168e-43,1.2557282334543607e-24,4.800291715319214e-63,2.6225933470948834e-62,2.4369109709551724e-28,5.73830273892361e-53,2.1412579411720455e-42,2.350267122320291e-23,6.299263125956067e-47,7.2972753640025485e-50
2.5660868748776172e-14,0.06529501707626902,3.76,0.0,0.7142778819517891,0.9999999999999061,2.6112528131155704e-27,1.487679086746199e-45,4.2938389357513563e-29,2.144994723843417e-12,9.797698535419572e-14,6.932682260383392e-20,4.040694249576441e-15,1.8857358539786972e-20,9.393625568070847e-14,4.122573838627382e-21,5.129481745188966e-21,3.3879118326470226e-20,3.5330101707765154e-35,1.9856672359939445e-22,2.22586578817749e-42,1.4422352874266304e-21,1.1382099234801231e-21,4.944259155938374e-33,5.5546206365542835e-34,8.855058120478862e-22,9.535968664452613e-42,5.02263479943328e-24,1.5374921773492086e-61,8.396294038320252e-61,1.949481321561418e-27,1.8365264371459826e-51,3.4270095445646574e-41,9.402583986962913e-23,1.0083577078124268e-45,1.1676508213832415e-48
5.132452218216968e-14,0.06529501707628184,3.76,0.0,0.7142778819506185,0.9999999999998122,2.0891989528094088e-26,1.193388059040042e-44,1.7176379153360026e-28,4.290222010864027e-12,1.9596470236813423e-13,2.773298482324715e-19,8.081849672614795e-15,7.543561443190395e-20,1.8788271098832087e-13,1.649167713435101e-20,2.0519574337634925e-20,1.355273366343785e-19,2.8266814442568922e-34,7.9433155690632765e-22,3.561753591831616e-41,5.769405783855735e-21,4.553212138288494e-21,3.9557800860309364e-32,4.4441804302946756e-33,2.5773477297094554e-21,1.5259130196781224e-40,2.0083412489408032e-23,4.927378291291533e-60,2.688524371809253e-59,1.559065146945992e-26,5.875931282947026e-50,5.484014882894535e-40,3.7613277721004997e-22,1.614402224385945e-44,1.867704719919574e-47
1.026518290489567e-13,0.06529501707630754,3.76,0.0,0.7142778819482772,0.9999999999996243,1.6714358654185199e-25,9.597664213636139e-44,6.870531682345393e-28,8.58067595816173e-12,3.919404343805751e-13,1.109364440720688e-18,1.6164228569728605e-14,3.017550662161447e-19,3.757756389588036e-13,6.59697102513555e-20,8.208145687794884e-20,5.421300776627885e-19,2.2614604080150265e-33,3.177455671167671e-21,5.699114877497211e-40,2.3078523116036777e-20,1.8213604859261554e-20,3.1647698075903655e-31,3.555612309909695e-32,8.37988398841033e-21,2.441594018484615e-39,8.026690779628582e-23,1.5812512721482945e-58,8.612868979651855e-58,1.2462437638157438e-25,1.8792602263142865e-48,8.775069986498991e-39,1.5045827913409675e-21,2.585945526867157e-43,2.9859619008234695e-46
2.0530644278253074e-13,0.0652950170763589,3.76,0.0,0.7142778819435949,0.9999999999992485,1.3371762032754384e-24,7.75847228540127e-43,2.7480289668627243e-27,1.716158134579058e-11,7.838930903446646e-13,4.437547304467556e-18,3.232925856710073e-14,1.2070474623224947e-18,7.515615643217925e-13,2.6388674899189375e-19,3.2833106425455364e-19,2.1685538032122942e-18,1.8092239067502204e-32,1.2710082487743664e-20,9.11887734913261e-39,9.231565789094372e-20,7.285602311487932e-20,2.5318687425646496e-30,2.8447160577027072e-31,2.966037428467198e-20,3.9066798424347513e-38,3.2051544188246485e-22,5.0883450411350713e-57,2.7620399455025603e-56,9.95314607861138e-25,6.006318779972883e-47,1.404064880087731e-37,6.0183772925825785e-21,4.146484263203878e-42,4.7694687340016477e-45
4.106156702496788e-13,0.06529501707646164,3.76,0.0,0.71427788193423,0.9999999999984969,1.0697468933317233e-23,6.335062114578822e-42,1.0990311174777706e-26,3.432338209324206e-11,1.5678031700372906e-12,1.7750363857839656e-17,6.466040736639205e-14,4.828260084943905e-18,1.5031336927438032e-12,1.0555780476351592e-18,1.3133260713534174e-18,8.674218435956262e-18,1.4474165228568917e-31,5.0840856853017824e-20,1.4590586545224193e-37,3.692638859255027e-19,2.9142802674531278e-19,2.0255075037538632e-29,2.2760537668892257e-30,1.1092309066667378e-19,6.250861552875407e-37,1.2776269263820407e-21,1.6463452296833286e-55,8.87608432211629e-55,7.935475703215277e-24,1.9172498059489137e-45,2.2465532766048962e-36,2.40731435260366e-20,6.662831988278404e-41,7.605045602183891e-44
8.21234125183975e-13,0.0652950170766671,3.76,0.0,0.7142778819155003,0.9999999999969937,8.557917689978642e-23,5.273075344487094e-41,4.3946143597192203e-26,6.864694347740024e-11,3.1356424005412507e-12,7.100176915484286e-17,1.2932706011891755e-13,1.9313307533154202e-17,3.0062790604354637e-12,4.222496177085799e-18,5.253238642906584e-18,3.469637010438881e-17,1.1579724416768005e-30,2.0336453955455577e-19,2.3345718139290765e-36,1.4770430405413969e-18,1.1657257685059048e-18,1.6203971421978546e-28,1.821260086008265e-29,4.2825598384086847e-19,1.000174372039891e-35,5.075297549480395e-21,5.383883386773909e-54,2.8643325836402374e-53,6.305411640865604e-23,6.104714818686236e-44,3.5945456116857727e-35,9.628817991107205e-20,1.0751396545149194e-39,1.2085074893762005e-42
1e-12,0.06529501707707805,3.76,0.0,0.7142778819073462,0.9999999999963394,2.1597726418860823e-22,1.4020941059357886e-40,7.261801289780689e-26,8.358993267670659e-11,3.818229768005698e-12,1.1736858607059896e-16,1.5748397238544463e-13,3.1925938044304916e-17,3.660685823236134e-12,6.98023237522641e-18,8.683645682773265e-18,5.73532564799333e-17,2.9225535620891825e-30,3.361695793806325e-19,9.957839656755226e-36,2.4415743785051018e-18,1.9270031290327475e-18,4.08942383402323e-28,4.5978326453494096e-29,7.012033946401597e-19,4.266147099797044e-35,8.329484121570595e-21,4.3324423341153215e-53,2.2527071330411906e-52,1.576633905737556e-22,4.688066946381119e-43,1.5331641837859803e-34,1.591595790202995e-19,4.6489312887352574e-39,5.0978153494314084e-42
1.6424710350525674e-12,0.06529501707707805,3.76,0.0,0.7142778818780409,0.9999999999939874,6.84618128646339e-22,4.546010888776993e-40,1.7566254287544093e-25,1.372939058065776e-10,6.271397146511307e-12,2.8400741960980827e-16,2.5867778572581017e-13,7.725477828058585e-17,6.012574239717383e-12,1.6891327719596397e-17,2.1012269162075012e-17,1.3878039270347174e-16,9.264324663717444e-30,8.134608492332633e-19,3.735528777991585e-35,5.908027065182133e-18,4.662976391732455e-18,1.296291904613778e-27,1.4576624447388308e-28,1.6821557476080278e-18,1.60038060965996e-34,2.0024784566225376e-20,1.7967985471209783e-52,9.319346740632671e-52,4.976819671671832e-22,1.9342636680717018e-42,5.751387806556319e-34,3.851146328161011e-19,1.749286815679082e-38,1.907569367245776e-41
2.4637079449211597e-12,0.06529501707748898,3.76,0.0,0.7142778818405813,0.9999999999909809,1.9575530135372984e-21,1.3623644810141345e-39,3.7310343677024468e-25,2.0594070770045498e-10,9.407228177930733e-12,6.035156610364923e-16,3.8804593092065355e-13,1.6416851191026345e-16,9.018873863405904e-12,3.589600767536061e-17,4.4650020246763165e-17,2.9490056445447405e-16,2.6491224517513493e-29,1.728606513711777e-18,1.3749660243884663e-34,1.255433174547501e-17,9.908922037513542e-18,3.706538945431102e-27,4.169171706523894e-28,3.55529362233318e-18,5.890662599456515e-34,4.215310084709478e-20,8.353118932432868e-52,4.2834196570903676e-51,1.412128608060151e-21,9.029902640702498e-42,2.192734725088948e-33,8.183118491586867e-19,6.490007222902515e-38,7.227405889370783e-41
3.284944854789752e-12,0.06529501707789993,3.76,0.0,0.7142778818031216,0.9999999999879743,4.128993576908051e-21,3.019094960899044e-39,6.36188683122087e-25,2.745873491628708e-10,1.2543135495286702e-11,1.0295262445516121e-15,5.17431495189591e-13,2.800553954420645e-16,1.2025177932009005e-11,6.123738914885634e-17,7.616600712927875e-17,5.030533154865852e-16,5.588017475678784e-29,2.948801943566163e-18,3.4873312625982877e-34,2.1415852026181735e-17,1.690360227729093e-17,7.818075203830794e-27,8.796507893789075e-28,6.0476737393159274e-18,1.4940605731414217e-33,7.128915389755577e-20,2.5550366465916676e-51,1.284538758427753e-50,2.957909992232608e-21,2.8492028929161297e-41,5.899761873193563e-33,1.3958542167457561e-18,1.6578198137580683e-37,1.934441402222421e-40
4.927418674526936e-12,0.0652950170787218,3.76,0.0,0.714277881728202,0.999999999981961,1.1277319400828702e-20,9.131439735491555e-39,1.3161742298443648e-24,4.118802555767868e-10,1.8815129169932093e-11,2.1315011159050252e-15,7.762435036340362e-13,5.798301229988954e-16,1.8037796502733238e-11,1.2679464886249574e-16,1.5768621436944023e-16,1.04146502250802e-15,1.5264198531780992e-28,6.105127206718148e-18,1.2196320991729643e-33,4.4337542156364155e-17,3.499725734981702e-17,2.135318411715479e-26,2.4039897440384648e-27,1.2485770409758887e-17,5.225319981823847e-33,1.4549332443085052e-19,1.2083086600431932e-50,5.681955160430286e-50,7.986301162046225e-21,1.4706443998270558e-40,2.3862989740430444e-32,2.889628798808014e-18,5.8673267449236556e-37,7.75985902886648e-40
6.569892494264121e-12,0.06529501707954367,3.76,0.0,0.7142778816532819,0.9999999999759475,2.359547103893284e-20,2.078529231517782e-38,2.2368931375341786e-24,5.491725720588735e-10,2.5087403379220054e-11,3.625121016539181e-15,1.0351195639584302e-12,9.861568246389198e-16,2.405043142321316e-11,2.1566130653909955e-16,2.6817347807564905e-16,1.7711894295432797e-15,3.194083146325662e-28,1.0383232680279052e-17,3.047740239818696e-33,7.540449757973481e-17,5.952195759340958e-17,4.4677247681021634e-26,5.032571920672188e-27,2.1201075948676645e-17,1.305777438318086e-32,2.4410513406985345e-19,3.6932011417905426e-50,1.6687728422189712e-49,1.6540375783839657e-20,4.64453983932267e-40,6.463901011048533e-32,4.913999379430632e-18,1.4805032849275498e-36,2.0866158410806805e-39
8.212366314001306e-12,0.06529501708036554,3.76,0.0,0.7142778815783614,0.9999999999699337,4.295381041173006e-20,4.097879648121336e-38,3.415007146024702e-24,6.864642564967871e-10,3.1359978164594204e-11,5.5383589279640144e-15,1.2940642478631256e-12,1.5066522843877882e-15,3.0063083864683476e-11,3.2950802089827834e-16,4.096936344053887e-16,2.7058678732314617e-15,5.815272455317541e-28,1.58632482690932e-17,6.466581042566803e-33,1.1519782086928663e-16,9.093732125766936e-17,8.13318133655994e-26,9.166494308594134e-27,3.2356275696477315e-17,2.770598863542222e-32,3.6781403081630264e-19,9.422707302301325e-50,4.084606799573495e-49,2.9801695819121294e-20,1.1980960645178494e-39,1.4521123194221238e-31,7.506694587614222e-18,3.172083176978785e-36,4.651641618716846e-39
1e-11,0.0652950170820093,3.76,0.0,0.714277881496819,0.9999999999633881,7.604468524424308e-20,8.084846459917562e-38,4.994524791865121e-24,8.358888820668223e-10,3.8187264343904724e-11,8.107552079222893e-15,1.5759737653719622e-12,2.205630218245392e-15,3.660714765534136e-11,4.824145974304905e-16,5.99719366872926e-16,3.9608926924849125e-15,1.0297074386925228e-27,2.322212735823746e-17,1.4124521424453492e-32,1.686311636567467e-16,1.331248083776538e-16,1.4398893373345486e-25,1.6242067054943055e-26,4.732836327102684e-17,6.051804320586989e-32,5.290727247134126e-19,2.9123765895631956e-49,1.1593642109846155e-48,5.189563735812212e-20,3.487780916004052e-39,3.301772667321259e-31,1.0987499628582182e-17,7.073054377667102e-36,1.0388885058553812e-38
1.1497313953475675e-11,0.0652950170820093,3.76,0.0,0.714277881428519,0.9999999999579053,1.1340462332820678e-19,1.2859475802575e-37,6.5559872216498524e-24,9.6104568971247e-10,4.39060483660925e-11,1.0650035475662168e-14,1.8121637736811082e-12,2.8973610736367127e-15,4.208844243416756e-11,6.337493586555968e-16,7.8775998435053615e-16,5.202799253065719e-15,1.5357676287262367e-27,3.0504525415895433e-17,2.369679575571124e-32,2.2150695334323083e-16,1.7487457823176116e-16,2.1472962955871847e-25,2.423511098002997e-26,6.213980426710498e-17,1.0153292432897781e-31,6.854927253831538e-19,5.642636966725023e-49,2.179741726223034e-48,7.654636804942146e-20,6.601778803726671e-39,5.631313790168979e-31,1.44315988890234e-17,1.199283031982981e-35,1.7557123439612009e-38
1.8067209232424414e-11,0.06529501708529675,3.76,0.0,0.7142778811288287,0.9999999999338454,4.384634893107575e-19,6.59906861348167e-37,1.5937378002450843e-23,1.5102008618482382e-09,6.900184889497861e-11,2.5982685408399033e-14,2.8491981832924838e-12,7.0693236080952666e-15,6.613937313708279e-11,1.5467712990284725e-15,1.9215469641208713e-15,1.2690685145973197e-14,5.9414521513470576e-27,7.442211004862092e-17,1.5034975026670367e-31,5.403342836555279e-16,4.2666819314121604e-16,8.30231874443947e-25,9.398581226413313e-26,1.514176112746502e-16,6.442472236711376e-31,1.5678459395651189e-18,7.586063633159772e-48,2.5363204899282846e-47,2.7858063022291326e-19,6.882779875759811e-38,3.6221599069271456e-30,3.51903044622155e-17,8.174112248941777e-35,1.0622704842669714e-37
2.4637104511373152e-11,0.06529501708858422,3.76,0.0,0.7142778808291312,0.9999999999097811,1.0880491768407247e-18,1.969681304778173e-36,2.942738232533745e-23,2.0593457674468366e-09,9.410253395819854e-11,4.8133501001564387e-14,3.8873471810249065e-12,1.3097251465311369e-14,9.019058901494423e-11,2.8664940001107196e-15,3.559136033873732e-15,2.350554277925827e-14,1.4751146849543475e-26,1.378699902347315e-16,4.899638685618156e-31,1.0008586149350329e-15,7.904624703287716e-16,2.0602408885537564e-24,2.338028365104181e-25,2.803452470936636e-16,2.0996248126660492e-30,2.7407977841031133e-18,3.562864139349607e-47,1.102029074055115e-46,6.591698283552024e-19,2.835086949904928e-37,1.1954223858336145e-29,6.515983146712691e-17,2.7891171451785127e-34,3.3705345154061235e-37
3.777689506927063e-11,0.065295017095159,3.76,0.0,0.7142778802297145,0.9999999998616398,3.9508586585175434e-18,9.902686887210154e-36,6.852586994312576e-23,3.1576047983821987e-09,1.4431855454876835e-10,1.1288281030547825e-13,5.966986583318086e-12,3.0721658986517135e-14,1.3829387737327094e-10,6.727917402395862e-15,8.34399233303519e-15,5.510378786780815e-14,5.36259572958573e-26,3.2334006458523886e-16,2.8076819700133676e-30,2.3465940951371957e-15,1.8540395084086843e-15,7.481135330410897e-24,8.538992674460945e-25,6.571248611731913e-16,1.2033410815953561e-29,5.726997835096235e-18,4.438009135442466e-46,1.1430302617260173e-45,2.151905498028883e-18,2.4188764973668512e-36,6.835286720228956e-29,1.5265595436112417e-16,1.7970179735060314e-33,1.742208593583871e-36
6.405647618506559e-11,0.06529501710830829,3.76,0.0,0.7142778790307942,0.999999999765306,1.9732763667245872e-17,7.721346918651616e-35,1.9392124600521792e-22,5.353999806032357e-09,2.448092048124911e-10,3.241665535793661e-13,1.013962210254315e-11,8.825935152722468e-14,2.3450388904650283e-10,1.9353048216148467e-14,2.394412901193268e-14,1.5811336794128075e-13,2.684893324482649e-25,9.285805594526578e-16,2.5276564268630827e-29,6.735006651601635e-15,5.325644313212599e-15,3.7365611839155494e-23,4.317071721313985e-24,1.8864415745145717e-15,1.083620370722952e-28,1.3363416938755631e-17,1.1054349265391909e-44,2.402153689582152e-44,8.779591521431646e-18,3.324366090166277e-35,6.007589395460014e-28,4.3744407237417104e-16,2.0219468495290274e-32,1.2619378444803283e-35
9.033605730086054e-11,0.06529501712145713,3.76,0.0,0.714277877831758,0.9999999996689037,5.3943184687882956e-17,2.7115139847647167e-34,3.806051980216771e-22,7.55023082890794e-09,3.453780103555399e-10,6.44490187334412e-13,1.4330054882124692e-11,1.7553505478178218e-13,3.307184919680196e-10,3.853356922856037e-14,4.757392822872784e-14,3.141267277898351e-13,7.353971734383652e-25,1.8462268884549013e-15,9.207129506917715e-29,1.3383633807238451e-14,1.0590479785111072e-14,1.0214686663735469e-22,1.1913671030657905e-23,3.7501825569949354e-15,3.948134780548778e-28,2.2445804738315893e-17,6.233582431283026e-44,1.2452417803052118e-43,2.0829963765696358e-17,1.4626193672229505e-34,2.2154920317344664e-27,8.680578679904646e-16,8.274742335737251e-32,4.1810390964804416e-35
9.999999999999999e-11,0.06529501713460555,3.76,0.0,0.7142778773908002,0.9999999996334359,7.2912811930735e-17,3.994934708793262e-34,4.641083099165381e-22,8.357822384639545e-09,3.8238041855294377e-10,7.897041988429588e-13,1.5875498689942098e-11,2.1511496333235005e-13,3.6610120421579044e-10,4.7242167984280883e-14,5.827898878169286e-14,3.848000468980645e-13,9.948076356032743e-25,2.262245779667457e-15,1.368923483695667e-28,1.6396154169008542e-14,1.2977732242128848e-14,1.3806815306013378e-22,1.6165388665735922e-23,4.595123424747666e-15,5.870828944744705e-28,2.5971543461894518e-17,1.112108576534227e-43,2.1202313810619974e-43,2.673846460623737e-17,2.3306382022086836e-34,3.316238497564216e-27,1.0628847539051699e-15,1.2882062617475159e-31,6.003399611065861e-35
1.166156384166555e-10,0.06529501713460555,3.76,0.0,0.7142778766326057,0.9999999995724331,1.1355984895545512e-16,6.918411162463889e-34,6.263498316816009e-22,9.746297986633976e-09,4.4602498574938966e-10,1.0738453534245474e-12,1.8538268888378517e-11,2.9257625716448503e-13,4.269377019106095e-10,6.429599244410928e-14,7.921834419589197e-14,5.230328774149132e-13,1.5510834115538182e-24,3.076290275531979e-15,2.394212260187309e-28,2.2289204056821976e-14,1.764941074972145e-14,2.1503838813097844e-22,2.5308586081965222e-23,6.2484665461307084e-15,1.0269386584869254e-27,3.226708871323043e-17,2.3297739246526668e-43,4.259970647041042e-43,3.875409020687022e-17,4.39177345164852e-34,5.846074693953297e-27,1.4437105778851198e-15,2.3704882794875184e-31,1.0078088615863348e-34
