Time (s),Volume (m^3),N2,Ne,C2H6(1),O2(2),H2O(3),C(4),CH(5),CH3(18),C2H5(31),CH4(30),H(6),C2H4(29),HO2(12),H2(9),C2H5O2(40),CH3O2(36),C2H3(28),H2O2(13),C2H2(22),OH(8),CH2O(19),HCO(16),CO(14),O(7),CH2CHO(34),C2H5O(43),C2H(21)
4.378263960861106e-17,0.5419476531992059,3.76,0.0,0.5031517931400165,0.9999999999999994,4.1271055109635714e-35,2.0391867250947123e-48,1.0951474169675672e-30,2.39228211963899e-13,9.091166738761732e-16,4.867563741385485e-24,3.4041270335681575e-16,5.881868896209552e-25,5.687039665753628e-16,1.1905244016446683e-25,1.4657212779063138e-27,8.114888702638457e-26,1.6071347379623162e-41,8.566219619452324e-28,2.658211215732683e-51,1.0056636960213531e-25,8.60459279854403e-26,1.6535059189027484e-39,2.5887525685235162e-39,2.0872928141173776e-22,1.080228831368478e-51,6.598118735925754e-29,2.930806145351236e-71
8.760331800054846e-17,0.5419476531992183,3.76,0.0,0.5031517931398958,0.9999999999999989,3.30419386537747e-34,1.6325906863154708e-47,4.383443688987057e-30,4.786642677160481e-13,1.819023205967762e-15,1.948294020239123e-23,6.811211614813161e-16,2.354280427530766e-24,1.1379020287001888e-15,4.765200208098065e-25,5.8667048965892265e-27,3.2480702773452254e-25,1.2866850188789803e-40,3.428720269032699e-27,4.2566014101689596e-50,4.0252756186307e-25,3.444079541018215e-25,1.3238101369002501e-38,2.0725761399869668e-38,4.17669106441867e-22,1.7297736010898082e-50,2.6409669483003544e-28,9.386483549305775e-70
1.7524467478442326e-16,0.5419476531992431,3.76,0.0,0.5031517931396545,0.9999999999999978,2.6443593035499335e-33,1.3065709569962714e-46,1.753948433236458e-29,9.575363791898688e-13,3.638836296570921e-15,7.79571385115211e-23,1.3625380804271818e-15,9.420188380608107e-24,2.276298152978149e-15,1.90670078362131e-24,2.3474461363972603e-26,1.299651187891231e-24,1.0297390998180904e-39,1.371934719102927e-26,6.813334578287607e-49,1.6106345633345273e-24,1.378080428542759e-24,1.0594504414719188e-37,1.658690817244545e-37,8.356363873045535e-22,2.768764370354002e-49,1.056730728827951e-27,3.004945954401727e-68
3.5052738835217284e-16,0.5419476531992925,3.76,0.0,0.503151793139172,0.9999999999999954,2.1158892121768984e-32,1.04545884857409e-45,7.016935736842398e-29,1.9152806020156e-12,7.278462583457173e-15,3.1187931666319026e-22,2.7253719291063744e-15,3.768688820657182e-23,4.553090401647307e-15,7.62804473796927e-24,9.391313143207231e-26,5.199451003247462e-24,8.239477890302614e-39,5.4886322265929e-26,1.0903554271973308e-47,6.443587031200262e-24,5.513219066260313e-24,8.477213191829179e-37,1.3272046728562975e-36,1.6719214722409379e-21,4.430924728426918e-48,4.2276105980302944e-27,9.617899445299025e-67
7.01092815487672e-16,0.5419476531993914,3.76,0.0,0.503151793138207,0.9999999999999909,1.6928720930315802e-31,8.364522043461012e-45,2.8070026525336205e-28,3.830769047179422e-12,1.455771557994939e-14,1.2476187989796532e-21,5.451039669614608e-15,1.507598268239605e-22,9.106674899438569e-15,3.051466254269822e-23,3.7568310180770517e-25,2.079949645477987e-23,6.592209085570023e-38,2.1956315733631515e-25,1.7447463929279817e-46,2.5776445803618744e-23,2.205467109706196e-23,6.782414467563802e-36,1.061864561655473e-35,3.3458937349681635e-21,7.090201761660409e-47,1.691181534111047e-26,3.078083705175335e-65
1.4022236697586704e-15,0.5419476531995892,3.76,0.0,0.503151793136277,0.9999999999999818,1.354361964592809e-30,6.69202669467794e-44,1.1228466867993335e-27,7.661745935556503e-12,2.91162232638127e-14,4.990678266700976e-21,1.0902375323230492e-14,6.030638862103838e-22,1.8213843896832876e-14,1.220636191853543e-22,1.502793577165516e-24,8.320136936631405e-23,5.274019062784814e-37,8.782883671351165e-25,2.7917369540410173e-45,1.031099785111697e-22,8.8222274180322e-23,5.42618912351467e-35,8.495319887889476e-35,6.699446631923699e-21,1.134490290787594e-45,6.764998724478264e-26,9.850592547526734e-64
2.804485378300667e-15,0.5419476531999847,3.76,0.0,0.5031517931324169,0.9999999999999636,1.083515284296322e-29,5.353894648663803e-43,4.491477621194272e-27,1.532369970450841e-11,5.823324539505453e-14,1.9963119206784367e-20,2.1805047320860123e-14,2.412304943908213e-21,3.642818189886862e-14,4.8826442819599075e-22,6.011296775497769e-24,3.3281223302477716e-22,4.219317685235451e-36,3.513224945170293e-24,4.4668950670219014e-44,4.1244830310485535e-22,3.5289627643499365e-22,4.34105427345418e-34,6.796417399877309e-34,1.3428985912505184e-20,1.815231608659112e-44,2.7060523991288024e-25,3.1524049248515726e-62
5.60900879538466e-15,0.541947653200776,3.76,0.0,0.5031517931246967,0.9999999999999272,8.668225060125079e-29,4.28340050159166e-42,1.7966089200786058e-26,3.0647607211203225e-11,1.1646731671159756e-13,7.985328904381157e-20,4.361039407771239e-14,9.649320497550897e-21,7.285685793192868e-14,1.9530777218588654e-21,2.4045433036151846e-23,1.3312623500954338e-21,3.375497866089935e-35,1.4053042733434616e-23,7.1471304826404765e-43,1.6498099772283903e-21,1.411599465309136e-21,3.472884532539431e-33,5.4371987204291644e-33,2.6977798425678473e-20,2.9044106405840235e-43,1.082430254221376e-24,1.0088676138781654e-60
1.1218055629552646e-14,0.5419476532023584,3.76,0.0,0.5031517931092563,0.9999999999998543,6.934621056904946e-28,3.4271150578872433e-41,7.186468996791342e-26,6.129542209975684e-11,2.329355675609078e-13,3.194147800516865e-19,8.722109863780146e-14,3.859749881819954e-20,1.4571421011400308e-13,7.812351753674301e-21,9.618223200159347e-23,5.3250754905490925e-21,2.7004201695242195e-34,5.62124568262885e-23,1.1435505462069986e-41,6.599273330994853e-21,5.646426580614112e-21,2.7783239490422163e-32,4.3497852228699653e-32,5.443435930269562e-20,4.6470966031446577e-42,4.3297293070200874e-24,3.228940190968292e-59
2.243614929788862e-14,0.5419476532055231,3.76,0.0,0.5031517930783755,0.9999999999997087,5.5477130798666054e-27,2.7422990975249005e-40,2.874592320520992e-25,1.2259105137752004e-10,4.658725021243221e-13,1.2776623634537517e-18,1.7444255194361793e-13,1.5439055199592515e-19,2.914289149419701e-13,3.124949553066361e-20,3.847299916142658e-22,2.130034817508856e-20,2.160351909326105e-33,2.248503989776931e-22,1.8296943656141676e-40,2.6397159306804972e-20,2.2585763762230054e-20,2.222665492284605e-31,3.4798391987713537e-31,1.1078322480044797e-19,7.435410306429871e-41,1.731885141661608e-23,1.0336115332979262e-57
4.487233663456057e-14,0.5419476532118527,3.76,0.0,0.5031517930166141,0.9999999999994172,4.438176686867642e-26,2.194800797579106e-39,1.1498363193697014e-24,2.451823079356703e-10,9.317481027094988e-13,5.110655904211403e-18,3.488856352986058e-13,6.175643059604795e-19,5.828583264531838e-13,1.2499821342148897e-19,1.538922604806468e-21,8.520143738581212e-20,1.7282990738162254e-32,8.994027383464648e-22,2.9275401990980007e-39,1.0558876230115829e-19,9.03431699357072e-20,1.778134613172551e-30,2.7838766021451915e-30,2.2922393349913666e-19,1.1896779393873684e-39,6.927461492488013e-23,3.309784950726586e-56
8.974471130790446e-14,0.5419476532245119,3.76,0.0,0.5031517928930911,0.9999999999988344,3.550543405451696e-25,1.7573751551484424e-38,4.599331634266074e-24,4.903648130624672e-10,1.8635062297066188e-12,2.0442636228806912e-17,6.977725089884122e-13,2.4702692960264934e-18,1.1657171568967882e-12,4.999937504212752e-19,6.15569978493845e-21,3.408054569916293e-19,1.3826642566774005e-31,3.597613230973416e-21,4.6841466365814603e-38,4.2235524421822917e-19,3.613729095732171e-19,1.4225080760717822e-29,2.2271047148669686e-29,4.890772835361374e-19,1.9035193053656367e-38,2.7709160552077385e-22,1.0605545621804527e-54
1.7948946065459223e-13,0.5419476532498303,3.76,0.0,0.503151792646045,0.9999999999976686,2.8404348535811944e-24,1.4083537568536763e-37,1.8397199847508416e-23,9.807297913580503e-10,3.727050186954954e-12,8.177056782844786e-17,1.3955490843386352e-12,9.881164338204218e-18,2.3314348474691632e-12,1.999980268314502e-18,2.4622850582634632e-20,1.3632181874968874e-18,1.1061701712178933e-30,1.4390457420791847e-20,7.49488910439238e-37,1.6894209258322838e-18,1.445492098403909e-18,1.1380058115516279e-28,1.781687282618431e-28,1.1006718887900633e-18,3.0457379675511523e-37,1.1083105362295322e-21,3.402880505214716e-53
3.589789593479678e-13,0.5419476533004669,3.76,0.0,0.5031517921519528,0.9999999999953372,2.272346825527457e-23,1.1306080873822562e-36,7.358775080448632e-23,1.9614596201172077e-09,7.454248914044187e-12,3.27082298654567e-16,2.7911135473318266e-12,3.952533573703279e-17,4.662870347358259e-12,7.999959392726447e-18,9.849176689770269e-20,5.452841026352029e-18,8.849976711925891e-30,5.756183821078119e-20,1.1992629788543318e-35,6.757680072823704e-18,5.781969317385273e-18,9.104031039155984e-28,1.4253546504144213e-27,2.6914141170902697e-18,4.873520500182933e-36,4.432793018336575e-21,1.094749459184362e-51
5.384684580413434e-13,0.5419476533511035,3.76,0.0,0.5031517916578603,0.9999999999930057,6.497489672171488e-23,3.240321123875173e-36,1.5637242050388583e-22,2.942189321044391e-09,1.1181558453302197e-11,6.95049880870193e-16,4.186689323028154e-12,8.39923295155331e-17,6.994305965995375e-12,1.6999968918097515e-17,2.092955268910367e-19,1.158723985584499e-17,2.5306539610201623e-29,1.2231891104371034e-19,4.414243083169329e-35,1.4360063916270526e-17,1.2286685380629806e-17,2.603181466656445e-27,4.075636585312686e-27,4.649710760339991e-18,1.7938461190223375e-35,9.419025004688122e-21,5.010023950557776e-51
7.179579567347189e-13,0.5419476534017402,3.76,0.0,0.5031517911637677,0.9999999999906742,1.3705083382769807e-22,6.85220497372298e-36,2.6675051317509057e-22,3.922918894139631e-09,1.4908978804305196e-11,1.185673298237999e-15,5.582276411838007e-12,1.4328258673720975e-16,9.325741703384189e-12,2.900003315764345e-17,3.57034359511639e-19,1.9766393288989938e-17,5.338137832615751e-29,2.086616755522123e-19,1.1195892109981167e-34,2.4496569368976876e-17,2.0959640291030407e-17,5.4908597818870375e-27,8.59672919524132e-27,6.975563215797606e-18,4.5497647775111935e-35,1.6066711439839444e-20,1.498462979313828e-50
1e-12,0.5419476535030135,3.76,0.0,0.5031517903873719,0.9999999999870106,3.13020359388837e-22,1.5723545121346344e-35,4.838031437435065e-22,5.46399477009277e-09,2.0766261232134778e-11,2.150472198649529e-15,7.775259546734782e-12,2.5987745549751106e-16,1.2989259277339115e-11,5.259797821538831e-17,6.475602190217412e-19,3.5850400681554395e-17,1.2193198596960087e-28,3.78452612876214e-19,3.1547141578019335e-34,4.442974575430521e-17,3.801479444504901e-17,1.2540971573406543e-26,1.96348422044002e-26,1.1211223004734363e-17,1.2820163774169319e-34,2.9137869880330535e-20,5.177682416486974e-50
1.0769369541214701e-12,0.5419476535030135,3.76,0.0,0.5031517901755824,0.9999999999860113,3.743281395545909e-22,1.882157383707003e-35,5.522646145913751e-22,5.8843777403164724e-09,2.236407957337777e-11,2.454785817962355e-15,8.373477141915844e-12,2.9665376112728017e-16,1.3988613456876179e-11,6.004118179290654e-17,7.391970890438732e-19,4.092354767823681e-17,1.4581602697219242e-28,4.3200750035153103e-19,3.915564656141179e-34,5.071699896464296e-17,4.339427394522781e-17,1.4997230478498094e-26,2.3480535428675166e-26,1.2489903449242206e-17,1.5912138897066355e-34,3.3260501144443327e-20,6.629396606598143e-50
1.4359159515082212e-12,0.541947653604287,3.76,0.0,0.5031517891873966,0.9999999999813484,7.832193125426103e-22,3.958240133845945e-35,9.392437940674682e-22,7.845836116409943e-09,2.9819587833238206e-11,4.174947454305862e-15,1.11647194777567e-11,5.045390259532966e-16,1.8651485647091046e-11,1.0211480357709413e-16,1.2571851555273169e-18,6.959981635990717e-17,3.0512415908992065e-28,7.347316093413344e-19,9.784600130712708e-34,8.62562718852197e-17,7.380229518049578e-17,3.1379204092423027e-26,4.912950905247253e-26,1.9355889104025132e-17,3.9763097948208875e-34,5.656160125660046e-20,1.9450206954521204e-49
1.7948949488949722e-12,0.5419476537055604,3.76,0.0,0.5031517881992105,0.9999999999766854,1.4258201340298587e-21,7.243524275156701e-35,1.4349309069270262e-21,9.807293988842886e-09,3.7275532687538766e-11,6.3783758927368055e-15,1.3956006393943897e-11,7.708351929190387e-16,2.3314358305247857e-11,1.560090948386323e-16,1.9207018988597288e-18,1.0633213597717965e-16,5.555196977650487e-28,1.12250387753726e-18,2.0760569208424624e-33,1.3177999916393047e-16,1.1275323169933504e-16,5.712460834189663e-26,8.943906544749888e-26,2.767007562342547e-17,8.436832285774592e-34,8.640427740282633e-20,4.758093362602427e-49
2.5128529436684747e-12,0.5419476539081071,3.76,0.0,0.5031517862228363,0.9999999999673594,3.764580508076428e-21,1.9370965591192794e-34,2.7592258211151228e-21,1.3730208191091667e-08,5.218875958458952e-11,1.226538845225505e-14,1.9538716786224897e-11,1.4823492457769683e-15,3.264010505494724e-11,3.0000329317302155e-16,3.693473050022663e-18,2.044699935831141e-16,1.4670848682284352e-27,2.1585351060329517e-18,7.607707232050547e-33,2.5340784238033074e-16,2.1682046699378597e-16,1.508254980249102e-25,2.3614954286389126e-25,4.8734082142238086e-17,3.0917239739110696e-33,1.6611191416684224e-19,2.5217160098034068e-48
3.94876893321548e-12,0.5419476543132006,3.76,0.0,0.5031517822700822,0.9999999999487073,1.4556989974330665e-20,7.68798626609019e-34,6.7311739599119335e-21,2.157603046286881e-08,8.202052930937296e-11,2.99238208559229e-14,3.070468057556963e-11,3.616800952209698e-15,5.129160425377197e-11,7.319346861077243e-16,9.011120388489004e-18,4.988294395563514e-16,5.675827139725213e-27,5.266171563210334e-18,4.8269430657111657e-32,6.182361526346445e-16,5.289762650012897e-16,5.832149421783581e-25,9.131830915063995e-25,1.0849647495554313e-16,1.96169135331924e-32,4.0505046249134275e-19,2.8429148869383864e-47
5.384684922762484e-12,0.5419476547182942,3.76,0.0,0.50315177831732,0.9999999999300547,3.612672762961924e-20,1.9485067435820525e-33,1.2468872806005659e-20,2.942184455066671e-08,1.1185939288707609e-10,5.543486971191144e-14,4.187136913781616e-11,6.7007878301453525e-15,6.994311105965564e-11,1.35596362746952e-15,1.6693686251873463e-17,9.24072128838131e-16,1.4091796162916956e-26,9.755760387559163e-18,1.5730294928685353e-31,1.1452995802604219e-15,9.799464149934423e-16,1.4473877508913781e-24,2.266354698715377e-24,1.9179208095689923e-16,6.393006276461096e-32,7.5000802938033305e-19,1.217857696390798e-46
8.256516901856492e-12,0.5419476555284819,3.76,0.0,0.5031517704117715,0.9999999998927489,1.3121187459598408e-19,7.417695750711648e-33,2.9238096309224e-20,4.511344818181198e-08,1.7155839407253934e-10,1.3000767453583072e-13,6.420692100566986e-11,1.571766935913322e-14,1.0724614749539945e-10,3.1802045394674702e-15,3.9152037295341565e-17,2.1670326338076083e-15,5.1230712561790655e-26,2.287954475815534e-17,9.014334796549842e-31,2.6859769948945357e-15,2.298204273398388e-15,5.256868936454459e-24,8.231935276473803e-24,4.2896534149431954e-16,3.6637358507879913e-31,1.7571124264312054e-18,1.2119180243865759e-45
1e-11,0.5419476571488578,3.76,0.0,0.5031517656123142,0.9999999998701,2.432981706711896e-19,1.4355853993194703e-32,4.286001750245499e-20,5.463977147150196e-08,2.078153671226978e-10,1.9059877626811518e-13,7.776820278712098e-11,2.304603920119854e-14,1.2989275658375218e-10,4.662532951170163e-15,5.740074819225539e-17,3.176851074746742e-15,9.508204404771749e-26,3.354275400645594e-17,2.2843611758321923e-30,3.937778978173856e-15,3.3693024637317105e-15,9.74743277302553e-24,1.526495111322656e-23,6.188654824821639e-16,9.284957150632854e-31,2.5740284711290998e-18,5.0734906623240984e-45
1.400018086004451e-11,0.5419476571488578,3.76,0.0,0.5031517546005785,0.9999999998181335,6.556788727863001e-19,4.060442278738611e-32,8.393970095207325e-20,7.649655726851265e-08,2.910414839494934e-10,3.733542594318628e-13,1.0888673053074842e-10,4.515435570486314e-14,1.818523117236614e-10,9.13379326332034e-15,1.1244501790218574e-16,6.222465133693825e-15,2.5652293257034065e-25,6.570525654286752e-17,8.116047049936462e-30,7.713449181509246e-15,6.599962338449432e-15,2.6268753949317397e-23,4.114153913834612e-23,1.1856591309122667e-15,3.298959384724842e-30,5.035105123809677e-18,2.3069551299723375e-44
2.5487508776420548e-11,0.5419476603896136,3.76,0.0,0.5031517229778079,0.9999999996688881,4.064521294833521e-18,2.9569799243773774e-31,2.7789882603666057e-19,1.3926238275108683e-07,5.303479496078765e-10,1.2368424415223416e-12,1.9828122838635934e-10,1.4969909999248552e-13,3.310650061053091e-10,3.0264582397651975e-14,3.7256536811038207e-16,2.0608334064691586e-14,1.5966584548928257e-24,2.1766803014901945e-16,9.692663297191677e-29,2.55523033377956e-14,2.1864329846066313e-14,1.6283391238933225e-22,2.5510519300617626e-22,3.828608840565497e-15,3.940534133058634e-29,1.6606457822041257e-17,6.6828679307320895e-43
3.697483669279658e-11,0.5419476636303747,3.76,0.0,0.5031516913545244,0.9999999995196233,1.1950849871922705e-17,9.716998715410674e-31,5.84475312258062e-19,2.0202768465222837e-07,7.701080538933644e-10,2.602720723943528e-12,2.877223044845595e-10,3.1521766632862375e-13,4.802781890433954e-10,6.369787476094574e-14,7.841054328756589e-16,4.3357056302805985e-14,4.709452632715311e-24,4.580458109184607e-16,3.8180318649576844e-28,5.3769148277491116e-14,4.600982560116549e-14,4.787712620018249e-22,7.502517259916214e-22,7.977892339941792e-15,1.5524823786027344e-28,3.4813790766503405e-17,3.7697886035860095e-42
4.8462164609172614e-11,0.5419476668711408,3.76,0.0,0.5031516597307282,0.999999999370339,2.617467635099597e-17,2.3493692161492825e-30,1.0034961511731898e-18,2.6479246298117323e-07,1.0103216904070818e-09,4.4709841984014674e-12,3.7721006102336417e-10,5.418199269148674e-13,6.294918614548534e-10,1.0943975597957311e-13,1.347121646451948e-15,7.44632911789993e-14,1.0346513984515777e-23,7.868383583026518e-16,1.0375886581385135e-27,9.236320108480556e-14,7.903643294208211e-14,1.0485903928061399e-21,1.6435681073054038e-21,1.3633860292126362e-14,4.21979553950698e-28,5.958618104631066e-17,1.3876149757245857e-41
5.994949252554865e-11,0.5419476701119121,3.76,0.0,0.5031516281064193,0.9999999992210351,4.865863336923359e-17,4.7815699642675284e-30,1.5347828885987982e-18,3.275567177468394e-07,1.2509887497406818e-09,6.841628391319368e-12,4.667446036646226e-10,8.296195084532573e-13,7.78706024288261e-10,1.6749654468711876e-13,2.0616723871196233e-15,1.1392153109944476e-13,1.9293832449465773e-23,1.2040455299084577e-15,2.301994699456205e-27,1.4133366649052406e-13,1.2094414454691123e-13,1.949306728028154e-21,3.056086360819667e-21,2.0796878480613327e-14,9.363786762213125e-28,9.085118115734144e-17,4.0427680204419427e-41
8.292414835830073e-11,0.5419476765934702,3.76,0.0,0.5031515648562629,0.9999999989223691,1.25534993680372e-16,1.4494377396653928e-29,2.9334940592003614e-18,4.5308365662044693e-07,1.7336827322263059e-09,1.3090043240386164e-11,6.459544388862163e-10,1.5892319083935422e-12,1.0771358247397098e-09,3.205783701412159e-13,3.945593364463264e-15,2.1787363849579612e-13,5.008778813670635e-23,2.3037033789929446e-15,7.872405929428217e-27,2.7040091445578284e-13,2.314028651778989e-13,5.028950218099927e-21,7.888095680756035e-21,3.9645433130381494e-14,3.2035082978367586e-27,1.7259529969326156e-16,2.2630873899099164e-40
9.999999999999999e-11,0.5419476830750493,3.76,0.0,0.503151517844424,0.9999999987003361,2.1781606062836592e-16,2.7907451036753373e-29,4.262728938905382e-18,5.463798623176514e-07,2.093617934070363e-09,1.9035963792759112e-11,7.792736635351824e-10,2.3132059992857244e-12,1.2989442552163016e-09,4.663133788388386e-13,5.7389039146043e-15,3.167392639803105e-13,8.730601575404195e-23,3.350131712022687e-15,1.613540296556585e-26,3.9321286522966925e-13,3.3651483514877017e-13,8.725634715000712e-21,1.369134736308689e-20,5.756247325156351e-14,6.567806464242215e-27,2.496704530149564e-16,6.103136637386915e-40
1.0589880419105279e-10,0.5419476830750493,3.76,0.0,0.5031515016040552,0.9999999986236253,2.579977221162222e-16,3.41228230605204e-29,4.779182691633638e-18,5.786085013425138e-07,2.218189126277902e-09,2.1347931301590753e-11,8.253526570454365e-10,2.5949659662632084e-12,1.3755675980098945e-09,5.229943150009716e-13,6.436334570520742e-15,3.5516929722581433e-13,1.0356610431183567e-22,3.7570185638592826e-15,2.0071044274433185e-26,4.409645838632039e-13,3.773859497309836e-13,1.0335256501855779e-20,1.6218879139049033e-20,6.452652315590376e-14,8.170465472019226e-27,2.794806261060119e-16,8.148578247423741e-40
1.2887346002380486e-10,0.541947689556649,3.76,0.0,0.5031514383497963,0.9999999983248037,4.622765011353706e-16,6.889726024027506e-29,7.070351726851672e-18,7.041312519858623e-07,2.704507011468048e-09,3.161525704433998e-11,1.0049401491098586e-09,3.847780497691317e-12,1.6740013521153178e-09,7.747982604125665e-13,9.534384522291473e-15,5.257621573038677e-13,1.8669347252171378e-22,5.5639902996962466e-15,4.3038625490994447e-26,6.530180663177384e-13,5.588933509860337e-13,1.851824198537895e-20,2.9073961518363894e-20,9.544329803028313e-14,1.75263349961323e-26,4.1092580052876574e-16,2.3349468708647942e-39
