Time (s),Volume (m^3),N2,Ne,C2H5F(1),O2(2),H2O(3),CH4(4),OH(5),C2H4(30),HF(38),C2H4(126),H2(8),H2CC(24),HCO(15),CO(13),HO2(11),H2O2(12),C2H4F(62),H(6),CH2CHF(55),C2H4F(61),C2H3(29),CH2O(20),C2H2(23),O(7),CH2CF(69),CH2CFO(78),S(184),CH2CO(28),S(515),S(253),C2H2F(70),S(1529),S(767),S(1557),CH2F(46),CHFO(47),CH3(19),CH2F2(41),C2H2O(452)
6.110369604777406e-12,0.5127433611070632,3.76,0.0,0.8163475147788771,0.9999999999999457,2.0215961432404412e-25,1.5634394977933853e-21,5.277827659021689e-21,1.0418350298218696e-10,1.0418350298219134e-10,3.896506475261034e-26,7.887741652292757e-24,4.264946779566232e-24,6.549577685343915e-28,8.914879207709562e-30,5.432028139949031e-14,5.92047016612279e-23,3.119517843821875e-14,2.6973397888706204e-19,1.0794132127659221e-18,2.3123084519192443e-14,8.390854995185736e-26,2.1628362795009862e-23,3.814428258799461e-29,2.322449635671358e-24,1.6869649194454888e-35,7.482883820134823e-36,1.2974082625340075e-19,5.477727465646772e-31,1.7232752158790057e-43,1.298192905051253e-21,1.8666632539324418e-34,6.404886318693071e-39,1.4859082414524769e-49,5.302514240947968e-45,4.553373697357127e-15,3.9580338705119804e-21,4.553376070323148e-15,2.9970445507142517e-32,1.4333672152187724e-42
1e-11,0.5127433611166433,3.76,0.0,0.8163475147125204,0.9999999999999112,1.1029563365969975e-24,4.549117827007597e-21,1.535663612391633e-20,1.7050278414226854e-10,1.7050278414228125e-10,1.1234500878132818e-25,3.124675590006522e-23,1.2408730621485307e-23,3.573058569794079e-27,4.872230117607298e-29,8.889958063017231e-14,1.7226911071546058e-22,5.105190742477292e-14,7.54800226253943e-19,3.140701944947414e-18,3.784177027226358e-14,2.4414251258821146e-25,6.293174708002308e-23,2.0809727023304483e-28,4.421135190875601e-24,9.203288703315075e-35,4.083111973635804e-35,3.7748529634471353e-19,2.9885616498194585e-30,1.817545767976523e-42,3.777269650623293e-21,1.0183894524593505e-33,6.755813993185538e-38,1.9005667108414015e-48,1.0992952035028247e-43,7.451874293238059e-15,1.1516630732237262e-20,7.451881197819276e-15,1.6351388446125184e-31,1.504997524798597e-41
1.2220749569221366e-11,0.5127433611166433,3.76,0.0,0.8163475146746346,0.9999999999998914,1.617258141570732e-24,6.253764076065046e-21,2.111104137130708e-20,2.0836718258182604e-10,2.0836718258184356e-10,1.5424062932445628e-25,4.4583375464713557e-23,1.7058350924994566e-23,5.2391220356959905e-27,7.144999152337067e-29,1.086423212167414e-13,2.3682222044276327e-22,6.238892864848538e-14,1.031744447279905e-18,4.3175762489057826e-18,4.6245271819810195e-14,3.3562665564107653e-25,8.651354368748161e-23,3.051304033976243e-28,5.619360875345606e-24,1.3494666317408783e-34,5.98709957709053e-35,5.1893277832346675e-19,4.382108170877317e-30,2.756868361822507e-42,5.19267627166312e-21,1.4932543081053075e-33,1.0247304130261747e-37,2.9008416213947095e-48,1.6966537058212157e-43,9.106747197768128e-15,1.5832143780780734e-20,9.106756689634376e-15,2.3975931253429795e-31,2.2824255410997052e-41
2.4441509498109282e-11,0.5127433611358035,3.76,0.0,0.8163475144661495,0.9999999999997827,1.293773610898777e-23,2.5015057270944057e-20,8.444185127936996e-20,4.1673454172786333e-10,4.167345417279335e-10,6.043747405362147e-25,2.8258257633049773e-22,6.822178677702327e-23,4.1904243369540184e-26,5.736933549481664e-28,2.1729139945006207e-13,9.473143840971232e-22,1.247719862642335e-13,4.032391261418146e-18,1.7269659284696927e-17,9.248683736590955e-14,1.3424436181182997e-24,3.460542547591678e-22,2.440656167343691e-27,1.8890832134327505e-23,1.0794024935306754e-33,4.790936724950204e-34,2.075482975237239e-18,3.5055606631872694e-29,4.4097891711404137e-41,2.076990274802983e-20,1.194478734114593e-32,1.6394003025997685e-36,7.691689439178464e-47,5.4283132278665583e-42,1.8213470448106876e-14,6.332852072333445e-20,1.8213508415516776e-14,1.9180007889615753e-30,3.6172827015966778e-40
4.8883029355885115e-11,0.5127433611741239,3.76,0.0,0.8163475140491793,0.9999999999995655,1.0349651367191767e-22,1.0006014139246399e-19,3.37748585018166e-19,8.33469259806975e-10,8.334692598072555e-10,2.3223522669253e-24,1.964161767063588e-21,2.727939960113637e-22,3.3509391661176356e-25,4.623016202541412e-27,4.346095477155219e-13,3.789457920766762e-21,2.495203341254401e-13,1.5938764414307673e-17,6.907340633699304e-17,1.8495873373015627e-13,5.3692639672900786e-24,1.3842163389516899e-21,1.9519037523809535e-26,9.840155659584736e-23,8.632479860167394e-33,3.834755412765048e-33,8.299939438415085e-18,2.804244045644187e-28,7.051817806913842e-40,8.307311413766276e-20,9.553824427781812e-32,2.622498768895456e-35,3.161055589659586e-45,1.7364320196372768e-40,3.642682194734682e-14,2.533134061183356e-19,3.6426973816400845e-14,1.5342804300037426e-29,5.679961838996243e-39
9.776606907143678e-11,0.5127433612507644,3.76,0.0,0.8163475132152388,0.9999999999991307,8.278857841692079e-22,4.002396731925303e-19,1.3508433854620231e-18,1.6669386951133466e-09,1.6669386951144685e-09,8.60678812786753e-24,1.4524725533718766e-20,1.0904309677734185e-21,2.6785115759428536e-24,3.75189692647377e-26,8.693257906776661e-13,1.515942719990153e-20,4.989459911413703e-13,6.33604416458001e-17,2.7625165946784094e-16,3.6985759948432734e-13,2.1472942757717825e-23,5.53685727388337e-21,1.5605291610505107e-25,6.790110107527045e-22,6.901603937919172e-32,3.071009065735592e-32,3.3183811188089175e-17,2.2430669187721902e-27,1.1270625082384562e-38,3.322403406988583e-19,7.639848453903764e-31,4.194263054383523e-34,1.7338974912061213e-43,5.552561682812756e-39,7.285314494404035e-14,1.0132477271640184e-18,7.285375241528215e-14,1.227231154387645e-28,8.761533662744357e-38
9.999999999999999e-11,0.512743361327405,3.76,0.0,0.8163475131771281,0.9999999999991108,8.982268513790044e-22,4.208167120935728e-19,1.4202827486209874e-18,1.7050278392924818e-09,1.705027839293661e-09,9.0073488176548e-24,1.5718896762283822e-20,1.1464421743404316e-21,2.905943448970573e-24,4.074716075960831e-26,8.89195762234074e-13,1.5938909865621917e-20,5.103413762478498e-13,6.66059854112958e-17,2.9045147760025347e-16,3.7830533432590495e-13,2.2576633105108092e-23,5.821517315516398e-21,1.693056702889684e-25,7.34379354883131e-22,7.487723923787414e-32,3.332201089307475e-32,3.4888785503243425e-17,2.4336413225876187e-27,1.2650342248650325e-38,3.4931796466179666e-19,8.288784816171858e-31,4.707941144583137e-34,2.0426819177423527e-43,6.457000289019994e-39,7.451779266522881e-14,1.0653403645554583e-18,7.451843136741289e-14,1.3376313490100884e-28,9.809485164937763e-38
1.4664910878698846e-10,0.512743361327405,3.76,0.0,0.8163475123812983,0.9999999999986958,2.367094153634016e-21,8.505079410995657e-19,2.8703206010379954e-18,2.5004081295678666e-09,2.5004081295702497e-09,1.737188639344088e-23,4.0655667563631686e-20,2.3160722801895894e-21,7.655192430147611e-24,1.0815849129985294e-25,1.304121959314573e-12,3.2216123814286434e-20,7.483006402093749e-13,1.3437966733391375e-16,5.869731168079635e-16,5.547115501984087e-13,4.5623975538238805e-23,1.176580909269708e-20,4.460506509631931e-25,1.890585160385329e-21,1.9727124271130003e-31,8.786431999542044e-32,7.049218366104001e-17,6.413229940092117e-27,4.146169687088258e-38,7.059341553793762e-19,2.183992132277242e-30,1.543460453637666e-33,8.490740862197296e-43,2.534355331205808e-38,1.0927908794291125e-13,2.1531426227198915e-18,1.0928037881191272e-13,3.6430162752841777e-28,3.1692884962240413e-37
1.9553214850254013e-10,0.5127433614040455,3.76,0.0,0.8163475115473579,0.9999999999982608,4.992616069664545e-21,1.4508643176661448e-18,4.8960815183525834e-18,3.3338775631705357e-09,3.3338775631745996e-09,2.829732428527237e-23,8.472785224780734e-20,3.949230304111021e-21,1.6139987415048242e-23,2.298156276585804e-25,1.7389980328773696e-12,5.496059262199276e-20,9.975843120718962e-13,2.2898506371121496e-16,1.0012102336213475e-15,7.395205978033783e-13,7.781966797912606e-23,2.007106591186615e-20,9.405379992225242e-25,3.9421609379123604e-21,4.1596690689432355e-31,1.8543215801806256e-31,1.2021460610730704e-16,1.352632701618885e-26,1.0510622681268363e-37,1.2041203568217093e-18,4.605664910376403e-30,3.913846898240536e-33,3.532117092564102e-42,7.552175341446419e-38,1.457046509479232e-13,3.6729941170819354e-18,1.457068530069287e-13,7.93718641315188e-28,7.914152946554049e-37
2.9329822793364346e-10,0.5127433615573268,3.76,0.0,0.816347509879477,0.9999999999973908,1.3635151237133113e-20,3.003822726128269e-18,1.0135514789874151e-17,5.000816428376631e-09,5.000816428385044e-09,5.438244443312816e-23,2.2852956167793653e-19,8.170452761360225e-21,4.4051354539497064e-23,6.353236906900247e-25,2.6089376476377425e-12,1.1380162358025803e-19,1.4959851719424408e-12,4.735158791365228e-16,2.072543976903252e-15,1.1090333451630425e-12,1.6108310689348242e-22,4.155452201053793e-20,2.567482670704777e-24,1.0663856715666723e-20,1.135532330721239e-30,5.069327334696226e-31,2.487620763645199e-16,3.6939898786166645e-26,3.672699734648799e-37,2.492562731434129e-18,1.2574929841266165e-29,1.3682771751267765e-32,3.1261733380957604e-41,3.304217998319721e-37,2.185548851479204e-13,7.604419647911552e-18,2.185594441910632e-13,2.3034673826756873e-27,2.6971661074458316e-36
