Time (s),Volume (m^3),N2,Ne,C2H5F(1),O2(2),H2O(3),CH4(4),OH(5),C2H4(30),HF(38),C2H4(126),H2(8),H2CC(24),HCO(15),CO(13),HO2(11),H2O2(12),C2H4F(62),H(6),CH2CHF(55),C2H4F(61),C2H3(29),CH2O(20),C2H2(23),O(7),CH2CF(69),CH2CFO(78),S(184),CH2CO(28),S(515),S(253),C2H2F(70),S(1529),S(767),S(1557),CH2F(46),CHFO(47),CH3(19),CH2F2(41)
8.409491260601101e-18,0.3493881142438311,3.76,0.0,0.7929251051049843,0.9999999999999999,4.1590670222477765e-38,1.7860205086473484e-27,2.0821886105638044e-28,2.0068360938809236e-13,2.0068360938809267e-13,5.831703884260142e-30,2.648838270964527e-28,2.646604345470486e-28,8.202693318238585e-38,9.92421099275479e-41,1.1553008585643965e-16,6.9979753021464e-30,5.251061684840211e-17,1.2058022172729615e-21,1.2618463815764799e-25,6.30206745595446e-17,3.744116371468661e-30,1.7279348827066348e-29,9.688210514818695e-39,3.80711497073248e-23,1.4597996082106561e-44,3.1550688184422947e-46,1.2783690666946464e-28,1.487279164104208e-41,1.0929756938461722e-59,9.860853922527864e-30,8.315033493353931e-44,3.7190978732425105e-54,4.833887950083667e-61,5.990870774939305e-66,1.7112822188206273e-16,1.8102180550074382e-28,1.7112822188044048e-16,5.10610363826765e-42
1.682628876903939e-17,0.3493881142438437,3.76,0.0,0.7929251051047831,0.9999999999999998,3.3297825271784996e-37,7.148736538297193e-27,8.33418083220073e-28,4.015415746487385e-13,4.015415746487395e-13,2.3342012703913078e-29,1.0602256949719402e-27,1.059331462984231e-27,6.567142241652326e-37,7.945403635373323e-40,2.311605453782153e-16,2.801013845878694e-29,1.0506685530775573e-16,2.4129020251444606e-21,5.050673988176368e-25,1.2609610196899051e-16,1.4986222944432602e-29,6.916242659085732e-29,7.756459257303005e-38,7.61753760097245e-23,1.168727306355331e-43,2.5259734848655714e-45,5.116807778250214e-28,1.1907276595728378e-40,1.750185154691599e-58,3.9469113777468656e-29,6.657082684978215e-43,5.9554022275507495e-53,7.743221455263969e-60,1.9186917602845764e-64,3.4240512162806846e-16,7.245589784419051e-28,3.4240512162157515e-16,4.08902413908513e-41
3.365988378591596e-17,0.349388114243869,3.76,0.0,0.7929251051043807,0.9999999999999996,2.6648380403649113e-36,2.8604257813202727e-26,3.3347579500756185e-27,8.032575051698251e-13,8.032575051698295e-13,9.339844965688947e-29,4.242284423298021e-27,4.2387056934502045e-27,5.255709679269535e-36,6.358738472551759e-39,4.624214644294465e-16,1.120770387319379e-28,2.1017933185451217e-16,4.8278519002584876e-21,2.0209274722575204e-24,2.5224695641155084e-16,5.996441231465052e-29,2.767397945954583e-28,6.2075247500675755e-37,1.5238382864382204e-22,9.353370437790564e-43,2.0215465039280496e-44,2.047389594802444e-27,9.529440123194048e-40,2.8014360554928104e-57,1.5792786569431279e-28,5.3276893616417127e-42,9.53252198985544e-52,1.2396359621831403e-58,6.142395965300275e-63,6.849589211188185e-16,2.899179695533153e-27,6.849589210928367e-16,3.272876607648473e-40
6.73270738196691e-17,0.34938811424391975,3.76,0.0,0.7929251051035762,0.9999999999999991,2.1322753619483734e-35,1.1443565722260661e-25,1.3341203583285792e-26,1.6066893662111764e-12,1.606689366211194e-12,3.7365457173198985e-28,1.6971905187658057e-26,1.6957582840261123e-26,4.205366265231673e-35,5.087958163176233e-38,9.249433025626285e-16,4.483811351275713e-28,4.204042834602214e-16,9.66075268794748e-21,8.085025807840797e-24,5.045486637913456e-16,2.3989669635960074e-28,1.1071393805101991e-27,4.966962936757722e-36,3.0480073402942764e-22,7.484117431939411e-42,1.6175443805457025e-43,8.190891466632171e-27,7.624999925160142e-39,4.483209775093905e-56,6.318142966908801e-28,4.2629609361254556e-41,1.525513865726366e-50,1.983994147102344e-57,1.9659799750566904e-61,1.3700665200952733e-15,1.1598606614502566e-26,1.3700665199913293e-15,2.6189643592859722e-39
1.346614538871754e-16,0.3493881142440208,3.76,0.0,0.792925105101967,0.9999999999999982,1.7059823358375657e-34,4.577798834571417e-25,5.336916012279412e-26,3.213553088290592e-12,3.2135530882906626e-12,1.4947395758746006e-27,6.789318664646895e-26,6.783585180949931e-26,3.364612449940918e-34,4.070755050686476e-37,1.8499869789518725e-15,1.7936705113949818e-27,8.408541807204261e-16,1.9338558412983752e-20,3.234273507561249e-23,1.0091520725296326e-15,9.596648889263906e-28,4.4289179519415395e-27,3.9739476403797586e-35,6.096345452720265e-22,5.987862412211652e-41,1.2941584291017918e-42,3.2766231675468436e-26,6.100579098397231e-38,7.173865440286078e-55,2.527462854015768e-27,3.410692543641235e-40,2.4410704809298264e-49,3.174851981873736e-56,6.291797122907269e-60,2.7402817180280017e-15,4.6398202391198916e-26,2.7402817176121907e-15,2.0954367373950188e-38
2.69330214022188e-16,0.3493881142442232,3.76,0.0,0.7929251050987487,0.9999999999999963,1.3648507820245841e-33,1.8311940454079667e-24,2.1348534769489506e-25,6.427280532436273e-12,6.427280532436553e-12,5.9791987626575636e-27,2.7158412287852115e-25,2.7135444790724363e-25,2.6918177337278098e-33,3.2567618965536543e-36,3.700074332221879e-15,7.174973998464915e-27,1.6817539514359811e-15,3.874218646020575e-20,1.293762027319052e-22,2.0183588659209952e-15,3.838815798038157e-27,1.7716392693049256e-26,3.179309030334921e-34,1.2193021696567314e-21,4.790517285776052e-40,1.035375980698175e-41,1.310702540632664e-25,4.880694899607356e-37,1.1478768709404341e-53,1.0110262643434439e-26,2.7286835300068993e-39,3.905911376691251e-48,5.0801322300320774e-55,2.0134808075075556e-58,5.4807121138127315e-15,1.8560036169650018e-25,5.4807121121494214e-15,1.6764554776835186e-37
5.386677342922132e-16,0.3493881142446279,3.76,0.0,0.7929251050923121,0.9999999999999927,1.0919067378656462e-32,7.32492520578741e-24,8.5395892801729e-25,1.285473542067504e-11,1.2854735420676164e-11,2.391725895846401e-26,1.0863611973527814e-24,1.0854398683942292e-24,2.153505284814092e-32,2.60547656479869e-35,7.400249040727967e-15,2.8700479915789527e-26,3.3635533976476812e-15,7.774150893137823e-20,5.175153244021188e-22,4.036772356362882e-15,1.535557592073907e-26,7.086701256694576e-26,2.5435075828219616e-33,2.4386374261358378e-21,3.8325047049677005e-39,8.283205839311553e-41,5.242916355947143e-25,3.904648482848526e-36,1.836649756462396e-52,4.0441872068882515e-26,2.182998575873597e-38,6.249616959694173e-47,8.128506672754483e-54,6.443307298286987e-57,1.0961572905059289e-14,7.424165512897652e-25,1.0961572898405913e-14,1.3412067886357334e-36
1.0773427748322635e-15,0.3493881142454375,3.76,0.0,0.7929251050794388,0.9999999999999852,8.735360692686358e-32,2.9299998860863634e-23,3.415871767021622e-24,2.5709645196942188e-11,2.570964519694669e-11,9.566982750543094e-26,4.3455098243597036e-24,4.341803587769578e-24,1.722824646387967e-31,2.084414316795447e-34,1.4800598465604434e-14,1.148030875635321e-25,6.727151909193493e-15,1.565084192856819e-19,2.070082232170117e-21,8.073598951883337e-15,6.142293105256135e-26,2.8347093387107e-25,2.034830193568681e-32,4.8773079708261626e-21,3.0660400054228974e-38,6.626645532084035e-40,2.09718749668388e-24,3.123755671769944e-35,2.9386771528297255e-51,1.6176912348650363e-25,1.7464194856378316e-37,9.999513715158133e-46,1.3005846271947429e-52,2.0618850380435806e-55,2.192329448626079e-14,2.969696414207166e-24,2.1923294459647016e-14,1.0729823459016748e-35
2.154692855912364e-15,0.34938811424705646,3.76,0.0,0.7929251050536923,0.9999999999999705,6.988335013358818e-31,1.1720059141553484e-22,1.3663567019641534e-23,5.141946474863494e-11,5.141946474865293e-11,3.8267980415824637e-25,1.7382294350722334e-23,1.7367302262008926e-23,1.3782678511891913e-30,1.667554672450714e-33,2.960129734681454e-14,4.592146864342256e-25,1.3454347408775204e-14,3.1711530088248216e-19,8.280370057393021e-21,1.6147250601471303e-14,2.456929942098754e-25,1.133889502621501e-24,1.627873779551179e-31,9.754649194281897e-21,2.4528463256941773e-37,5.301351429481657e-39,8.388789618991214e-24,2.4990190672812002e-34,4.701913899684938e-50,6.470797020309184e-25,1.3971437168052469e-36,1.5999321839408173e-44,2.0809540946641368e-51,6.598072976537408e-54,4.384673764349734e-14,1.1878846073367248e-23,4.3846737537041703e-14,8.583925661919136e-35
4.309393018072565e-15,0.3493881142502946,3.76,0.0,0.7929251050021991,0.9999999999999408,5.5906925832700105e-30,4.688035567609469e-22,5.465449071269291e-23,1.0283910384865419e-10,1.0283910384872617e-10,1.5307114913003978e-24,6.953068737333157e-23,6.946938232750751e-23,1.1026174811690667e-29,1.3340690143228958e-32,5.920269523506339e-14,1.836863421059123e-24,2.6908732313902402e-14,6.506213015517247e-19,3.312155656240203e-20,3.229454773483807e-14,9.827746388814866e-25,4.535569544025949e-24,1.302302831463986e-30,1.9509332234666667e-20,1.962282508605539e-36,4.2410994001126487e-38,3.355521952832942e-23,1.9992207067027158e-33,7.523087950694792e-49,2.5883247254948592e-24,1.1177180299959619e-35,2.5598990477562837e-43,3.329541010078904e-50,2.111388692675314e-52,8.769362393730464e-14,4.751550511220278e-23,8.769362351148102e-14,6.867166062266095e-34
8.618793342392967e-15,0.3493881142567707,3.76,0.0,0.792925104899213,0.9999999999998817,4.4725734778045274e-29,1.8752166024600097e-21,2.1861890996468756e-22,2.0567838203522778e-10,2.0567838203551574e-10,6.1227608073590436e-24,2.7813376833507446e-22,2.7787785552710956e-22,8.820951795449567e-29,1.0672909039896843e-31,1.1840549151487528e-13,7.347463058504365e-24,5.3817477748039724e-14,1.3668022041757886e-18,1.324863315172392e-19,6.458911733835583e-14,3.931104855885573e-24,1.8142301237128094e-23,1.0418437209935275e-29,3.9018701146712525e-20,1.5698277372953338e-35,3.3928936306407446e-37,1.3422085451981978e-22,1.5993781719767847e-32,1.2036965600414454e-47,1.0353306746234505e-23,8.941753349767015e-35,4.0958431169686435e-42,5.327275645863202e-49,6.75644470257178e-51,1.7538739644225598e-13,1.9006226196964978e-22,1.7538739473895936e-13,5.493741102519302e-33
1.723759399103377e-14,0.34938811426972294,3.76,0.0,0.7929251046932406,0.9999999999997632,3.578081878133959e-28,7.500871106402762e-21,8.744815488448182e-22,4.113569383545155e-10,4.1135693835566723e-10,2.4490315283923313e-23,1.1126211021098147e-21,1.1115119118049855e-21,7.056764847129943e-28,8.53887931360982e-31,2.368110860877535e-13,2.938987117146767e-23,1.07634871112068e-13,2.9958392256310863e-18,5.299451574193873e-19,1.291781578926951e-13,1.57244398339924e-23,7.256925102193717e-23,8.334754514288179e-29,7.803745395496345e-20,1.2558621639179853e-34,2.7143314414118182e-36,5.368822053095629e-22,1.2795022609651862e-31,1.92591786569141e-46,4.1413210749514235e-23,7.1534013374720025e-34,6.553348212534232e-41,8.523644425153092e-48,2.1620575452954073e-49,3.5077494112150583e-13,7.602495299853625e-22,3.50774934308315e-13,4.3949930464567076e-32
3.447519528831538e-14,0.34938811429562744,3.76,0.0,0.7929251042812959,0.9999999999995264,2.8624992710661422e-27,3.0003493384560193e-20,3.497970131336759e-21,8.22714050777653e-10,8.227140507822598e-10,9.795534464836849e-23,4.45116839277353e-21,4.446047324710222e-21,5.6454110537368635e-27,6.831979181491129e-30,4.736222832865077e-13,1.1755952407201006e-22,2.152692678249146e-13,7.040611021901697e-18,2.1197772589098238e-18,2.583558443919245e-13,6.289786262771126e-23,2.9027709584543825e-22,6.667803786829918e-28,1.5607504878035642e-19,1.0046885718897063e-33,2.1714891961322786e-35,2.147517071106535e-21,1.023600227311102e-30,3.081475694381519e-45,1.6565255513670874e-22,5.722712555087169e-33,1.0485342161876567e-39,1.363782080775511e-46,6.918545161753481e-48,7.015500291573941e-13,3.040999076673784e-21,7.015500019046226e-13,3.51598948432642e-31
6.895039788287861e-14,0.34938811434743655,3.76,0.0,0.7929251034574065,0.9999999999990528,2.2900521724149975e-26,1.200139879827102e-19,1.3992225339888665e-20,1.6454282747621757e-09,1.6454282747806034e-09,3.9177386792505687e-22,1.781013692387932e-20,1.7784178238609436e-20,4.516325012162831e-26,5.466981472280433e-29,9.472447098958474e-13,4.702381871500942e-22,4.305365012039724e-13,1.8276920736333056e-17,8.479078026535851e-18,5.16709638963271e-13,2.515921567495783e-22,1.1611085637838311e-21,5.334240342570536e-27,3.121508294419044e-19,8.037485558690419e-33,1.7372288591655431e-34,8.589970188556015e-21,8.188771959798266e-30,4.930380921107367e-44,6.626076017171999e-22,4.578153873676534e-32,1.6776489530377862e-38,2.1820489797749745e-45,2.213908139397828e-46,1.403100199938724e-12,1.2163998160308364e-20,1.403100090927626e-12,2.812781576592293e-30
1.3790080307200506e-13,0.34938811445105467,3.76,0.0,0.7929251018096277,0.9999999999981055,1.8321256365849378e-25,4.800559530323342e-19,5.597164650958565e-20,3.2908567192842123e-09,3.2908567193579224e-09,1.5667151419936039e-21,7.128423699014583e-20,7.113660751248838e-20,3.6130528754211988e-25,4.3758209585428405e-28,1.8944896919605736e-12,1.880953027041597e-21,8.610647278891803e-13,5.333640552354835e-17,3.391605595030358e-17,1.0334109144829907e-12,1.0063740349354129e-21,4.6444345910354616e-21,4.267386787907779e-26,6.243066281642711e-19,6.429949839392526e-32,1.3898427039120981e-33,3.435908781575506e-20,6.550967972411506e-29,7.88867050952592e-43,2.650408824628632e-21,3.662496208439026e-31,2.6842189883748957e-37,3.491279464181259e-44,7.084335471167461e-45,2.8062005203395996e-12,4.865599586964654e-20,2.806200084295209e-12,2.2502084095211594e-29
2.75801613450258e-13,0.34938811465829067,3.76,0.0,0.7929250985140701,0.999999999996211,1.4658345411153464e-24,1.920223592032796e-18,2.2390852018497577e-19,6.581713594540255e-09,6.581713594835093e-09,6.2638192510008946e-21,2.854864195205858e-19,2.8454555259755945e-19,2.890430483465659e-24,3.504233508150653e-27,3.788980171464e-12,7.523813438769406e-21,1.7220962218770038e-12,1.738012435487854e-16,1.3566215843506518e-16,2.0667882117143267e-12,4.0255388907992685e-21,1.85777388367507e-20,3.4139001773018817e-25,1.2486501613301025e-18,5.143897408098392e-31,1.1119693935083158e-32,1.374299917022518e-19,5.240694298568758e-28,1.2622066213156648e-41,1.060146138178217e-20,2.9299535373400855e-30,4.2946878689085024e-36,5.586122306012385e-43,2.2668778414785955e-43,5.612401076494214e-12,1.9462398610490388e-19,5.612399332316879e-12,1.8001394316062475e-28
5.516032342067638e-13,0.349388115072763,3.76,0.0,0.7929250919229549,0.9999999999924221,1.1728819953734278e-23,7.680892149542762e-18,8.958094946697434e-19,1.3163427289900233e-08,1.3163427291079556e-08,2.503097801239204e-20,1.1447412411085156e-18,1.1381751229918593e-18,2.3123253190448857e-23,2.809109329383186e-26,7.577963191884993e-12,3.0095262605788015e-20,3.4440593795940495e-12,6.161016503585587e-16,5.426320793176823e-16,4.133441796414609e-12,1.6102496091638084e-20,7.431095469934279e-20,2.731105145845885e-24,2.4975848479270063e-18,4.115017776035029e-30,8.897278166897379e-32,5.496690628563054e-19,4.192427027389241e-27,2.01959230813641e-40,4.240445174596664e-20,2.3438931890833815e-29,6.87130006546338e-35,8.938502212903721e-42,7.253307773666585e-42,1.1224801850214911e-11,7.784959190281818e-19,1.1224794873507794e-11,1.4400677401089348e-27
8.274048549632695e-13,0.3493881154872353,3.76,0.0,0.7929250853318399,0.9999999999886331,3.354061527320786e-23,1.6321892417260352e-17,1.9038527932276342e-18,1.974514093010812e-08,1.9745140932614146e-08,5.315517866448985e-20,2.4366809300355827e-18,2.418611707736203e-18,6.611773842508952e-23,8.041696540360468e-26,1.1366948273638392e-11,6.395244591032692e-20,5.165922714323738e-12,1.2597600457005684e-15,1.153068846175189e-15,6.199994376822228e-12,3.421830448064413e-20,1.579107765234431e-19,7.809229087932798e-24,3.746887020559647e-18,1.1766219549292342e-29,2.5443157291814105e-31,1.1679719904703966e-18,1.198751002563442e-26,7.43355021813711e-40,9.010741222104049e-20,6.701955899205826e-29,2.5290597015765572e-34,3.407905898499523e-41,3.311471844632051e-41,1.6837202285347097e-11,1.6543037775809225e-18,1.6837187459847883e-11,4.275127145867252e-27
1e-12,0.34938811590170765,3.76,0.0,0.7929250812071562,0.999999999986262,5.682830212460215e-23,2.3531877940326804e-17,2.745108824282725e-18,2.386394127539627e-08,2.3863941279009267e-08,7.660079649375807e-20,3.5170894314825424e-18,3.4869924898797965e-18,1.120154617737057e-22,1.363539503237115e-25,1.373807569375769e-11,9.220264024163224e-20,6.243392902743576e-12,1.788558701153004e-15,1.6623984713581828e-15,7.493168468608365e-12,4.933429799266584e-20,2.276658561869339e-19,1.3230267727118011e-23,4.528998458630383e-18,1.9933999566249948e-29,4.310847410467737e-31,1.683835309723683e-18,2.0308835442242885e-26,1.457999483268717e-39,1.299092054881203e-19,1.1354234326884574e-28,4.9603366533204105e-34,7.013833385542653e-41,7.415892864084968e-41,2.034941155377022e-11,2.38507143084658e-18,2.0349390179298193e-11,7.429118353802394e-27
1.1032064757197753e-12,0.34938811590170765,3.76,0.0,0.7929250787407249,0.9999999999848441,7.075360742265482e-23,2.7843222825885033e-17,3.24815350798298e-18,2.632685451516393e-08,2.6326854519438863e-08,9.062053955615157e-20,4.163139780976989e-18,4.125850641007464e-18,1.394608587422232e-22,1.6980251039048425e-25,1.5155935416642462e-11,1.0909536914610007e-19,6.887686233336789e-12,2.1047636881645866e-15,1.9669615897681716e-15,8.266445958406618e-12,5.837318733713001e-20,2.6937720290001187e-19,1.6471878564850244e-23,4.996676533388674e-18,2.481807547594721e-29,5.367177871177346e-31,1.9923053719719968e-18,2.5284726678249455e-26,1.885334425069842e-39,1.5370942773393256e-19,1.4136150703997498e-28,6.414163906890037e-34,9.170064764818052e-41,9.870207718641012e-41,2.2449602381890787e-11,2.822047534939826e-18,2.2449577091338717e-11,9.315106032962603e-27
1.6548097172327867e-12,0.3493881167306523,3.76,0.0,0.792925065558495,0.9999999999772662,1.932806850067036e-22,5.764583722594628e-17,6.726287507604183e-18,3.9490281555837054e-08,3.949028156468756e-08,1.8742523256886422e-19,8.64153695467167e-18,8.54199301541267e-18,3.8090812536237184e-22,4.646013976128585e-25,2.2733914540026216e-11,2.258681754796183e-19,1.0330979032539099e-11,4.267276419653909e-15,4.0722120837735165e-15,1.2399112100486145e-11,1.2085698545827916e-19,5.577112659965133e-19,4.4989593836041385e-23,7.497771063660566e-18,6.7784681803155e-29,1.4661609622543057e-30,4.12440939663256e-18,6.90585936249871e-26,6.593255026924393e-39,3.1822472915530225e-19,3.86092518467067e-28,2.243018755612317e-33,3.7101934125059965e-40,4.320121169512755e-40,3.367440178033175e-11,5.842690647290466e-18,3.367434941947508e-11,2.7037852118630096e-26
