Time (s),Volume (m^3),H(5),O(6),OH(7),H2(8),Ar(9),He(10),HO2(11),H2O2(12),CO(13),CO2(14),HCO(15),C(T)(16),CH(17),CH2(T)(18),CH3(19),CH2O(20),HCCO(21),C2H(22),C2H2(23),H2CC(24),CH2(S)(25),CH3OH(26),CH3O(27),CH2CO(28),C2H3(29),C2H4(30),C2H6(31),C2H5(32),CH2OH(33),CH3CO(34),CH2CHO(35),CH3CHO(36),N2,Ne,C2H5F(1),O2(2),H2O(3),CH4(4),HF(38),C2H4F(62),CH2CHF(55),C2H4F(61),CH2CF(69)
2.111452880276594e-18,0.8664994641853846,5.558396048447827e-21,4.138861519916145e-21,5.9781234628698525e-31,1.730180132225793e-27,0.0,0.0,1.8770680121243248e-16,4.615278254018635e-30,5.8660785602782526e-49,2.659010990177979e-56,5.426550827789153e-38,1.4911715197317538e-66,2.86151049756581e-49,7.189284668925961e-45,1.5846445219576449e-44,7.853977209141978e-41,4.838194800212189e-69,3.182432108162916e-57,9.540293148953345e-39,1.7299776649548287e-27,3.997210835900615e-50,7.428556226905082e-70,1.0909116145289118e-57,1.7512713115726202e-51,2.3785274224243063e-29,2.1347863507918653e-13,1.3618606943028232e-40,7.502414632384474e-29,4.9633452576290235e-57,1.3169248294578964e-55,6.294597900124062e-41,1.5569031133279256e-42,3.76,0.0,0.5810483611757341,0.9999999999999999,1.5947022103894586e-41,2.8615111117033496e-49,2.1347863507918837e-13,7.544965159560034e-17,2.2805489738561766e-25,1.1226270755683228e-16,9.383689140806116e-44
4.2247402113614214e-18,0.866499464185419,1.112207766602017e-20,8.28131892242466e-21,2.3928097426599092e-30,6.92522953696044e-27,0.0,0.0,3.755766839203319e-16,1.8473140778320247e-29,9.393368637278141e-48,4.258911356510955e-55,4.3445402376239155e-37,2.3885544682172905e-65,2.2916169502921375e-48,5.757097819150551e-44,1.268984888294244e-43,6.287957451746995e-40,1.549649229975612e-67,5.096037777523258e-56,7.638035425116925e-38,6.924419111586125e-27,3.2011354847373166e-49,2.379204060507023e-68,1.746926720961176e-56,2.804315880291004e-50,9.52030831069811e-29,4.271427424737113e-13,1.0903166251391867e-39,3.0029210389087833e-28,7.947819352498479e-56,2.1087958061861038e-54,5.039505776461077e-40,1.246473813213524e-41,3.76,0.0,0.5810483611755203,0.9999999999999997,1.2767326175393071e-40,2.2916179338909497e-48,4.271427424737186e-13,1.5096485435440171e-16,9.12813916768509e-25,2.2462294981821455e-16,7.512656989945051e-43
8.451314873531075e-18,0.8664994641854886,2.225081063739516e-20,1.6566233725730882e-20,9.574375064552537e-30,2.7709938905141163e-26,0.0,0.0,7.513164493363135e-16,7.391662549338757e-29,1.5035507222484436e-46,6.817855569936021e-54,3.476952584482016e-36,3.824045055703379e-64,1.8343628596624107e-47,4.607947592733702e-43,1.0156960495834377e-42,5.032277052432847e-39,4.96116191150233e-66,8.156979221473054e-55,6.112749693854262e-37,2.770669591877715e-26,2.5624058223176894e-48,7.616760636153818e-67,2.7962579105367457e-55,4.488731744114703e-49,3.809363401579115e-28,8.544709572624355e-13,8.725846697401696e-39,1.201559564362417e-27,1.2721687097525517e-54,3.3754468334533255e-53,4.0331362578391395e-39,9.975597431128436e-41,3.76,0.0,0.5810483611750926,0.9999999999999993,1.021776043032212e-39,1.8343644342041524e-47,8.544709572624647e-13,3.0199525918686455e-16,3.652444654347449e-24,4.493434336561817e-16,6.012408829906193e-42
1.6904464197870385e-17,0.8664994641856272,4.45137555250235e-20,3.3136063325500214e-20,3.830388926110779e-29,1.1085780107425085e-25,0.0,0.0,1.5027959801690077e-15,2.957146335890791e-28,2.4061706696444e-45,1.0911448774215602e-52,2.7820903379625754e-35,6.121039511454793e-63,1.4680867780242381e-46,3.68726635999123e-42,8.127604386133218e-42,4.026586242345732e-38,1.5879374190042318e-64,1.3053822434325717e-53,4.891128493671839e-36,1.1084482518287987e-25,2.0507638774550577e-47,2.437892856360816e-65,4.4749531815944886e-54,7.183432221508955e-48,1.5239934112523885e-27,1.7091273868385812e-12,6.982003121488869e-38,4.807020667810579e-27,2.0358841294928758e-53,5.401814027180861e-52,3.227121790983133e-38,7.982001046950382e-40,3.76,0.0,0.5810483611742372,0.9999999999999986,8.175791567237963e-39,1.4680892979187856e-46,1.7091273868386985e-12,6.040560661112305e-16,1.461215688319536e-23,8.98784398592927e-16,4.810840540033331e-41
3.3810762846549e-17,0.8664994641859044,8.906156107945092e-20,6.62757224976672e-20,1.5322926335474929e-28,4.434673087266839e-25,0.0,0.0,3.005755041837319e-15,1.1829548044402924e-27,3.8502647308018427e-44,1.746062587356611e-51,2.2258836006927407e-34,9.797895342707548e-62,1.1749779243379253e-45,2.950176976593149e-41,6.502902707173392e-41,3.2215748676880977e-37,5.081984795713138e-63,2.088824069084445e-52,3.913274327885313e-35,4.434153862620233e-25,1.6413310056161175e-46,7.802104930571429e-64,7.160678119293925e-53,1.149466083873649e-46,6.0964697802182056e-27,3.4184402459856645e-12,5.586132862115251e-37,1.922964761396882e-26,3.2577460034412832e-52,8.643781779343202e-51,2.581942571431259e-37,6.386210152496796e-39,3.76,0.0,0.5810483611725263,0.999999999999997,6.541303561753886e-38,1.1749819566736392e-45,3.418440245986133e-12,1.208177668997724e-15,5.845338402315033e-23,1.7976663175096617e-15,3.849037838693616e-40
6.762336014390624e-17,0.8664994641864591,1.7824483530224705e-19,1.32555040732521e-19,6.129518862595731e-28,1.773941533954165e-24,0.0,0.0,6.0116731651856335e-15,4.7320117647628696e-27,6.160736914131045e-43,2.7938859380755526e-50,1.7807914165531892e-33,1.5686987914793183e-60,9.406175640985839e-45,2.3602879941461333e-40,5.202657390732015e-40,2.577382251773074e-36,1.6263287483982942e-61,3.3422885006842317e-51,3.1307680799431387e-34,1.7737337182405057e-24,1.3139674757514483e-45,2.4968095858046697e-62,1.1457689095204877e-51,1.8392392808053385e-45,2.4386871415708455e-26,6.837065964258998e-12,4.469118451540353e-36,7.692172053726561e-26,5.2126587385144654e-51,1.3830754203701747e-49,2.0656521155571177e-36,5.109211875182298e-38,3.76,0.0,0.5810483611691047,0.999999999999994,5.233370109743258e-37,9.406240162462191e-45,6.837065964260872e-12,2.4164208309217613e-15,2.3382304637208966e-22,3.5954301115161095e-15,3.079376404927324e-39
1.352485547386207e-16,0.8664994641875682,3.5696203618167084e-19,2.6511367676435983e-19,2.4519365662596596e-27,7.09591143742564e-24,0.0,0.0,1.2023509411929031e-14,1.8928432159735219e-26,9.857429739342933e-42,4.470369852078383e-49,1.4246669475130206e-32,2.5129767677762492e-59,7.534390541825513e-44,1.888290320073303e-39,4.162272048025238e-39,2.061954748275347e-35,5.204401770216781e-60,5.347797584275716e-50,2.504673907024854e-33,7.095079218409802e-24,1.052518577649251e-44,7.990010549973056e-61,1.833279110915977e-50,2.9428576826103375e-44,9.754947020053277e-26,1.3674317400722323e-11,3.5753796355137634e-35,3.0769314309924127e-25,8.340466092991277e-50,2.2129768930386098e-48,1.6525609132049228e-35,4.087467026680711e-37,3.76,0.0,0.5810483611622614,0.999999999999988,4.18692159279767e-36,7.534493779692971e-44,1.3674317400729823e-11,4.832906979374045e-15,9.353111820660292e-22,7.190957524220923e-15,2.463559520689482e-38
2.704989439280496e-16,0.8664994641897866,7.15799047500376e-19,5.302309470769779e-19,9.80847914553482e-27,2.8383941963042434e-23,0.0,0.0,2.4047181905602905e-14,7.571449884576156e-26,1.5772088105202728e-40,7.152725509757976e-48,1.1397470822477965e-31,4.03034665085052e-58,6.042347042358126e-43,1.5106583988776882e-38,3.3298953597741685e-38,1.6495833816258056e-34,1.6654325231545803e-58,8.556584880919551e-49,2.003762894251681e-32,2.8380605539050104e-23,8.441263450832551e-44,2.556839999968085e-59,2.933287345211807e-49,4.708632139619837e-43,3.902018492144313e-25,2.7348820273315624e-11,2.860337670218487e-34,1.2307850998164074e-24,1.3344915435253608e-48,3.540807846407991e-47,1.3220644132321752e-34,3.270012668720902e-36,3.76,0.0,0.5810483611485749,0.999999999999976,3.3497788338953454e-35,6.042512226458314e-43,2.7348820273345622e-11,9.665878574695556e-15,3.741282527197717e-21,1.438201164839829e-14,1.970870882118428e-37
5.409997223069075e-16,0.8664994641942235,1.4390835069734677e-18,1.0604654807013008e-18,3.923918104050749e-26,1.1353640514182384e-22,0.0,0.0,4.8094526893698935e-14,3.0285953579232353e-25,2.5235501316156108e-39,1.14445057765822e-46,9.118030728870565e-31,6.479059645981487e-57,4.857498826610426e-42,1.2085406524070115e-37,2.6639782027455184e-37,1.3196745449573366e-33,5.329422355157271e-57,1.3690622672096428e-47,1.6030198086554095e-31,1.1352299926515656e-22,6.786634992565307e-43,8.181955836003173e-58,4.6932977510648817e-48,7.533859237249663e-42,1.5608153281302265e-24,5.469782601716881e-11,2.2882837396150506e-33,4.9231654974770674e-24,2.135200042977222e-47,5.665327898130961e-46,1.0576577943430144e-33,2.616025812016051e-35,3.76,0.0,0.5810483611212018,0.9999999999999519,2.680161862434141e-34,4.8577631262460774e-42,5.469782601728882e-11,1.9331818959007205e-14,1.496520415051321e-20,2.876411709182453e-14,1.5767058624728293e-36
1.0820012790646232e-15,0.8664994642030976,2.9080941620323937e-18,2.120934519972887e-18,1.5699764263818608e-25,4.541472540322408e-22,0.0,0.0,9.618921687288415e-14,1.211441223904946e-24,4.0376930156707683e-38,1.8311446693332405e-45,7.294446169247933e-30,1.046398082683175e-55,3.9237472823780753e-41,9.668436570398754e-37,2.131256650179748e-36,1.0557427820825274e-32,1.705421246659588e-55,2.190506533399731e-46,1.2824196214192142e-30,4.540931494856255e-22,5.4830429553359515e-42,2.6182426331906817e-56,7.509324030498176e-47,1.205421282453178e-40,6.243277130401813e-24,1.0939583749954156e-10,1.830632462888844e-32,1.9692712532531147e-23,3.4163309220783988e-46,9.064551278818915e-45,8.461287260226339e-33,2.092827013224435e-34,3.76,0.0,0.5810483610664557,0.9999999999999039,2.1446524820887958e-33,3.924170173105109e-41,1.0939583750002158e-10,3.866368850231182e-14,5.98609522339734e-20,5.752831675896741e-14,1.2613681134845218e-35
2.1640043925800545e-15,0.8664994642208452,5.935882326761449e-18,4.241872486820583e-18,6.283155237602613e-25,1.8165951541232786e-21,0.0,0.0,1.9237859684322721e-13,4.845771056379882e-24,6.460318996231512e-37,2.9298893412270866e-44,5.83556550223173e-29,1.705421783720969e-54,3.199376659034773e-40,7.734882785480621e-36,1.705113870573529e-35,8.445955005044263e-32,5.457357533450139e-54,3.504815839989672e-45,1.0259371704247914e-29,1.816374888431208e-21,4.4723847431766594e-41,8.378441087206613e-55,1.2015011686994977e-45,1.9286770295086216e-39,2.4973139799809206e-23,2.1879186044295252e-10,1.4645082064774459e-31,7.877095398418502e-23,5.466138140724647e-45,1.450329813270951e-43,6.769039530981725e-32,1.6742643044683077e-33,3.76,0.0,0.5810483609569635,0.9999999999998077,1.7165511403927574e-32,3.200053316445088e-40,2.1879186044487264e-10,7.73273826877009e-14,2.394439805852672e-19,1.1505667121445002e-13,1.009095477445657e-34
4.328010619610917e-15,0.8664994642563407,1.2350525355947697e-17,8.483747975436184e-18,2.515856928068519e-24,7.266415860936226e-21,0.0,0.0,3.8475735683180343e-13,1.9383096541302046e-23,1.0336518297527962e-35,4.687993640175237e-43,4.668455720294985e-28,2.8284578412768813e-53,2.6560999859869117e-39,6.188102022653684e-35,1.3642607811923301e-34,6.756769365627918e-31,1.7463558068019185e-52,5.60770921114635e-44,8.207502672384783e-29,7.265504019793918e-21,3.7154180646964515e-40,2.6811357086690834e-53,1.9224269722369685e-44,3.085885418028706e-38,9.98926188949183e-23,4.375839062444364e-10,1.1716075359433849e-30,3.1508404579451405e-22,8.745827902223305e-44,2.3205273155601007e-42,5.415235130854878e-31,1.3394127586348257e-32,3.76,0.0,0.5810483607379792,0.9999999999996153,1.3745645050912623e-31,2.6571827378781507e-39,4.375839062521169e-10,1.5465459145403465e-13,9.577754687232544e-19,2.301132006104838e-13,8.072761642282543e-34
8.656023073672642e-15,0.8664994643273317,2.6616072463523343e-17,1.6967497185964916e-17,1.0084176736454838e-23,2.906591767956219e-20,0.0,0.0,7.695148770005127e-13,7.753241075082356e-23,1.653843485208736e-34,7.501324456223208e-42,3.734765730477789e-27,4.8448302665920825e-52,2.2794343858854809e-38,4.950787750282907e-34,1.0916785227616891e-33,5.405418056716679e-30,5.58833990238108e-51,8.972336416970658e-43,6.566003326824201e-28,2.90620240920293e-20,3.192346389825972e-39,8.579844541337465e-52,3.0759596960017808e-43,4.937417729486035e-37,3.99570572085069e-22,8.751679975060515e-10,9.372865391291643e-30,1.2603368200886988e-21,1.3993329968374497e-42,3.7128380440459e-41,4.332188894226669e-30,1.0715311129380255e-31,3.76,0.0,0.5810483603000103,0.9999999999992305,1.1017681251964033e-30,2.2811671065034087e-38,8.751679975367735e-10,3.0930829057241415e-13,3.831094592347296e-18,4.602255413450748e-13,6.458198644774e-33
1.7312047981796096e-14,0.8664994644693138,6.089216487819455e-17,3.393498864914543e-17,4.050267898290835e-23,1.1626564915432558e-19,0.0,0.0,1.5390299181041334e-12,3.1012969180687554e-22,2.6461497834394474e-33,1.2003820700140743e-40,2.9878127690189264e-26,8.77346840271372e-51,2.070831666334604e-37,3.961117163549823e-33,8.737740175648228e-33,4.324336142384781e-29,1.7882684325368617e-49,1.4355735084008197e-41,5.252801641548551e-27,1.1624810503953113e-19,2.905893264008243e-38,2.7456830823495217e-50,4.921777414215807e-42,7.899867052455275e-36,1.5982822982640381e-21,1.7503361786638718e-09,7.498296307618272e-29,5.041349971714475e-21,2.2389331643393788e-41,5.940519214501036e-40,3.465750450584279e-29,8.57225860771305e-31,3.76,0.0,0.5810483594240725,0.999999999998461,8.848004257220795e-30,2.0736050335944883e-37,1.7503361787867594e-09,6.186128151799389e-13,1.5324312802211126e-17,9.204473506023457e-13,5.166538971513016e-32
3.4624097798043e-14,0.8664994647532779,1.5242397453339806e-16,6.786994461544685e-17,1.633384378954846e-22,4.650783130291662e-19,0.0,0.0,3.0780600033759764e-12,1.2405188618933547e-21,4.2338390544580273e-32,1.921155086862489e-39,2.390249845773779e-25,1.7307065855171613e-49,2.0523140503041538e-36,3.169671756383338e-32,6.997088844732929e-32,3.4594706668432693e-28,5.722454921476821e-48,2.296915910510489e-40,4.202238512539876e-26,4.649923786666044e-19,2.8879355918801927e-37,8.78703318230855e-49,7.875615527208557e-41,1.2639779309838472e-34,6.393127748222474e-21,3.500672535517872e-09,5.998641768774801e-28,2.0165416609538357e-20,3.582293177398127e-40,9.504758611784394e-39,2.772598525574789e-28,6.857820495972284e-30,3.76,0.0,0.5810483576721971,0.9999999999969219,7.132575628157446e-29,2.0567546819978307e-36,3.5006725360094237e-09,1.2372103701013915e-12,6.129671206413656e-17,1.840879480413202e-12,4.133198117934702e-31
6.92481974305368e-14,0.8664994653212058,4.274031494674601e-16,1.3573975567915486e-16,6.639751943119535e-22,1.8604387584451844e-18,0.0,0.0,6.156120186176429e-12,4.962075613373538e-21,6.774139560764286e-31,3.0755877166523787e-38,1.9121990195692825e-24,3.815345221555685e-48,2.274871505952694e-35,2.536981874797258e-31,5.6087050101669234e-31,2.767578953290099e-27,1.8311826876970316e-46,3.675059461160566e-39,3.3617858614709383e-25,1.8599689610088297e-18,3.211488312654376e-36,2.812392464005719e-47,1.2603452270976306e-39,2.0223618365321896e-33,2.557249638601713e-20,7.001345227379315e-09,4.798920303548782e-27,8.066179059767761e-20,5.7316685960638254e-39,1.520738069692689e-37,2.2180755761735745e-27,5.486277405616346e-29,3.76,0.0,0.5810483541684462,0.9999999999938438,5.792733251797571e-28,2.2819868965892727e-35,7.0013452293455195e-09,2.4743595045565495e-12,2.451825059858051e-16,3.681697786371815e-12,3.306505143801925e-30
1.0387229706303062e-13,0.866499465889134,7.942949364433441e-16,2.036094728450706e-16,1.4265471994344132e-21,3.953616632855119e-18,0.0,0.0,9.234180381232002e-12,1.054441079866921e-20,2.493332686042304e-30,1.160403657543943e-37,5.4676926410247704e-24,1.633862677837133e-47,7.821725742458685e-35,7.503224044652107e-31,1.6636342454631235e-30,7.913574579388719e-27,8.402598292604085e-46,1.352664852211342e-38,9.612598178486187e-25,3.952433166599177e-18,1.1053393346868822e-35,1.2868935357792458e-46,4.652087693124492e-39,7.44364105579023e-33,5.434153258194589e-20,1.0502017897394199e-08,1.372192384244747e-26,1.7140648456725913e-19,2.1096393378007344e-38,5.597353762459236e-37,6.342318077580751e-27,1.5696208150783313e-28,3.76,0.0,0.5810483506646954,0.9999999999907657,1.6705960825759483e-27,7.848420142118948e-35,1.0502017901572384e-08,3.711462665410531e-12,5.210064394294445e-16,5.522470139818944e-12,9.454450758711945e-30
1.7312049632801824e-13,0.8664994670249903,1.8957054114749244e-15,3.3934858735068573e-16,4.055188925075512e-21,1.0931900546081646e-17,0.0,0.0,1.5390300820350476e-11,2.915219473977628e-20,1.9183894075546307e-29,9.143228594817246e-37,2.5127462575868572e-23,1.8835962404775455e-46,5.3720092175017045e-34,3.5109540641271945e-30,7.81079298650699e-30,3.636796029025423e-26,1.1215840181911458e-44,1.040748636931072e-37,4.417581352829219e-24,1.0927308776056552e-17,7.604387916489866e-35,1.680760657997645e-45,3.5898877003719376e-38,5.72719370534797e-32,1.5023819319314063e-19,1.750336315003773e-08,6.306101581636698e-26,4.738897873016026e-19,1.6231772511010135e-37,4.306587522309566e-36,2.914689409055812e-26,7.215569182851266e-28,3.76,0.0,0.5810483436571938,0.9999999999846095,7.875116716886865e-27,5.392955738078063e-34,1.7503363161589188e-08,6.185485107005246e-12,1.440384018920201e-15,9.203831045879725e-12,4.3447930133867887e-29
