Time (s),Volume (m^3),N2,Ne,C2H5F(1),O2(2),H2O(3),CH4(4),OH(5),C2H4(30),HF(38),C2H4(126),H2(8),H2CC(24),HCO(15),CO(13),HO2(11),H2O2(12),C2H4F(62),H(6),CH2CHF(55),C2H4F(61),C2H3(29),CH2O(20),C2H2(23),O(7),CH2CF(69),CH2CFO(78),S(184),CH2CO(28),S(515),S(253),C2H2F(70),S(1529),S(767),S(1557),CH2F(46),CHFO(47),CH3(19),CH2F2(41),C2H2O(452),C2H5O(160),CH3F(39),CHF2(81),C2H(22),CH3O(27),C2H3F2(63),CH2CF2(56)
1.7723063055331737e-18,0.17940429000985902,3.76,0.0,0.6621380965019243,0.9999999999999998,2.713526605270891e-38,3.4837356466933286e-27,2.800300995692879e-28,2.2079959532182754e-13,2.2079959532182908e-13,4.2402709014032323e-29,1.4654724852224567e-27,1.4651182361758043e-27,1.8658965580325381e-37,1.7568541203621763e-40,2.66729243438781e-16,1.5482148707294403e-29,1.1252502590170372e-16,3.1088460863264318e-21,2.7222080785727305e-25,1.5420732584248046e-16,3.7909934734836506e-29,3.4231567754902124e-29,2.772143743565101e-38,1.171596114176644e-21,1.1727321999389173e-43,1.424755358527579e-45,1.2312669286428043e-28,3.428864984190695e-41,3.2584704597191086e-59,1.1479113953931863e-29,5.16652037356069e-43,7.918548940562338e-54,1.9791531397128562e-59,7.460713299799924e-66,4.0213500178104886e-16,2.3368649394138396e-28,4.021350017781719e-16,1.125920777155189e-41,8.81804703743817e-55,2.0370458997249923e-44,4.149514326266397e-28,6.282320178129973e-57,1.5542596103180205e-57,7.57575334770846e-30,2.062023164769489e-58,1.4085639784163059e-67
3.54615240803032e-18,0.17940429000986635,3.76,0.0,0.6621380965017026,0.9999999999999996,2.1724712391026346e-37,1.3944021463774382e-26,1.1208501858167616e-27,4.417910234804968e-13,4.4179102348050295e-13,1.697213386164418e-28,5.865709178549367e-27,5.864291152545825e-27,1.4938517912767794e-36,1.4065515954523128e-39,5.336902238412881e-16,6.196894247315192e-29,2.251478143739341e-16,6.220936420492913e-21,1.0895926583654913e-24,3.0854862823963283e-16,1.5173853514596448e-28,1.37015481077114e-28,2.2194005767850607e-37,2.344210137180628e-21,9.388988307043685e-43,1.1406706031339621e-44,4.928276476623935e-28,2.7451768814743574e-40,5.217798214797636e-58,4.5946371203619377e-29,4.136357761029363e-42,1.2679995708869662e-52,3.1703302376994475e-58,2.3894371979260186e-64,8.046193823632096e-16,9.353549803425264e-28,8.046193823516946e-16,9.016497829153712e-41,1.412036423455834e-53,1.631288829400689e-43,1.660887125146158e-27,1.0062630333433863e-55,2.4888404282880597e-56,3.0322756357422713e-29,3.303076575782309e-57,4.5128280642012423e-66
7.093844613024612e-18,0.179404290009881,3.76,0.0,0.6621380965012593,0.999999999999999,1.738637272917318e-36,5.579424878326244e-26,4.484860782573477e-27,8.837738797975299e-13,8.837738797975548e-13,6.791064100330072e-28,2.3470478003637806e-26,2.3464803199343272e-26,1.1955354448210183e-35,1.1256688466179264e-38,1.0676121846510217e-15,2.479564881781824e-28,4.503933905172857e-16,1.2446747552909483e-20,4.35978988591671e-24,6.172312322219039e-16,6.071517897023591e-28,5.482403953759563e-28,1.776194982346334e-36,4.689438227376615e-21,7.514044140771968e-42,9.128831620867565e-44,1.9719525186496583e-27,2.1969758163444565e-39,8.351875230278811e-57,1.8384533236285008e-28,3.3103433269647566e-41,2.0296251151344592e-51,5.075478517482684e-57,7.649415031521169e-63,1.6095881435230955e-15,3.742638277635203e-27,1.60958814347702e-15,7.216852684316238e-40,2.2601778305361474e-52,1.3056922215676413e-42,6.645711906225666e-27,1.610894793416393e-54,3.983765535029292e-55,1.213305225175088e-28,5.28799616159801e-56,1.4449733283751672e-64
1.4189229023013197e-17,0.1794042900099103,3.76,0.0,0.6621380965003727,0.9999999999999979,1.3911740153719966e-35,2.2321332615884173e-25,1.7942364010974976e-26,1.7677395924303756e-12,1.767739592430475e-12,2.7168677139365914e-27,9.38972018684375e-26,9.387449212920992e-26,9.566099990660988e-35,9.007062505342084e-38,2.135456106289367e-15,9.919874122816984e-28,9.00884539599551e-16,2.490489167403184e-20,1.744199840668329e-23,1.23459643693831e-15,2.4290025165015232e-27,2.193318575319325e-27,1.4212258516362436e-35,9.379894584521004e-21,6.012376942504462e-41,7.304452389362787e-43,7.889094055045305e-27,1.7579144439048225e-38,1.336571954290445e-55,7.355010393691708e-28,2.6487776097831306e-40,3.2480609824690443e-50,8.123126617469361e-56,2.4483274896162562e-61,3.219525665825124e-15,1.4972990170090688e-26,3.219525665640792e-15,5.774944258674909e-39,3.6170202792631403e-51,1.0448182910398291e-41,2.6587175052419566e-26,2.578131014748451e-53,6.375321859207533e-54,4.854010947102039e-28,8.463253631361786e-55,4.625304524069366e-63
2.8379997842990366e-17,0.1794042900099689,3.76,0.0,0.6621380964985994,0.9999999999999958,1.113044947106943e-34,8.929259718188086e-25,7.177530131005812e-26,3.5356710176911834e-12,3.5356710176915796e-12,1.086835426381343e-26,3.7561943014360254e-25,3.7552852917436686e-25,7.6536066378307154e-34,7.206336507819887e-37,4.271143949641568e-15,3.968272591264095e-27,1.8018668249463326e-15,4.984726734107173e-20,6.977367138707326e-23,2.46932683337858e-15,9.716800862843913e-27,8.773988346412879e-27,1.1370886387122564e-34,1.8760808005822204e-20,4.810358235379202e-40,5.844116932616423e-42,3.155894389637677e-26,1.406465077785075e-37,2.1387326966770496e-54,2.9422435765207423e-27,2.1192232781848998e-39,5.197426251304397e-49,1.2998892029633887e-54,7.835471450986635e-60,6.439400710358207e-15,5.989683514575061e-26,6.43940070962082e-15,4.6205403000972174e-38,5.787820879107553e-50,8.359604288188078e-41,1.0635735567993086e-25,4.125569160281561e-52,1.0201552706636048e-52,1.9417623930648243e-27,1.354317412628542e-53,1.4803198847317992e-61
5.676153548294472e-17,0.17940429001008612,3.76,0.0,0.6621380964950528,0.9999999999999916,8.904783253958192e-34,3.571849226473137e-24,2.871129208991677e-25,7.071533868193267e-12,7.071533868194851e-12,4.347517751415059e-26,1.5025392943727824e-24,1.5021752387290704e-24,6.123175975656199e-33,5.765346602291168e-36,8.542519636648013e-15,1.5873736272342702e-26,3.603831344368901e-15,9.983636837143887e-20,2.791060385128822e-22,4.93878757428895e-15,3.8868785302493345e-26,3.509738158001988e-26,9.097140955450459e-34,3.7522637676496284e-20,3.848469239625219e-39,4.675515766057492e-41,1.2624090738004626e-25,1.1252254614495102e-36,3.4221464093514744e-53,1.1769453018479561e-26,1.6954590863188199e-38,8.316304891465715e-48,2.0799740014814033e-53,2.5074825582570915e-58,1.2879150799140477e-14,2.3959708985421402e-25,1.287915079619081e-14,3.696666175237882e-37,9.260983409227148e-49,6.688106281188013e-40,4.25446734267319e-25,6.601358256107214e-51,1.632331456801206e-51,7.767365561484101e-27,2.167065394560383e-52,4.7373796783786405e-60
1.1352461076285342e-16,0.17940429001032052,3.76,0.0,0.6621380964879597,0.999999999999983,7.123997222984037e-33,1.4287687586712674e-23,1.148475313015734e-24,1.4143259569119298e-11,1.4143259569125637e-11,1.739041796756282e-25,6.0102829375191066e-24,6.00882318947759e-24,4.8986570365804546e-32,4.6123926911694857e-35,1.708527101186909e-14,6.349623692705406e-26,7.20776017813007e-15,2.0023196919417563e-19,1.1164468367014318e-21,9.87770884822903e-15,1.5547830657755703e-25,1.403923831856545e-25,7.277885496193542e-33,7.504630833030712e-20,3.0788484046031755e-38,3.740501822657954e-40,5.049738633661809e-25,9.002017091052866e-36,5.475573624547692e-52,4.707876837381961e-26,1.3563994287493682e-37,1.330642589091124e-46,3.3280797776125956e-52,8.024154440844382e-57,2.5758650975569444e-14,9.584078582528964e-25,2.575865096377052e-14,2.9574264588951464e-36,1.4817946996549848e-47,5.350653595734245e-39,1.701821560706532e-24,1.0562531105223001e-49,2.6117967519871143e-50,3.1070093831827723e-26,3.467430843688892e-51,1.5160185418486493e-58
2.2705076132267083e-16,0.17940429001078934,3.76,0.0,0.6621380964737734,0.9999999999999659,5.699267858354762e-32,5.715133169166168e-23,4.593950092798728e-24,2.8286710970658835e-11,2.828671097068419e-11,6.956232471100466e-25,2.4041404154342145e-23,2.4035537135783537e-23,3.918972111177815e-31,3.6899674340531706e-34,3.417077376714395e-14,2.5398753140748425e-25,1.4415617025316642e-14,4.0269276570248255e-19,4.465832523040805e-21,1.9755550564586603e-14,6.219195699739754e-25,5.615752499325343e-25,5.822377472881494e-32,1.5009369488918706e-19,2.4631078499105627e-37,2.9924376536538746e-39,2.0199156819318356e-24,7.20169870875054e-35,8.761029583119775e-51,1.8831697697658794e-25,1.0851323643711311e-36,2.129055105739215e-45,5.325025862869388e-51,2.56776276606979e-55,5.151765132388507e-14,3.833670430602737e-24,5.15176512766889e-14,2.3659784820243706e-35,2.3709006121961366e-46,4.280589386512492e-38,6.80735549012249e-24,1.6900335459335434e-48,4.178927941033276e-49,1.242816352798548e-25,5.547990897081094e-50,4.851351085681107e-57
4.541030624423055e-16,0.17940429001172697,3.76,0.0,0.6621380964454008,0.9999999999999317,4.559445248670913e-31,2.2860648928541066e-22,1.8375910704934e-23,5.657361377248779e-11,5.6573613772589196e-11,2.782502758178668e-24,9.616632848430549e-23,9.614263655365061e-23,3.135196248024257e-30,2.952006646683456e-33,6.834177929702454e-14,1.0159552930587019e-24,2.8831327438347604e-14,8.142927366890198e-19,1.7863418929285298e-20,3.951123067121201e-14,2.487691070257544e-24,2.246312461424158e-24,4.6579295804936235e-31,3.0018864902324063e-19,1.970497803580399e-36,2.39396541903453e-38,8.079701269583027e-24,5.761392461567088e-34,1.4017737677367098e-49,7.532716418016831e-25,8.68110951795126e-36,3.4065094762467793e-44,8.520123529411674e-50,8.216892307739708e-54,1.0303565200234707e-13,1.5334759714515932e-23,1.0303565181356144e-13,1.8927975626651357e-34,3.793461722497695e-45,3.4244966423131023e-37,2.7229560450942846e-23,2.7040763272213377e-47,6.686327216722976e-48,4.971290351918273e-25,8.876868514542891e-49,1.552447333867877e-55
9.08207664681575e-16,0.17940429001360228,3.76,0.0,0.6621380963886556,0.9999999999998633,3.6475732714773636e-30,9.144282807760823e-22,7.350396470240935e-23,1.1314741937114521e-10,1.1314741937155085e-10,1.1130004275273339e-23,3.846680741225477e-22,3.8457151625856224e-22,2.508164367984929e-29,2.3616366161487486e-32,1.3668379043410916e-13,4.063831507173185e-24,5.766273513904785e-14,1.6642061786905129e-18,7.145384126577543e-20,7.902257758010865e-14,9.950790685627589e-24,8.985272987242203e-24,3.726354659920267e-30,6.003792814466085e-19,1.5764026492737595e-35,1.9151797621797948e-37,3.23188668401474e-23,4.609126535086577e-33,2.2428455492699295e-48,3.0130934503400232e-24,6.944906763066524e-35,5.450431364004309e-43,1.3632274801743892e-48,2.6294125579991992e-52,2.0607165328659407e-13,6.133919481522526e-23,2.0607165253144971e-13,1.5142437225222282e-33,6.069547249992635e-44,2.7396050134202994e-36,1.089185187472438e-22,4.3265396010032105e-46,1.0698157557209543e-46,1.988520922171964e-24,1.420306197702499e-47,4.9678574052700644e-54
1.8164168691601142e-15,0.17940429001735284,3.76,0.0,0.6621380962751653,0.9999999999997267,2.9180729465361016e-29,3.65771775911228e-21,2.9401731229310525e-22,2.2629503054845804e-10,2.2629503055008066e-10,4.4519793212588354e-23,1.5386885084483648e-21,1.5382879572903521e-21,2.0065343556717295e-28,1.889350962845196e-31,2.7336781301757184e-13,1.625534669905529e-23,1.1532549803905767e-13,3.470886967997057e-18,2.858155991527437e-19,1.5804521818052352e-13,3.9803222142226147e-23,3.594113997696361e-23,2.9810880535343867e-29,1.2007634436350722e-18,1.2611235570812195e-34,1.5321488741093053e-36,1.2927546830797035e-22,3.6873049231497705e-32,3.588559834154283e-47,1.2052382890252967e-23,5.555931321862601e-34,8.720700444177041e-42,2.1811738009038716e-47,8.414123650323569e-51,4.1214365556438015e-13,2.4535709095640696e-22,4.121436525437989e-13,1.2113968654570873e-32,9.711256473865645e-43,2.191683324648207e-35,4.356746285721383e-22,6.92247527763153e-45,1.7117079304680973e-45,7.954091597497827e-24,2.27249758945075e-46,1.589719773001145e-52
3.632835278117193e-15,0.17940429002485403,3.76,0.0,0.6621380960481845,0.9999999999994533,2.3344760894860067e-28,1.4630880218341373e-20,1.1760786338729532e-21,4.5259025282307583e-10,4.5259025282956636e-10,1.7807704211856156e-22,6.154871990253039e-21,6.153155231003907e-21,1.6052284905760544e-27,1.5115440788796462e-30,5.467358594216704e-13,6.502142814067147e-23,2.3065081383396313e-13,7.511663409344832e-18,1.1432620887277489e-18,3.1609028651214575e-13,1.5921306009086372e-22,1.4376466992270696e-22,2.3848720568762983e-28,2.401543363144382e-18,1.0088989008907719e-33,1.2257244747604639e-35,5.171008945185521e-22,2.9498432865390204e-31,5.741704302394877e-46,4.8209512319762476e-23,4.4447446251284774e-33,1.3953120280577072e-40,3.489897666311115e-46,2.692515151897718e-49,8.242876589571206e-13,9.814289854636718e-22,8.242876468747879e-13,9.691176369090522e-32,1.553791210988394e-41,1.7533403598580992e-34,1.7426996190203114e-21,1.1075963365964255e-43,2.7387348673445816e-44,3.181636897554962e-23,3.6360083129988957e-45,5.0871199406456795e-51
7.265672096031348e-15,0.17940429003985633,3.76,0.0,0.6621380955942231,0.9999999999989065,1.86760716526579e-27,5.85235385161246e-20,4.70438512662339e-21,9.051806970522801e-10,9.05180697078242e-10,7.122904439261468e-22,2.4620408131994577e-20,2.461262466632854e-20,1.2841829733151342e-26,1.2093352115275453e-29,1.0934719571785513e-12,2.6008579528122593e-22,4.613006054069071e-13,1.730286967516499e-17,4.57304153066295e-18,6.321795717010094e-13,6.368530051672651e-22,5.7505901139091675e-22,1.9078981052105615e-27,4.803149628816073e-18,8.071183110951371e-33,9.80587089549296e-35,2.0683937758325485e-21,2.3598709604284323e-30,9.186743349001889e-45,1.9283771144533323e-22,3.555791052115998e-32,2.2324964463770167e-39,5.583908447410496e-45,8.616009610747831e-48,1.6485756610912746e-12,3.9257171711046074e-21,1.64857561276193e-12,7.752931906542936e-31,2.4860315351235047e-40,1.4026601274255031e-33,6.970800666063903e-21,1.7721522567555067e-42,4.381977535925399e-43,1.2726537521693274e-22,5.817656252968656e-44,1.6278898450735231e-49
1.453134573185966e-14,0.1794042900698609,3.76,0.0,0.6621380946863001,0.9999999999978131,1.49412697076627e-26,2.340941835817773e-19,1.8818096260432196e-20,1.8103615842305635e-09,1.8103615843344108e-09,2.849018630797949e-21,9.848894689815664e-20,9.845048165896137e-20,1.0273460964955452e-25,9.676275484701532e-29,2.1869441724869744e-12,1.0403433467989101e-21,9.22596828514041e-13,4.3723847197146224e-17,1.829210280664122e-17,1.2643547362008047e-12,2.547416924036496e-21,2.3002376023239313e-21,1.5263183705857517e-26,9.606548235756619e-18,6.456929943815447e-32,7.84481250785467e-34,8.273492741141643e-21,1.887889848045622e-29,1.469883328445755e-43,7.7134777532295655e-22,2.8446238225410424e-31,3.5719832292032737e-38,8.934448827416693e-44,2.7570964968454406e-46,3.297151646754276e-12,1.5702871030706502e-20,3.297151453436872e-12,6.202326222782176e-30,3.9775380016318685e-39,1.1221078134596472e-32,2.7883206888369705e-20,2.8354353356814933e-41,7.011165474285054e-42,5.090604526490911e-22,9.308358649627769e-43,5.2093056688972777e-48
2.906269300351628e-14,0.1794042901298701,3.76,0.0,0.6621380928704542,0.9999999999956262,1.1953672252697724e-25,9.363767472157226e-19,7.527681308835626e-20,3.6207233534666285e-09,3.620723353882016e-09,1.1394926808728389e-20,3.94014207978246e-19,3.938016966955073e-19,8.2187619713613335e-25,7.743568299833122e-28,4.3738886822819004e-12,4.161373720438466e-21,1.845175834803e-12,1.2391967387090113e-16,7.316788725988218e-17,2.5286914418454017e-12,1.0189704487857057e-20,9.200960669654513e-21,1.221054175056694e-25,1.9214092703850214e-17,5.165516049645858e-31,6.276033525813177e-33,3.309330419160304e-20,1.5103003860079133e-28,2.3518266800933823e-42,3.0853658023501114e-21,2.275683994814e-30,5.7151359924216e-37,1.429573657561693e-42,8.82253597463373e-45,6.5943035436590494e-12,6.281148791770549e-20,6.594302770389436e-12,4.961828254386179e-29,6.363699078331891e-38,8.976534582001031e-32,1.1153283475489253e-19,4.5366682542313374e-40,1.1217865960704337e-40,2.0362329394226074e-21,1.4893713062422732e-41,1.6670139766011742e-46
5.812538754682952e-14,0.17940429024988858,3.76,0.0,0.6621380892387624,0.9999999999912522,9.563986832640902e-25,3.745506645472599e-18,3.01142640202281e-19,7.241446871456759e-09,7.241446873118298e-09,4.557052267735179e-20,1.5765239965596999e-18,1.575204759483669e-18,6.574997781672914e-24,6.198930427294513e-27,8.747778018579477e-12,1.664549556339089e-20,3.6902800895172895e-12,3.9372370717602995e-16,2.9266732251618163e-16,5.057310360968456e-12,4.07591073330568e-20,3.680392037336835e-20,9.76842369811023e-25,3.843219427059556e-17,4.132367627021102e-30,5.021119749820174e-32,1.323678670406891e-19,1.2082217533616409e-27,3.7629648565512083e-41,1.234125935216034e-20,1.820522842862299e-29,9.144097274417651e-36,2.2875167670202176e-41,2.8231004818282763e-43,1.3188607039783708e-11,2.512459520790058e-19,1.3188603946705603e-11,3.9694095102900597e-28,1.0180759663504665e-36,7.180701714884518e-31,4.461313434478711e-19,7.258577261233137e-39,1.794858678063048e-39,8.144859818226543e-21,2.383102105228354e-40,5.33467489758612e-45
