Time (s),Volume (m^3),N2,Ne,C2H5F(1),O2(2),H2O(3),CH4(4),OH(5),C2H4(30),HF(38),C2H4(126),H2(8),H2CC(24),HCO(15),CO(13),HO2(11),H2O2(12),C2H4F(62),H(6),CH2CHF(55),C2H4F(61),C2H3(29),CH2O(20),C2H2(23),O(7),CH2CF(69),CH2CFO(78),S(184),CH2CO(28),S(515),S(253),C2H2F(70),S(1529),S(767),S(1557),CH2F(46),CHFO(47),CH3(19),CH2F2(41),C2H2O(452),C2H5O(160),CH3F(39),CHF2(81),C2H(22),CH3O(27),C2H3F2(63),CH2CF2(56),C2H3F2(64),S(1652)
2.3910345729548894e-16,0.13694477611865258,3.76,0.0,0.638564868627413,0.9999999999999998,8.79657641011863e-35,6.412003717627615e-27,1.2507066012695455e-26,2.2554890531224697e-13,2.2554890531224712e-13,3.418110339670974e-30,1.8581094527504553e-28,1.8427731526339792e-28,4.1427213173678976e-36,4.796540776862293e-38,2.5298193544772626e-16,1.7375516372641197e-28,1.293206172775098e-16,3.5002938736236386e-22,1.1183606441006336e-24,1.2366166587440897e-16,2.1734234720805092e-30,9.567404777027871e-29,3.3787876911471142e-37,1.4881473157622972e-24,2.02967954232766e-43,6.138461275565248e-44,9.473058157201589e-26,1.7679101103923845e-39,4.542324290389998e-55,1.1475556708896695e-27,1.6502266841641197e-42,6.809267909615341e-51,4.118158955819565e-59,1.4349636899621977e-60,4.128532755057941e-17,1.1263655615126899e-26,4.1285327555971596e-17,1.938135920169025e-40,4.0617473571449513e-53,2.1187282010913444e-44,6.440214578166051e-28,5.878407255929705e-56,1.0022279605360453e-58,7.815433091018773e-30,3.108453956400873e-59,9.408402603873169e-67,2.228188510789012e-70,9.827175066546635e-58
4.784146500013128e-16,0.13694477611865832,3.76,0.0,0.638564868627187,0.9999999999999996,7.042609889879015e-34,2.5664725030969564e-26,5.006085891378264e-26,4.51293769708064e-13,4.5129376970806477e-13,1.3681323754355427e-29,7.43739848243037e-28,7.37589491970134e-28,3.316695951334158e-35,3.840150536080852e-37,5.061836647266836e-16,6.954734747056959e-28,2.5875358824350787e-16,7.019370366715615e-22,4.4763570901112345e-24,2.4743076911337366e-16,8.699357994902025e-30,3.829455252957515e-28,2.705084567633617e-36,2.9776034329289722e-24,1.6249777478350197e-42,4.9145016076542364e-43,3.7916919061870575e-25,1.415403048292869e-38,7.273636556641771e-54,4.593213282371807e-27,1.3211847450915578e-41,1.0903700392720914e-49,6.596751617836918e-58,4.595747498087262e-59,8.260652417161308e-17,4.5083976382847265e-26,8.260652419319588e-17,1.5520806267085167e-39,6.504081247017073e-52,1.6967070850875175e-43,2.5777641989859494e-27,9.415667665121927e-55,1.6048705487995258e-57,3.12820994924126e-29,4.9793146092549366e-58,3.0143975698223068e-65,7.138777931027282e-69,1.5736255699649668e-56
9.570370354129604e-16,0.1369447761186698,3.76,0.0,0.6385648686267349,0.999999999999999,5.6362284116432396e-33,1.0269232994842507e-25,2.0030864701121498e-25,9.027834984993775e-13,9.027834984993805e-13,5.474291204596149e-29,2.9760228285603867e-27,2.951318645645413e-27,2.6543646854837314e-34,3.0732897897944135e-36,1.0125871252775553e-15,2.7827998011762365e-27,5.176195262072452e-16,1.4104768449989163e-21,1.7911258939572204e-23,4.949689723076775e-16,3.4808763430503707e-29,1.5322809144328789e-27,2.1648897319522485e-35,5.9565633468953265e-24,1.300476033238332e-41,3.9330951275015146e-42,1.517170567670994e-24,1.132752600426522e-37,1.1642553751461053e-52,1.83788359262059e-26,1.0573493139443659e-40,1.7453021347596322e-48,1.0561034706974324e-56,1.4712576595883936e-57,1.6524891734208276e-16,1.8039463003924857e-25,1.6524891742844203e-16,1.2422935566846193e-38,1.0410744651730822e-50,1.358063213197168e-42,1.0314414484202221e-26,1.5073245674115992e-53,2.5688380600721684e-56,1.251691409650533e-28,7.971537780055809e-57,9.652010438608666e-64,2.2857820585914078e-67,2.5188162630337994e-55
1.914281806236256e-15,0.13694477611869268,3.76,0.0,0.6385648686258307,0.999999999999998,4.5098392404200307e-32,4.108361887998879e-25,8.013650537493771e-25,1.8057629560807213e-12,1.8057629560807332e-12,2.190056646118283e-28,1.1906786663776625e-26,1.1807195749452531e-26,2.1238948996539242e-33,2.459102389952399e-35,2.0253940543511272e-15,1.1133011304734664e-26,1.0353513862616879e-15,2.8464544993331687e-21,7.165669770152229e-23,9.900453655617842e-16,1.3925771992644253e-28,6.130121447978495e-27,1.7322406238631316e-34,1.1914673930684453e-23,1.0405783680554919e-40,3.147074035152422e-41,6.0696695083480674e-24,9.063741721211185e-37,1.8631871139446385e-51,7.352731015873075e-26,8.460400720485404e-40,2.7930515469690187e-47,1.6902867725493802e-55,4.709013922584206e-56,3.305337033966314e-16,7.216959853588045e-25,3.305337037421247e-16,9.940865158196496e-38,1.6660513336797298e-49,1.086741495017657e-41,4.126437423935349e-26,2.4123736566589826e-52,4.110977286044238e-55,5.007580384960672e-28,1.275817157644113e-55,3.0895937305992517e-62,7.316701668263715e-66,4.0308954422119413e-54
3.828771347882847e-15,0.1369447761187385,3.76,0.0,0.6385648686240224,0.999999999999996,3.6082142385488794e-31,1.6434785013967437e-24,3.2057213602970368e-24,3.611721871238276e-12,3.6117218712383244e-12,8.760809149667828e-28,4.763708324849714e-26,4.7232621906168247e-26,1.6992770299906735e-32,1.9674744975200125e-34,4.0510079443855806e-15,4.4535669974876565e-26,2.070815042878453e-15,5.794001949469475e-21,2.866501093436882e-22,1.9801980995319973e-15,5.570762159361946e-28,2.452248168756821e-26,1.3859239474787374e-33,2.3831658420283472e-23,8.325416638869647e-40,2.5178988571846297e-40,2.428064854188836e-23,7.251681662264964e-36,2.981400945799813e-50,2.941331684942266e-25,6.76896279931291e-39,4.469336819809654e-46,2.7049478653073777e-54,1.5070425334307403e-54,6.611032743601656e-16,2.8870188842082134e-24,6.611032757422512e-16,7.953698721529755e-37,2.6659317030689922e-48,8.695285219376329e-41,1.6507093027419829e-25,3.860321306910607e-51,6.578232967713096e-54,2.0031949311516213e-27,2.041605155766912e-54,9.888220378287922e-61,2.3416972910908012e-64,6.449990523595918e-53
7.65775043117603e-15,0.13694477611883016,3.76,0.0,0.6385648686204057,0.999999999999992,2.886708864924729e-30,6.5741814967879584e-24,1.2823409312863192e-23,7.223639701532856e-12,7.2236397015330495e-12,3.504361930477471e-27,1.906045713949973e-25,1.8893813612221702e-25,1.359485803588982e-31,1.5740635839984928e-33,8.102235852003725e-15,1.7814993205170563e-25,4.1417421021435825e-15,1.1991465341610369e-20,1.1466470200303196e-21,3.960503357320452e-15,2.2283955441742702e-27,9.809392006804536e-26,1.1087915785680484e-32,4.766868307632351e-23,6.660648316362572e-39,2.0144156309047163e-39,9.712650246490339e-23,5.801620410046768e-35,4.770478666311606e-49,1.1765804773751714e-24,5.415426615472403e-38,7.151301715416823e-45,4.328538355146289e-53,4.822787456366048e-53,1.3222424117049824e-15,1.1548545404214497e-23,1.3222424172335495e-15,6.363361304058048e-36,4.2656385035738234e-47,6.957072587553287e-40,6.603105867273955e-25,6.176932574343487e-50,1.0525708596851975e-52,8.013103820842148e-27,3.266808878464062e-53,3.16447351776994e-59,7.49400118522616e-63,1.0320194967024415e-51
1.5315708597762394e-14,0.13694477611901346,3.76,0.0,0.6385648686131725,0.9999999999999839,2.309422608288532e-29,2.6297260893334687e-23,5.129469751336828e-23,1.4447475362039897e-11,1.4447475362040674e-11,1.401689834903242e-26,7.628216820308835e-25,7.557676050146268e-25,1.0876138866675811e-30,1.2592955788095284e-32,1.6204692177436875e-14,7.126142518271033e-25,8.28359520480088e-15,2.559586550134211e-20,4.5866807984468574e-21,7.921113032289723e-15,8.9137635786311e-27,3.9238367812461234e-25,8.87053973120529e-32,9.53549742058149e-23,5.328643235555768e-38,1.6115722252867265e-38,3.885135637125193e-22,4.641405965324586e-34,7.632942433432001e-48,4.706417085802404e-24,4.332443002528782e-37,1.1442370773766843e-43,6.926897460606904e-52,1.5433311839914672e-51,2.644520668065609e-15,4.619512108918716e-23,2.644520690180328e-15,5.090849441714161e-35,6.824973794657749e-46,5.5664807650125744e-39,2.6412960634505293e-24,9.88342592055482e-49,1.6841563622347073e-51,3.205305172979216e-26,5.2270945470084046e-52,1.0126702174891458e-57,2.3981750111934168e-61,1.651172444519093e-50
3.063162493093512e-14,0.13694477611937997,3.76,0.0,0.638564868598706,0.9999999999999677,1.847561133864972e-28,1.0519011270927957e-22,2.0518101059587135e-22,2.8895146682725498e-11,2.8895146682728616e-11,5.606148827580665e-26,3.0544208741576928e-24,3.023098647441859e-24,8.701005210209636e-30,1.007472134091191e-31,3.2409606869090065e-14,2.850486207269287e-24,1.6567297346628732e-14,5.764255458642478e-20,1.8346905042928638e-20,1.5842329019799685e-14,3.565541742319579e-26,1.5695507969434322e-24,7.0965104906752e-31,1.9077667661433737e-22,4.262962145298448e-37,1.2892754310225542e-37,1.554067259642148e-21,3.713167991365664e-33,1.2212807034571732e-46,1.8825855239925468e-23,3.465993737828661e-36,1.8308016551529357e-42,1.108639492349414e-50,4.938715983070884e-50,5.289077107470838e-15,1.8478236108481498e-22,5.289077195930613e-15,4.072742854249607e-34,1.0919388557848557e-44,4.4542895527962034e-38,1.0565291562425427e-23,1.5813745328686903e-47,2.6946849458636287e-50,1.2821338576251797e-25,8.363536608432431e-51,3.240605391779503e-56,7.674333538817174e-60,2.6415871658558574e-49
6.126345759728058e-14,0.1369447761201131,3.76,0.0,0.6385648685697729,0.9999999999999353,1.4780594706896138e-27,4.207625836309289e-22,8.207292834882492e-22,5.7790489322782806e-11,5.7790489322795265e-11,2.241937074043505e-25,1.2242570577800217e-23,1.209243589331405e-23,6.960830839708712e-29,8.060204336043476e-31,6.481944441553919e-14,1.1402004448954e-23,3.3134685376378313e-14,1.4108744992969444e-19,7.338795515833924e-20,3.1684747545121093e-14,1.4262239830679775e-25,6.278236065587473e-24,5.6772332567006856e-30,3.8181778506146427e-22,3.410385096291971e-36,1.0314302249510603e-36,6.2162782239476814e-21,2.9705506626187527e-32,1.954043580331629e-45,7.530376709415122e-23,2.77280856661677e-35,2.9292982371892917e-41,1.774854423941997e-49,1.5803939307321577e-48,1.057818969301721e-14,7.391331799455365e-22,1.0578190046858096e-14,3.258218228761686e-33,1.7468866406919572e-43,3.5651149401977186e-37,4.2261379864583185e-23,2.5302193403635174e-46,4.311524932842339e-49,5.128551482619092e-25,1.3381887023334101e-49,1.0370026608347599e-54,2.4558286299280246e-58,4.225535216870866e-48
1.2252712292997147e-13,0.13694477612157935,3.76,0.0,0.6385648685119069,0.9999999999998704,1.1824539534428277e-26,1.6830545562200996e-21,3.2829340162158483e-21,1.1558117459764179e-10,1.1558117459769163e-10,8.963503034991164e-25,4.9169006240005887e-23,4.836970496933408e-23,5.568657779763397e-28,6.448789697092564e-30,1.2963915216097046e-13,4.5608146793393153e-23,6.626939642057969e-14,3.853830061948402e-19,2.935522609025253e-19,6.336953079709623e-14,5.704910692997505e-25,2.5113015688334905e-23,4.541785961762447e-29,7.6470060061571735e-22,2.728308400786151e-35,8.251526436395615e-36,2.486499667336169e-20,2.376445408760442e-31,3.1264221691523857e-44,3.0121553936252196e-22,2.218248830957362e-34,4.686882366673368e-40,2.843058248906876e-48,5.05724156438219e-47,2.115641369105375e-14,2.9565400480787465e-21,2.1156415106420757e-14,2.606581960900837e-32,2.7943025482299456e-42,2.8547512022519883e-36,1.6904593866247883e-22,4.048363748065273e-45,6.898466979953181e-48,2.051417783629329e-24,2.141145857907586e-48,3.318417845479826e-53,7.85880912688188e-57,6.75758067583655e-47
2.4505445359535325e-13,0.1369447761245118,3.76,0.0,0.6385648683961747,0.9999999999997408,9.459691558422614e-26,6.732226317076637e-21,1.3131821030063866e-20,2.3116254512633725e-10,2.311625451265366e-10,3.581995861237004e-24,1.9826506223692256e-22,1.9347777299003688e-22,4.454895370249297e-27,5.160010755197654e-29,2.5927869826166085e-13,1.8243292322933593e-22,1.3253855845040515e-13,1.1835947561477599e-18,1.1742080865171196e-18,1.2673888210738705e-13,2.2819673751858346e-24,1.0045225096656859e-22,3.6334115692504025e-28,1.5337468976301836e-21,2.182637525571747e-34,6.601327189005518e-35,9.94586775251169e-20,1.9011556718273687e-30,5.002099440308959e-43,1.2048613291590936e-21,1.7745943312786406e-33,7.498992627850001e-39,4.559585123770356e-47,1.6182971580290763e-45,4.231285699490306e-14,1.1826173705463703e-20,4.231286265637717e-14,2.085264999432681e-31,4.468573070901258e-41,2.288041564399074e-35,6.761845288465887e-22,6.477381785978174e-44,1.103758130338442e-46,8.205617357474323e-24,3.4259506253435145e-47,1.0618920255384541e-51,2.5149020257505704e-55,1.0801610913249758e-45
4.901091149261168e-13,0.13694477613037676,3.76,0.0,0.6385648681647104,0.9999999999994815,7.567832297149313e-25,2.6928918643060767e-20,5.252786366197475e-20,4.623252860996384e-10,4.6232528610043573e-10,1.430078576697982e-23,8.057708994878132e-22,7.739012409173256e-22,3.563859000932931e-26,4.129565779881952e-28,5.185583128999215e-13,7.297329895091889e-22,2.6507584229665693e-13,4.018481406908762e-18,4.696815731027649e-18,2.5347672396142044e-13,9.127876785411329e-24,4.0180974317210643e-22,2.906695267491066e-27,3.0855882957892677e-21,1.7460914263614275e-33,5.281219661132621e-34,3.9782347834320657e-19,1.5209201048046238e-29,8.002776809212013e-42,4.819429498147119e-21,1.4196647326671358e-32,1.1998298293165116e-37,7.34225503528374e-46,5.178409240494854e-44,8.462572483371488e-14,4.730471270048295e-20,8.462574747961684e-14,1.6682061391602116e-30,7.142315934994721e-40,1.8372106595387197e-34,2.704739150080258e-21,1.0363777237250147e-42,1.766019825066608e-45,3.2821976619850837e-23,5.482000212714009e-46,3.3980310080468285e-50,8.04836450493689e-54,1.7248986100905877e-44
9.80218437587644e-13,0.13694477614210668,3.76,0.0,0.6385648677017817,0.9999999999989629,6.054385585290798e-24,1.0771567884458892e-19,2.1011589071853116e-19,9.24650767709881e-10,9.246507677130703e-10,5.698666033419575e-23,3.3247632771298336e-21,3.0955232061451942e-21,2.850992359656721e-25,3.306140310633839e-27,1.0371196319045056e-12,2.918939547017224e-21,5.301462493028359e-13,1.464195212595287e-17,1.8787112090495184e-17,5.069489646680094e-13,3.651152918032459e-23,1.6072433541788395e-21,2.325299247937886e-26,6.249274958770919e-21,1.396841845475791e-32,4.2252236758761175e-33,1.5912025483825283e-18,1.2167276380266457e-28,1.2802564825133728e-40,1.9277573063656483e-20,1.1357133517266992e-31,1.919696668431169e-36,1.1891647891415223e-44,1.656998256866473e-42,1.6925138543585788e-13,1.8921881337777732e-19,1.6925147601942357e-13,1.3345535550605972e-29,1.1404080814503204e-38,1.480603356198514e-33,1.0818954560109851e-20,1.6581909640514062e-41,2.8256506017717855e-44,1.3128383896788596e-22,8.772534821733317e-45,1.0873532086897004e-48,2.5758554301602096e-52,2.7491474016294994e-43
1e-12,0.1369447761655665,3.76,0.0,0.6385648676830972,0.999999999998942,6.909698650188828e-24,1.1423702988603548e-19,2.2283749727495306e-19,9.433109317449658e-10,9.433109317483479e-10,6.040217908916888e-23,3.5424669261116724e-21,3.282919970353086e-21,3.2537079360066743e-25,3.773986281777023e-27,1.0580497291233255e-12,3.0956599615240464e-21,5.408445608037663e-13,1.5470584231156226e-17,1.9924501915678453e-17,5.171792143423725e-13,3.8722022682539735e-23,1.7045502023058456e-21,2.6537648748466463e-26,6.382618364695857e-21,1.594156983021039e-32,4.822181082225751e-33,1.6875227942416443e-18,1.388606265970577e-28,1.66768335686702e-40,2.0444657456596797e-20,1.2961442501675204e-31,2.500790462529594e-36,1.5597474081488343e-44,2.6935021674607175e-42,1.7266700056348296e-13,2.0067454143509445e-19,1.7266709663117541e-13,1.5230759129257684e-29,1.4841060801249566e-38,1.6932552020349964e-33,1.1473958162208887e-20,2.1601353290212066e-41,3.6810197350568623e-44,1.392314023089738e-22,1.1428937421883987e-44,1.7675831516340976e-48,4.1878047778445136e-52,3.5745224199686164e-43
