Time (s),Volume (m^3),N2,Ne,C2H5F(1),O2(2),H2O(3),CH4(4),OH(5),C2H4(30),HF(38),C2H4(126),H2(8),H2CC(24),HCO(15),CO(13),HO2(11),H2O2(12),C2H4F(62),H(6),CH2CHF(55),C2H4F(61),C2H3(29),CH2O(20),C2H2(23),O(7),CH2CF(69),CH2CFO(78),S(184),CH2CO(28),S(515),S(253),C2H2F(70),S(1529),S(767),S(1557),CH2F(46),CHFO(47),CH3(19),CH2F2(41),C2H2O(452),C2H5O(160),CH3F(39),CHF2(81),C2H(22),CH3O(27),C2H3F2(63),CH2CF2(56),C2H3F2(64)
1.5967593947357e-08,0.6753365056637964,3.76,0.0,0.5005124500821635,0.9999976169612503,9.531234430778818e-09,3.392940751445632e-07,7.314872993555965e-08,0.001984149966165929,0.0019843637664236145,2.2927911586542473e-10,7.791164638735116e-07,1.7111801918324848e-07,2.993893240444041e-08,1.5885143559081024e-09,2.302350766838371e-06,4.461667237480357e-10,9.14616927125861e-08,2.4780142145035254e-06,3.0913124744490165e-06,1.2284827474942492e-07,1.7977292491337296e-08,4.748819960916608e-09,8.524298970815157e-09,3.8337953141451e-08,2.1619790581773465e-13,1.7001457394173255e-14,5.476917664949109e-12,1.2484108681387455e-12,1.7568428136151663e-20,2.7066651379749636e-11,2.293806550526911e-13,3.3234681103042166e-15,1.6148966563215835e-18,1.9820157518715455e-19,1.3261909096268658e-05,2.744088919957818e-09,1.2964078941573003e-05,5.085949140891523e-13,2.2603185158382408e-17,1.373160467440056e-15,4.350040553625039e-08,2.721004101468055e-18,3.0285412724072694e-16,4.060687301710796e-10,2.9739732573158117e-19,1.4005585432441247e-18,4.881088129225832e-22
1.6407689207998602e-08,0.6753435712890936,3.76,0.0,0.5004573802117511,0.9999975484667799,1.0413439408780815e-08,3.5804258139407047e-07,7.773072950129404e-08,0.0020387185632735464,0.0020389443089315583,2.357100974504925e-10,8.260190599351597e-07,1.8013032365592537e-07,3.23615782975834e-08,1.7654777188448435e-09,2.3655889054372995e-06,4.71052272848571e-10,9.324974353952302e-08,2.560362816465799e-06,3.2114762408560266e-06,1.2417864733418698e-07,1.8892400991867425e-08,5.029557082054772e-09,9.220439833806258e-09,4.028758296048504e-08,2.3768526581438656e-13,1.9139674783161653e-14,5.588423493449446e-12,1.3346451152771506e-12,1.987399339677338e-20,2.8184358141392553e-11,2.5075111035831923e-13,3.7197268724818534e-15,1.8127648011686834e-18,2.2281832966567882e-19,1.3625377564602473e-05,2.896932275534136e-09,1.3311110780853954e-05,5.413076020789484e-13,2.4222619741923993e-17,1.464854941996509e-15,4.592346836658227e-08,2.988016634980773e-18,3.495515586416449e-16,4.2050775103891097e-10,3.221417418339937e-19,1.556927684127323e-18,5.337884939290552e-22
1.6847784468640205e-08,0.6753506364215388,3.76,0.0,0.5004023145179409,0.9999974797853302,1.1350041930279902e-08,3.772836891629315e-07,8.246286907532336e-08,0.002093280830685496,0.0020935188467765733,2.421403331358902e-10,8.743963966584344e-07,1.8934545330119283e-07,3.490493429520536e-08,1.95653243559472e-09,2.428819349930264e-06,4.966109079814591e-10,9.504808571210408e-08,2.6433249600121605e-06,3.333489984976881e-06,1.2551709896903402e-07,1.9825976024276868e-08,5.318849283195566e-09,9.952096082071831e-09,4.227316841654941e-08,2.6070927447308135e-13,2.1481287627044628e-14,5.700577854603409e-12,1.4245125279950083e-12,2.240825187193597e-20,2.9322075781636925e-11,2.7354713525944857e-13,4.151612724753437e-15,2.02851701247694e-18,2.4973843647468586e-19,1.3988736368819476e-05,3.053889930913245e-09,1.3657602786647306e-05,5.752679588829066e-13,2.5912575737769734e-17,1.5602319667893919e-15,4.8411767528446543e-08,3.273864117373787e-18,4.019402249916224e-16,4.349579673657023e-10,3.4829444228880495e-19,1.7261621625970294e-18,5.823842101695129e-22
1.7727974989923415e-08,0.6753647652139463,3.76,0.0,0.5002921956149438,0.9999973418505274,1.3393447693295704e-08,4.172401692487893e-07,9.237965838702529e-08,0.002202386378152466,0.0022026499103737014,2.549985670165293e-10,9.756096440346494e-07,2.0837634383414178e-07,4.03628791057261e-08,2.383691539988217e-09,2.555258758402926e-06,5.497469211740181e-10,9.867566872661831e-08,2.811097551580736e-06,3.583110643233833e-06,1.2821825516161705e-07,2.1747523154977963e-08,5.923211793805347e-09,1.152494950739905e-08,4.634986684614952e-08,3.1165790485183945e-13,2.68298394768266e-14,5.926834796255127e-12,1.6154264775695072e-12,2.82273644344957e-20,3.165785020265349e-11,3.236664070326528e-13,5.131353388988842e-15,2.5180385631483675e-18,3.1109878188052076e-19,1.4715125135720198e-05,3.380139496240558e-09,1.4348970902386781e-05,6.470162581075665e-13,2.950959259435612e-17,1.7622945303188565e-15,5.358394062447837e-08,3.9055973073155015e-18,5.258900568725998e-16,4.6387971789051123e-10,4.0502622815555527e-19,2.106158860363089e-18,6.88779851009152e-22
1.8475405581703058e-08,0.6753767614138874,3.76,0.0,0.5001986990591002,0.9999972241084187,1.5315472682488023e-08,4.5270895205278587e-07,1.0127677985407417e-07,0.0022950155629948184,0.0022953017838827153,2.6591503985850277e-10,1.0662666255852587e-06,2.2515603734129113e-07,4.5397117597869074e-08,2.7970833542143548e-09,2.662606725975164e-06,5.969810828289722e-10,1.0178847917551841e-07,2.955509038225262e-06,3.8009891480381103e-06,1.3053740234809595e-07,2.343499323239207e-08,6.463538557884183e-09,1.2978864104751469e-08,4.991944971869508e-08,3.6042334630242613e-13,3.214005165746276e-14,6.12100739835398e-12,1.7895939478943412e-12,3.403880770936972e-20,3.3704859281534286e-11,3.712846506966351e-13,6.096525444530195e-15,3.00008292076675e-18,3.718703095401758e-19,1.533160797164456e-05,3.6700818914333056e-09,1.4934372182056643e-05,7.120546996910368e-13,3.279820699502669e-17,1.9460398755820488e-15,5.8180560466396605e-08,4.509414029420626e-18,6.540188339032053e-16,4.88448510593877e-10,4.580901214114398e-19,2.4761009400202358e-18,7.893418235627182e-22
1.92228361734827e-08,0.6753887562128696,3.76,0.0,0.5001052143968342,0.9999971057899649,1.7418259248362773e-08,4.895866128134618e-07,1.106134724264157e-07,0.002387626496568446,0.0023879363442250614,2.768293619639496e-10,1.1612942100124926e-06,2.4249458573633565e-07,5.080944720260491e-08,3.2608009790972903e-09,2.769938071745e-06,6.461550361623121e-10,1.049310662757502e-07,3.101715799485761e-06,4.024350274304973e-06,1.328799123058752e-07,2.5172454052624643e-08,7.028912950192996e-09,1.4545182311175538e-08,5.358538011540713e-08,4.146499862484798e-13,3.823684608743492e-14,6.317058294317729e-12,1.975196635396822e-12,4.0744298331945645e-20,3.5810623466034864e-11,4.2389913407763043e-13,7.197264864541881e-15,3.549313775884382e-18,4.414920721444329e-19,1.5947775007720754e-05,3.971862112215218e-09,1.5518228569232554e-05,7.809820387409338e-13,3.630916813365428e-17,2.14129417591408e-15,6.296489072120023e-08,5.1800813971688884e-18,8.063903287321659e-16,5.130143342560625e-10,5.15922613589634e-19,2.8936682068400505e-18,8.999169959597562e-22
1.9970266765262344e-08,0.6754007496183505,3.76,0.0,0.5000117415726515,0.9999969868818648,1.9710506983553524e-08,5.278688530618036e-07,1.2039172579265358e-07,0.002480219180933021,0.0024805535936965723,2.877415335817717e-10,1.2607350432444427e-06,2.603828149221174e-07,5.6610053342220775e-08,3.778532808570551e-09,2.8772549071395224e-06,6.972682795463782e-10,1.0810347008692191e-07,3.249726816124107e-06,4.2532471400442944e-06,1.3524581477545295e-07,2.6958806257100196e-08,7.619462720202391e-09,1.6227382333392906e-08,5.734536655486032e-08,4.747414989475964e-13,4.52020246050767e-14,6.514989994318949e-12,2.1725861937462964e-12,4.8440101042417997e-20,3.797551644821167e-11,4.818551494420564e-13,8.446893663034215e-15,4.1719540045964475e-18,5.208630169466324e-19,1.6563626427773142e-05,4.285469595190928e-09,1.6100544441741915e-05,8.539057314181487e-13,4.00494415745e-17,2.3483802453907426e-15,6.793676761346831e-08,5.92252556298489e-18,9.863605040824499e-16,5.375681820913745e-10,5.787961448777851e-19,3.3630863353818124e-18,1.0211254837051528e-21
2.0717697357041986e-08,0.675412741637809,3.76,0.0,0.4999182805309882,0.9999968673708624,2.2200949910800577e-08,5.675513872815298e-07,1.3061335948593694e-07,0.0025727936181274085,0.002573153534583875,2.9865155495842967e-10,1.3646319686489845e-06,2.7881169920842084e-07,6.280879440429277e-08,4.354063542719068e-09,2.984559393394423e-06,7.503203594494152e-10,1.113057337390927e-07,3.3995509386044733e-06,4.487732935229e-06,1.37635142494828e-07,2.8792993360061923e-08,8.235312659934183e-09,1.8028878702523726e-08,6.119729472308702e-08,5.411192423535819e-13,5.3122817891724236e-14,6.7148050055774584e-12,2.3821176874323314e-12,5.722904902308081e-20,4.0199911516366064e-11,5.45512259629421e-13,9.85956277922532e-15,4.8745501863744725e-18,6.109395317815025e-19,1.7179162415313457e-05,4.610893785332443e-09,1.6681324164532767e-05,9.309346259920083e-13,4.4026059722362215e-17,2.567621830095577e-15,7.309602758330515e-08,6.7418968482964306e-18,1.1975890827811423e-15,5.62102565346772e-10,6.469925618514174e-19,3.888821291223447e-18,1.1536101309769137e-21
2.146512794882163e-08,0.6754247322787242,3.76,0.0,0.49982483121620713,0.9999967472437475,2.4898353208760666e-08,6.086299428681004e-07,1.4128003790548e-07,0.0026653498101697117,0.0026657361691643836,3.09559426337961e-10,1.4730280237780335e-06,2.977723589061796e-07,6.941520868091261e-08,4.991271072553124e-09,3.0918537399109293e-06,8.053108716152204e-10,1.1453790318275068e-07,3.551196897627727e-06,4.7278609288500744e-06,1.4004792988339252e-07,3.0674000447172814e-08,8.876584929222591e-09,1.9953023980113735e-08,6.513921512641843e-08,6.142226832555265e-13,6.209209019459226e-14,6.916505889618005e-12,2.604149671348773e-12,6.722079485344258e-20,4.2484181649297414e-11,6.152446427271093e-13,1.1450280672604403e-14,5.663979829153404e-18,7.127374521233085e-19,1.7794383153539183e-05,4.948124136001017e-09,1.726057208970989e-05,1.0121789528141004e-12,4.8246123420946595e-17,2.7993434975405388e-15,7.844250728781254e-08,7.643576274695446e-18,1.44405302472449e-15,5.866112574798466e-10,7.208032958758162e-19,4.475587683765543e-18,1.298037005044405e-21
2.2212558540601272e-08,0.6754367215485919,3.76,0.0,0.49973139357259094,0.9999966264873553,2.781151026273146e-08,6.511002600878367e-07,1.523932841029504e-07,0.002757887759057317,0.0027583014997062862,3.204651479619787e-10,1.5859664374250876e-06,3.1725605796445333e-07,7.64385211656156e-08,5.694123437828381e-09,3.199140202650917e-06,8.622394622040989e-10,1.1780002711441369e-07,3.7046733119078026e-06,4.973684473607484e-06,1.4248421361239574e-07,3.260085291727522e-08,9.543399330681426e-09,2.2003110415664618e-08,6.916933171322034e-08,6.945098254021456e-13,7.220854929634658e-14,7.120095340122074e-12,2.839044270208436e-12,7.853206805038261e-20,4.4828699602822554e-11,6.914414403279976e-13,1.3234942552192065e-14,6.54745882653335e-18,8.273341135268093e-19,1.840928882533208e-05,5.297150108969471e-09,1.7838292556571455e-05,1.097750329885572e-12,5.271680355043695e-17,3.043870543861471e-15,8.397604360248209e-08,8.633182262212824e-18,1.730059972074411e-15,6.11089085890508e-10,8.005295439865604e-19,5.12835730010425e-18,1.4550958861281118e-21
2.2959989132380915e-08,0.6754487094549185,3.76,0.0,0.4996379675443387,0.9999965050885665,3.0949239952742925e-08,6.949580920371667e-07,1.6395449265753405e-07,0.0028504074667669377,0.0028508495284685327,3.313687200696719e-10,1.7034906268686682e-06,3.372542016426032e-07,8.388765023402294e-08,6.466675844159939e-09,3.3064210825636757e-06,9.211058289027294e-10,1.2109215689199292e-07,3.8599886953207515e-06,5.225257010210227e-06,1.4494403330660403e-07,3.4572615259521235e-08,1.023587355246686e-08,2.41823715656059e-08,7.328599120487982e-08,7.824576412150809e-13,8.357696077631012e-14,7.325576236799346e-12,3.087167257819278e-12,9.128693795332724e-20,4.7233837993560464e-11,7.745071096738032e-13,1.5230360127002624e-14,7.532549107022272e-18,9.55870441051333e-19,1.9023879613256802e-05,5.657961174444741e-09,1.84144898916462e-05,1.1877617613626109e-12,5.744534262226208e-17,3.3015289143826627e-15,8.969647362250217e-08,9.71657742211034e-18,2.0602616660236328e-15,6.355317537217759e-10,8.864824515043095e-19,5.8523677952293305e-18,1.6255007585342025e-21
2.3707419724160558e-08,0.6754606960052244,3.76,0.0,0.4995445530755598,0.9999963830343069,3.4320384218392625e-08,7.401992046019893e-07,1.7596494148653866e-07,0.0029429089352546443,0.0029433802577008266,3.422701428978195e-10,1.825644195306401e-06,3.5775833422301333e-07,9.177121419006618e-08,7.313067748903329e-09,3.413698724049863e-06,9.819097219977967e-10,1.2441434637236045e-07,4.017151464313774e-06,5.482632072184123e-06,1.4742743147712407e-07,3.6588389870656966e-08,1.095412337310289e-08,2.6493983867382735e-08,7.748767325000491e-08,8.785625069026238e-13,9.630836736114553e-14,7.532951640232272e-12,3.348888136187167e-12,1.0561708298183338e-19,4.969996938111974e-11,8.648617796058243e-13,1.7454291972924124e-14,8.62716650305731e-18,1.099553082693743e-18,1.9638155699559583e-05,6.030546811090818e-09,1.8989168408730904e-05,1.2823276454307457e-12,6.243905636944751e-17,3.57264513598925e-15,9.560363466398461e-08,1.0899875501388664e-17,2.439667333728761e-15,6.599356971005311e-10,9.789832965888503e-19,6.6531315636911015e-18,1.809990301068295e-21
2.44548503159402e-08,0.6754726812070423,3.76,0.0,0.49945115011027064,0.999996260311548,3.793380584085442e-08,7.868193764171651e-07,1.8842580281479844e-07,0.0030353921664559055,0.0030358936896436057,3.531694166808005e-10,1.9524709294397666e-06,3.787601367597191e-07,1.0009753769381522e-07,8.237520007307524e-09,3.520975513457949e-06,1.0446509454181339e-09,1.2776665172717872e-07,4.176169945454713e-06,5.74586329100991e-06,1.499344528736848e-07,3.864731590750385e-08,1.1698262841760835e-08,2.8941068174953824e-08,8.177298123117222e-08,9.833406414049667e-13,1.1052031283068785e-13,7.742224762696753e-12,3.6245802144971194e-12,1.216620655676075e-19,5.222746634828711e-11,9.629416105634707e-13,1.9925474452646252e-14,9.839588818755126e-18,1.2596565821051031e-18,2.0252117266166977e-05,6.4148965060519544e-09,1.9562332408928298e-05,1.3815637771167332e-12,6.77053353339548e-17,3.857546258505905e-15,1.0169736426510766e-07,1.2189448438265454e-17,2.873657049056232e-15,6.842979648159291e-10,1.0783636767676124e-18,7.536444779328824e-18,2.0093283808460047e-21
2.5202280907719843e-08,0.6754846650679192,3.76,0.0,0.4993577585923908,0.9999961369073056,4.1798386443575424e-08,8.348143988261343e-07,2.0133815329702986e-07,0.0031278571622856194,0.003128389826528034,3.6406654165059555e-10,2.0840147972393703e-06,4.0025142486452844e-07,1.0887465806557135e-07,9.244332081709988e-09,3.6282538776141907e-06,1.1093293577439157e-09,1.3114913130825253e-07,4.337052382237057e-06,6.015004400737019e-06,1.524651440643379e-07,4.0748568175657565e-08,1.2468404435741195e-08,3.152669125408212e-08,8.614063373403742e-08,1.097328549138244e-12,1.2633707079202264e-13,7.953398950518361e-12,3.914620687970701e-12,1.395696131697954e-19,5.481670157763395e-11,1.0691991585880125e-12,2.2663653226072793e-14,1.117846410237822e-17,1.4375255933734526e-18,2.0865764494684752e-05,6.8109997549762355e-09,2.0133986180685307e-05,1.485587353388896e-12,7.325164645214775e-17,4.156559806589955e-15,1.0797750018718062e-07,1.3591933556144684e-17,3.367995066807604e-15,7.086161186042304e-10,1.184965697678325e-18,8.50839661421264e-18,2.22430455087249e-21
2.5949711499499486e-08,0.6754966475954158,3.76,0.0,0.49926437846573823,0.9999960128086411,4.5923024678119524e-08,8.841800758406588e-07,2.147029834189713e-07,0.003220303924638139,0.00322086867057598,3.7496151803678925e-10,2.2203199458712953e-06,4.2222414652808686e-07,1.1811033147500447e-07,1.0337879309133569e-08,3.735536282383557e-06,1.1759448731854944e-09,1.3456184555265502e-07,4.499806941010499e-06,6.290109241914905e-06,1.550195534512362e-07,4.289135605147552e-08,1.3264659201438221e-08,3.425386724091894e-08,9.058945658308962e-08,1.221083466683581e-12,1.4388987809179038e-13,8.166477686325535e-12,4.219390716641929e-12,1.5949590506843784e-19,5.7468047925032376e-11,1.184103743383459e-12,2.5689615323767154e-14,1.2652819114744924e-17,1.6345771358080673e-18,2.147909756639679e-05,7.218846062039444e-09,2.0704133999831515e-05,1.594516975281218e-12,7.908553463911879e-17,4.470013740544251e-15,1.1444388041563014e-07,1.511424087876874e-17,3.928843134911418e-15,7.328881479773785e-10,1.299142163968325e-18,9.575378631377408e-18,2.455734552659083e-21
