Time (s),Volume (m^3),N2,Ne,CH4(1),O2(2),H2O(3),C(4),CH(5),CH3(18),HO2(12),CH3O2(36),OH(8),H(6),H2(9),CH2O(19),O(7),CH3O(26),C2H5(31),C2H4(29),C2H6(30),HCO(16),CO(14),H2O2(13),C2H4(92),C2H3(28),C2H2(22),C2H(21),CH2(S)(24),CH2(T)(17),C1OO1(207),C2H5O(49),CH2O2(59),CHO2(121),CO2(15),HCCO(20),CH2CO(27),C2H2O(171),C2H2O(603),CH3CO(33),CHO2(125),C#CC(199),C3H4(637),CHO3(309),CH2O2(77),C3H4(718),C2H3O(346),C2H2O(128),CH2OH(32),H2CC(23),C3H3(635),S(1002),CH2O3(747)
4.667300943609958e-16,0.8858221807596465,3.76,0.0,0.6600461003376427,0.9999999999998878,1.7440504420446836e-31,2.9280724708789985e-41,2.980580638737649e-27,2.673146711206401e-13,1.1223233238292646e-13,2.3766285133995628e-25,1.085142395240511e-22,1.5508233812582286e-13,9.861754309698743e-18,2.0195484003382813e-24,1.269336199074682e-18,5.437969633104115e-25,4.240529622557618e-29,2.0533846825401283e-35,3.9448354224118826e-31,9.526655419466502e-35,2.1426917892159446e-34,9.856356614252965e-25,1.0131410378699171e-48,1.0208792748912155e-47,1.0194271378997087e-55,9.069588068553205e-72,9.86150094364702e-18,2.486376844290072e-25,1.6227617868459863e-39,9.094423459547698e-41,2.484813860073663e-38,5.183045752230527e-33,2.2281779321193e-34,1.6610792833005103e-61,1.765815760933292e-58,1.2948739249549605e-69,3.111871273919781e-73,6.066007409860089e-53,7.745095393969287e-38,3.705375694372281e-74,1.0233024285387332e-75,3.7994579147154003e-63,1.7778363009300548e-39,1.3849200719988836e-80,7.980713714277759e-75,1.5934735797141637e-63,1.0772130139556355e-34,3.728863719947604e-47,3.300609779853994e-73,9.887206504565623e-84,9.210084117894771e-69
9.338656883695686e-16,0.8858221807596718,3.76,0.0,0.6600461003373751,0.9999999999997754,1.396300826500726e-30,2.344239431475876e-40,1.1930089977317639e-26,5.348615883316666e-13,2.2456217329316622e-13,9.512707432389969e-25,4.343397537564104e-22,3.102994125893429e-13,1.9732583188029724e-17,8.083456806207378e-24,2.5399894602021473e-18,2.176604927727183e-24,1.6973178154804392e-28,1.643956555663502e-34,1.5790379700170617e-30,7.627116609004713e-34,1.715456219554413e-33,3.9451112835049694e-24,1.6223456919198733e-47,1.6351206003729271e-46,3.265400294569404e-54,5.810423276593605e-70,1.973156906353385e-17,9.951986566302389e-25,1.299195997026572e-38,7.281069507119261e-40,1.989360108493103e-37,4.149585928999309e-32,1.783916982811021e-33,5.322015819235411e-60,5.659232156364447e-57,8.299969825949155e-68,1.9946033820261963e-71,9.714422596288572e-52,6.200784125462085e-37,2.375161482714412e-72,6.557445092650063e-74,1.2173415449685085e-61,1.427854456844569e-38,1.7764231622211766e-78,5.1155746198414183e-73,5.105412299486366e-62,8.624253541306974e-34,5.971041304519445e-46,2.115071645895324e-71,1.2671271269532904e-81,5.90482644112303e-67
1.8681368763867143e-15,0.8858221807597224,3.76,0.0,0.66004610033684,0.9999999999995507,1.1174650295316203e-29,1.8761057062173744e-39,4.773589801096523e-26,1.0699554242632743e-12,4.4922185506815605e-13,3.8063218253116195e-24,1.7379247638764344e-21,6.20733559395298e-13,3.947576134624544e-17,3.234435729383444e-23,5.081939012812209e-18,8.709254059450204e-24,6.791488943331071e-28,1.3156649910529678e-33,6.31881484775087e-30,6.1040107779876384e-33,1.372886235583094e-32,1.5785583856538627e-23,2.5968073052868437e-46,2.6175647856386828e-45,1.0454457604399822e-52,3.720558660315025e-68,3.947170352731967e-17,3.982090535937469e-24,1.0397514239794364e-37,5.827069977013918e-39,1.5920897283936114e-36,3.320926387363083e-31,1.42770746229941e-32,1.7040956190444725e-58,1.8123349410071975e-55,5.316068905264572e-66,1.2775081613808094e-69,1.5552307149596435e-50,4.962509381459566e-36,1.5214347554447127e-70,4.1994223473094364e-72,3.8979858334067715e-60,1.1499273115012913e-37,2.2762087797117242e-76,3.2765026439244515e-71,1.6347409198675398e-60,6.902023140860051e-33,9.557555514181342e-45,1.3545045293111367e-69,1.6228201406619545e-79,3.7824101620968258e-65
3.736679252421005e-15,0.885822180759824,3.76,0.0,0.6600461003357697,0.9999999999991014,8.941418037033436e-29,1.5011723296480252e-38,1.909746633108949e-25,2.140143102164706e-12,8.985412184361767e-13,1.5227763947520867e-23,6.952830685120655e-21,1.241601844522868e-12,7.896819926880877e-17,1.2939849758847854e-22,1.0168410239379944e-17,3.4842680877054096e-23,2.717043271479953e-27,1.0527319486414172e-32,2.528422414940194e-29,4.884135161825214e-32,1.0985174119190826e-31,6.315261419785407e-23,4.1557277236756484e-45,4.1892013668138404e-44,3.3462549131048345e-51,2.381765324323456e-66,7.895196535094129e-17,1.593095194995656e-23,8.319587523819996e-37,4.6625437267745023e-38,1.273908931052955e-35,2.6572400741319e-30,1.1424336296182697e-31,5.454786506619966e-57,5.801682047829258e-54,3.403588038514131e-64,8.179123547820965e-68,2.4898051081654663e-49,3.970757541036514e-35,9.743231699862349e-69,2.688476381201802e-70,1.2477974160843487e-58,9.316543860049804e-37,2.9150756050770468e-74,2.09777196080092e-69,5.232790697223232e-59,5.522665924848646e-32,1.529520115599586e-43,8.671577390759365e-68,2.0775161745056407e-77,2.4218041764519208e-63
7.473764004489587e-15,0.8858221807600268,3.76,0.0,0.6600461003336293,0.9999999999982028,7.15381356597237e-28,1.2010562447335306e-37,7.639607252947809e-25,4.28051848212044e-12,1.7971799444443832e-12,6.091599814392655e-23,2.781358592668941e-20,2.4833383808406485e-12,1.5797740153779865e-16,5.176361723819802e-22,2.0351641177322646e-17,1.3938201466971555e-22,1.0869101296203581e-26,8.422655729212839e-32,1.0118393259779197e-28,3.9076777368041673e-31,8.788971076817137e-31,2.526310146994849e-22,6.649809160536325e-44,6.703600208333742e-43,1.0709341222658432e-49,1.5245288128042107e-64,1.579124605823951e-16,6.372896872590662e-23,6.656296201691141e-36,3.7303930092490023e-37,1.0192163186033752e-34,2.1259849446325337e-29,9.1411487725743e-31,1.7457999861928074e-55,1.8568921514584952e-52,2.1787074944576333e-62,5.235611392265244e-66,3.9870685345259524e-48,3.1769013471373003e-34,6.239891771088816e-67,1.7208897334390447e-68,3.993933813870641e-57,7.638564344716753e-36,3.732274343657562e-72,1.3428318104003974e-67,1.674755294247559e-57,4.418550253505429e-31,2.4474812077118967e-42,5.55068864582016e-66,2.6587306626191223e-75,1.5502923784599033e-61
1.494793350862675e-14,0.8858221807604328,3.76,0.0,0.6600461003293484,0.9999999999964054,5.723322431390711e-27,9.608975713671399e-37,3.055966450426816e-24,8.561269338643377e-12,3.5944573935494543e-12,2.4367378730260583e-22,1.112588683666569e-19,4.96681131772678e-12,3.1609311176591524e-16,2.070629394198702e-21,4.0759256987771105e-17,5.57550330411793e-22,4.3478523740249025e-26,6.738445026788253e-31,4.050626501691526e-28,3.1262883634096504e-30,7.031506389494367e-30,1.0105651672828042e-21,1.064013338222631e-42,1.0726461903671684e-41,3.4272011137874845e-48,9.757678663526634e-63,3.158333373822299e-16,2.5492604467994324e-22,5.325280507390501e-35,2.9844622531364363e-36,8.15399613215478e-34,1.700854359199548e-28,7.314565322995576e-30,5.586985253100613e-54,5.942622366251759e-51,1.394496443658355e-60,3.3510887642379196e-64,6.389154844632014e-47,2.541631638300595e-33,3.997810223279434e-65,1.1014465755993012e-66,1.2783918642552581e-55,6.406546486397022e-35,4.7779346233238347e-70,8.594928198364548e-66,5.359656217013319e-56,3.535004823539048e-30,3.916169179115282e-41,3.5527213816973e-64,3.40110704249779e-73,9.922924953485671e-60
2.9896272516901076e-14,0.8858221807612445,3.76,0.0,0.6600461003207866,0.9999999999928109,4.578766434761263e-26,7.687474409782686e-36,1.2224108110377263e-23,1.7122771438135144e-11,7.1890122801142315e-12,9.747140163479131e-22,4.450445079579814e-19,9.933756648501391e-12,6.327137549401685e-16,8.282689690048153e-21,8.173910430959375e-17,2.2302433747442895e-21,1.7392042870806542e-25,5.3908847946878184e-30,1.622767218546378e-27,2.5010864788682894e-29,5.625331802590177e-29,4.042342817202141e-21,1.7024317531960146e-41,1.7162897440927957e-40,1.0967381539767139e-46,6.24520998210288e-61,6.316746363302887e-16,1.0197232990827495e-21,4.260310721397615e-34,2.3876363454205216e-35,6.523157338375443e-33,1.3606928421509424e-27,5.853869766825886e-29,1.7879007532890043e-52,1.9017307203469918e-49,8.925071369130443e-59,2.144774466585716e-62,1.0253374428198668e-45,2.0333374217689744e-32,2.563715738382964e-63,7.049407508700943e-65,4.0925125802991925e-54,5.598006341028878e-34,6.116149533478559e-68,5.500985561099298e-64,1.7151728226340268e-54,2.828065879041879e-29,6.266030140679442e-40,2.2738306053405123e-62,4.34761234853022e-71,6.35097454750732e-58
5.979295053344973e-14,0.8858221807628683,3.76,0.0,0.660046100303663,0.9999999999856217,3.6630563127310086e-25,6.150230714465857e-35,4.889687870932275e-23,3.424577718290215e-11,1.4378122006662314e-11,3.898888018684089e-21,1.7801959810587224e-18,1.9867645138060505e-11,1.2675119318205377e-15,3.313112459689541e-20,1.6435726145832936e-16,8.921037676666027e-21,6.957111549461431e-25,4.3127602936905185e-29,6.511004335445892e-27,2.0008872058339933e-28,4.50030792115406e-28,1.616953500351138e-20,2.723820141149283e-40,2.7461073697380106e-39,3.5106010887711116e-45,4.008637275567055e-59,1.2633554156254063e-15,4.078921680993166e-21,3.408265332280962e-33,1.9101475382604316e-34,5.218276779316051e-32,1.0885304853029028e-26,4.686477046980208e-28,5.721365450993565e-51,6.931791872990241e-48,6.47217531281444e-57,1.5346167363416902e-60,1.6503100177474303e-44,1.6266633994925681e-31,1.6472143794910368e-61,4.511538647844073e-63,1.3106229763136327e-52,5.2346661693656684e-33,1.1279118043751725e-65,4.002507752323063e-62,5.488842793273212e-53,2.2624713839066967e-28,1.0025775961748796e-38,1.4552772121018912e-60,5.549805864764374e-69,5.370768884436586e-56
1.1958630656654705e-13,0.8858221807661155,3.76,0.0,0.6600461002694157,0.9999999999712434,2.9304619458409064e-24,4.920498885012123e-34,1.9558810054681861e-22,6.849179485556957e-11,2.8756341273432565e-11,1.5595569731296077e-20,7.120818863512545e-18,3.9735413429222396e-11,2.5433358449869865e-15,1.325254029199749e-19,3.322274233872632e-16,3.5684119629928324e-20,2.78303768006651e-24,3.4502307349866896e-28,2.6203106114163076e-26,1.6007101053434648e-27,3.6002502119492386e-27,6.467846298169087e-20,4.357802947425742e-39,4.3938038890056644e-38,1.1234102877748038e-43,2.5658460882112763e-57,2.5267096998551845e-15,1.6315665642822344e-20,2.726590525284672e-32,1.5281523649431921e-33,4.174148634394181e-31,8.707708287153557e-26,3.754524440674717e-27,1.830838783241168e-49,2.2266615992846206e-46,4.164787774142602e-55,9.869818380376417e-59,2.6717092114493715e-43,1.3012970935547107e-30,1.0624178292751721e-59,2.887197080200745e-61,4.200290421955091e-51,5.397579213658543e-32,1.447186184874415e-63,2.5760214939998896e-60,1.7565420498999863e-51,1.8099747751363354e-27,1.6041344263721288e-37,9.313835984925934e-59,7.065110643100698e-67,3.450282434771487e-54
2.391730186327417e-13,0.8858221807726103,3.76,0.0,0.6600461002009211,0.9999999999424868,2.3443757222719688e-23,3.9368669699730896e-33,7.823511189841785e-22,1.3698385493343402e-10,5.7512779061669105e-11,6.238194424053372e-20,2.8483337658064324e-17,7.94709152597533e-11,5.119893887168814e-15,5.301048035702763e-19,6.785031186598188e-16,1.4273514092901926e-19,1.1133610273417056e-23,2.760196014770037e-27,1.060843455928764e-25,1.2805572311497664e-26,2.880180733110004e-26,2.5871446183773245e-19,6.971428718357368e-38,7.03010256456749e-37,3.594923921809391e-42,1.642355798580169e-55,5.053389171221256e-15,6.526199601254095e-20,2.1812181894703293e-31,1.222565939705218e-32,3.338532977206607e-30,6.965247832275589e-25,3.012139705334946e-26,5.858611359282283e-48,7.126225866789041e-45,2.665686257626575e-53,6.317313461625641e-57,4.374568164123919e-42,1.0409746110878619e-29,6.904322873300952e-58,1.8475385766814463e-59,1.3481017873794638e-49,6.253417196628697e-31,1.852418395343454e-61,1.648915585105605e-58,5.621565482312163e-50,1.447963200723974e-26,2.566623471966207e-36,5.960845693285242e-57,8.945882998631396e-65,2.2081837238828407e-52
4.78346442765131e-13,0.8858221807855995,3.76,0.0,0.6600461000639318,0.9999999998849736,1.8755020957625416e-22,3.150228122635834e-32,3.129382272804561e-21,2.7396807401924916e-10,1.1502565165692392e-10,2.4952414768663913e-19,1.1393341364274345e-16,1.5894177991390447e-10,1.037265066073725e-14,2.120436660240607e-18,1.4131958419748079e-15,5.709276854366823e-19,4.454594754174299e-23,2.2081652652701922e-26,4.345111861187051e-25,1.0244238611453922e-25,2.304103234527004e-25,1.0348587789681943e-18,1.1150855099323753e-36,1.1248147288569231e-35,1.1503753991359026e-40,1.0513735137838928e-53,1.0106631728366124e-14,2.610416559174523e-19,1.744879920167724e-30,9.781188566301422e-32,2.6695578400781025e-29,5.570703924236976e-24,2.4233279939865266e-25,1.874695531952428e-46,2.2804230197944927e-43,1.7056404553019873e-51,4.042428192429037e-55,7.31868693561053e-41,8.326750952059085e-29,4.552934841981326e-56,1.1820736203313474e-57,4.339541480528121e-48,8.098079047831366e-30,2.371035169757334e-59,1.0552082756501655e-56,1.7992914773613387e-48,1.1583388152992208e-25,4.1066048165322115e-35,3.814900949055577e-55,1.120903251102522e-62,1.4130636582777084e-50
7.175198668975202e-13,0.8858221807985885,3.76,0.0,0.6600460999269424,0.9999999998274601,5.362773842817306e-22,9.009091484110184e-32,6.649901363398944e-21,4.109523920351183e-10,1.7253852127095816e-10,5.302332157221054e-19,2.42108474376578e-16,2.384125055614054e-10,1.572504794933725e-14,4.505951251226702e-18,2.1900297451707094e-15,1.2132018154764775e-18,9.467972286378531e-23,6.314136912822451e-26,9.405044490364216e-25,2.9291746006454997e-25,6.588227316746143e-25,2.199075166360316e-18,4.1039046719409835e-36,4.2397601194851177e-35,5.3122782564336696e-40,5.82462510377714e-53,1.5159757902717703e-14,5.547039461881322e-19,4.9891081197713885e-30,2.7969683991578917e-31,7.631180745324678e-29,1.5926270164866887e-23,6.95155922261824e-25,8.77016824156489e-46,1.0144258036609536e-42,9.18300257079135e-51,2.1854616883964844e-54,2.7574932448275028e-40,2.380757448652466e-28,2.6027867995771405e-55,6.591587729472525e-57,2.0345139814941128e-47,2.8238255785146375e-29,1.3199817390713652e-58,5.675645371099872e-56,8.417823360661232e-48,3.312071451337551e-25,1.5115306941773691e-34,2.1275090985542676e-54,7.277094745399889e-62,7.012125354733967e-50
9.566932910299096e-13,0.8858221808115777,3.76,0.0,0.6600460997899529,0.9999999997699468,1.1311660642694751e-21,1.9006086670482333e-31,1.134389121086122e-20,5.479368089810092e-10,2.3005138790376932e-10,9.045065585821938e-19,4.1300846621306796e-16,3.1788309220251687e-10,2.1177085578795922e-14,7.686658255095632e-18,3.009004675358984e-15,2.069548615050677e-18,1.6154518206958459e-22,1.331865754088276e-25,1.6329662218229275e-24,6.178405257866269e-25,1.3896348527275733e-24,3.7513633748575134e-18,1.0408003733234336e-35,1.119792239185974e-34,1.6142138512912013e-39,2.0379255397386987e-52,2.0212767697069912e-14,9.462444981740128e-19,1.0523170252462159e-29,5.899972768880342e-31,1.6092378214726222e-28,3.358840348918486e-23,1.470561287093519e-24,2.829271647559527e-45,3.4435593213481594e-42,3.453184539452818e-50,8.193205072351441e-54,7.19990750437691e-40,5.021375511251763e-28,1.0152042080197464e-54,2.485251525425575e-56,6.579755542806082e-47,6.928530662958587e-29,6.837180120562828e-58,2.1359709745527866e-55,2.7159129366909427e-47,6.986014707973491e-25,3.8336369824684095e-34,8.022032979311506e-54,3.0361545434053153e-61,2.9662256023225346e-49
