Time (s),Volume (m^3),N2,Ne,CH4(1),O2(2),H2O(3),C(4),CH(5),CH3(18),HO2(12),CH3O2(36),OH(8),H(6),H2(9),CH2O(19),O(7),CH3O(26),C2H5(31),C2H4(29),C2H6(30),HCO(16),CO(14),H2O2(13),C2H4(92),C2H3(28),C2H2(22),C2H(21),CH2(S)(24),CH2(T)(17),C1OO1(207),C2H5O(49),CH2O2(59),CHO2(121),CO2(15),HCCO(20),CH2CO(27),C2H2O(171),C2H2O(603),CH3CO(33),CHO2(125),C#CC(199),C3H4(637),CHO3(309),CH2O2(77),C3H4(718),C2H3O(346),C2H2O(128),CH2OH(32),H2CC(23),C3H3(635),S(1002),CH2O3(747),CO2(213)
5.439641795218706e-15,0.7788489711520843,3.76,0.0,0.6318401570262936,0.9999999999998203,6.887304551340086e-30,4.0080881351651227e-41,1.3378810851897444e-27,2.6559319137714255e-13,1.797744036511422e-13,4.655093810886132e-24,4.800893834896014e-22,8.581878537507931e-14,2.2027289185625588e-18,1.3450468306269207e-23,3.3397384962910148e-19,2.7640083240283826e-24,5.657889175095501e-29,1.1971200662034426e-34,1.1574948583512325e-30,3.0471435689259928e-33,7.093753891218953e-33,7.258162850265696e-24,6.565890075332227e-48,5.109397198790847e-47,5.001042557165855e-54,1.0864116427374589e-70,2.201782873071618e-18,7.257005359976813e-25,4.835652547380784e-38,6.256024223967453e-40,9.960371538552602e-37,1.9335794815960971e-31,8.029334563740878e-33,7.370616415117727e-60,8.293578089043659e-57,1.3365478324154235e-67,1.907994285762273e-71,9.110565194985057e-52,4.0756724732044926e-36,6.345898010400474e-73,1.9752860825297392e-74,2.69281544936342e-61,8.111869951095204e-38,2.582561337007759e-78,2.025405320353749e-73,3.2534032930149223e-62,4.7253749079179524e-33,2.8857666023085573e-46,8.123508819095615e-72,3.1935585393271775e-81,4.823001511585016e-65,3.2796328844049066e-48
1.0884009604160452e-14,0.7788489711520965,3.76,0.0,0.6318401570260278,0.9999999999996403,5.51403137798904e-29,3.2089100912398544e-40,5.35500991929384e-27,5.314171345684796e-13,3.5970499700798996e-13,1.8632502752784285e-23,1.921608660972983e-21,1.7171212815067875e-13,4.4092635933107036e-18,5.383693027336765e-23,6.6917745437027455e-19,1.1063232592042147e-23,2.264637565823283e-28,9.584240134073977e-34,4.6349321178695196e-30,2.43956616373786e-32,5.679313200938695e-32,2.9051566643846713e-23,1.051390247389543e-46,8.183959168525437e-46,1.601830278627159e-52,6.959879332227184e-69,4.405476945935197e-18,2.9046915063192648e-24,3.871473020480298e-37,5.00862248970747e-39,7.974260202007697e-36,1.5480294126940314e-30,6.429239181089342e-32,2.3615071410698162e-58,2.657886180531955e-55,8.566668700496398e-66,1.2228743926221145e-69,1.4618607248531487e-50,3.263008454438715e-35,4.072757399393485e-71,1.2657794342547743e-72,8.629008259022584e-60,6.601765915469957e-37,3.3127787284427275e-76,1.2982134309552393e-71,1.0423717972008547e-60,3.7831714539070973e-32,4.620986520732155e-45,5.205643107068671e-70,4.091858830076567e-79,3.0921467622092543e-63,5.251809969807917e-47
2.1772745222043944e-14,0.7788489711521214,3.76,0.0,0.6318401570254961,0.9999999999992805,4.412900842003376e-28,2.5681073180791485e-39,2.142700657632446e-26,1.0630650265489633e-12,7.195661835850905e-13,7.455424883665241e-23,7.688937478809858e-21,3.4349880531237277e-13,8.828011419042738e-18,2.154178798833067e-22,1.3424046737832205e-18,4.4267309544582084e-23,9.061559368105498e-28,7.670304996815057e-33,1.8561260120181151e-29,1.952391987821137e-31,4.5451714670226535e-31,1.1624410738911398e-22,1.6828834061002965e-45,1.3101475439266995e-44,5.1282522599488195e-51,4.4565427730688084e-67,8.8128598976359e-18,1.16225346135335e-23,3.09837215942562e-36,4.0084189018648025e-38,6.38168227232901e-35,1.2388782074653247e-29,5.146768797564906e-31,7.56147240322282e-57,8.511549881367453e-54,5.4867069296984006e-64,7.83195322360148e-68,2.3494794893968823e-49,2.611386121858222e-34,2.615097106395609e-69,8.106021067699328e-71,2.763857456848653e-58,5.455221355067896e-36,4.244903151706135e-74,8.314807951269758e-70,3.3376312837176755e-59,3.027684220861286e-31,7.396587138422458e-44,3.333722818455132e-68,5.238046466345141e-77,1.9807054827858676e-61,8.406714101863669e-46
4.355021645781093e-14,0.7788489711521711,3.76,0.0,0.6318401570244329,0.9999999999985607,3.530990998360746e-27,2.0548824278329978e-38,8.572191212902192e-26,2.1263608329011697e-12,1.439288556192913e-12,2.982652850505836e-22,3.0760755240221906e-20,6.870721260777448e-13,1.7688220973232182e-17,8.618120548007041e-22,2.700139149926331e-18,1.7709781246791107e-22,3.6252612304787775e-27,6.137409086355919e-32,7.438110199029404e-29,1.5622064227429924e-30,3.636819496989936e-30,4.650521183388972e-22,2.693078078456025e-44,2.0968066613228107e-43,1.6414236453036596e-49,2.8529341851001324e-65,1.7627605024981646e-17,4.649758699389736e-23,2.4791958771993084e-35,3.2073420400567622e-37,5.106076300994593e-34,9.912655102509696e-29,4.12047492110927e-30,2.4204091653731325e-55,2.7247086063297538e-52,3.5127233973682438e-62,5.014135283136169e-66,3.7904988664104926e-48,2.0894859162772775e-33,1.6826494567327102e-67,5.189362716243355e-69,8.85264841190025e-57,4.639931487451141e-35,5.436378505854999e-72,5.323454725173874e-68,1.0683608607161144e-57,2.422603026479347e-30,1.1836944549434775e-42,2.1342564171684634e-66,6.699475269633724e-75,1.2681976582895647e-59,1.3454753060783472e-44
8.710515892934489e-14,0.7788489711522701,3.76,0.0,0.6318401570223062,0.9999999999971213,2.8250607742866885e-26,1.6440722553816577e-37,3.429150224567012e-25,4.252952535170543e-12,2.878733299223041e-12,1.1931561836346189e-21,1.230530238600609e-19,1.374218633376453e-12,3.549949567477193e-17,3.447530891375382e-21,5.46072823224e-18,7.084468972117623e-22,1.4502604598037037e-26,4.9103928489154545e-31,2.9854050472003e-28,1.2498777180867823e-29,2.9097186578030876e-29,1.8603598326900827e-21,4.309096012507188e-43,3.3553444800746714e-42,5.2531655507096256e-48,1.8261632144761555e-63,3.525701217585175e-17,1.8600452841985916e-22,1.983588853583797e-34,2.566113904602627e-36,4.084866329448109e-33,7.930472493642832e-28,3.3003376623519974e-29,7.746450622958052e-54,8.720700763121372e-51,2.248457548967068e-60,3.2094659202511286e-64,6.163236126216646e-47,1.671715863172862e-32,1.0877801346932011e-65,3.3215448205178946e-67,2.8368537601846747e-55,4.152187738102434e-34,6.960399462701082e-70,3.40761758329151e-66,3.4192143508285068e-56,1.9382594662318998e-29,1.8941027824334517e-41,1.3661371550919568e-64,8.55789766980685e-73,8.118107860360207e-58,2.153386988078363e-43
1.7421504387241282e-13,0.7788489711524689,3.76,0.0,0.631840157018053,0.9999999999942424,2.2601555226672414e-25,1.315336600078372e-36,1.37171164215859e-24,8.506136297969151e-12,5.757622776541224e-12,4.772802485264603e-21,4.922320342402711e-19,2.748511111045957e-12,7.148546730856935e-17,1.3790701582977144e-20,1.116238676304578e-17,2.8338868449873964e-21,5.801581482944689e-26,3.928499712189835e-30,1.2021459914529386e-27,9.999399038045331e-29,2.3278643185781657e-28,7.441741828115927e-21,6.894048502348958e-42,5.368905540165708e-41,1.6811087217877124e-46,1.1688950619638451e-61,7.051549406551608e-17,7.440407340131919e-22,1.587016506971869e-33,2.052983204708809e-35,3.2674362121986483e-32,6.344031938733512e-27,2.646226450184114e-28,2.479021403568352e-52,2.7908936892574103e-49,1.4390118666960267e-58,2.0540387588256387e-62,1.0174705520681311e-45,1.3373856369133215e-31,7.099131757794509e-64,2.1257347121207086e-65,9.101475299640502e-54,4.025661212307412e-33,8.910426495558926e-68,2.181035557658464e-64,1.094189718898205e-54,1.5506700197781276e-28,3.0307152900083953e-40,8.74392615363161e-63,1.0907164227985899e-70,5.195980069641887e-56,3.4468980055195245e-42
3.4843481375854865e-13,0.7788489711528659,3.76,0.0,0.6318401570095465,0.9999999999884845,1.8081667122040038e-24,1.0523204260333425e-35,5.486924095255277e-24,1.701250525660602e-11,1.151540169620926e-11,1.9091466706127465e-20,1.968967473582293e-18,5.497093918675153e-12,1.4491109836363316e-16,5.516406361024449e-20,2.3287624057922022e-17,1.133564955697312e-20,2.320922682232319e-25,3.142872650918833e-29,4.872166150055394e-27,7.999553273164819e-28,1.8623018733328843e-27,2.976757046119764e-20,1.1028019966306093e-40,8.590504685138567e-40,5.38202032743637e-45,7.571444313312642e-60,1.4103112822221896e-16,2.976162245905802e-21,1.2697553571512847e-32,1.6424169448322722e-34,2.6130323137806423e-31,5.0743106775296404e-26,2.126358420031542e-27,7.93290988599834e-51,9.997496165090644e-48,1.0244431260325023e-56,1.4307237455230888e-60,1.7281544407347341e-44,1.0698530401126914e-30,4.71872028262699e-62,1.3602291119275729e-63,2.9285351280431955e-52,4.34630399900008e-32,1.6433112580435062e-65,1.5598955647364054e-62,3.5013696642828504e-53,1.2405475953378274e-27,4.849257168163471e-39,5.5962348120811e-61,1.3840784012452173e-68,4.3938945860008756e-54,5.519345650565851e-41
6.968743535308204e-13,0.7788489711536598,3.76,0.0,0.6318401569925337,0.999999999976969,1.4465495382262285e-23,8.419082009253316e-35,2.1947646800236757e-23,3.402524890604002e-11,2.3030959395671685e-11,7.636559043322485e-20,7.875944234743512e-18,1.0994250943109006e-11,2.975771025404305e-16,2.206595787760478e-19,5.042576972916624e-17,4.534203189997423e-20,9.285728173816705e-25,2.5143252034121233e-28,1.9996743168465167e-26,6.3994692382069356e-27,1.4898051247703092e-26,1.1907147329897271e-19,1.7636300078158922e-39,1.3744923063369957e-38,1.722284797232974e-43,4.8480469291279e-58,2.820570782505343e-16,1.1904280167980714e-20,1.0159951525536957e-31,1.3139353870348292e-33,2.0888863376781306e-30,4.0578410496394622e-25,1.7160214474630755e-26,2.5384256095376855e-49,3.2099662521445666e-46,6.585167239065851e-55,9.188144118623288e-59,3.0855299716490018e-43,8.557632254253088e-30,3.244061380621726e-60,8.701930162477385e-62,9.46939863490515e-51,5.277157144188335e-31,2.1084189377552175e-63,1.0031888294761552e-60,1.1203194294085062e-51,9.924212691019027e-27,7.758876098067176e-38,3.581560479274027e-59,1.7414942088962941e-66,2.822416399684851e-52,8.844386046102658e-40
1e-12,0.778848971155248,3.76,0.0,0.6318401569777333,0.999999999966951,5.851072370715049e-23,3.405685747127023e-34,5.0586987798583924e-23,4.8825527873952426e-11,3.3048940677546574e-11,1.7601418929249668e-19,1.8153533035542688e-17,1.5776498301380998e-11,4.405062463602015e-16,5.086101245816911e-19,7.905888736799257e-17,1.045069391160056e-19,2.1409777163959358e-24,1.0170055051038031e-27,4.785856498291738e-26,2.588317318037084e-26,6.025665609234572e-26,2.7445214326091954e-19,1.3258587455860974e-38,1.0342475179336016e-37,2.4945913951373384e-42,1.3777502016525057e-56,4.0473362159298046e-16,2.7436907913047606e-20,4.1107890903263765e-31,5.314578914942007e-33,8.438372176550311e-30,1.6401857523443761e-24,7.044730048497763e-26,3.6763250166046044e-48,4.650016880429209e-45,1.8693682334077352e-53,2.60814313273871e-57,2.767613464065703e-42,3.460535876075574e-29,1.0461553014671883e-58,2.4696135528198719e-60,1.3987966855509318e-49,3.385838375396843e-30,1.1857373687659622e-61,2.84945534735107e-59,1.622319703158424e-50,4.0139985882623167e-26,5.83826143116472e-37,1.0172419077645004e-57,9.475270308260571e-65,8.014831496640554e-51,6.673609653216669e-39
1.3937534330753638e-12,0.778848971155248,3.76,0.0,0.6318401569585079,0.9999999999539378,1.157244898979183e-22,6.7359754214488855e-34,8.778885102087576e-23,6.805075913356194e-11,4.606207423509938e-11,3.0545548981926525e-19,3.150389095210074e-17,2.1988530628796233e-11,6.261680064952992e-16,8.826514414005401e-19,1.1625266658549917e-16,1.8136082992087482e-19,3.7158645556485666e-24,2.0114676845046245e-27,8.40504481804022e-26,5.1192068701459885e-26,1.1917646899871684e-25,4.762881572825418e-19,2.8190280009572934e-38,2.1991684294881644e-37,5.511288865122496e-42,3.104441844860664e-56,5.640877068099771e-16,4.7613443849684647e-20,8.13085717711796e-31,1.0511325353169734e-32,1.668621222717278e-29,3.2436458756017073e-24,1.396660330454033e-25,8.122053156898195e-48,1.0273317340810769e-44,4.212095896937688e-53,5.876710774921202e-57,5.961877995161875e-42,6.844077273911864e-29,2.3629480013749195e-58,5.56455018045716e-60,3.0927969157353437e-49,7.098475768567764e-30,2.698595792551463e-61,6.42052210946877e-59,3.5841497147204314e-50,7.938959925517679e-26,1.2414171766990542e-36,2.2920927183338532e-57,2.1557218251334577e-64,1.8059292722846753e-50,1.419361332694424e-38
2.7875115921644507e-12,0.7788489711584244,3.76,0.0,0.6318401568904563,0.9999999999078755,9.25796108092798e-22,5.3898678943909674e-33,3.511388366432265e-22,1.3610187130332537e-10,9.212430167594533e-11,1.2217576669720324e-18,1.260155144866822e-16,4.397695254839016e-11,1.376384815490828e-15,3.5306838316879795e-18,2.9410825186317806e-16,7.253794114905245e-19,1.4875930920353546e-23,1.6091718610899898e-26,3.6870736722727106e-25,4.0947395111872423e-25,9.5327623112551e-25,1.9051562066549678e-18,4.501531751073038e-37,3.518562750841018e-36,1.7635772517501307e-40,1.9889723579889154e-54,1.1280638910834312e-15,1.9042291300828065e-19,6.509219170755127e-30,8.408733316672766e-32,1.330920962330971e-28,2.590699554257176e-23,1.1553772327593106e-24,2.5984379726974432e-46,3.287650480672923e-43,2.6917093579895525e-51,3.7552875362662366e-55,1.2816224046441295e-40,5.471969605790706e-28,1.8792914661195352e-56,3.5552778753667435e-58,1.0296630909961465e-47,1.0270691295111825e-28,3.45354140214568e-59,4.10777006914507e-57,1.1463542379298791e-48,6.350455138184688e-25,1.9862389457134437e-35,1.4667819137336332e-55,2.5887642117183694e-62,1.1551060118424382e-48,2.284510192898438e-37
4.181269751253537e-12,0.7788489711616008,3.76,0.0,0.6318401568224045,0.9999999998618131,2.6471975420737355e-21,1.5413848312216614e-32,7.46144942741669e-22,2.0415307518791216e-10,1.3818652687876092e-10,2.5961379974773102e-18,2.677826255655801e-16,6.59652370171449e-11,2.2196360442799603e-15,7.502810215938351e-18,5.181649982224389e-16,1.5413358670324828e-18,3.163273011555393e-23,4.6012881112181354e-26,8.38360671984328e-25,1.170735669242665e-24,2.72554930684264e-24,4.048458114744534e-18,1.6553755252023346e-36,1.331872463300264e-35,8.108309683872715e-40,1.094279255062231e-53,1.691955015657015e-15,4.0460295974942154e-19,1.8619674400892658e-29,2.4044693956386298e-31,3.7990883373417958e-28,7.400859077108844e-23,3.366038050419055e-24,1.2155263694981836e-45,1.4720606222948595e-42,1.4567806540975587e-50,2.046260134595743e-54,5.370826223529175e-40,1.5640993411795604e-27,1.1304336560527144e-55,1.981628893147499e-57,4.879811678051917e-47,3.689659543298043e-28,1.9260282462643296e-58,2.2210062457925363e-56,5.3613273017699745e-48,1.8157145305471718e-24,7.310703239996965e-35,8.179952233081103e-55,1.6602042377151324e-61,5.731446928562969e-48,8.432359477976428e-37
