Time (s),Volume (m^3),N2,Ne,CH4(1),O2(2),H2O(3),C(4),CH(5),CH3(18),HO2(12),CH3O2(36),OH(8),H(6),H2(9),CH2O(19),O(7),CH3O(26),C2H5(31),C2H4(29),C2H6(30),HCO(16),CO(14),H2O2(13),C2H4(92),C2H3(28),C2H2(22),C2H(21),CH2(S)(24),CH2(T)(17),C1OO1(207),C2H5O(49),CH2O2(59),CHO2(121),CO2(15)
2.319313329926386e-14,0.7122255767380382,3.76,0.0,0.6109116598253974,0.9999999999998317,2.994813233614111e-29,1.664938634414539e-41,3.437106515240927e-28,2.0137423073445466e-13,1.6822274321963216e-13,2.1878362571698098e-23,5.9454423727609765e-22,3.315148490132805e-14,4.34614557350938e-19,2.891907300013506e-23,7.624259287626902e-20,4.6998782949304455e-24,2.9077858250017956e-29,1.4000550890924228e-34,1.0178288492125331e-30,2.175206455183125e-34,2.8780383597390277e-32,1.4362064665243036e-23,5.163561607310749e-48,4.1883755108348796e-47,2.909502386813124e-54,2.086578928397424e-71,4.3357657423458723e-19,6.613387654234576e-25,1.6154052163484497e-37,7.188168203666774e-40,3.93979161876283e-36,7.922659536078865e-31,3.312274424743898e-32
4.6406417018422827e-14,0.7122255767380428,3.76,0.0,0.6109116598251959,0.9999999999996633,2.3976714767417195e-28,1.3329626998056339e-40,1.375737197731983e-27,4.0292341935431296e-13,3.3659163997893384e-13,8.757041495815916e-23,2.3797262833219376e-21,6.633176891459037e-14,8.716829067413162e-19,1.157516775476436e-22,1.5369304810020494e-19,1.8811741810543992e-23,1.1638870254264559e-28,1.1208952668787931e-33,4.081964591729384e-30,1.7414876540982332e-33,2.3041744912511857e-31,5.748568703805834e-23,8.268139192365057e-47,6.7089125057658434e-46,9.321243054620075e-53,1.3372548656544304e-69,8.675282693915364e-19,2.6470708645650676e-24,1.2933569723024456e-36,5.7549098186754806e-39,3.154204236118605e-35,6.34275285237197e-30,2.653575172822533e-31
9.283298445674076e-14,0.7122255767380514,3.76,0.0,0.6109116598247928,0.9999999999993265,1.9188657428317095e-27,1.0667743753697234e-39,5.504731615266345e-27,8.060218025793346e-13,6.733294334478375e-13,3.50395309549589e-22,9.522004127823335e-21,1.3269232727471838e-13,1.752050893453831e-18,4.631576459275653e-22,3.12020310719872e-19,7.527131377598779e-23,4.657183410128833e-28,8.970566549917688e-33,1.6397169454264204e-29,1.3937191909374828e-32,1.844030007494873e-30,2.300176247774904e-22,1.3233478099467021e-45,1.0740261618009373e-44,2.9845292063901834e-51,8.564440875276193e-68,1.735426933810958e-18,1.0591669842526938e-23,1.0351595858773357e-35,4.6056841588084307e-38,2.524282608296671e-34,5.075822533717913e-29,2.126454031984e-30
1.8568611933337662e-13,0.7122255767380691,3.76,0.0,0.6109116598239865,0.9999999999986531,1.5353839115741833e-26,8.535801418637528e-39,2.2022437664678088e-26,1.6122185929706046e-12,1.3468050201868436e-12,1.4018060731446904e-21,3.809421092710383e-20,2.6541340532940056e-13,3.5377120113476774e-18,1.8529334716199113e-21,6.4238023564302625e-19,3.011330134860348e-22,1.863272057427408e-27,7.177812379152495e-32,6.611139103849816e-29,1.1151867777749998e-31,1.47548838187399e-29,9.202202619925822e-22,2.1174891549316696e-44,1.7189184294698784e-43,9.553242719131334e-50,5.483297810688064e-66,3.4712053592816105e-18,4.2373083495535357e-23,8.284144519019613e-35,3.6852587237749683e-37,2.0197465513949027e-33,4.060937303328079e-28,1.705946236932869e-29
3.713923890866483e-13,0.7122255767381044,3.76,0.0,0.6109116598223742,0.9999999999973062,1.2284233973444523e-25,6.829266501991209e-38,8.809633393632944e-26,3.22461226951809e-12,2.693756192869649e-12,5.6076540192359125e-21,1.5238919777187474e-19,5.308554067765714e-13,7.208734766944956e-18,7.41234749298024e-21,1.3579216121977988e-18,1.2046200444578205e-21,7.454458367346443e-27,5.742788948737456e-31,2.685637088666994e-28,8.922336056214075e-31,1.1804775086957362e-28,3.681180501455854e-21,3.387372749037783e-43,2.7506389245431978e-42,3.057463556492698e-48,3.510137178569388e-64,6.94268659842787e-18,1.6950218629654453e-22,6.630016960149538e-34,2.9485055264526726e-36,1.6158497616403473e-32,3.2482714254084836e-27,1.3720206199372026e-28
7.428049285931916e-13,0.7122255767381745,3.76,0.0,0.6109116598191494,0.9999999999946122,9.827847935257974e-25,5.463635732523809e-37,3.5239498576668814e-25,6.4494000056731556e-12,5.387658535054397e-12,2.2431315759380563e-20,6.09581214886865e-19,1.0617387910229521e-12,1.4949581892852985e-17,2.9650679528009374e-20,3.008289895927843e-18,4.8185959016359775e-21,2.982515544462673e-26,4.594439319991929e-30,1.1070728678233595e-27,7.138199266059052e-30,9.443863977145068e-28,1.4725320185220166e-20,5.417019290956432e-42,4.401279830447085e-41,9.78447479205632e-47,2.2469681895217186e-62,1.388534664296127e-17,6.780047968067768e-22,5.307580120377375e-33,2.3589461731474007e-35,1.2925797496716253e-31,2.5974822324111664e-26,1.1090755632291259e-27
1e-12,0.7122255767383154,3.76,0.0,0.6109116598169163,0.9999999999927467,3.3647957174412e-24,1.870586030868578e-36,7.18430673113099e-25,8.682495609329397e-12,7.2531270637838386e-12,4.5731152003065813e-20,1.2427798538555669e-18,1.4293630825338599e-12,2.086227098479565e-17,6.045041702641717e-20,4.454833170728389e-18,9.823667747711509e-21,6.082281960965687e-26,1.573010733412402e-29,2.3478236270040073e-27,2.4439286615882914e-29,3.233108797697004e-27,3.0021176252467784e-20,3.3517768939504717e-41,2.7259998904778213e-40,1.1504033428302817e-45,5.661227975060915e-61,1.8692568265420928e-17,1.3821918207620021e-21,1.8190126247565522e-32,8.076581563791558e-35,4.424562035781038e-31,8.886140195762637e-26,3.8602905493459315e-27
1.4856300076062783e-12,0.7122255767383154,3.76,0.0,0.6109116598126998,0.9999999999892244,7.862455710581541e-24,4.3709533926808424e-36,1.4095711084951016e-24,1.289897701022618e-11,1.0775463206700181e-11,8.972538404784976e-20,2.438371426340559e-18,2.1235030849303785e-12,3.202647888733349e-17,1.1860579564160478e-19,7.186163976181777e-18,1.9274132973909803e-20,1.1935191895009608e-25,3.6756227752467326e-29,4.6905815862548676e-27,5.710681455619256e-29,7.554623476934894e-27,5.890247112974342e-20,8.657697878719924e-41,7.042132333147694e-40,3.137821047439255e-45,1.5926365064398506e-60,2.776945710435049e-17,2.7118220812840395e-21,4.251466302626292e-32,1.8872493410238186e-34,1.0338301257557509e-30,2.0760244150675416e-25,9.055073432728368e-27
2.971280165632452e-12,0.712225576738597,3.76,0.0,0.6109116597998006,0.9999999999784488,6.290024402076268e-23,3.4967099013905563e-35,5.6380417040330516e-24,2.5798137148323957e-11,2.1551072499094736e-11,3.588915517875742e-19,9.753560586270987e-18,4.247021774455961e-12,7.256105411758953e-17,4.744333242383128e-19,1.9050425310659347e-17,7.709217436202071e-20,4.778034943885353e-25,2.9405076407996287e-28,2.0860140844123674e-26,4.568577774526032e-28,6.042735437330309e-26,2.3561221738791944e-19,1.3821384221513612e-39,1.1267090006012618e-38,1.0041378904687573e-43,1.021325307324796e-58,5.553284037513516e-17,1.0845380780953116e-20,3.40968840269966e-31,1.5098934822243257e-33,8.266609914433683e-30,1.6576303616551572e-24,7.534940374188839e-26
5.942580481684799e-12,0.7122255767391603,3.76,0.0,0.6109116597740022,0.9999999999568976,5.032025675564756e-22,2.7972336105954934e-34,2.2549881181133512e-23,5.1596481940647594e-11,4.3102290880278605e-11,1.4354644369481022e-18,3.9014246078494845e-17,8.494019560766618e-12,1.7915309171082402e-16,1.897785466089338e-18,5.681270566263966e-17,3.08329138943111e-19,1.9143513888114336e-24,2.3523793357401676e-27,1.0022209656074684e-25,3.654849328255983e-27,4.832561544196132e-25,9.424531518700413e-19,2.2015462150934344e-38,1.80258395635344e-37,3.212953068218011e-42,6.542281435372382e-57,1.1104026317598726e-16,4.336560693667557e-20,2.7413034053178317e-30,1.2080434347107773e-32,6.606727701308962e-29,1.3210042232824993e-23,6.490651729670634e-25
1e-11,0.7122255767402866,3.76,0.0,0.6109116597387734,0.9999999999274686,2.9081802673211266e-21,1.616466782925079e-33,6.872596492699073e-23,8.682513455517645e-11,7.253126915567614e-11,4.375147741950977e-18,1.189265286335102e-16,1.4293342617197748e-11,3.944120042278858e-16,5.785274243919583e-18,1.4670409388145184e-16,9.39658837974053e-19,5.852623897086802e-24,1.3594883906612757e-26,3.9716969891123732e-25,2.112243837160695e-26,2.7911208406204084e-24,2.872888403177334e-18,2.4535563643701262e-37,2.0260240977427805e-36,7.12038772098137e-41,2.88443046565278e-55,1.8678489238714985e-16,1.321038248537826e-19,1.5990437294306833e-29,6.983080947520344e-32,3.811095159998104e-28,7.579371885661702e-23,4.250992095652219e-24
1.1885181113789492e-11,0.7122255767402866,3.76,0.0,0.6109116597224052,0.9999999999137951,4.0255945544599224e-21,2.2375520420430812e-33,9.018055708673828e-23,1.0319326959109644e-10,8.620472682808803e-11,5.740999959622292e-18,1.5605582353449196e-16,1.6987856765758763e-11,4.944268128076341e-16,7.59150117977198e-18,1.884699370725427e-16,1.2329907992896385e-18,7.682446255865217e-24,1.8818439714197004e-26,5.351391667489303e-25,2.923832799537333e-26,3.863413932317776e-24,3.769818104612084e-18,3.49125206385106e-37,2.8836141562482932e-36,1.0279420340661121e-40,4.1942136812823484e-55,2.219777887133263e-16,1.7333387556299076e-19,2.2146324519880648e-29,9.666311409992991e-32,5.274862158463022e-28,1.0487169925034081e-22,5.924539673674309e-24
1.7827781745894188e-11,0.712225576741413,3.76,0.0,0.6109116596708082,0.9999999998706924,1.151063339646494e-20,6.39780423785895e-33,1.9160563859383246e-22,1.5479015530863573e-10,1.2930716196120137e-10,1.219835294157858e-17,3.316165854929607e-16,2.5481535606454687e-11,9.117882772679217e-16,1.6132451312731512e-17,3.762574792401365e-16,2.619624594587551e-18,1.636820201859783e-23,5.380901897718231e-26,1.3637412933198217e-24,8.360250490913866e-26,1.1042613198990455e-23,8.010863485796923e-18,1.279619838802308e-36,1.0947046995808754e-35,4.804155666596125e-40,2.2458942613230482e-54,3.328380490495032e-16,3.6814542596405505e-19,6.367826702087752e-29,2.764969681350195e-31,1.506554447764999e-27,2.985493919338547e-22,1.8132524580163342e-23
2.3770382377998883e-11,0.7122255767425394,3.76,0.0,0.610911659619211,0.9999999998275897,2.4279155280082452e-20,1.3495025139660535e-32,3.268125390728513e-22,2.0638713909455401e-10,1.7240959627948086e-10,2.0806951243053118e-17,5.656955099727432e-16,3.3975056086187565e-11,1.4312355825839415e-15,2.752085875232416e-17,6.201729722938347e-16,4.4680150297833395e-18,2.799427962354257e-23,1.134995155771561e-25,2.7035213311856266e-24,1.763402606782501e-25,2.3283772119133222e-23,1.3665586640090194e-17,3.233261566526796e-36,2.9253718739735327e-35,1.4920154955638686e-39,8.538546015544238e-54,4.4362109900821596e-16,6.277158068757637e-19,1.34991028747322e-28,5.834723426812521e-31,3.1744600318568324e-27,6.272205369677604e-22,4.0512045763622617e-23
3.565558364220827e-11,0.7122255767447921,3.76,0.0,0.6109116595160166,0.9999999997413841,6.631341478673259e-20,3.6865036298632894e-32,6.764711755400951e-22,3.095813368308681e-10,2.5861446300324637e-10,4.307121470147667e-17,1.17118873420245e-15,5.096172539250869e-11,2.7097135101603444e-15,5.698117260251027e-17,1.2397255026122034e-15,9.247842706684376e-18,5.823786388487176e-23,3.100111012938274e-25,7.043223710833959e-24,4.816325327776157e-25,6.355747619638131e-23,2.8292839987384894e-17,1.12370714769425e-35,1.1652133403315278e-34,7.288458702770792e-39,6.123491951067261e-53,6.650061608214026e-16,1.2985799364603322e-18,3.717648070920788e-28,1.595327799956615e-30,8.655449434180393e-27,1.7018236125242646e-21,1.2086369455131039e-22
4.7540784906417664e-11,0.7122255767470451,3.76,0.0,0.6109116594128217,0.9999999996551785,1.3874891469705328e-19,7.714583140729144e-32,1.1502531197576202e-21,4.127758952102896e-10,3.4481932672943086e-10,7.324162385845906e-17,1.991865624763134e-15,6.794781237677944e-11,4.363581680668881e-15,9.691445260450069e-17,2.0656609242061018e-15,1.5723926206701266e-17,9.952295698871879e-23,6.486682607719113e-25,1.443022387737483e-23,1.0077225044643948e-24,1.3291350467666548e-22,4.8118668833601265e-17,2.7934350597122765e-35,3.131966558637678e-34,2.2736120732932862e-38,2.2967705458321994e-52,8.861077474202033e-16,2.2068850487752025e-18,7.835253793526016e-28,3.341705923125483e-30,1.8082326442622275e-26,3.5399496112861235e-21,2.7168571830992033e-22
5.942598617062705e-11,0.7122255767492978,3.76,0.0,0.6109116593096264,0.9999999995689726,2.5258533071733037e-19,1.4046370709465868e-31,1.756940297023654e-21,5.159708400016495e-10,4.3102418724300053e-10,1.118790825672173e-16,3.043089612360617e-15,8.493327546685167e-11,6.419640967126195e-15,1.4807025530203262e-16,3.112705100127949e-15,2.4015988589641386e-17,1.5279399852577109e-22,1.1809168799320809e-24,2.5887882963544046e-23,1.8344945219557754e-24,2.4183441277456582e-22,7.351438227131912e-17,5.895644499395442e-35,6.999411562039926e-34,5.820399162126928e-38,6.96162372758291e-52,1.1069059761443068e-15,3.3690285915910046e-18,1.4368453272681583e-27,6.090889786086871e-30,3.286685631509384e-26,6.4060794727134336e-21,5.290884851651671e-22
8.319638869904583e-11,0.7122255767538036,3.76,0.0,0.6109116591032346,0.9999999993965597,6.668866656444501e-19,3.7098002022486546e-31,3.3768099347988802e-21,7.223619131506574e-10,6.034338984242581e-10,2.150611280470354e-16,5.851614209559996e-15,1.1890229092604008e-10,1.1763510027000791e-14,2.8476442855584236e-16,5.883901605703554e-15,4.615238780768837e-17,2.9707590954678816e-22,3.1182310981395545e-24,6.660711055433226e-23,4.843417863347779e-24,6.375815571256651e-22,1.4136521043178064e-16,2.1234504976683206e-34,2.7001032205010476e-33,3.25733750097938e-37,5.791242488955941e-51,1.547575776467606e-15,6.466974878708475e-18,3.868557128328413e-27,1.6134694821439507e-29,8.640999994961839e-26,1.6644392517950424e-20,1.6393691960928169e-21
9.999999999999999e-11,0.712225576758309,3.76,0.0,0.6109116589573326,0.9999999992746783,1.1416084871097082e-18,6.351943235235015e-31,4.846824412531737e-21,8.682634339281978e-10,7.253125910720337e-10,3.0871479229432327e-16,8.401867984564301e-15,1.4291390773461552e-10,1.652657540224643e-14,4.089085453890969e-16,8.384558529920244e-15,6.623770900992827e-17,4.298228412242071e-22,5.3382882428305645e-24,1.1253286113120593e-22,8.291085159266826e-24,1.0903680266897757e-21,2.029781468177415e-16,4.2816943397552665e-34,5.602780381321507e-33,8.086412894405391e-37,1.7211501074585145e-50,1.858351044271594e-15,9.273860150670389e-18,6.709446905777668e-27,2.768049039920175e-29,1.4749393469480245e-25,2.818381851578251e-20,3.0839375543223523e-21
1.0696679122746461e-10,0.712225576758309,3.76,0.0,0.6109116588968412,0.999999999224146,1.3825982290795632e-18,7.693331749954158e-31,5.535212013222415e-21,9.287545558532379e-10,7.758435965434863e-10,3.5257474458020743e-16,9.596409632091683e-15,1.5286877275669707e-10,1.874069844228067e-14,4.670616210287228e-16,9.552899898136578e-15,7.564277886296705e-17,4.923293743689768e-22,6.465318779252598e-24,1.3573712950688434e-22,1.0041262920151718e-23,1.3201212253699943e-21,2.3183802420462675e-16,5.437353816017222e-34,7.167839457284674e-33,1.0802146302366848e-36,2.384541998160677e-50,1.9870189790989945e-15,1.0587440593895284e-17,8.159781460669988e-27,3.354722487280928e-29,1.7846270727602707e-25,3.401296687404093e-20,3.8430937810187504e-21
1.5450759628430216e-10,0.7122255767673203,3.76,0.0,0.6109116584840493,0.9999999988793155,4.154130760999875e-18,2.3126873860754682e-30,1.1463254455215903e-20,1.3415445496820211e-09,1.1206629535558917e-09,7.303940826413297e-16,1.9894080743649382e-14,2.207941377019505e-10,3.7593716796952574e-14,9.685189167963392e-16,1.9583144547315415e-14,1.5661179535829107e-16,1.0432087351723187e-21,1.9429169529681037e-23,3.980257002107299e-22,3.0168558750966066e-23,3.954263676556222e-21,4.806391951266602e-16,2.325524755322493e-33,3.206854242046931e-32,7.367376715786771e-36,2.4848268591502725e-49,2.8622440106930922e-15,2.186803507071725e-17,2.5488760948207283e-26,1.0143690769418723e-28,5.314126499442479e-25,9.88474550469803e-20,1.454076955516034e-20
2.4958920639797725e-10,0.7122255767853427,3.76,0.0,0.6109116576584458,0.9999999981896428,1.785824747267862e-17,9.949744695846242e-30,2.9737816858085385e-20,2.167143373610183e-09,1.8103015103856692e-09,1.895993211883342e-15,5.1719487588957857e-14,3.566144800444009e-10,9.48901329248773e-14,2.519347758323709e-15,5.0407540287912765e-14,4.0605083594131e-16,2.8344665250829635e-21,8.355592881967647e-23,1.668002145774816e-21,1.2967998252421907e-22,1.6883890249780966e-20,1.2496559582301612e-15,1.586188802418932e-32,2.3257082789015587e-31,9.552754708368977e-35,5.666397023474991e-48,4.598162699453862e-15,5.641345636024006e-17,1.1854060928981377e-25,4.417074594516634e-28,2.239716976865653e-24,3.95842040837859e-19,8.825462629901857e-20
4.397524266253275e-10,0.7122255768213871,3.76,0.0,0.6109116560071591,0.99999999681025,1.0054179706631027e-16,5.608024040919676e-29,9.174873444347416e-20,3.818416387875481e-09,3.1895779929104466e-09,5.857336636045592e-15,1.602726534313859e-13,6.281336727663943e-10,2.878112439202846e-13,7.816381760587166e-15,1.5507119790304315e-13,1.2513188270853615e-15,9.56273255344681e-21,4.707844245303357e-22,9.204972640337002e-21,7.299529307620086e-22,9.371424631430957e-20,3.87329268580464e-15,1.4465704576555955e-31,2.3811895590260543e-30,1.8803114114978997e-33,2.1706697422489042e-46,8.012782576430764e-15,1.7206108896440197e-16,7.661545422449382e-25,2.546742978497838e-27,1.2102826064189603e-23,1.941722256413654e-18,7.447039619314582e-19
6.299156468526777e-10,0.7122255768574312,3.76,0.0,0.6109116543557664,0.999999995430794,2.8636541449672587e-16,1.5997779464850778e-28,1.8743520134797727e-19,5.469789919127077e-09,4.5688536308529666e-09,1.1979679305237392e-14,3.2867277635506925e-13,8.994909507068063e-10,5.851276304762418e-13,1.604539826139919e-14,3.1703544901175977e-13,2.55378866772608e-15,2.0989491119792883e-20,1.3416520933230595e-21,2.6027834197836355e-20,2.0787752582820465e-21,2.642107856290972e-19,7.944340620088619e-15,5.06542045267734e-31,9.177387271954712e-30,9.265480860741088e-33,1.4075961729671603e-45,1.1352274972139979e-14,3.480274713513599e-16,2.372332428528233e-24,7.367511284084459e-27,3.347299654787076e-23,5.024166750438812e-18,2.5485853185988385e-18
8.20078867080028e-10,0.7122255768934748,3.76,0.0,0.6109116527042677,0.9999999940512752,6.164586237398098e-16,3.4498883770420594e-28,3.164178894835472e-19,7.121264006965607e-09,5.948128419925871e-09,2.024560826688703e-14,5.568878993413727e-13,1.1706864179859893e-09,9.867799833065406e-13,2.7213061530199292e-14,5.362268641396455e-13,4.307021889967797e-15,3.78187093078064e-20,2.8897218567268732e-21,5.580323645997481e-20,4.474384148853086e-21,5.633436583769744e-19,1.3462715792610704e-14,1.2537412209593125e-30,2.478128395369885e-29,3.0075817851098725e-32,5.78681814841616e-45,1.4618240849996726e-14,5.819064906526806e-16,5.4712774869419376e-24,1.607643840554782e-26,7.010115643409964e-23,9.916047008900624e-18,6.228044269150176e-18
9.999999999999999e-10,0.7122255769295182,3.76,0.0,0.6109116511416199,0.9999999927459984,1.1007205978804768e-15,6.170656806680166e-28,4.687510282427274e-19,8.68388321745475e-09,7.253115435654246e-09,3.002341087557169e-14,8.278504389812025e-13,1.4271265714380868e-09,1.4628012805201974e-12,4.0491000603974763e-14,7.962297911090444e-13,6.374781480152042e-15,5.93844727442806e-20,5.1624083660281e-21,9.939011829666878e-20,7.988253142985222e-21,9.968429353137135e-19,2.0016293204935045e-14,2.4761271546706268e-30,5.280435026570312e-29,7.434966681936671e-32,1.753649296882378e-44,1.7642103263568953e-14,8.542810074652273e-16,1.0350873321245379e-23,2.904908344700393e-26,1.219770270269148e-22,1.6365133574939417e-17,1.2198066560652095e-17
