Time (s),Volume (m^3),N2,Ne,CH4(1),O2(2),H2O(3),C(4),CH(5),CH3(18),HO2(12),CH3O2(36),OH(8),H(6),H2(9),CH2O(19),O(7),CH3O(26),C2H5(31),C2H4(29),C2H6(30),HCO(16),CO(14),H2O2(13),C2H4(92),C2H3(28),C2H2(22),C2H(21),CH2(S)(24),CH2(T)(17),C1OO1(207),C2H5O(49),CH2O2(59),CHO2(121),CO2(15),HCCO(20)
1.7365266830345944e-13,0.6624808409279995,3.76,0.0,0.845075140959415,0.999999999999815,3.271203646062431e-28,4.797745761480088e-42,5.685969902801612e-29,1.9433209648003475e-13,1.84977577649809e-13,2.5141181121041706e-22,8.237511880566662e-22,9.354514994320101e-15,4.820451951493467e-20,1.1099749039460902e-22,8.037175613403157e-21,1.2288378317523207e-23,1.6143994037544297e-29,2.593687275447309e-34,1.1573727803733511e-30,1.0769991155490261e-33,1.889061122390978e-31,5.878137554417413e-23,4.338110519212684e-48,5.011948073996753e-47,9.246657167059084e-54,1.9714275499738696e-71,4.651381101705465e-20,5.652549396300569e-25,1.0062620435927317e-36,1.0635542619665353e-39,3.058895168576762e-35,5.221419061396962e-30,2.2000163141460263e-31,3.609906930322079e-59
3.4745620773489754e-13,0.6624808409280004,3.76,0.0,0.8450751409592205,0.9999999999996299,2.6189512517684377e-27,3.8410657762630197e-41,2.2758531642149037e-28,3.888330333275244e-13,3.7011586572276027e-13,1.0063002484154616e-21,3.2971505757846062e-21,1.871715225114429e-14,9.983383481584417e-20,4.442794531778767e-22,1.7532663849614063e-20,4.918531769257962e-23,6.462552772999981e-29,2.076522634055817e-33,4.734159325609888e-30,8.622537348984597e-33,1.5123643807861083e-30,2.352786891874258e-22,6.944678222808157e-47,8.028235967493251e-46,2.9624253480951046e-52,1.2637154627116319e-69,9.306659630734912e-20,2.262439481641936e-24,8.061450160207752e-36,8.515331544580168e-39,2.4488310706903644e-34,4.179320342938855e-29,1.770289089115687e-30,1.1565580138890975e-57
6.950632865977737e-13,0.6624808409280027,3.76,0.0,0.8450751409588315,0.9999999999992596,2.095955837604426e-26,3.073943063964985e-40,9.106244224924291e-28,7.778349152792603e-13,7.4039244217997e-13,4.0264941987028665e-21,1.3192889566261884e-20,3.744241166480799e-14,2.1324560910510264e-19,1.777698304388297e-21,4.0879510594964404e-20,1.9680357693724918e-22,2.5864614213325672e-28,1.661842332895209e-32,1.9756284690509173e-29,6.900643735999225e-32,1.2102980899885115e-29,9.414212080301333e-22,1.110975565210817e-45,1.2852339391691811e-44,9.485248893090404e-51,8.09415994079813e-68,1.8616785311115638e-19,9.052277782655733e-24,6.459988182338933e-35,6.815542301550556e-38,1.9595770437192307e-33,3.3431432439215044e-28,1.4310661954628376e-29,3.703023420345e-56
1e-12,0.6624808409280071,3.76,0.0,0.8450751409584902,0.9999999999989349,8.532681499785644e-26,1.251356012531233e-39,2.109099519040864e-27,1.1190850440547793e-12,1.0652158687739016e-12,9.325917902241574e-21,3.055673407507611e-20,5.3869032989159264e-14,3.305491358229724e-19,4.117428833951204e-21,6.90027280485531e-20,4.558211587022663e-22,5.992742822210023e-28,6.765353931781482e-32,4.86135467739879e-29,2.809264846551708e-31,4.926781841581806e-29,2.180476190332361e-21,8.413281452757942e-45,9.743545705248221e-44,1.384945481762836e-49,2.3184982076556345e-66,2.678329352636673e-19,2.0964968094755038e-23,2.6357560104545593e-34,2.7751080752664173e-37,7.975859331199796e-33,1.3598921793786347e-27,5.926122545985893e-29,5.40632897662857e-55
1.3902774443235261e-12,0.6624808409280071,3.76,0.0,0.8450751409580535,0.9999999999985191,1.6770813318089035e-25,2.4594983778737527e-39,3.6429843456584626e-27,1.555838712209883e-12,1.4809455963396102e-12,1.610845817536535e-20,5.2780089153978306e-20,7.489287009230865e-14,4.806816669531267e-19,7.111965114268033e-21,1.049966144897167e-19,7.873283711931738e-22,1.03523188960417e-27,1.3297153404748013e-31,8.554691032493135e-29,5.521552702497336e-31,9.68337465803456e-29,3.76629774154514e-21,1.7759238020806018e-44,2.0569032287451408e-43,3.0360887323231658e-49,5.18226579028918e-66,3.72353113228962e-19,3.6211588543146756e-23,5.182374104222494e-34,5.45457174203062e-37,1.5675880916956387e-32,2.6724920947288302e-27,1.167918220547774e-28,1.1851756890393948e-54
2.780705759775031e-12,0.662480840928016,3.76,0.0,0.8450751409564975,0.9999999999970379,1.3417895984778637e-24,1.9675885526896736e-38,1.4572272900271287e-26,3.1118464381807243e-12,2.9620519096397017e-12,6.443795263627194e-20,2.1113706072957232e-19,1.4979354534889952e-13,1.1780032958870955e-18,2.845029039824919e-20,3.0292389839770303e-19,3.1494570977224476e-21,4.145096134841315e-27,1.0638556449005413e-30,3.9429099844436732e-28,4.4176444073645104e-30,7.7460771364989905e-28,1.5066416228731498e-20,2.835390588042123e-43,3.291326903175116e-42,9.716335397869205e-48,3.317240966529768e-64,7.446546324414352e-19,1.448308095096246e-22,4.1677212942802074e-33,4.365834555517677e-36,1.2535957753128791e-31,2.1341577341401768e-26,9.708826377815312e-28,3.792140547368412e-53
5.5615623906780406e-12,0.6624808409280336,3.76,0.0,0.8450751409533854,0.9999999999940757,1.0734780622938133e-23,1.5738304665065302e-37,5.82846606691633e-26,6.223862418568728e-12,5.924264556162572e-12,2.5775330557589547e-19,8.445787812615774e-19,2.995939294756107e-13,3.222440416016182e-18,1.138067094233052e-19,9.77546246763012e-19,1.2597439456757546e-20,1.6611713525817147e-26,8.510967156831937e-30,1.993849392349323e-27,3.5342558170115366e-29,6.194983595382839e-27,6.026811037843015e-20,4.5165827315994286e-42,5.265895723325065e-41,3.1090798586264613e-46,2.123159060387015e-62,1.4889817702234845e-18,5.791282234873253e-22,3.3685680405957576e-32,3.4956504300084225e-35,1.001975160592571e-30,1.700976890355776e-25,8.347604167576212e-27,1.2129346806441042e-51
1e-11,0.6624808409280691,3.76,0.0,0.8450751409484184,0.9999999999893477,7.070288040464435e-23,1.0361841535264487e-36,1.9778449263446439e-25,1.1190854713591417e-11,1.0652158848831728e-11,8.74800522729713e-19,2.866617547960907e-18,5.386825157211318e-13,8.559706304761889e-18,3.862849064235386e-19,2.944125764246355e-18,4.275206683331216e-20,5.657865796195219e-26,5.60529616648856e-29,9.427339918261917e-27,2.3277640475101174e-28,4.077486918156804e-26,2.0456002747291426e-19,5.807286211443041e-41,6.8288362654549556e-40,8.021458953587404e-45,1.3293214175463227e-60,2.6760987991766715e-18,1.9642638483453936e-21,2.262243704122579e-31,2.3059597109189245e-34,6.587307677089585e-30,1.1122005890900205e-24,6.230788440212597e-26,3.1180864208881726e-50
1.112327565248406e-11,0.6624808409280691,3.76,0.0,0.8450751409471614,0.9999999999881513,8.587955119281744e-23,1.2585903184022068e-36,2.3308898006110604e-25,1.2447896493193507e-11,1.1848689928894586e-11,1.0309622572117287e-18,3.3783532340144585e-18,5.991908322405244e-13,9.910456580280039e-18,4.552434345056478e-19,3.4418258752095808e-18,5.038357181846111e-20,6.669345500111843e-26,6.808484531449846e-29,1.1308600770772612e-26,2.8274277858824e-28,4.952631438901351e-26,2.410772913366825e-19,7.162683537340303e-41,8.423802983352358e-40,9.972838004425466e-45,1.660371571497008e-60,2.9765332701877528e-18,2.3148126810074917e-21,2.7495188258704157e-31,2.8010822496488846e-34,8.000838423501734e-30,1.3506271127710515e-24,7.596410182002637e-26,3.8765119876625564e-50
2.22467021760961e-11,0.6624808409281399,3.76,0.0,0.8450751409347134,0.9999999999763024,6.8703284758368645e-22,1.0060786447817843e-35,9.31930437444784e-25,2.489597309834599e-11,2.3697540993067937e-11,4.1233155535374e-18,1.3513305402389797e-17,1.198369176275354e-12,3.368278841228579e-17,1.8210509192751833e-18,1.2830235349760744e-17,2.0147867028023056e-19,2.6873869946202397e-25,5.446132511602293e-28,7.189951575362853e-26,2.2618987031892695e-27,3.9566037868557584e-25,9.643185355481735e-19,1.1260767915921531e-39,1.3472144828731902e-38,3.1900331323209206e-43,1.0648253204485918e-58,5.947231773498342e-18,9.245388369017339e-21,2.2864514179612655e-30,2.248047976997e-33,6.376604469017719e-29,1.0645350375422554e-23,7.514592129859574e-25,1.2375792906851297e-48
4.4493555223320176e-11,0.6624808409282815,3.76,0.0,0.8450751409098172,0.9999999999526047,5.496107944622544e-21,8.035811989551144e-35,3.7242655013177575e-24,4.9792160136323685e-11,4.739524439596564e-11,1.6488744478619113e-17,5.4051536500207456e-17,2.3966640220379707e-12,1.2281050467415395e-16,7.284709612878482e-18,4.944413933017681e-17,8.054578112588629e-19,1.0906601174978305e-24,4.35578520599112e-27,5.009186905106255e-25,1.809417102387479e-26,3.1564517686641964e-24,3.857290246414085e-18,1.7409983299053076e-38,2.15358467071825e-37,1.0198036898018097e-41,6.804134322133011e-57,1.187106348050153e-17,3.687044500287912e-20,1.966322591434985e-29,1.80977999019464e-32,5.063012840500583e-28,8.2704339918342e-23,8.21458055135429e-24,3.941663556515655e-47
8.898726131776833e-11,0.6624808409285649,3.76,0.0,0.8450751408600246,0.999999999905209,4.3965994863384755e-20,6.408161537188909e-34,1.4869370696236597e-23,9.9584669555433e-11,9.47906562976752e-11,6.591836139691892e-17,2.161910151091044e-16,4.793006373727064e-12,4.673809862506923e-16,2.914265769299046e-17,1.9400176445096753e-16,3.218157593159913e-18,4.488289470139275e-24,3.482819670838919e-26,3.710251244182523e-24,1.4473578050134832e-25,2.5110960080900014e-23,1.5429172103804924e-17,2.609297746092764e-37,3.439424385788542e-36,3.256875887069171e-40,4.3407087733509205e-55,2.3648884655946726e-17,1.4659744531841972e-19,1.787028626708303e-28,1.4655890258914348e-31,3.990167465793333e-27,6.251614175936652e-22,9.811976559075577e-23,1.2495251454234644e-45
9.999999999999999e-11,0.6624808409288481,3.76,0.0,0.8450751408477003,0.999999999893478,6.419874956804633e-20,9.349184806508937e-34,1.8999713579064943e-23,1.1190896064184406e-10,1.0652160406356886e-10,8.426007813192706e-17,2.763840725579053e-16,5.386069322699589e-12,5.938271820967122e-16,3.725884024610177e-17,2.4743197398057605e-16,4.112922583944329e-18,5.791359260030224e-24,5.085178109274414e-26,5.456230612267776e-24,2.1133857726972974e-25,3.6610551235342066e-23,1.9725441276373805e-17,4.268912695925815e-37,5.82474723781391e-36,6.221613886662555e-40,8.783442319563598e-55,2.6546856303266822e-17,1.8709782103646134e-19,2.694758789901053e-28,2.149388102947302e-31,5.802336403004151e-27,8.988749704598068e-22,1.556259415346434e-22,2.3833363623728626e-45
1.334809674122165e-10,0.6624808409288481,3.76,0.0,0.8450751408102318,0.9999999998578133,1.257104425694526e-19,1.8290494237336223e-33,3.1556796739893504e-23,1.4937731435013195e-10,1.4218607329300754e-10,1.4002263075471134e-16,4.593832204571083e-16,7.189101414978235e-12,9.782493576042355e-16,6.193368738569216e-17,4.0987068752010566e-16,6.833190299583482e-18,9.752956681893481e-24,9.956673947680842e-26,1.0764363313135503e-23,4.1382463750491e-25,7.157164926964743e-23,3.278697413495065e-17,9.314479984454976e-37,1.3076614278401234e-35,1.5235020925031632e-39,2.229025668917191e-54,3.5357280039371474e-17,3.102272077153701e-19,5.454443268928735e-28,4.228276495382295e-31,1.1311698867953833e-26,1.7310198899228582e-21,3.3045642270141635e-22,5.830353267217444e-45
1.7797467350666465e-10,0.6624808409291314,3.76,0.0,0.8450751407604389,0.9999999998104174,2.6515043032123275e-19,3.85194050584538e-33,5.376848850342376e-23,1.9917009455283095e-10,1.895814953796715e-10,2.3877746953374196e-16,7.836178625646924e-16,9.58494917519437e-12,1.6553984614503347e-15,1.0566024474403006e-16,6.97032393074998e-16,1.1648152184872112e-17,1.699793568422669e-23,2.099857439174341e-25,2.3156760650723733e-23,8.72819975753406e-25,1.505268880991914e-22,5.593067807773012e-17,2.2994055786384903e-36,3.5043636590500513e-35,4.7421985696847125e-39,8.986742229551827e-54,4.6996663572955056e-17,5.271901818860782e-19,1.2154348422808843e-27,8.998488754089313e-31,2.3674637982177445e-26,3.547774028606896e-21,7.877883201152056e-22,1.8719546338886155e-44
2.6696208569556094e-10,0.6624808409296981,3.76,0.0,0.8450751406608525,0.9999999997156255,7.24165565115799e-19,1.0495238018076696e-32,1.111012084455956e-22,2.987559728529472e-10,2.843723514949311e-10,4.940659102020987e-16,1.6222568670697192e-15,1.4376064433395969e-11,3.3998941532940675e-15,2.1878594211044132e-16,1.4386181787976486e-15,2.4086801441002343e-17,3.658745923092498e-23,5.73471451701418e-25,6.632289445057854e-23,2.3836876730104223e-24,4.0915096906061127e-22,1.1579718748863278e-16,7.69456838177338e-36,1.4049189730085495e-34,2.3298878316864354e-38,7.36251979715381e-53,7.01147383982277e-17,1.0845369200530849e-18,3.609145748461431e-27,2.4999936958188157e-30,6.38324143498774e-26,9.246136011073537e-21,2.5381925805503802e-21,1.0183977503666376e-43
3.5594949788445724e-10,0.6624808409302644,3.76,0.0,0.8450751405612658,0.9999999996208329,1.5151175155249333e-18,2.191245528615797e-32,1.8859949048860403e-22,3.9834234936543006e-10,3.791632263137924e-10,8.398035682523202e-16,2.7588323398878175e-15,1.9166270595321256e-11,5.755720905860705e-15,3.7214572422885743e-16,2.442219197462974e-15,4.091812549237348e-17,6.460091794245603e-23,1.1998598397579401e-24,1.4396037839704328e-22,4.9869993517982665e-24,8.52413918629154e-22,1.969403713560823e-16,1.8550362877049024e-35,3.787288505317492e-34,7.289312194376492e-38,2.8444376158831967e-52,9.298243477123872e-17,1.8333431837166656e-18,8.078631939097066e-27,5.316040223654652e-30,1.320366223578398e-25,1.856499779533572e-20,5.985640357871299e-21,3.2455402349197718e-43
4.4493691007335355e-10,0.662480840930831,3.76,0.0,0.8450751404616782,0.9999999995260399,2.7580668420050712e-18,3.98040951817549e-32,2.875843632206916e-22,4.979292598929455e-10,4.739541211569176e-10,1.2822906553316948e-15,4.214556671554912e-15,2.395550292208568e-11,8.76643058616993e-15,5.686296955576869e-16,3.726427146565981e-15,6.243992813809166e-17,1.0241882064283535e-22,2.1843088486663983e-24,2.687731772400426e-22,9.077766072341978e-24,1.5450310957084257e-21,3.008798702026039e-16,3.7984646139558304e-35,8.476518904394187e-34,1.8693682399040952e-37,8.815482221086552e-52,1.155845800064395e-16,2.7835785826743355e-18,1.5662805565221225e-26,9.83945468487945e-30,2.375870711409603e-25,3.2432072603330103e-20,1.2065905117032486e-20,8.415623091290833e-43
6.229117344511462e-10,0.6624808409319639,3.76,0.0,0.845075140262501,0.9999999993364527,7.28105002504546e-18,1.0445648091149771e-31,5.505630854325323e-22,6.971047179974024e-10,6.635359720700632e-10,2.4625064488230113e-15,8.103032776180436e-15,3.3530986231177866e-11,1.6792858062396913e-14,1.0937883784136262e-15,7.153452325998759e-15,1.197421424571664e-16,2.132347869719547e-22,5.767367973266348e-24,7.307214121252226e-22,2.3961647730637394e-23,4.031312870009284e-21,5.78578917631505e-16,1.253660036133312e-34,3.2652875096009474e-33,1.045646866475016e-36,7.238228221025277e-51,1.59993557973545e-16,5.276516524814401e-18,4.785258587691855e-26,2.708841111154594e-29,6.0800331626146985e-25,7.718827752507365e-20,3.890964706222704e-20,4.5924036413686416e-42
8.008865588289388e-10,0.6624808409330968,3.76,0.0,0.845075140063321,0.9999999991468635,1.5093452334188688e-17,2.1537150872470717e-31,8.990364397497248e-22,8.962823482694533e-10,8.531179040813966e-10,4.0332622892132674e-15,1.3286703001903202e-14,4.3102517245120076e-11,2.747738261406426e-14,1.7943400875566117e-15,1.1718305782813209e-14,1.9585628014163166e-16,3.753393459864934e-22,1.1957333801863523e-23,1.535262117185035e-21,4.9666621131713156e-23,8.269033115259912e-21,9.488640401269497e-16,2.999326632688341e-34,8.650042751933556e-33,3.461628265558229e-36,2.9601731378689495e-50,2.033637530669381e-16,8.533741483508789e-18,1.10773141328149e-25,5.812728981846388e-29,1.2255605479443948e-24,1.4613507071300093e-19,9.199254254259593e-20,1.4911291378925931e-41
9.999999999999999e-10,0.6624808409353623,3.76,0.0,0.8450751398404804,0.9999999989347541,2.960934741925227e-17,4.190630520163483e-31,1.3879742883864385e-21,1.1191194960423508e-09,1.0652171605341183e-09,6.250295272236531e-15,2.0619576135675817e-14,5.3806208583298566e-11,4.257867571080079e-14,2.786256857060835e-15,1.8171312656666145e-14,3.029997091693479e-16,6.322935833258246e-22,2.3461819239819284e-23,3.0362538177322606e-21,9.741691007567287e-23,1.5968887085362245e-20,1.4728454935498034e-15,6.765880053042811e-34,2.217672251873178e-32,1.214223166189368e-35,1.423223629611436e-49,2.507033831605879e-16,1.301787913678487e-17,2.4795300074968024e-25,1.1926323043377905e-28,2.3082176923860045e-24,2.546258156152347e-19,2.0520188519994938e-19,5.001810580006426e-41
1.156836207584524e-09,0.6624808409353623,3.76,0.0,0.8450751396649526,0.9999999987676796,4.533737379324159e-17,6.386913927802435e-31,1.846761444597812e-21,1.2946441349740765e-09,1.2322820106093137e-09,8.338396695865041e-15,2.7535680670735078e-14,6.22337337406914e-11,5.6813947389317955e-14,3.722331984511805e-15,2.4254923342915587e-14,4.037428520985032e-16,8.90896382171784e-22,3.592839171551743e-23,4.665318636450472e-21,1.4914958459866638e-22,2.4233776395951116e-20,1.9671474479788714e-15,1.1081096576895855e-33,3.8409455733769335e-32,2.3424207592580967e-35,2.9631652407877294e-49,2.87112842415174e-16,1.7174497772023006e-17,4.0566242048171896e-25,1.8705499569672117e-28,3.4522706976943954e-24,3.6339395031267406e-19,3.3439111855117287e-19,9.518978479472984e-41
1.8687355050956945e-09,0.6624808409398929,3.76,0.0,0.8450751388681829,0.9999999980092894,1.9478543129020969e-16,2.6669850542470494e-30,4.710310737476863e-21,2.091393880104328e-09,1.9906111888340126e-09,2.1553397584951797e-14,7.153821744282441e-14,1.004488469544045e-10,1.4732061043613406e-13,9.690765424318957e-15,6.291663609353539e-14,1.037323140627674e-15,2.928653412564557e-21,1.544979562002482e-22,2.0178488282261756e-20,6.404358961233894e-22,9.867942012689392e-20,5.114519487556788e-15,5.9246907730449586e-33,2.7362339244091806e-31,2.9788605801963584e-34,6.250992112573263e-48,4.433904576231194e-16,4.199262861822832e-17,2.284215393557082e-24,9.008107959761306e-28,1.2953464097010371e-23,1.1082934558933504e-18,1.732263536722798e-18,1.0725091513074467e-39
2.580634802606865e-09,0.6624808409444223,3.76,0.0,0.8450751380713689,0.9999999972508694,5.030848329687428e-16,6.740515268271275e-30,8.819956857317129e-21,2.888178608848087e-09,2.7489416475474652e-09,4.0842969023319525e-14,1.36184523846896e-13,1.386009491102872e-10,2.8022384071967905e-13,1.8482138907757996e-14,1.196446978781127e-13,1.9550696323573646e-15,6.627823812000153e-21,3.9938508314964187e-22,5.2218624905294906e-20,1.6533671168914584e-21,2.445252523603914e-19,9.74290525400707e-15,1.6848205406846388e-32,9.308814177355473e-31,1.300144904469597e-33,3.5257857476076707e-47,5.8563136890711315e-16,7.568460087682668e-17,6.761233346875261e-24,2.4928645023961867e-27,3.014923733651532e-23,2.2375918124312684e-18,4.7996065329084876e-18,4.4592867506887004e-39
3.2925341001180354e-09,0.6624808409489505,3.76,0.0,0.8450751372745108,0.9999999964924194,1.0261404343799838e-15,1.3475954339012798e-29,1.4115572979897224e-20,3.684998442808138e-09,3.50727337785955e-09,6.611753324783302e-14,2.2143435072849412e-13,1.7669015347823795e-10,4.554569754637013e-13,3.010510952161926e-14,1.9436754478689438e-13,3.148476736334822e-15,1.2432857942911672e-20,8.154611801117337e-22,1.066150096021055e-19,3.3709736487180078e-21,4.798973778693621e-19,1.5852229609338557e-14,3.646292911796029e-32,2.331155628286655e-30,3.913014808716572e-33,1.3178369382847656e-46,7.150447080012069e-16,1.1674772730900449e-16,1.5099878904027685e-23,5.361630647781067e-27,5.588206273569388e-23,3.699900790265845e-18,1.010795293194837e-17,1.2920948037154898e-38
