Time (s),Volume (m^3),N2,Ne,CH4(1),O2(2),H2O(3),C(4),CH(5),CH3(18),HO2(12),CH3O2(36),OH(8),H(6),H2(9),CH2O(19),O(7),CH3O(26),C2H5(31)
2.5411870718348226e-08,0.6242410275882393,3.76,0.0,0.8476201349194543,0.9999999921761973,4.277168977711676e-14,9.944385781756832e-29,2.8938676958595574e-20,7.992440391752997e-09,7.821025856631249e-09,1.314901783657314e-12,1.4139257673420007e-12,1.6703406286342182e-10,2.479134015441682e-12,3.689108956621186e-13,1.0739504442171007e-12,2.4540497887602487e-14,2.5325524021616627e-19
2.9382034584514447e-08,0.6242410275911539,3.76,0.0,0.8476201336700407,0.9999999909533372,6.585950591722986e-14,1.5482574116098965e-28,3.868710588523759e-20,9.241308932945384e-09,9.042984232440806e-09,1.7272418574783082e-12,1.8834458566852548e-12,1.9244431985999642e-10,3.306410140601953e-12,4.943663557935813e-13,1.4270444628715752e-12,3.1628646883351464e-14,3.910437790212443e-19
3.335219845068067e-08,0.6242410275940615,3.76,0.0,0.8476201324204995,0.9999999897303452,9.601076528193743e-14,2.2818468007518593e-28,4.984843855640183e-20,1.0490238640496486e-08,1.0264957971908746e-08,2.187074251846537e-12,2.4180797303513492e-12,2.1767341295679045e-10,4.250207431128885e-12,6.384338450765477e-13,1.827619364126977e-12,3.931668574222119e-14,5.71644507179603e-19
3.732236231684689e-08,0.6242410275969626,3.76,0.0,0.8476201311708298,0.9999999885072238,1.341293028821733e-13,3.222356407187413e-28,6.242274547760327e-20,1.1739232719207231e-08,1.1486946893002496e-08,2.6918031841365032e-12,3.01710068447501e-12,2.427227763953433e-10,5.309701157507643e-12,8.01186733145515e-13,2.2747884661566207e-12,4.753255575970909e-14,8.008015312066204e-19
4.1292526183013114e-08,0.6242410275998574,3.76,0.0,0.847620129921031,0.9999999872839765,1.8111887639553846e-13,4.397772191910985e-28,7.641010106942815e-20,1.2988294262232083e-08,1.2708950813173909e-08,3.2389384580291056e-12,3.67977750715878e-12,2.675938404943234e-10,6.484064303640136e-12,9.826907255798542e-13,2.767667751168092e-12,5.6211912013125513e-14,1.084316053552971e-18
4.5262690049179335e-08,0.6242410276027464,3.76,0.0,0.8476201286711025,0.9999999860606058,2.3786528044221974e-13,5.836704400083175e-28,9.181058304687445e-20,1.4237426172340667e-08,1.3930969552772915e-08,3.826160459579669e-12,4.4053876743462235e-12,2.922880048772108e-10,7.772483033690346e-12,1.1830026214246922e-12,3.3053938710440856e-12,6.529935036018033e-14,1.427950042076066e-18
4.9232853915345557e-08,0.6242410276056294,3.76,0.0,0.8476201274210438,0.9999999848371146,3.0525189359747264e-13,7.568317079122837e-28,1.0862427169132581e-19,1.5486631269189403e-08,1.5153002932219108e-08,4.451226577530162e-12,5.1932072484083125e-12,3.1680666396372994e-10,9.174143857266779e-12,1.4021746094628106e-12,3.887107636740998e-12,7.474410875878039e-14,1.8374936722014505e-18
5.320301778151178e-08,0.6242410276085071,3.76,0.0,0.847620126170854,0.9999999836135055,3.8414903873588855e-13,9.622673010643263e-28,1.268512514636566e-19,1.6735912190757256e-08,1.637505077371085e-08,5.112058247329044e-12,6.042516249837749e-12,3.411511905240955e-10,1.0688241393372892e-11,1.640250655764132e-12,4.511965994479685e-12,8.450369610843986e-14,2.318740969929327e-18
5.7173181647678e-08,0.6242410276113796,3.76,0.0,0.8476201249205331,0.9999999823897808,4.754144135624375e-13,1.2030583334875553e-27,1.4649161017035625e-19,1.7985271421973632e-08,1.7597112901227887e-08,5.806713784723398e-12,6.95259923868989e-12,3.653229378229828e-10,1.2313978369221676e-11,1.897268639101155e-12,5.17914100260465e-12,9.454174665137498e-14,2.877481916466988e-18
6.511350938001044e-08,0.6242410276171098,3.76,0.0,0.847620122419495,0.9999999799419949,6.984361827604368e-13,1.8033065070995694e-27,1.900128267893106e-19,2.0484234258842884e-08,2.004127931629451e-08,7.290166175311188e-12,8.952241183466233e-12,4.1315344652314976e-10,1.5897209006963367e-11,2.4682662055386727e-12,6.637181693878559e-12,1.1532362944778598e-13,4.250605342438079e-18
7.225980433910964e-08,0.6242410276222513,3.76,0.0,0.8476201201681064,0.9999999777386154,9.498646656032895e-13,2.4965669400680543e-27,2.340166081790606e-19,2.273359136598868e-08,2.224107620872404e-08,8.723412337575097e-12,1.0952657451374862e-11,4.5562330321542185e-10,1.9496045750565463e-11,3.0472529084758928e-12,8.086065906547973e-12,1.3468794932197007e-13,5.809533311670972e-18
7.940609929820885e-08,0.6242410276273791,3.76,0.0,0.847620117916284,0.9999999755348952,1.2542676719043397e-12,3.355030351961163e-27,2.826012131023479e-19,2.498323598936668e-08,2.444091670958225e-08,1.0240333734727178e-11,1.3139009434344866e-11,4.975537991892871e-10,2.344446421503465e-11,3.688044122580891e-12,9.659696083254298e-12,1.5454665655312526e-13,7.709613674466605e-18
8.655239425730805e-08,0.6242410276324942,3.76,0.0,0.8476201156640256,0.9999999733308458,1.6162991288436876e-12,4.3988434382273456e-27,3.357672381217903e-19,2.7233178926519198e-08,2.6640799838984472e-08,1.183284816509612e-11,1.5507249282122532e-11,5.389523647523123e-10,2.773802687524866e-11,4.390749981284413e-12,1.135365108488844e-11,1.7479941897379534e-13,9.984655423093548e-18
9.369868921640725e-08,0.6242410276375977,3.76,0.0,0.8476201134113285,0.9999999711264775,2.0405115608257225e-12,5.6487686476887214e-27,3.9351530073631865e-19,2.9483430066717253e-08,2.884072463039539e-08,1.3493651786278927e-11,1.8053367999795038e-11,5.79826309760661e-10,3.2372356838643e-11,5.155460499041039e-12,1.3163624822774127e-11,1.9536626717655616e-13,1.2668484238944295e-17
9.999999999999998e-08,0.6242410276426903,3.76,0.0,0.8476201114246262,0.9999999691824982,2.469701369060235e-12,6.938911776399007e-27,4.482370808483053e-19,3.14678724643339e-08,3.078056219158745e-08,1.5009466945769717e-11,2.0442841188480684e-11,6.154377784608183e-10,3.6737988778447534e-11,5.881250828877442e-12,1.4852494461373775e-11,2.137110463803253e-13,1.540108450664608e-17
1.0084498417550645e-07,0.6242410276426903,3.76,0.0,0.84762011115819,0.9999999689217994,2.5313559005556233e-12,7.126172691312631e-27,4.558460378366562e-19,3.1733998456138886e-08,3.104069013060882e-08,1.521615498437099e-11,2.0773396902740497e-11,6.201828274431397e-10,3.734313773369284e-11,5.982249199411429e-12,1.5085424878906596e-11,2.161839487662424e-13,1.579494047169801e-17
1.0799127913460566e-07,0.6242410276477728,3.76,0.0,0.8476201089046079,0.9999999667168203,3.0931827243042695e-12,8.853009447743507e-27,5.22760104001492e-19,3.3984892372203166e-08,3.324069539951593e-08,1.6994410723362958e-11,2.3663408401335996e-11,6.600289996764889e-10,4.264611264005327e-11,6.871176609961387e-12,1.7114969544564865e-11,2.372024141171868e-13,1.9397879490911815e-17
1.2228386905280405e-07,0.6242410276579103,3.76,0.0,0.8476201043961042,0.9999999623059904,4.4466920968754035e-12,1.3145640520497697e-26,6.703409218022073e-19,3.848768641893968e-08,3.764082154708973e-08,2.0697251353415766e-11,2.993787778575684e-11,7.382181034833758e-10,5.4231907760485265e-11,8.835639156310134e-12,2.1481502655431003e-11,2.7969295073851035e-13,2.816870791941589e-17
1.3657645897100245e-07,0.624241027668015,3.76,0.0,0.8476200998858007,0.9999999578940468,6.133885729545385e-12,1.8713440817345654e-26,8.3626328990408695e-19,4.299186541776982e-08,4.204109580560691e-08,2.4565181890320998e-11,3.684620105400365e-11,8.144482067027504e-10,6.709683644355122e-11,1.1049164431538603e-11,2.6232677790389077e-11,3.2260892145521726e-13,3.9252142256603204e-17
1.5086904888920086e-07,0.6242410276780913,3.76,0.0,0.8476200953736832,0.9999999534810399,8.186082177088231e-12,2.575159224311268e-26,1.0205329396033263e-18,4.749747402546995e-08,4.644151110361815e-08,2.8567910213617522e-11,4.435850202841177e-11,8.887723492368844e-10,8.120888224832927e-11,1.3511993819950549e-11,3.13395459750101e-11,3.6579859036577724e-13,5.291963120328746e-17
1.6516163880739926e-07,0.6242410276881426,3.76,0.0,0.8476200908597393,0.9999999490670153,1.0633105712569343e-11,3.446326412704765e-26,1.2231557687268632e-18,5.2004549512068984e-08,5.084206056078208e-08,3.2680747502904185e-11,5.244562016659632e-11,9.612420805317785e-10,9.653689549974389e-11,1.622431143318225e-11,3.677468592662065e-11,4.0916946868293875e-13,6.944290356489346e-17
1.7945422872559767e-07,0.6242410276981719,3.76,0.0,0.8476200863439577,0.9999999446520118,1.3503320444564198e-11,4.5059233452639154e-26,1.4441378185868756e-18,5.65131226565641e-08,5.52427374831153e-08,3.6883780784297176e-11,6.107912236051654e-11,1.0319075058503456e-09,1.1305057169796435e-10,1.9186254493047718e-11,4.251213926067753e-11,4.526776624307376e-13,8.909397176737077e-17
