Time (s),Volume (m^3),N2,Ne,CH4(1),O2(2),H2O(3),C(4),CH(5),CH3(18),HO2(12),CH3O2(36),OH(8),H(6),H2(9),CH2O(19)
2.973574413838981e-13,0.8756565971509207,3.76,0.0,0.6347290428356575,0.9999999999376357,6.582635094868351e-25,5.004617460227885e-33,8.590775376700249e-22,1.4373697752384306e-10,6.236429858435483e-11,8.411819470813488e-20,6.742792189503176e-19,8.137252068069345e-11,7.950988458237651e-17,6.742797698804555e-19
5.947151348410363e-13,0.875656597164129,3.76,0.0,0.6347290426919201,0.9999999998752713,5.266110279379218e-24,4.004801683137272e-32,3.43631394853936e-21,2.874742343447152e-10,1.247286457890197e-10,3.3646653763860994e-19,2.6971176556871223e-18,1.627449555206243e-10,3.1803948126024457e-16,2.6971220631303694e-18
8.920728282981746e-13,0.8756565971773373,3.76,0.0,0.6347290425481827,0.999999999812907,1.5057784312605086e-23,1.145333745282955e-31,7.302170875353532e-21,4.3121160925261005e-10,1.8709298980872563e-10,7.149820454368183e-19,5.731374810821398e-18,2.4411727424485616e-10,6.758336432607809e-16,5.731387319438576e-18
1e-12,0.8756565971905454,3.76,0.0,0.6347290424960127,0.9999999997902717,2.1120365913075974e-23,1.6066470463590237e-31,9.173009594137639e-21,4.833817108769378e-10,2.0972837833050538e-10,8.981571154120416e-19,7.199768964312771e-18,2.736516427039367e-10,8.489839667478883e-16,7.199786444714328e-18
1.1894305217553128e-12,0.8756565971905454,3.76,0.0,0.6347290424044453,0.9999999997505427,3.176122657543256e-23,2.4163302608597463e-31,1.2456649376697792e-20,5.749491022473627e-10,2.4945733064347e-10,1.2196604822735087e-18,9.777050164702249e-18,3.2548947685356117e-10,1.1528922004490517e-15,9.777076371430032e-18
1.784145908669589e-12,0.8756565972169618,3.76,0.0,0.63472904211697,0.999999999625814,8.674974853101236e-23,6.602722503312467e-31,2.5789925603327683e-20,8.624243653789803e-10,3.7418600483804074e-10,2.5251008869783563e-18,2.0242136155911596e-17,4.882336095554726e-10,2.386915020706742e-15,2.0242206782679575e-17
2.3788612955838654e-12,0.8756565972433781,3.76,0.0,0.6347290418294943,0.9999999995010853,1.8150946514824416e-22,1.3820751081385647e-30,4.3861931748987096e-20,1.1499000627567173e-09,4.989146673203501e-10,4.2944521932879895e-18,3.4426563888045847e-17,6.50977315260608e-10,4.059514145305114e-15,3.442671013840211e-17
2.973576682498142e-12,0.8756565972697944,3.76,0.0,0.6347290415420181,0.9999999993763566,3.304309910456124e-22,2.5170720268732925e-30,6.701115559788629e-20,1.4373762253970499e-09,6.236433172537905e-10,6.5608225844748e-18,5.259599721980848e-17,8.137205634703484e-10,6.202015315931136e-15,5.2596261499974763e-17
4.163007456326694e-12,0.8756565973226272,3.76,0.0,0.6347290409670643,0.9999999991268993,8.724348228844366e-22,6.652711534489033e-30,1.2886022566681912e-19,2.01232997568311e-09,8.731005786857005e-10,1.261564863784274e-17,1.0114017207875901e-16,1.1392056586742406e-09,1.1926232604103415e-14,1.011408635133161e-16
5.352438230155247e-12,0.8756565973754601,3.76,0.0,0.6347290403921088,0.999999998877442,1.808774963806169e-21,1.3805440477281098e-29,2.1133067471596554e-19,2.587285615630504e-09,1.1225577891497423e-09,2.068870533505914e-17,1.6586951447873613e-16,1.4646888957642193e-09,1.9558953995712358e-14,1.658709416839609e-16
7.731299777812353e-12,0.8756565974811253,3.76,0.0,0.6347290392421915,0.9999999983785276,5.434839315669824e-21,4.156635043222275e-29,4.381273659587232e-19,3.737202563658127e-09,1.6214720571948532e-09,4.288726195877262e-17,3.4387670719010273e-16,2.1156497964426003e-09,4.0549048349023104e-14,3.438809781291984e-16
1e-11,0.8756565976924564,3.76,0.0,0.6347290381455181,0.9999999979027171,1.2209234999096137e-20,9.362429080503745e-29,7.312554920329245e-19,4.8338757123738375e-09,2.097282202651976e-09,7.15730109152631e-17,5.739441958882326e-16,2.7364588018060284e-09,6.767781077188568e-14,5.739537741646239e-16
1.2489022873126564e-11,0.8756565976924564,3.76,0.0,0.6347290369423343,0.999999997380699,2.3366061429100177e-20,1.794700854487495e-28,1.139144234762811e-18,6.037059131717261e-09,2.619299981752485e-09,1.1148498174659985e-16,8.940825055517968e-16,3.417549304332325e-09,1.0542730363522223e-13,8.941008214044476e-16
2.2004469063754987e-11,0.8756565981151186,3.76,0.0,0.6347290323425283,0.9999999953850435,1.315763466410845e-19,1.0192774598873994e-27,3.530881913310515e-18,1.0636862952270842e-08,4.61495338471326e-09,3.454095320740096e-16,2.771244439706805e-15,6.021259149930691e-09,3.2677240820371277e-13,2.7713474650056976e-15
4.1035361445011833e-11,0.8756565989604452,3.76,0.0,0.6347290231425502,0.9999999913937387,8.737051381351648e-19,6.883049576161912e-27,1.227331426670296e-17,1.983683330820411e-08,8.606250405672432e-09,1.1995972459435034e-15,9.632495801937268e-15,1.1228322184263559e-08,1.1357934007202561e-12,9.63317967135412e-15
7.909714620752551e-11,0.875656600651104,3.76,0.0,0.6347290047411295,0.9999999834111545,6.35135629581323e-18,5.170106758582911e-26,4.5595156948163774e-17,3.823822469790486e-08,1.6588805304936147e-08,4.4487199429380235e-15,3.578213338168129e-14,2.1641021814523768e-08,4.2189716614203644e-12,3.57871042823082e-14
9.999999999999999e-11,0.8756566023417708,3.76,0.0,0.6347289946345663,0.9999999790272758,1.267446606911927e-17,1.0491787093521566e-25,7.287811867365431e-17,4.834476357743386e-08,2.0972659974677526e-08,7.104424358368105e-15,5.719126406603639e-14,2.7358681904054723e-08,6.743103757377659e-12,5.720118371133445e-14
1.171589309700392e-10,0.8756566023417708,3.76,0.0,0.6347289863377559,0.9999999754286037,1.9621547871141603e-17,1.6375958907440746e-25,1.0003448109115218e-16,5.664155008871155e-08,2.457130801030822e-08,9.746176695497583e-15,7.850054073048588e-14,3.20518197728081e-08,9.255421943249886e-12,7.851589747438556e-14
1.552207157325529e-10,0.8756566040324456,3.76,0.0,0.63472896793243,0.9999999674460865,4.413236358896624e-17,3.773561945872677e-25,1.7559339727108084e-16,7.504680915089644e-08,3.2553758516640325e-08,1.7083614311392058e-14,1.3778667899051515e-13,4.246071640264046e-08,1.6244804752499197e-11,1.378212192770449e-13
1.932825004950666e-10,0.8756566057231288,3.76,0.0,0.6347289495251522,0.9999999594636029,8.344835790726423e-17,7.307793779631391e-25,2.722740879395321e-16,9.3454001543674e-08,4.053615681860899e-08,2.6452430877861526e-14,2.136394745026433e-13,5.2867712059036186e-08,2.518676924160442e-11,2.1370478623949824e-13
2.6940607002009395e-10,0.8756566091045187,3.76,0.0,0.6347289127047423,0.9999999434987367,2.1971200416855866e-16,2.0161275518179635e-24,5.290088844177513e-16,1.3027418505763774e-07,5.650079678971993e-08,5.125250009080366e-14,4.150410554335449e-13,7.36760017674538e-08,4.8927142775540984e-11,4.152130198676756e-13
3.4552963954512133e-10,0.875656612485941,3.76,0.0,0.6347288758765285,0.9999999275340049,4.569988012628131e-16,4.380495143460739e-24,8.702563713647333e-16,1.671020978979829e-07,7.246522788095663e-08,8.407801084648424e-14,6.826966687655346e-13,9.447669174418545e-08,8.047372984017401e-11,6.830543629624606e-13
4.216532090701487e-10,0.8756566158673954,3.76,0.0,0.6347288390405138,0.9999999115694078,8.254011432038063e-16,8.249396643515916e-24,1.2960349681685657e-15,2.0393773718825327e-07,8.842945004739783e-08,1.2485754617884205e-13,1.0165972404275248e-12,1.152697849846077e-07,1.198235702304339e-10,1.017243302379786e-12
4.97776778595176e-10,0.875656619248882,3.76,0.0,0.6347288021967011,0.9999998956049452,1.3547534158336147e-15,1.410375369044015e-23,1.8063629316379575e-15,2.407811000768219e-07,1.0439346324452326e-07,1.735210247275053e-13,1.4167337670205676e-12,1.3605528445751768e-07,1.669737300071919e-10,1.4177941968522152e-12
6.500239176452308e-10,0.875656626011952,3.76,0.0,0.6347287284856934,0.9999998636764248,3.0107477383700997e-15,3.403719550596122e-23,3.0807369543214252e-15,3.1449098571154365e-07,1.3632086256017033e-07,2.942359735043297e-13,2.415680097329164e-12,1.7760351348252207e-07,2.846637596214241e-10,2.4180368999317123e-12
7.77118485115968e-10,0.8756566316578026,3.76,0.0,0.634728666928532,0.9999998370231913,5.1415952009078115e-15,6.188659367391307e-23,4.403732369079295e-15,3.760469830059949e-07,1.6297293309419478e-07,4.185707843750721e-13,3.452417391938731e-12,2.122643713845717e-07,4.0678024673431156e-10,3.4564424203662157e-12
9.042130525867052e-10,0.8756566373037428,3.76,0.0,0.6347286053496702,0.9999998103703345,8.097064837550618e-15,1.0333206591893789e-22,5.962639491730019e-15,4.376244739397336e-07,1.896244205646706e-07,5.640222048124041e-13,4.673674047689169e-12,2.469040990044115e-07,5.506032193464755e-10,4.680013047559802e-12
9.999999999999999e-10,0.8756566429497735,3.76,0.0,0.6347285589253987,0.9999997902832123,1.0951109678636272e-14,1.4571331251383528e-22,7.293485758532174e-15,4.840475763978048e-07,2.0971037461549117e-07,6.874166795011722e-13,5.716007613603382e-12,2.7299695371775415e-07,6.7333430723614e-10,5.7245813041427925e-12
