Time (s),Volume (m^3),N2,Ne,CH4(1),O2(2),H2O(3),C(4),CH(5),CH3(18),HO2(12),CH3O2(36),OH(8),H(6),H2(9),CH2O(19),O(7),CH3O(26),C2H5(31),C2H4(29),C2H6(30),HCO(16)
1.0022299083741946e-12,0.8351122447365306,3.76,0.0,0.6851668096500457,0.9999999999059642,3.057944385597322e-22,8.663082685333544e-33,8.220139305599139e-22,1.720502285008607e-10,9.403546137690782e-11,4.26196982443039e-19,9.640387856762129e-17,7.80142388924631e-11,2.1846938965336728e-16,2.0939223324344928e-18,5.087950967297426e-16,4.952718262535777e-19,1.820559790585289e-26,1.2913232604559715e-26,2.533144277537862e-26,7.22520067491674e-27
1.5033452873620621e-12,0.8351122447425129,3.76,0.0,0.6851668095640203,0.9999999998589463,8.743815950430703e-22,2.4775146448913904e-32,1.7467688514370354e-21,2.580755503128741e-10,1.4105322895949567e-10,9.05652760213771e-19,2.048581346497861e-16,1.1702119886188064e-10,4.64247083670722e-16,4.449617556946124e-18,8.22443067179177e-16,1.0524242306869324e-18,5.404752803874868e-26,3.6924059654629437e-26,7.520281515543543e-26,2.0659578411359662e-26
2.0044606663499297e-12,0.8351122447484954,3.76,0.0,0.685166809477995,0.9999999998119283,1.8443249421765798e-21,5.22676360629484e-32,2.979764829751736e-21,3.4410095290719784e-10,1.8807099476408014e-10,1.5449119725882018e-18,3.4946365642156743e-16,1.5602804330562064e-10,7.919502098421879e-16,7.590574146089289e-18,1.1716408427319072e-15,1.7952670590791047e-18,1.1776603645460147e-25,7.788412048945439e-26,1.6386314633830225e-25,4.3577069390804765e-26
3.006691424325665e-12,0.8351122447604604,3.76,0.0,0.685166809305944,0.9999999997178921,5.037428309723695e-21,1.428182811577505e-31,6.1691638705449394e-21,5.161519476869371e-10,2.8210652220036767e-10,3.1984568708942876e-18,7.235192526303418e-16,2.340414610625411e-10,1.639629683104175e-15,1.5715490539891792e-17,1.9534689075403273e-15,3.716716934491059e-18,3.418353059495606e-25,2.1272868951384104e-25,4.756450288911477e-25,1.190226552430694e-25
4.0089221823014e-12,0.8351122447724253,3.76,0.0,0.6851668091338927,0.9999999996238559,1.0539991098888833e-20,2.9893593499106367e-31,1.049203288930982e-20,6.882032395319234e-10,3.761420430982594e-10,5.439595999050991e-18,1.230515264507692e-15,3.120544539933753e-10,2.788576174487641e-15,2.672820784015836e-17,2.866024403933053e-15,6.320910019280306e-18,7.475489763456475e-25,4.451055841794835e-25,1.0401835357758234e-24,2.4903549824576897e-25
5.0111529402771355e-12,0.8351122447843904,3.76,0.0,0.6851668089618411,0.9999999995298195,1.9187653272130512e-20,5.444117310728728e-31,1.6029299970978532e-20,8.602548496610085e-10,4.701775569906924e-10,8.310252103789875e-18,1.8799468870464668e-15,3.900669917558434e-10,4.260307135194015e-15,4.0835089902234025e-17,3.9186434922010405e-15,9.656527777906502e-18,1.4024910125341413e-24,8.1030919263026255e-25,1.9515286388577864e-24,4.533601311454205e-25
7.015614456228606e-12,0.8351122448083202,3.76,0.0,0.6851668086177368,0.9999999993417463,5.06609989311717e-20,1.4387771029523527e-30,3.082307896416052e-20,1.2043590447635839e-09,6.582485633189067e-10,1.5979330765177474e-17,3.615060220584376e-15,5.460906732011909e-10,8.192386920024308e-15,7.852633156671599e-17,6.452860169070825e-15,1.8567399045845983e-17,3.8373700667476156e-24,2.1395377170197362e-24,5.339756350820232e-24,1.1970078861356862e-24
1e-11,0.8351122448561802,3.76,0.0,0.6851668081054074,0.9999999990617285,1.483428336942019e-19,4.219881997974017e-30,6.198015262777756e-20,1.7166883536489922e-09,9.382620644114583e-10,3.212969075317054e-17,7.269531433848366e-15,7.783864567681512e-10,1.6474060201993296e-14,1.5791597271863501e-16,1.1279216613937725e-14,3.733146256226036e-17,1.1496759849115333e-23,6.265353128604498e-24,1.5998816854914772e-23,3.5050464850606705e-24
1.1024537488131546e-11,0.8351122448561802,3.76,0.0,0.6851668079295244,0.9999999989655983,1.9589709413498148e-19,5.574505951960759e-30,7.519531064163502e-20,1.892571310493599e-09,1.034390490672321e-09,3.897952707353326e-17,8.819593383454729e-15,8.581324939733128e-10,1.9986769236186728e-14,1.9159043135448955e-16,1.3226654288107384e-14,4.528957428238595e-17,1.5239118633265276e-23,8.273965276401784e-24,2.120690201239884e-23,4.628667939330485e-24
1.5033460520034485e-11,0.8351122449040398,3.76,0.0,0.6851668072413069,0.9999999985894481,4.861656086614093e-19,1.3857085645403056e-29,1.3929560146710433e-19,2.5807887480279164e-09,1.4105323041887843e-09,7.22020258781952e-17,1.6338494550120785e-14,1.1701669190287866e-09,3.702586893090804e-14,3.549447294889589e-16,2.227613828516042e-14,8.388468931034708e-17,3.815139930951874e-23,2.0535312876461114e-23,5.309473076294931e-23,1.1487256226191277e-23
2.3051306583840366e-11,0.8351122449997596,3.76,0.0,0.6851668058648557,0.999999997837141,1.7657391876930747e-18,5.051848315771161e-29,3.2664912050801026e-19,3.957239133796057e-09,2.1628155898002067e-09,1.6928570482593424e-16,3.831709228523495e-14,1.7942135896371378e-09,8.6832840293865e-14,8.325147611897679e-16,4.719952263553278e-14,1.966492350336902e-16,1.3944455342665688e-22,7.459655352461797e-23,1.9408838301968961e-22,4.1722325947080723e-23
3.908699871145213e-11,0.8351122451911993,3.76,0.0,0.6851668031118906,0.9999999963325001,8.823474139225817e-18,2.5441408845021027e-28,9.378775606517986e-19,6.71020194684865e-09,3.6673807952724213e-09,4.858834741203765e-16,1.1003561035550803e-13,3.0422182205239166e-09,2.4935670124012334e-13,2.3913241750674993e-15,1.243396584091389e-13,5.642558550314049e-16,6.988821098788854e-22,3.7290181897352475e-22,9.730297732896411e-22,2.0849853318140383e-22
7.115838296667565e-11,0.8351122455740793,3.76,0.0,0.6851667976057088,0.9999999933231116,5.4694968660685926e-17,1.6015742452457589e-27,3.105705492554393e-18,1.2216375732666953e-08,6.676505742603755e-09,1.6078055695547975e-15,3.645047027380624e-13,5.537872697317959e-09,8.26006377222074e-13,7.925461809558537e-15,3.877604217101091e-13,1.866017360950338e-15,4.3352742287893895e-21,2.3133292664107252e-21,6.0394245842181745e-21,1.2925719844000432e-21
9.999999999999999e-11,0.8351122459569604,3.76,0.0,0.6851667926537438,0.999999990616664,1.4740084857009113e-16,4.365108977553633e-27,6.130923511657822e-18,1.7168329689207026e-08,9.382588806999612e-09,3.1721540986831345e-15,7.197650653977094e-13,7.781796920933282e-09,1.6310419758798518e-12,1.5656016498599747e-14,7.488951107889474e-13,3.679861843511556e-15,1.1682527356259082e-20,6.237490468203809e-21,1.6281126803782622e-20,3.483670669505673e-21
1.0322976722189918e-10,0.8351122459569604,3.76,0.0,0.6851667920991916,0.999999990313581,1.608160545150763e-16,4.7660862782844064e-27,6.533119812046155e-18,1.7722880395310082e-08,9.685623404202545e-09,3.3800814733440473e-15,7.670017634120697e-13,8.033054192945101e-09,1.738081798893201e-12,1.6684067185697647e-14,7.966613434401266e-13,3.920903278990965e-15,1.274567872459459e-20,6.805412297759057e-21,1.776324185419362e-20,3.800743510089375e-21
1.353011514771227e-10,0.8351122463398424,3.76,0.0,0.6851667865923389,0.9999999873039083,3.522126621677436e-16,1.0562022744622433e-26,1.121885101624599e-17,2.3229715930627488e-08,1.2694733778795377e-08,5.800922964095945e-15,1.3175060349101509e-12,1.0527762799233733e-08,2.985521897079589e-12,2.867054257729682e-14,1.3509857302451719e-12,6.7257451679450065e-15,2.790906631407215e-20,1.4912543064577887e-20,3.891122119454343e-20,8.324812962509167e-21
1.6737253573234623e-10,0.8351122467227254,3.76,0.0,0.6851667810851506,0.9999999842940934,6.5475169574949855e-16,1.986585408593528e-26,1.716158958793155e-17,2.8736882334715544e-08,1.570383686505742e-08,8.868487139683445e-15,2.0159962331346377e-12,1.3021998610515474e-08,4.5682639544539165e-12,4.388839572402755e-14,2.050675166315796e-12,1.0277281762362373e-14,5.186850764881923e-20,2.773594853846885e-20,7.234394169927654e-20,1.5476627917747815e-20
2.3151530424279327e-10,0.8351122474884947,3.76,0.0,0.6851667700697676,0.9999999782740379,1.689148039063105e-15,5.245717515969662e-26,3.281324315234614e-17,3.975220773527046e-08,2.1722021167665296e-08,1.693697958092754e-14,3.8568557367532705e-12,1.8009052196811903e-08,8.739422063667075e-12,8.403117142027966e-14,3.885932943194181e-12,1.96084239078179e-14,1.3373561769669054e-19,7.162606142288175e-20,1.8667314953915202e-19,3.9932605366699945e-20
2.9565807275324035e-10,0.8351122482542679,3.76,0.0,0.6851667590530428,0.9999999722534142,3.471405378150812e-15,1.102297390186291e-25,5.3477606535243255e-17,5.076885656676958e-08,2.7740176301377372e-08,2.757086977132598e-14,6.2894100712098225e-12,2.2994215706068685e-08,1.425105459315907e-11,1.3714029916942593e-13,6.301967011051249e-12,3.188841676638748e-14,2.7468435411618682e-19,1.4734396304906957e-19,3.837030898901914e-19,8.207741672485143e-20
3.598008412636874e-10,0.8351122490200451,3.76,0.0,0.685166748034976,0.9999999662322228,6.219818624793595e-15,2.0184045177219145e-25,7.914367540014316e-17,6.17868287974237e-08,3.375830225498331e-08,4.0754775231301826e-14,9.313480059616502e-12,2.7977489931630776e-08,2.1102633872448147e-11,2.0324493848438918e-13,9.298285355777752e-12,4.709019979868234e-14,4.918694092989765e-19,2.64259208660714e-19,6.876059437110638e-19,1.4708030190583544e-19
4.880863782845815e-10,0.8351122505516121,3.76,0.0,0.6851667259948171,0.999999954188138,1.5464238074265273e-14,5.255806273685673e-25,1.4543830989810733e-16,8.382674333190735e-08,4.579446657826506e-08,7.471353130119251e-14,1.713546942158358e-11,3.793837361378351e-08,3.882358144112369e-11,3.745521919752069e-13,1.7029862780817488e-11,8.615587552045519e-14,1.2212910346857768e-18,6.584632237243908e-19,1.710191270283904e-18,3.6579232792691254e-19
6.163719153054756e-10,0.8351122520831952,3.76,0.0,0.6851667039492912,0.9999999421417853,3.1112151056093315e-14,1.103733568729479e-24,2.316124127201695e-16,1.0587195109007621e-07,5.7830514050744123e-08,1.1869595844732858e-13,2.7321434920051084e-11,4.789170937640548e-08,6.189818237272106e-11,5.981738273652911e-13,2.70768605096509e-11,1.3660082649328276e-13,2.453850738402168e-18,1.3275819006980376e-18,3.441869895772422e-18,7.361417678258372e-19
8.729429893472638e-10,0.8351122551464112,3.76,0.0,0.68516665984214,0.9999999180422835,8.831782564785284e-14,3.4056263210490225e-24,4.632652647026176e-16,1.499782452748367e-07,8.190225809942406e-08,2.362754888753863e-13,5.477977614326548e-11,6.777576142681955e-08,1.2409216498302582e-10,1.2032126999144777e-12,5.4102049247692054e-11,2.708406744304434e-13,6.946528238855327e-18,3.785377243590338e-18,9.777319776559563e-18,2.090919529297823e-18
9.999999999999999e-10,0.8351122582096933,3.76,0.0,0.6851666379918139,0.9999999061045762,1.327422807523743e-13,5.3176395268351335e-24,6.070930096549691e-16,1.7182803811999212e-07,9.382269521966223e-08,3.0889818078236354e-13,7.187281466798373e-11,7.761142394651446e-08,1.6280357462888658e-10,1.5811421713612425e-12,7.089926172293504e-11,3.533979509186292e-13,1.0426613426634965e-17,5.7017382294237455e-18,1.47004381114005e-17,3.143563561223353e-18
1.129514063389052e-09,0.8351122582096933,3.76,0.0,0.685166615713525,0.9999998939337335,1.9125768432736205e-13,7.934166431001799e-24,7.734356643775096e-16,1.9410570932675472e-07,1.0597353371228784e-07,3.925872205142094e-13,9.167743793787943e-11,8.762969470155885e-08,2.0765217485247024e-10,2.0200479485902872e-12,9.034368233747293e-11,4.482527730084979e-13,1.5003595692096697e-17,8.232019841042344e-18,2.1187618366710404e-17,4.530533234590964e-18
1.3860851374308403e-09,0.8351122612730421,3.76,0.0,0.6851665715634491,0.9999998698161502,3.5333466714184733e-13,1.5664606856283446e-23,1.161463003058694e-15,2.3825434118434945e-07,1.300443402018375e-07,5.867459948920794e-13,1.3800334207202455e-10,1.0745355768153359e-07,3.1254586243798027e-10,3.0503113403451735e-12,1.3577167022397105e-10,6.673347577430686e-13,2.7646751688712974e-17,1.5270404786811614e-17,3.916834232448737e-17,8.374316779837617e-18
1.6426562114726285e-09,0.8351122643364579,3.76,0.0,0.6851665273919153,0.9999998456895492,5.879373060308744e-13,2.7725168275864745e-23,1.6266926149991687e-15,2.824241387478109e-07,1.541146768816446e-07,8.178877558552181e-13,1.937463939021365e-10,1.2724739872174917e-07,4.387409273815248e-10,4.295580132808367e-12,1.903559965395936e-10,9.26638793229521e-13,4.5885680424868287e-17,2.551238020327888e-17,6.521753418684821e-17,1.3941899834237926e-17
1.8992272855144167e-09,0.8351122673999415,3.76,0.0,0.6851664831989261,0.9999998215539456,9.084396087140769e-13,4.539388304067664e-23,2.1684756962164303e-15,3.266150998797123e-07,1.7818454306635094e-07,1.0851689280473252e-12,2.5889548270458404e-10,1.4701126605363437e-07,5.862051184877972e-10,5.757379370051019e-12,2.5406671786780673e-10,1.2247692752857019e-12,7.071827217678325e-17,3.957856821243881e-17,1.0083566751621044e-16,2.155317109697632e-17
2.412369433597993e-09,0.8351122735271128,3.76,0.0,0.6851663947485942,0.9999997732557918,1.860565050969679e-12,1.0335217858836444e-22,3.479134399371549e-15,4.150605041273325e-07,2.2632286121432991e-07,1.7248678595640946e-12,4.1736725868472334e-10,1.8644927193327451e-07,9.448121181225445e-10,9.336438224855148e-12,4.087479256107243e-10,1.932158317849352e-12,1.4410150049059584e-16,8.170603698661651e-17,2.067913708415195e-16,4.4187188842324013e-17
2.9255115816815694e-09,0.8351122796545597,3.76,0.0,0.6851663062124757,0.999999724921811,3.3163925073258508e-12,2.026365009582943e-22,5.088363519885469e-15,5.035905361060446e-07,2.7445928918512037e-07,2.499481886088828e-12,6.133294895029202e-10,2.2576795872595863e-07,1.3881098727736912e-09,1.3798724203428196e-11,5.995772306623436e-10,2.7793012332268972e-12,2.555509165013495e-16,1.4678567429099275e-16,3.690846464782806e-16,7.883899497091155e-17
3.438653729765146e-09,0.8351122857822856,3.76,0.0,0.6851662175905946,0.9999996765521233,5.38234787044374e-12,3.58577149968693e-22,6.991178076822129e-15,5.922051774316695e-07,3.2259382153609586e-07,3.4029462745647508e-12,8.466927668277033e-10,2.649677079172675e-07,1.9158422224135028e-09,1.9154756192098172e-11,8.263177671653069e-10,3.756714824045665e-12,4.1264230847294294e-16,2.400809976705073e-16,5.998003565633058e-16,1.2807305592409597e-16
3.951795877848723e-09,0.835112291910293,3.76,0.0,0.6851661288829741,0.9999996281468497,8.164602113942297e-12,5.886448389703992e-22,9.182681084609103e-15,6.809044091773259e-07,3.7072645284245265e-07,4.429474747391418e-12,1.1173674613300453e-09,3.040488991484685e-07,2.5277538256255645e-09,2.5414396868185245e-11,1.0887338501083946e-09,4.855572130266183e-12,6.227795578555871e-16,3.66981148254851e-16,9.110584846201754e-16,1.9445484629455873e-16
4.464938025932299e-09,0.8351122980385851,3.76,0.0,0.6851660400896386,0.9999995797061094,1.1769071918884843e-11,9.123846652508564e-22,1.1658061824097638e-14,7.696882118865116e-07,4.18857177697064e-07,5.5735460138043495e-12,1.42526372518502e-09,3.4301191027448785e-07,3.22359015236518e-09,3.2586900185326625e-11,1.3865909659700592e-09,6.067654952369217e-12,8.931994633655438e-16,5.329975394843169e-16,1.3150142015229678e-15,2.805502116932304e-16
4.978080174015875e-09,0.8351123041671646,3.76,0.0,0.6851659512106119,0.9999995312300218,1.6301419058802156e-11,1.3513635231885374e-21,1.4412594599646668e-14,8.585565655827701e-07,4.669859907104269e-07,6.829892742370599e-12,1.770291493655723e-09,3.8185711740723627e-07,4.003097480965594e-09,4.0680950372449413e-11,1.719655769176185e-09,7.385314859055837e-12,1.2309754861927793e-15,7.43761283242364e-16,1.8238580643080846e-15,3.889248297343932e-16
6.004364470183028e-09,0.8351123164251972,3.76,0.0,0.685165773195583,0.9999994341722768,2.8571111066797154e-11,2.67109464737742e-21,2.074063078598581e-14,1.036546843491175e-06,5.632378597433199e-07,9.659550050410161e-12,2.571380218203438e-09,4.59195615653766e-07,5.812114287771615e-09,5.966579172104873e-11,2.490480874969646e-09,1.0309408946843635e-11,2.1360956533924144e-15,1.3226376342434687e-15,3.2051494387668295e-15,6.8277081685745e-16
7.030648766350181e-09,0.83511232868441,3.76,0.0,0.6851655948380865,0.9999993369745546,4.5813839008161656e-11,4.758704153235495e-21,2.8130632595461057e-14,1.2148750730870385e-06,6.594820171757973e-07,1.2880974091204123e-11,3.5199088866211904e-09,5.360673694502471e-07,7.95279054291237e-09,8.242838653508053e-11,3.399365605349782e-09,1.357667594910518e-11,3.3916103264623957e-15,2.1509473233489876e-15,5.153165807582718e-15,1.0964963479280685e-15
8.056933062517334e-09,0.8351123409448222,3.76,0.0,0.6851654161383246,0.9999992396377867,6.886563370200469e-11,7.853821284630505e-21,3.654771294145846e-14,1.3935410769067528e-06,7.557184205209404e-07,1.6460070248225947e-11,4.615149475558158e-09,6.124753289862748e-07,1.0423125289395077e-08,1.090213283339351e-10,4.444484779367436e-09,1.7142810052651528e-11,5.04863122660013e-15,3.2777622456457535e-15,7.766706469695505e-15,1.6505733014913772e-15
9.083217358684487e-09,0.8351123532064504,3.76,0.0,0.6851652370965049,0.9999991421628948,9.855837863161269e-11,1.2223109518366457e-20,4.595820915858673e-14,1.5725446701524543e-06,8.519470275680275e-07,2.036581519908991e-11,5.856370791672946e-09,6.884224201661372e-07,1.3221130205058337e-08,1.3949126449237317e-10,5.624031413645623e-09,2.096945202179896e-11,7.156034653738254e-15,4.753802684009106e-15,1.1145135816861446e-14,2.365431404193925e-15
9.999999999999999e-09,0.83511236546931,3.76,0.0,0.6851650768688576,0.9999990549722421,1.3137404112628746e-10,1.7441390127486116e-20,5.5178194567890586e-14,1.7327344071965344e-06,9.37901685122256e-07,2.4107979887318008e-11,7.0880065672106606e-09,7.55878805900972e-07,1.59960772616777e-08,1.7002264881540857e-10,6.7899424108854485e-09,2.4580920689703297e-11,9.45762524634762e-15,6.410287602910324e-15,1.4891408626469577e-14,3.1566023033582744e-15
