Time (s),Volume (m^3),N2,Ne,CH4(1),O2(2),H2O(3),C(4),CH(5),CH3(18),HO2(12),CH3O2(36),OH(8),H(6),H2(9),CH2O(19),O(7),CH3O(26),C2H5(31),C2H4(29),C2H6(30),HCO(16),CO(14),H2O2(13),C2H4(92),C2H3(28),C2H2(22),C2H(21),CH2(S)(24),CH2(T)(17),C1OO1(207),C2H5O(49),CH2O2(59),CHO2(121),CO2(15),HCCO(20),CH2CO(27),C2H2O(171),C2H2O(603),CH3CO(33),CHO2(125),C#CC(199),C3H4(637),CHO3(309),CH2O2(77),C3H4(718),C2H3O(346),C2H2O(128),CH2OH(32),H2CC(23),C3H3(635),S(1002)
1.2293035031878731e-15,0.8656326564303383,3.76,0.0,0.5810925726966342,0.9999999999997671,2.021993443760681e-30,2.9985343830662967e-40,1.2535069693139649e-26,5.305504950764563e-13,2.33034129095412e-13,1.3049964511188025e-24,5.429940861219245e-22,2.975163632436051e-13,1.7831764661007402e-17,1.0325683003694968e-23,2.5954570316993235e-18,2.7363561871167942e-24,1.7307325152304168e-28,2.0524599473664257e-34,1.6990768813015677e-30,1.2255934356217812e-33,2.7546429514760438e-33,4.5441145508455414e-24,2.2982345114227047e-47,2.2681380284052678e-46,5.7970229286544e-54,1.0594522449972335e-69,1.7830658407274622e-17,1.2098700763049423e-24,2.0885132472212402e-38,9.418476293761926e-40,3.266056763477702e-37,6.779333820184636e-32,2.897105255788196e-33,9.881312851885778e-60,1.033314617303129e-56,1.796518688059809e-67,4.1739478506065386e-71,1.4940265337900983e-51,1.0363959982635387e-36,4.048821961719753e-72,1.1168626424000767e-73,2.3722958126386308e-61,2.36375201605169e-38,4.023965423214128e-78,9.049632766901133e-73,8.997328927912107e-62,1.4027027661098198e-33,8.44772817222723e-46,3.659453857603003e-71,2.951268866646684e-81
2.459140789920335e-15,0.8656326564303866,3.76,0.0,0.5810925726961034,0.9999999999995339,1.618209284247283e-29,2.3997410899279684e-39,5.0156604356000327e-26,1.0613313659849013e-12,4.661694453204645e-13,5.221685228159726e-24,2.1726836196665006e-21,5.951619097111144e-13,3.567348280752707e-17,4.1316183244782733e-23,5.193112268590326e-18,1.0948987707665864e-23,6.925193261583294e-28,1.6425918868131155e-33,6.799362606222614e-30,9.80847113773309e-33,2.2045513283563502e-32,1.8182377154463066e-23,3.678667156269714e-46,3.63092889922677e-45,1.8559650486585155e-52,6.7839357463133425e-68,3.5669056351654575e-17,4.841055591696784e-24,1.6714449369915066e-37,7.537645794409289e-39,2.613831590315292e-36,5.425519884754221e-31,2.3186330563501793e-32,3.163970535076424e-58,3.3091235748454195e-55,1.1506548581311585e-65,2.673333118203705e-69,2.392029015960226e-50,8.294312448640095e-36,2.593626090849065e-70,7.152444541040319e-72,7.596262727179297e-60,1.905071334068172e-37,5.1560910890639607e-76,5.796241255883373e-71,2.880923503108753e-60,1.1225883593043289e-32,1.3521867741795427e-44,2.3435361007032164e-69,3.779627098701988e-79
4.918815363385259e-15,0.865632656430483,3.76,0.0,0.5810925726950418,0.9999999999990676,1.294813285434932e-28,1.9201611054642432e-38,2.0065906063303983e-25,2.1228931143763754e-12,9.324400775496795e-13,2.0890137766042977e-23,8.692149186291759e-21,1.1904529930062737e-12,7.136355247121755e-17,1.6529164770416497e-22,1.0391637086652908e-17,4.3803069903256057e-23,2.7705353010148623e-27,1.314323158999431e-32,2.720861444752217e-29,7.84826527810514e-32,1.7639756477159017e-31,7.274134801300437e-23,5.887047176739842e-45,5.811012992730153e-44,5.94055685217786e-51,4.342827876808963e-66,7.134584376555933e-17,1.9367369533828313e-23,1.3374092562314231e-36,6.03126553563742e-38,2.0914520959037517e-35,4.3412281527767095e-30,1.855368126501327e-31,1.01278250796929e-56,1.059322469951063e-53,7.367003691615117e-64,1.711573159174527e-67,3.8299890532985436e-49,6.636701582981704e-35,1.66108975690041e-68,4.579002237354721e-70,2.4317025264407793e-58,1.5457126110172927e-36,6.603263529811922e-74,3.711024641630342e-69,9.221810369024653e-59,8.982409860714321e-32,2.163939165614345e-43,1.5003385929518575e-67,4.8384130462028124e-77
9.838164510315105e-15,0.865632656430676,3.76,0.0,0.5810925726929186,0.999999999998135,1.0359489721606142e-27,1.536280548921376e-37,8.027014327238456e-25,4.246016637457661e-12,1.86498134112455e-12,8.356732542914508e-23,3.477142600797132e-20,2.381035121037159e-12,1.4277022528034414e-16,6.6122049156280055e-22,2.0801544099050233e-17,1.7522645588330214e-22,1.1083099597194872e-26,1.051558437110158e-31,1.0889721230797456e-28,6.279205374765798e-31,1.411313929045752e-30,2.909890709815235e-22,9.420174191676037e-44,9.298841868947782e-43,1.901213159148554e-49,2.7797742545373125e-64,1.4269938469396493e-16,7.747574207910693e-23,1.070027965173349e-35,4.825476440100195e-37,1.6733040505233131e-34,3.4732929553966963e-29,1.484610492325707e-30,3.2414016440397316e-55,3.390477186488408e-52,4.715764835882669e-62,1.095608602961972e-65,6.134890834484726e-48,5.309851681565168e-34,1.0639927509415173e-66,2.9310082933037945e-68,7.783600050771978e-57,1.2708762276270162e-35,8.454394172289779e-72,2.375509986094727e-67,2.95144193593358e-57,7.186606013855711e-31,3.46265498274846e-42,9.603687599361013e-66,6.191456399043294e-75
1.9676862804174798e-14,0.8656326564310619,3.76,0.0,0.5810925726886722,0.99999999999627,8.287985015003925e-27,1.2290920769611388e-36,3.2109353089044245e-24,8.492263788813576e-12,3.730063864740051e-12,3.342826923218885e-22,1.3909135992732358e-19,4.7621992228612046e-12,2.8568970481870977e-16,2.6449903112871604e-21,4.1672787622132276e-17,7.009336739667882e-22,4.433465392823439e-26,8.412867788623699e-31,4.360377656537777e-28,5.023597959754658e-30,1.1291038105245703e-29,1.1640036310940002e-21,1.5072853110217118e-42,1.4879122295319442e-41,6.084257692342047e-48,1.7791842747781708e-62,2.8540633095329423e-16,3.099152499390256e-22,8.560613609954342e-35,3.860573810574968e-36,1.3386803977522255e-33,2.7787353449686627e-28,1.1880248749498692e-29,1.0373271462636137e-53,1.0850562557259061e-50,3.018349197799829e-60,7.012501785002093e-64,9.836437259203484e-47,4.248061060923864e-33,6.81908952472655e-65,1.8759712909394134e-66,2.4915534403459987e-55,1.0714529210406037e-34,1.0823036698175184e-69,1.5204672017846762e-65,9.445390986091557e-56,5.749551048400367e-30,5.54052988357186e-41,6.146845099613107e-64,7.918788882590386e-73
3.9354259391894184e-14,0.8656326564318337,3.76,0.0,0.5810925726801794,0.9999999999925397,6.630545057620756e-26,9.833118675148405e-36,1.2843993940084892e-23,1.6984758512298786e-11,7.460228897834094e-12,1.3371562821136206e-21,5.563767290482144e-19,9.524526809558485e-12,5.719531995209268e-16,1.0580182256733086e-20,8.362099260703591e-17,2.8037863727827893e-21,1.7734583636475549e-25,6.730455361083746e-30,1.7476361504296278e-27,4.018966052410346e-29,9.033029960317677e-29,4.6561091213782486e-21,2.4116561782315924e-41,2.3807370715140883e-40,1.947022306075949e-46,1.1387346650078261e-60,5.708196810830959e-16,1.239683589743595e-21,6.848627047013298e-34,3.088547384011793e-35,1.0709275108990091e-32,2.2229915514652565e-27,9.508906108824352e-29,3.3195662268963546e-52,3.472347638116955e-49,1.931797516850009e-58,4.488145332849609e-62,1.58030610281853e-45,3.398494399644258e-32,4.375807504606954e-63,1.2006401499075962e-64,7.977178578168481e-54,9.44707807009305e-34,1.3854373288793495e-67,9.731382422701752e-64,3.022672789722123e-54,4.599739292788243e-29,8.86507347574977e-40,3.934134028968889e-62,1.0118814363177774e-70
7.870905256733295e-14,0.8656326564333776,3.76,0.0,0.5810925726631939,0.9999999999850794,5.304498459307757e-25,7.866826167336388e-35,5.137642952442131e-23,3.396974964236268e-11,1.4920558907474328e-11,5.348666003682977e-21,2.225529313844423e-18,1.904917951515049e-11,1.1461783309875966e-15,4.2321205595172634e-20,1.6834027389652141e-16,1.1215216646446688e-20,7.094194628490347e-25,5.384430356544137e-29,7.018212817423781e-27,3.2151986652584187e-28,7.22648584192573e-28,1.862462488904431e-20,3.858501568122698e-40,3.8092396899503837e-39,6.23247340332456e-45,7.312281740694808e-59,1.141644211795834e-15,4.958763749828226e-21,5.478924412969545e-33,2.470891273121982e-34,8.566846189143005e-32,1.7783351666699147e-26,7.614385211055912e-28,1.0622748905710518e-50,1.2643228846884258e-47,1.3992223774313297e-56,3.2053724621143063e-60,2.5491171492611175e-44,2.7187716016180844e-31,2.815159820459631e-61,7.683865529370003e-63,2.555335170619575e-52,8.958080235078641e-33,2.554990419782244e-65,7.073090801118548e-62,9.673103408191844e-53,3.6798179464879833e-28,1.418429850857212e-38,2.517888302382799e-60,1.2907395795760288e-68
1.5741863891821052e-13,0.865632656436465,3.76,0.0,0.5810925726292228,0.9999999999701586,4.243623083496295e-24,6.2938788656783375e-34,2.0550621243635425e-22,6.793973863486403e-11,2.984121870056336e-11,2.1394664559095865e-20,8.902160601059547e-18,3.809847505512983e-11,2.301421158652223e-15,1.692860518476434e-19,3.410703182719687e-16,4.4860751304462416e-20,2.837923493661144e-24,4.307573296066722e-28,2.8293772092878134e-26,2.572154460153042e-27,5.781184754844759e-27,7.449887002765074e-20,6.173010140241689e-39,6.094826486959538e-38,1.9944245998963703e-43,4.6805208391402e-57,2.2832845951023514e-15,1.9834987466244344e-20,4.3830979125591234e-32,1.9767632117776833e-33,6.852436926222179e-31,1.422549900762183e-25,6.103014962868057e-27,3.399273018273734e-49,4.061199919293057e-46,9.003261202075621e-55,2.0613299325997143e-58,4.1445146901718076e-43,2.1749402955588818e-30,1.8203797186407216e-59,4.917239042659786e-61,8.193430375478572e-51,9.406755305354574e-32,3.278215894795569e-63,4.55202722032406e-60,3.0956081795628605e-51,2.9438443705581764e-27,2.269502367397644e-37,1.6114574823064046e-58,1.640778122193469e-66
3.148378116199656e-13,0.8656326564426403,3.76,0.0,0.5810925725612806,0.9999999999403172,3.394907154206194e-23,5.035726961303563e-33,8.220225329044914e-22,1.3587974354935868e-10,5.968253738197517e-11,8.557800968395609e-20,3.560871749721344e-17,7.619702665031415e-11,4.639077044765385e-15,6.771488768890385e-19,6.996963063509214e-16,1.7944071396491337e-19,1.1353572506502079e-23,3.446074374932676e-27,1.149416063568586e-25,2.0576980974131604e-26,4.624900367915002e-26,2.979961703570482e-19,9.874826978290502e-38,9.751739789850143e-37,6.382176476684761e-42,2.995984243698546e-55,4.566530649787567e-15,7.93388042988606e-20,3.5063804363172964e-31,1.581476791310935e-32,5.480237444551989e-30,1.1378406650979914e-24,4.900774784247919e-26,1.0877474395395531e-47,1.2997503188527615e-44,5.762330977264965e-53,1.3193384514101893e-56,6.842104885454746e-42,1.739813584089487e-29,1.1889296736960254e-57,3.1464298320355893e-59,2.63232350535936e-49,1.1108908359794537e-30,4.196141914608305e-61,2.913715386596006e-58,9.907164744339923e-50,2.355038556047178e-26,3.631215890273984e-36,1.0313289668191087e-56,2.0716535600987256e-64
6.296761570234759e-13,0.8656326564549903,3.76,0.0,0.5810925724253958,0.9999999998806341,2.715927535862441e-22,4.029561801059008e-32,3.2880590542414695e-21,2.7175986109629596e-10,1.1936517112573025e-10,3.4230554467399547e-19,1.424349273861632e-16,1.5239397190194022e-10,9.423069514997982e-15,2.708622530204441e-18,1.4696116569590048e-15,7.177417886637516e-19,4.5429144874253546e-23,2.756872409025014e-26,4.738968914529418e-25,1.6461104001083988e-25,3.6998279331957146e-25,1.1919856563375224e-18,1.579328608547046e-36,1.5602743234983907e-35,2.0422947994152594e-40,1.9179910677613521e-53,9.132883915830679e-15,3.173448424021902e-19,2.804934936147892e-30,1.2652817199098683e-31,4.3814334865553944e-29,9.099498243145612e-24,3.9499677823629423e-25,3.4806391339290934e-46,4.159268337253228e-43,3.686740346390965e-51,8.441884355448586e-55,1.1621981887066823e-40,1.391622870682914e-28,7.914833304512368e-56,2.01292863366906e-57,8.490066237345993e-48,1.4617755747454792e-29,5.370873804726575e-59,1.8645537265788875e-56,3.171049079784313e-48,1.8839633582446044e-25,5.809956442538639e-35,6.600407433080875e-55,2.5815227632665794e-62
9.44514502426986e-13,0.8656326564673402,3.76,0.0,0.5810925722895111,0.9999999998209511,7.765868114645208e-22,1.1523912008496345e-31,6.98707632020358e-21,4.076400863611618e-10,1.79047801250413e-10,7.273893772484622e-19,3.0267415228469253e-16,2.285907592151785e-10,1.4315742458131434e-14,5.755859659017722e-18,2.2921901591553385e-15,1.5251696046662539e-18,9.656223850296943e-23,7.883137044287929e-26,1.0308763012822366e-24,4.706765760279612e-25,1.0579043204114665e-24,2.532969677045798e-18,5.8121986090087534e-36,5.882808115246804e-35,9.429892329106231e-40,1.062302283408193e-52,1.3699098342939492e-14,6.743422141611149e-19,8.020078418776563e-30,3.6181641847444506e-31,1.252363081870301e-28,2.601356678722929e-23,1.1342620961091497e-24,1.6283012025349646e-45,1.8509471981297595e-42,1.985565387748327e-50,4.566460557608334e-54,4.412271372945577e-40,3.978795329835743e-28,4.538393914494432e-55,1.1224334773174637e-56,3.983190541083136e-47,5.120690041092651e-29,2.9903672691586625e-58,1.0032000089905921e-55,1.4835452068317744e-47,5.386844516079224e-25,2.1384879052253608e-34,3.6809416904238985e-54,1.6732748421837473e-61
1e-12,0.8656326564796905,3.76,0.0,0.5810925722655634,0.9999999998104327,9.284064427494755e-22,1.3777566218378784e-31,7.85626231348234e-21,4.3158694034514294e-10,1.8956596168567934e-10,8.17874634904219e-19,3.403271145518349e-16,2.4201926294095957e-10,1.5197155330446713e-14,6.471904803784095e-18,2.446438226458131e-15,1.7148935272860265e-18,1.0858213776566598e-22,9.424324415789427e-26,1.1661133222552958e-24,5.626889790428393e-25,1.264714711877132e-24,2.8480737988713617e-18,7.38555227067619e-36,7.585585052526054e-35,1.2817044664203586e-39,1.530238644802139e-52,1.4503800120560926e-14,7.582267798010602e-19,9.587872101718028e-30,4.325597825119609e-31,1.4970417072592596e-28,3.109731098006196e-23,1.3576293359648474e-24,2.267081321804011e-45,2.6316260211897644e-42,2.951126321796429e-50,6.777408931684497e-54,5.683620721378804e-40,4.75650492197562e-28,6.867360361428604e-55,1.670419413297613e-56,5.553322938064322e-47,6.438933884722367e-29,5.193836410139011e-58,1.4916025889162112e-55,2.0656496479457633e-47,6.439910128500186e-25,2.71746797498468e-34,5.478264685869445e-54,2.607140669409626e-61
