Time (s),Volume (m^3),N2,Ne,CH4(1),O2(2),H2O(3),C(4),CH(5),CH3(18),HO2(12),CH3O2(36),OH(8),H(6),H2(9),CH2O(19),O(7),CH3O(26),C2H5(31),C2H4(29),C2H6(30),HCO(16),CO(14),H2O2(13),C2H4(92),C2H3(28),C2H2(22),C2H(21),CH2(S)(24),CH2(T)(17),C1OO1(207),C2H5O(49),CH2O2(59),CHO2(121),CO2(15),HCCO(20),CH2CO(27),C2H2O(171),C2H2O(603),CH3CO(33),CHO2(125),C#CC(199),C3H4(637),CHO3(309),CH2O2(77),C3H4(718),C2H3O(346),C2H2O(128),CH2OH(32),H2CC(23),C3H3(635),S(1002),CH2O3(747),CO2(213),C2O3(1082),C3H5(202),C2O3(290),C3H5(167),C3H3(983),CHO2(209)
1e-12,0.5558150329637718,3.76,0.0,0.9224949717220423,0.9999999999999827,4.634791332155533e-29,6.033659015595233e-46,1.8166064256462336e-32,1.7484951269682728e-14,1.7437531408911524e-14,2.998813329235235e-22,2.772743748631994e-23,4.7420122141071725e-17,6.089261636958478e-23,1.9622550614418316e-23,1.8061846460089598e-23,9.515997674077638e-25,2.8429360106172144e-32,6.381732000932853e-37,8.638231599747199e-33,2.642509760352697e-33,7.317576653419255e-33,5.5561370136380156e-24,2.5057615759185223e-52,1.0013827877531244e-50,4.765909463631153e-56,3.723854830925392e-76,4.0955048939426935e-23,3.3886677753029956e-27,3.401805717500567e-38,1.5268442416479236e-42,1.3260580753341724e-36,2.068890102067851e-31,8.728377948849084e-33,1.7575714773994352e-63,1.4648764143180544e-58,2.8085153425910312e-70,4.810630308859215e-75,1.2035008182794585e-53,1.4300168209037517e-35,1.552534329222431e-77,4.927204839281612e-81,6.577039869394697e-64,2.080625345466972e-37,5.040697760131656e-79,3.234349948448388e-78,2.5861323391354746e-66,4.999861511348943e-32,2.7300423351428944e-50,4.908856813440582e-78,4.7880391484439804e-85,1.0172106574233775e-62,2.864247183848852e-47,3.5954170027500564e-88,4.3741463261657203e-79,1.438182815202279e-93,7.679606373637738e-78,1.5671411672408466e-89,1.938830352645167e-38
1.023e-12,0.5558150329637718,3.76,0.0,0.9224949717220419,0.9999999999999822,4.8244970368276395e-29,6.2806197765497224e-46,1.8799929169538098e-32,1.788731864643991e-14,1.7838807553403655e-14,3.1034511635284195e-22,2.8694933396247104e-23,4.851136352612178e-17,6.253071314143754e-23,2.030724222258398e-23,1.8585088711984864e-23,9.848039826421458e-25,2.942165665855007e-32,6.642941302596619e-37,8.95730562619194e-33,2.7506685762631932e-33,7.617087596411304e-33,5.750007841436973e-24,2.6159447543087046e-52,1.0454215064549634e-50,4.982770491639894e-56,3.8961524940493816e-76,4.1897462322112323e-23,3.506905573520713e-27,3.5411579776564807e-38,1.589346507745276e-42,1.380323617241699e-36,2.1535637277940163e-31,9.086308248611988e-33,1.8375487078908748e-63,1.531537430223208e-58,2.9384642023878236e-70,5.033210898752608e-75,1.2581957367388142e-53,1.4885474839975002e-35,1.6249237473726974e-77,5.155181123396409e-81,6.877668448349834e-64,2.167152846440426e-37,5.275726848151272e-79,3.384003257212699e-78,2.7038102959264385e-66,5.204509511517564e-32,2.850094326127823e-50,5.135985523433009e-78,5.0114069618648774e-85,1.0642774135270131e-62,2.9901836949220446e-47,3.763838977295772e-88,4.5782084251363804e-79,1.505283822295663e-93,8.037874401300879e-78,1.6402511691958653e-89,2.0181738440105467e-38
2.047e-12,0.5558150329637718,3.76,0.0,0.922494971722024,0.9999999999999644,3.864649795544405e-28,5.030602021299015e-45,7.528048992621748e-32,3.5801413570110326e-14,3.570431938447223e-14,1.2427711472262732e-21,1.1490846108480587e-22,9.709526880916792e-17,1.664740623680033e-22,8.132022556419974e-23,5.597104102276666e-23,3.9436069134193695e-24,1.1803160974402633e-31,5.321288051285319e-36,4.8065978088769653e-32,2.2030813472644054e-32,6.100738796555653e-32,2.3025861740587134e-23,4.184483778966495e-51,1.6759145243049805e-49,1.5968019364087873e-54,2.4981668236184767e-74,8.384842859829618e-23,1.4041086881272285e-26,2.867732096859026e-37,1.2751511126642753e-41,1.1026730068996976e-35,1.722994626060088e-30,7.462585285775777e-32,5.891314649473071e-62,4.9199834020069736e-57,1.8860367333637063e-68,3.221898655013924e-73,3.957609492947849e-52,1.1921040151870177e-34,2.0156098423747296e-75,3.3038241590383195e-79,2.794910278790915e-62,2.1106762702242302e-36,6.541448705787136e-77,2.174157989820064e-76,8.65795090203412e-65,4.168970327448895e-31,4.56647333821722e-49,3.2939201343467704e-76,6.4071034334991606e-83,6.83051057439155e-61,4.772305103634274e-46,9.637139635126866e-86,5.873045536981817e-77,1.973607060956695e-91,1.0311214921161645e-75,2.103854253661639e-87,1.6127136017473028e-37
4.095e-12,0.5558150329637719,3.76,0.0,0.9224949717219881,0.9999999999999286,3.0937346950424737e-27,4.0263507308034066e-44,3.012614405764922e-31,7.162960158182935e-14,7.143534307350207e-14,4.973845785632382e-21,4.598902945857803e-22,1.9426284341410348e-16,4.98410187992495e-22,3.2546364729067673e-22,1.8710379934461623e-22,1.5783013456650225e-23,4.740948029655506e-31,4.259770439200277e-35,2.899986694705234e-31,1.76307911690997e-31,4.882318696488148e-31,9.215511921187873e-23,6.677825242953188e-50,2.6838587497484344e-48,5.113330653486167e-53,1.6004406276404556e-72,1.6772270431837244e-22,5.617753914422938e-26,2.345049447719449e-36,1.0240018196094288e-40,8.778964586606011e-35,1.3759239706398822e-29,6.2675379016406685e-31,1.886355448119143e-60,1.5812635960900066e-55,1.2098497345187204e-66,2.0559927596690906e-71,1.2549876306414856e-50,9.538362183507639e-34,2.5385851056395374e-73,2.1132915018470436e-77,1.2728081513621022e-60,2.287397801527251e-35,8.236979636053269e-75,1.3974189366304087e-74,2.765418109076424e-63,3.337209866634808e-30,7.31122341647908e-48,2.1100234357382955e-74,8.155190905820553e-81,4.376171779333182e-59,7.581648585828111e-45,2.45432244045936e-83,7.525581579466048e-75,2.633883099309821e-89,1.3212422388763276e-73,2.695135595055855e-85,1.2847471620290385e-36
8.191e-12,0.5558150329637719,3.76,0.0,0.9224949717219165,0.9999999999998571,2.475783123947934e-26,3.220910034340354e-43,1.2051479859669464e-30,1.4328597026293306e-13,1.4289739055913086e-13,1.990073975428672e-20,1.8400656294826045e-21,3.8859704878566996e-16,1.6584777387617303e-21,1.3022216414850317e-21,6.748100477817254e-22,6.314764209781803e-23,1.910542992181129e-30,3.4088567674243965e-34,1.9415540090549334e-30,1.4100615724326896e-30,3.904786083282304e-30,3.687238309060824e-22,1.0618345579233363e-48,4.295454609783328e-47,1.6367455579031422e-51,1.024966909042294e-70,3.353607017467107e-22,2.2462667780733337e-25,1.95433736960453e-35,8.246081089957851e-40,6.9494825608442525e-34,1.0957329987906169e-28,5.48218024027028e-30,6.0339818921190405e-59,5.0954174984001673e-54,7.765276539701933e-65,1.3060732452896128e-69,3.994784051500636e-49,7.62565063944826e-33,3.2226647752324507e-71,1.3488263846314425e-75,6.490887652310525e-59,2.7804561420295976e-34,1.0455716659936145e-72,9.004306973935956e-73,8.802845735410846e-62,2.6704019450468157e-29,1.1701231256238675e-46,1.3506539829908612e-72,1.0306386391369711e-78,2.800336322249079e-57,1.194795626543698e-43,6.201299954389901e-81,9.637393054609895e-73,3.6410019418826494e-87,1.6919631910119138e-71,3.4497158732651385e-83,1.018233384081864e-35
1e-11,0.5558150329637719,3.76,0.0,0.9224949717218849,0.9999999999998256,6.303454925020452e-26,8.196324406896623e-43,2.003262165310233e-30,1.7493302699649232e-13,1.7445863184103434e-13,3.3086565891211984e-20,3.0592719593658648e-21,4.744239928178785e-16,2.6091074654482274e-21,2.1650764905386785e-21,1.0893329377195652e-21,1.0498549792961703e-22,3.200554580795224e-30,8.678910095847801e-34,4.608349063399607e-30,3.587062709557575e-30,9.933558353060591e-30,6.130400118782022e-22,4.531207014474973e-48,1.8521389889171835e-46,1.2841635519564998e-50,1.5293895588776877e-69,4.0930056569981744e-22,3.7320571887521e-25,5.241367720684905e-35,2.117636047236832e-39,1.743316244307889e-33,2.7710807419204683e-28,1.5583244056064107e-29,4.727291876399946e-58,4.0444798238513663e-53,1.1632231782506882e-63,1.9193338884257117e-68,3.1226482803939075e-48,1.938882679938623e-32,9.321378375927777e-70,1.9995139304028645e-74,8.504517550634805e-58,1.0388895952049908e-33,3.0242545205461924e-71,1.3587715736302688e-71,6.836988360353481e-61,6.798172087787994e-29,5.046154301746793e-46,2.0132065944067637e-71,2.9191637673322023e-77,4.170203061513026e-56,5.025397242511368e-43,3.4595895335135597e-79,2.799521015835314e-71,1.2110319642807757e-85,4.914645372142633e-70,1.0011263429446268e-81,2.5584067716811757e-35
1.6383e-11,0.5558150329637719,3.76,0.0,0.9224949717217732,0.9999999999997142,1.9809275326483066e-25,2.5751918624711248e-42,4.8193831198421254e-30,2.8659867825702765e-13,2.858214859606529e-13,7.961234158606764e-20,7.361203415222607e-21,7.772616842261633e-16,5.963374765304451e-21,5.2096328761160274e-21,2.551964008185696e-21,2.5260906552186285e-22,7.752320180642526e-30,2.7274128667062048e-33,1.401805212137751e-29,1.1268543228224318e-29,3.12058930119853e-29,1.4751020257781685e-21,1.6772779369460647e-47,6.871715820776597e-46,5.237773979003907e-50,6.564136477769107e-69,6.701950663148979e-22,8.974622247548429e-25,1.6839551651556119e-34,6.680044742534012e-39,5.442449947365027e-33,8.682492927878366e-28,5.122453224634157e-29,1.92783219512044e-57,1.6517398412250723e-52,4.993624474682399e-63,8.23079970233005e-68,1.273126813317525e-47,6.089482648367812e-32,4.1074463642658627e-69,8.578807206495305e-74,3.622215267348286e-57,3.723503818939629e-33,1.3326315443842268e-70,5.835440473760545e-71,2.785503162802815e-60,2.136288011493941e-28,1.8722609247679692e-45,8.640169145404719e-71,1.2855684322069796e-76,1.7896544392163132e-55,1.8541555404325423e-42,1.5447832218051055e-78,1.233749107962805e-70,5.355648810081669e-85,2.1658814142492835e-69,4.411847228972837e-81,7.992860466013073e-35
3.2767e-11,0.5558150329637719,3.76,0.0,0.9224949717214865,0.9999999999994283,1.5848350200855794e-24,2.057194797334988e-41,1.9263822817671472e-29,5.732239767825588e-13,5.716696784846579e-13,3.1845748257169547e-19,2.944615102416433e-20,1.5545758543012559e-15,2.2512062337709922e-20,2.084012145623512e-20,9.91306608064982e-21,1.0103718290971013e-21,3.1884216176737036e-29,2.1819208306882612e-32,1.0608560349284345e-28,8.993557858140417e-29,2.4906897372213365e-28,5.900821377273878e-21,2.616224070012788e-46,1.0987427877348407e-44,1.6757481394221876e-48,4.205204150519768e-67,1.3381019479200017e-21,3.5807622549335515e-24,1.5274335384111992e-33,5.475427516607694e-38,4.176065591123986e-32,6.814192160727151e-27,5.243182901612487e-28,6.147206177155093e-56,5.418252226245378e-51,3.224168956251916e-61,5.111055298332679e-66,4.054117114657555e-46,4.852799665033922e-31,5.245155001070573e-67,5.420798264110888e-72,2.1453927613430065e-55,5.310801564567218e-32,1.701897789868907e-68,3.8254749178370166e-69,8.716559929955404e-59,1.7085577007664646e-27,2.995037236374693e-44,5.522318154594268e-69,1.5648994124591397e-74,1.1414638835522717e-53,2.793582744369744e-41,3.7461216019353403e-76,1.5789591308930536e-68,8.675347815484104e-83,2.7716026479869196e-67,5.635162382050313e-79,6.160207518215299e-34
6.5535e-11,0.5558150329637722,3.76,0.0,0.9224949717209133,0.9999999999988567,1.2678613385104235e-23,1.6408360493415214e-40,7.693776578534039e-29,1.1464741040613276e-12,1.1433660704157343e-12,1.2737609794203626e-18,1.1778292328119742e-19,3.1091437944655704e-15,8.736377817693052e-20,8.336444374196683e-20,3.906107331953005e-20,4.040547372718896e-21,1.3452502837764632e-28,1.7453131090579935e-31,8.24446721959601e-28,7.160103549929753e-28,1.983104583443295e-27,2.360411093379415e-20,3.984961064871647e-45,1.755325680660945e-43,5.359500770839984e-47,2.6962138801868427e-65,2.6669055118855242e-21,1.4249253918522113e-23,1.4758905978529615e-32,4.588730506600908e-37,3.085722796916311e-31,5.249852038686831e-26,5.9273889877281396e-27,1.9528219668072843e-54,1.817337578435069e-49,2.096947939892545e-59,3.091389731043665e-64,1.2868006087183299e-44,3.8519354801753465e-30,6.703004640010789e-65,3.3827693546330897e-70,1.314266970199422e-53,7.778658222568418e-31,2.1753926935804438e-66,2.5623217194927248e-67,2.6715920079883296e-57,1.365922892929216e-26,4.7895892339024856e-43,3.524144016412962e-67,1.8232464391082153e-72,7.253552940105819e-52,3.981550732290202e-40,8.63836994952016e-74,2.020039661877637e-66,1.5916870185229023e-80,3.545064520925689e-65,7.180957323620888e-77,4.588278286178527e-33
9.999999999999999e-11,0.5558150329637725,3.76,0.0,0.9224949717203104,0.9999999999982554,5.934804327222635e-23,7.639632751013198e-40,1.9782035646428655e-28,1.7494109102763847e-12,1.7446696782724e-12,3.2829205806689016e-18,3.0358688974628997e-19,4.7440931698671404e-15,2.2236655752283804e-19,2.1489450039422033e-19,1.0005861219331647e-19,1.0410850255642314e-20,3.761610019552363e-28,8.168026314792011e-31,3.8084568031011345e-27,3.3227214456709356e-27,9.204240873331137e-27,6.08447669681922e-20,3.247364691213333e-44,1.5556069666194822e-42,9.263644315766662e-46,9.784916924041956e-64,4.0499339203890786e-21,3.642141588761143e-23,8.590789018539948e-32,2.3211400524136917e-36,1.2694567952570045e-30,2.3031281230109977e-25,4.0830130113520285e-26,3.3204770188954035e-53,3.5249855128776956e-48,7.574792782681471e-58,9.740561469485018e-63,2.193405898561704e-43,1.777979112200959e-29,4.5366621590289523e-63,1.0957827215708773e-68,5.6299858783527674e-52,6.3080883120891316e-30,1.4737804218797378e-64,9.785979065718992e-66,4.280772306830633e-56,6.386130797168092e-26,4.252817189756581e-42,1.1909846148216301e-65,1.043292716094903e-70,3.2059317408848474e-50,2.8912958525829694e-39,1.9467693407070293e-71,1.3679208021716349e-64,3.4860620694433983e-78,2.3995764561944722e-63,4.804652678599465e-75,1.9097536654924166e-32
