Time (s),Volume (m^3),N2,Ne,CH4(1),O2(2),H2O(3),C(4),CH(5),CH3(18),HO2(12),CH3O2(36),OH(8),H(6),H2(9),CH2O(19),O(7),CH3O(26),C2H5(31),C2H4(29),C2H6(30),HCO(16),CO(14),H2O2(13),C2H4(92),C2H3(28),C2H2(22),C2H(21),CH2(S)(24),CH2(T)(17),C1OO1(207),C2H5O(49),CH2O2(59),CHO2(121),CO2(15),HCCO(20),CH2CO(27),C2H2O(171)
6.167369695336022e-16,0.8736983129774752,3.76,0.0,0.7422501206468827,0.9999999999998935,2.2236579824465026e-31,1.5342648899684335e-41,1.638395963193019e-27,2.254304708738421e-13,1.0638309916535916e-13,2.940846995550427e-25,9.960809026791808e-23,1.190473711043382e-13,6.165933886881675e-18,1.9528964747767326e-24,7.32228544506592e-19,4.970624594304001e-25,3.363432729323109e-29,1.7103623238778122e-35,3.764025505577761e-31,7.5859934538797e-36,2.2691626966186585e-34,1.1190735457624514e-24,6.6463501094791846e-49,6.127426163779752e-48,4.156735320102806e-56,2.0717780561779993e-72,6.165680179232489e-18,2.0742955368159253e-25,1.3555376628581355e-39,7.842068052794471e-41,2.1866535120739778e-38,5.7327948137041365e-33,2.433349961074605e-34,1.2328183744166439e-61,1.2910667673210807e-58,5.3965766930412044e-70
1.2340097661475983e-15,0.8736983129774942,3.76,0.0,0.7422501206466571,0.9999999999997871,1.7802784791077853e-30,1.2283454002435994e-40,6.557853488641957e-27,4.510567984385373e-13,2.1285862498904726e-13,1.1771051620886441e-24,3.9869194652248892e-22,2.3819817103133665e-13,1.2337732147867219e-17,7.816675413167569e-24,1.4652897215652392e-18,1.9895451110795887e-24,1.3462503663434105e-28,1.3693300175860026e-34,1.5066758579285433e-30,6.073407319440928e-35,1.816709808582472e-33,4.479210569545332e-24,1.0642817017527571e-47,9.814247819313526e-47,1.3316109040090464e-54,1.3274310948373341e-70,1.2336716656091818e-17,8.302587363921878e-25,1.0852545916689131e-38,6.278423263473077e-40,1.7506519470913868e-37,4.5897182385812835e-32,1.9481905454264924e-33,3.94988895735829e-60,4.1376908097708356e-57,3.4591398966991925e-68
2.4685553593755906e-15,0.8736983129775321,3.76,0.0,0.7422501206462058,0.9999999999995741,1.4247638481783647e-29,9.830505830487193e-40,2.623995477602923e-26,9.023094550810897e-13,4.258096765961921e-13,4.70995355490186e-24,1.5952871006046012e-21,4.764997688091346e-13,2.4682851383045557e-17,3.1276884295941495e-23,2.9320017274325074e-18,7.96077107618204e-24,5.386760949589243e-28,1.0958802592845988e-33,6.029343967314853e-30,4.860571604079565e-34,1.4539198232923737e-32,1.7922676693468364e-23,1.7035415266728731e-46,1.5711094145690806e-45,4.263485328931297e-53,8.50034906013892e-69,2.4678788093225155e-17,3.322115964692339e-24,8.685338828267557e-38,5.0246475651052516e-39,1.401052909846038e-36,3.673164062594315e-31,1.5591941429409312e-32,1.2647441034068984e-58,1.3250662699030265e-55,2.215555551329238e-66
4.937646545831575e-15,0.8736983129776076,3.76,0.0,0.7422501206453033,0.9999999999991482,1.140027544926658e-28,7.86591336256422e-39,1.0497689610879257e-25,1.8048147744188446e-12,8.517117796495567e-13,1.884287840529606e-23,6.382187144628109e-21,9.531029560599356e-13,4.9379180706125143e-17,1.2512791108531316e-22,5.867784346079013e-18,3.184826108118957e-23,2.1550598749390988e-27,8.768707473225881e-33,2.4126726820561e-29,3.889195639696632e-33,1.1633565042581762e-31,7.170237710670258e-23,2.7262125373949747e-45,2.5144389953943727e-44,1.3646882523352407e-51,5.441767864792982e-67,4.9362924901152086e-17,1.3290623546502952e-23,6.94959672584584e-37,4.020482773291508e-38,1.1210540658776667e-35,2.9390806307597157e-30,1.2476716039454755e-31,4.048427973569876e-57,4.241821344817524e-54,1.4185000649448117e-64
9.875828918743545e-15,0.873698312977759,3.76,0.0,0.7422501206434982,0.9999999999982965,9.121086224220403e-28,6.29335235733224e-38,4.1994168430254135e-25,3.609825437304953e-12,1.703515985112585e-12,7.537762591543278e-23,2.553082593265143e-20,1.906309297342358e-12,9.879620276232729e-17,5.005524407581609e-22,1.1748784010316517e-17,1.2740335681113426e-22,8.620978926309806e-27,7.015632308887764e-32,9.655816431304617e-29,3.1116517246549595e-32,9.307731636620396e-31,2.868328494743961e-22,4.362355593388961e-44,4.023633351577771e-43,4.367598924644883e-50,3.483239978040645e-65,9.873117425165928e-17,5.316679260053442e-23,5.560214971610815e-36,3.216693701899092e-37,8.969265996394861e-35,2.351473837221633e-29,9.98359098298763e-31,1.2956958203835893e-55,1.3576405512960535e-52,9.080122176803855e-63
1.9752193664567483e-14,0.8736983129780618,3.76,0.0,0.742250120639888,0.9999999999965928,7.297215194621249e-27,5.034959564200743e-37,1.679834486773318e-24,7.219846859919561e-12,3.4071243934638384e-12,3.015225965754386e-22,1.0212745636091658e-19,3.812721847030497e-12,1.9772770050811392e-16,2.0022917244702866e-21,2.3548521040942474e-17,5.096337185169525e-22,3.448562169928559e-26,5.61277255275544e-31,3.8659560844187183e-28,2.4894392132201335e-31,7.446532250257102e-30,1.147378071412064e-21,6.980032927656947e-43,6.438237302175206e-42,1.3977269163741266e-48,2.229454548539906e-63,1.9746757589138568e-16,2.1267559738700206e-22,4.448398655618211e-35,2.57348046076865e-36,7.1757244854231016e-34,1.8812460982870996e-28,7.989284663437739e-30,4.146540603472373e-54,4.344863333308563e-51,5.8118022760129314e-61
3.950492315621536e-14,0.8736983129786674,3.76,0.0,0.7422501206326678,0.9999999999931856,5.837910406807926e-26,4.028125122980436e-36,6.719469827815275e-24,1.4439890092518331e-11,6.814341199867128e-12,1.2061135156750331e-21,4.085181130448256e-19,7.625546414900032e-12,3.9598051047890023e-16,8.009333749273005e-21,4.7298945865781905e-17,2.038572781849308e-21,1.3794771556135494e-25,4.4903249821703945e-30,1.549191829515513e-27,1.9915980924775807e-30,5.957356710080418e-29,4.589605552395565e-21,1.116804477915777e-41,1.030151609508063e-40,4.472877338318429e-47,1.4269321361313227e-61,3.949399909264755e-16,8.507178826110546e-22,3.5588282067766743e-34,2.0588385685728057e-35,5.740669519466244e-33,1.5049969570866093e-27,6.394831741397048e-29,1.3269405175728497e-52,1.3904231921155454e-49,3.719686690310847e-59
7.901038213951113e-14,0.8736983129798781,3.76,0.0,0.7422501206182274,0.9999999999863711,4.67038324473089e-25,3.2226373235250317e-35,2.687811410850574e-23,2.8879978107194027e-11,1.3628774771476838e-11,4.82449186678882e-21,1.634088885070159e-18,1.525119342461275e-11,7.940453879027936e-16,3.203769210757659e-20,9.540359820968108e-17,8.15434553981006e-21,5.518158536063965e-25,3.592303170071064e-29,6.219054056715281e-27,1.593296502580298e-29,4.765925140377638e-28,1.8358608089187623e-20,1.7868164280938378e-40,1.6482686291829303e-39,1.432181348026897e-45,9.199095329739964e-60,7.898832680255146e-16,3.402891627217827e-21,2.847136051450472e-33,1.6470989330562206e-34,4.5925159934439506e-32,1.203954826162519e-26,5.121129493238227e-28,4.246263033822112e-51,5.0543417413822014e-48,2.6991675328883334e-57
1.5802130010610264e-13,0.8736983129823002,3.76,0.0,0.7422501205893464,0.9999999999727422,3.736327952606443e-24,2.5782835253287534e-34,1.075126942990176e-22,5.77601603344573e-11,2.7257641749908725e-11,1.9297975435541456e-20,6.5363872665343156e-18,3.050247893993784e-11,1.5964121692036181e-15,1.2815166989056658e-19,1.940281107933242e-16,3.261731975569504e-20,2.207429667031372e-24,2.8738604623549483e-28,2.5054133343456543e-26,1.2746433568906458e-28,3.812735873759916e-27,7.343479887321169e-20,2.8586254018148563e-39,2.637247849597639e-38,4.583096491363712e-44,5.888749172387836e-58,1.5797636103895224e-15,1.3611519586366968e-20,2.2777858679387724e-32,1.31770061331456e-33,3.673915997480107e-31,9.630783415511543e-26,4.1052522216203596e-27,1.3588006939091975e-49,1.6234587842802042e-46,1.7369557760043766e-55
3.160431360392857e-13,0.8736983129871438,3.76,0.0,0.7422501205315845,0.9999999999454844,2.989069927178401e-23,2.0628863251196724e-33,4.300493990912479e-22,1.1552054958062603e-10,5.4515375047621966e-11,7.719137656602543e-20,2.6145603401374968e-17,6.1005015954227e-11,3.2260938098074793e-15,5.126099803446607e-19,4.009379444957419e-16,1.3046778441553723e-19,8.830981325228468e-24,2.299096584359297e-27,1.0163911777253664e-25,1.0197154567928576e-27,3.0501547680982e-26,2.937398865721477e-19,4.5728584549374253e-38,4.219602052369587e-37,1.4665937058674832e-42,3.7694810372572474e-56,3.1594994481851776e-15,5.444528758469234e-20,1.8223357039634208e-31,1.054185450470409e-32,2.9389517739473293e-30,7.703190200695907e-25,3.2975267912109253e-26,4.3480772875458146e-48,5.195724225176268e-45,1.1117694219738624e-53
6.320868079056518e-13,0.8736983129968314,3.76,0.0,0.7422501204160603,0.9999999998909687,2.391257403519015e-22,1.6507169106496437e-32,1.7201800097507094e-21,2.3104142723948847e-10,1.0903083900644295e-10,3.087601271410517e-19,1.0458244933662744e-16,1.2200995391768456e-10,6.585249180545082e-15,2.050458505303759e-18,8.53400661655794e-16,5.218571905529724e-19,3.5333891720630525e-23,1.8392822236164298e-26,4.179356580897338e-25,8.157699688954052e-27,2.4400586674169152e-25,1.1749605928067549e-18,7.313525494992756e-37,6.751339051680657e-36,4.693082626410878e-41,2.4133121984053514e-54,6.3188717392783356e-15,2.1777399372575722e-19,1.458033244410374e-30,8.433845290455333e-32,2.3508613614669638e-29,6.160227455781698e-24,2.6593180551755706e-25,1.3913203242987831e-46,1.6626576177919249e-43,7.11396878996497e-52
9.481304797720179e-13,0.8736983130065189,3.76,0.0,0.7422501203005362,0.9999999998364529,6.837510635810096e-22,4.720802615469755e-32,3.6553548462606725e-21,3.4656240406483236e-10,1.6354630032865504e-10,6.561070384955936e-19,2.222376451911285e-16,1.8301475581634448e-10,1.0044196418350909e-14,4.357249418305923e-18,1.3445062441861392e-15,1.1089254976236386e-18,7.510151765454265e-23,5.259313404917087e-26,9.073159489716365e-25,2.3325872986408155e-26,6.976934627081832e-25,2.4967915395659827e-18,2.6914798082974227e-36,2.546850569977082e-35,2.1839140142269725e-40,1.3429003424634336e-53,9.478144649110317e-15,4.627589933204009e-19,4.16933229442076e-30,2.411661033668746e-31,6.721498239031437e-29,1.761057509244211e-23,7.638950556929678e-25,6.508823894741732e-46,7.403664131480287e-43,3.829402456942756e-51
1e-12,0.8736983130162064,3.76,0.0,0.7422501202815761,0.9999999998275056,8.082337514056189e-22,5.580565872476253e-32,4.07882180275091e-21,3.655218812552113e-10,1.724934520635143e-10,7.321151379594357e-19,2.479839358894869e-16,1.9302692511497723e-10,1.0628261517194194e-14,4.862044700258529e-18,1.4314492546502762e-15,1.237389469794035e-18,8.38067202082671e-23,6.216850673894644e-26,1.0176746463258537e-24,2.7572521565273974e-26,8.247108164696405e-25,2.7860457531253056e-18,3.369970212781887e-36,3.234329927371587e-35,2.9286879567857816e-40,1.9036610955894133e-53,9.996632535433482e-15,5.163670093167833e-19,4.928477240510271e-30,2.850765515192957e-31,7.945045609041718e-29,2.0815521840003623e-23,9.04065846580494e-25,8.8867133652271e-46,1.0309127692880383e-42,5.564654452127881e-51
1.264174151638384e-12,0.8736983130162064,3.76,0.0,0.7422501201850119,0.9999999997819371,1.4422305245624167e-21,9.959384647572937e-32,6.235560933670165e-21,4.620834800566139e-10,2.1806175901425486e-10,1.1192283232222157e-18,3.7911112721840945e-16,2.4401942165053004e-10,1.3602935300763835e-14,7.432993202861946e-18,1.874254507702527e-15,1.8916631302221384e-18,1.2814276745456165e-22,1.109363755340424e-25,1.5797372048636473e-24,4.9200922612697127e-26,1.4716167744542613e-24,4.259232436537873e-18,6.825556966074673e-36,6.735697883164226e-35,6.721860200775548e-40,4.759644640030225e-53,1.2637318180917991e-14,7.893954098999319e-19,8.794841749422265e-30,5.087147370614324e-31,1.4176635703593404e-28,3.713848153505992e-23,1.6179629407590734e-24,2.0997427534054792e-45,2.5106804017540838e-42,1.4402382691988199e-50
1.896261495371116e-12,0.8736983130355814,3.76,0.0,0.7422501199539632,0.9999999996729054,3.939186679282423e-21,2.721354608698717e-31,1.2909781718390288e-20,6.931258647775994e-10,3.2709267019747614e-10,2.3171745105459702e-18,7.84900810304041e-16,3.660284339849124e-10,2.09546172557634e-14,1.5389198601078267e-17,3.0244424691653424e-15,3.9163326595600765e-18,2.654131120253725e-22,3.030136920280055e-25,3.393183806626088e-24,1.3438253026337337e-25,4.019347684734215e-24,8.818197917971346e-18,2.3867637716404876e-35,2.6192705265074646e-34,3.209159395613684e-39,2.7954030837019668e-52,1.8955432020454076e-14,1.6342839976453532e-18,2.4023767746775796e-29,1.3896104445723975e-30,3.8716459308191094e-28,1.0140340519556148e-22,4.449563663909715e-24,1.15572712953132e-44,1.522428205732101e-41,1.0268390696926854e-49
2.5283488391038482e-12,0.8736983130549563,3.76,0.0,0.7422501197229141,0.9999999995638736,8.24210762264764e-21,5.696145619654452e-31,2.195590469435904e-20,9.241686141685822e-10,4.361235716849051e-10,3.940832899960656e-18,1.33490959006571e-15,4.880369459643786e-10,2.867326683147816e-14,2.6173205040765245e-17,4.316731819105045e-15,6.660468625257797e-18,4.515849263708539e-22,6.340260341104846e-25,5.978675209073565e-24,2.8117235618880015e-25,8.409644209738759e-24,1.4997440943275887e-17,5.96327486553385e-35,6.9539433167657725e-34,9.883541029304731e-39,9.83715951481697e-52,2.527318043847612e-14,2.7793934693524974e-18,5.0270073196036205e-29,2.907859117588083e-30,8.099974362098493e-28,2.121080376676047e-22,9.366382476709502e-24,3.7089035101974366e-44,5.084589768282102e-41,3.915497778893046e-49
3.1604361828365803e-12,0.8736983130743314,3.76,0.0,0.7422501194918647,0.9999999994548417,1.5004453565803788e-20,1.0373663294266285e-30,3.3543264726895367e-20,1.1552117542771271e-09,5.451544627839623e-10,6.020586193112309e-18,2.0394384045093926e-15,6.100449218514514e-10,3.6785094513874116e-14,3.998706837325917e-17,5.761271424259707e-15,1.0175397502365816e-17,6.902123727065934e-22,1.1542479387778369e-24,9.459636671984812e-24,5.118619428018784e-25,1.5309108570146653e-23,2.291269368457503e-17,1.2649992051869262e-34,1.5412398913660466e-33,2.5063477130341184e-38,2.8226342279519614e-51,3.159053735508477e-14,4.246135584635205e-18,9.152273186253569e-29,5.294294358963153e-30,1.4744204731367402e-27,3.860201690723158e-22,1.7155538330559356e-23,9.69086229284126e-44,1.3690221542240952e-40,1.186145846715497e-48
4.424610870302045e-12,0.8736983131130814,3.76,0.0,0.7422501190297645,0.9999999992367772,3.961617978454559e-20,2.7415822786553908e-30,6.450073403862293e-20,1.6172992311875347e-09,7.632162131642708e-10,1.1576855195181041e-17,3.921759300372246e-15,8.540592316888491e-10,5.4212971285341666e-14,7.6895158463959e-17,9.116656524262891e-15,1.9565617117111803e-17,1.3285337302897065e-21,3.0476671014906324e-24,1.961643949012056e-23,1.3514546870017984e-24,4.0418174078278816e-23,4.4060261207386175e-17,4.63134489483863e-34,5.9004562187986956e-33,1.3858293316200854e-37,2.302385001588737e-50,4.4224052238815013e-14,8.164500008668708e-18,2.4170450526170466e-28,1.3983155243672267e-29,3.8918311933433e-27,1.0183830632578503e-21,4.604740827088484e-23,5.42038226498109e-43,7.674153884186981e-40,1.0158899776933851e-47
6.952960245232973e-12,0.8736983131905814,3.76,0.0,0.7422501181055592,0.9999999988006466,1.5318905008155451e-19,1.0622285666427802e-29,1.573529172218387e-19,2.5414789424938553e-09,1.1993395874311937e-09,2.8241293651331206e-17,9.567859545799309e-15,1.3420813238692943e-09,9.385609231888689e-14,1.8760846003818995e-16,1.7681194710635252e-14,4.7727286352831436e-17,3.2478059107072095e-21,1.1785402710419712e-23,5.520712154246849e-23,5.225754151402673e-24,1.5626936807273002e-22,1.0749349021015591e-16,2.9313557906072235e-33,3.7831337189405964e-32,1.5388953318798922e-36,4.565691442591837e-49,6.948631637597671e-14,1.9915395846244736e-17,9.351416107649995e-28,5.411011406852634e-29,1.503958612440954e-26,3.930642271183334e-21,1.8470052556531997e-22,5.756674938705859e-42,8.024224855248798e-39,1.927562640763975e-46
9.481309620163901e-12,0.8736983132680816,3.76,0.0,0.7422501171813477,0.9999999983645136,3.8017591240894203e-19,2.640506775657101e-29,2.9148567305944156e-19,3.4656650025527556e-09,1.6354627928936572e-09,5.231330202142114e-17,1.772470555412305e-14,1.8300947053543847e-09,1.3988778007000876e-13,3.4756389839121074e-16,2.871948395282579e-14,8.840465869852852e-17,6.0277792137879495e-21,2.9249272297348644e-23,1.146791318378177e-22,1.2968806708334306e-23,3.877792264771173e-22,1.9913497489340242e-16,9.536996250819014e-33,1.2449478285919646e-31,6.487590014840236e-36,2.4111686885293032e-48,9.474222201167397e-14,3.688795784808642e-17,2.32179835199366e-27,1.3436412405307037e-28,3.730560634456014e-26,9.740420904949084e-21,4.715587398321161e-22,2.4292113993472313e-41,3.451673657664817e-38,1.0270233403574571e-45
1e-11,0.8736983134230817,3.76,0.0,0.742250116991745,0.9999999982750406,4.492672037379821e-19,3.122089318038781e-29,3.2410306443234326e-19,3.6552623766244028e-09,1.7249333623469038e-09,5.816669340551382e-17,1.9708354147401186e-14,1.9302094786924134e-09,1.5012065231349156e-13,3.864652468036585e-16,3.1289675143123186e-14,9.829527817733477e-17,6.705422032231555e-21,3.4565223768301047e-23,1.3091101181892012e-22,1.532562280814329e-23,4.582353525232624e-22,2.2142117682596738e-16,1.2196341781765182e-32,1.5933682633887172e-31,9.293822276514503e-36,4.0658576898785835e-48,9.992268067549454e-14,4.10146454995932e-17,2.7441682719709252e-27,1.5881356175640505e-28,4.407762430209695e-26,1.1504686248912197e-20,5.626568863689385e-22,3.4750620642006197e-41,4.918279710583132e-38,1.7175398971106865e-45
1.453800837002576e-11,0.8736983134230817,3.76,0.0,0.7422501153329053,0.9999999974922403,1.3807923209934924e-18,9.62657634661902e-29,6.835214525092712e-19,5.314056163073574e-09,2.5077086975488916e-09,1.2266337276573533e-16,4.156819711864523e-14,2.8060953449643894e-09,2.5111049438851695e-13,8.151842213149119e-16,5.821459386021669e-14,2.0727003180266514e-16,1.4192485608594108e-20,1.0623982540102976e-22,3.314536789644363e-22,4.710097344560109e-23,1.408045483945055e-21,4.670164442889683e-16,5.43989683540845e-32,7.119127658190759e-31,5.984968665680992e-35,3.6745597987326e-47,1.4523497203848976e-13,8.64805417484067e-17,8.441649306618891e-27,4.886627395847287e-28,1.3532854772533283e-25,3.525091207061789e-20,1.8279089546112338e-21,2.2289185463205344e-40,3.115253905304162e-37,1.5299700359002823e-44
2.4651405869749476e-11,0.8736983137330827,3.76,0.0,0.7422501116359437,0.9999999957476653,6.899927244991881e-18,4.84806823810541e-28,1.9624458617234565e-18,9.01091464371116e-09,4.252198481756939e-09,3.5212208793939366e-16,1.1937279214517742e-13,4.757992137977842e-09,5.501882202495925e-13,2.3414302193895193e-15,1.468753141193764e-13,5.94878724197481e-16,4.1091797172859884e-20,5.309599741351567e-22,1.3253043075629282e-21,2.3535079373210457e-22,7.032165910650115e-21,1.3411627896469553e-15,4.847121831616501e-31,6.284895957263371e-30,9.805314788152424e-34,1.1507926492753178e-45,2.4614428322133164e-13,2.4817195158633794e-16,4.2280331210748635e-26,2.4488612412937048e-27,6.744557207348326e-25,1.747897162406442e-19,1.0377195663694521e-20,3.51147588582154e-39,4.794500577838882e-36,4.462376102434849e-43
