Time (s),Volume (m^3),N2,Ne,CH4(1),O2(2),H2O(3),C(4),CH(5),CH3(18),HO2(12),CH3O2(36),OH(8),H(6),H2(9),CH2O(19),O(7),CH3O(26),C2H5(31),C2H4(29),C2H6(30),HCO(16),CO(14),H2O2(13),C2H4(92),C2H3(28),C2H2(22),C2H(21),CH2(S)(24),CH2(T)(17),C1OO1(207),C2H5O(49),CH2O2(59),CHO2(121),CO2(15),HCCO(20),CH2CO(27),C2H2O(171),C2H2O(603),CH3CO(33)
1e-12,0.8112036226256368,3.76,0.0,0.529897117859827,0.9999999999254444,2.5544267903414266e-22,8.989235770635659e-33,6.827063771846922e-22,1.3458444331445227e-10,7.455532557197937e-11,3.7370709906939755e-19,8.309681198125692e-17,6.002874628801949e-11,2.558383751933691e-15,1.834181767418192e-18,4.838977319354183e-16,4.337146048008655e-19,1.4502188250569684e-23,1.0914377726038609e-26,2.2380547303344787e-25,7.679995859980801e-27,3.4092569585914287e-25,8.0303190842981215e-19,4.904972745885259e-37,4.2224813504856933e-36,5.612054126852045e-41,2.5644860951410343e-54,2.4126153445756794e-15,1.5392045703199528e-19,2.0493363325579193e-30,5.536718681553532e-32,3.5954041588392416e-29,8.939999927595197e-24,3.8974708441718015e-25,2.0990288880672564e-46,2.435593058508263e-43,2.6979016791684e-51,4.46473563194471e-55,4.776223632014903e-41
1.7612548783738096e-12,0.8112036226256368,3.76,0.0,0.5298971177573719,0.9999999998686885,1.0485704000228382e-21,3.690483632848282e-32,1.941314763173703e-21,2.3703766295277367e-10,1.3131092559656643e-10,1.0626471831894608e-18,2.3629456755804124e-16,1.057256810859131e-10,4.66354556864355e-15,5.215752273697542e-18,9.40687123592882e-16,1.233261926340711e-18,4.1255812168469035e-23,4.4802700997909965e-26,6.631466352893495e-25,3.152563398477037e-26,1.3994188931207179e-24,2.283507837781173e-18,2.5863705094918365e-36,2.2272431064739586e-35,3.4521051251450114e-40,1.7205216914435793e-53,4.249037856181337e-15,4.376630397595479e-19,8.414006898647171e-30,2.2728318572412776e-31,1.475659804082121e-28,3.6680486744416256e-23,1.6157941500026008e-24,1.2911344172285882e-45,1.498202947887257e-42,1.8097723812018734e-50,2.9950408647042064e-54,2.5278899964707687e-40
2.641883064078477e-12,0.8112036226337437,3.76,0.0,0.5298971176388506,0.9999999998030324,2.9982569629415727e-21,1.0554584348057153e-31,4.1252109065073396e-21,3.555568504183336e-10,1.9696643538863404e-10,2.2580549958057e-18,5.021254506749868e-16,1.5858817045687665e-10,7.254069825305973e-15,1.1083611928221715e-17,1.5562180291950442e-15,2.6205561790001942e-18,8.77167112771148e-23,1.281105467423638e-25,1.4825959110011607e-24,9.014320446258584e-26,4.0012688084421025e-24,4.852453421636952e-18,9.514648619141176e-36,8.412804346196949e-35,1.607880848076613e-39,9.555844297887828e-53,6.373242206736091e-15,9.299707760560093e-19,2.4064913838054226e-29,6.499411573111427e-31,4.218636533606061e-28,1.0481864408577784e-22,4.679025660632269e-24,6.039977036333107e-45,6.684728377102211e-42,9.755185222145539e-50,1.614545121073957e-53,9.364391292330686e-40
3.522511249783144e-12,0.8112036226418506,3.76,0.0,0.5298971175203292,0.9999999997373765,6.32419322844153e-21,2.226772041373222e-31,7.036993134407369e-21,4.740761911957874e-10,2.6262193998281654e-10,3.851865231354993e-18,8.565660245697672e-16,2.1145042223880834e-10,9.999842828751487e-15,1.8907552479579323e-17,2.2588599400247113e-15,4.470162932785105e-18,1.4971487853045313e-22,2.7022786597222815e-25,2.6513261874535918e-24,1.901373386670552e-25,8.439461924083018e-24,8.277712289891677e-18,2.4120871998414373e-35,2.2296732969076454e-34,4.957905093856927e-39,3.406782287306612e-52,8.497256756552153e-15,1.5863212666787323e-18,5.07715569469324e-29,1.3710482134167828e-30,8.896740795445251e-28,2.209693126379919e-22,9.981937432817394e-24,1.9483994202839623e-44,2.2623527445893862e-41,3.6638421487135385e-49,6.06425247449046e-53,2.3946110056301962e-39
5.283767621192479e-12,0.8112036226580644,3.76,0.0,0.5298971172832858,0.9999999996060642,1.7273339791465516e-20,6.085176558324713e-31,1.4568744564546197e-20,7.111152325645945e-10,3.9393293697200364e-10,7.974413257000922e-18,1.7734077319881458e-15,3.1717436819940403e-10,1.5855745976475105e-14,3.914642162729696e-17,3.868585456611993e-15,9.254220673243196e-18,3.1027690798101526e-22,7.3810720247609185e-25,5.9576995099853804e-24,5.193205164580386e-25,2.3049095001031152e-23,1.7137941411967e-17,8.429792250858789e-35,8.713647426844171e-34,2.378144319994388e-38,2.0379324371611026e-51,1.2744840459793335e-14,3.283932542337001e-18,1.3872597065336277e-28,3.745607728372516e-30,2.429254526518169e-27,6.0297419592369675e-22,2.7774959225292026e-23,1.0722992485844638e-43,1.3668884760599223e-40,2.6024228751625296e-48,4.3078499855646894e-52,8.559421897918805e-39
7.045023992601814e-12,0.8112036226742783,3.76,0.0,0.529897117046242,0.9999999994747517,3.614160684436698e-20,1.2738257191521357e-30,2.477687914526494e-20,9.481548377166402e-10,5.252439148465541e-10,1.3561765210169444e-17,3.0160963055045555e-15,4.228974404701499e-10,2.2282548344591097e-14,6.657899579216686e-17,5.798642510611624e-15,1.5737897918716898e-17,5.282293805983496e-22,1.5444219360058686e-24,1.0926754139702446e-23,1.0865856389277684e-24,4.822327117573462e-23,2.9147130580455227e-17,2.1051771015345496e-34,2.319425381709769e-33,7.343819094748791e-38,7.224623012335806e-51,1.6991726343459698e-14,5.584551864476812e-18,2.9035962027354327e-28,7.838942969721443e-30,5.081474393016386e-27,1.2605825591485524e-21,5.90621573788227e-23,3.440929254363687e-43,4.558787267094147e-40,9.90790948326722e-48,1.6402154606088667e-51,2.1748382872816414e-38
8.806280364011148e-12,0.8112036226904921,3.76,0.0,0.5298971168091974,0.9999999993434386,6.579438729759942e-20,2.3200813526860985e-30,3.785231479156408e-20,1.1851950469227395e-09,6.565548722410095e-10,2.0718337648445147e-17,4.607904452116285e-15,5.286195766524808e-10,2.9321023788151606e-14,1.0171951160612293e-16,8.071906537116199e-15,2.4042219009363863e-17,8.078451711101856e-22,2.8116447355241943e-24,1.7938287373952908e-23,1.9780753655264877e-24,8.778279110190158e-23,4.4530197960702664e-17,4.463631114562979e-34,5.1497798201751004e-33,1.8660323685434777e-37,2.0866287289413404e-50,2.1237864680237812e-14,8.531061637164625e-18,5.287708286319744e-28,1.4274226097411188e-29,9.248151697084433e-27,2.292916697072499e-21,1.0927287426993103e-22,8.989987582205624e-43,1.2262140198745417e-39,2.997689151138221e-47,4.96299792007124e-51,4.694221616327822e-38
1e-11,0.8112036227229197,3.76,0.0,0.5298971166485364,0.9999999992544389,9.510587182811479e-20,3.35525282684801e-30,4.837846130012202e-20,1.3458531852849526e-09,7.455529589866362e-10,2.6479433338140117e-17,5.8894289841792424e-15,6.002738996506543e-10,3.444651544426204e-14,1.3001130848415398e-16,9.811862318864506e-15,3.07269521262282e-17,1.033370429267031e-21,4.064333213770234e-24,2.4203723251587234e-23,2.8592941858222636e-24,1.2688131639736055e-22,5.691474638708354e-17,7.414614738735484e-34,8.762043962092962e-33,3.811080760598559e-37,5.342056290482778e-50,2.4115318976893967e-14,1.0902782965908357e-17,7.646181516657187e-28,2.063911723449423e-29,1.336443787077053e-26,3.311478551204542e-21,1.6062780570470883e-22,1.847126646609262e-42,2.5266111047627134e-39,7.88405986423857e-47,1.3056856680108708e-50,7.971822922821931e-38
1.2328793106829818e-11,0.8112036227229197,3.76,0.0,0.5298971163351065,0.9999999990808117,1.7371611640511523e-19,6.13299875673112e-30,7.278348684701646e-20,1.6592773154442185e-09,9.191767243023363e-10,3.9836274945737404e-17,8.860795103417861e-15,7.40060982005481e-10,4.527138406408516e-14,1.9561124984940084e-16,1.3669577254486704e-14,4.6224600534970226e-17,1.5570872444892262e-21,7.42399025777608e-24,3.9945948409846473e-23,5.2226120671701025e-24,2.317303017437024e-22,8.56298435400579e-17,1.631692929394716e-33,1.9748475825654134e-32,1.0345252864941943e-36,1.711348405063012e-49,2.9727852548796735e-14,1.6401039235503144e-17,1.3974225530813317e-27,3.771493201821569e-29,2.4399993364712137e-26,6.040137458531475e-21,3.011021957327518e-22,5.0270945981334775e-42,6.873476812674851e-39,2.561703679198432e-46,4.2432353022651524e-50,1.8017240613661303e-37
1.585130584964849e-11,0.8112036227553474,3.76,0.0,0.5298971158610131,0.9999999988181835,3.6015592790630374e-19,1.2728654900917434e-29,1.193564803548788e-19,2.133362037358185e-09,1.1817984931812294e-09,6.532444480953807e-17,1.453161414568324e-14,9.514985855258202e-10,6.370600254686234e-14,3.2081506801126273e-16,2.0661112046751547e-14,7.579589267064449e-17,2.559329918416183e-21,1.539243415661619e-23,7.409737848213029e-23,1.0827612536741339e-23,4.803558968970676e-22,1.4043248265190734e-16,4.228996657334702e-33,5.230420850492304e-32,3.419482453294881e-36,6.988148275292322e-49,3.821480599764854e-14,2.6891459881238864e-17,2.8996609805825613e-27,7.824139555653879e-29,5.055386468106309e-26,1.2496860231947068e-20,6.477764383186201e-22,1.661314224372682e-41,2.2940781883864907e-38,1.0550364004901161e-45,1.7480929285558206e-49,4.846492680396573e-37
