Time (s),Volume (m^3),N2,Ne,CH4(1),O2(2),H2O(3),C(4),CH(5),CH3(18),HO2(12),CH3O2(36),OH(8),H(6),H2(9),CH2O(19),O(7),CH3O(26),C2H5(31),C2H4(29),C2H6(30),HCO(16),CO(14),H2O2(13),C2H4(92),C2H3(28),C2H2(22),C2H(21),CH2(S)(24),CH2(T)(17),C1OO1(207),C2H5O(49),CH2O2(59),CHO2(121),CO2(15),HCCO(20),CH2CO(27),C2H2O(171),C2H2O(603),CH3CO(33),CHO2(125),C#CC(199),C3H4(637),CHO3(309),CH2O2(77),C3H4(718)
0.00014085591668132523,0.8730128498593956,3.76,0.0,0.609964365225629,0.831310886678021,0.2048413434485438,1.4623726988961961e-10,4.356429005289332e-08,0.029152057860260743,0.0009822500529223712,1.150988395386718e-06,0.0005746062513868963,0.001421047591795659,0.2125937988190384,0.010137529149789838,0.00016087177535821832,3.302900232812555e-06,4.178566457558487e-05,0.057336848740031796,0.008486067333821781,0.00015997256809365852,0.08580945352064258,4.485268095077369e-05,7.885253055612099e-10,6.0493693732613406e-05,0.019391964563361674,4.981601158337344e-06,3.068759093437263e-06,5.769378116114165e-06,1.7565751298760238e-13,3.274895792955037e-10,5.015459949468396e-13,1.9588624535022565e-07,0.016609703884764484,2.7685288635092183e-05,0.0003768390577718626,1.6632901752733958e-09,1.7840584169812801e-12,7.810000110585469e-09,2.1896869653207676e-10,0.0009939629941867181,2.259673615522469e-08,1.345449045060635e-12,5.152725526606536e-06,0.0005975365180692574
0.00014113450455898032,0.8731566952564903,3.76,0.0,0.6085120388218264,0.8303572933832559,0.20597066374075665,1.4982181980076592e-10,4.4246025427737394e-08,0.02920101155140586,0.0009832321604414224,1.151408587541938e-06,0.000577852472484378,0.0014321429864303438,0.21375119428053152,0.010120382207092358,0.00016171700882418154,3.3098636233392233e-06,4.1961909705696135e-05,0.05749450454089033,0.008491124205276871,0.00016072881521572816,0.08635524656752142,4.49641126980851e-05,7.909367886507045e-10,6.103687343884937e-05,0.019578099471574923,5.047726394786901e-06,3.0916843132079086e-06,5.818288152054347e-06,1.76915270396324e-13,3.289287331892001e-10,5.051352887932665e-13,1.972565175476683e-07,0.016728138686948356,2.8091858778962926e-05,0.0003816866106933945,1.6851801360971652e-09,1.816415861584837e-12,7.863572618596307e-09,2.2201210145871372e-10,0.001001692717389592,2.2772511095673177e-08,1.362440005624026e-12,5.178254568427757e-06,0.0006050246479619988
0.00014141309243663542,0.8733012924722628,3.76,0.0,0.6070541976650301,0.8293984012777346,0.20710588494632523,1.5350810774016064e-10,4.494093263339536e-08,0.029250183299951226,0.0009842062968300732,1.1518244419790777e-06,0.0005811297350227532,0.0014433632255801286,0.21491367656372606,0.010103081037452916,0.0001625689620870832,3.316827719036478e-06,4.2139359877372996e-05,0.05765129471279727,0.008496106928674751,0.00016148968103548312,0.08690409885434304,4.507542065603079e-05,7.933420270047046e-10,6.15851761490176e-05,0.01976575999327297,5.1147073698219424e-06,3.1148766701320362e-06,5.867804839357675e-06,1.7818634902981303e-13,3.3037689227515237e-10,5.087625805984616e-13,1.986410719492008e-07,0.016847427997732443,2.8504233595515883e-05,0.0003865844984719566,1.7073125914396265e-09,1.8494001128578415e-12,7.917589020041651e-09,2.2510464566704417e-10,0.0010094423223603265,2.294873935824924e-08,1.3796752899463107e-12,5.203947080487719e-06,0.0006125706200015349
0.00014169168031429052,0.8734466472613481,3.76,0.0,0.6055908043108453,0.8284341632895647,0.20824705731949625,1.5729927616225875e-10,4.56493197775626e-08,0.02929957543479541,0.0009851723292213365,1.1522359114454344e-06,0.0005844384891729802,0.001454710284465904,0.2160812788882353,0.010085625208806112,0.00016342772119574048,3.3237922669104486e-06,4.231802935712611e-05,0.05780720762528606,0.00850101480639554,0.00016225521144914523,0.08745603582100131,4.5186598722401414e-05,7.957409813310355e-10,6.213866654470763e-05,0.019954959294485798,5.182556447476725e-06,3.138340656782002e-06,5.917938625087497e-06,1.7947095138000185e-13,3.318341527004281e-10,5.124284476668243e-13,2.0004012447397093e-07,0.016967580880339023,2.8922500084639862e-05,0.00039153308124082305,1.7296897689338267e-09,1.8830250570289053e-12,7.972054686000687e-09,2.282472950836465e-10,0.0010172113667808163,2.3125410914307505e-08,1.397159272729565e-12,5.229804993114025e-06,0.0006201742860689166
0.00014197026819194562,0.8735927654492163,3.76,0.0,0.604121820914801,0.8274645317210455,0.2093942317737661,1.6119830106569742e-10,4.6371506039621986e-08,0.029349190290074923,0.000986130121575787,1.1526429467797236e-06,0.0005877791929036675,0.0014661861764054469,0.21725403481464,0.010068014276565972,0.00016429337354913453,3.3307570021731353e-06,4.249793254052671e-05,0.057962231518762675,0.008505847116781762,0.00016302545268749957,0.08801108323176847,4.529764060245908e-05,7.981336134928362e-10,6.269741032634603e-05,0.020145710699222424,5.2512862099139505e-06,3.1620808562951196e-06,5.968700242386665e-06,1.8076928369514595e-13,3.333006114246948e-10,5.161334780501375e-13,2.0145389503057618e-07,0.017088606536357513,2.934674667038452e-05,0.00039653271869402763,1.7523139129244017e-09,1.9173049326647387e-12,8.026975059214358e-09,2.3144103785019487e-10,0.001024999398845926,2.3302515520053505e-08,1.4148964228574024e-12,5.255830258823697e-06,0.0006278354840485
0.00014224885606960072,0.8737396529288479,3.76,0.0,0.6026472092285511,0.8264894582382446,0.21054745989232254,1.6520905580512368e-10,4.7107818035385836e-08,0.029399030205103493,0.000987079534637448,1.153045496862493e-06,0.000591152312139763,0.0014777929539660168,0.2184319782470442,0.01005024778367084,0.00016516600790676556,3.337721647842144e-06,4.2679083951731135e-05,0.05811635450161844,0.008510603113693246,0.00016380045130777042,0.08856926718006966,4.54085398046828e-05,8.005198866718752e-10,6.326147423027604e-05,0.020338027691825036,5.32090946135222e-06,3.18610194478541e-06,6.020100588163595e-06,1.8208155884891443e-13,3.3477636623760235e-10,5.198782789345485e-13,2.028826106295661e-07,0.017210514308547697,2.9777063224086685e-05,0.00040158376997291323,1.7751872853825112e-09,1.952254356570574e-12,8.082355656524137e-09,2.346868861730329e-10,0.0010328059570634339,2.3480042712022873e-08,1.4328913086294377e-12,5.282024852332194e-06,0.0006355540375151958
0.00014252744394725581,0.873887315664513,3.76,0.0,0.6011669305966437,0.825508893861566,0.21170679393752137,1.6933567020086983e-10,4.785858838697861e-08,0.02944909752416659,0.000988020425885576,1.1534435085843552e-06,0.0005945583209187922,0.0014895327099471722,0.2196151434352467,0.010032325260631362,0.00016604571440540468,3.344685914510691e-06,4.2861498246218645e-05,0.05826956454754902,0.008515282026098261,0.000164580254181047,0.08913061409283507,4.5519289636585985e-05,8.028997654091054e-10,6.383092605800131e-05,0.020531923919089284,5.391439231188278e-06,3.2104086915265623e-06,6.072150720403137e-06,1.8340799235547108e-13,3.3626151571842824e-10,5.236634647998417e-13,2.0432650101170985e-07,0.017333313683352794,3.0213541086385648e-05,0.00040668659355861525,1.798312165516234e-09,1.9878883245951526e-12,8.138202066798747e-09,2.3798587625006543e-10,0.0010406305700662157,2.3657981802808596e-08,1.451148598402607e-12,5.308390770789975e-06,0.0006433297554502995
0.0001428060318249109,0.874035759691296,3.76,0.0,0.5996809459535162,0.8245227889570174,0.21287228685991078,1.7358125120908062e-10,4.8624162928405164e-08,0.029499394596224873,0.000988952649479917,1.1538369268158124e-06,0.0005979977015335641,0.0015014075779037522,0.22080356497674575,0.010014246225578238,0.0001669325845861606,3.3516495001624794e-06,4.304519021033131e-05,0.0584218494930434,0.00851988305768761,0.00016536490848849834,0.08969515073461753,4.562988320064159e-05,8.052732155215958e-10,6.440583468896935e-05,0.020727413192284678,5.462888780274244e-06,3.235005962290001e-06,6.124862058623729e-06,1.8474880022665123e-13,3.3775615923155824e-10,5.274896512814754e-13,2.05785796347953e-07,0.017457014293055555,3.065627309078159e-05,0.00041184154716777954,1.8216908491842583e-09,2.0242222093034915e-12,8.194519951336285e-09,2.4133906768594694e-10,0.0010484727564363337,2.3836321877062703e-08,1.469673060858196e-12,5.334930034377582e-06,0.0006511624319684161
0.000143084619702566,0.8741849911136291,3.76,0.0,0.5981892158193569,0.823531093224669,0.21404399230970816,1.7794982379158005e-10,4.940489734167882e-08,0.02954992377492557,0.0009898760562062094,1.1542256943584691e-06,0.00060147094475442,0.0015134197332486807,0.22199727781951809,0.009996010184298507,0.00016782671145189318,3.3586120897847985e-06,4.323017476093265e-05,0.058573197034212515,0.008524405386378262,0.0001661544617505214,0.09026290421282634,4.574031338944534e-05,8.076402042507838e-10,6.498627008468376e-05,0.02092450948968884,5.535271604492986e-06,3.2598987227909337e-06,6.178246236139436e-06,1.8610420729087918e-13,3.3926039699317397e-10,5.313574798232694e-13,2.0726073636730505e-07,0.0175816259188933,3.11053535898689e-05,0.00041704898762066753,1.8453256500784677e-09,2.0612717925003036e-12,8.251315049441922e-09,2.4474754599625967e-10,0.001056332024487691,2.401505178659417e-08,1.4884695709458499e-12,5.3616446864780325e-06,0.0006590518459731077
0.00014333534879245558,0.874319977723292,3.76,0.0,0.5968417133366434,0.8226337447884308,0.2151038838410362,1.8199052877122593e-10,5.01208191967387e-08,0.029595600435755837,0.0009906994577419924,1.1545715598231364e-06,0.0006046262287993151,0.0015243498865847888,0.2230761726096388,0.009979463088465876,0.00016863770814717818,3.3648772976974616e-06,4.3397778453557676e-05,0.058708598055512005,0.008528407490574891,0.00016686928782808338,0.09077665542342878,4.58395548257891e-05,8.097649437830607e-10,6.551344605008117e-05,0.021103281852835533,5.601225445944379e-06,3.2825590362217776e-06,6.226877018288417e-06,1.8733674429831662e-13,3.4062249754172073e-10,5.348746663834161e-13,2.0860175927134338e-07,0.017694563507815394,3.151503323345068e-05,0.000421780854352215,1.866817877556693e-09,2.095241718325158e-12,8.302843460194345e-09,2.4786336503500355e-10,0.0010634195557253832,2.4176232608335435e-08,1.5056231475481066e-12,5.385839538164753e-06,0.0006662006338386649
0.00014358607788234515,0.8744556116831237,3.76,0.0,0.5954894953166875,0.8217317888594893,0.21616889167292194,1.8613740059978115e-10,5.084958702168004e-08,0.029641468734810203,0.0009915154803193953,1.154913565476836e-06,0.0006078097161999025,0.0015353946869377214,0.2241594079234188,0.009962788029796167,0.0001694547291564118,3.371141184209656e-06,4.356645239217573e-05,0.05884322052279881,0.008532344521613788,0.00016758815589665264,0.09129305476577532,4.593865250965792e-05,8.118844025410507e-10,6.604520886323287e-05,0.021283377795989836,5.667956549036252e-06,3.3054665638931974e-06,6.276071194641266e-06,1.8858145815781117e-13,3.4199252544707887e-10,5.38426585036931e-13,2.0995582887936897e-07,0.017808254412424514,3.193000381881595e-05,0.00042655578218726164,1.888521159519956e-09,2.12981657151211e-12,8.354767415262815e-09,2.510256949049145e-10,0.0010705201429836808,2.4337711508105485e-08,1.5230048269073683e-12,5.410179651088419e-06,0.0006733950040533992
0.00014383680697223472,0.8745918975966105,3.76,0.0,0.5941325321034964,0.8208251873418806,0.21723905641414293,1.903933953171767e-10,5.1591481566055535e-08,0.029687530396650102,0.0009923240079313278,1.1552516651535623e-06,0.0006110217830599818,0.0015465558113469,0.2252470099754721,0.009945984622595652,0.0001702778453836458,3.3774034914600767e-06,4.3736207726222104e-05,0.05897705516249478,0.008536215824738572,0.00016831110126025182,0.09181212273364629,4.603760080455546e-05,8.139985598045836e-10,6.65816118800075e-05,0.02146480786593074,5.735475261559801e-06,3.328625140741835e-06,6.325837785311036e-06,1.898385201463253e-13,3.433705554490529e-10,5.420137242749224e-13,2.1132312771765044e-07,0.017922706084303092,3.23503373902643e-05,0.00043137402885459053,1.9104372189729294e-09,2.1650087348420186e-12,8.407091258514824e-09,2.542353818592913e-10,0.0010776334056238617,2.449947985544203e-08,1.5406183917991131e-12,5.4346665640015705e-06,0.0006806347625141103
0.0001440875360621243,0.8747288401181619,3.76,0.0,0.5927707937615717,0.819913901678227,0.21831441915709202,1.9476225583857014e-10,5.234678880804221e-08,0.02973378714804025,0.0009931249222124698,1.1555858112044738e-06,0.0006142628114752813,0.0015578349670478853,0.22633900521528208,0.009929052473232372,0.00017110712873693107,3.3836639521830514e-06,4.3907055691093486e-05,0.05911009260197499,0.008540020727215698,0.00016903815942184326,0.09233388005699894,4.61363939249936e-05,8.161073959887756e-10,6.712270922002346e-05,0.021647582724375395,5.8037921001991814e-06,3.352038672949312e-06,6.376185920661087e-06,1.911081066377626e-13,3.447566628254754e-10,5.456365871763726e-13,2.1270384374429302e-07,0.018037926079332148,3.277610705205298e-05,0.0004362358511916155,1.932567791100751e-09,2.2008308923187905e-12,8.459819386653239e-09,2.574932911214222e-10,0.0010847589557823696,2.4661528856055825e-08,1.5584677023413386e-12,5.459301831106712e-06,0.0006879197043975021
0.00014433826515201386,0.8748664439489829,3.76,0.0,0.5914042500726321,0.8189978928405018,0.21939502148713344,1.9924764414987238e-10,5.3115801487859555e-08,0.029780240718037563,0.0009939181024116268,1.155915954492224e-06,0.0006175331896871957,0.0015692338920080696,0.22743542032928,0.009911991180158562,0.00017194265215821975,3.389922289577924e-06,4.40790076099968e-05,0.0592423233669624,0.008543758537923248,0.000169769366087152,0.09285834770619934,4.623502593278664e-05,8.182108926323822e-10,6.766855578613936e-05,0.02183171314998831,5.872917750145983e-06,3.3757111385316467e-06,6.427124909653675e-06,1.9239039401880558e-13,3.4615092337069555e-10,5.492956763872592e-13,2.1409816477642156e-07,0.018153922060112314,3.320738698359455e-05,0.00044114150502768795,1.9549146226529086e-09,2.2372960265225304e-12,8.512956247582262e-09,2.6080030638811384e-10,0.001091896398189131,2.482384954769345e-08,1.5765566959319924e-12,5.4840870227120535e-06,0.0006952496138825131
0.00014458899424190343,0.8750047138432102,3.76,0.0,0.5900328705341176,0.8180771213246938,0.22048090548800345,2.0385239840029134e-10,5.389882307657051e-08,0.029826892837665667,0.000994703425346651,1.1562420443592232e-06,0.0006208333122105554,0.0015807543553440773,0.22853628224179406,0.009894800333950302,0.00017278448965635213,3.396178217189207e-06,4.4252074893927203e-05,0.059373737879984706,0.008547428547107239,0.00017050475717771943,0.09338554689450579,4.6333490734038913e-05,8.203090323496804e-10,6.82192072695721e-05,0.022017210039525555,5.942863070187274e-06,3.399646589681681e-06,6.47866433974745e-06,1.9368555916382082e-13,3.4755341340880287e-10,5.529914959610312e-13,2.1550627913029088e-07,0.01827070179732616,3.364425245902218e-05,0.00044609124511261014,1.9774794716546036e-09,2.2744174190616183e-12,8.566506341732832e-09,2.6415732972261583e-10,0.0010990453300610001,2.4986432797719204e-08,1.5948893876719362e-12,5.509023725522775e-06,0.0007026242639851934
0.000144839723331793,0.8751436546037977,3.76,0.0,0.5886566243570575,0.8171515471440753,0.22157211374849975,2.0858009605345093e-10,5.46961650553499e-08,0.029873745239809592,0.0009954807653798565,1.1565640285857142e-06,0.0006241635799161746,0.00159239815821157,0.22964161811630085,0.009877479517350274,0.00017363271630096725,3.4024314385990197e-06,4.442626903921966e-05,0.0595043264585097,0.00855103002609006,0.00017124436881499572,0.09391549908108951,4.6431782076463706e-05,8.224017989858684e-10,6.87747201563832e-05,0.02220408440926259,6.013639097496033e-06,3.42384915589135e-06,6.530813956892221e-06,1.9499378845935207e-13,3.489642098272053e-10,5.567245781056981e-13,2.1692838554227413e-07,0.018388273171616787,3.408677986011806e-05,0.0004510853250293739,2.0002641086833843e-09,2.312208681636398e-12,8.62047422625674e-09,2.675652839770423e-10,0.0011062053409700505,2.5149269300157148e-08,1.6134698760191404e-12,5.534113542384379e-06,0.0007100434163593602
0.00014506537951269362,0.8752692788903339,3.76,0.0,0.5874138161414113,0.8163143906572536,0.22255878903929646,2.1294396873398084e-10,5.5426276231007416e-08,0.029916085076932667,0.0009961734401746935,1.1568502596328585e-06,0.0006271869315770203,0.0016029845513914997,0.23064026828569814,0.009861779306583275,0.00017440164593794243,3.4080567708561565e-06,4.45840168103344e-05,0.05962114191571752,0.008554212146005043,0.00017191365788201947,0.09439482780022533,4.652009067881139e-05,8.242806826699614e-10,6.927888560111155e-05,0.022373458290488354,6.078057042953296e-06,3.4458633230094507e-06,6.578278423605653e-06,1.9618251945646282e-13,3.5024109252240675e-10,5.601166524567369e-13,2.1822040925028956e-07,0.01849477086232296,3.448995950612275e-05,0.00045561811605429305,2.020959673714291e-09,2.346805069848642e-12,8.669406342420214e-09,2.7067676789991015e-10,0.0011126584778325737,2.529603084859572e-08,1.6304076361930534e-12,5.556826628015033e-06,0.000716758496558192
0.00014529103569359424,0.8753954540854961,3.76,0.0,0.5861670179206795,0.8154732813753456,0.22354984367104783,2.1741377673561225e-10,5.6168478689457665e-08,0.029958589813635216,0.0009968594499000282,1.157133081222645e-06,0.0006302353323682249,0.0016136736950111401,0.23164258470450155,0.009845973160371913,0.000175175868772969,3.413679432222393e-06,4.4742695229204196e-05,0.05973727322410803,0.00855733759187765,0.0001725864216478659,0.09487642003101164,4.660824879464924e-05,8.261551921140291e-10,6.978707754230808e-05,0.022543965155332083,6.143165247619234e-06,3.4681003792194693e-06,6.626252455141315e-06,1.973821195514721e-13,3.515248228646403e-10,5.635397275158268e-13,2.1952407210487263e-07,0.018601922158438342,3.4897845376225126e-05,0.0004601872096739638,2.041836017987723e-09,2.381965724885037e-12,8.718684001046427e-09,2.7383097088908516e-10,0.00111911993959223,2.5442982813313918e-08,1.6475526045626292e-12,5.579666239249046e-06,0.0007235092308007784
