Time (s),Volume (m^3),N2,Ne,CH4(1),O2(2),H2O(3),C(4),CH(5),CH3(18),HO2(12),CH3O2(36),OH(8),H(6),H2(9),CH2O(19),O(7),CH3O(26),C2H5(31),C2H4(29),C2H6(30),HCO(16),CO(14),H2O2(13),C2H4(92),C2H3(28),C2H2(22),C2H(21),CH2(S)(24),CH2(T)(17),C1OO1(207)
1.31071e-10,0.5124377605813701,3.76,0.0,0.7145744979339826,0.9999999999993792,1.32641512271441e-23,2.5318205896006426e-41,1.1536826745711243e-29,6.216181809620286e-13,6.208954805779252e-13,1.736027830047241e-18,8.460507579883844e-20,7.244226768614715e-16,2.5103943185807097e-20,7.165502548123413e-20,1.5847097828847688e-20,2.7571691587511924e-21,2.942407008963575e-29,4.439565218571134e-32,5.860210754188201e-28,1.227310762471433e-29,1.3675153919629112e-27,1.288448237876287e-20,4.298790111782037e-46,3.092078950923728e-44,4.000808115368849e-49,6.428738841503046e-67,3.9845966188613e-22,4.618559567916213e-24,4.30395533596844e-35
2.62143e-10,0.5124377605813701,3.76,0.0,0.714574497933361,0.9999999999987582,1.0609913359160916e-22,2.0025424021895964e-40,4.591798221567375e-29,1.2432400769933059e-12,1.2417982352950921e-12,6.942555754094667e-18,3.383715348106842e-19,1.4487292806018673e-15,9.960093691152151e-20,2.8663037177050257e-19,6.312868488198964e-20,1.1020319468546588e-20,1.4706943253462146e-28,3.5586307065762053e-31,4.665942671441776e-27,9.813443580482336e-29,1.0811601263436187e-26,5.1538375219720905e-20,5.876671750469585e-45,4.922197813773403e-43,1.2753635571612908e-47,5.1516934523095714e-65,7.856958504403567e-22,1.8241493882120367e-23,3.402674361099085e-34
5.24287e-10,0.5124377605813704,3.76,0.0,0.7145744979321178,0.9999999999975164,8.485549453513944e-22,1.5662497711726856e-39,1.818602925351956e-28,2.4864732468410137e-12,2.4836038150502485e-12,2.7757421914390687e-17,1.3530783792204959e-18,2.8969690574537893e-15,3.9673040590359565e-19,1.1465884425868404e-18,2.519375958854455e-19,4.4013985230634343e-20,8.235074776066632e-28,2.8584079470573123e-30,3.723841130140706e-26,7.842578902943814e-28,8.450159206144134e-26,2.0615435818892659e-19,7.283339315045369e-44,7.796072996923442e-42,4.039247347711496e-46,3.1581696988598795e-63,1.5280863922875244e-21,7.11652044116355e-23,2.6594067751816644e-33
9.999999999999999e-10,0.5124377605813706,3.76,0.0,0.7145744979298617,0.9999999999952629,6.23461140095673e-21,1.1019554171945729e-38,6.640960701242626e-28,4.7425313343886255e-12,4.737109997069218e-12,1.0322109629596054e-16,5.0332379679208344e-18,5.5237370915506e-15,1.4732977674023833e-18,4.268118008394615e-18,9.362587331758083e-19,1.6333489884016335e-19,4.775937568500168e-27,2.1190976520198164e-29,2.7342963221013856e-25,5.753558589261973e-27,5.94090175030835e-25,7.673184711536107e-19,7.370329340747233e-43,1.1165935738672947e-40,1.1528501408084783e-44,1.6788704082526942e-61,2.7681768393211998e-21,2.5264465787856874e-22,1.8696095354392364e-32
1.0485750000000002e-09,0.5124377605813706,3.76,0.0,0.7145744979296313,0.9999999999950328,6.78458100937826e-21,1.1984830002683073e-38,7.1333711019756125e-28,4.972897167575076e-12,4.967215255474122e-12,1.1092668345268063e-16,5.4090186424475346e-18,5.7919560749634e-15,1.5832259375066351e-18,4.586857035200933e-18,1.0061346862060589e-18,1.7551874367640477e-19,5.179519752853241e-27,2.306291299963077e-29,2.9754709075266674e-25,6.260973315057469e-27,6.46124206931873e-25,8.246188745213129e-19,8.048542732022995e-43,1.2226482547197176e-40,1.2664430659348074e-44,1.8470748700808427e-61,2.8948023329794793e-21,2.711755041076109e-22,2.033359979033413e-32
2.0971510000000003e-09,0.512437760581371,3.76,0.0,0.7145744979246583,0.9999999999900652,5.421481267252639e-20,8.79518975566832e-38,2.7464344152853842e-27,9.945575890587298e-12,9.93443925702285e-12,4.428833876113046e-16,2.1609688843573308e-17,1.157596941523675e-14,6.322724581283665e-18,1.8351358289842825e-17,4.017622592333021e-18,6.978115861930399e-19,3.5851608763797054e-26,1.879843410006796e-28,2.3788750824481383e-24,4.9879423816669454e-26,4.745673373277949e-24,3.2984761979887626e-18,8.02593181792748e-42,1.881409048191505e-39,3.895348542873535e-43,9.981638113415923e-60,5.2259106730839466e-21,9.896057084937067e-22,1.4933110904756269e-31
3.1457270000000003e-09,0.5124377605813716,3.76,0.0,0.7145744979196853,0.9999999999850974,1.5491898540376125e-19,2.3939067873920314e-37,5.685932156698323e-27,1.4918086050742553e-11,1.4901664376323428e-11,9.399200918022926e-16,4.5881868762013324e-17,1.7354031470650973e-14,1.3426295862137115e-17,3.900234897627536e-17,8.52898696419581e-18,1.476631229560899e-18,1.0186990657331748e-25,5.4565401037866965e-28,7.060973040680048e-24,1.422832651493583e-25,1.293568640254191e-23,7.009259930199827e-18,2.465265046929259e-41,7.040246484884317e-39,1.7986231982530777e-42,4.897385682431274e-59,7.214273327635326e-21,1.9768466953703737e-21,4.070178803508715e-31
4.194303e-09,0.512437760581372,3.76,0.0,0.7145744979147123,0.9999999999801293,3.265749851664384e-19,4.830939856814374e-37,9.472274356348007e-27,1.9890428201855286e-11,1.9868890610431272e-11,1.601500364013419e-15,7.820831475543171e-17,2.312615161132983e-14,2.2891508670322836e-17,6.654232588029883e-17,1.4537016628964794e-17,2.509250402488946e-18,2.166440346718418e-25,1.1690618464040554e-27,1.5383767967366265e-23,2.9946709460704572e-25,2.6155625996966986e-23,1.1956968188365989e-17,5.461213155185976e-41,1.856223174013563e-38,5.515154137788204e-42,1.8748394615400966e-58,8.910643322656514e-21,3.1906623331523348e-21,8.229284701151445e-31
6.291455e-09,0.5124377605813729,3.76,0.0,0.7145744979047662,0.9999999999701932,8.910960911689723e-19,1.2272677737799736e-36,1.8862824646880108e-26,2.983471990812883e-11,2.9803345685913475e-11,3.309177380960953e-15,1.6171072857922513e-16,3.465647549507904e-14,4.7357035906532185e-17,1.3779794325144887e-16,3.005572041321202e-17,5.161794693719926e-18,6.134038617494148e-25,3.293438436975851e-27,4.4648151826836644e-23,8.149971919125239e-25,6.674994046703175e-23,2.4755365089848743e-17,1.5946403711825109e-40,7.191606813944424e-38,2.622224228764148e-41,1.3475179808022386e-57,1.1746984785913036e-20,6.04284993843865e-21,2.099907873589724e-30
8.388607e-09,0.5124377605813738,3.76,0.0,0.7145744978948202,0.9999999999602562,1.8628370846490398e-18,2.408145480809728e-36,3.0927492208199524e-26,3.977839836006489e-11,3.973780483654138e-11,5.617508818120886e-15,2.746888337279706e-16,4.6165026109608114e-14,8.048702109251526e-17,2.3440715392610345e-16,5.1051608903987355e-17,8.725413656763738e-18,1.323265177104199e-24,7.101159663796627e-27,9.763166803548884e-23,1.6998137658534446e-24,1.316583556730841e-22,4.210235917177857e-17,3.5110919896814277e-40,1.891320129817324e-37,8.022638190371809e-41,4.8091124234831953e-57,1.3830716422341863e-20,9.461186965208179e-21,4.1414482372977736e-30
