Time (s),Volume (m^3),N2,Ne,CH4(1),O2(2),H2O(3),C(4),CH(5),CH3(18),HO2(12),CH3O2(36),OH(8),H(6),H2(9),CH2O(19),O(7),CH3O(26),C2H5(31),C2H4(29),C2H6(30),HCO(16),CO(14),H2O2(13),C2H4(92),C2H3(28),C2H2(22),C2H(21),CH2(S)(24),CH2(T)(17),C1OO1(207),C2H5O(49),CH2O2(59),CHO2(121),CO2(15),HCCO(20),CH2CO(27),C2H2O(171),C2H2O(603),CH3CO(33),CHO2(125),C#CC(199),C3H4(637),CHO3(309),CH2O2(77),C3H4(718),C2H3O(346),C2H2O(128),CH2OH(32),H2CC(23),C3H3(635),S(1002),CH2O3(747),CO2(213),C2O3(1082),C3H5(202),C2O3(290),C3H5(167),C3H3(983),CHO2(209),C3H7(93)
4.638978145326238e-15,0.7974310143932185,3.76,0.0,0.737053105644594,0.9999999999998117,6.38759375287263e-30,3.6632253410802866e-41,1.3932749279705379e-27,2.8372375541183705e-13,1.8829710726772194e-13,4.084622037861343e-24,4.526684338635548e-22,9.54266456182935e-14,2.530269605043659e-18,1.2260977312206273e-23,3.3218006655547798e-19,2.54645620237245e-24,6.485525669560424e-29,1.2104432500526972e-34,1.2915003137112233e-30,2.4412351012339596e-33,5.674477425721803e-33,7.660799822525942e-24,6.17595595076711e-48,4.773460918053074e-47,4.109643641254263e-54,8.723552111129149e-71,2.52922441593405e-18,6.946238107454478e-25,3.888255297897939e-38,6.184315247172684e-40,7.931899390518923e-37,1.5435889041264767e-31,6.412689519315048e-33,5.804682076167303e-60,6.476116315548276e-57,9.463166963947383e-68,1.3714224234149955e-71,7.99364325580074e-52,3.214390623002429e-36,6.197126293455848e-73,1.8022981226663376e-74,2.0459376522966216e-61,6.433242314754327e-38,2.7236704901388654e-74,1.724502376533295e-73,2.5885711073791406e-62,3.757762963716238e-33,2.734988097132282e-46,7.347460396197142e-72,2.4068531853981205e-81,2.935095534555732e-65,2.1204963848110095e-47,1.1171160089490125e-90,6.489164763194748e-78,2.6199052655459188e-89,4.3757295701647716e-77,9.246780742370785e-83,1.4135577222516775e-37,2.0545931590577762e-57
9.281986680005497e-15,0.7974310143932323,3.76,0.0,0.73705310564431,0.9999999999996232,5.113958901174228e-29,2.93281029549627e-40,5.576729722734237e-27,5.676940148516408e-13,3.7675780884861016e-13,1.634912992577974e-23,1.8118534040657167e-21,1.909361958931619e-13,5.064828026189125e-18,4.90758655897291e-23,6.655353862382591e-19,1.0192457942877629e-23,2.595907556991343e-28,9.690906557179004e-34,5.171166893347444e-30,1.9544714505510773e-32,4.543030094886179e-32,3.0663163839388636e-23,9.88951571781397e-47,7.645857256026591e-46,1.3163147021804743e-52,5.588550206457008e-69,5.0606445459654425e-18,2.78030397280298e-24,3.112975308413188e-37,4.9512114849400744e-39,6.350279165136006e-36,1.2358029809220544e-30,5.134655686041435e-32,1.859790170385552e-58,2.0754408188953257e-55,6.06548777848554e-66,8.789784806264494e-70,1.2821699128241927e-50,2.5734617690477373e-35,3.976265394808534e-71,1.1549284290057302e-72,6.555959054899365e-60,5.235819265860538e-37,1.7486423012060168e-72,1.1053487646457547e-71,8.293638129795274e-61,3.0084940870795046e-32,4.379544466523293e-45,4.708342034167283e-70,3.0839733127123724e-79,1.8817636503118343e-63,3.395521342630553e-46,2.8659491011636996e-88,6.625285938848519e-76,3.3606071810919777e-87,4.2371902391374004e-75,1.1851004488707863e-80,1.1316954169001604e-36,5.371304711757574e-56
1.8568003749364012e-14,0.7974310143932601,3.76,0.0,0.737053105643742,0.9999999999992463,4.092721283124031e-28,2.3471437785871728e-39,2.231417516806387e-26,1.1356345399392723e-12,7.536792118726722e-13,6.541779095981198e-23,7.249773509577326e-21,3.819552876139567e-13,1.0140219071440195e-17,1.9636741313758732e-22,1.3349071360017907e-18,4.0783083070684745e-23,1.0387068471851818e-27,7.755670440222472e-33,2.0705807151198198e-29,1.56416955418273e-31,3.635801318932338e-31,1.2269259540799734e-22,1.5829460363412486e-45,1.2240029423347122e-44,4.214173646404259e-51,3.578448398218344e-67,1.0123479701759748e-17,1.1124825304331327e-23,2.4913372979993467e-36,3.962472295616826e-38,5.082052025220895e-35,9.890072297433802e-30,4.1102532372117745e-31,5.954991820390167e-57,6.646350330832736e-54,3.884784839913473e-64,5.629479483954303e-68,2.059175212499498e-49,2.0595431933307227e-34,2.5518549347160026e-69,7.396147851960857e-71,2.0997620635605353e-58,4.326798355763437e-36,1.1235753719076953e-70,7.079559679875908e-70,2.655591389059847e-59,2.4077077482906546e-31,7.010122666710506e-44,3.015248671614135e-68,3.948114992821872e-77,1.2053832324757568e-61,5.4349312609611654e-45,7.344575675209605e-86,7.402115577021163e-74,4.306757301598775e-85,4.548760522188446e-73,1.5178940301599102e-78,9.056838498114968e-36,1.5259358205813417e-54
3.7140037888081046e-14,0.7974310143933155,3.76,0.0,0.7370531056426062,0.9999999999984924,3.274798725509456e-27,1.8780783593655087e-38,8.927116878268719e-26,2.271515614946631e-12,1.5075220173699394e-12,2.617135655451536e-22,2.900381356682903e-20,7.639934357397814e-13,2.0316097971463752e-17,7.855977313928092e-22,2.6842950749206556e-18,1.63158688662552e-22,4.155549295585006e-27,6.205714222043629e-32,8.295196074688851e-29,1.2515707188557248e-30,2.9091878962075197e-30,4.908502696909583e-22,2.5331623796298404e-44,1.9589367923585e-43,1.3488499697368908e-49,2.290804443357501e-65,2.0249129596316574e-17,4.45064484488823e-23,1.9934658879604792e-35,3.1705772075702685e-37,4.066251681529552e-34,7.913388606051371e-29,3.290376384813514e-30,1.9061795791607818e-55,2.1276240317387774e-52,2.4871444849994487e-62,3.6040963996717145e-66,3.3173336649078556e-48,1.647934109705712e-33,1.6403183739991414e-67,4.734929555639653e-69,6.724900943801777e-57,3.6806133546139114e-35,7.239482045216735e-69,4.532608296865086e-68,8.500447565362447e-58,1.9265290304308362e-30,1.121847577595365e-42,1.9303688837598806e-66,5.050357207386084e-75,7.717785790429437e-60,8.697293955317144e-44,1.8811452647922626e-83,8.783821720422169e-72,5.517534328510794e-83,5.261828890972353e-71,1.9435140036772022e-76,7.246583947313492e-35,4.574104398453662e-53
7.428410616551512e-14,0.7974310143934265,3.76,0.0,0.7370531056403344,0.9999999999969847,2.620087528615703e-26,1.5026161067624732e-37,3.571132413146379e-25,4.543277864289731e-12,3.015207626161046e-12,1.0469378966636454e-21,1.1602468655263998e-19,1.5280695907284002e-12,4.076824299104336e-17,3.142648374042755e-21,5.425648692724981e-18,6.526862711883881e-22,1.6623914386004028e-26,4.965041840355778e-31,3.327569178093817e-28,1.0013475230336478e-29,2.3275623983414164e-29,1.963560838889536e-21,4.053258132740277e-43,3.134722335597179e-42,4.316820808347409e-48,1.4663430368297936e-63,4.050034771764017e-17,1.7803950828162454e-22,1.594952177163551e-34,2.536698339304319e-36,3.253050898347043e-33,6.331036977360842e-28,2.635030013317871e-29,6.100679822964911e-54,6.809672252726831e-51,1.5920068960788148e-60,2.3069429009063122e-64,5.378624699029784e-47,1.3184510865952722e-32,1.0583277002249632e-65,3.0306995820794626e-67,2.1545979469901505e-55,3.294409061426988e-34,4.6928229807322987e-67,2.901390492072051e-66,2.7205205401724444e-56,1.5413647922057237e-29,1.7951377793169992e-41,1.2356291527449365e-64,6.453120094424678e-73,4.940394770939781e-58,1.391591636174043e-42,4.816629354044629e-81,1.0800861535133179e-69,7.069584644953063e-81,6.37607254842454e-69,2.4880664393722556e-74,5.79739697627638e-34,1.4142632717567752e-51
1.4857224272038326e-13,0.797431014393648,3.76,0.0,0.7370531056357909,0.9999999999939694,2.0961691947395515e-25,1.2021671671188653e-36,1.4285071228570491e-24,9.086802760289465e-12,6.030578834929542e-12,4.1879094617652605e-21,4.641175519006208e-19,3.05622133565374e-12,8.207408175990731e-17,1.2571118591839539e-20,1.1078666747395235e-17,2.6108385216581595e-21,6.650127839361466e-26,3.9722204905263204e-30,1.3384586928801192e-27,8.011094518314826e-29,1.8621240702019086e-28,7.854562668214779e-21,6.48485753596229e-42,5.015887283006917e-41,1.381461392623536e-46,9.385798979421158e-62,8.100245729182357e-17,7.121808151099163e-22,1.2760671608489123e-33,2.0294481847294757e-35,2.6021494194270894e-32,5.0646300297778416e-27,2.112090115998764e-28,1.9523454131266694e-52,2.179304325019566e-49,1.018898089259208e-58,1.4764536866914697e-62,8.831361083147206e-46,1.054776734058479e-31,6.880470205052233e-64,1.9396277523759848e-65,6.909950591722439e-54,3.195030445426931e-33,3.0787880296902047e-65,1.8570314122226207e-64,8.706067439767103e-55,1.2331427352989454e-28,2.8723634494906817e-40,7.908617757189637e-63,8.229164268558653e-71,3.16210610003873e-56,2.2262856542654265e-41,1.23301930817595e-78,1.3541850274616249e-67,9.06391237042617e-79,7.931282971477701e-67,3.184905273597246e-72,4.6374648376839214e-33,4.446465985654449e-50
2.9714851583011954e-13,0.7974310143940915,3.76,0.0,0.7370531056267037,0.9999999999879386,1.676974621191652e-24,9.617841040597032e-36,5.714112994204051e-24,1.8173854141543126e-11,1.2061321217211638e-11,1.6751878404714897e-20,1.8565073432307203e-18,6.1125225652986345e-12,1.6629195302905327e-16,5.0285606019764323e-20,2.306594500654534e-17,1.0443464165835261e-20,2.6603384608672646e-25,3.177849318737658e-29,5.412959795327692e-27,6.408922189054869e-28,1.4897118208699415e-27,3.141888755775746e-20,1.0373842978717063e-40,8.025661875449126e-40,4.4225976281190883e-45,6.073047744600394e-60,1.6200536978790704e-16,2.8487316420747494e-21,1.0209496393321197e-32,1.6235861612247684e-34,2.0811054695536915e-31,4.0510963442495174e-26,1.6960563907832627e-27,6.24756933696262e-51,7.81662876416578e-48,7.26348906454175e-57,1.0302381427094981e-60,1.485088536364332e-44,8.437866852339122e-31,4.540190273355939e-62,1.2411805750563085e-63,2.221510909669424e-52,3.4508854884319114e-32,2.0706434653742884e-63,1.3298441477570428e-62,2.7859512844440033e-53,9.86525383656461e-28,4.595888477781806e-39,5.0616374302024846e-61,1.0453979710126148e-68,2.6740136374551945e-54,3.5609507034585954e-40,6.820513856844619e-76,1.715993054249007e-65,2.0401015598969063e-76,1.0008193695398133e-64,4.076625337746957e-70,3.708983658666323e-32,1.4101747970389148e-48
5.943010620495921e-13,0.7974310143949782,3.76,0.0,0.7370531056085294,0.9999999999758772,1.3415947562824066e-23,7.694804814044292e-35,2.2856430472037152e-23,3.634796326106754e-11,2.412280584075596e-11,6.700739316311419e-20,7.426099833451872e-18,1.222511598377972e-11,3.4115246099382505e-16,2.011453389250105e-19,4.976546111261229e-17,4.1773462458342276e-20,1.0643327743899345e-24,2.5423056133731184e-28,2.2124193346954645e-26,5.1270297257638384e-27,1.1917471289033592e-26,1.2567680999785236e-19,1.65913462640783e-39,1.2841178637476086e-38,1.4152621291428271e-43,3.88854192130481e-58,3.2400596834350826e-16,1.1394645878509873e-20,8.168838581015604e-32,1.2988668689625456e-33,1.663843490859633e-30,3.239789879647466e-25,1.3670069038710262e-26,1.9991574880590743e-49,2.5098226802464193e-46,4.669524776453418e-55,6.617126345337522e-59,2.6066437793805107e-43,6.749498008895668e-30,3.080409412032844e-60,7.940816699499633e-62,7.171915665969163e-51,4.1917169933998515e-31,1.4508939016820952e-61,8.55293677195594e-61,8.914374530438539e-52,7.892101204041014e-27,7.353483277837398e-38,3.2394324107395746e-59,1.3181778539023222e-66,1.7176881418427643e-52,5.693767105425191e-39,1.748444218633681e-73,2.184889747074629e-63,2.6395438154398407e-74,1.2714625879250428e-62,5.217664030978614e-68,2.9655014566846274e-31,4.4920875876994895e-47
1e-12,0.7974310143967517,3.76,0.0,0.7370531055837163,0.9999999999594097,7.7524521782668e-23,4.446956529483168e-34,6.966379138279775e-23,6.116088181035312e-11,4.0590211049659256e-11,2.0423057302445478e-19,2.263432766649386e-17,2.0570544464474235e-11,5.974307562487386e-16,6.130849870897714e-19,9.365866442413147e-17,1.2731880776540664e-19,3.245048270262528e-24,1.4690775820205388e-27,7.001177152279758e-26,2.9624912049903394e-26,6.886162466233871e-26,3.830560982814595e-19,1.8632927732358506e-38,1.4432955905490968e-37,3.136489522437834e-42,1.7121367629579958e-56,5.451692434961094e-16,3.4728105894527964e-20,4.721642636555492e-31,7.505365917509891e-33,9.603025062614352e-30,1.8708978232060525e-24,8.010009617515916e-26,4.430118811757754e-48,5.563001308065767e-45,2.0539620707905256e-53,2.910522948191127e-57,3.43307269408574e-42,3.899269675023481e-29,1.5081750244057252e-58,3.4919890390116083e-60,1.616913108853096e-49,3.9835910664676265e-30,7.482808742118084e-60,3.7640069855418603e-59,1.9752481421293086e-50,4.560270247893012e-26,8.265049247690052e-37,1.4255081132916226e-57,1.122629981465352e-64,7.557545587900122e-51,6.391299669700301e-38,3.0565463744087693e-71,1.910965718375561e-61,2.3487724756650897e-72,1.1105720645131053e-60,4.5748096805762484e-66,1.711751057010397e-30,9.93229447740191e-46
1.1886061544885372e-12,0.7974310143967517,3.76,0.0,0.7370531055721808,0.9999999999517541,1.0732807935280333e-22,6.156585396533882e-34,9.142415483786496e-23,7.269620692818744e-11,4.824577452376283e-11,2.6802451932140074e-19,2.970450976424984e-17,2.4450266657622573e-11,7.165724626359898e-16,8.045923972748427e-19,1.1406425958440551e-16,1.670881468084674e-19,4.258845264131833e-24,2.033850134841291e-27,9.227431924634862e-26,4.101377937504652e-26,9.53345009350821e-26,5.02709647421639e-19,2.652390684354546e-38,2.054574434801075e-37,4.528823738290645e-42,2.4900177774631136e-56,6.47986261088897e-16,4.5575642707826606e-20,6.53693340643071e-31,1.0390717119800616e-32,1.3293886353993814e-29,2.5900478764320086e-24,1.109828784276144e-25,6.396705996924372e-48,8.03251598999603e-45,2.987124179707934e-53,4.2328390380029176e-57,4.907899658136631e-42,5.398229902461144e-29,2.1949928192019794e-58,5.078470281491146e-60,2.335261277902942e-49,5.6406607970780315e-30,1.0894055112835866e-59,5.474101474264496e-59,2.8520828192083865e-50,6.313405596444696e-26,1.1765546296380694e-36,2.0731554447596435e-57,1.6384034764990792e-64,1.0991133465252612e-50,9.097864558932272e-38,4.469381683233369e-71,2.7892008470413925e-61,3.428426774318726e-72,1.6209571069868365e-60,6.677345196682845e-66,2.369666512903217e-30,1.4340904317773178e-45
