Time (s),Volume (m^3),N2,Ne,CH4(1),O2(2),H2O(3),C(4),CH(5),CH3(18),HO2(12),CH3O2(36),OH(8),H(6),H2(9),CH2O(19),O(7),CH3O(26),C2H5(31),C2H4(29),C2H6(30),HCO(16),CO(14),H2O2(13),C2H4(92),C2H3(28),C2H2(22),C2H(21),CH2(S)(24)
9.545278933849112e-14,0.6554408764791294,3.76,0.0,0.5580160647757624,0.9999999999998378,1.2881395995227977e-28,9.562209976567222e-42,1.1493894667124203e-28,1.7544714604178198e-13,1.6208368327379017e-13,1.0926689271222633e-22,7.78882755814836e-22,1.3363459934383938e-14,9.378959854450949e-20,7.232638143378819e-23,2.0950378141729737e-20,9.296302270865908e-24,1.784062240968374e-29,1.9293050618628497e-34,6.869786501930785e-31,7.557348346363898e-34,7.674248631745844e-34,2.846316219974706e-23,5.147854922049652e-48,5.168068818118736e-47,7.678180641228794e-54,1.2048521053912024e-71,9.265909111947688e-20
1.9098850898917904e-13,0.6554408764791309,3.76,0.0,0.5580160647755867,0.9999999999996756,1.0312947982096437e-27,7.655540743756691e-41,4.600540294132847e-28,3.5104672420922834e-13,3.243081864919386e-13,4.373516365531953e-22,3.1175604421024885e-21,2.6738526375473698e-14,1.8992343847509955e-19,2.894941289082928e-22,4.3351891498527926e-20,3.720932247832534e-23,7.141331542749945e-29,1.5446176685434178e-33,2.788012527843161e-30,6.0504726062225895e-33,6.144069478109158e-33,1.1392682515604149e-22,8.242039158351684e-47,8.278304766997944e-46,2.459902654006762e-52,7.720529131499507e-70,1.8539846313879833e-19
3.8205994829055484e-13,0.6554408764791343,3.76,0.0,0.5580160647752356,0.9999999999993512,8.253490686266011e-27,6.126692892970904e-40,1.840804987988584e-27,7.022458863605483e-13,6.487571931177591e-13,1.7499706850319228e-21,1.2474299312276611e-20,5.348864786075079e-14,3.889823312176539e-19,1.1583545209573676e-21,9.245558028520537e-20,1.4888484926806733e-22,2.8578094737414317e-28,1.2361643517218503e-32,1.1462242330472856e-29,4.8422149268206534e-32,4.917129757670993e-32,4.558556909087403e-22,1.3188662682304583e-45,1.3252754895338457e-44,7.876276264496888e-51,4.944418307224653e-68,3.708765402302109e-19
7.642028268933065e-13,0.6554408764791407,3.76,0.0,0.5580160647745331,0.9999999999987023,6.604043315596452e-26,4.9021789525154676e-39,7.36433557766777e-27,1.4046442339289433e-12,1.2976552071274926e-12,7.000977941237712e-21,4.990529388746623e-20,1.0698884524374085e-13,8.142649450818004e-19,4.634179734143916e-21,2.078655728432082e-19,5.9562907974787625e-22,1.1435872473277272e-27,9.89120518128162e-32,4.8309317774080935e-29,3.8745044100616202e-31,3.934461872535126e-31,1.823719548808244e-21,2.1093456316443847e-44,2.1210212913227436e-43,2.5211227385192867e-49,3.1657915795187715e-66,7.4183002664335815e-19
1e-12,0.6554408764791539,3.76,0.0,0.5580160647740998,0.9999999999983018,2.0867914924665646e-25,1.548973313173431e-38,1.4180996959886525e-26,1.8380516451282842e-12,1.6980507823505701e-12,1.3481389495579316e-20,9.610053297051474e-20,1.4000051315939141e-13,1.1102045061749414e-18,8.92386989624411e-21,3.0030737019953734e-19,1.1469607940321818e-21,2.2028441550162132e-27,3.125500123005866e-31,9.908188957246517e-29,1.2242921627084322e-30,1.243244969883327e-30,3.511862539031105e-21,1.185950588317573e-43,1.1937936934050834e-42,2.663654819305183e-48,6.472432046741724e-65,9.707196128713198e-19
1.5284885840988097e-12,0.6554408764791539,3.76,0.0,0.5580160647731284,0.9999999999974044,5.283731138148094e-25,3.9219455772272464e-38,2.945907546568673e-26,2.8094410221291243e-12,2.5954512381792996e-12,2.8005836424304355e-20,1.9963721313274727e-19,2.1398905765983024e-13,1.7734893011549443e-18,1.8538286600744334e-20,5.074957514372116e-19,2.3826521011499386e-21,4.5769404003849845e-27,7.913734933473753e-31,2.1287767527784325e-28,3.0998926662697214e-30,3.1478859351832364e-30,7.295471506452967e-21,3.371239036935545e-43,3.3940439253683405e-42,8.068608104152056e-48,2.026945062102743e-64,1.483726328544893e-18
3.057060098509816e-12,0.6554408764791803,3.76,0.0,0.5580160647703187,0.9999999999948088,4.2271773162207054e-24,3.137433494018501e-37,1.1783578250049804e-25,5.6190349707860126e-12,5.191043312412065e-12,1.1202506802510626e-19,7.985796740466805e-19,4.2798875309536964e-13,4.1265730453161765e-18,7.415663585974483e-20,1.3819947508655124e-18,9.530531234577008e-21,1.8326260023636235e-26,6.331319586907261e-30,1.0085491959915217e-27,2.4800235851069882e-29,2.5184564151317724e-29,2.918307027927915e-20,5.3813181586005134e-42,5.43062336104713e-41,2.5820352557628074e-46,1.298027662148757e-62,2.96747624988049e-18
6.114203127331829e-12,0.655440876479233,3.76,0.0,0.5580160647646996,0.9999999999896176,3.381808898538414e-23,2.509571385434713e-36,4.713102094097427e-25,1.1238224357149633e-11,1.0382227509392509e-11,4.480867011057221e-19,3.1943703019097496e-18,8.559852264032834e-13,1.0571268810877739e-17,2.9663635418254733e-19,4.23193026551862e-18,3.81191810726607e-20,7.344855870729568e-26,5.065225657281289e-29,5.2903358243274615e-27,1.9840527136370289e-28,2.0148579369305632e-28,1.167346303763022e-19,8.569215217514445e-41,8.688560512685438e-40,8.262118444302859e-45,8.316471054421242e-61,5.934805372533764e-18
1e-11,0.6554408764793385,3.76,0.0,0.5580160647575573,0.9999999999830194,1.8426506130634872e-22,1.3669612775312392e-35,1.3696981016705075e-24,1.8380526798110205e-11,1.6980508160610714e-11,1.302297203608405e-18,9.284715280865348e-18,1.3999848587599136e-12,2.3182301260635337e-17,8.622248898586941e-19,1.0652972520593302e-17,1.107786235942895e-19,2.1420826432708157e-25,2.7599669109867536e-28,2.1763075545354922e-26,1.0810477978289494e-27,1.0978920154642962e-27,3.3930171835844595e-19,8.943548566986075e-40,9.150223515881295e-39,1.7101169587232458e-43,3.4201423445024067e-59,9.706009893480123e-18
1.2228489184975854e-11,0.6554408764793385,3.76,0.0,0.5580160647534612,0.9999999999792353,2.705458067276655e-22,2.0069852508931912e-35,1.884920015584311e-24,2.2476609086266e-11,2.07645960973995e-11,1.7921835586851484e-18,1.2777504112376037e-17,1.7119665029535718e-12,3.041467864591208e-17,1.1865876849821479e-18,1.4335414936035752e-17,1.5244852738795897e-19,2.9493340049167203e-25,4.052308357776186e-28,3.121012682418966e-26,1.5872398065421992e-27,1.611977449165983e-27,4.669430657455027e-19,1.3581197292269179e-39,1.3899555103826188e-38,2.6434793681399267e-43,5.3338858600444205e-59,1.1868780816575328e-17
2.4457061300263905e-11,0.6554408764795496,3.76,0.0,0.5580160647309844,0.9999999999584706,2.164345440865687e-21,1.6044855941328128e-34,7.536999773606736e-24,4.49534023715731e-11,4.1529334049489584e-11,7.167319273484649e-18,5.11094197949143e-17,3.4238823772888244e-12,9.791681311558464e-17,4.746616335900287e-18,5.215574751958579e-17,6.095593562845551e-19,1.188828232267139e-24,3.241993910778148e-27,2.052302626955022e-25,1.2697654410175736e-26,1.2897047587483836e-26,1.8677801169400056e-18,2.1326354204092083e-38,2.223183108903604e-37,8.456346337615792e-42,3.428119455490171e-57,2.3734001129907147e-17
4.891420553084001e-11,0.6554408764799716,3.76,0.0,0.5580160646860307,0.9999999999169408,1.7314273193752613e-20,1.2818159542733881e-33,3.0126348591821637e-23,8.990708426262152e-11,8.30588130571074e-11,2.8657745189547984e-17,2.0443134611319303e-16,6.847527422870283e-12,3.4417627431407014e-16,1.8988443190568536e-17,1.982411359335848e-16,2.4363428644910257e-18,4.8280209305131766e-24,2.593808895357402e-26,1.4640403851283726e-24,1.0157610128621655e-25,1.0319510879774478e-25,7.471126299167112e-18,3.2898982621395866e-37,3.554653222743285e-36,2.704204950217906e-40,2.212457438646094e-55,4.745352449771583e-17
7.337134976141611e-11,0.6554408764803936,3.76,0.0,0.5580160646410769,0.999999999875411,4.9507152220724736e-20,3.6623991245997075e-33,6.398665348600785e-23,1.3486086148623407e-10,1.2458829516729538e-10,6.088071749205974e-17,4.3440687071293345e-16,1.0270985777332362e-11,7.016848612744014e-16,4.035330349026121e-17,4.147625187294992e-16,5.174443608640837e-18,1.0382623416727973e-23,7.417443001330259e-26,4.1963614545268306e-24,2.9043547636806383e-25,2.9510621330371157e-25,1.5876136013526634e-17,1.190219049766454e-36,1.3514402557554877e-35,1.2663795197441153e-39,1.2451727192265005e-54,7.116213564959852e-17
9.78284939919922e-11,0.6554408764808156,3.76,0.0,0.558016064596123,0.9999999998338811,1.0442327208261539e-19,7.72006883303248e-33,1.0910369921375572e-22,1.7981473405453475e-10,1.66117780379186e-10,1.0382863348946618e-16,7.410314968879194e-16,1.3694257452642329e-11,1.1704365078881685e-15,6.884245942629844e-17,7.017111678975572e-16,8.82261867676009e-18,1.7916627893423544e-23,1.5647390501993237e-25,8.96493944880656e-24,6.125958109942069e-25,6.225331519514595e-25,2.708280071228246e-17,2.9727589681528382e-36,3.6205088246486636e-35,3.934554151485372e-39,4.4479513275164985e-54,9.485983962616669e-17
9.999999999999999e-11,0.6554408764816595,3.76,0.0,0.5580160645921316,0.9999999998301937,1.1044230505314165e-19,8.164620695097243e-33,1.1353451056767465e-22,1.8380611144659618e-10,1.6980510906581935e-10,1.0804707218204954e-16,7.711543096138691e-16,1.399819655161507e-11,1.2162623354343649e-15,7.164141950454093e-17,7.298515037984546e-16,9.18088489006235e-18,1.8664462894854085e-23,1.6549574825940925e-25,9.500859576115798e-24,6.479055804438167e-25,6.584251506021721e-25,2.818376091538814e-17,3.189009547430894e-36,3.9242008770555564e-35,4.3319123811939866e-39,4.9880500107521014e-54,9.696350410633254e-17
1.467427824531444e-10,0.6554408764816595,3.76,0.0,0.5580160645062148,0.9999999997508212,2.852047655222223e-19,2.106623180619218e-32,2.257126464699008e-22,2.697227029968645e-10,2.4917675807977993e-10,2.1487168902088011e-16,1.5341575508729161e-15,2.0540362715834583e-11,2.3690016357033438e-15,1.4254496569246357e-16,1.4408698772527675e-15,1.8251009852479582e-17,3.788189413104307e-23,4.2749218542336085e-25,2.5486154029335168e-23,1.673113203929678e-24,1.7006975437066983e-24,5.607141662068355e-17,1.0136542995334324e-35,1.4503357496899512e-34,1.9229724553890737e-38,2.6725584660724853e-53,1.4222966475037658e-16
1.956570709142966e-10,0.6554408764825035,3.76,0.0,0.5580160644163061,0.999999999667761,5.967296192085313e-19,4.4041634895024046e-32,3.8359881769459432e-22,3.5963102265624075e-10,3.3223574717922966e-10,3.6529110968020936e-16,2.6091123379953335e-15,2.738578159258153e-11,3.976596783720676e-15,2.424565084879876e-16,2.4389422714451018e-15,3.101577098021556e-17,6.576377513728971e-23,8.947024502559875e-25,5.508688344089902e-23,3.500571070223387e-24,3.559116578370463e-24,9.536264674357545e-17,2.4809613408619197e-35,3.909123605029005e-34,6.005373956698965e-38,9.564384722760582e-53,1.8955942217328966e-16
2.445713593754488e-10,0.6554408764833475,3.76,0.0,0.558016064326397,0.9999999995847004,1.0862971404648263e-18,8.011003597770766e-32,5.856159710274484e-22,4.495397181647856e-10,4.1529474848594136e-10,5.578487963959359e-16,3.985996425031025e-15,3.423046513521757e-11,6.022397843867596e-15,3.704575605419286e-16,3.71436386486097e-15,4.734694467030896e-17,1.0256639217818268e-22,1.6292543398454492e-24,1.0256031521239533e-22,6.3723934225896495e-24,6.480517255018073e-24,1.4569233502641886e-16,5.155604317311045e-35,8.751092809705834e-34,1.5383591278933651e-37,2.790557204309788e-52,2.3684628356010015e-16
3.423999362977532e-10,0.6554408764850356,3.76,0.0,0.5580160641465776,0.9999999994185779,2.8679539599320103e-18,2.1101016870563713e-31,1.1241766883279421e-21,6.29358260885464e-10,5.814127884486606e-10,1.0716830679022423e-15,7.66431423787043e-15,4.7917580570132925e-11,1.1455868578569541e-14,7.125492825714106e-16,7.114281002098652e-15,9.087675461464289e-17,2.063958449452769e-22,4.3051670981396014e-24,2.77806504963675e-22,1.682309152121703e-23,1.7119177305534067e-23,2.801600706960991e-16,1.7721357920100987e-34,3.378273177238954e-33,8.626130950977515e-37,2.425802473152091e-51,3.312888513898307e-16
4.402285132200576e-10,0.6554408764867234,3.76,0.0,0.5580160639667562,0.9999999992524539,5.9456282716034226e-18,4.365263695625765e-31,1.8405571041719085e-21,8.091783313472767e-10,7.475308779040542e-10,1.7559004811604048e-15,1.2568473202631253e-14,6.16017106290641e-11,1.86685140072372e-14,1.1688533545284539e-15,1.1639780250763018e-14,1.48767638683479e-16,3.5291327350745565e-22,8.932020967049675e-24,5.82532905395896e-22,3.4874897230887074e-23,3.550846941454405e-23,4.594599731938119e-16,4.372772815991157e-34,8.966574070628568e-33,2.8610103809958028e-36,1.0168730577271425e-50,4.255577023928993e-16
6.358856670646664e-10,0.6554408764900992,3.76,0.0,0.558016063607108,0.9999999989202015,1.7862350847886206e-17,1.3047495269181474e-30,3.8020988849925744e-21,1.1688230588232656e-09,1.0797672049858475e-09,3.632929947510408e-15,2.6052312877994047e-14,8.896101981691884e-11,3.842857792175382e-14,2.4244586077689556e-15,2.4064173036325912e-14,3.0722474128964467e-16,7.950516428659104e-22,2.688143015648403e-23,1.7662487182865922e-21,1.047634280221197e-22,1.0680320954680378e-22,9.525345563643697e-16,1.7184016883946387e-33,4.002923560805052e-32,1.9496734225017683e-35,1.1638804435235762e-49,6.135759797480332e-16
9.999999999999999e-10,0.6554408764968501,3.76,0.0,0.5580160629377899,0.9999999983018701,7.116452648292977e-17,5.14042764051461e-30,9.303539231955217e-21,1.8381315258429018e-09,1.6980533694203208e-09,8.917251198860182e-15,6.418314345501477e-14,1.398444379970005e-10,9.412586119023871e-14,5.980860818591468e-15,5.914308395361494e-14,7.513320923727471e-16,2.266782591001112e-21,1.0748893326945123e-22,7.066975805994324e-21,4.17290147971274e-22,4.265462934337751e-22,2.347434123000646e-15,9.233394975953659e-33,2.6324845122756614e-31,2.2707584642250024e-34,2.814043416530567e-48,9.616401962761272e-16
1.027199974753884e-09,0.6554408764968501,3.76,0.0,0.5580160628877896,0.9999999982556789,7.67716919457462e-17,5.542886620720413e-30,9.811170067744295e-21,1.888130885214075e-09,1.7442404499917792e-09,9.405537782358807e-15,6.771242306875492e-14,1.4364386000137484e-10,9.927478550593652e-14,6.310226588151731e-15,6.238796499122654e-14,7.92300196183942e-16,2.4106107273676563e-21,1.1597549627881064e-22,7.62472256506001e-21,4.501649779275655e-22,4.60200385683932e-22,2.4765605005255818e-15,1.006271620040517e-32,2.8856131462636645e-31,2.518056688486772e-34,3.1461147426073405e-48,9.875454098243612e-16
1.4185142824431014e-09,0.6554408765036008,3.76,0.0,0.558016062168442,0.9999999975911321,1.9834060270762787e-16,1.4195498351541422e-29,1.8563569019143383e-20,2.6074632400750666e-09,2.4087144803563024e-09,1.7848784712952334e-14,1.2894971352092183e-13,1.9827902951528866e-10,1.885386315528971e-13,1.203208828942553e-14,1.186539449939069e-13,1.4982824164658449e-15,5.1790462265435776e-21,3.00501912917109e-22,1.9716275853156892e-20,1.1627953914931294e-21,1.1913272195625902e-21,4.717727310235887e-15,2.9996723890711567e-32,9.894543551766218e-31,1.1070441935500985e-33,1.8397492181019142e-47,1.3587725763230216e-15
2.2011428978215365e-09,0.6554408765171004,3.76,0.0,0.558016060729659,0.9999999962619669,7.486952656071149e-16,5.244727798300663e-29,4.402054955267819e-20,4.046201783004107e-09,3.737664878947432e-09,4.259366104359094e-14,3.100608625365988e-13,3.0740660622225117e-10,4.521916435207598e-13,2.900861962361144e-14,2.848294945410918e-13,3.548827106409795e-15,1.5503996055716756e-20,1.1425274161749536e-21,7.445744626224789e-20,4.387286361635313e-21,4.5186496125771284e-21,1.1351295958332443e-14,1.3552749339134482e-31,5.85125260192691e-30,1.066880664275961e-32,3.714704394570801e-46,2.093103455418403e-15
2.9055086516621283e-09,0.6554408765292482,3.76,0.0,0.5580160594346539,0.9999999950656366,1.6877970528104273e-15,1.1651762431940594e-28,7.578600241348129e-20,5.34115083399816e-09,4.933722888559391e-09,7.370416320613062e-14,5.398321029674228e-13,4.054588710828861e-10,7.864223534752417e-13,5.061353471131864e-14,4.953979100060602e-13,6.103984563700675e-15,3.129343748999661e-20,2.588738811456712e-21,1.678813094205698e-19,9.887055257514258e-21,1.0221592581570434e-20,1.977377421209569e-14,3.3060208774193266e-31,1.6655579598536373e-29,3.7201587872143827e-32,1.764846890400746e-45,2.744820734596252e-15
3.60987440550272e-09,0.6554408765413947,3.76,0.0,0.5580160581395539,0.9999999938692294,3.1929902233098495e-15,2.172691185810325e-28,1.1561802344832838e-19,6.636180104495731e-09,6.129783387293247e-09,1.1300737251194289e-13,8.32744136067416e-13,5.033574400020837e-10,1.2123382867421863e-12,7.823985413233508e-14,7.635427420122684e-13,9.303641159530086e-15,5.484967167990447e-20,4.922722370534691e-21,3.176682676521774e-19,1.8698011904907996e-20,1.9404504474731816e-20,3.051923088611406e-14,6.604132445717528e-31,3.8080522006287267e-29,1.013144258102406e-31,6.168476046174785e-45,3.3879646461184153e-15
4.314240159343312e-09,0.6554408765535394,3.76,0.0,0.5580160568443587,0.9999999926727455,5.392479109641731e-15,3.618590518412256e-28,1.6324275487878413e-19,7.931289853122017e-09,7.325846355578782e-09,1.603458300745752e-13,1.1886945702907568e-12,6.011025785203402e-10,1.7298026063156298e-12,1.119116416005802e-13,1.0890680043109465e-12,1.3124175916761096e-14,8.758465134232993e-20,8.356102522689627e-21,5.366303613245386e-19,3.156730040678809e-20,3.288308685980685e-20,4.358747126783774e-14,1.1608791009730721e-30,7.51312671686274e-29,2.3077541042957363e-31,1.7917649360195502e-44,4.022643093727733e-15
5.018605913183904e-09,0.6554408765656825,3.76,0.0,0.5580160555490683,0.9999999914761851,8.419673904708237e-15,5.5730442386171805e-28,2.1838431640517033e-19,9.226480345966988e-09,8.521911773052674e-09,2.1555853709653734e-13,1.607576668410684e-12,6.986945620777095e-10,2.3386729373344304e-12,1.516530885744635e-13,1.471769966227651e-12,1.754186011632657e-14,1.309609291499453e-19,1.3113558501495528e-20,8.381235522297659e-19,4.9271196006134174e-20,5.151668318174694e-20,5.897829250413322e-14,1.870133966025587e-30,1.3389979664285182e-28,4.658867179682819e-31,4.531312400114611e-44,4.6489671562038925e-15
6.427337420865088e-09,0.6554408765899644,3.76,0.0,0.5580160529582009,0.9999999890828359,1.7434746974083548e-14,1.123830447944813e-27,3.502772362192025e-19,1.181710450084642e-08,1.091404988267849e-08,3.490453577178979e-13,2.6337527504563453e-12,8.934200457923841e-10,3.830122055976539e-12,2.4942719794944943e-13,2.4079758306219343e-12,2.8088106298575396e-14,2.5483713064426257e-19,2.7429876006059345e-20,1.736642791629205e-18,1.0195481601334987e-19,1.0738534584057431e-19,9.672694979593231e-14,4.055689792837672e-30,3.433891076873412e-28,1.4716307793804633e-30,2.1967699052867954e-43,5.8769433656306404e-15
7.836068928546271e-09,0.6554408766142406,3.76,0.0,0.5580160503669515,0.999999986689184,3.130070646125685e-14,1.9660766244884873e-27,5.092506140711111e-19,1.440805463638232e-08,1.3306197554016127e-08,5.122342491722458e-13,3.910418957437179e-12,1.0875360703277275e-09,5.685551985853508e-12,3.7174081898839453e-13,3.5705414883879847e-12,4.076745987719313e-14,4.380093711584183e-19,4.974382279427903e-20,3.1200181840302275e-18,1.8290840783570177e-19,1.9404841276566124e-19,1.4376358168663876e-13,7.534605824639046e-30,7.306816549315888e-28,3.6993191724521304e-30,7.602707130945656e-43,7.072757118726458e-15
9.244800436227454e-09,0.6554408766385108,3.76,0.0,0.5580160477753187,0.9999999842952314,5.113569929089709e-14,3.129652551375479e-27,6.932852702661411e-19,1.6999332880723718e-08,1.5698354616434123e-08,7.038712674270094e-13,5.436674004772474e-12,1.2810449162692584e-09,7.903769868276631e-12,5.187695362386183e-13,4.957766720795697e-12,5.5408276082095986e-14,6.925037823896239e-19,8.210644884821564e-20,5.1010304141933566e-18,2.985913328957999e-19,3.1908515998465697e-19,2.0008647656244292e-13,1.265453325540407e-29,1.3752533373733827e-27,8.045557048270329e-30,2.1904903645829875e-42,8.237298371210375e-15
9.999999999999999e-09,0.655440876662776,3.76,0.0,0.5580160463858257,0.9999999830117469,6.460736424338893e-14,3.898781478035898e-27,8.016301590022356e-19,1.8388613586755405e-08,1.6980757491205276e-08,8.179098896876907e-13,6.3573325299691706e-12,1.384532843491664e-09,9.241889455258266e-12,6.078201573917704e-13,5.793360011842535e-12,6.401128615787152e-14,8.623482523214953e-19,1.0432822261862247e-19,6.447668741701711e-18,3.7709557850170575e-19,4.045720902055379e-19,2.3410322720837243e-13,1.6199515073535295e-29,1.8587303302296093e-27,1.1695003865629013e-29,3.7043918630884454e-42,8.849010067351062e-15
1.0653531943908638e-08,0.655440876662776,3.76,0.0,0.558016045183302,0.9999999819009805,7.80336610603927e-14,4.6520527669846636e-27,9.005656788681553e-19,1.9590941257922473e-08,1.8090520903011534e-08,9.227836839100506e-13,7.211632137769287e-12,1.4739487997547944e-09,1.0483608856738717e-11,6.906704105734353e-13,6.567992386758617e-12,7.185738375423334e-14,1.0299503120028801e-18,1.2663017100075973e-19,7.79051844079449e-18,4.5529284779717025e-19,4.901286543203873e-19,2.6569395271637486e-13,1.9773459787994886e-29,2.3690432834482985e-27,1.5795193523793752e-29,5.604645355237293e-42,9.371414173806665e-15
