Time (s),Volume (m^3),N2,Ne,CH4(1),O2(2),H2O(3),C(4),CH(5),CH3(18),HO2(12),CH3O2(36),OH(8),H(6),H2(9),CH2O(19),O(7),CH3O(26),C2H5(31),C2H4(29),C2H6(30),HCO(16),CO(14),H2O2(13),C2H4(92),C2H3(28),C2H2(22),C2H(21),CH2(S)(24),CH2(T)(17),C1OO1(207),C2H5O(49),CH2O2(59),CHO2(121),CO2(15),HCCO(20),CH2CO(27),C2H2O(171),C2H2O(603),CH3CO(33),CHO2(125),C#CC(199),C3H4(637),CHO3(309),CH2O2(77),C3H4(718),C2H3O(346)
4.734467155648823e-16,0.8900801467464109,3.76,0.0,0.7369224666546254,0.9999999999998909,1.7111082197352484e-31,2.0351453470252267e-41,2.286275628210612e-27,2.514398591045384e-13,1.090966336740822e-13,2.3236335793315086e-25,9.695833104762289e-23,1.423432248357563e-13,8.476424745779367e-18,1.824383328737934e-24,9.957379542898916e-19,4.826265850282041e-25,3.887820922713575e-29,1.7783789779994433e-35,3.8386825318009266e-31,8.177315141868821e-35,1.8409696929177122e-34,1.0034743550934237e-24,7.54904044095113e-49,7.365364761688897e-48,4.325768309209003e-56,2.973709746946366e-72,8.476174477665575e-18,2.1545285573691998e-25,1.3907201259100714e-39,7.87550710010177e-41,2.1797862624828346e-38,4.52216714505091e-33,1.93413077401024e-34,1.1697405188135669e-61,1.2434432255814667e-58,8.346537275102815e-70,1.8092138127209642e-73,4.63483352139187e-53,6.930404706192194e-38,2.3429515945031145e-74,1.423718121152571e-84,2.732196609076972e-63,1.5729939801114567e-39,4.708806194888279e-95,5.062297323755919e-75
9.473047662432008e-16,0.8900801467464339,3.76,0.0,0.7369224666543737,0.9999999999997816,1.3699270166030645e-30,1.629354487308833e-40,9.151060562802179e-27,5.030981721027663e-13,2.1828805155157084e-13,9.300589600369781e-25,3.880860043247768e-22,2.8481011817084603e-13,1.6960714339746878e-17,7.302287889872138e-24,1.99253240397281e-18,1.9317640149947484e-24,1.5561423025752641e-28,1.4237847269772083e-34,1.5365446633272892e-30,6.546823970670338e-34,1.4738950884115984e-33,4.016512547286445e-24,1.2088300036073785e-47,1.1796974393938773e-46,1.3857518431275259e-54,1.905297915144742e-70,1.695971261507626e-17,8.62372865531509e-25,1.1134216173578682e-38,6.30519497130651e-40,1.7451527559953102e-37,3.6204814462327777e-32,1.548498235529271e-33,3.7477907243342586e-60,3.9850833354446843e-57,5.3500546397365685e-68,1.1596898167774385e-71,7.422498691852429e-52,5.548536371687195e-37,1.5018095763290233e-72,1.8251799806276084e-82,8.753926395737632e-62,1.2635647323433571e-38,1.2078535028114245e-92,3.244887599064697e-73
1.8950208675998375e-15,0.8900801467464798,3.76,0.0,0.7369224666538703,0.9999999999995632,1.096357965313846e-29,1.3039799911031292e-39,3.6616160808920406e-26,1.006414799592134e-12,4.3667088726599195e-13,3.72144707330866e-24,1.5528495181770105e-21,5.697439028016441e-13,3.393079552332914e-17,2.9218663988192014e-23,3.98669571838207e-18,7.729571608525294e-24,6.226602086370333e-28,1.1394605899274676e-33,6.148750369581434e-30,5.2394484089962885e-33,1.1795639261839763e-32,1.6071281917170596e-23,1.934913430981558e-46,1.8885077542070196e-45,4.436817013737103e-53,1.220071695733891e-68,3.392678731985646e-17,3.450614404585394e-24,8.910755241925178e-38,5.046073288108767e-39,1.396649939573943e-36,2.89748238838569e-31,1.239297350507012e-32,1.2000328341721636e-58,1.276197895661344e-55,3.4266813481041116e-66,7.427753521475026e-70,1.1883156882863023e-50,4.4405132083509686e-36,9.619551547712697e-71,2.3381073057916072e-80,2.803050860801325e-60,1.0179793204369809e-37,3.095352292868165e-90,2.0783343602363746e-71
3.790453070313111e-15,0.8900801467465724,3.76,0.0,0.7369224666528637,0.9999999999991265,8.77252945039133e-29,1.0433840448646505e-38,1.4648847624077747e-25,2.0130480605425174e-12,8.734365585326092e-13,1.488820975586099e-23,6.212409191166986e-21,1.139611463905715e-12,6.787696587299669e-17,1.1689368807115997e-22,7.977320007304653e-18,3.092331410310901e-23,2.4910510127783714e-27,9.11741641082545e-33,2.460356824011246e-29,4.1923540128602074e-32,9.438302099897316e-32,6.429559248421253e-23,3.0964842449719e-45,3.0224060618150507e-44,1.4201673168565724e-51,7.810651497671461e-67,6.786093044925345e-17,1.3804701721318184e-23,7.1299554682396626e-37,4.0376269595070544e-38,1.1175279063983851e-35,2.31842116774275e-30,9.916712083866322e-32,3.8412884723326145e-57,4.0853880689229926e-54,2.193920046724999e-64,4.755594693538653e-68,1.9024361610780515e-49,3.5530817112696477e-35,6.159752883005994e-69,2.994158172652641e-78,8.97295217058801e-59,8.253297569156735e-37,7.929145217908023e-88,1.3306474528304364e-69
7.581317475739658e-15,0.890080146746757,3.76,0.0,0.7369224666508503,0.999999999998253,7.018689864770983e-28,8.347895837857298e-38,5.860015143180305e-25,4.026314606329877e-12,1.746967900416945e-12,5.955767150302864e-23,2.485165892703944e-20,2.2793465534837568e-12,1.3579333850165616e-16,4.676128556393696e-22,1.5967759225009137e-17,1.2370327930744827e-22,9.96505282744435e-27,7.294626020021311e-32,9.845878912743982e-29,3.3542004347095756e-31,7.551356249749474e-31,2.5720330000964106e-22,4.954854684849834e-44,4.836484495558739e-43,4.545152697016038e-50,4.999534850422823e-65,1.3572919158740336e-16,5.522327859542141e-23,5.70450184496232e-36,3.2304109172121903e-37,8.941004209244532e-35,1.854905088516957e-29,7.934843582207102e-31,1.2294012320843912e-55,1.3075731303320478e-52,1.4043748458757356e-62,3.044161067823285e-66,3.046589123389946e-48,2.842729625343829e-34,3.944159850042622e-67,3.83386471180697e-76,2.8720581763568456e-57,6.775946447961419e-36,2.030959682576518e-85,8.517777266683457e-68
1.5163046286592753e-14,0.890080146747126,3.76,0.0,0.7369224666468236,0.9999999999965059,5.6152183352290075e-27,6.678683176914341e-37,2.3441007989673506e-24,8.052847793450964e-12,3.494030581590021e-12,2.38240264989898e-22,9.941067842835794e-20,4.55881660211945e-12,2.7172221147077096e-16,1.870527923240271e-21,3.198540021539984e-17,4.948328984577606e-22,3.9862135817055327e-26,5.835978212632097e-31,3.941432460118205e-28,2.683485766161448e-30,6.0413679903715904e-30,1.0288550532838773e-21,7.928092638386139e-43,7.73888234857997e-42,1.4545474989652958e-48,3.1999526893750927e-63,2.714656133812039e-16,2.209019235954062e-22,4.5638115196558e-35,2.5844556565070983e-36,7.153034248223622e-34,1.4839817887466206e-28,6.349329271658425e-30,3.9343833104433906e-54,4.1846332001770865e-51,8.988797668825537e-61,1.9484411191177558e-64,4.882412001604365e-47,2.2742826400657205e-33,2.526003858890915e-65,4.909379290964477e-74,9.193027581747391e-56,5.697314517716641e-35,5.2029813374327215e-83,5.451887629067492e-66
3.032650390829894e-14,0.8900801467478642,3.76,0.0,0.7369224666387703,0.9999999999930118,4.4922811002225984e-26,5.343152504446108e-36,9.37658883937392e-24,1.6105914549878613e-11,6.98815593355379e-12,9.529795276490808e-22,3.976507853093165e-19,9.117756177309339e-12,5.439644682121713e-16,7.482267027138325e-21,6.416773238046369e-17,1.979369034777246e-21,1.594542075139814e-25,4.66889389214329e-30,1.5789416165971342e-27,2.14683641656637e-29,4.8332030273134016e-29,4.115503853989873e-21,1.2685020202100104e-41,1.2382615191392796e-40,4.654708940440687e-47,2.0480762673310192e-61,5.429380550394253e-16,8.836242369183552e-22,3.6511253050607005e-34,2.0676203776475151e-35,5.722389328082361e-33,1.1871932432365474e-27,5.081428860555516e-29,1.259048682916641e-52,1.3391470246873256e-49,5.753018653920845e-59,1.2470493931819982e-62,7.836446896876737e-46,1.8194548596235407e-32,1.6186433112085685e-63,6.288310005520286e-72,2.9429912938656163e-54,5.000039308408868e-34,1.3336269726091806e-80,3.489355196094765e-64
6.065341915171131e-14,0.8900801467493408,3.76,0.0,0.7369224666226636,0.9999999999860235,3.593867216486606e-25,4.2746993600253574e-35,3.750669590170223e-23,3.22120495914757e-11,1.3976406595951791e-11,3.811949521448483e-21,1.5906191726647134e-18,1.8235633239363625e-11,1.0899870245555516e-15,2.99293974203496e-20,1.2912059716256535e-16,7.917534043986282e-21,6.37842679969296e-25,3.7351602198116756e-29,6.334523358940428e-27,1.7174844708648928e-28,3.866598573655612e-28,1.6462182162144035e-20,2.0295487894414994e-40,1.9812499902365365e-39,1.4902566471946195e-45,1.317791058480454e-59,1.0858813306432863e-15,3.534521423415768e-21,2.920917988964912e-33,1.6541267742597326e-34,4.577687573126804e-32,9.497332798402325e-27,4.068143021497152e-28,4.029013630305875e-51,4.87799018849976e-48,4.18311090517205e-57,9.067586200683973e-61,1.261651859466159e-44,1.4555580601198036e-31,1.0384208765129755e-61,8.061221166836001e-70,9.425117256672992e-53,4.707379291581731e-33,3.4222955261391196e-78,2.5372136688686582e-62
1.2130724963853605e-13,0.8900801467522939,3.76,0.0,0.7369224665904502,0.9999999999720469,2.87511032850371e-24,3.419982382563525e-34,1.5002721872995289e-22,6.442432578963643e-11,2.7952907754629592e-11,1.5247816709154326e-20,6.362507858390634e-18,3.6471379010174346e-11,2.1881843058678125e-15,1.197183974322517e-19,2.6137912625342097e-16,3.167011616585805e-20,2.551538590298028e-24,2.988147141109618e-28,2.548776428573364e-26,1.3739876572528865e-27,3.0932816353544005e-27,6.584905784631814e-20,3.247041889621287e-39,3.1700228901695793e-38,4.768929469331315e-44,8.435335105883385e-58,2.1717614510401823e-15,1.4138065768816252e-20,2.336721175002021e-32,1.3233266166245479e-33,3.6617267093905364e-31,7.597389985000006e-26,3.259255985573648e-27,1.2892852845886342e-49,1.5669020142143238e-46,2.692086174188044e-55,5.835660897168631e-59,2.0436289696390213e-43,1.1644163953201847e-30,6.677514590515217e-60,1.0344816788211406e-67,3.02069652966158e-51,4.897500353084168e-32,8.802708228991241e-76,1.6329130636131227e-60
2.4261491061218555e-13,0.8900801467581998,3.76,0.0,0.7369224665260236,0.9999999999440938,2.3000942780344442e-23,2.736318183011523e-33,6.001077774349514e-22,1.2884890264581878e-10,5.5905909407512145e-11,6.099095049875804e-20,2.5450086607026815e-17,7.294283713863681e-11,4.409187520459795e-15,4.788763982089666e-19,5.353073642918184e-16,1.2667933810026599e-19,1.0207419460359259e-23,2.39052677533754e-27,1.0314765614570228e-25,1.0991804709243343e-26,2.474607724098958e-26,2.633968554133141e-19,5.19446187158361e-38,5.0720474757786165e-37,1.52606155548857e-42,5.3993909426890695e-56,4.343495968906655e-15,5.655167222160103e-20,1.8693391246264444e-31,1.058692181851374e-32,2.92867816766638e-30,6.077096027927393e-25,2.614966646055786e-26,4.125659303823656e-48,5.0147224979549825e-45,1.7230783808263145e-53,3.735284220574665e-57,3.3497239572079866e-42,9.314767439729095e-30,4.31400861327946e-58,1.330861729438947e-65,9.695893321111083e-50,5.728175908709383e-31,2.2747572943682506e-73,1.0452302993828434e-58
4.852302325594845e-13,0.8900801467700117,3.76,0.0,0.7369224663971699,0.9999999998881874,1.840076857455907e-22,2.1895764356403123e-32,2.4004131731335448e-21,2.5769815419758533e-10,1.1181191005538261e-10,2.43960340713654e-19,1.0180039947793513e-16,1.4588561974318645e-10,8.94962837723765e-15,1.915520753269048e-18,1.120808413796406e-15,5.067064072579196e-19,4.083964280960243e-23,1.9124274073609327e-26,4.221618936128495e-25,8.793250158823183e-26,1.9796492348639552e-25,1.0535883947594958e-18,8.308524070461894e-37,8.115260718376752e-36,4.883387713877488e-41,3.456568141450348e-54,8.686862115458186e-15,2.262010992878241e-19,1.4954040436616914e-30,8.469993847141798e-32,2.341807747364492e-29,4.860350131180044e-24,2.104058200316657e-25,1.3201671305892777e-46,1.6047323957280325e-43,1.1025033289261822e-51,2.390196316336628e-55,5.615224546495036e-41,7.450878961565246e-29,2.8126523310804573e-56,1.7206963559786067e-63,3.1216414308830595e-48,7.477660508636145e-30,5.9321841435780696e-71,6.688866821085128e-57
7.278455545067835e-13,0.8900801467818236,3.76,0.0,0.7369224662683161,0.9999999998322812,5.261478713795481e-22,6.261820575206923e-32,5.100849074765142e-21,3.8654750358871203e-10,1.6771790804535615e-10,5.184103786088025e-19,2.1632581765661834e-16,2.188282686956212e-10,1.3588503481349378e-14,4.070501811994013e-18,1.743953890729872e-15,1.076734506621147e-18,8.680121021760428e-23,5.468479866625368e-26,9.132454653352385e-25,2.514286992771169e-25,5.660498562613146e-25,2.2388756405508688e-18,3.057811281807352e-36,3.0595693001580606e-35,2.2715073152585543e-40,1.924324400078328e-53,1.3030125375362333e-14,4.806688851534963e-19,4.2758083363398796e-30,2.4220058630896444e-31,6.694240373373129e-29,1.389537855317249e-23,6.036132880467966e-25,6.175980808328842e-46,7.1402418128793425e-43,5.930887887776248e-51,1.28583675338577e-54,2.1177918788593947e-40,2.1303311405328845e-28,1.6029167845977925e-55,1.140285259014693e-62,1.4636008487041812e-47,2.613543492009941e-29,4.547390882806938e-70,3.5984524769730106e-56
9.704608764540825e-13,0.8900801467936353,3.76,0.0,0.7369224661394623,0.9999999997763747,1.1097997847902481e-21,1.3210340698212657e-31,8.701401710196561e-21,5.153969508191574e-10,2.2362390337743027e-10,8.84338589297574e-19,3.690262910771225e-16,2.917707839962015e-10,1.8325812652535324e-14,6.943827924229775e-18,2.404743649093736e-15,1.836756041417661e-18,1.4810100401904266e-22,1.1534861512294795e-25,1.5847732781799383e-24,5.3032956703739565e-25,1.193951325471606e-24,3.819258355020553e-18,7.754939391544318e-36,8.083837156948045e-35,6.985778260480393e-40,6.806730251805037e-53,1.737328575115306e-14,8.19951174591342e-19,9.01870130110404e-30,5.108977254897946e-31,1.4116520761260834e-28,2.9305193950793747e-23,1.2769904263665782e-24,1.9923810095839063e-45,2.4232215014129948e-42,2.2316108077132873e-50,4.838307899053544e-54,5.536323746453134e-40,4.4931890554500595e-28,6.235676049985609e-55,4.9577967608853636e-62,4.733762078218982e-47,6.422084409437067e-29,2.3793233072798005e-69,1.3540411574643378e-55
1e-12,0.8900801468172593,3.76,0.0,0.736922466123774,0.9999999997695679,1.1980267910512963e-21,1.4260948620483889e-31,9.187865336136929e-21,5.310847523072459e-10,2.304306213347599e-10,9.337782674200246e-19,3.896574363237409e-16,3.0065174098455466e-10,1.8907852486699736e-14,7.332040398156501e-18,2.487207785463533e-15,1.9394403378580127e-18,1.563846485460726e-22,1.2451899213729231e-25,1.6769206062639415e-24,5.7248876675208735e-25,1.2888663347036266e-24,4.032781674629085e-18,8.553786203454225e-36,8.996726929550794e-35,7.943700583082671e-40,7.92826339334354e-53,1.7902072706701115e-14,8.657905444358852e-19,9.73563885870104e-30,5.515174492473848e-31,1.5238255991601908e-28,3.1634311225470373e-23,1.3790385003671738e-24,2.3014533553504898e-45,2.8332918768432076e-42,2.668354971276287e-50,5.785232101803545e-54,6.146899913333538e-40,4.850346792080352e-28,7.600705594539983e-55,6.218113545251439e-62,5.471848356133187e-47,7.059622193180308e-29,3.3721567432850344e-69,1.6190553280494659e-55
1.4556915203486805e-12,0.8900801468172593,3.76,0.0,0.7369224658817545,0.9999999996645618,3.0312154059503546e-21,3.609597107344827e-31,1.8014983129591195e-20,7.730960749028092e-10,3.354358878036435e-10,1.8308810045772175e-18,7.640216002417982e-16,4.376555009254501e-10,2.803144916463431e-14,1.4376417909243717e-17,3.814671536693834e-15,3.802678546557746e-18,3.0673378488030803e-22,3.1506650409315173e-25,3.384137669629863e-24,1.4484653370798303e-24,3.2609983721649072e-24,7.90728793106007e-18,2.7119758779234003e-35,3.136320281137387e-34,3.328159395286934e-39,3.9727146575583584e-52,2.6059365047899917e-14,1.6975582466248616e-18,2.4631879598707068e-29,1.3955721760501661e-30,3.8540355754011445e-28,8.002253652362229e-23,3.5051150959858494e-24,1.0966516076189747e-44,1.471446013454992e-41,1.5931340697809086e-49,3.454156322888284e-53,2.091188400365897e-39,1.227094348664604e-27,5.068923020757928e-54,4.754125525820143e-61,2.6207874458479373e-46,2.167605402322294e-28,3.9550855038403396e-68,9.667139558030939e-55
1.9409221642432785e-12,0.8900801468408832,3.76,0.0,0.7369224656240463,0.9999999995527488,6.342328651602701e-21,7.555225987325692e-31,3.0638500417524844e-20,1.0307955587761835e-09,4.472478624557921e-10,3.11380072940517e-18,1.2993997874771203e-15,5.835397263713252e-10,3.809906135123183e-14,2.44506882170493e-17,5.36302966038859e-15,6.467211655946989e-18,5.218599662998254e-22,6.592470689948731e-25,5.930274340711424e-24,3.0306196303600575e-24,6.82300015231455e-24,1.3448222502165506e-17,6.776265409992344e-35,8.316639341925562e-34,1.0237578592708448e-38,1.3942862563277256e-51,3.474506602415699e-14,2.887026483251436e-18,5.153628748498448e-29,2.9203254128345502e-30,8.060918385832346e-28,1.6739858080060436e-22,7.36589377029465e-24,3.519355356187521e-44,4.916936803684664e-41,6.077794312954706e-49,1.3177960971277419e-52,5.527457399365095e-39,2.5672412650060263e-27,1.9691559552281255e-53,2.0706607578317697e-60,8.439826522436732e-46,5.302632649933411e-28,2.0979719137419702e-67,3.6882213094121686e-54
