Time (s),Volume (m^3),N2,Ne,CH4(1),O2(2),H2O(3),C(4),CH(5),CH3(18),HO2(12),CH3O2(36),OH(8),H(6),H2(9),CH2O(19),O(7),CH3O(26),C2H5(31),C2H4(29)
2.2446559826505628e-15,0.8185917068579358,3.76,0.0,0.8950940344806226,0.9999999999998962,9.421149623713553e-31,4.3225519592724435e-42,3.576545323800825e-28,1.5677118088161748e-13,1.0376731814735817e-13,1.071392199160855e-24,1.173782254558541e-22,5.300386196831096e-14,3.2830165485693404e-22,3.1545241997702816e-24,1.5292987794884878e-19,6.516513354126038e-25,2.892668583444937e-35,1.688949026327526e-35
4.491262144260857e-15,0.8185917068579434,3.76,0.0,0.8950940344804658,0.9999999999997924,7.542648149334083e-30,3.460672138021048e-41,1.431550139047168e-27,3.1367856673803297e-13,2.0762479034266857e-13,4.288360542317013e-24,4.698187956039978e-22,1.0605377332957487e-13,1.3140621889074058e-21,1.2626318129207101e-23,3.0622256647903445e-19,2.6083032193788404e-24,2.3164808239010724e-34,1.352186226254932e-34
8.984474467481445e-15,0.8185917068579587,3.76,0.0,0.8950940344801519,0.9999999999995847,6.036410830818697e-29,2.769593119045589e-40,5.7280647157516274e-27,6.274933403937863e-13,4.153397347099404e-13,1.7159024952722234e-23,1.8798871281043255e-21,2.1215359341669424e-13,5.257960326270545e-21,5.0521722281293773e-23,6.134980739164701e-19,1.043660735150889e-23,1.8541233801131443e-33,1.0821600210415023e-33
1.7970899113922622e-14,0.8185917068579897,3.76,0.0,0.8950940344795243,0.9999999999991692,4.830045707340277e-28,2.216101117918067e-39,2.2915984587320067e-26,1.2551228954769815e-12,8.307696233510881e-13,6.864724857434044e-23,7.520772448313996e-21,4.2435322304929996e-13,2.1035264486140155e-20,2.0211981268709376e-22,1.2308096099833649e-18,4.175320132646974e-23,1.4836740914334373e-32,8.658925676640094e-33
3.5943748406804976e-14,0.818591706858051,3.76,0.0,0.8950940344782691,0.9999999999983383,3.864403297623205e-27,1.7730585522935909e-38,9.167136532053641e-26,2.510382036730127e-12,1.6616294002598e-12,2.7461114625646143e-22,3.008553680071214e-20,8.487524401479834e-13,8.414790121120943e-20,8.085452573351381e-22,2.4764747643553875e-18,1.6702620615073515e-22,1.1870891379781302e-31,6.927800409849401e-32
7.188944699256968e-14,0.8185917068581738,3.76,0.0,0.8950940344757585,0.9999999999966767,3.09166913941116e-26,1.4185290940456028e-37,3.6670011568704967e-25,5.020900443583437e-12,3.323348952582889e-12,1.0984877132640959e-21,1.2034703308256373e-19,1.697550705679274e-12,3.3660526320072736e-19,3.234314285412397e-21,5.011973381813468e-18,6.681304755530815e-22,9.49730766461922e-31,5.542506841266968e-31
1.437808441640991e-13,0.8185917068584195,3.76,0.0,0.8950940344707375,0.9999999999933532,2.4733935948592267e-25,1.13487407347753e-36,1.466828171542201e-24,1.004193775467811e-11,6.646788051251723e-12,4.394027692997791e-21,4.813978377875798e-19,3.395146562077834e-12,1.3464481406818388e-18,1.2937533564108854e-20,1.0259643689674724e-17,2.6725639914903945e-21,7.598076067013493e-30,4.4341161642418055e-30
2.8756363850715795e-13,0.818591706858911,3.76,0.0,0.8950940344606955,0.9999999999867063,1.978737679512633e-24,9.079482126659947e-36,5.867355299974659e-24,2.0084014366419515e-11,1.3293666224679971e-11,1.757618910917011e-20,1.925610230427131e-18,6.790335576221135e-12,5.385844904410173e-18,5.175076634995388e-20,2.146167530189102e-17,1.0690266437887694e-20,6.07854019512943e-29,3.547343741317201e-29
5.751292271932756e-13,0.818591706859894,3.76,0.0,0.8950940344406113,0.9999999999734125,1.5829984490887804e-23,7.264239662917315e-35,2.3469403994545195e-23,4.0168175548109276e-11,2.6587422475898468e-11,7.030431036974202e-20,7.702474425931002e-18,1.358070280991061e-11,2.1543469625015346e-17,2.0700496352486794e-19,4.66924921500352e-17,4.276049705356325e-20,4.862843678689127e-28,2.8379057696320544e-28
1e-12,0.8185917068618599,3.76,0.0,0.8950940344109375,0.9999999999537713,9.768951799997499e-23,4.483613361268537e-34,7.548193580182352e-23,6.984203146336058e-11,4.622860568038933e-11,2.261093091164698e-19,2.477281103938743e-17,2.361326412857847e-11,6.928840059803723e-17,6.657782910323037e-19,9.232322667448844e-17,1.375224768084921e-19,3.000918211690408e-27,1.7513385404491366e-27
1.150260404565511e-12,0.8185917068618599,3.76,0.0,0.895094034400443,0.999999999946825,1.266400775815701e-22,5.812386330962269e-34,9.387676211620833e-23,8.033652974430651e-11,5.317493459578091e-11,2.8121152758717206e-19,3.080993067617225e-17,2.716139409904621e-11,8.617394110383763e-17,8.280287215331844e-19,1.0846105744352754e-16,1.7103613396438627e-19,3.890247209801157e-27,2.2703536500457682e-27
2.3005227593099816e-12,0.8185917068657916,3.76,0.0,0.8950940343201061,0.9999999998936498,1.0131193382029072e-21,4.651479675238798e-33,3.7549878538582656e-22,1.6067336546789135e-10,1.0634995730530706e-10,1.1247961114278407e-18,1.23239516358358e-16,5.432260396550522e-11,3.4469495033759882e-16,3.312173185833373e-18,2.7722525124564927e-16,6.840950971209565e-19,3.112134929120629e-26,1.8163212906901142e-26
3.450785114054452e-12,0.8185917068697233,3.76,0.0,0.8950940342397692,0.9999999998404747,2.8968862932496486e-21,1.330333715964467e-32,7.97922380019676e-22,2.410103285225857e-10,1.5952497848457388e-10,2.3901170980361742e-18,2.6188353710473886e-16,8.148364112131321e-11,7.324752039989625e-16,7.038450087720711e-18,4.912158450970325e-16,1.453628771928859e-18,9.239043741673521e-26,5.193619677435539e-26
4.601047468798923e-12,0.818591706873655,3.76,0.0,0.8950940341594321,0.9999999997872994,6.110367850100947e-21,2.806765758257951e-32,1.361141810598282e-21,3.213474189083088e-10,2.1269999813356078e-10,4.0771407435272254e-18,4.467417547958964e-16,1.0864450556763129e-10,1.2495138802449395e-15,1.2006894912189552e-17,7.504321758392601e-16,2.479604185012943e-18,2.0131179127748753e-25,1.095500703029614e-25
6.901572178287864e-12,0.8185917068815185,3.76,0.0,0.8950940339987578,0.9999999996809488,1.66892902595893e-20,7.670490092468673e-32,2.81800208800699e-21,4.820218985176332e-10,3.190500338399967e-10,8.44079369221557e-18,9.24919342759254e-16,1.6296582912527024e-10,2.58695028745941e-15,2.4859186683249133e-17,1.375004815769729e-15,5.133305905008986e-18,5.843362999989879e-25,2.992235296407717e-25
9.202096887776805e-12,0.8185917068893819,3.76,0.0,0.8950940338380826,0.9999999995745981,3.4919535145569755e-20,1.6057478593636378e-31,4.792571228838147e-21,6.426968463678928e-10,4.254000639188752e-10,1.435491744699061e-17,1.5730410383045492e-15,2.1728651757816167e-10,4.3997091885171616e-15,4.2279667648025686e-17,2.165883111512012e-15,8.729761712337926e-18,1.2778584090602822e-24,6.260925146938121e-25
1e-11,0.8185917068972454,3.76,0.0,0.8950940337823549,0.9999999995377117,4.3676128182072134e-20,2.008819531978951e-31,5.606968212353293e-21,6.984247027061692e-10,4.6228600406769766e-10,1.6794094030618917e-17,1.840360338175225e-15,2.361266893741362e-10,5.147385230578929e-15,4.9464941401462827e-17,2.48180425601959e-15,1.021301050406659e-17,1.6178990989313897e-24,7.831034175985423e-25
1.1502621597265747e-11,0.8185917068972454,3.76,0.0,0.8950940336774071,0.999999999468247,6.35695827473566e-20,2.92474698876035e-31,7.321790106599812e-21,8.033722959043286e-10,5.317500879680899e-10,2.1930034434752836e-17,2.403244114684718e-15,2.716065255694417e-10,6.7217366969296146e-15,6.459487412547532e-17,3.134941605992073e-15,1.3336090903571617e-17,2.3973979683551876e-24,1.1398097512794694e-24
1.610367101624363e-11,0.8185917069129723,3.76,0.0,0.8950940333560546,0.9999999992555446,1.678415922421596e-19,7.732237531704173e-31,1.407875721141404e-20,1.12472473154508e-09,7.444501175978452e-10,4.216605431928238e-17,4.621320917104674e-15,3.802444574771175e-10,1.2925549603308978e-14,1.2421852796652462e-16,5.6187613977538925e-15,2.5640311464491935e-17,6.559412173097267e-24,3.0096658235545402e-24
2.0704720435221513e-11,0.8185917069286991,3.76,0.0,0.8950940330347,0.9999999990428414,3.479759335098898e-19,1.6049343255157317e-30,2.30878723486345e-20,1.4460792047911496e-09,9.571501227358586e-10,6.914484545954846e-17,7.578902686680959e-15,4.888796257866781e-10,2.119768932811489e-14,2.0372583350025331e-16,8.826198507687631e-15,4.2042839516119e-17,1.3827457346614928e-23,6.24021973614664e-24
2.990681927317728e-11,0.8185917069601529,3.76,0.0,0.8950940323919846,0.9999999986174328,1.0455543660289644e-18,4.834696926744195e-30,4.7859704752691374e-20,2.0887942632135687e-09,1.3825500595401749e-09,1.4331677114368006e-16,1.5712190741501023e-14,7.061416731598302e-10,4.3945805957101626e-14,4.223947121386144e-16,1.7411400698767113e-14,8.713022487455277e-17,4.2173817247438904e-23,1.8753025028650718e-23
4.831101694908881e-11,0.8185917070230606,3.76,0.0,0.895094031106529,0.9999999977666073,4.4950511329822865e-18,2.089630432781868e-29,1.2440541427198312e-19,3.374248827417074e-09,2.2333496392205076e-09,3.724459421771281e-16,4.085069037794539e-14,1.1406326136436726e-09,1.1425545103930325e-13,1.098422701549183e-15,4.3261642793858406e-14,2.263642321466053e-16,1.8295509633156943e-22,8.06530626156272e-23
8.511941230091188e-11,0.8185917071488759,3.76,0.0,0.8950940285355184,0.999999996064921,2.5310697535479764e-17,1.1891913115061565e-28,3.854059697157027e-19,5.9452557430642354e-09,3.934947622524042e-09,1.153266545175418e-15,1.266110061412409e-13,2.0094818985567503e-09,3.5411348131026926e-13,3.4058366461087475e-15,1.2966982544639424e-13,7.005057402392896e-16,1.0338640448807006e-21,4.544917945098478e-22
9.999999999999999e-11,0.8185917074005072,3.76,0.0,0.8950940274960945,0.9999999953769644,4.329272152326631e-17,2.05023800476895e-28,5.316876267087622e-19,6.984677748405856e-09,4.6228548617218056e-09,1.590577209372105e-15,1.7470778746612894e-13,2.360682792442563e-09,4.886296239511999e-13,4.7006878889205076e-15,1.7772948288515292e-13,9.658228571535988e-16,1.768846606215535e-21,7.778450863752027e-22
1.58736203004558e-10,0.8185917074005072,3.76,0.0,0.8950940233931005,0.9999999926614092,1.680524099151648e-16,8.061705142190008e-28,1.3382618875973968e-18,1.1087660711869667e-08,7.338138882087362e-09,4.000575324196247e-15,4.400321855898358e-13,3.74665024329315e-09,1.2306718159987915e-12,1.184689193193788e-14,4.4122625610244387e-13,2.427026585202619e-15,6.867928535470883e-21,3.022343053992437e-21
2.3235299370820412e-10,0.8185917076521393,3.76,0.0,0.8950940182501532,0.9999999892577118,5.049288312533717e-16,2.4616291062168705e-27,2.86457239116106e-18,1.623058718264884e-08,1.0741323861914387e-08,8.556147940317772e-15,9.426114622700183e-13,5.4831118285441975e-09,2.636206376408459e-12,2.5395814600885027e-14,9.376511363155812e-13,5.185413385138973e-15,2.0629288996780974e-20,9.090672807027102e-21
3.0596978441185024e-10,0.8185917079037718,3.76,0.0,0.8950940131066766,0.999999985853829,1.1187989181113958e-15,5.540921239969447e-27,4.962917205959309e-18,2.1374035134959676e-08,1.4144502556866264e-08,1.481168677272188e-14,1.63428930899991e-12,7.21886694360118e-09,4.570512271316466e-12,4.406126779883147e-14,1.6187793148286303e-12,8.96762838956953e-15,4.56899883229356e-20,2.0163195725314473e-20
3.7958657511549636e-10,0.818591708155405,3.76,0.0,0.8950940079626706,0.9999999824497607,2.0952994754394e-15,1.0540481360606463e-26,7.631831632562346e-18,2.6518004547672142e-08,1.7547674961631517e-08,2.2758653633597638e-14,2.5150041817932354e-12,8.95391588727531e-09,7.033377829279667e-12,6.785214660530802e-14,2.4844401875322943e-12,1.376542386638456e-14,8.552811675805628e-20,3.7799964208538933e-20
5.268201565227887e-10,0.8185917086586736,3.76,0.0,0.895093997673071,0.999999975641068,5.4535848604303304e-15,2.8293605566033736e-26,1.46759588182301e-17,3.680750767567804e-08,2.4354000880917896e-08,4.3695441912140326e-14,4.843316677531713e-12,1.2421896367321674e-08,1.354400363591095e-11,1.3084281057060875e-13,4.768728090417331e-12,2.6377528175114257e-14,2.2238727871158843e-19,9.858240681759431e-20
6.740537379300809e-10,0.8185917091619448,3.76,0.0,0.8950939873813543,0.9999999688316347,1.1266181909240455e-14,6.018094899607483e-26,2.3985271402905363e-17,4.709909639621023e-08,3.116030157720697e-08,7.12987608612399e-14,7.927054891465509e-12,1.588705566187146e-08,2.2166387771405738e-11,2.14438029307877e-13,7.789148585986949e-12,4.2956697927465775e-14,4.589566029812585e-19,2.0405095005976525e-19
8.212873193373731e-10,0.8185917096652188,3.76,0.0,0.8950939770875213,0.9999999620214612,2.0255305250006303e-14,1.1130205230469783e-25,3.554752965265886e-17,5.739277052873757e-08,3.796657700571863e-08,1.0549794769926015e-13,1.1765698211810217e-11,1.934939628754545e-08,3.2898746050311526e-11,3.1871071120781415e-13,1.1544265133762394e-11,6.343549348055893e-14,8.243154458451369e-19,3.675767241888889e-19
9.685209007446654e-10,0.8185917101684953,3.76,0.0,0.8950939667915717,0.9999999552105486,3.3136527158287173e-14,1.8723088030235422e-25,4.9350674423571656e-17,6.76885298928479e-08,4.4772827122094546e-08,1.4622379699905733e-13,1.6358729805703636e-11,2.280892073596242e-08,4.573931112974718e-11,4.437318343413196e-13,1.6032655719002833e-11,8.774835935414666e-14,1.347121777784539e-18,6.025378065802698e-19
9.999999999999999e-10,0.8185917111750571,3.76,0.0,0.895093964589984,0.9999999537542538,3.6461242449313904e-14,2.0728361170712694e-25,5.2591517282832576e-17,6.989007293170764e-08,4.622802597511426e-08,1.5577180987795387e-13,1.7438577705955396e-11,2.3548215017591527e-08,4.8758067271162985e-11,4.731604059688314e-13,1.7087308601507107e-11,9.34382359895043e-14,1.4819328200675955e-18,6.632913110542141e-19
1.2629880635592499e-09,0.8185917111750571,3.76,0.0,0.8950939461933248,0.9999999415865082,7.331692569720216e-14,4.385703997236451e-25,8.363389108702704e-17,8.828630361372402e-08,5.83852512485549e-08,2.4699586858553454e-13,2.7805970495236567e-11,2.971953063503124e-08,7.773829308059673e-11,7.562828126334356e-13,2.7203819763776302e-11,1.476336972571512e-13,2.9738152047195252e-18,1.3389265970817039e-18
1.522912123459274e-09,0.8185917120635514,3.76,0.0,0.8950939280043676,0.9999999295582148,1.284321169363264e-13,8.049412428713091e-25,1.2123155653493685e-16,1.0647474017319874e-07,7.040075618429493e-08,3.5700462086649284e-13,4.041284573732096e-11,3.581013986878773e-08,1.1297399801564352e-10,1.1017738578229313e-12,3.948837934212662e-11,2.1264484124702837e-13,5.199003249345411e-18,2.35423520766524e-18
1.7828361833592983e-09,0.8185917129520544,3.76,0.0,0.8950939098088183,0.9999999175276275,2.0594921069980717e-13,1.3486793042233844e-24,1.6564258428020746e-16,1.2466967288892526e-07,8.24161815962038e-08,4.863906971095368e-13,5.536337969485405e-11,4.189200794194932e-08,1.5475475760476946e-10,1.5129024071455576e-12,5.403788776571804e-11,2.88709996467352e-13,8.32052157936422e-18,3.789118167593219e-18
2.0427602432593227e-09,0.8185917138405664,3.76,0.0,0.895093891606678,0.9999999054947504,3.096730067660248e-13,2.1138926471826506e-24,2.1680470153113468e-16,1.42871100758866e-07,9.443152724870031e-08,6.348076092656352e-13,7.265479608793701e-11,4.796514805509899e-08,2.030711855446775e-10,1.990013204087656e-12,7.084481985228156e-11,3.755133597204498e-13,1.248659063849419e-17,5.718266105270976e-18
2.562608363059371e-09,0.8185917156176186,3.76,0.0,0.8950938551826302,0.9999998814221418,6.109347165734216e-13,4.512039964073402e-24,3.391370147678493e-16,1.792934378788103e-07,1.1846197833520992e-07,9.873899677892722e-13,1.1424913511563054e-10,6.008529702954034e-08,3.192735838051386e-10,3.1434996217228258e-12,1.112009727727875e-10,5.801324097713662e-13,2.453644706528385e-17,1.1364401176857859e-17
3.0824564828594196e-09,0.8185917173947085,3.76,0.0,0.8950938187322344,0.9999998573404193,1.0625804918233348e-12,8.430268870213513e-24,4.877417326578126e-16,2.157417432994827e-07,1.4249210756533903e-07,1.4121018350798483e-12,1.6517354792695684e-10,7.217069188526779e-08,4.615063471247815e-10,4.564815390715488e-12,1.6049698651284484e-10,8.241512828391199e-13,4.2508544321878e-17,1.9908523738933967e-17
3.602304602659468e-09,0.818591719171837,3.76,0.0,0.8950937822555017,0.9999998332496128,1.6949071736182855e-12,1.435921795334507e-23,6.621410774856956e-16,2.522160086203635e-07,1.6652191306587787e-07,1.906387325004713e-12,2.2540564268126787e-10,8.422143729582603e-08,6.296948392062811e-10,6.256410434239627e-12,2.186732982666246e-10,1.1053516142114686e-12,6.75425691027676e-17,3.198068516700268e-17
4.1221527224595165e-09,0.8185917209490051,3.76,0.0,0.895093745752443,0.9999998091497521,2.5381385937730336e-12,2.2849798509743066e-23,8.618665074394127e-16,2.887162252716324e-07,1.9055139296931217e-07,2.467785294581662e-12,2.9492295132199143e-10,9.623763749407159e-08,8.237646497605064e-10,8.220604042337999e-12,2.856706514170799e-10,1.4216456295157533e-12,1.0075737673957054e-16,4.822535421181321e-17
4.642000842259565e-09,0.8185917227262136,3.76,0.0,0.8950937092230689,0.9999997850408676,3.622424230124304e-12,3.451097333196018e-23,1.086458514403134e-15,3.252423845188946e-07,2.1458054541386315e-07,3.0939254751474826e-12,3.7370293212332345e-10,1.0821939627835511e-07,1.0436415960067006e-09,1.0459593106044906e-11,3.614300953667226e-10,1.7710678990945913e-12,1.4325147266486674e-16,6.930106254201061e-17
5.681697081859662e-09,0.8185917262807559,3.76,0.0,0.8950936360854184,0.9999997367961442,6.634403948906888e-12,7.003897641382695e-23,1.6084453111402864e-15,3.983724951173349e-07,2.62637860506033e-07,4.531352670353231e-12,5.589604070959205e-10,1.3208000281801003e-07,1.5605212282535064e-09,1.5770224113645e-11,5.390008803547337e-10,2.5619562623288184e-12,2.603792044055361e-16,1.2864381026518818e-16
6.721393321459759e-09,0.8185917298354703,3.76,0.0,0.895093562842639,0.9999996885156776,1.0970560115263375e-11,1.2689336157446346e-22,2.224597507782224e-15,4.7160626741206267e-07,3.1069384356091877e-07,6.201379986219083e-12,7.809963214110881e-10,1.5580407900853174e-07,2.179744743639833e-09,2.220371763630402e-11,7.509200470378896e-10,3.4644530923502337e-12,4.2732710995190375e-16,2.1554592713401276e-16
7.761089561059857e-09,0.8185917333903631,3.76,0.0,0.8950934894948201,0.9999996401996998,1.6869412912209667e-11,2.118338878325331e-22,2.931543687143163e-15,5.449436259915078e-07,3.5874847988665e-07,8.087960635844846e-12,1.0396278306964614e-09,1.793924405426505e-07,2.900726699142291e-09,2.97739560009449e-11,9.96726745813419e-10,4.466525720735384e-12,6.521995608920144e-16,3.3575231156260315e-16
8.800785800659955e-09,0.8185917369454401,3.76,0.0,0.8950934160420526,0.9999995918484413,2.456829496314154e-11,3.3236685363482666e-22,3.726038226804119e-15,6.183844931581464e-07,4.0680175487927385e-07,1.0176181670862925e-11,1.3346710389401767e-09,2.0284589700760587e-07,3.72288513220357e-09,3.849349083645467e-11,1.2759647832757477e-09,5.557471262907427e-12,9.428199039707093e-16,4.952061497952997e-16
9.840482040260052e-09,0.8185917405007064,3.76,0.0,0.8950933424844282,0.9999995434621295,3.4303345939297215e-11,4.9669534640541045e-22,4.604956336633503e-15,6.919287890157289e-07,4.54853654022026e-07,1.2452180253728796e-11,1.6659410327643793e-09,2.2616525208043534e-07,4.645641530078988e-09,4.837369633971096e-11,1.5881825720314911e-09,6.72776333432063e-12,1.3067422920602193e-15,7.000420276914025e-16
9.999999999999999e-09,0.8185917440561676,3.76,0.0,0.8950933311893962,0.9999995360352528,3.599207598273167e-11,5.263368524988278e-22,4.747084007848882e-15,7.032216505630914e-07,4.622260124993172e-07,1.2817164859111847e-11,1.7199606353776453e-09,2.2973126660964635e-07,4.796082417233048e-09,4.999296126386767e-11,1.6389750745698762e-09,6.913786911955958e-12,1.369530819288191e-15,7.358839954608205e-16
1.088017827986015e-08,0.8185917440561676,3.76,0.0,0.8950932688220401,0.9999994950409897,4.630950217875829e-11,7.136774289179137e-22,5.565290052161132e-15,7.655764315372417e-07,5.029041628850474e-07,1.49030749834404e-11,2.0332519097173046e-09,2.493513036670182e-07,5.668420817152526e-09,5.942489093967385e-11,1.932933103962164e-09,7.968930362166167e-12,1.7512612813611792e-15,9.56580489205768e-16
1.1919874519460248e-08,0.8185917476118287,3.76,0.0,0.8950931950549823,0.9999994465852453,6.082048844747862e-11,9.927893636403933e-22,6.6041445887230054e-15,8.39327336625393e-07,5.509532671250535e-07,1.751690631590379e-11,2.4364168049449738e-09,2.7240484402245513e-07,6.790651340658366e-09,7.165643810405269e-11,2.3097739218593577e-09,9.273454756914924e-12,2.2834205233498827e-15,1.2713230835392094e-15
1.2959570759060345e-08,0.8185917511676941,3.76,0.0,0.8950931211833504,0.9999993980951172,7.806880986084093e-11,1.3440785228429175e-21,7.718733496295228e-15,9.131814181918891e-07,5.990009524847342e-07,2.0282561144970513e-11,2.8752479275954787e-09,2.953266599083113e-07,8.011764845519204e-09,8.507686907963883e-11,2.71826707360457e-09,1.0634650145901922e-11,2.9100242557240677e-15,1.6509457574864199e-15
1.3999266998660443e-08,0.8185917547237682,3.76,0.0,0.8950930472072408,0.9999993495708244,9.828574690227055e-11,1.778125061934772e-21,8.906374589147378e-15,9.87138588222509e-07,6.470472047921405e-07,2.318971294886231e-11,3.349556592455857e-09,3.1811753271934187e-07,9.33119644909839e-09,9.969397499182072e-11,3.1579790679633656e-09,1.2046569253260523e-11,3.6376469038160594e-15,2.1022933030946046e-15
1.503896323826054e-08,0.8185917582800554,3.76,0.0,0.8950929731267507,0.999999301012584,1.217013508727552e-10,2.306006953913129e-21,1.016448615949325e-14,1.0611987568358926e-06,6.950920099600966e-07,2.6228768608537382e-11,3.8591532503856226e-09,3.407782385937431e-07,1.0748384617074748e-08,1.1551488400382956e-10,3.6284808319322547e-09,1.350392672050245e-11,4.472641980209689e-15,2.632374220970773e-15
1.6078659477860637e-08,0.8185917618365594,3.76,0.0,0.8950928989419793,0.9999992524206113,1.4854443876088302e-10,2.9392670197643243e-21,1.1490583374401682e-14,1.1353618323381658e-06,7.431353539856686e-07,2.9390819061898186e-11,4.4038475180018335e-09,3.633095485118702e-07,1.2262771141722664e-08,1.3254613024122342e-10,4.129347671083753e-09,1.5002030160817943e-11,5.421150540233493e-15,3.248355867557135e-15
1.8158051957060832e-08,0.8185917689502332,3.76,0.0,0.8950927502599929,0.9999991551363193,2.1342212743026104e-10,4.5702199147974685e-21,1.433725788371225e-14,1.2839963284947063e-06,8.392176030160288e-07,3.6051397757362665e-11,5.5977633634973564e-09,4.079870391760489e-07,1.5580922936200202e-08,1.702631911371472e-10,5.220499451170294e-09,1.8104279698775035e-11,7.682261314574502e-15,4.767455784014983e-15
2.0237444436261028e-08,0.8185917760648188,3.76,0.0,0.8950926011620934,0.9999990577196332,2.947244533154859e-10,6.771403729794014e-21,1.742832093345433e-14,1.4330413088929913e-06,9.352938415246924e-07,4.31120697174723e-11,6.929765538209088e-09,4.521560728881737e-07,1.9281251891366546e-08,2.1288792724006167e-10,6.428122908348226e-09,2.1325260021474384e-11,1.0466176710144146e-14,6.719927210838002e-15
2.2316836915461223e-08,0.8185917831803423,3.76,0.0,0.8950924516491113,0.9999989601722102,3.9423697353460906e-10,9.648719362215558e-21,2.074702380558615e-14,1.5824959799364494e-06,1.0313639604675324e-06,5.052157864174384e-11,8.398304038573384e-09,4.958226407788928e-07,2.335940993206811e-08,2.604572180980495e-10,7.748974053969201e-09,2.4642784767877517e-11,1.3815211797868219e-14,9.16835096049664e-15
