Time (s),Volume (m^3),N2,Ne,CH4(1),O2(2),H2O(3),C(4),CH(5),CH3(18),HO2(12),CH3O2(36),OH(8),H(6),H2(9),CH2O(19),O(7),CH3O(26),C2H5(31),C2H4(29),C2H6(30),HCO(16),CO(14),H2O2(13),C2H4(92),C2H3(28),C2H2(22)
8.671694185721104e-06,0.7742220763194513,3.76,0.0,0.718853328139826,0.9997505501628533,0.0001240658020761902,6.948762308655356e-17,7.16364007128894e-12,0.0005350686733115859,0.0001639207418037206,4.425425755224607e-08,5.0417486813134245e-06,4.846487299917858e-06,9.331567502157996e-05,3.5068252914307895e-05,1.3823563004173255e-06,2.3927647195913897e-08,8.641047650484146e-09,6.593778979872366e-07,1.7894038485812316e-06,7.735176777317261e-09,4.824485634831364e-07,2.448705405363479e-06,2.8056082420175e-15,7.022008488253094e-12,1.1381957984328075e-10
8.855000193925726e-06,0.7742226663872623,3.76,0.0,0.7188378199172547,0.9997449658415115,0.000128689743656889,7.201260728817678e-17,7.344112500171262e-12,0.0005485187638738532,0.00016623489892354432,4.5368317414906885e-08,5.133534834053193e-06,4.899534300974666e-06,9.610148893771702e-05,3.673814744569553e-05,1.4005858195701988e-06,2.469627028586117e-08,9.085545609860402e-09,7.072667771308622e-07,1.916980269316656e-06,8.17962379592723e-09,5.165123712888208e-07,2.4981912364481533e-06,3.0093804208806326e-15,7.656604354148523e-12,1.2656658686337803e-10
9.038306202130348e-06,0.7742232622474043,3.76,0.0,0.7188221801294826,0.9997393594460239,0.00013339717274214022,7.458250996678078e-17,7.52550570982012e-12,0.0005620371304535963,0.00016850711486165386,4.6488028216722824e-08,5.225395271715408e-06,4.952433675427646e-06,9.891832127982866e-05,3.8452127167337245e-05,1.4187974586958765e-06,2.5473072886789966e-08,9.543742169136879e-09,7.575929262411885e-07,2.050843001515276e-06,8.640915169280337e-09,5.522725674506636e-07,2.547011488406435e-06,3.2235238539123127e-15,8.33486692379274e-12,1.4045438598941677e-10
9.22161221033497e-06,0.7742238638379075,3.76,0.0,0.7188064089780937,0.9997337304213375,0.0001381881542436804,7.719736791056424e-17,7.707806038256637e-12,0.0005756227492957498,0.00017073775856315905,4.761330487496319e-08,5.31732423683903e-06,5.005188311568865e-06,0.00010176611191209739,4.021045838170413e-05,1.436991460737961e-06,2.6257873668716086e-08,1.0015793657684723e-08,8.104306618789391e-07,2.1911694338126157e-06,9.119391523171542e-09,5.897810637559787e-07,2.595163468446759e-06,3.4483547921336996e-15,9.058908098862488e-12,1.5556075765581104e-10
9.404918218539592e-06,0.7742244710967957,3.76,0.0,0.7187905066664453,0.999728078215956,0.00014306274786993534,7.985721422893549e-17,7.89099982100678e-12,0.0005892745964465953,0.00017292720026479546,4.874406228804881e-08,5.409316101382118e-06,5.0578010640216185e-06,0.00010464480243816787,4.20134009655366e-05,1.4551680609200623e-06,2.705049060304109e-08,1.0501854606487508e-08,8.658551348617762e-07,2.338138195429883e-06,9.615394489994922e-09,6.290904685691231e-07,2.6426450409284593e-06,3.684193037002678e-15,9.830900417614657e-12,1.7196721209365114e-10
9.588224226744215e-06,0.7742250839620994,3.76,0.0,0.7187744733995799,0.9997224022819776,0.0001480210082406633,8.256207843191327e-17,8.075073393996521e-12,0.0006029916479698178,0.000175075811456062,4.988021535355256e-08,5.501365356939819e-06,5.110274755274376e-06,0.00010755433618012106,4.386120835770468e-05,1.4733274872212736e-06,2.7850741068094245e-08,1.1002077719029947e-08,9.239423203013027e-07,2.4919291093723255e-06,1.0129266619732777e-08,6.702540850555875e-07,2.6894545831146353e-06,3.9313618980219775e-15,1.0653077553820393e-11,1.8975909557040036e-10
9.954836243153459e-06,0.7742263262641872,3.76,0.0,0.7187420148283324,0.9997109770548067,0.0001581887228649444,8.810696104276965e-17,8.44580527262266e-12,0.0006306172696881111,0.00017925203427992,5.21683681288816e-08,5.6856145592449215e-06,5.2148160922799825e-06,0.00011346571507393206,4.7692399085296565e-05,1.5095956965920182e-06,2.9473409767649056e-08,1.204561194322494e-08,1.048412789208934e-06,2.8207023708135695e-06,1.1211992623572549e-08,7.583606276378011e-07,2.781053427020066e-06,4.461001986098978e-15,1.2457229500878052e-11,2.2986036047588571e-10
9.999999999999997e-06,0.7742275902490486,3.76,0.0,0.718737980082814,0.9997095626268167,0.00015946449095439628,8.880252141299884e-17,8.491710906556927e-12,0.0006340378924001518,0.00017975546291553016,5.245168712187309e-08,5.708324956781845e-06,5.22765814288093e-06,0.00011420245062851955,4.8176949797130994e-05,1.5140590508388008e-06,2.967529986936917e-08,1.2178186380977898e-08,1.0645351756387214e-06,2.863214127374917e-06,1.1350551013121549e-08,7.697642278933459e-07,2.7921511616245944e-06,4.52960522655555e-15,1.2694939453347703e-11,2.352455841324703e-10
1.0321448259562703e-05,0.7742275902490486,3.76,0.0,0.7187090349354734,0.9996994504298565,0.00016869163717414404,9.383218306416343e-17,8.819892472053996e-12,0.000658491430971156,0.0001832694224206989,5.447708300274953e-08,5.870029877957275e-06,5.318834315513432e-06,0.00011949982879309916,5.170592902479276e-05,1.5457977849458077e-06,3.112441089471858e-08,1.3147580361407852e-08,1.1844659669082561e-06,3.1789498760356227e-06,1.2370324911366001e-08,8.54540935756091e-07,2.869955872960202e-06,5.03993004038399e-15,1.4490473865748602e-11,2.766281347880378e-10
1.0688060275971948e-05,0.7742288754224952,3.76,0.0,0.7186755354144948,0.9996878181569324,0.00017953001498190643,9.973785969272254e-17,9.197225963726559e-12,0.0006866059611157078,0.00018713098854738382,5.680568080402744e-08,6.054570830688404e-06,5.422350995364171e-06,0.0001256562838215385,5.590359328170752e-05,1.5819353605762179e-06,3.2802272660085754e-08,1.4309136067186906e-08,1.3327382779311893e-06,3.5681483304409628e-06,1.3607027864224521e-08,9.592462322541815e-07,2.956163845480112e-06,5.670854354798624e-15,1.677292761343795e-11,3.3089431389357585e-10
1.1054672292381192e-05,0.7742301812915734,3.76,0.0,0.718641517979407,0.9996760760466807,0.0001907040474627911,1.058240567710752e-16,9.577696968195524e-12,0.0007149527078582416,0.00019083976108698206,5.915348385996996e-08,6.239198288793902e-06,5.525387321794839e-06,0.0001319347123949747,6.02870836667562e-05,1.6180099567952357e-06,3.45055234949068e-08,1.5531400454313077e-08,1.4938783287577893e-06,3.989788932365146e-06,1.492487205911949e-08,1.0729386358074545e-06,3.0396845449953964e-06,6.356535068270331e-15,1.9325727495425467e-11,3.9356264586853776e-10
1.1421284308790436e-05,0.7742315073650712,3.76,0.0,0.7186069843630699,0.9996642199716089,0.0002022138555577075,1.1209079366426634e-16,9.961197026975251e-12,0.0007435235427605485,0.000194398782609704,6.151981644427838e-08,6.423874388008275e-06,5.627964144071091e-06,0.0001383347720151394,6.485798891054456e-05,1.654023043981771e-06,3.6232695095806775e-08,1.6815462526443223e-08,1.668546555454104e-06,4.44537580328232e-06,1.6326631483402556e-08,1.1960910690509122e-06,3.1205298169261875e-06,7.099782665428778e-15,2.2171041624430178e-11,4.65612315143623e-10
1.178789632519968e-05,0.7742328531537401,3.76,0.0,0.7185719363156174,0.9996522458670571,0.0002140594922652856,1.1853804615336553e-16,1.0347618071720015e-11,0.0007723103664005865,0.00019781110813682853,6.390400520889605e-08,6.608562466281987e-06,5.730102008208611e-06,0.00014485614500579113,6.961779502020293e-05,1.6899760409530603e-06,3.798232535592651e-08,1.8162378264266665e-08,1.857414864372496e-06,4.9364244069109624e-06,1.7815080787128957e-08,1.3291871582888998e-06,3.1987156222147543e-06,7.90345644777704e-15,2.5332079903620515e-11,5.481015636096423e-10
1.2154508341608925e-05,0.7742342181707201,3.76,0.0,0.7185363756029517,0.9996401497321235,0.0002262409448525936,1.251657494120919e-16,1.0736852491162246e-11,0.0008013051133970145,0.0002010798033780466,6.630537960192016e-08,6.793227023486268e-06,5.831821192145132e-06,0.0001514985381084145,7.456788577361337e-05,1.7258703256726895e-06,3.975296119641359e-08,1.9573170062328202e-08,2.0611662665744858e-06,5.464459960147065e-06,1.939299257480493e-08,1.4727211250362367e-06,3.2742615918613227e-06,8.770462978146674e-15,2.883310327470625e-11,6.421713454278295e-10
1.252112035801817e-05,0.7742356019318536,3.76,0.0,0.7185003040052842,0.9996279276305362,0.00023875813700231647,1.3197380102893002e-16,1.1128793195945706e-11,0.0008304997572781242,0.00020420794290250123,6.872327227253545e-08,6.977833700213053e-06,5.933141738604782e-06,0.00015826168211674965,7.970954335096839e-05,1.7617072452833363e-06,4.154316128362429e-08,2.10488262304583e-08,2.2804945064076636e-06,6.031015838176189e-06,2.1063134744920754e-08,1.627197669413696e-06,3.347190656845013e-06,9.703754500272633e-15,3.2699431824506495e-11,7.490490131120209e-10
1.2887732374427414e-05,0.7742370039560341,3.76,0.0,0.7184637233157002,0.9996155756914751,0.0002516109309245306,1.3896206406577443e-16,1.1523333681664393e-11,0.0008598863152178902,0.0002071986082499296,7.115701946487869e-08,7.162349271145019e-06,6.034083485655483e-06,0.00016514533154827116,8.504394910025919e-05,1.7974881254809823e-06,4.335149863111268e-08,2.259030055818286e-08,2.516103684841785e-06,6.637631976583774e-06,2.2828267887062427e-08,1.7931318456086063e-06,3.417528738652932e-06,1.0706327336063614e-14,3.6957451779870815e-11,8.700520314827747e-10
1.3254344390836658e-05,0.7742384237655469,3.76,0.0,0.7184266353387193,0.9996030901103367,0.00026479912946464774,1.4613037016367035e-16,1.192036809048891e-11,0.0008894568526666771,0.00021005488599058138,7.360596140314664e-08,7.346741647682343e-06,6.134666095038198e-06,0.00017214926434962996,9.057218442978384e-05,1.833214279266691e-06,4.517656308634889e-08,2.4198511945919706e-08,2.7687078783747213e-06,7.285853273779894e-06,2.4691142740896984e-08,1.9710489298317315e-06,3.485304482767033e-06,1.1781220264017155e-14,4.1634621393432116e-11,1.006591715040757e-09
1.3620956407245903e-05,0.7742398608864007,3.76,0.0,0.7183890418888305,0.9995904671494461,0.0002783224782263334,1.5347852268215205e-16,1.2319791271586717e-11,0.0009192034878917322,0.00021277986574239982,7.6069442669223e-08,7.530979886197682e-06,6.2349090783371635e-06,0.00017927328163318618,9.629523182082654e-05,1.8688870151017676e-06,4.701696369754117e-08,2.5874344101534903e-08,3.0390307543206185e-06,7.977227996992007e-06,2.6654497721503463e-08,2.1614842812138026e-06,3.550549023184106e-06,1.2931512882236722e-14,4.675947575006045e-11,1.1601769844225249e-09
1.3987568423655147e-05,0.7742413148486602,3.76,0.0,0.7183509447890014,0.9995777031387127,0.0002921806677147595,1.610062998600655e-16,1.2721498840358766e-11,0.0009491183964289093,0.00021537663815264307,7.854681257294952e-08,7.715034200246806e-06,6.334831821004416e-06,0.00018651720744240345,0.0001022139759553903,1.9045076444737715e-06,4.887133095830588e-08,2.7618645300577414e-08,3.327805183180882e-06,8.713306194760322e-06,2.8721056517996028e-08,2.36498319599319e-06,3.613295772718913e-06,1.416032395903232e-14,5.236163053803209e-11,1.332418138300292e-09
1.4354180440064391e-05,0.7742427851867748,3.76,0.0,0.7183123458691616,0.9995647944762276,0.0003063733355020304,1.687134579933488e-16,1.3125387236468245e-11,0.0009791938154435312,0.00021784829285056919,8.103742551487096e-08,7.898875975622638e-06,6.434453604254305e-06,0.00019388088854412514,0.00010832920495449318,1.9400774888767066e-06,5.073831892851728e-08,2.9432228211020777e-08,3.63577284874711e-06,9.495638118724327e-06,3.089352577102109e-08,2.5821007553153975e-06,3.673580235658421e-06,1.547080977386694e-14,5.847178481158481e-11,1.5250306374429833e-09
1.4720792456473636e-05,0.7742442714399037,3.76,0.0,0.7182732469646526,0.999551737628802,0.0003209000684186102,1.7659973462197835e-16,1.3531353780668389e-11,0.0010094220480007141,0.00022019791637812184,8.354064134148599e-08,8.082477786844188e-06,6.533793624878919e-06,0.0002013641942455698,0.00011464161172184745,1.9755978862176586e-06,5.2616607229376546e-08,3.131586978210763e-08,3.9636838566163475e-06,1.0325772657535231e-05,3.317459283272065e-08,2.813401667009184e-06,3.7314398382119707e-06,1.6866162451544246e-14,6.512172277245402e-11,1.7398388975678598e-09
1.508740447288288e-05,0.7742457731522409,3.76,0.0,0.7182336499146487,0.9995385291324463,0.00033576040477425654,1.846648517143137e-16,1.3939296730438691e-11,0.0010397954672456795,0.00022242859010582664,8.605582569305142e-08,8.265813413662269e-06,6.632871013038664e-06,0.00020896701623372992,0.0001211517953870538,2.0110701966675268e-06,5.450490291123963e-08,3.3270311195647626e-08,4.312296341828204e-06,1.1205255785755595e-05,3.556692361328991e-08,3.059460101747166e-06,3.7869137721279758e-06,1.834960829265716e-14,7.234431461606423e-11,1.9787800875319543e-09
1.5454016489292124e-05,0.7742472898733302,3.76,0.0,0.7181935565605455,0.9995251655927889,0.00035095383660841746,1.9290851883820896e-16,1.4349115334396232e-11,0.0010703065204913905,0.00022454338814092062,8.858235034372204e-08,8.448857856642994e-06,6.7317048480657036e-06,0.0002166892684349313,0.00012786026284242682,2.046495807968529e-06,5.640194219318053e-08,3.5296257878739064e-08,4.682376076317976e-06,1.2135629030519357e-05,3.8073160518765875e-08,3.3208595240034423e-06,3.840042848473147e-06,1.992440610325137e-14,8.017351649042593e-11,2.2439079295805715e-09
1.582062850570137e-05,0.7742488211583791,3.76,0.0,0.7181529687443218,0.9995116436854333,0.0003664798119669845,2.013304363104251e-16,1.476070988541011e-11,0.001100947733208037,0.00022654537523434417,9.111959353357005e-08,8.63158735134705e-06,6.830314172320375e-06,0.00022453088689245807,0.0001347674303678354,2.0818761402060367e-06,5.8306492073634385e-08,3.7394379577104196e-08,5.074696076847278e-06,1.3118427958595001e-05,4.0695920483466816e-08,3.5981925182083564e-06,3.890869360081464e-06,2.1593845526518936e-14,8.864436960786794e-11,2.5373964986391424e-09
1.6187240522110613e-05,0.774250366568566,3.76,0.0,0.7181118883068789,0.9994979601562521,0.0003823377372016065,2.0993029831519785e-16,1.5173981772341044e-11,0.0011317117129084574,0.00022843760469296715,9.366694029199209e-08,8.81397938075658e-06,6.928718003156267e-06,0.00023249182966022895,0.0001418736253380023,2.1172126500552106e-06,6.021735181186364e-08,3.956531048774039e-08,5.4900362140548e-06,1.4155180686397086e-05,4.343779309941358e-08,3.8920606104976e-06,3.9394369515549114e-06,2.3361245379256796e-14,9.779299855157275e-11,2.861544017821567e-09
1.6553852538519858e-05,0.7742519256713413,3.76,0.0,0.7180703170863625,0.9994841118216211,0.00039852697928810483,2.1870779598114303e-16,1.5588833530337198e-11,0.0011625911529242771,0.00023022311630329848,9.622378275206953e-08,8.996012685573048e-06,7.0269353430541944e-06,0.00024057207671051995,0.0001491790880065525,2.152506834517911e-06,6.21333542803402e-08,4.18096494493059e-08,5.929182823262446e-06,1.5247406415420914e-05,4.630133884512766e-08,4.203074086460641e-06,3.985790495540454e-06,2.5229951995793774e-14,1.0765660882625217e-10,3.2187766474406735e-09
1.6920464554929102e-05,0.7742534980407231,3.76,0.0,0.7180282569164708,0.9994700955685888,0.00041504686816026587,2.276626204060066e-16,1.600516888961897e-11,0.0011935788360676785,0.0002319049342727873,9.878952045545848e-08,9.17766727205536e-06,7.124985187980151e-06,0.0002487716298537585,0.00015668397336097333,2.1877602341650943e-06,6.405336718850835e-08,4.41279601885746e-08,6.392928317660899e-06,1.6396613995489888e-05,4.928908741619326e-08,4.531851805300033e-06,4.029975974137237e-06,2.7203337582041864e-14,1.182734837040329e-10,3.6116522649400704e-09
1.7287076571338346e-05,0.7742550832575832,3.76,0.0,0.7179857096247557,0.9994559083549842,0.0004318966990544374,2.367944656202446e-16,1.642289282267834e-11,0.0012246676381731973,0.00023348606519458054,1.013635606473421e-07,9.35892441720498e-06,7.222886534023722e-06,0.0002570905126684777,0.00016438835304266052,2.2229744358973317e-06,6.597629417879992e-08,4.6520771621207e-08,6.882070804478031e-06,1.7604300518093862e-05,5.24035361592463e-08,4.879021010812187e-06,4.072040364730892e-06,2.928479858223987e-14,1.2968298041478186e-10,4.042864233350339e-09
1.765368858774759e-05,0.7742566809099277,3.76,0.0,0.7179426770309192,0.9994415472094619,0.00044907573485975503,2.4610303148059044e-16,1.6841911589814384e-11,0.0012558505315136534,0.00023496949604131723,1.0394531856095347e-07,9.53976667122084e-06,7.320658382382071e-06,0.0002655287704395972,0.00017229221732629682,2.258151075236943e-06,6.790107579616572e-08,4.8988578205008715e-08,7.397413704710062e-06,1.887194994197734e-05,5.564714861033221e-08,5.2452171395948465e-06,4.112031529897701e-06,3.147775406085747e-14,1.4192552573009814e-10,4.51524515606778e-09
1.8020300604156835e-05,0.7742582905931668,3.76,0.0,0.7178991609451152,0.999427009231484,0.0004665832084687979,2.5558802648437643e-16,1.7262132782930124e-11,0.0012871205880846193,0.00023635819219327192,1.0653421769120104e-07,9.720177857189102e-06,7.418319742759717e-06,0.0002740864701032696,0.00018039547715285143,2.2932918381684104e-06,6.982669033274584e-08,5.1531840343724246e-08,7.939765376973827e-06,2.0201031753021225e-05,5.9022353138273365e-08,5.6310836268813885e-06,4.149998111106649e-06,3.378564410203598e-14,1.5504261099145892e-10,5.031770615931015e-09
1.838691262056608e-05,0.7742599119103777,3.76,0.0,0.7178551631662604,0.9994122915912423,0.0004844183251236451,2.6524917049569625e-16,1.768346536752233e-11,0.0013184709827522992,0.00023765509550590364,1.0912969005696948e-07,9.900143067981836e-06,7.515889635253883e-06,0.00028276370019659727,0.00018869796621051086,2.328398462544863e-06,7.175215454964061e-08,5.4150984839246386e-08,8.509938746017933e-06,2.159299966034719e-05,6.253154169343199e-08,6.03727171039787e-06,4.185989425938556e-06,3.6211928228854624e-14,1.690767866335307e-10,5.5955628967366606e-09
1.8753524636975324e-05,0.7742615444725556,3.76,0.0,0.7178106854803569,0.9993973915295156,0.000502580264752336,2.7508619737550295e-16,1.810581972280096e-11,0.0013498949962600906,0.00023886312242160735,1.1173117645169911e-07,1.0079648660363768e-05,7.613387090795406e-06,0.00029156057081059053,0.0001971994430578905,2.3634727390774326e-06,7.367652427808642e-08,5.6846405390017636e-08,9.10875093640778e-06,2.3049290330452766e-05,6.617706866181156e-08,6.46444023263361e-06,4.220055368601448e-06,3.87600838446142e-14,1.8407165625344632e-10,6.209894685506619e-09
1.9120136653384568e-05,0.7742631878988564,3.76,0.0,0.7177657296588376,0.9993823063574694,0.0005210681842906879,2.8509885750842237e-16,1.852910767987786e-11,0.0013813860180893252,0.00023998516213017226,1.1433812668186782e-07,1.025868224634774e-05,7.710831150219266e-06,0.00030047721354481633,0.00020589959328395742,2.398516511924441e-06,7.559889490266575e-08,5.96184631333538e-08,9.737022911874348e-06,2.4571322161056684e-05,6.996124982398135e-08,6.913255441908469e-06,4.252246313633088e-06,4.143360469822291e-14,2.0007187027620028e-10,6.878192753998426e-09
