Time (s),Volume (m^3),N2,Ne,CH4(1),O2(2),H2O(3),C(4),CH(5),CH3(18),HO2(12),CH3O2(36),OH(8),H(6),H2(9),CH2O(19),O(7),CH3O(26),C2H5(31),C2H4(29),C2H6(30),HCO(16),CO(14),H2O2(13),C2H4(92),C2H3(28),C2H2(22),C2H(21),CH2(S)(24),CH2(T)(17),C1OO1(207),C2H5O(49),CH2O2(59)
2.5506388458672896e-15,0.7887003537484794,3.76,0.0,0.5032532604355697,0.9999999999998744,1.4631039763293811e-30,2.8537659889782174e-41,1.3268238183030632e-27,2.0779436807480187e-13,1.256041035407789e-13,1.4958312988210688e-24,2.4880032110325667e-22,8.219026348589939e-14,2.784153671126321e-18,5.99311599489127e-24,4.985694349238205e-19,1.345451559369006e-24,3.31502200787258e-29,4.352890033802104e-35,5.371728912746019e-31,3.5455165949570084e-35,1.984597023585667e-33,2.5524944151603226e-24,2.3366124178650005e-48,1.9254257138443967e-47,3.700577968849559e-55,1.2863416097968298e-71,2.7837487198816282e-18,4.263107264333165e-25,1.1857599479264197e-38,2.278559709206217e-40,2.2008383818715544e-37
5.103493711583292e-15,0.7887003537484916,3.76,0.0,0.5032532604353618,0.9999999999997488,1.1713728113999835e-29,2.284749281000909e-40,5.310752712643151e-27,4.157692707157377e-13,2.5131733312221533e-13,5.987222727216512e-24,9.958496714733523e-22,1.6445193339829655e-13,5.571535866561859e-18,2.3988083550073268e-23,9.980607447830442e-19,5.385311580026871e-24,1.3268751104463567e-28,3.4849591951722365e-34,2.150543435579568e-30,2.8385690626691763e-34,1.588884112471277e-32,1.0216629635010058e-23,3.741613056432827e-47,3.084004445746884e-46,1.185508520127145e-53,8.242251780634413e-70,5.569915006260741e-18,1.7063536257036258e-24,9.494154531276704e-38,1.8242333363613924e-39,1.76199997704166e-36
1.0209203443015294e-14,0.7887003537485162,3.76,0.0,0.5032532604349458,0.9999999999994973,9.3745424640984e-29,1.8284958522053234e-39,2.1249925519521626e-26,8.317190783901648e-13,5.027437922049211e-13,2.395668389025971e-23,3.984695797833088e-21,3.2897526939887586e-13,1.1148730185692166e-17,9.598358860461942e-23,1.998510140005791e-18,2.1548252967414844e-23,5.309247883904282e-28,2.7890267667832896e-33,8.608591792347976e-30,2.2717178865220354e-33,1.2715898208857678e-31,4.08798261719235e-23,5.9889770887134235e-46,4.9370671602388696e-45,3.7957461941235364e-52,5.278149994427499e-68,1.114224463330785e-17,6.827634907846119e-24,7.599593614501347e-37,1.459941262338362e-38,1.410121192462408e-35
2.04206229058793e-14,0.7887003537485655,3.76,0.0,0.5032532604341139,0.9999999999989945,7.5010581525338445e-28,1.4630777675619144e-38,8.501351594039168e-26,1.6636187033092412e-12,1.005596710049665e-12,9.584228931044982e-23,1.5941377530741266e-20,6.580219261031756e-13,2.2312838536537967e-17,3.8399692301720784e-22,4.0052760319066094e-18,8.620697887198773e-23,2.124060159306352e-27,2.231645413176579e-32,3.446891215822315e-29,1.817719362252763e-32,1.0174644736514966e-30,1.635459228758212e-22,9.584179770296495e-45,7.901435321526455e-44,1.2149777919941841e-50,3.3790286885065337e-66,2.22868921045704e-17,2.7314967729414105e-23,6.083045078618217e-36,1.1681751004359025e-37,1.1282883223729778e-34
4.0843461831607316e-14,0.7887003537486642,3.76,0.0,0.5032532604324501,0.9999999999979887,6.001416075808097e-27,1.1705785889918276e-37,3.40081553885264e-25,3.3274179914282828e-12,2.011302544456481e-12,3.833999914804102e-22,6.37706971389966e-20,1.3161151783243453e-12,4.4679934084956207e-17,1.5361132452696114e-21,8.042276217034532e-18,3.448554651652784e-22,8.497054442530077e-27,1.7854861804416325e-31,1.381184041456098e-28,1.4543134053360252e-31,8.140479352333687e-30,6.542369247336188e-22,1.5335817730932353e-43,1.264399638756932e-42,3.888470590586562e-49,2.1629248815433884e-64,4.4576139915871387e-17,1.0926862098489024e-22,4.870442981849639e-35,9.346292554330095e-37,9.026797588502076e-34
8.168913968306334e-14,0.7887003537488615,3.76,0.0,0.5032532604291224,0.9999999999959773,4.801360406990751e-26,9.36515709515355e-37,1.3603800811868989e-24,6.65501672078993e-12,4.022714208139427e-12,1.533659432770531e-21,2.5509314669873497e-19,2.6323014380170146e-12,8.956964053978676e-17,6.144707353174944e-21,1.6210150156635476e-17,1.379473871422388e-21,3.399057938565219e-26,1.4284572589570407e-30,5.54348446451545e-28,1.1635057007435099e-30,6.51267774413387e-29,2.6170541136869786e-21,2.4537178262347116e-42,2.023174563028973e-41,1.2443967166920354e-47,1.3844114950847374e-62,8.915444701439719e-17,4.370911306141328e-22,3.9022102219685675e-34,7.477396032414041e-36,7.221195305200033e-33
1.6338049538597538e-13,0.7887003537492558,3.76,0.0,0.5032532604224672,0.9999999999919545,3.8411788868183785e-25,7.492437608683131e-36,5.441619125463381e-24,1.3310214792007537e-11,8.045537514982569e-12,6.134739036311494e-21,1.0203931733788757e-18,5.2646729784040745e-12,1.7997111465012448e-16,2.4579364219891272e-20,3.2921392025537596e-17,5.517974784718961e-21,1.3597291245386787e-25,1.1427937273659145e-29,2.2322579930706497e-27,9.308262434700756e-30,5.210242016467319e-28,1.0468428844046844e-20,3.9256072165471254e-41,3.2371846670863046e-40,3.982203817689824e-46,8.861047252673109e-61,1.7831030712170646e-16,1.7483909837494512e-21,3.1309121696432626e-33,5.982070055433856e-35,5.776156765301034e-32
3.267632067917995e-13,0.788700353750045,3.76,0.0,0.5032532604091566,0.9999999999839089,3.0729785988371766e-24,5.994235776871132e-35,2.176660264540658e-23,2.662061338442044e-11,1.6091184046577776e-11,2.4539017714193818e-20,4.081612826483491e-18,1.0529412143188274e-11,3.6326230582310924e-16,9.83187349317058e-20,6.784584942070389e-17,2.2071859946901788e-20,5.439598125030167e-25,9.142470999341424e-29,9.04767679921692e-27,7.44669174748647e-29,4.168204923472779e-27,4.187413660659624e-20,6.279640035944908e-40,5.1795710834158193e-39,1.2756673563117328e-44,5.784202611118068e-59,3.566190110298534e-16,6.993562197592537e-21,2.5192596272458405e-32,4.785730820903996e-34,4.619482855390883e-31
6.535286296034477e-13,0.788700353751623,3.76,0.0,0.5032532603825355,0.9999999999678175,2.4583958979679257e-23,4.795760352848132e-34,8.706609120030786e-23,5.3241420369160646e-11,3.218247678140339e-11,9.81550656756702e-20,1.6326523247678033e-17,2.1058874808822585e-11,7.397976451751653e-16,3.9327916320823e-19,1.437026404290176e-16,8.828577913183974e-20,2.176351354253245e-24,7.31404046903967e-28,3.7139328748869254e-26,5.957378225126346e-28,3.3345226743575425e-26,1.674973604751584e-19,1.0042974389364101e-38,8.287346145933952e-38,4.082286144107023e-43,3.7039638401275774e-57,7.132243540402277e-16,2.797380804546072e-20,2.038582260190922e-31,3.8286361284199295e-33,3.693216144772011e-30
1e-12,0.7887003537547786,3.76,0.0,0.5032532603543088,0.9999999999507557,1.158169608866733e-22,2.2596141137598384e-33,2.25538389180816e-22,8.14676451284616e-11,4.9244171895216043e-11,2.5426083667308194e-19,4.2293232457776186e-17,3.222329506399297e-11,1.1601466608009714e-15,1.0187851549494475e-18,2.368743559959175e-16,2.2869223304034186e-19,5.6398859905444485e-24,3.44572303814922e-27,1.0023066640408237e-25,2.80656195268111e-27,1.5708698331628125e-25,4.338958121461176e-19,8.983147702206482e-38,7.4190434734576126e-37,7.117333455872023e-42,1.2747106639617537e-55,1.0913095907914088e-15,7.246268515792394e-20,9.799769283815182e-31,1.8037269758977332e-32,1.7378824484526577e-29
1.307059475226744e-12,0.7887003537547786,3.76,0.0,0.5032532603292931,0.9999999999356348,1.9667200428278097e-22,3.8371688699712395e-33,3.482591528117934e-22,1.0648307353832748e-10,6.436506093759144e-11,3.926092262311258e-19,6.530617027798442e-17,4.211773748455944e-11,1.5326800334788047e-15,1.573138437748578e-18,3.194475800265297e-16,3.5312713802613544e-19,8.709435796728986e-24,5.8512821586497755e-27,1.561452229505295e-25,4.765899881385507e-27,2.6675283765039925e-25,6.69990842675416e-19,1.6054385859484413e-37,1.3259689924184224e-36,1.3063262579835277e-41,2.371593835512046e-55,1.4263867841968012e-15,1.1189085275498896e-19,1.6678103882956983e-30,3.0629639458368335e-32,2.950766419256384e-29
2.614121166473337e-12,0.7887003537610904,3.76,0.0,0.5032532602228083,0.9999999998712693,1.5733743510413881e-21,3.070618257064717e-32,1.392989603590232e-21,2.1296653667563749e-10,1.2873022399608286e-10,1.5703426304217501e-18,2.612243029126716e-16,8.423521221554304e-11,3.2776907010918234e-15,6.292704008359194e-18,7.670617112279221e-16,1.4123753535496686e-18,3.486985236628465e-23,4.681084545650237e-26,6.85282181259611e-25,3.8126986155722887e-26,2.133869599263201e-24,2.6799643536446735e-18,2.5641023312299016e-36,2.1215164555442513e-35,4.1801741118547375e-40,1.5191444453193083e-53,2.8525186479255225e-15,4.475266723160628e-19,1.3929710921018314e-29,2.4504481632800138e-31,2.354550516074297e-28
3.92118285771993e-12,0.7887003537674019,3.76,0.0,0.5032532601163231,0.9999999998069037,4.498866068171592e-21,8.781793230018786e-32,2.960032375023814e-21,3.194501566121545e-10,1.9309538180065743e-10,3.3368379490921875e-18,5.551008082412267e-16,1.2635243632767332e-10,5.181946312384651e-15,1.3372209934984616e-17,1.3107989161298458e-15,3.0011005564613757e-18,7.415341266601434e-23,1.3385314215699537e-25,1.558665555962668e-24,1.0901895662050709e-25,6.101279901138187e-24,5.694922838277524e-18,9.42999822865288e-36,8.020243238781994e-35,1.9481380005962875e-39,8.418787696914512e-53,4.278457541952086e-15,9.50939746338783e-19,4.079000600527357e-29,7.00735707484171e-31,6.722629522949344e-28
5.228244548966523e-12,0.7887003537737134,3.76,0.0,0.5032532600098379,0.999999999742538,9.48940780065328e-21,1.8527566073162715e-31,5.049355462233253e-21,4.2593393334810905e-10,2.574605343512829e-10,5.692032020513498e-18,9.469352203820318e-16,1.6846940982258702e-10,7.245445920037548e-15,2.2811749537101993e-17,1.950658016437608e-15,5.119214251380017e-18,1.2658901150121961e-22,2.823418746765316e-25,2.8294169163670202e-24,2.29951787502939e-25,1.2868880556302056e-23,9.714864723670746e-18,2.3900022315865765e-35,2.1285871132885823e-34,6.014292645695655e-39,3.017295711206922e-52,5.704203493155021e-15,1.622105602565926e-18,8.786699239455823e-29,1.4782178053243806e-30,1.4161075571571233e-27
7.842367931459709e-12,0.7887003537863367,3.76,0.0,0.5032532597968671,0.9999999996138063,2.591850111724638e-20,5.063137765826672e-31,1.0453662293938877e-20,6.389018548194129e-10,3.861908271217362e-10,1.1783864189870263e-17,1.960503810315422e-15,2.527027686342275e-10,1.1746178106764461e-14,4.722997270766552e-17,3.455964765482662e-15,1.0597609755533646e-17,2.6244251436424495e-22,7.7120063718716505e-25,6.511688850005657e-24,6.280662517782501e-25,3.5146698245879946e-23,2.0113378187248762e-17,8.348931204089382e-35,8.345590683875987e-34,2.8937465006060807e-38,1.834758080412508e-51,8.555242653975111e-15,3.358066932925667e-18,2.4826918390618426e-28,4.038565841986304e-30,3.8592753274263754e-27
1e-11,0.78870035379896,3.76,0.0,0.5032532596210857,0.9999999995075542,4.84298929371286e-20,9.464628762036454e-31,1.6360856142692655e-20,8.146806858794214e-10,4.924415770620915e-10,1.8442320852802108e-17,3.0684368301703427e-15,3.2222618232776594e-10,1.5902099699406014e-14,7.392248301305746e-17,4.964675609707313e-15,1.658529243901744e-17,4.112255629847616e-22,1.44107663518236e-24,1.104936365322703e-23,1.1735660901159046e-24,6.56700932878611e-23,3.1480033835504426e-17,1.818972042958886e-34,1.926944266122504e-33,7.622370113016179e-38,5.492974593118379e-51,1.0907884761829791e-14,5.255439567421816e-18,4.756380699507799e-28,7.548139792747088e-30,7.199105543764325e-27
1.0456491313952895e-11,0.78870035379896,3.76,0.0,0.5032532595838956,0.9999999994850745,5.423013381320558e-20,1.0598888269455054e-30,1.7778314293411432e-20,8.518703529000863e-10,5.149211005712751e-10,2.004002704559972e-17,3.3342946927692153e-15,3.369352058505732e-10,1.683249939459297e-14,8.032765642121731e-17,5.3147362184345426e-15,1.8022021016857787e-17,4.469519385413424e-22,1.6136779627508036e-24,1.2183076491027339e-23,1.3141183214960216e-24,7.353455099095617e-23,3.4207561103233156e-17,2.0842277550101877e-34,2.2251987778055805e-33,8.951584456328357e-38,6.544294148331467e-51,1.1405572518535978e-14,5.710711848232804e-18,5.347509435255587e-28,8.452503706550206e-30,8.059092585579668e-27
1.307061469644608e-11,0.7887003538115833,3.76,0.0,0.5032532593709236,0.9999999993563422,9.872377434715272e-20,1.930444991006037e-30,2.7160265093257604e-20,1.0648394687780542e-09,6.436513533196189e-10,3.0614693607605694e-17,5.0940349176429794e-15,4.2116665565432824e-10,2.2546231244603138e-14,1.2272538557121038e-16,7.552211978484116e-15,2.7530858019642224e-17,6.837912458644717e-22,2.9377503137919542e-24,2.0349932656847312e-23,2.3922903333477177e-24,1.338592433988739e-22,5.226137936030388e-17,4.4175927066086495e-34,4.946224300907283e-33,2.2775093279463005e-37,1.9004144716201939e-50,1.4255142602405112e-14,8.723925678175419e-18,1.00165520761091e-27,1.5392406613076468e-29,1.4642157100419388e-26
1.829886146143245e-11,0.7887003538368296,3.76,0.0,0.5032532589449775,0.9999999990988764,2.60658736807268e-19,5.103108384500004e-30,5.222384147270515e-20,1.4907795927427503e-09,9.011117954109332e-10,5.886231368669842e-17,9.795585385245366e-15,5.896265310746803e-10,3.589529400595027e-14,2.3600937775772374e-16,1.3187011051684968e-14,5.2928736529620404e-17,1.3190587154125236e-21,7.75715885532806e-24,4.673942646488895e-23,6.316264114261214e-24,3.533729608022679e-22,1.0049657193670206e-16,1.6129495589330844e-33,1.8988568951776887e-32,1.2648145804555808e-36,1.564003441312812e-49,1.995195691951211e-14,1.6772445644307056e-17,2.844711793223981e-27,4.067594544073735e-29,3.8452703402354393e-26
2.3527108226418824e-11,0.7887003538620763,3.76,0.0,0.503253258519029,0.9999999988414091,5.404084461078458e-19,1.0591339693254166e-29,8.56399709383392e-20,1.916722225932968e-09,1.1585721534204712e-09,9.652023855957088e-17,1.606463368620279e-14,7.580823962542782e-10,5.1792508022330925e-14,3.8707518772366583e-16,2.035981015412204e-14,8.678365559402562e-17,2.1697857906725634e-21,1.6083579327295906e-23,8.863447775187623e-23,1.309503124503046e-23,7.325276588944831e-22,1.6481378365656176e-16,4.1763572263809e-33,5.031440394150288e-32,4.18330043876818e-36,6.3968465845972885e-49,2.564568807360977e-14,2.750141956053039e-17,6.267846881583266e-27,8.439597413970223e-29,7.933917485266521e-26
3.398360175639157e-11,0.7887003539125695,3.76,0.0,0.5032532576671241,0.99999999832647,1.6237530596230022e-18,3.189892665603216e-29,1.7751581059246837e-19,2.768615019008245e-09,1.6734926172190282e-09,2.000422152934058e-16,3.3304409144983467e-14,1.0949820981221045e-09,9.12300028379275e-14,8.02567070064861e-16,3.931837107225054e-14,1.7983190613337772e-16,4.52706439082987e-21,4.833312683147707e-23,2.3648045601275587e-22,3.934559293418097e-23,2.200303922083186e-21,3.4168696551798125e-16,1.837261171938824e-32,2.2507307711924872e-31,2.8508386144876394e-35,6.791158362707824e-48,3.7023911048489884e-14,5.699153620786895e-17,2.137895228735551e-26,2.5401896995282012e-28,2.3575432164580203e-25
5.489658881633706e-11,0.7887003540135558,3.76,0.0,0.5032532559632837,0.9999999972965736,6.980859487979669e-18,1.3780938209000874e-28,4.61373253959161e-19,4.472430712191689e-09,2.7033325358736134e-09,5.197762078633931e-16,8.658954024204866e-14,1.768733391738655e-09,2.00675011609588e-13,2.0871854314564774e-15,9.568470070617234e-14,4.670944092882949e-16,1.1926118027962543e-20,2.078585991564987e-22,9.01099242242838e-22,1.691478743579902e-22,9.452845958090838e-21,8.883835196983313e-16,1.3317172826589304e-31,1.6376464661139244e-30,3.7101712530247604e-34,1.6245309498606942e-46,5.97434567540742e-14,1.4804847935350885e-16,1.1477458996867663e-25,1.0960186528506795e-27,9.898552821139342e-25
9.672256293622804e-11,0.788700354215529,3.76,0.0,0.5032532525554798,0.999999995236708,3.930793308268626e-17,7.834989182156991e-28,1.4289607452517453e-18,7.880182529643736e-09,4.763008336893641e-09,1.6089232586725364e-15,2.6837351256934035e-13,3.1160435681287135e-09,5.418278574976988e-13,6.472533306405122e-15,2.821933857217929e-13,1.4447750603378974e-15,3.7956525842077144e-20,1.1711531790231508e-21,4.617200903079483e-21,9.523545743944883e-22,5.3147733212698636e-20,2.753544056718488e-15,1.3581879366735356e-30,1.6877107509890236e-29,7.358101083559464e-33,6.385249081728218e-45,1.0503540619734356e-13,4.58051352536262e-16,8.856534876658115e-25,6.215689619265847e-27,5.3243846623954145e-24
9.999999999999999e-11,0.7887003546194769,3.76,0.0,0.5032532522884411,0.9999999950752951,4.405250319649843e-17,8.7952625437616e-28,1.5272444170462169e-18,8.147216977015408e-09,4.9244020267932055e-09,1.7194787806521138e-15,2.868539915330852e-13,3.2216064672848063e-09,5.754457793838175e-13,6.918647708900461e-15,3.009617294504348e-13,1.5439280446929337e-15,4.068440516931863e-20,1.312660105855031e-21,5.145205916305639e-21,1.0672889988216584e-21,5.954706952497419e-20,2.9431686275563364e-15,1.6316373184553095e-30,2.0412620930183174e-29,1.0189657395226624e-32,1.1263250094293955e-44,1.0857619546854082e-13,4.895006269896346e-16,1.0307734792445214e-24,6.97419795174192e-27,5.926867747615711e-24
1.8037451117600997e-10,0.7887003546194769,3.76,0.0,0.5032532457393797,0.9999999911166857,2.60990409009493e-16,5.300843716865947e-27,4.959272971932346e-18,1.469616791987312e-08,8.882343789388127e-09,5.577380148763165e-15,9.32732293602754e-13,5.8098945017601476e-09,1.7130549413515313e-12,2.2520241704747635e-14,9.50153583156519e-13,5.00084222044566e-15,1.3888172691854201e-19,7.785908209847829e-21,2.886489575235479e-20,6.322117655262951e-21,3.5181477227542274e-19,9.570716993282263e-15,1.6408969173433934e-29,2.1360882547082583e-28,1.8351567028254918e-31,3.305781338107306e-43,1.9503436676429238e-13,1.5863086561481129e-15,8.442731974805046e-24,4.182834034169421e-26,3.2656442513092295e-23
2.640264594157919e-10,0.7887003550234267,3.76,0.0,0.5032532389226231,0.9999999869962753,7.841741887286657e-16,1.6164661340783142e-26,1.0610767915516931e-17,2.151279569125644e-08,1.3001657703414899e-08,1.1921607158893951e-14,1.9980621568832664e-12,8.502719835215354e-09,3.53600797527955e-12,4.828693338297825e-14,2.0111606081951425e-12,1.0675740454421876e-14,3.1008768254916205e-19,2.341410913016805e-20,8.502515468659221e-20,1.8993120381325967e-20,1.054860329652253e-18,2.0503410167745266e-14,6.345527956676553e-29,8.765546096604605e-28,9.582638238672483e-31,2.2006942785163404e-42,2.8425811934116213e-13,3.3879469815694024e-15,2.981100593020773e-23,1.2678706223420198e-25,9.340009776190663e-23
3.476784076555739e-10,0.7887003554273788,3.76,0.0,0.50325323210521,0.9999999828754771,1.7375481676925203e-15,3.634032302168444e-26,1.8375549539766893e-17,2.8330065900771534e-08,1.7120950070950205e-08,2.0626147755474395e-14,3.464246734368798e-12,1.1194519975922865e-08,6.010450769762042e-12,8.379523324575016e-14,3.4649209157476576e-12,1.844804426183015e-14,5.587259003787174e-19,5.192324869396344e-20,1.8636166587045725e-19,4.207940050794229e-20,2.3327126867999485e-18,3.555123047498533e-14,1.682329206434881e-28,2.4532725495714824e-27,3.221970437837518e-30,9.097288077913446e-42,3.727132060481203e-13,5.857010616874905e-15,7.401344843596424e-23,2.831695464001147e-25,1.9841644984300276e-22
4.3133035589535583e-10,0.7887003558313332,3.76,0.0,0.5032532252871403,0.9999999787542911,3.254118401090044e-15,6.904525906758285e-26,2.8245484348030685e-17,3.514797860726737e-08,2.1240220883699135e-08,3.1675121852291934e-14,5.331165753582073e-12,1.3885295344596427e-08,9.136139322130687e-12,1.290683193914027e-13,5.311131246099587e-12,2.82958164742338e-14,8.921710415373123e-19,9.732302008471195e-20,3.465905509727173e-19,7.879800035851438e-20,4.3601981859601375e-18,5.4713772083700014e-14,3.6302930283453886e-28,5.5564114966485464e-27,8.520730912284955e-30,2.9015604814665903e-41,4.604063366557989e-13,8.987391466514476e-15,1.5135914721945575e-22,5.343373980980558e-25,3.577823502809896e-22
